高嶋友奈,昔、友達にひどいことを言ってしまった
友奈,女の子の身体はもうボロボロで、膝をつきながらばーてっくすの攻撃を防ぐので精一杯だった。だから、私がばーてっくすを倒して、女の子を安全なところに連れていかないと！。それなのに、ばーてっくすの攻撃は激しくてあの子を抱えて逃げることがとても難しい。さっきの勇者キックさえほとんどダメージになっていないのか、敵の動きに影響は全く出ていなかった。足りない。今の私では力が全く足りていない。切り札と言えるくらいに強力なはずの一目連でも駄目なら、どうすれば……！？。……あった……。私の奥底から呼び出した一目連のさらに奥の奥。そこに、もっと強力で恐ろしい力が眠っている。これを使えば、これさえ使えればあの子を助けて、病院に連れていくことができるかもしれない。そう思ったら躊躇はなかった。私は自分の奥のさらにその奥へと手を伸ばし──。……っ……！？。途端、身も心も凍えるような強烈な寒気がはしる。誰から言われなくても分かる。"これ"は人が触れてはいけないものなんだ……。だけど！。だけど！今は、今だけは！あなたの力が必要なの！あの子を助けるために、ばーてっくすを追い払うために、私に力を貸して！！。お願い──！。心の奥底の強固な檻に、私は──触れた。全てが灰色で、色のない場所に私は居た。ここは多分私の心の中なのだと思う。私は海の中のように、宙で漂っていた。見えないけど、目の前には檻のようなものが確かにあって、そこには強力な力が封印されているのが分かる。この檻の扉を開けさえすれば、一目連よりも強い力を私は使えるはずだった。だけど。……怖い。どうしようもなく怖い。覚悟を決めたはずなのに、誰かを助けるために自分はどうなっても良いといつも思っていたはずなのに、私はとても躊躇してしまっている。本能が言っているんだ。"それ"の封印は絶対に解いちゃいけないって。どうしよう？と思ったのはそれでも数瞬で、私は恐る恐るだけど、檻に手を……かける。瞬間。──たくさんの声が頭の中に響いていた。あ……あ、あぁあぁぁあぁぁぁぁッ！！。頭の中に知らない人たちの心がいくつも入ってくる。一つ入ってくるたびに、私の心が一つ黒くなっていく。心の中の誰かがそれを"穢れ"だと言った。心が穢れていくことで、私は破滅へと進んで行くのだと私ではない誰が言ったように聞こえた。多分、私の中に四人か五人くらい誰かが居て、頭がおかしくなりそうなくらい記憶をかき混ぜられてしまっている。それは耐えがたい痛みだと思った。身体ではなく精神を傷つけられるような言葉では表現できない激痛。そう思いながらも、こうしてやけに冷静な自分もここに居て──。があぁあぁぁっ！！。今、苦しんでいる私はやっぱり自分自身で、唐突に、こうして考えている今の私も同じようになってしまった時、高嶋友奈という人間が消滅してしまうのだと分かった。多分、手甲が教えてくれたんだと思う。やっぱり人が触れてはいけない力だったんだね……。それでも……それでも！私は！諦めたりなんかするもんか！。誰かのために戦って傷ついて、必至に何かを守ろうとしたあの子を助けられるのは今は自分だけなんだ！。あの子を助けるためだったら、どんなに苦しくても根性で耐えきってやる！。だから！。私は絶対に！諦めない！諦めてたまるかぁあぁぁっ！！。──そして、気付いた時には、灰色の世界の中にたった一色だけ、色が現れていた。……カラス？。それは青い色のカラスだった。よく見ると胸には印みたいなアザがあって、多分これって桔梗のマークだよね？。カラスは私の右腕に乗り、一度だけ首を傾けるとカァと鳴いた。すると不思議なことに、私の身体とこうして思考している心が一つに戻っていき、あれだけ苦しんでいた痛みと誰かの声はどこかへ行ってしまっていた。心の中の世界だから自分自身でも曖昧な感じだけど、これは多分、穢れを乗り越えた証なんだと思う。カラスを見ると、ただ黙って私を見つめ、暫くして真っすぐ飛び立ってしまう。……綺麗な瞳が私に何かを託してくれたのだと、何となくだけど思った。カラスの飛んで行った先には檻があり、私はもう一度手を伸ばし、見えない檻に触れる。今度は一切恐れない。そして、寒気も感じなかった。触れると、見えなかった檻の頑丈な扉から白い光が放たれる。それは次第に広がっていき、やがて檻は粉々に砕け散っていた。灰色の世界の中で白い光は収まりきれなくなって、世界から灰色が消え、急速に白い世界へと生まれ変わっていく。光の中心に"それ"は居た。それは私が求めていたもの。求めていた力。手を伸ばす。かすかに触れただけで、あたたかな光が指先から私の身体へと入ってくる。光の中には真っ黒なものが潜んでいたけど、今は光に覆われていて白にしか見えない。きっと、さっきのカラスが手助けしてくれているんだ。そう思い、私は勇気を貰えた。だから、その勇気を込めて、新しい力を呼び起こす。きっと、この力ならあの子を助けることができるはずだから。だから、私は、力をこめて叫んだ。切り札のさらにその奥にある強大な力の名前を。其の名は──。酒呑童子《しゅてんどうじ》っ！！。──そして、鬼《高嶋友奈》は、ばーてっくす……バーテックスにその異形の拳を振るった。肘を引き、ただ前へと右腕を突き出す。手甲と、おどろおどろしい形をした大きな影──鬼の手とが一つに重なっていた。黒い鬼の手がギョロリと開き、その巨大なかぎ爪はバーテックスの一体を易々と飲み込んでいく。右手を閉じると、グチャリと、卵を握りつぶしたような感触。腕を引き戻し手を開いた頃には、針を飛ばしていたバーテックスの姿が消えていた。……鬼がバーテックスを食べ尽くしてしまったんだ。ただ一発のパンチが、あれだけの強敵をあっけなく倒してしまっていた。あまりにも圧倒的で、なんて恐ろしい力なのだろうか……。今更ながらに私は自分の振るった力の本質を理解し、背筋を震わせる。この力におぼれてはならない、と手甲は言った。心の中で頷く。気を引き締め、残り二体のバーテックスを私は睨みつけた。まだ戦いは終わっていない
女の子,……。……ば、バーテックスが……たった一撃、で……。……あ……
友奈,バーテックスが一体居なくなり、私はようやく女の子のそばまで近づくことができていた。視線は前からそらさず女の子へと話しかける。もう少しだけ我慢してね。今、私が終わらせてしまうから
女の子,は……はい！──！？も、もしかして！かなりの無理をしているんじゃ──！
友奈,そっか……やっぱり私の身体は無理をしているんだね。あどれなりんが出ているからか自分では気にならないけど、身体のどこかから壊れた笛のような音が聞こえ続けている。肺あたりが良くないのかもしれない。……だけど！。私は大丈夫。ちょっとだけ待っててね
女の子,……っ……。……はい。……悔しいですけど、アタシはどうも……もう立つこともできないようで……。本当に……申し訳、ないですが……よろしく、お願い……しますっ
友奈,話すことさえ難しかっただろうに、途切れ途切れの声でそんな内容のことを女の子は言ってくれた。だから。うん、任せて！。私はゆっくりと、静かに走り出す。その度に笛の音がひどくなったけど、今だけは無視！。バーテックスは私の接近を知って、すぐさまやって来た。攻撃が私に降り注ぐ。だけど──。右の掌底でさそりみたいな尻尾の攻撃を受け止め、左手刀でうちわみたいな羽を突き刺す。こうして私の両隣にバーテックスが固定された。だから、私は酒呑童子の力を限界まで振り絞り、両拳に最大級の鬼の力を宿らせた。……私が今使っている酒呑童子はおそらく完璧なものではないのだろう。鬼の手は最初から影のような姿で実体のない幻のように揺らめいている。それでも、不完全であっても酒呑童子の力は本物で、今の私なら二体のバーテックスが相手でも倒しきれると自信があった。──かはっ！。口から生臭いドロッとしたものがあふれ出す。……けど、これも無視。今はあの子を助けて、一刻も早く病院へと連れて行くことだけを考えろ！そして、あの子を一刻も早く日常に戻してあげるんだ！！。私の両手からバーテックスよりも巨大な鬼の手の影が現れ、鋭いかぎ爪が伸びる。そして、その手のひらを大きく開く。多分、これを使えば私も限界となる。……ううん、もうとっくに限界は超えていたんだ。身体中が悲鳴を上げて、強烈な貧血みたいに倒れそうになる。でも、堪える！。両の脚で精一杯地面を踏みしめ！視線は絶対に両手から離さない！。私は最後の一撃を放つため、心の中で一度だけ目の前のバーテックスたちに話しかけていた。……あなたたちが良い存在なのか悪い存在なのか、正直私には分からない。でもね、やっぱりあの子を傷つけたことだけは……それだけは、許せないんだ。だからね、バーテックス。ここで──。終わりにしよう！。あまりにも巨大な鬼の手が、二体のバーテックスを包み込み──やがて、弾けた。……ぐん……ん……待……ね……。…………。……。……何か、夢を見ていた気がする。まぶたがとっても重いけど、起きなきゃって何となく思った。だから、頑張って開いてみる。すると──
？？,……！？あぁ！目を、目を覚まされたのですね！
友奈,……とう、ごう……さん……？。目の前には綺麗な黒髪の女の子が居て、その両目をうるませていて──
？？,！？も、申し訳ございません！知己の方とは知らず失礼いたしました。私は鷲尾須美と申します。理由がありまして、今は東郷美森から改名して鷲尾の姓名を名乗らせていただいております
友奈,……ぼんやりとしていた意識が徐々にはっきりしていく。とても丁寧な言葉遣いのこの女の子は東郷さんじゃなくて、鷲尾須美ちゃん……それはどこかで聞いた名前で──！？。あ、あの！……ごほっごほっ！！お……女の、子はっ！？
須美,ご、ご無理はなさらないでください！三日三晩眠っていてさらには重症なのですよ！動かれてはなりません！
友奈,で、でも……！あの子はボロボロで、病院が必要で──！。自分でも言っていることが支離滅裂だと思ったけど、気持ちはどうしても言葉を先走ってしまう。そんな風に私がグシャグシャとなってしまっていた時
？？,一緒に居た女の子、ミノさんのことなら安心してください。あなたが助けてくれたおかげで順調に回復しています
須美,そのっち！？
友奈,……あぁ……そう、なんだ……。……良かった……。私は、あの子を助けることができていたんだね……。ホッとしてベッドの上で身体の力を抜く。今部屋に入って来た女の子はそんな私の姿を見て優しく微笑んでくれる。それが一層、私に安心感を与えてくれて、さっきまでの元気が嘘のように私は動けなくなってしまっていた。三日三晩眠っていたらしい私が目を覚ましたとのことで、その後すぐにお医者さんが呼ばれ、簡単な診断などが行われた。どうも私の身体はひどく無理をしていたらしく全治三ヶ月の重傷とのことだ。言葉で聞くととてもひどい怪我だと思ったけど、想像するほどひどいという実感はあまりなかった。ただ実際には、薬の影響で身体はあまり動かないし、普通に歩けるようになるまで最低でも一ヶ月はかかってしまうらしい。それを考えると、やっぱりとんでもなく重症だったのだと思う。そんな自分の状況を把握するまで大体半日くらいの時間が掛かった。すっかり夜になってしまっていたので、本当は眠くないけど頑張って寝て、当たり前だけど目を覚ましたら次の日になっていた
園子,失礼しまーす！
須美,こら、そのっち。友奈さんの前なのだから礼儀正しくしなさい。あと、病院では静かに
園子,はーい
須美,もう、本当に分かっているのかしら？
友奈,ふふっ、いらっしゃい二人とも。何だか須美ちゃんって、園子ちゃんのお母さんみたいだね
須美,私がそのっちのお母さん……？
園子,おかあさーん♪
須美,えぇ！？そのっち！？
友奈,あはは。穏やかな午後の日差しの中、須美ちゃんと園子ちゃんが私のお見舞いに来てくれた。……嬉しいな
須美,──それで、今は治療に専念するために、銀への面会は控えるよう言いつけられています
友奈,私は須美ちゃんと園子ちゃんに、あの時の女の子、三ノ輪銀ちゃんの容態を教えてもらっていた。そんなにひどい状態、だったんだね……。私がもう少し早く助けることができていればまた違っていたのかもしれない──と考えてしまったところで、すぐさま自分の思い上がりだと思い直し頭を振る。首から上は幸いにも自由に動かすことができていた
園子,でもでもー、ミノさんは言っていたんですよー。包帯でミイラみたいな姿だったけど、しっかり治してくるから、須美と園子はアタシの帰りを待っていてくれよなって。ミノさん、カッコよかったよ～
友奈,……うん、銀ちゃんは本当にカッコいい女の子だよね。私はようやく理解していた。銀ちゃんは、この二人の友達のために命懸けで戦っていたんだと。……私もぐんちゃんがそばに居たら同じ決断をしていたと思うから、銀ちゃんのあの時の気持ちが痛いほどよく分かる気がした
須美,あ、そうでした。銀から友奈さんへの言伝を預かっています
友奈,そう言って須美ちゃんが伝えてくれる
須美,アタシを助けてくれて、本当にありがとうございます。身体は少しアレですけど、おかげさまでアタシは元気です！良くなったら絶対に直接お礼に行きますので、今はこの伝言だけで許してください……だそうです。……銀だけではなく、私からもお礼を言わせてください。──ありがとうございました。私とそのっちも友奈さんにこの命を救ってもらいました
園子,……うん、そうだね。友奈さんが居なかったら、私たち以上にミノさんが危なかったんだと思う。だから、友奈さん。ミノさんと私たちを助けてくれて、本当に、本当にありがとうございました！
友奈,……。……ううん、私は私ができることを行っただけで、お礼を言われるような立派なことはできて、いないよ……。……だけど、須美ちゃんと園子ちゃん、それに銀ちゃんの言葉は私の心の中で大切にさせてもらうね。私こそ、ありがとう。それが正直な私の本音だった
園子,あはは……私たちまでお礼を言われちゃったね、わっしー
須美,友奈さんは自分の行いをもっと誇って良いのだと思います。ですが……それが友奈さんのお人柄なのですね……
友奈,須美ちゃんと園子ちゃんが居て、銀ちゃんの想いに包まれた私の病室は、とてもあたたかい、春のひだまりのような場所に思えた。だから……私の心も、とってもぽかぽかしていたんだ──。……え……？。今の今まで病室に確かに居たはずなのに……気が付くと私は、人の手が全く入っていない、見覚えのある鮮やかな植物の森の中に居た。何が起こったのか一瞬分からなかったのだと思う。……だけど、須美ちゃんと園子ちゃんだけはそのままに、他の全てが変わってしまっていたのだから……これは、間違いなく──
須美,樹海化……！よりにもよってこんな時に！？
園子,……
友奈,そう、須美ちゃんが言ってくれたようにこれはアニメで見たあの樹海化で間違いない。でも、テレビで見るのと実際に体験してみるのとでは全く違っていた。アニメではもう少し余裕があるように思っていたけど、本当はまばたきの間の時間で起こってしまうような現象だったんだ……。ここ数日で感覚が少し麻痺していたのか、私は妙に感心してしまっていた
須美,え……。友奈さん！？……そ、そんな！友奈さんまで呼び出されたと言うの……！？
友奈,私を見て、須美ちゃんがギョッとし、そのすぐ後に悔しそうな、悲しそうな、とても複雑な表情を浮かべていた。……誰だって、今の私を見てしまえば反応に困るのだから当たり前の話だよね……。──私は、ベッドと一緒に、樹海へと来てしまっていた。……綺麗な植物の地面の上に、白いベッドが一つ。それは、とても違和感のある光景だったと思う。そして、参ったなぁとも思った
須美,……くっ……！友奈さんは、怪我で満足に動くこともできないのよ！寝具ごと呼び出すなんて神樹様は何を考えて──！？
友奈,須美ちゃんの顔から色が失われてしまい、その視線の先を私も追っていく。……！？……嘘、だよね……？。そこに居たのは──。銀、ちゃん……。私と同じようにベッドの上で横たわり、だけど、私には付けられていない酸素マスクや、大掛かりな機械が今も繋がれて、いる……。……私から見ても明らかな重体にしか見えないのに、銀ちゃんは……銀ちゃんは……っ……こうして樹海の中に、呼び出されて、しまっていたんだ……。"あれ"と戦う、それだけのために──
須美,バーテックス……！
友奈,……身体がまともに動かない私と、意識のない様子の銀ちゃん。そして、ゆっくり近づいて来ているバーテックス。唯一、須美ちゃんだけは戦えそうであったけど、私と銀ちゃんの存在が足かせになっているのか、さっきから私たちとバーテックスで視線を迷わせていた。……。……うん。多分、できるはずだ。……それに、勇者は根性だって結城ちゃんも言っていた！だから、覚悟を決めろ高嶋友奈！ここは私が頑張る場面だ！。"それ"を呼び出そうとした、まさにその直前。不意に静かだけどやけに乾いた声が……聞こえて、きた
園子,……そっかぁ……やっぱり間違いなんて、何もなかったんだね……
友奈,園子、ちゃん……？。何故だか泣きそうな顔をした園子ちゃんが、勇者姿となって、ぼんやり気配を感じさせず私の隣に立っていた。泣きそうに見えたその表情はほんの一瞬のこと、すぐさま凛々しさで覆い隠されてしまう。普段ほんわかしている園子ちゃんだったから、それだけで今がどうしようもないくらい非常時であると再度思い知らされてしまう。……とても悲しいことだと思った
園子,わっしー！今度は私たちがミノさんと友奈さんを守る番だよ！
須美,……そのっち……。──ええ！二人には絶対手出しをさせない！私たちで絶対に守るんだっ！
友奈,須美ちゃんが自分の頬を叩き、その瞳が一気に勇者のそれに変わった。私は知っていたはずなのに、全然理解していなかったんだね……。二人は間違いなく人々を守る立派な勇者で、そして……小学生でそれを背負わされることは、とても凄いことで、だけどあまりにも残酷な仕打ち、だった
園子,友奈さん。少しだけ時間がかかると思います。でも、私たちが絶対にバーテックスを追い払うので、ここで待っていてください
友奈,……ううん、私も戦うよ。身体はこんなだけど、多分勇者になれば戦えると思う。……一番年上の私が、二人の足手まといになっていちゃ駄目なんだ！。バーテックスの恐ろしさは十分に理解している。その上で、私は覚悟を決めて園子ちゃんにそう返した。そんな私の気持ちに応えてくれたのか、どこからともなくあの手甲が目の前に現れて──。来い！手甲！！。自動的に右手にはめられた手甲から桜色が舞い、私の姿は勇者装束へと変わっていく。……うん、思った通り問題なく立つこともできる。これで私も戦うことが──！？。ゾクリと嫌な感じがしたと思ったら──もう、遅かった。あ……あぁああぁあぁぁぁーっ！
須美,ゆ、友奈さん！？しっかり、しっかりしてください！
友奈,こ、心が……心が！入ってくる！！。がぁあぁぁぁっ！！。嫌だ嫌だ！黒くて嫌なものが私の中に直接入ってくる！心がそれに呑まれて、私がおかしくなる！苦しい！かゆい！痛い！手でかいてしまいたいのに触れる場所がなくて狂ってしまいそうッ！！。──誰か、誰かっ！私を■して！お願い、だからッ！■して！！
須美,友奈さん！どこが痛いのですか！？お、お願いですから、落ち着いてください！
園子,……わっしー。ごめんだけど、友奈さんをお願いするね。バーテックスは私が追い払ってくるから
須美,そんな無理よ、そのっち！一人だけでバーテックスの相手をするのがどれだけ無謀か分かっているでしょう！？
園子,うん。……でもね、わっしー。私は絶対に死なないし、あのバーテックスは追い返せると決められているから、大丈夫なんだ
須美,そのっち！何を言っているのか分からないけれど、もう少しだけ待って！友奈さんを落ち着かせたら私も──
園子,……。わっしーにはミノさんと友奈さんのことをお願いしたいんだ。色々と危ないからね。それと多分、友奈さんに今起きていることは、精霊の副作用なんだと思う。だから、友奈さんの右手を握ってあげて。きっと、勇者装束の神気で落ち着くと思うから。それじゃあ、わっしー。──行ってくるね
須美,そのっち！！
園子,こんなの！ミノさんならっ！！。ここから……出ていけぇぇぇーっ！！
友奈,……右手が、あたたかい……。ゆっくりと目を開くと、昨日と同じように綺麗な黒髪の女の子が居て──。昨日と違って……泣いて、いた……
須美,なんで……なんで！……こんな無茶をしたのよぉ……
園子,……えへへ……でも、約束通り……私は死ななかった、でしょ……？
須美,……そんなの！ただの結果論じゃない！あんなの……特攻よりも無謀な捨て身でしかないわ……！
園子,……あっちとは反対に、わっしーを泣かせちゃったね……。……やっぱり全部が全部、その通りにはいかないものなんだ……
友奈,……ああ……そっか。須美ちゃんを泣かせてしまったのも、園子ちゃんをボロボロにしてしまったのも……全部、私なんだ……。戦えると勘違いした馬鹿な私が、私よりも小さな女の子をどうしようないくらい傷つけてしまった。ほんと馬鹿で……なんて救いようがないんだろう、私って……。……またあの時と、同じ失敗をしてしまっている……。そんな救いようのない私は、須美ちゃんの手の温もりを感じながら、樹海化の終わりをただ眺めていた。──ここで終わっていれば、まだ少しだけでも、救いはあったのかもしれない
園子,あ、友奈さん。目を覚ましたんですね
友奈,えぇ！？ど、どうしたの、その包帯！？全身ぐるぐる巻きだよ！？
園子,えへへ、ちょっとだけ頑張り過ぎちゃったのかも。でもでも、私は全然大丈夫なのですよー。友奈さんこそ具合が悪かったりとかしていませんか？
友奈,え、具合？ええと、気分は悪くないと思うけど……あれ？身体が動かないや。何でだろ？
園子,勇者装束はもう解かれているんですよ。だから、動けるようになるにはしっかり身体を治さないといけないですよー
友奈,あ、そうなんだ。……病室に居るからおかしいとは思っていたんだよね
園子,その……友奈さん。わっしーが居ないので今のうちに伝えておきます
友奈,わっしー？ワシ？あ、ごめんごめん話の途中で。それで何？
園子,実は、この本をこっそり読んでしまいました。……ごめんなさい
友奈,そう言って差し出された本は──。わあっ！綺麗な女の子の絵だね。これって小説か何か？
園子,……ええと、この小説って友奈さんの本じゃなかったんですか？
友奈,うーん、見覚えはないと思うよ
園子,……あれー？私の予想だと……おかしいなぁ……
友奈,あ、そうそう。私も聞いても良いのかな？
園子,あ、はい。いいですよ～
友奈,多分私が寝ぼけているだけだと思うんだけど、怒らないで聞いてね。……ええとね。──あなたって、若葉ちゃんとひなたちゃん、どっちなんだっけ？
園子,……え？
三好夏凜,友奈！？
三ノ輪銀,友奈さんッ！？
東郷美森,ああ……我が祖国に敵が……！
結城友奈,──ここ、だぁー！勇者……連打っ！えい！えいっ！とおっ！
郡千景,古びたゲームコーナーの一角、結城さんが筐体のボタンを慣れない手つきで連打していた。けれど、そこには確かに光るものもあって──
千景,ふふっ。結城さんったら、私が教えた名古屋打ちをこんなにも早くマスターするなんてね
美森,名古屋……！あの金鯱城のあった場所ね！
千景,キンシャチ城？……ああ、名古屋城のことね
犬吠埼風,……しっかしあれよねー、インベーダーゲームに熱中している中学生なんて四国中探してもアタシたちくらいのもんじゃない？
千景,それ以前に最初から疑問だったのだけれど、インベーダーゲームが現存しているこの旅館って何なの？
銀,あー、確かアタシが小さい時くらいだったのかな？レトロゲームが物凄く流行っていたってなんかの本に書いてありましたよ
