ミリＰ,以下、Ｐ
エレナ,あっ、皆でサンバ踊ったのが良かったのカモ！
P,サンバ？
エレナ,ソウ！コトハは最初恥ずかしがってたんだけど……やっていく内にノリノリになってきてネー？
琴葉,エレナ！その話は良いから！
エレナ,エー？ダメなノ？
琴葉,ダメ！
P,はは……ん？
琴葉,プロデューサー、どうかしたんですか？
恵美,？
P,汗で透けてる……まずいな、一応タオル渡してやるか。ちょっと待っててな……
エレナ,あ、もしかしてー……
琴葉,……まさか、プロデューサー
P,なんで俺は睨まれてるんだ……とりあえず、ほら
恵美,プロデューサー気が利くじゃーん！ありがとね！。……あれ？これいつものより大きいよね？
P,ああ、必要かと思って
恵美,そっか！ありが……と？。―――ッ！？
エレナ,ホラ！やっぱりメグミの胸見てる！
P,別に他意があるわけじゃないから！
エレナ,ホントー？
P,本当だ！
恵美,あ、アハハ……
P,……琴葉？なんでそんなに落ち込んでるんだ？
琴葉,お、落ち込んでなんかないです！
静香,またプロデューサーは……！
翼,静香ちゃん、嫉妬してるの～？
静香,してないわよ！
翼,ふーん？まぁどっちでも良いけど！
静香,……あれ？翼、何処に行くの？
翼,ちょっとプロデューサーさん引き留めておいて～
静香,翼ー！？
P,……あれ、静香じゃないか。こんな所でどうしたんだ？
静香,え、ええっと……
P,もしかして、レッスン見て欲しかったのか？。だとしたら悪かったな、ちょっと今日はこれから野暮用があってさ……
静香,……忙しそうですね？
P,ああ、今日は特別な日だからな
静香,……そうですか
P,静香も、何かリクエストとかあったら聞くけど
静香,別に、特に注文することは……。あ、そうだ。今度の日曜日、付き合ってもらえませんか？
P,ああ、丁度オフだし構わないよ
静香,良かった……
P,何か見に行くのか？
静香,見に行くってより聴きに行くって感じですけどね、千早さんにコンサートのペアチケット貰ったんです。一緒に行こうって約束してたんですけど……千早さん、仕事で来れないそうなので。代わりにお願いしようと思ったんです
P,あー……それは悪かったな、静香。千早と一緒に行く機会を無駄にさせてしまって。今度、何かで埋め合わせするよ
静香,ありがとうございます！
P,でも、一緒に行くのが俺でよかったのか？お父さんとか未来とか、他にも相手はいただろうに
静香,べ、別にいいじゃないですか！
P,ふーん……？
翼,ゴメーン、お待たせ～！
P,翼？……ってオイ！どうしたんだ、その恰好？
翼,えー？こういうのが好きなんじゃないんですか～？
静香,……翼、何しに行ったの？
翼,Tシャツ一枚でちょっとだけシャワーを……
P,馬鹿！風邪ひいたらどうするんだよ！
翼,あ、あぅ……ご、ごめんなさ～い……
P,とりあえずこれ巻いとけ！後で服乾かしに行くんだぞ、いいな！。余分に持ってきといて良かった……
翼,…………
P,翼？
翼,プロデューサーさん、こういうの好きじゃなかったの？
P,す、好きっていうか……うーん。……そりゃな、俺も男だしそういうのには目を魅かれるけどさ。でもそれ以上に、翼が体調崩す方が心配なんだよ。だから、こうやってわざと体調崩すような真似はやめてくれ
翼,……は～い
P,分かってくれたら良いんだ
翼,あっ……
P,そんな事しなくたって可愛いんだからさ……な？
翼,……も～プロデューサーさんってば～！
静香,…………
P,……静香、お前まで水を被りに行くんじゃないぞ
静香,そ、そんな事しませんから！
翼,えっへへ～♪
静香,ご機嫌ね、翼
翼,だってカワイイって言って貰えたも～ん！
静香,良かったわね……
翼,……うーん
静香,どうかした？
翼,でも、もっと構って欲しいな～って
静香,あんまりプロデューサーに迷惑かけちゃダメよ？今日、プロデューサー忙しそうだから
翼,……でも、わたし今日はもっと構って欲しいもん
静香,翼……
翼,うん、もう一回頑張ってくる！静香ちゃん、またね！
静香,えっ、翼！？
P,ただいまー
美咲,お帰りなさい、プロデューサーさん！
P,青羽さん、ただいま……仕事は大丈夫そうですか？
美咲,はい、小鳥さんがすっごく丁寧に教えてくれて！。小鳥さんって、すっごく良い人ですね！
P,へ？。……どういう風の吹き回しですか？
小鳥,たまには頼れる先輩でいたいじゃないですか……
P,なるほど……
小鳥,そういう事なので、褒めてください！
P,褒めてくださいって……音無さん
小鳥,……ダメですか？
P,……もう。ありがとうございます音無さん、助かりました
小鳥,……もう、しっかたないですねえ。今日はそれくらいで勘弁してあげます！
P,いっつもそのペースでやってくれませんか？
小鳥,うぐっ、それはですねぇ……
美咲,二人とも仲良いですねー……羨ましいです
P,青羽さんも仲間なんだから遠慮しないでくださいね？
美咲,はい！
箱崎星梨花,以下、星梨花
春日未来,以下、未来
P,おはよう二人とも……珍しい組み合わせだな？
未来,星梨花にドリンクに入れたら美味しそうな果物を聞いてたんですよ！。静香ちゃん、何混ぜても美味しくないっていうから……素材からこだわってみようと思って！
P,こだわるべきは素材じゃなくて製法じゃないかな……
星梨花,ママにも聞いて、合いそうな果物選んでもらったんです！
美咲,えっと……バナナと、桃？
小鳥,いいチョイスねー……星梨花ちゃんのお母さんのセンス、凄く良いと思うわよ？
未来,ですよね！？よーっし、これで特製ドリンク美味しく作るぞー！
P,未来、お願いだから春香とかに作り方見てもらってくれ……
未来,えっ？でも……
P,ほら、どうせならさ！最高の素材を使って、最高の作り方で完成させたいだろ！？
未来,最高……そうですね！春香さんに教えてもらう事にします！
P,良かった……
星梨花,プロデューサーさん、少し聞きたい事があるんですけど……
P,ん、どうした星梨花
星梨花,この前貰った台本のココなんですけど……
P,ん？……ああ、ジャンクフードの店で休憩してるシーンか
星梨花,わたし、こういうお店に行ったことがなくて……。プロデューサーさん、どういう感じなのかって分かりますか？
P,うーん、わざわざ考えた事なかったなあ……。折角だし、今度行ってみるか？
星梨花,えっ、良いんですか！？
P,ああ、今後の為にもなるしな
星梨花,やったー！ありがとう、パパ！
P,おう……ん、パパ？
星梨花,あっ……
小鳥,あー、たまにお父さんって呼んじゃうのあるわよねー
P,パパか……
星梨花,あ、あの……ごめんなさい！
P,謝る事ないって、可愛かったしな！
星梨花,そ、そうですか？
P,おう、もっと呼んでくれても良いぞ！
星梨花,えへへ～……パパ、お仕事頑張ってね！
P,おう、任せとけ！
未来,むー……お父さん、宿題手伝って！
P,お父さんって呼んだら手伝ってやるわけじゃないぞ！？。……で、科目は？
未来,今日は理科です！
P,それなら資料集みて自分でやってくれないかな……仕方ないな、やるか
未来,ありがとうございまーす！
翼,パパ……
静香,何か思いついたの？
翼,うん！じゃあ、いってきま～す！
未来,顕微鏡……うう、難しいよう
P,確かに字の形難しいよな……俺も学生の時何回も間違えた気がする
未来,こんなに難しいなら、ひらがなで良いですよね？
P,それは思うけど、ここは指示通り漢字で書こうか……。これで、大体終わったか？
未来,はい！ありがとうございました、プロデューサーさん！
P,今度からは自分で終わらせるようにしろよ？。おい
未来,はーい……
P,……どうしてもって時だけ、頼ってこい
未来,！はーい！
小鳥,相変わらず、プロデューサーさんは未来ちゃんに甘いですねえ
P,自分でも甘く振舞っちゃいけないとは思ってるんですけどね……
未来,親バカなお父さんなんですよ！
P,こら、調子に乗らない
未来,えへへ～♪
翼,パパ～！
P,……またか？
未来,……プロデューサーさんって翼のお父さんだったんですか！？
P,違うだろ！今度はどうしたんだ、翼
翼,えーっと……もう少し、甘えたいなーって！
P,甘えるったって……どうするんだ？
翼,こうしちゃいまーす！
P,っと……ソファに座らせて何を
翼,隣、失礼しますねー？
P,？
未来,？隣に座ってる
星梨花,？
翼,……ねぇ、パパ？わたしぃ、甘いものが食べに行きたいな……？
P,！？
小鳥,110番っと……
P,やめてください！俺はやらかしてません！
小鳥,嘘だあ！
美咲,ぷ、プロデューサーさん……
P,やめて心に刺さるから……
翼,プロデューサーさん……ダメぇ？
P,うぐっ……。……翼
翼,はい？
P,……お説教な？
翼,。……うう
静香,見てたわよ……何してるのよ、翼
翼,だってぇ……。……ごめん、ちょっと屋上行ってくるね
静香,翼……
翼,……うう、どうしてなのかなぁ。わたし、どうしたら良かったのかな……
？？,こんな所でどうしたの、翼？
翼,へっ？
星井美希,以下、美希
翼,美希せんぱーい……
美希,そんな泣きそうな顔しちゃって……。折角の誕生日なんだし、もっと笑ってた方がいいってミキ思うな
翼,……わたし、今日くらいはもっとプロデューサーさんに構って欲しかったんです。いっつもわたしからプロデューサーに寄っていくし……
美希,ミキとおんなじだね
翼,……でも、美希先輩はプロデューサーさんに頼ってもらえてますよね
美希,ハニーもお仕事増えたから仕方ないの。今までメイワクかけた分、ミキがハニーを助けてあげないとね！
翼,すごいなぁ……わたしも、そういう風になれるのかな
美希,ミキみたいになんてならなくてもいいの、翼は翼だもん
翼,そうは言いますけどー……
美希,翼自身の事、しっかりと見ててくれるファンの人はちゃんといるの。ミキの真似してるからじゃないの。翼のファンは、伊吹翼ってアイドルを見てるんだよ？
翼,……そうですか？
美希,そうなの！。ほら……今だって翼のコト、しっかり見てくれてる人がいるでしょ？
翼,へっ？
美希,そうだよね、ハニー？
翼,？
P,……気付いてたのか、美希
美希,ミキ、ハニーの事ならなんでも分かるんだよ？
P,流石だな……
翼,あの、プロデューサーさん……
P,ごめんな、そこまで思い詰めてたとは……
翼,……寂しかったよぉ
P,……ホント、ゴメン
翼,うわーん！
P,よしよし……
美希,今日だけは翼に譲ってあげるの……
P,……ありがとな、美希
美希,ミキ、少しはセンパイになれた？ハニー？
P,ああ、立派な先輩だよ
美希,それなら良かったの！
Ｐ,……翼がいっつも声かけてきてくれるからって、甘えてたよ。謝っても遅いかもしれないけど……ゴメンな
翼,もう、放っておかないでくださいね～？
Ｐ,……ぜ、善処する
翼,もー！そこはカッコよくキメて下さいよー！
Ｐ,はは、いつかカッコよくキメたいな……
P,そうだ、翼。これ
翼,ケーキ、ですか？
P,甘いものが食べに行きたいって言ってただろ？だから買ってきたんだ。安心しろ、このケーキは誕生日ケーキとは別のだから
翼,美味しそ～！
P,……誕生日おめでとう、翼。後で皆でもやると思うけど……ちょっぴりフライングだな
翼,……えへへ、ありがとうございまーす！
P,……で、二人で食べようと思って二人分だったんだが。はい、こっちは美希に。御礼代わりに食べちゃっていいぞ
美希,へ、いいの？ハニーのなんでしょ？
P,いいよ、俺のアイドルがまた一つ成長したって祝いって事にしとく
美希,ハニー……！ありがとうなのー！
P,おう
翼,……仕方ないですね、はい！
P,翼？
翼,あーんしてあげます！これなら、プロデューサーさんも食べられますよね？
P,いいのか？甘いの、食べたがってただろ？
翼,モチロンですよ～ほら、パクっといっちゃってください！
P,それじゃ……はむっ
翼,どうですか？
P,うん、美味い……良かった、美味しいの選べたみたいだ
翼,それなら良かったです～……はい、プロデューサーさん！
P,へ？
翼,食べさせ合いっこ、ですよ！食べさせ合いっこ！。わたしもあーんってやってもらいたいですから！
P,ああ、分かった……ほれ
翼,ぱくっ……んー、おいしー！
P,好みの味だったか？
翼,好きな味ですけどー……。プロデューサーさんと食べさせ合いっこ出来てるから、もっと美味しいのかも！。えへへ～
P,幸せそうで良かったよ
美希,……むー！ハニー、ミキにもやって！
P,えっ、美希にもか！？
美希,ずるいのー！
P,先輩……
翼,そうだ！折角だから、美希先輩とも食べさせ合いっこしたいです！
美希,……うん、そっちのも美味しそうかも！いいよ！
翼,やったー！じゃ、これを……あーん！
美希,……うん、美味しいの！じゃ、これあげるの！
翼,はむっ……美希先輩から食べさせてもらったケーキ、美味しいですよ～！。幸せな誕生日になりそう……えへへ♪
P,……ふぅ
美咲,プロデューサーさん、最近疲れてませんか？
P,新しく色々とプロジェクトが始まりましたからね……。でも、まだまだ頑張れますから
小鳥,流石ですねぇ……あ、これ書類です
P,ありがとうございます……っと？
小鳥,処理した奴です、最終チェックだけお願いしても良いですか？
P,……音無さん、どうしちゃったんですか
小鳥,ふふ、後輩が出来て怠けてばっかりはいられませんからね！
P,……小鳥、最高だ！ありがとう！
小鳥,！こ、小鳥って……小鳥って！。やる気出ました！ジャンジャンやりますよ！
P,……いつもそうやってすればもう少しやる気出してくれるのかな
小鳥,こういうのは小出しだから良いんですよ？
美咲,…………
翼,プロッデューサーさーん！
P,おっ、今日は元気良いな！おはよう、翼！
翼,昨日はいーっぱいお祝いしてもらっちゃいましたから！
静香,もう……昨日とは正反対ね
未来,……いいなぁ
P,今日は、翼の朝のレッスン見るんだっけ？
翼,そうですよ～今日の為にしっかり気合入れちゃいましたから！。しっかりとわたしの事、見ててくださいね～！
