ミリP,以下、P
P,良いじゃないか、こういうのも必要な事だからな
琴葉,必要、ですか？
P,おう！アイドルの色々な一面を聞くことも、アイドルプロデュースには大事だからな
琴葉,そ、そうなんですか？
P,そ！だから、琴葉は俺の事をしっかり助けてくれてると思うぞ？
琴葉,…………
P,琴葉？
琴葉,やっぱり、私ダメですね……小鳥さんみたいに、上手くプロデューサーの手伝いが出来ないです
P,まぁ、音無さんは本気出せば仕事出来る人だからなぁ……サボるけど。でも、別に琴葉が同じように振舞う必要はないんだぞ？人にはそれぞれ得手不得手があるんだしな
琴葉,でも、私プロデューサーと話してるだけで
P,話してるだけだって良いじゃないか。俺は、琴葉と話せてとっても楽しかったしな！
琴葉,そうなんですか？でも、人と話してたら大抵楽しくなると思うんですけど……
P,そうでもないぞ？話しててストレスばっかり溜まるようなおっさんとかもいるしなー
琴葉,……黒井社長とかですか？
P,あの人は一周回って面白いかな……
琴葉,そ、そうなんですか……？
P,……ともかくだな。琴葉は、琴葉のやり方で俺を助けてくれただろ？それで良いんだよ、それ以上に求める事なんて何もないんだからさ
琴葉,……ふふっ、もう。プロデューサーは、やさしいです……ね……
P,喋らせすぎちゃったかな……。おやすみ、琴葉
琴葉,えへへ……。……あれ？
P,お、起きたか
琴葉,わ、私寝ちゃってましたか！？
P,ああ、やっぱりちょっと無理させちゃってたみたいだな……ごめん
琴葉,そんな！プロデューサーが謝る必要なんてないです！
P,そういってもらえるとありがたい……っと、そろそろ終業か。いいタイミングで起きたな、琴葉。そうだ！折角だし一緒にご飯でも行くか？俺が奢るよ
琴葉,そ、そんな！プロデューサーに悪いです！
P,気にするなって、ここまで付き合わせちゃったのは俺なんだしさ
琴葉,……それなら、良いのかな？
P,良いの良いの！遠慮するな！
琴葉,それじゃ、お言葉に甘えて……
P,そう来なくっちゃな！さて、何処に行こうか……
琴葉,あの、プロデューサー。一つだけ、お願いしても良いですか？
P,ん、どうした？流石に身分に合わない高級レストランとか指定されると困るけど……
琴葉,そ、そういうのじゃないです！。あの……今度は、プロデューサーの話を聞かせてもらえませんか？
P,俺の？でも、俺の話なんてつまらないと思うぞ？
琴葉,プロデューサーだって私の話聞いたじゃないですか。私が楽しみにしてるならおあいこですよ、おあいこ！
P,……ははっ、一本取られたな！それじゃ、昔の武勇伝でも語るとするか！
琴葉,……はいっ！それじゃ、行きましょうプロデューサー！
音無小鳥,以下、小鳥
小鳥,昨日は休んじゃったし、今日はきちんと定時で出社しないとね！。寂しがってるであろうプロデューサーさんのハートをキャッチですよ、キャッチ！。そしてあわよくば……ふふふ。よしっ！音無小鳥、準備完了！おはようございます！
琴葉,プロデューサー、予定書いてきました！
P,朝から悪いな、琴葉……
琴葉,そんな……私も、お手伝いできてうれしいですから
P,そう言って貰えるとありがたいな。……ところで、なんでまたスーツなの？
琴葉,……に、似合ってませんか？
P,いやメッチャ似合ってる、どっからどう見ても仕事の出来るオフィスレディだな！
琴葉,あ、ありがとうございます！
P,その衣装気に入ったか？
琴葉,ど、どうでしょう……皆褒めてくれるけど、実感がなくて
P,それはなんか勿体ないな……よし！今度スーツのCM取ってくる！
琴葉,ええっ！？そ、そんな悪いですよ！
P,良いんだよ、アイドルの長所を売り込むのがプロデューサーの仕事なんだからな！。それに、それなら琴葉も自覚できるだろ？
琴葉,もう……それじゃ、楽しみにしてますね
P,おう、任せろ！
小鳥,…………
琴葉,あっ、プロデューサー？ネクタイ、曲がってますよ
P,えっ、本当か？すまん、ちょっと見落としてたかも
琴葉,ちょっと待っててくださいね……。はい、これで大丈夫です！
P,悪いな、琴葉……ありがとう
小鳥,……美咲ちゃん
青羽美咲,以下、美咲
小鳥,どういう事！？私の、私の定位置が……！
美咲,あわわ、落ち着いてくださいいい
小鳥,やっぱり若さなの！？フレッシャーズが勝ち組なの！？
美咲,ゆ、揺らさないでくださいよおおおお！
琴葉,それじゃ、今日もお仕事頑張りましょうね！プロデューサー！
