北条加蓮,お待たせー
藍子,じゃあ、お言葉に甘えてっ。じ～
加蓮,ハァ。……んー、こっちかなぁ、それとも……
藍子,じ～
加蓮,んー…………
藍子,じ～
加蓮,よし決めた。たぶんこれだっ。藍子は？加蓮ちゃんのリクエスト、分かった？
藍子,じ～
加蓮,……………………
藍子,いたいっ！なんだかさっきより痛いですっ
加蓮,さっきより痛くしたもん。で？決まったの？
藍子,決まったって、何が？
加蓮,……………………
藍子,いったぁ！何なんですか～っ
加蓮,……アンタ、私達が何の話をしてたのか覚えてる？
藍子,へ？えっと、ちょっと待っててくださいね。確か、加蓮ちゃんがＰさんと電話していたお話があって、その後に――
加蓮,相手が食べたそうにしてる物を注文するって話よこのノロマっ！
藍子,ゎ！
加蓮,よけるな！
藍子,よけます！
加蓮,もー……。このミニハンバーグってのが食べたいからそれでいい？いいよね。すみませーん。ミニハンバーグと、あと生クリームパフェと、コーヒー２つでー。お願いねー。全くっ
藍子,……だって、加蓮ちゃん見てるの楽しくて……
加蓮,ごちそうさまでした
藍子,ん～……♪
加蓮,相変わらず美味しそうに食べるなぁ。……一口、
藍子,？。はいっ、加蓮ちゃん♪
加蓮,いやごめん、一口って言いそうになったけど、たぶんそれ甘すぎて私には無理……
藍子,むぅ
加蓮,ごめんってばー。まぁ？藍子ちゃんが？加蓮ちゃんにどうしても、あーん、ってしたかったのは分かるけどー？
藍子,分かっているなら、どうして思わせぶりなことを言うんですかっ
加蓮,え、逆ギレ？
藍子,もぐもぐ……♪
加蓮,……んー、あれ？なんか目がぱちぱちする……？
藍子,！？
加蓮,疲れ――藍子？なんでそんなぎょっとしてんの？
藍子,……、。……、。加蓮ちゃん。今日は家に戻って、熱いお風呂に入って、体を暖かくして寝ましょう
加蓮,何急に
藍子,あとこの前お母さんに相談したんですけど風邪薬って予防にもなるって言ってました。だから絶対飲んでくださいね。もし家にないなら帰りに、
加蓮,何急に！別に体調崩してないわよ！アンタもＰさんと一緒かっ！
藍子,だって加蓮ちゃん――
加蓮,ちょ……いや、え、は！？泣くこと！？
藍子,加蓮ちゃん、
加蓮,勝手な想像で勝手に泣かれるとか面倒すぎて……えーと……とにかく！面倒なんだけど！？
藍子,何もしてないのに疲れてる時って、たいていその後、体調を崩すじゃないですか。あの桜の日もそうだったじゃないですか……。うぅ
加蓮,桜の日……？あぁ、あの時の……。暖かくなったから思い出しちゃったんだね。ごめん
藍子,ううん……。加蓮ちゃんのせいじゃないですから
加蓮,あの時もそうだったって、私予兆みたいなの見せてた？
藍子,ほんのちょっぴりだけれど、見せてました。なんにもないのに少しお疲れ気味だったり、くしゃみをしてたり！
加蓮,そうだっけ？……いや、だからさ、なんで私も気づいてないことアンタが気づいてるの？。とにかくホントそういうのじゃないから。安心して？ね？
藍子,……ほんとですか？
加蓮,ホントホント。ほら、涙拭きなさいよ。はい、ハンカチ
藍子,……
加蓮,……今度は何
藍子,……。……ふいて？
加蓮,自分で拭けぇ！
藍子,あぅ。……
加蓮,……、。……とにかく、そういうのじゃないから安心して。ね？無理とか無茶でもなくて、ホントにそういうのじゃないから
藍子,……
加蓮,よし。でもさ、なんだか目がぱちぱちしてさー。冬は乾燥するから大変ってお母さん言ってたけど、気にしたことないんだよね私。もしかして老けちゃったかなー……
藍子,う～ん？でも、言われてみれば、今日ってなんだか乾燥していますよね
加蓮,藍子は気にする方なんだ
藍子,ちょっぴりだけ、ですよ
加蓮,んー。そういう日なのかな
藍子,今日の天気は……。普通の曇りですね
加蓮,寒くもないよね？
藍子,そういえば最近、雨があんまり降ってません。もしかして花粉症……？
加蓮,私はならないから平気。そういえばなんかニュースで言ってたよねー。藍子的にはラッキーでしょ。お散歩しやすいし
藍子,何言ってるんですか加蓮ちゃん。雨の日には、雨の日にしか見つからないものがあるって、加蓮ちゃんも知ってるでしょ～？
加蓮,あはは、やっぱり私は晴れてる方が好きかな？
藍子,目がお疲れなら、目薬なんてどうですか？
加蓮,持ってなーい。藍子は？
藍子,無いです……
加蓮,残念。……別に買いに行こうとコート羽織らなくていいよ？
藍子,そうだ。目が疲れている時には、熱いおしぼりもいいんですよねっ
加蓮,だから疲れてる訳じゃないってばー。でも試してみよっか。せっかくだし
藍子,試してみましょうっ。すみませ～んっ
加蓮,……で？
藍子,？
加蓮,おしぼりを目に当てるって話なのに、なんで膝枕がいるの？
藍子,だって、横にならないと目に当てにくいですよ？
加蓮,それはそうだけど、藍子がいる必要はないじゃん
藍子,加蓮ちゃん
加蓮,何
藍子,はい、どうぞ♪
加蓮,アンタがやりたいだけでしょこれ……。はいはい。じゃあ、お邪魔しますっと。おしぼりを目に当てて――。……。……思ってたより気持ちよくないかも
藍子,あれっ？
加蓮,ほら、やっぱりね？私疲れてないんだよ。効果ないってことは私疲れてない！
藍子,良かったですね、加蓮ちゃんっ
加蓮,よいしょ
藍子,！
加蓮,……
藍子,……
加蓮,……？
藍子,……あ、あはは、つい
加蓮,……まーいいけど
藍子,……♪
加蓮,２時間が経ちました
藍子,２時間が経ちましたね
加蓮,……藍子のゆるふわの呪いって、１時間で解除されるんじゃなかったっけ？
藍子,の、呪いって何ですか
加蓮,呪いは呪いでしょ！私を膝の上に２時間も置いて！
藍子,加蓮ちゃんだって気持ちよさそうに目を細めてたじゃないですか！
加蓮,うぐ
藍子,あとちょっぴりうたたねもしていました！
加蓮,うぐぐ……。……よしっ。この話はお互い無かったことにしよう
藍子,は～い
加蓮,……お互いも何も劣勢なの私だけだったんだけどねー。そこに気づかない辺りは変わらないんだね、藍子
藍子,？加蓮ちゃん、また悪だくみですか？口のところが、なんだかイタズラっぽく曲がってますよ
加蓮,うんうん、やっぱりカフェでは向かい合って座る方が私達らしいね
藍子,……？そうですね。こうしていた方が、加蓮ちゃんの顔を見やすいです
加蓮,うんうん。藍子だねー
藍子,……？？。そういえば……目の、治りましたか？
加蓮,んー、それがビミョー。やっぱり気になるっていうか、ぱちぱちするっていうか……
藍子,やっぱり具合が悪いんじゃ――
加蓮,違うっての。何？アンタそんなに私を布団に連れ込みたいの？
藍子,……本音を言えば、そうなります
加蓮,えー
藍子,本音を言ってしまってもいいのなら――
加蓮,うん、言っちゃえ言っちゃえー
藍子,加蓮ちゃんにはずっとお布団の中にいてもらいたいです！
加蓮,おぉー
藍子,そして、私がそれをずっと見守っていたいですっ
加蓮,……ごめん後半は聞かなかったことにしたいわよ。だからそういうの怖いんだけど
藍子,加蓮ちゃん
加蓮,ん
藍子,次のお仕事は、お布団の中からやりましょう！
加蓮,何ができるのそれ！？
藍子,何ができるか考えてみましょうよ。ほらほらっ
加蓮,えええぇ……。布団の中って……。トークくらいしかできなくない？他に何かある？
藍子,そうですね～。お布団の中から、LIVEですっ
加蓮,できる訳ないでしょ！機材とか音源とか、っていうかステージじゃないじゃん！
藍子,LIVEはダメですか？それなら、加蓮ちゃんがお布団の中に入って、私がそれを撮って、アイドルのグラビアってことにしませんか？
加蓮,しないわよ！またファンレターとかSNSで殺されるんだけど私！"#幽霊アイドル加蓮ちゃん"とかハッシュタグつけられて定期的にバズられるのさすがに嫌なんだけど！？
藍子,確かに……幽霊ではあまり可愛くないので、お化けにしましょうか
加蓮,そこじゃない！
藍子,これもダメですか？他にずっと生きていられるのって――
加蓮,私は人間なんだけど！
藍子,グラビアも無理なら……では、ラジオは？
加蓮,ラジオ……。あー……ラジオかぁ……。ラジオなら、そりゃできるかもしれないけどさー……。お布団で？わざわざ？
藍子,ほら、ラジオの現場ではよく、リラックスしていこうって言われますよね。お布団って、すごくリラックスできると思いませんか？
加蓮,それは分かるけど……。じゃあ、お布団の中から届けるラジオ番組、藍子ならタイトル何にする？
藍子,ふぇ？
加蓮,……
藍子,……
加蓮,……
藍子,……ら、ラジオ・お化けの加蓮ちゃん――
加蓮,殺すな！！
藍子,でも、ほら。加蓮ちゃん、Ｐさんから新しいお仕事をもらえそうなんですよね？
加蓮,まー私だけじゃないんだけどね
藍子,？
加蓮,なんでもない。でもさ、それファッション系のヤツなんでしょ？布団と関係ないでしょ
藍子,そこは――
加蓮,そこは
藍子,お布団に身を包んだ加蓮ちゃんとか……
加蓮,斬新すぎるわよ……
藍子,もうっ。加蓮ちゃんは、さっきからわがまますぎですっ。あれもダメこれもダメ、って！どうしたら満足なんですか？
加蓮,まず布団っていうワードから離れなさいよ！
藍子,どうしてですかっ。加蓮ちゃんから、お布団を取ったら――。……あれ？いつも通りの加蓮ちゃんですね
加蓮,やっと気づいてくれた……。じゃあ、
藍子,いつも通りの加蓮ちゃんもいいですけれど、新しいお仕事だから、新しい加蓮ちゃんって言うのもいいですよね。じゃあ、やっぱりお布団――
加蓮,もうアンタが簀巻きになってステージにでも上がってろ！。すみませーん
藍子,この"ひとくち定食"、お願いしますっ
加蓮,お願いしまーす。……それにしてもメニューって増えてばっかりだよね。ほら、ページも増えてる
藍子,次は、何が増えるのかな？。……う～ん……
加蓮,？
藍子,あ、いえっ。さっきからずっと何かが気になっていて……。加蓮ちゃん、分かりますか？
加蓮,それで分かるほどアンタくらいにエスパーしてないわよ。なんか予定を忘れてるとか？
藍子,それは大丈夫です。ここに来た後で、スケジュールをもう１回確認しましたから
加蓮,来る前にしなさい……。じゃあ、連絡しないといけない相手がいるとか
藍子,私のことじゃないんです。このカフェで、気になることがあるというか……
加蓮,カフェで？
藍子,う～ん……
加蓮,誰かいるとか。友達とか、いつも握手会に来てくれる人とか
藍子,そうじゃなくて……
加蓮,じゃあ逆に誰かいないの？店員は普通にいたし……
藍子,そうでもないですっ
加蓮,ふうん。私は特に気になることはないけど……。また探偵モードやっとく？
藍子,あはは……。私は別に、探偵さんではありませんよ？
加蓮,いやいや。名探偵藍子ちゃんシリーズがあるじゃん
藍子,いつできたんですか、それっ
加蓮,確か……写真探偵でしょ？公園探偵に、加蓮ちゃんに失礼な探偵、そして今回のカフェ探偵
藍子,たぶん、写真探偵と公園探偵は同じ時のお話だったと思いますけれど――って、加蓮ちゃんに失礼な探偵？
加蓮,さっきの
藍子,もうっ
加蓮,っと、店員さん。ありがとー
藍子,ありがとうございますっ。これ、色んな料理が一口で食べられるサイズになって、並んでいるんですね
加蓮,一口定食だもんね。メニューの写真より種類多くない？
藍子,どれどれ……。本当っ。店員さんの、ちょっとしたサプライズなのかも？
加蓮,あー。かもね。メニューより本物の量の方が少ないっていうのはよくあるけどさ。逆なのはいいね。量が少ないとがっかりするし。……例えば駅横のハンバーガーショップとか
藍子,なんだか、恨みのこもった声が……
加蓮,ぺしゃんこにしたパンズ、しなしなのレタス、指が１本欠けたおもちゃ。……潰れればいいのに。藍子。探偵の権限で調査してきなさいよ。なんか不正とか見つけてちょっと潰してきてよ
藍子,無理ですっ。調査はできても、不正って……。それに、潰しちゃダメだと思います
加蓮,やっぱり？。……あ
藍子,？
加蓮,言っとくけどおもちゃは奈緒だからね。私じゃないからね？
藍子,は、はあ。……あぁそっか。指が欠けちゃったおもちゃって、注文しないと分かりませんよね
加蓮,そういうことよ藍子探偵。先回りして言っとくけど、違うからね？
藍子,ふふっ、分かってますよ
加蓮,ならいーけど。探偵かー。ふと思ったんだけど失礼な探偵ってどんなのだろ。ほら、ドラマとかでもさ、失礼っていうかウザい警官はよく見るけど、ウザい探偵ってあんまり見なくない？
藍子,そうですね。失礼な探偵……。勝手に人の家に入ったり、聞き込みをしたり……とかでしょうか？
加蓮,人の事情にズケズケ踏み込んできたりとか。ほら、アンタが犯人なんでしょ？って感じでさ
藍子,今の、凛ちゃんの物真似？
加蓮,ちょっと意識してみた。絶対探偵役とか似合うって。藍子、ちょっと張り合ってきなよ
藍子,協力でいいじゃないですか～
加蓮,でもさ、探偵って何人か集まったらバトルしてない？プライドを賭けた勝負！誰よりも早く真実へたどり着いてみせる！的なヤツ
藍子,確かに、マンガでもよく、ライバルが出てきたりしますよね。協力なら、助手さんや弟子さんが出てくるでしょうか？
加蓮,弟子……
藍子,お手伝いします、加蓮先生っ♪
加蓮,いらないからそこで共犯役にでもなってなさい
藍子,探偵が犯人ですか。それは、あんまり見たことがないような？
加蓮,なんかダメなんだって。Ｐさんが言ってた
藍子,そうなんですね。共犯ってことは、私は誰かと協力するんですか？
加蓮,主犯は私
藍子,そんなことだとは思ってました……。きっと、Ｐさんが大事にとっておいたポテトを、勝手に食べちゃったとかですよねっ
加蓮,え？Ｐさんは私の物だって言って監禁するけど
藍子,たまには穏便に済ませましょうよ！
加蓮,こういう時の警察役って、まゆとか凛になったりするのかなぁ。……。……藍子、失敗したら許さないからね
藍子,き、急に真面目な顔に……。でも、まゆちゃんや凛ちゃんが警察役だったら、確かに加蓮ちゃんは捕まっちゃダメですね
加蓮,でしょ？期待してるわよー、弟子ー
藍子,がんばらなきゃっ
加蓮,ごちそうざまでした
藍子,ごちそうさまでしたっ。ふふ、ちょっぴり意外でしたっ
加蓮,？何が？
藍子,だって、いつの間にか野菜の料理がほとんどなくなっていて。食べたの、加蓮ちゃんですよね？
加蓮,あー……
藍子,好きな物、ポテトから野菜に変えたんですか？
加蓮,そういうつもりじゃないんだけどね。周りが栄養摂れ摂れってうるさいからかなぁ……。そんな優等生になりたい訳じゃないのに
藍子,いいじゃないですか～。そうだっ。今度、お肉も野菜もいっぱい入った料理、作ってきましょうか？
加蓮,いいね……ってちょっと待って。一応聞いとくけどそのレシピ誰の？
藍子,茜ちゃんに教えてもらっ――
加蓮,パス！
藍子,り、量はちゃんと調節しますから。ねっ？
加蓮,……、それならいいかなぁ
藍子,今度、一緒に作りませんか？
加蓮,パス
藍子,……あれもパスこれもパスって、加蓮ちゃん、やっぱりわがままですっ
加蓮,食べる係ならいくらでもやってあげるからそう怒らないの――。……？
藍子,加蓮ちゃん？
加蓮,ん、いや今急になにかむずってしたっていうか、そわってしたような……
藍子,そわっ、て？
加蓮,そわっ
藍子,そわっ？
加蓮,そわ
藍子,そわ……
加蓮,あははっ。ゾワゾワってほどじゃないんだけど、こう、だから"そわ"ってした感じ？
藍子,なるほど～。何の動物のことかな？って悩んじゃいました
加蓮,そわ。そわそわ……。なんか白鳥っぽい？
藍子,確かに……？でも、続けて言ったら、加蓮ちゃんが"そわそわ"しているみたいになりませんか？
加蓮,オーディションで自分の前の番号の子が入った後みたいな？
藍子,次の日が課外学習の時の夜みたいな？
加蓮,新曲を用意してくれたってＰさんが教えてくれて、その帰りを待つ時的な
藍子,いつも読ませてもらっているマンガを、未央ちゃんが買ったって教えてくれて、読みに行く途中のようなっ
加蓮,……ちょっとくらいアイドルらしい例えを出しなさいよ
藍子,……み、未央ちゃんだってアイドルですし。それより、"そわ"ってしたんですか？
加蓮,うん。なんかいつもあるはずの物がない……いや逆かな、いつもないハズの物が……
藍子,いつも、ないはずのもの……
加蓮,……
藍子,……
加蓮,……暖房っていつもこんなにうるさかったっけ？
藍子,いつもより、だいぶ音が聞こえますよね……？だっていつもは、暖炉の形に積み上げたレンガの中に、ストーブを入れてて、だから暖房はひかえめ設定――。……あれっ？。た、大変です加蓮ちゃん。いつもの暖炉がありません！
加蓮,え？何言ってんの、壁にいつものようにレンガ――あれ絵だ！レンガじゃなくて壁に絵を描いて、いや絵を貼ってる！
藍子,暖炉さんはどこへ！？
加蓮,もしかして目が変な感じだったのってそれで……。すみませーん！暖炉！暖炉はどうしたの！？
藍子,えっ……リニューアル？
加蓮,レンガは新しい物を探すから、その間だけ絵に変えた……？
藍子,……
加蓮,……
藍子,よかった、なくなった訳じゃなかったんですね
加蓮,もうアレないと寒い季節は生きてられなかったもんねー
藍子,そんな大げさなっ
加蓮,藍子だってそうでしょっ。なんで今まで気付かなかったのよ。それに何よ"暖炉さん"って
藍子,あ、あれはつい。……加蓮ちゃんだって、慌てて店員さんを呼んだ時の声、すごく必死でしたよ？
加蓮,だって場合によってはここを駅横のハンバーガーショップと一緒に潰さなくちゃいけなくなるし
藍子,やめて～っ！
