丸山彩,ふむふむ……あー、そっかぁ……
麻弥,そ、そうですか？眼鏡とコンタクトのことは別として、ドラムを褒めてもらえるのはやっぱり嬉しいですね……フヘ、フヘヘ……
日菜,……あれ？なんか千聖ちゃん、顔がちょっと険しくなってない？
千聖,気のせいよ、日菜ちゃん。それより……麻弥ちゃん
麻弥,はい？
千聖,麻弥ちゃん、最近その笑い方が増えてないかしら？
麻弥,え、そうですかね？
日菜,あー、確かに。慣れちゃったからあんまり気にしてなかったけど、最近フヘってることが多い気がするね
彩,うーん、言われてみれば……
イヴ,多い気もしますね。でも、それもマヤさんの個性だと思います！
千聖,ええ、そうね。ただ、やっぱりアイドルとしてね？あんまり褒められた笑い方じゃないのは確かよね？
麻弥,うっ……
千聖,イヴちゃんの言う通り、それは麻弥ちゃんの個性だとは思うわ。だから完全に失くせ、なんてことは言わないけど……でもやっぱりね。最近はちょっと多すぎる気がするわ。もうこのことを注意したのも大分前だし、ここら辺でもう１回、改めて気をつける必要があるんじゃないかしら
麻弥,……確かに千聖さんの言う通りですね。最近はあまりみなさんからも注意されませんでしたから、少し気が緩んでいたかもしれません
千聖,口うるさくなってしまってごめんなさいね、麻弥ちゃん
麻弥,いえいえ！むしろありがとうございます、千聖さん。こういうことにもしっかり気を付けないといけませんから
イヴ,うーん、私はこのままでもいい気がしますが……
千聖,ダメよ、イヴちゃん。こういうことは見直せるときにしっかり見直さないと、後々に響いてくるんだから
麻弥,ええ、その通りだと思います。このままでもいいって言って頂けるのは嬉しいですが、それで何かあってみなさんに迷惑がかかるのはジブンも嫌ですから
イヴ,そうですか……うーん……よし、それなら！
彩,わっ、どうしたの、イヴちゃん
イヴ,マヤさんがそう言うのであれば、私もそのお手伝いをします！
麻弥,お手伝い……ですか？
イヴ,はい！ギを見てせざるはユウ無きなり、です！マヤさんにはいつも助けられていますし、今度は私は一肌脱ぐ番です！
麻弥,いいんですか？
イヴ,任せてください！
千聖,そうね。１人で注意する、というだけでは限界があるだろうし、イヴちゃんが手伝ってくれるなら心強いと思うわよ
麻弥,そ、それじゃあ……お手数をかけてしまってすみませんけど、お願いしてもいいですか？
イヴ,はい！ゼヒもありません！
彩,イヴちゃん、多分だけどそれ、真逆の意味の言葉だと思うな……
芸能スタッフ,あ、みなさん揃ってますね。そろそろ撮影の時間なんで、移動をお願いします
日菜,はーい
千聖,それじゃあ行きましょうか
彩,うん！
麻弥,はい！……イヴさん、ありがとうございます
イヴ,いえいえ！マヤさんの助けになれるなら私も嬉しいですから、お気になさらないでください！。早速今日から気を付けていきましょうね！
麻弥,はい、よろしくお願いします！。やっぱりパスパレのみなさんは優しいな……。ジブンもみなさんの足を引っ張らないように、しっかり気を付けていこう！
千聖,今日の撮影はスムーズに終わったわね
彩,うん！今回の写真は新しいＣＤのジャケットとかに使うんだよね？出来上がりが楽しみだなぁ
日菜,あたしが薫くんの儚いポーズを真似した写真、使われるかな？
千聖,……日菜ちゃん、それを使われるのだけは何があっても私が阻止するわよ？
麻弥,それにしても、やっぱりみなさん、なんていうか撮られ慣れてますよね。ジブンはまだまだカメラの前だと緊張しちゃいます。笑顔笑顔って気を付けてたけど、ちょっとぎこちなかったような気がします……
イヴ,そんなことないです！マヤさんの笑顔、とても素敵でした！それに控えめな笑顔の方がマヤさんらしくて良いと思います
麻弥,そ、そうですかね？フヘヘ、ありがとうございま――あっ
千聖,麻弥ちゃん……
麻弥,す、すいません、撮影が終わってちょっと気が緩んでいました
イヴ,…………
麻弥,……あれ？イヴさん、なにか近くないですか？
イヴ,えいっ！
麻弥,え、ちょっ、イヴさん！？
日菜,どしたのイヴちゃん。急に麻弥ちゃんにハグして
イヴ,はい！撮影中に考えていたんです。どうすればマヤさんの役に立てるかって
麻弥,そ、それとこれとにどんな関係があるんですか！？
イヴ,マヤさんはハグされると照れくさいって言ってました！だから、ショック療法です！。フヘヘって言うたびにこうすればきっと良くなります！
彩,一理ある……のかな？
千聖,まぁ……言葉で注意するだけよりはいいと思うわね
イヴ,そういうことです！しばらくの間、出来るだけマヤさんの傍にいて、こうしてハグします！
麻弥,えぇっ、いや、でもそれは流石にイヴさんに悪いというか……
イヴ,大丈夫です！私はマヤさんにハグするの大好きですから！大船に乗ったつもりで任せてください！
千聖,イヴちゃんがそう言っているんだし、いいんじゃないかしら？
日菜,そーだよ、麻弥ちゃん。素直に甘えちゃいなよ
麻弥,うぅ……でも、やっぱり照れくさいッスよ……
イヴ,だからこそ、です！こうすればきっと笑い方も直りますし、それも含めて修行です！
千聖,そうね。そういうのに慣れることもアイドルとして必要だと思うわよ。イヴちゃん、麻弥ちゃんのことをお願いね
イヴ,はい！マヤさん、覚悟してくださいね！
麻弥,わ、分かりました……。そうだ、これはジブンの笑い方を改善するためのことだし、フヘヘ笑いをしなければいいんだ。手伝ってくれるイヴさんの為にも、しっかり気を付けていかなくっちゃ……！。それから１週間が経ちました。イヴさんは本当に、学校にいる時以外はほとんどジブンの傍にいるようになりました。イヴさんの部活やバイトがない時は羽丘までやってきて、パスパレの活動があれば共に事務所に行き、なければ演劇部の練習にも顔を出したり、一緒に帰ることもたくさんありました。そしてジブンがフヘヘ笑いをする度に、楽しそうな、あるいは無邪気な笑顔を浮かべ、マヤさん、覚悟！。場所はお構いなしです。下校する生徒がたくさんいる羽丘の校門付近だろうが、電車の中だろうが、事務所だろうが、羽沢さん家の喫茶店だろうが、どこでもです。最初こそそれに戸惑いました。イヴさんはいつも良い匂いがします。それと、ジブンも女子の中では背が高い方ですが、イヴさんはそんなジブンよりもちょっとだけ背が高いので、目線の高さが同じくらいです。なので、顔が非常に近いです。ものすごく整った、まさに妖精そのものといったイヴさんの笑顔がものすごく近くに来る。それにドキッとしてしまいます。ただ……慣れというのは恐ろしいものです。そんな日々を過ごしているうちに、イヴさんにハグされることはいつも通りな日常の１コマ、という認識になってしまいました。照れくさいからと気を付けていたフヘヘ笑いも、だんだんと気兼ねなく出てくるようになってしまいました。まつ毛の長い瞳、スラリと整った身体の柔らかさ、きめ細かくてスベスベの肌、微かなシャンプーの甘い香り。ハグされるたびに感じるそれらにドギマギしていましたが、最近はあまり慌てることもなくなりました。相変わらずドキッとはしますが、イヴさんを受け止める余裕さえ持てるようになりました。……なので、効果が見込めない以上、ハグはもう止めにした方がいいのではないか、と自分は思います
イヴ,そうですか……
麻弥,パスパレのレッスンルームにジブンとイヴさんが２人。良い匂いがするとかそういうところは伏せてジブンの気持ちを伝えると、イヴさんはシュンとした顔で肩を落としました。その、やっぱりずっと羽丘に来てもらったりしてるのも悪いですし……。イヴさん、部活にアルバイトにって、パスパレ以外にも大変じゃないですか。その姿に罪悪感が募り、まるで言い訳みたいなことを話してしまいます
イヴ,んー……
麻弥,……あの、イヴさん？
イヴ,うーん……
麻弥,しかしイヴさんはイヴさんで、何か思案顔のまま唸り声をあげています。おーい、イヴさーん……
イヴ,……あっ、そうだ！
麻弥,と、イヴさんはパッと何かを思い付いたような顔になり、ズイッと自分に身を寄せてきました。イヴさんの顔がすぐ目の前にあります。以前であれば慌てる距離でしたけど、今ではもう慣れてしまった距離です
イヴ,マヤさん、覚悟！
麻弥,で、ですからハグはもう慣れてしまったというか――
イヴ,んっ
麻弥,――えっ？。言いかけたジブンの頬に何か柔らかい感触が
イヴ,……ふふ、マヤさんの頬っぺた、とても柔らかいですね！
麻弥,い、イヴさん？いま何を……
イヴ,はい！頬にキスをしました！
麻弥,…………。……ええ！？
イヴ,ハグに慣れたのなら、今度はキスです！
麻弥,イヴさんの言葉と行動を理解して、口から変な声が出ました。しかしイヴさんは何故かドヤ顔でした。今にもしてやったり！。あ、あ、あの、イヴさん！？それはっ、非常にマズいのでは！？
イヴ,大丈夫です！これは親愛のキスです！私はマヤさんのこと、大好きですから！
麻弥,い、いやいやいや！多分これはそういう問題じゃないですよ！？
イヴ,あっ……マヤさんは私にキスされるの、嫌でしたか……？
麻弥,え、いや……そ、そんな悲しそうな顔をしないで下さい！ジブンも、その、イヴさんのことは好きですけど、それとこれとは話が違いますって！！
イヴ,好きなら大丈夫です！これならきっと、マヤさんのフヘヘ笑いの癖もよくなりますから！
麻弥,悲しそうな顔をした後、ジブンの言葉を聞いてすぐにパッと輝く笑顔になるイヴさん。その笑顔を曇らせるようなことがどうしても言えませんでした
イヴ,それじゃあ、これからはあの笑い方をする度に、頬にキスしますね！
麻弥,うぅ……わ、分かりました……
イヴ,さぁ、これからも頑張っていきましょうね、マヤさん！
麻弥,は、はい……。頬とはいえど、キスは流石にマズいです。なら……ここはジブンがしっかりフヘヘ笑いをしないように気を付けないと……！。そんなことを思ってからまた１週間が経ちました。流石に公衆の面前で頬にキスされるのは照れくさいとかそういう次元を超えています。モラルというか、そういうものがジブンの中で崩壊するような気がします。だから本当に気を付けていました。ただ……幼いころからの癖というのはなかなか抜けないものです。普段から、特にイヴさんが隣にいる時は――いや、最近はイヴさんが隣にいない時間の方が短い気がしてますけど――細心の注意をしていますが、ふとした時にフヘヘ笑いが漏れてしまいます。不意打ちで褒められた時や、千聖さんの厳しいレッスンが終わったあと、彩さんのＭＣの練習に２時間付き合ったあとや、何かと爆弾発言をしやすい日菜さんと一緒のインタビューを受け終わったあとの、気の抜けた瞬間です。フヘヘ、と笑った刹那、イヴさんがしなやかに腕を伸ばしてきてジブンを捕まえ、頬にキスしてきます。最初はそれを見て驚いていた彩さんも、今では本当に２人は仲が良いね。千聖さんは……ＭＣの練習で噛むたびに彩ちゃんにやってみようかしら。日菜さんはこれは親愛のキスです！という話をイヴさんから聞いたあと、おねーちゃんにやってみよう！。それから次の日に勢いでガッとやったらおねーちゃんにはたかれちゃった。またやろーっと♪。……そして、パスパレのみなさんがそれに慣れたように、ジブンも気付いたらイヴさんからのキスに慣れていました。慣れというのは本当に恐ろしいものです。頬に伝わる柔らかな感触。それすらも当たり前な生活の一部なんだとジブンの脳は認識しだしたようです。なので、１度は減ったフヘヘ笑いの頻度も、日を重ねるごとにまた増えてきてしまっています。フヘヘと笑ったってイヴさんの唇がジブンの頬をつつくだけ。そう思えるようになってしまったジブンがなんだか怖いです。……なので、頬にキスをするというのも止めにした方がいいのではないかと思います
イヴ,そうですか……
麻弥,パスパレのレッスンルームにまたイヴさんと２人。千聖さんの呟きは伏せてジブンの気持ちを伝えると、イヴさんはシュンと落ち込んだ顔で肩を落としました。……そういう表情を見るとなんとかして笑わせたい、明るい顔になって欲しいと思うようになったのはイヴさんには秘密です
イヴ,うーん……
麻弥,あの、イヴさん？流石にこれ以上照れくさくなるようなことはないと思いますし、もうジブンは十分手伝って貰いました。だからそんなに考え込まなくても――
イヴ,……よし、決めました！
麻弥,は、はい？。イヴさんはグッと握りこぶしを作り、キリッとした顔でジブンのことを見つめてきます。その瞳に強い意志の炎が宿っているような気がして、思わず身を退いてしまいます。そんなジブンにイヴさんは詰め寄ってきたかと思うと、
イヴ,マヤさん、覚悟！
麻弥,ガシッと、両手で顔をホールドされました。あれ、なにか嫌な予感がする
イヴ,んっ――
麻弥,そう思った時には目の前……比喩表現でもなんでもなく目と鼻先よりも近くにイヴさんの顔が。イヴさんは目を瞑り、長いまつげが微かに震えていました。そしてジブンの唇にとても柔らかいモノが触れました。その先のことは覚えていません。ただ、頭が真っ白になっていたような記憶が微かにあります
イヴ,――っはぁ……
麻弥,…………
イヴ,頬に慣れてしまったのなら、次は唇です！
麻弥,…………
イヴ,サスガにちょっと私も照れくさいですけど……でも、えへへ。なんだかとってもフワフワして心地のいい気持ちです！
麻弥,…………
イヴ,これならきっと、フヘヘ笑いもなくなりますね、マヤさん！……あれ？
麻弥,…………
イヴ,どうしたんでしょう、真っ白な灰のようになってます
麻弥,…………
イヴ,んー……レッスンに疲れて眠ってしまったんでしょうか
麻弥,…………
イヴ,こんなところで眠ったら風邪を引いてしまいますね。事務所までおぶっていきましょう！
麻弥,記憶が定かではありませんが、ただなんとなく、イヴさんにキスを――今までのようなものではなく、マウストゥマウスで唇を奪われた夢を見た気がします。そう、あれは夢です。唇に感じた柔らかさもすべて一夜の幻で、朝日の前に霧散する儚いものなのです。……そう思っていたかった。マヤさんの唇、とっても柔らかいですね！という無邪気な笑顔から放たれたイヴさんの言葉が忘れられません。そしてジブンのあんぽんたんな平和ボケした脳みそもやっと学習をしました。フヘヘ笑い＝ヤバいもの。重ねられた唇の柔らかさ、今までよりずっと近くで聞いたイヴさんの息遣いが脳の深いところに刻み込まれ、ようやくそういう紐づけがされたようです。減りました。激減しました。ほぼなくなりました。フヘらなくなりました。笑うならおほほ。万が一にでもフヘりそうな時はイヴさんが絶対に近くにいない時だけ。今までならその気持ちも次第に薄れていきそうでしたが、今回はずっとその気持ちを持ち続けられました。何故なら３日に１回はイヴさんに唇を奪われる夢を見るからです。おかげでフヘらなくなりました。ただ慢性的に寝不足になりました。でもイヴさんの笑顔を見ると元気が湧いてくるようになったので、パスパレのお仕事は今まで以上に頑張れています。不思議ですね
彩,はい、それでは今日も始まりました、丸山彩の彩タイム。私と同じパステルパレットから、若宮イヴちゃんと大和麻弥ちゃんでーす！
麻弥,一ヵ月前ころから始まった、彩さんがソロでパーソナリティを務めるラジオ番組。今日はそこに、イヴさんとジブンがゲストとしてお呼ばれしました
イヴ,押忍っ！若宮イヴです！よろしくお願いします！
麻弥,ご紹介にあずかりました、大和麻弥です。本日はよろしくお願いします
彩,２人とも、よろしくねっ！いやー、今日は初めての生放送だから、パスパレの２人と一緒で本当に良かったよ
麻弥,はい！彩さん、フォローは任せてくださいね！
イヴ,今日は噛んでも大丈夫ですよ！私とマヤさんでカバーはしっかりやり遂げます！
彩,麻弥ちゃん、イヴちゃん。その言葉は嬉しいけど、私がなにかとちるの前提で言うのは止めてね……？
麻弥,あ、すみません。いつもの癖でつい……
イヴ,でも、それもアヤさんらしくて素敵だと思います！
彩,もーっ！２人ともヒドいよー！
麻弥,彩さんは緊張してしまうとミスをしやすくなるので、出来るだけいつも通りのジブンとイヴさんで番組に臨もう。生放送で緊張している彩さんを見て、イヴさんと秘密裏に決めたことでした。それがいい方向に作用しているみたいで、彩さんも本番前の硬い表情から離れたいつもの笑顔になっています。番組はそうしてつつがなく進んでいきました
彩,それじゃあ、次は普通のお便り、いわゆるフツオタのコーナーです。今日は麻弥ちゃんとイヴちゃん宛てにいっぱいメールが届いてるよ！
イヴ,本当ですか？えへへ、ファンのみなさん、いつもありがとうございます！
麻弥,ちょっと照れちゃいますね……
彩,それじゃあ早速１通目。ラジオネーム小型犬を飼いたいさんから。こんばんは。彩ちゃんの番組、いつも楽しく聞かせて頂いていますありがとー、小型犬を飼いたいさん！。さて、今回は麻弥ちゃんとイヴちゃんがゲストということで、麻弥ちゃんに伝えたいことがあります
麻弥,え、いきなりジブン宛てですか？
イヴ,人気者ですね、マヤさん！
彩,麻弥ちゃんといえば、機材オタクに意外とインテリなところが魅力的だと思いますが、それよりなにより、キュートな眼鏡が素敵だと私は感じています。コンタクトレンズ派の人たちの言い分も分からないでもありませんが、私としては眼鏡の麻弥ちゃんをどんどん推していきたいと思っています。なので、今度是非、眼鏡をかけてライブをやって欲しいです……だってさ、麻弥ちゃん！
麻弥,あ、あはは……なんだかちょっと照れちゃいますね。そうですね、そういう需要があるのであれば今度は眼鏡でステージに立とうかなと思います
彩,そうだね～。私たちは練習で見慣れてるけど、そういう姿も新鮮でいいと思うな。って、あれ？
イヴ,どうかしましたか、アヤさん？
彩,えっとね、番組のコメント欄に今すごい数の呟きが……えーと、眼鏡なんてナンセンスだ裸眼の麻弥ちゃんこそ至高麻弥ちゃんのコンタクトレンズになりたい人生だった
麻弥,あっ、本当にいたんですね、コンタクトレンズになりたい人……
彩,今度は眼鏡を付けて欲しいってメッセージがたくさん……。なんていうか……すごいね、麻弥ちゃん
イヴ,それだけファンのみなさんがマヤさんのことを好きだってことですね！
麻弥,そ、そうなんですね。実感があまりないですけど……こうやって生でメッセージを頂けるとすごく嬉しいです……フヘヘ……。……あれ、今ジブン……。…………。っ！？。思わず、本当に油断していてうっかり出てしまったフヘヘ笑い。何かとてつもなく嫌な予感がしてイヴさんの方へ勢いよく振り向きます
イヴ,…………
麻弥,よ、よかった……流石に生放送中は、その、唇を奪うことはない――
イヴ,マヤさん
麻弥,――なんて思ったのも束の間、イヴさんの腕がにゅっと伸びてきて、ジブンの顔をホールドしました
彩,え？なになに？どうしたの、イヴちゃ――
イヴ,お覚悟！
麻弥,ちょ、流石にナマはまず――んむっ！？
彩,！？
イヴ,んんー……
麻弥,っ、っっ――！
彩,…………。！？
千聖,ふふ、良かった。スタッフさんに話した通り、私のメールを読んでくれたわ。麻弥ちゃん、あなたにはずっと悪いことをしたと思っていたの。あの日、彩ちゃんが麻弥ちゃんに寄り添ってずっとあなたのことを褒めるものだから……少しイジワルしたくなっちゃったのよ。だから難癖をつけるようにフヘヘ笑いが多いなんて言ってしまったの。嫉妬、なのかしらね。……いや、それはないわ。彩ちゃんがちょっと他の子を褒めたからって、そんなことでヘソを曲げるほど私は子供じゃないもの。でも麻弥ちゃんには本当に悪いことをしてしまった。だから、お詫びと言ってはなんだけど、生放送で麻弥ちゃんのファンを煽るようなメールを送って、実際にあなたがどれだけファンに愛されてるか知ってもらおうと思ったの。その思惑通りに事が動いてくれて一安心だわ。その笑い方はあなたの個性なんだからって、私も明日伝えなくちゃね。あら？。！？。え、え……？。これって確か、放送事故用の“はなまる◎アンダンテ”……。……私の彩ちゃんは無事なのかしら……？
イヴ,アヤさんのラジオ番組にマヤさんとゲスト出演してから１週間が経ちました。放送事故？の件は絵的にとても美味しいからお咎めなしです。ですが、何が放送事故だったのでしょうか……？。アヤさんに聞いてもきす……キス……！？。それはさておき、あれからというもの、マヤさんは完全にフヘヘ笑いをしなくなりました。チサトさんやヒナさんからも麻弥ちゃんらしい笑い方をして欲しい。これにて私のマヤさんのサポートは無事成功したと言えるのでしょう。ショシカンテツ、当初の目的をしっかりと完遂したことはとても喜ばしいことです。…………。喜ばしいことのはずなんです。でも、何故でしょうか。どこか寂しい気持ちが胸の中にあります。気が付くと私は、マヤさんを目で追っています。もう付きっきりでサポートをする必要はありません。なのに、些細な用事を見つけてはマヤさんの隣にいようとしています。フヘヘと、マヤさんが笑ってくれないか、隣でずっと待ってしまっています。もしもマヤさんがそう笑ってくれたなら……きっと私はずぐにでもマヤさんに飛びついて、ハグをするでしょう。ですが、今のマヤさんはフヘヘと笑ってくれません。だから、私はマヤさんにハグが出来ません。よく考えればそれはマヤさんの笑い方を直すためのルールだったのですから、本当はそんなことを気にしなくてもいいハズなんです。なのに、どうしてか、アヤさんやチサトさん、ヒナさんにするようには、マヤさんにハグが出来ません。もしもマヤさんが私のハグを嫌がったら。そんなことはあるハズないでしょうに、私はマヤさんに拒絶されることを想像して、二の足を踏んでしまいます。マヤさんがふと言葉に出すたび、期待を込めた視線でマヤさんを見て、そして続けられた何でもない言葉に落ち込んでしまいます。私はどうしてしまったのでしょうか……。はぁ……。放課後の教室で１人、私はため息を吐き出しました。今日は新曲の練習があります。だから早く事務所に行かなければいけないのに、私の足は椅子から立ち上がってくれません。パスパレに入って、みなさんに出会ってからこんな気持ちになったのは初めてです。私は本当にどうしてしまったんでしょうか
牛込りみ,……あれ、イヴちゃん？
イヴ,あ、リミさん……
りみ,どうしたの？１人で残ってるなんて珍しいね
イヴ,少し、考えごとをしていました……
りみ,考えごと？
イヴ,はい……
りみ,そうなんだ……
イヴ,リミさんはどうしたんですか？
りみ,うん、ちょっと明日までの宿題を教室に忘れちゃってたんだ
イヴ,そうだったんですね
りみ,……イヴちゃん、本当に元気がないみたいだけど、大丈夫？
イヴ,…………。リミさんが心配した顔で私のことを見つめてきてくれます。リミさんはとても優しい方です。控えめで、小さくてとても可愛らしくて……まさにヤマトナデシコ、といった方でしょう。思えばハンネが日本に来た時にも、リミさんにはものすごく助けられました。頂いた恩に報いず、さらに相手に恩を重ねるのはブシドーに反することでしょう。大丈夫ですよ、リミさん！。ブシは食わねどタカヨウジ、です。私は空元気を絞って、心優しいリミさんにこれ以上心配をかけないようにします。パスパレの新しい曲が少し大変で、それで考えごとをしていただけですから！
りみ,そ、そうなの？
イヴ,はい！演奏のイメージも掴めましたから、私はそろそろ行きますね！。いざ、シュツジン、です！
りみ,う、うん。頑張ってね、イヴちゃん
イヴ,ありがとうございます！それでは、また明日！。……教室に来てくれたのがリミさんで良かったと思います。きっかけはどうあれ、リミさんの優しい空気が私の重い腰を動かしてくれました。……よしっ。マヤさんとのことは、こうして考えてばかりいたって仕方ないことです。私は自分自身に気合を入れて、芸能事務所に向かいました。おはようございますっ！
麻弥,あ、イヴさん。おはようございます
イヴ,あ……はい。おはようございます、マヤさん……。レッスンルームに到着すると、あろうことかそこにいたのはマヤさんだけでした。リミさんに貰った元気がシューッと身体から抜けていってしまうような錯覚に襲われます。…………
麻弥,……イヴさん？
イヴ,あ、ええっと、他のみなさんはまだ来てないんですか？
麻弥,みたいですね。ジブンもさっき着いたばかりですが、一番乗りでしたし
イヴ,そうなんですね……
麻弥,はい
イヴ,…………
麻弥,…………
イヴ,そこで言葉が途切れてしまいました。マヤさんと話したいことがたくさんあるのですが、どうしてか私の口は開いてくれません。はぁ……。少し俯いた拍子にため息が口から零れました。このため息が言葉になればいいのに、なんてことをぼんやり考えました
麻弥,……イヴさん、その
イヴ,……？どうかしましたか、マヤさ――
麻弥,え、えいっ
イヴ,え？。声をかけられ、顔を上げると目の前にマヤさんがいました。そして、気合いの掛け声とともに私にハグをしてきました。マ、マヤさん……！？
麻弥,え、ええと、その……え、笑顔を忘れるのはアイドルとしていけないことだとジブンは思います！。最近のイヴさんはなんだかちょっと元気がなくて……その、そういう顔を見ていると居ても立ってもいられなくなるというか……と、とにかくですね！。今度はジブンの番です！イヴさんがアイドルとして、してはいけない表情をする度に……き、キスは無理ですけど、ジブンがハグをします！
イヴ,マヤさん……。マヤさんの言葉が胸に染み入ります。ギュッと抱き留められた私の体全身で、マヤさんの温もりを感じます。しばらくこうしてハグすることがなかったから、でしょうか。マヤさんの体温が、柔らかさが、香りが、私の心の奥底までものすごく強く響いてきます。さっきまで抱えていた寂しい気持ちもあっという間にどこかへ行ってしまいました。自然と顔が笑っているのが自分でも分かります。マヤさん……ありがとうございます！
麻弥,やっぱりイヴさんにはそういう明るい顔が似合ってますよ
イヴ,えへへ……マヤさーん♪。その言葉が嬉しくて、私からマヤさんに抱き着いて、体をすり寄せてしまいます
麻弥,……あれ、なんだかジブンがイヴさんをハグしてるっていうより、もうイヴさんにジブンがハグされてるような……まぁいっか
イヴ,ちょっと困ったようないつもの口調に胸がくすぐられます。とても心地が良いです。アヤさん、ヒナさん、チサトさんとのハグも好きですが、マヤさんとのハグは格別に好きです。こうして私を受け止めてくれることがすごく嬉しいです。私、やっぱりマヤさんのことが大好きです！とても大好きです！
麻弥,そ、そうやって面と向かって言われると、ちょっと照れちゃいますね……悪い気は全然しないですけど……フヘヘ
イヴ,あっ
麻弥,え？……あっ
イヴ,と、マヤさんの口からあの笑いが漏れました。それを聞いて、とてもフワフワとして温かい気持ちが胸中に沸き起こりました。マヤさん、今、フヘヘって笑いましたね？
麻弥,き、気のせいじゃないですか？
イヴ,いいえ、気のせいじゃありません！。聞き間違えるハズがありません。だって……ずーっと、マヤさんがそうやって笑ってくれるのを私は待っていたんですから！。フヘヘ笑いをしたので、キス、ですね。えへへ
麻弥,え、えーっと……
イヴ,マヤさん、お覚悟♪んっ……
麻弥,んん……
イヴ,私の唇と、温かくて柔らかなマヤさんの唇が重なります。その感触をもっと、ずっと感じていたくって、私は前よりも長くキスをし続けてしまいました。マヤさんはそれを振りほどこうとはしませんでした。とても優しい力で、私のことを抱き留めたままでいてくれました。それが嬉しくて、こそばゆくて、私は強く想うのでした。マヤさん、世界で一番大好きです……♪
