白金燐子,い、いきなりどうしたの……？
リサ,ん？野菜ジュースだよ。みんなに作ってきたから！
あこ,ふふっ、まさかリサ姉がこっち側とは紗夜さんも想像できないでしょ！。あこは優雅にニンジンジュースを飲んで紗夜さんの苦しむ姿を見ていようじゃないか
燐子,今井さんがせっかく作ってくれましたし……。いただきます……
友希那,やはり体は資本……。健康第一というわけね……
紗夜,なるほど。さすがは今井さんです
リサ,あ！。みんなが嫌いな野菜克服できるようにそれぞれの苦手なもので作ったから！
あこ,ごばぁ！！！
燐子,ぶふぅ！！
友希那,がっは！！
紗夜,ぶばぁ！！
リサ,あ、あれっ！？みんなどうしたの！？
あこ,た、助、けて……。お、お姉ちゃん……
燐子,セロリとはセリ科の植物でヨーロッパが原産改良品種が栽培されている1–2年草。別名をオランダミツバといい、清正人参きよまさにんじん
友希那,きょうのゆうはんはなにかしら
紗夜,あれは……、三途の川ですね……
リサ,お、おーい……。み、みんなー？
あこ,リサ姉のお節介力を…甘く見て……い…た……。ひどい目にあった
燐子,あの日の夜セロリの大群が押し寄せてくる夢を見たよ……
あこ,自分のことに精一杯すぎて紗夜さん苦しんでるとこ見るとかそんなレベルじゃなかったね……
燐子,あこちゃん……。そろそろやめたほうが……
あこ,……ラスト！！ラストにしよう！！。勝利の女神は最後に微笑むのだ！！！。妹パワー！！。紗夜さんはひなちんに弱いからね。つまりあこの妹パワーをもってすれば完璧だよ！
燐子,ど、どうだろう……。でも意外と効果的……かも
あこ,いざいかん！。お待たせしましたー！
燐子,お待たせしました……
紗夜,二人とも遅いですよ
友希那,あこ、また補習を受けてたのね。燐子も毎回待つ必要はないのよ
リサ,まあまあ、よくあることじゃん！
紗夜,よくあっては駄目です。普段しっかり勉強していればこんなことにはならないんですから。だいたい宇田川さんは…………
あこ,ご、ごめんなさい……。…………紗夜姉。こわいよ……。これ余計怒られるんじゃ……
紗夜,……今なんと？
あこ,えっ、あの、ごめんなさいって……
紗夜,いえ、そのあとです
あこ,……紗夜姉？
紗夜,…………。ま、まあ今回は大目に見てあげましょう
あこ,今後気を付けます……。ごめんなさい……紗夜さん
紗夜,えっ……
あこ,あれ？これ結構効いてるんじゃない……？
燐子,紗夜さんちょろすぎです……
友希那,いつからあこと紗夜はそんな関係に？
リサ,まあ、面白そうだからこのまま見てよっか♪
あこ,やっぱり紗夜姉のギターはカッコイイです！こうギュイーンって感じで！
紗夜,た、大したことではありません。……それよりも宇田川さん喉乾いてないですか？よかったら飲み物を買ってこようと思ってたんですが
あこ,あっ！じゃあオレンジジュースを！。痛っ！指切っちゃた……
紗夜,大丈夫ですか！？この絆創膏を使ってください！
あこ,あ、ありがとうございます。紗夜さんがいつもより優しい……
リサ,やっぱなんだかんだ紗夜ってお姉ちゃんなんだなぁ
燐子,あこちゃんに接する態度が完全に妹へのそれです……
友希那,じゃあ今日の練習はここまでにしましょう。各自、自分のパートを復習しておくこと
燐子,はい……、わかりました
リサ,んー！お疲れーみんなー
あこ,お疲れさまです！
紗夜,宇田川さん。このあと時間があれば勉強を教えましょうか？
あこ,ほんとですか！？ぜひお願いします！
紗夜,さて、では……
あこ,今日補習になっちゃったの数学なんで……、ここ教えてください！
紗夜,いえ、せっかくですから苦手なところは全部やってしまいましょう
あこ,え゛っ……！？
紗夜,まずは数学、つぎに英語、……そうですねあと古文もやりましょうか
あこ,あ、あの……
紗夜,私の使っていた参考書です。さあ、始めましょう！
あこ,ぎゃふん！！！！！
