高森藍子,加蓮ちゃん、加蓮ちゃん
加蓮,む、そう来る……。なら私は無理にでも猫耳をつけさせて藍子の部屋を乗っ取ってみせる！
藍子,やめて～っ
加蓮,まずはポテトとハンバーガーの匂いを染み込ませるところから
藍子,サンドイッチとハーブティーの匂いの方が好きですっ
加蓮,あははっ。確かにそうだね。藍子の部屋に行ってジャンクフードの匂いがしたらびっくりするよ
藍子,もうっ。せっかくですから、この花びら、何かに使いたいですね。このまま捨ててしまうの、なんだかもったいなくて
加蓮,使うって何に？
藍子,例えば、これで髪飾りを作ってみるとか。あと、ブレスレットやミサンガみたいなのもいいかも？
加蓮,うーん……。それ、１枚で足りるかな。元々あるヤツにくっつけるのはアリだけど、１枚だけじゃ寂しくない？
藍子,他のパーツも用意した方がいいかもしれませんね。ううん、それよりは、桜の花びらを増やした方が……？
加蓮,どうせ作るなら桜の花びらの方がいいかも。その方が限定品って感じがするじゃん
藍子,春、って感じもしますよね。もう、今年の春は終わっちゃいますから……ちょっぴり、季節はずれってことになっちゃうのかも？
加蓮,じゃあ、来年にも使っちゃう？
藍子,使っちゃいましょうっ。どうせなら、その時にアレンジもしてみたり。今から楽しみですっ
加蓮,あ、でも花びらは枯れちゃうか……
藍子,それもそうですね……。花びらを長持ちさせる方法、夕美さんなら知っているかな？
加蓮,さすがに難しくない？花じゃなくて花びらだし
藍子,う～ん……。本物の桜が難しいなら、造り物で代用してみましょうか
加蓮,できるの？
藍子,はい。そういうのが作れる道具や素材も、雑貨屋や百円均一にありますから。そうそう、物作りができるカフェっていうのもあるんですよ
加蓮,あー、この前藍子がテレビで紹介してたヤツ
藍子,見ていたんですね。……ちょっぴり恥ずかしいっ。私、変な顔になっていませんでしたか？
加蓮,まーたそういう心配をする。きっちりアイドルの顔してたよ。大丈夫大丈夫
藍子,よかった
加蓮,造り物で作ってみるのもいいけどさ。まだギリギリ桜は咲いてるんだし、今年分くらいは本物の花びらで作ってみたいよね。数日しか使えないかもしれないけど、それも桜って感じがして良くない？
藍子,そうですねっ。せっかくのぽかぽか日和ですから、探しに行ってみますか？
加蓮,んー……。どうしよ
藍子,……、ふふ。もう少し、ここでのんびりしちゃいましょう
加蓮,……まだ何も言ってないんだけど？
藍子,加蓮ちゃんの顔が、そう言っていましたから
加蓮,むー。また見抜かれた……。それなら私も藍子のこと暴くからね。ちょっとそこ動かないで
藍子,は～い
加蓮,んー……
藍子,……♪
加蓮,んんー……
藍子,……
加蓮,んんんー……。分からない……。いや、諦めてたまるかっ。んー……
藍子,……か、加蓮ちゃん？あんまり、じっくり見ないで……
加蓮,ん？
藍子,あぅ。ちゅ、注文しましょ？私ちょっと喉が乾いてたところなんです。加蓮ちゃんは何にしますか？
加蓮,え、じゃあ……さっき話に出たしお茶系にしとく
藍子,すみませ～ん。えっと、レモンティー２つと、さくさくクッキーお願いしますっ
加蓮,お願いねー。……さて
藍子,ま、待ってっ。ええと……秘密、秘密を教えてほしいんですよねっ。何か教えますからっ
加蓮,それは聞いてみたいけど……。そんなに見られたくないの？
藍子,見られたくない、というより……。嫌という訳ではないんです。ただ、じ～っと見られていると……その……
加蓮,ふうん。変なのー。にらめっこなんて何回も、。……あ
藍子,ふふ♪加蓮ちゃん。レモンティー、まだ来ていませんよ～
加蓮,つ、つい癖っていうか……。こらー！早く持ってきなさいよー！それでもカフェの店員なの！？
藍子,注文して、何分も経っていませんっ。ゆっくり待ちましょ？
加蓮,ジャンクフードのシェイクならもう来てる頃でしょ！
藍子,ここはカフェですっ
加蓮,……あっ
藍子,はい。加蓮ちゃんが待ち遠しそうにしていました♪
加蓮,こら、余計なこと言うっ……。あ、藍子こそ早くクッキー食べたいなーって顔してたでしょ！
藍子,えっ。顔に出ちゃっていましたか？
加蓮,……ごめん今のはテキトーに言った。待ってたんだね
藍子,あはは……。ありがとうございます、店員さん。あ、加蓮ちゃんはきっと怒っている訳ではないと思うので、大丈夫ですよ
加蓮,だから余計なこと言わないのっ。店員さん、ありがとねー
藍子,レモンティーの、いい匂い……。あっ、見てください加蓮ちゃん。クッキーに、桜の模様が♪
加蓮,ホントだ。ってかなんか最近似たことなかったっけ
藍子,ええと……。あ、前にステージで歌わせてもらった、百貨店のカフェですね。呼び出しボタンに、桜の模様が入っていました
加蓮,そうそうそれそれ。みんな桜が好きだよねー
藍子,綺麗ですけれど、食べるのがちょっぴりもったいないような……
加蓮,じゃあ私がぜんぶ食べるけど？
藍子,それはだめっ
加蓮,あははっ。……ん、レモンティーも……気のせいかな。桜の味がする
藍子,ずず……。そうですね。外の桜は、もうほとんど緑色になってしまいましたけれど……。これを飲んでいる時は、満開のお花見の光景が頭の中に――。……、。……えへ～
加蓮,また？途中まではすごく大人っぽかったのに
藍子,だって～……
加蓮,分かった分かった。また今度一緒に歌ってあげるしモバＰ以下Ｐ。とりあえずここ外なんだし、そのゆるみきった顔をどうにかしなさい
藍子,……、約束ですからね？
加蓮,ん、約束。もうお花見のシーズンも終わるけど、まだまだ色んなところで桜を見るよね。桜柄のクッキーだって、その１つ
藍子,桜の、別の楽しみ方ですね
加蓮,来週頃にはさすがに見なくなっちゃうかな？次は何になるんだろ
藍子,う～ん……。こいのぼり、とか？
加蓮,あんまりピンと来ないなぁ
藍子,男の子の行事ですからね。でも、事務所の小さい子のみんな、こいのぼりを飾ろうってはしゃいでいるみたいですよ
加蓮,やっぱりそうなんだ。その辺はもう男子も女子も関係ないよねー
藍子,前の時は、新聞紙で作ったかぶとが休憩室に置いてありましたっけ
加蓮,あれさ、一番上手く作れた子のを玄関に飾ってたんじゃなかった？で、審査員役がＰさんでさ。死ぬほど悩んでたの覚えてるなぁ
藍子,そんなこともありましたっ。取材に来た方が、ほっこりされていましたよね
加蓮,そなの？それは初めて聞いたー。私も何か飾ってみよっかな。でも手作りとかって慣れてないんだよね……
藍子,写真はどうでしょうか。自分を撮った……写真は、ちょっぴり恥ずかしいので、風景の――
加蓮,にやにや
藍子,ふ、風景のって言ってますよね！いいこと思いついたって顔はやめて～っ
加蓮,ほら、藍子と言えばカメラアイドル。だからこそ、藍子が撮られてる写真を置くことでギャップになるでしょ？
藍子,なんで冷静に分析を始めてるんですか……
加蓮,あ、そうだ。どうせなら加工して文字も入れよう。私たち……うーん、もうちょっと威厳のある言葉の方がいいのかな？。我がプロダクション自慢のアイドルです。うん、それくらいの方が――
藍子,だったら加蓮ちゃんの写真でいいじゃないですか！
加蓮,いいよ。じゃあ藍子とのツーショット写真ってことで
藍子,……か、加蓮ちゃんの単独の写真でいいと思いますよ？
加蓮,自分を撮った写真は恥ずかしいんでしょー？うんうん、私もそう思うよ。でも２人が映ってる写真なら恥ずかしさも半分だよね。それなら大丈夫だよねー？
藍子,ううぅう……。最初から、これを狙っていたんですね
加蓮,ふふふー。まだまだ甘いよ、藍子
藍子,む～……
加蓮,新聞紙のかぶとかぁ。そういえば、病院にもあったなぁ。そういうの
藍子,……そうなんですか？
加蓮,うん。あ、これはちいさな加蓮ちゃんの片手で数えられるほっこりエピソード。超レアでしょ？
藍子,とってもレアですねっ
加蓮,ま、って言っても季節の行事をやってた気がするってくらいの話だけど。当時絶賛ひねくれ中の加蓮ちゃんはそういうの大嫌いだったし？
藍子,当時……
加蓮,……今もひねくれてるだろって？
藍子,はい
加蓮,ほう
藍子,ひゃうっ。ほっへひっぱらないふぇ～。事務所のみんなで作っている工作、加蓮ちゃんも手伝ってあげたらどうですか？
加蓮,えー。ちびっこに混ざるのはさすがにちょっと……
藍子,加蓮ちゃん、ちょっと前からみんなに懐かれているじゃないですか。由愛ちゃんとか、雪美ちゃんとか。きっと、みんな喜びますよ？
加蓮,いやいや。あれはほら、ちょっぴり大人に憧れてるってだけで、別に私だからってことじゃないよ
藍子,え～。加蓮ちゃん、なんだかすごく嬉しそうっ
加蓮,藍子
藍子,ふふっ。気付いても言っちゃダメ、ですか？
加蓮,……合言葉じゃないんだから。じゃあアレならいいよ。千巻とか巻きずしとか作るんでしょ？それを食べて美味しいって言ってあげる係
藍子,やっぱり、作る側にはならないんですね……。でも、それもいいと思いますっ。きっと、みんな喜んでくれますよ
加蓮,藍子も参加しなよ。藍子こそいろんな子に懐かれてるでしょ。ありすとか、仁奈ちゃんとか
藍子,じゃあ……スケジュール、空けておきますね
加蓮,スケジュール……。ちびっこ作の巻きずしを食べてる藍子を動画にするのもアリ？で、それをどこかで配信してみるとか――
藍子,まあまあ。カメラなら、私が持ってあげますから
加蓮,いやいや。せっかくコラムで話を出したりユニット組んだりしたんだよ？私と藍子の仲良しアピールって大事じゃん。藍子が好きなカメラを私が持つっていうシーンは必要だって
藍子,私と加蓮ちゃんが仲良しっていうのはラジオでお話しておきますので、ここは私が
加蓮,言葉と一緒に映像があった方がいいってＰさんもよく言ってるでしょ。ならやっぱりここは私が
藍子,いえいえ私が
加蓮,いいや私がっ
藍子,私が撮る！
加蓮,私が撮るってば。ほら、別に撮られるのがどうこうってだけじゃないよ？私が藍子を撮りたいだけだし
藍子,わたしだって加蓮ちゃんを撮りたいもんっ！
加蓮,……へ？
藍子,……あ
加蓮,……
藍子,あ、あぅ
加蓮,……そ、そっかー。じゃあ、うん、獲られてあげようかな？
藍子,……
加蓮,……それでも飲んで落ち着いたら？
藍子,そうします……
加蓮,落ち着けた？
藍子,……はい。騒いじゃってごめんなさい、加蓮ちゃん
加蓮,私はいいけどね……。それに、ほら。ここテラス席だし、他に使ってる人もいないんだし。ちょっと騒ぐくらいなら大丈夫じゃない？
藍子,そんな。やっぱり、ここの皆様にご迷惑ですよ
加蓮,そんなことないってー。ほらほら、藍子ちゃん。日頃のストレスを発散するチャンスだよ？
藍子,大丈夫ですっ
加蓮,ストレスって溜め込むと怖いらしいよー？例えば――
藍子,た、例えば？
加蓮,美味しいものを食べても全然美味しくなくなる
藍子,！！！
加蓮,お休みの日で、外は晴れ、ちょうどいい気温……なのにどこにも行きたくない
藍子,！！！！
加蓮,あとは……えー、ほら、加蓮ちゃんと一緒にいても楽しくなくなる……とか？
藍子,大事件じゃないですか……！！
加蓮,そ、そう？まあ最後のはちょっと冗談みたいなもんだけど……。とにかく、だからね？いいチャンスだと思って。思いっきり叫んで、ストレスを解消しちゃおう！
藍子,でも、ストレスなんて――
加蓮,いやいや。気づかないで溜まっちゃうのがストレスの怖いところなの。気づかないうちに指を怪我してたり、足首を捻ったり、そういうの気をつけなさいってトレーナーさんもよく言うでしょ？
藍子,そうですね……。怪我することよりも、したことに気づかない方が危ない、って、よく教えてもらいます
加蓮,そうそう。って言っても、指を怪我したら血が出ちゃうし、足がおかしかったら歩きにくいし。分かる時には分かるよね。でも、ストレスは溜まってるかどうかなんて分からない。ね。ストレスは怪我よりも、もっと分かりにくい傷なの
藍子,あ……。もしかして、加蓮ちゃんがよく昔のお話をするのは、無意識に傷を抱え込まないための……？
加蓮,えっ。……ごめん、それは別にそういう訳じゃなくて
藍子,あれ？
加蓮,お、オホン！じゃあ行ってみよっか！
藍子,は、はいっ
加蓮,って言ってもテーマがないと叫ぶのも難しいかー。じゃあ、私に言いたいこととかどう？結構山のようにあるでしょ
藍子,それなら、今叫ぶことも……、……あれ？
加蓮,え、そんなにいっぱいあるの？なら言ってくれればよかったのに……
藍子,加蓮ちゃん
加蓮,あ、ううん。それを今言うの。じゃあ藍子、
藍子,あの。加蓮ちゃん？
加蓮,……あっちゃ。あはは、何かなー？
藍子,…………
加蓮,もー、気付くの早いよ。こういうのは、やらかした後に気付いて、ああっ！ってなるのが楽しいのに！
誤：藍子,それなら、今叫ぶことも……、……あれ？
正：藍子,そうですね。今、加蓮ちゃんに言ってみたいことなら、あれと、それと、……、……あれ？
藍子,よく考えてみたら、大きな声を出すならカラオケや防音室でもいいですよね？それか、誰もいない事務所とか……お母さんとお父さんのいない家でもいいかもしれません
加蓮,そうだね
藍子,やっぱり、分かってて言っていたんですね。人で遊ばないでくださいっ
加蓮,はーい。ごめんね？クッキー残りあげるから許して？
藍子,も～
加蓮,ふふっ。っと……。ごちそうさまでした
藍子,私も、ごちそうさまでした。あっ、加蓮ちゃん
加蓮,んー？
藍子,口のところ、少し濡れていますよ。加蓮ちゃんから見て左側……。今飲んだレモンティーじゃないかな？
加蓮,マジ？ハンカチハンカチ――
藍子,拭いてあげますね。ちょっと動かないで……
加蓮,わ……
藍子,……うんっ、取れました。ふふっ。加蓮ちゃん、珍しい。急いで飲んだら損ですよ～？
加蓮,…………
藍子,？どうかしましたか？
加蓮,…………、。……い、いや、……びっくりした
藍子,？？
加蓮,右の……あ、あはは。ほら、人に触る時には一言前置きしないと失礼じゃない？
藍子,確かにそうですね。ええと……じゃあ、加蓮ちゃん
加蓮,うん……
藍子,手を握ってみたいので、右手を出してくださいっ
加蓮,え、あ、はい
藍子,ぎゅ～。……こんな感じでしょうか？
加蓮,たぶん……？
藍子,分かりました。次から、そうしますね
加蓮,はあ
藍子,……♪
加蓮,……
藍子,……♪
加蓮,……手、握りたかったの？
藍子,あ
加蓮,……？？
藍子,……あはは～
加蓮,……、。……いやでもほら、前に手を繋いで歩いたことあったでしょ。あの時、歩きにくくて歩きにくくて、これはやめようってならなかった？
藍子,ゆ、夢のないことを言わないでください。私だって、たまには、手を繋いで歩いてみたいって思うことだってありますっ
加蓮,はいはい。そーいうのはＰさんとでもやっときなさいよ
藍子,それとこれとは別ですよ～
加蓮,そうだけどさー。なんだか珍しいね。藍子がそういうこと言うのも
藍子,きっと、外が暖かいから……。春になって、お散歩しやすくなったから……かも、しれませんっ
加蓮,そういうもの？
藍子,そういうものです。でも、冬景色も楽しかったんですけれどね。雪が積もった日に、いっぱい暖かい準備をして、外に出て……。冬だからこそ、暖かい場所もいっぱいあるんですよ。お店の中とか、人通りの中とか……。あと、日向になっている場所もっ。そういうところを探すのも、楽しかったなぁ～……
加蓮,……アンタね。冬が終わって春が来て、いやそれどころか桜がもう散るって時期にそういう話するのやめなさいよ
藍子,……行きたいな、って思わせること、できちゃいましたか？
加蓮,狙ってたのねっ
藍子,ふふ♪お話していると、私まで懐かしくなってしまいました。季節の変わり目は、いつもわくわくするけれど……ちょっぴり寂しくもなっちゃいます
加蓮,まーね。でも、ちょっと前に雪が降ったりしたじゃん
藍子,すごく珍しかったですよね。桜に雪が積もっている映像をテレビで見て、思わず外に飛び出しちゃいましたっ。カメラを持って！
加蓮,あははっ。藍子らしいなー
藍子,私が行った時には、雪は溶けちゃってましたけれど……
加蓮,残念
藍子,雪……。さすがにもう降りませんよね？
加蓮,分からないよ？まだストーブ片付けれてないし。チャンスあるかもよー？
藍子,まだもうちょっと寒いですから……。う～ん、でも、暖かい方がお散歩しやすいんですよね。悩んじゃいますっ
加蓮,ぜいたくー。そういう藍子も。ずっと気になってたんだけど、その膝の薄ピンクのブランケット、どしたの？
藍子,これですか？寒くなくなるまで、しばらく持ち歩こうと買った物なんですよ。座ってまったりする時に、あったら便利かなって……。前に、お母さんに勧めてもらって。おしゃれで可愛くて、それにあんまり高くもなくて。つい！
加蓮,おー
藍子,ほら、加蓮ちゃん。これ、ちょっと触ってみてください
加蓮,うん。……お、すっごく軽いし結構薄いんだね。だけどふかふかー♪
藍子,でしょ？だから、持って歩くのも困らないんです
加蓮,それにこれ、藍子のぬくもりって感じがするー。ずっと藍子の膝にかかってたからかな？
藍子,……そ、そういうこと言われると恥ずかしくなっちゃいますよ
加蓮,あははっ。はい、返す
藍子,加蓮ちゃんもどうですか？
加蓮,私はいいよー。寒がりって訳じゃないし。それに、シンプルすぎて私にはちょっと合わないかも
藍子,残念っ。……あっ！それなら、桜の花びらでデコレーションしてみれば――。って……ピンク色に、桜の花びらは合いにくいですよね
加蓮,さすがにちょっと地味だよね……。ふふ、なんだかタイミングが合わないね
藍子,ですね。なんだか変なのっ
加蓮,ここはやっぱりこいのぼりを刺繍してみる？
藍子,こいのぼり……。それだと、男の子のファッションみたいになってしまいませんか？
加蓮,大丈夫でしょー。ピンク色なんだし
藍子,あ、確かにっ
加蓮,ん？って考えると、ピンク色にこいのぼりのイラスト……？
藍子,ピンク色に、こいのぼり……
加蓮,……
藍子,……
加蓮,……シュールすぎない？
藍子,こいのぼりにも、ピンク色のものはありますから……？
加蓮,もう５月ファッションってことならアレにしよう。葉っぱ。新緑の葉っぱ
藍子,葉っぱの柄なら、ピンク色にも合うかな？
加蓮,いけるかもしれないけど、それならもっと合う色があるかもね。例えば水色系とか
藍子,森の奥の光景を、再現できるかもしれませんね。なんだか、クールなファッションになりそう
加蓮,そこから服を合わせていくのも面白そうっ。あんまり派手なのは使えないから、シンプルな柄の……いやでもボーダーくらいは入れていいかな。ううん、それよりはワンポイントのイラストの……
藍子,加蓮ちゃん、スイッチが入っちゃいましたね♪
加蓮,まあねー。……あ、でもさ藍子
藍子,はい
加蓮,５月になったらさすがにブランケットはいらないかも……
藍子,あ～……
加蓮,ストールにする……のもちょっと無理があるよね。んー……
藍子,それなら、加蓮ちゃんのお昼寝用にする、っていうのはどうでしょうか
加蓮,……それブランケットじゃなくてタオルケットじゃない？いや、そもそもなんで私が昼寝すること前提なのよっ
藍子,それは……。暖かいから？
加蓮,それだけで寝たりしないわよ……
藍子,そんなことありませんよ～。ほら、今だって、外はぽかぽかで、そよ風が心地よくて……。……ふわぅ
加蓮,…………
藍子,な、なんですかその目～
加蓮,……藍子だってゆるふわ森ガールなんだから、森の光景っぽいタオルケットでも似合うよね
藍子,あ、あはは……。一緒にお昼寝しましょ？
加蓮,やだ
藍子,冷たいっ
加蓮,マジで眠いなら少し歩く？カラオケでもいいし。レッスンスタジオだって、空いてたら叫び放題だよ？
藍子,それなら、春探しの方が……。この花びらを、何かに使いたいってお話でしたから
加蓮,叫ぶ藍子ちゃんを見たかったのになー。しょうがない。今日は藍子ちゃんに１日付き合ってあげよう
藍子,ありがとうございますっ、加蓮ちゃん♪。じゃあ――あ……ちょっぴり、レモンティーが残っていました。ごちそうさまでした。行きましょう、加蓮ちゃん
加蓮,……？
藍子,♪
加蓮,……オッケー、いこっかー
藍子,ああっ。手をつなぐってお話もあったじゃないですか。待って～っ
