塩見周子,あっれー……？あの衣装、この辺だったと思うんだけど……
周子,じゃあ茜ちゃん、トレーナーさんに連絡してもらっていい？
茜,はい！！！
周子,これに懲りたら、安請け合いなんてしちゃダメだよ？
文香,返す言葉もありません……
茜,もしもし！！！トレーナーさんですか！！！
周子,まー、あたしだってしょんぼりしてる茜ちゃん見たら同じことしちゃうかもだけど……
文香,はい……
茜,はい！文香ちゃん、今日のレッスン、お休みでお願いします！！！
周子,ま、今日はゆっくり休んだ方がね？
文香,すみません……
茜,はい！！ちょっと今日は魔力切れで！！！！！
周子,言うなや！！！！！！！
