※ぐだ子の名前表記を,立香
メイヴ,喜んでないわ！！確かにあんたもケルトでしょうけどなんでよ！！クーちゃん出しなさいよ！！
スカサハ,そうは言われてもな。合コンの参加者募集が始まってからクー・フーリン達を含めて男連中は酷く悩んでいたんだぞ。マスター達との合コンはいいとしても、ダ・ヴィンチが発案でメイヴがいるとなればな、と
メイヴ,そ、そんな……
スカサハ,だから私も見かねて言ってやったんだ。お前達、それでも男なのか！せっかくの機会に何を悩む！とな。そうしたらどこからか合コンに呼ばれない歳の人は黙っててくださいーという声が聞こえてきてしまって
立香,展開が予想出来るけど、それで？
スカサハ,……気付いたら意識のある男共が周囲にはいなくなっていてな、不思議なことに。故に私がここに来た
メイヴ,な……なにやってんのよー！！
スカサハ,はは、すまんな。だが並の男が相手するよりは私がいたほうが余程よいだろう、違うか？
メイヴ,合コンの意味知ってる！？私とクーちゃんのロマンスの予定返しなさいよぉ！！うぅ……
マシュ,あの、スカサハさんの周囲にいた方々はご無事なんですか？
スカサハ,うむ。ナイチンゲールが今は面倒を見ているから心配はいらないぞマシュ
鈴鹿御前,そりゃ良かったし。けど合コンなのに女が増えたら意味なくない？
スカサハ,そうなのか？参加者募集の条件に男限定とは書いてなかったからな、てっきりそういうつもりかと思ったぞ
メイヴ,合コンの意味を知っていれば、そこは普通書かなくても分かるでしょ……？
スカサハ,どうだかな。仮に知っていたとしても、マスターを狙う者にとっては関係ないことだろう？
ダ・ヴィンチ,それは確かに。特に例の三人がこのことを知ったら、何がなんでも参加しようとしてくるはずさ
立香,そういえば、その三人はどうしたの？
ダ・ヴィンチ,立香ちゃんのために素材を集めて来て欲しいって頼んでおいたよ。合コンが終わるまでは戻って来られないはずさ
マシュ,それは……清姫さんが後で怒りませんか？
ダ・ヴィンチ,嘘は言っていないから心配ないだろう。素材はあるだけ立香ちゃんの役に立つ。違うかい？
立香,髄液や杭があると泣くほど嬉しいです
ダ・ヴィンチ,ほらね。特異点は消滅したといってもまだクリスマスが残っている。それを考えたら素材集めも無駄じゃないよ
鈴鹿御前,予防策としてってこと？うわー、なかなか悪辣～
ダ・ヴィンチ,なーに、どこかの教授に比べたら大人しいさ。ともかく、あの三人が戻ってくるまでに事を終わらせないと――
スカサハ,うむ。その三人だが……もう戻って来ていたぞ
源頼光,そこをどきなさい金時！！母は、母はこの合コンなるものをやめさせなければいけないのです！！
坂田金時,いやだからダメだって頼光の大将！大将が行ったらマスターのためになんネェんだって！！
頼光,純粋なあの子にふしだらなことなど、私の目が黒い内は許しません！！
清姫,忍びの方……邪魔をするなら貴方から焼いてしまいますよ？
風魔小太郎,ぐっ……主殿の未来のため、ここを通すわけには……！しかしなんという気迫……この力はどこから……！
清姫,愛です！！
静謐のハサン,わたしも、マスターに合コンをさせたくないだけですから……押し通ります！
小太郎,……くっ、これでは止めようが！
金時,諦めんな！マスターが合コンってのを終わらせるまでは、なんとしても頼光の大将達を足止めしねーと！！
小太郎,金時殿……はい！
清姫,よそ見は……！
小太郎,甘いですよ！
清姫,後ろに！？しま――
頼光,清姫さん！
小太郎,くぅ！？
清姫,た、助かりました……ごめんなさい、足を引っ張ってしまって……
頼光,いいえ、そのようなことはありません。頑張って、三人でマスターの元に辿り着きましょうね
静謐,……ッ！頼光、あれ
頼光,なにか――
酒呑童子,～～～♪
頼光,……ッ！！
清姫,頼光様……
静謐,……
金時,大将どこ見て……げぇ！？この状況をさらにややこしくしそうな奴があんなとこでなにを！？
頼光,もはや一刻の猶予もなし……ならば、金時が相手であったとしても、私は……！
小太郎,……！金時殿！これは、この気配は！
金時,あぁ頼光の大将、こんなとこで宝具をぶっ放すつもりだ！クソ、なんとしても止めねえと！
静謐,……頼光、その必要はありません
清姫,ここは私達が引き受けます！
頼光,お二人とも！？し、しかし……
清姫,元より、合コンを止めるだけであれば、頼光様が単独でここを突破されるほうが確実です！
静謐,わたし達はそのアシストをします。だから、行って下さい
頼光,お二人とも……感謝します！しからば、御免！
金時,あ、大将待てッ！！。ちいっ！
静謐,あなた達の相手は
清姫,私達です！！
小太郎,くっ……このままでは……！
酒呑童子,様子見に来たらなんや誰もおらひんのやねぇ……それとも、もう皆中に入ってしもたんやろか……
頼光,酒呑童子ーッ！
酒呑童子,なんや牛乳女が突っ込んできよるし……ふふ、そやな
頼光,私の前で、マスターに！あの子に！ふしだらなことなどさせは――
酒呑童子,ほーれ
頼光,なっ。――……くぅ……私としたことが、避けられてしまう攻撃をしてしまうなど……！
立香,頼光、大丈夫？
頼光,マスター！？あぁ良かった、ご無事ですね！？母はあなたがふしだらなことをしているのではないかと心配で！
立香,う、うん、まだしてないから大丈夫
頼光,えぇ、ならば早くこのような場所から離れましょう！合コンなど！あなたにはまだ早すぎます！
鈴鹿御前,ちょ、いきなり色々全否定しないでほしいし！？マスターもそろそろ色恋の1つや2つは知っとくべきっしょ！
頼光,必要ありません！マスターにはマシュがいます！それで十分ではありませんか！
マシュ,え、え、ええ！？
酒呑童子,おやまぁ、牛がなんやいっちょ前に人の恋路を語っとる。おかしいわぁ
頼光,黙りなさい蟲！鬼の娘にこそ、そのようなことを言われる筋合いは……！
メイヴ,ちょ、ちょっと待って！？勢いに流されそうになったけれど、今この部屋何人いるの！？
スカサハ,うん？今入ってきた酒呑童子を含めるなら丁度8人のはずだが
メイヴ,ってことは……！
ダ・ヴィンチ,……しまった、完全に出るタイミングを逃した……！これでは！
マシュ,……ダ・ヴィンチ所長代行、今の音はなんでしょうか
ダ・ヴィンチ,部屋にロックがかかる音だね
立香,そんな機能聞いてないんだけど……
メイヴ,いやほら、もしも仮にクーちゃん達が来てくれたとしても、合コンでやること知って逃げられちゃうと困るから。ダ・ヴィンチに頼んで参加者8人全員が、王様ゲームでなにかしないと部屋から出られない仕掛けにしてもらったの♡
鈴鹿御前,え、なにそれ初耳
スカサハ,お主やはりバカか
頼光,つ、つまりこのままでは、マスターも、誰もこの部屋から出られないと……？
メイヴ,だ、だってしょうがないでしょう！クーちゃん達との合コンと、あとマスターとマシュに色々教え込むのを夢見てたのに！。こんな凶暴そうな女子(？)メンバーが揃うなんて想定してなかったのよぉ！。というか、これだともう完全に合コンじゃなくて女子会じゃない！！私のロマンスはどこに行ったの～！？
スカサハ,そんなものは最初からない、諦めろ
メイヴ,ぐはっ
マシュ,なんとか部屋から出られるようにすることは出来ないんですか、ダ・ヴィンチ所長代理
ダ・ヴィンチ,微妙にマシュから冷たさを感じるなー。いや私も悪いのは分かってるよ？けれど流石私、天才だね。条件を満たさない限り、この部屋からは絶っ対に誰も出られないと断言しよう！！
頼光,そのようなこと……！大丈夫ですマスター、この頼光がこのような扉すぐにでも斬り刻んで。きゃう！？
ダ・ヴィンチ,あー、言い忘れてたけど、閉鎖空間になるのを利用して、サーヴァントに必要なリソースの最低値の調査とか。色々と実験をこの瞬間もやっているから、下手に部屋を壊そうとするとガンドのペナルティが来るよ
頼光,は、早く、言って、下さい……
立香,頼光、大丈夫……？
酒呑童子,つまり、ほんまにこの部屋から出るには、王様ゲームをやらんとあかんのやね？
ダ・ヴィンチ,そういうこと。うーん、まさか私まで巻き込まれることになるとは予想していなかったからねぇ
頼光,実はどこかに、緊急用の脱出口があるなどは……？
酒呑童子,諦めたほうがええで牛乳女。そもそも、あんたはんが突っ込んで来たんが悪いんやしなぁ
頼光,くっ！しかしその後に蟲が入ってこなければ、このようなことには！
酒呑童子,おやおや、源氏の大将はんは自分の過ち認めんで、人のせいにするんやねぇ……マスターもこれはがっかりちゃうん？
頼光,は……！ち、違うのですマスター！！今のはその、言葉のあやというもので、母は決してそのようなつもりで
立香,大丈夫、分かってるよ
頼光,ほ、本当ですか……？うぅ、なんて優しい子なのでしょう……母は、泣いてしまいそうです
鈴鹿御前,泣いてる泣いてる
スカサハ,ともかく、部屋から出るならさっさとしたほうがいいだろう。我々サーヴァントはともかく、マスターとマシュをいつまでも閉じ込めておくわけにもいくまい
メイヴ,そうね……あ～あ、ほんっとここは私の思惑通りに事が進むことがないわね。ま、それが楽しくもあるけれど！
鈴鹿御前,同感同感！合コンにはならなかったけど、王様ゲームにマスターとマシュを慣らさせるなら丁度いいメンバーじゃん？
メイヴ,そうね。女だけってのもたまにはら……く……ダ・ヴィンチは女として扱っていいの、これ？
スカサハ,なに。中身がどうあれ見た目が女であれば女でよかろう。性別など細かいことだ、気にするな。どうしても気になるというのであれば、ルーンで色々弄ってしまおうか？
ダ・ヴィンチ,そ、それは勘弁しておくれよ！流石にこの体を好きなやつ以外に弄らせる気はないからね！
スカサハ,ほぉ。稀代の天才もそういう所にはこだわるか、意外だな
ダ・ヴィンチ,当然さ。この体は美しくあるように計算して作ったんだ、それを乱して良い奴がそういてたまるか
立香,私やマシュはいいの？
ダ・ヴィンチ,そりゃもちろん二人ならいいとも。歓迎するくらいさ！どう、触ってみる？
マシュ,ダ・ヴィンチ所長代理、そろそろ状況を考えて下さい
ダ・ヴィンチ,はーい。マシュにも怒られたし、そろそろ王様ゲーム、初めてみよっか！くじの準備はもうしてあるよ
鈴鹿御前,よーし、そんじゃ、どの順番でくじ引くし？
頼光,そ、その前に……あの、王様ゲームとは一体なんなのでしょうか……？。わ、私なにか変なことを聞きましたか？無言はやめて下さい……
酒呑童子,牛乳女……まさかそないなことも知らんとここに来たん……？
頼光,ですからこの部屋に入ってしまったのはあなたのせいだと！
立香,…………えっと、私も実は詳しく知らなくて
マシュ,…………言い出せなかったんですが、私も……
頼光,ほら見なさい！純粋な子ほどそのようなふしだらな遊びは知らないという事実が、ここに示されましたよ！！
酒呑童子,はいはい、良かったなぁ～
頼光,あぁもう、この部屋に来てからマスターをふしだらな行為から守るどころか、逆に遊ばれている気がします……！
メイヴ,頼光の話は置いといて。マスターも知らないなら仕方ないわね。ルールを簡単に説明してあげるから、よく聞きなさい？。やることは簡単よ。まずダ・ヴィンチの用意した箱から全員くじを引くの。順番は適当でいいから、さ、引きなさい。引いたわね？なら次は参加者全員で王様だ～れだ？って言って、引いたくじに王様って書かれていた人が名乗り出るの
頼光,あ、王様は私みたいです！
メイヴ,……はーいくじやり直し♡
頼光,えぇ！？
メイヴ,参加者全員で王様だ～れだ？って言う前に名乗りでちゃダメなのよ頼光？
頼光,そ、そうだったのですか……
酒呑童子,ふふっ、文句言っとった割には楽しんどるやないの
頼光,……なっ、ち、違います！これは、マスターを少しでも早く部屋から出したいだけです！
酒呑童子,はいはい。ほならさっさとくじを箱に戻しや
頼光,分かっていますよ……！
メイヴ,よし、全員箱にくじを戻したわね？じゃあちょっと箱を揺らしてかき混ぜて……。これでいいわ。さ、全員もう一度くじを引いて？。それじゃあ改めて、掛け声全員で一斉に言うのよ？せーの
全員,王様だ～れだ？
メイヴ,――それはもちろん当然！この！女王メイヴのことよ！！
スカサハ,ふぅん、良かったな。くじだけでも王様になれて
メイヴ,あんたあとで蹴飛ばすわよ？ともかく、こうやって王様が決まったら、最後は王様が命令するのがこのゲームのルールね
マシュ,命令……ですか
メイヴ,ええ。みんなが持っているくじには番号が書かれていると思うけど、王様が指定した番号のくじを持っている人……。例えばそう、6番のくじを持っている人は、王様にご奉仕すること！って命令をだしたとするでしょう？
スカサハ,……っ！？
メイヴ,そうしたら、6番は必ず王様にご奉仕する必要があるの
頼光,……な、なんと恐ろしい遊びなのですか！？それはつまり、王が死ねと命令すれば、死なねばならないと……！
メイヴ,いやこれ、男女がイチャイチャするための遊びだから。そんな物騒なことにはならないわよ、普通は
ダ・ヴィンチ,むしろそんな恐ろしい質問をしたのは、君が初めてだと思うな頼光
頼光,し、しかし、マスターの身の安全を考えるのであれば、万が一の可能性も潰しておきませんと！
鈴鹿御前,いや、言ってもゲームだし？嫌ならちゃんと嫌って言えばいいだけっしょ。心配しすぎ！
スカサハ,……そのとおりだな。それでメイヴ、お主は誰にどんな命令をするつもりだ？
マシュ,え？確かメイヴさんは先程……
スカサハ,あれは例えで出しただけだからな、ちゃんとした命令をしなければ、ゲームは終わらんだろう？
メイヴ,……ふーん？
スカサハ,さぁ、メイヴ。さっさと命令を出すがいい。マスターを部屋から出すのが遅くなると、外が面倒なことになりかねんぞ？
メイヴ,そうねぇ……じゃあ、命令はそのまま6番は王様にご奉仕することよ♡
スカサハ,ぬぐっ……！
メイヴ,さぁ6番は誰かしら～？この私にご奉仕出来る幸せ者なのだから、早く名乗り出たほうがいいわよ～！
マシュ,もしかして、先輩ですか……？
立香,違うよ？
ダ・ヴィンチ,私でもないね
酒呑童子,うちのは2って書いてあるなぁ
頼光,私は5ですね
鈴鹿御前,私も違う……って、ことは？
メイヴ,ほーら6番の人ー？
スカサハ,……お主……！
メイヴ,あっはは！クーちゃんとの合コンができなくなった時は落ち込んだけど、代わりにとんでもない事が起きたわね！。影の国の女王スカサハ！あのクー・フーリンの師匠が、この女王メイヴにご奉仕する日が来たのよ！！。あぁ！こんなにも心が躍ることがまだあったなんて、今日はなんて素敵な日なのかしら！
スカサハ,おのれ……！やはり誰か1人クー・フーリンを放り込んでおくほうがよかったか……！
メイヴ,さぁどうするのかしらスカサハ？もちろん、これはただのゲームよ。貴女は拒否してもいいわよ～？。ただし、拒否した場合はそれはそれでカルデア中に喧伝させてもらうわ。あの影の国の女王が、私からの勝負を逃げたって！
スカサハ,……くぅ…………よかろう……マスターの前だ、受けてたとうではないか。その挑戦を！
メイヴ,……え、ホントに？
スカサハ,このスカサハに二言はない！さぁ、言え！ご奉仕とは具体的になにをすれば良い！
マシュ,あ、あの、スカサハさん、無理はされないほうが……
スカサハ,無理だと？マシュ、いいや、私は無理などしていない。ああ、少しもな
メイヴ,うふ……そう、そうなの？いいのね？なら、ご奉仕とは具体的にどうするか？簡単よ。マスター
立香,はい？
メイヴ,この私に言うべき最も大切な言葉、あなたなら分かるでしょう？さぁ、言ってみて
立香,――メイヴちゃん、サイコー！
メイヴ,えぇ、そのとお――。……！
頼光,……次に、マスターにそのような事を言わせたら……首を、落とします
立香,頼光！？
ダ・ヴィンチ,カルデア製のガンドを二発も喰らうなんて、無茶なことを……！
頼光,我が子が辱められて黙っていられるとお思いですか……！
メイヴ,……鈴鹿、私の首、繋がってる？
鈴鹿御前,う、うん、なんとか無事っぽい
メイヴ,……一瞬本当に死んだかと思った
スカサハ,良かったではないかメイヴ。この部屋を出た後に起きる出来事を、先に一瞬でも経験できて
メイヴ,は？
スカサハ,影の国の女王に奉仕をさせるなど、それ相応の報いがあってしかるべきだろう？
メイヴ,……あ、待って、やっぱ6番のご奉仕取りやめ！しなくていい！いいから！王様命令！！
スカサハ,なに、遠慮するな。すでにお主からの挑戦は受け取った。影の国の女王は逃げはしない、安心しろ。というわけでよく聞いておけ、一度しか言わんぞ！すぅ――メイヴちゃん、サイコー！……くっ
メイヴ,んぅ……！
スカサハ,……ふぅ…………コレでよし。部屋から出た後は覚悟しておけ？それはともかく、感想は？
メイヴ,マスターとは別の感じで悪くなかったのがムカつく。いい声してるじゃない、私ほどじゃないけど
スカサハ,当然だ、私だからな。というか、声も私のほうがいいだろう？クー・フーリンに聞けば分かるぞ
メイヴ,あーはいはいそうですか。まったく……部屋から出たらどう逃げるか考えておかないと
スカサハ,さて、次だ次。こういったことはさっさと流してしまうほうがいい。ほら、くじを引き直せ！
酒呑童子,ふふっ、なんや楽しいわぁ。普段と違うことさせてもその場はお咎め無しやなんて……今度、小僧と一緒にやってみよか
頼光,今ここで潰してしまってもいいんですよ、蟲？
酒呑童子,さっきから童みたいに楽しみよる女に言われても怖ないで～？
頼光,……ふっ、そう言っていられるのも今のうちですよ。先程ので分かりました、王様になれば、あなたなど……！
酒呑童子,そら無理やなぁ。なにせ
スカサハ,くじを引き直したな？では改めて号令だ、いくぞ、せーの！
全員,王様だ～れだ？
酒呑童子,――うちが王様やさかい
頼光,な……！？
マシュ,今度の王様は酒呑童子さんですか、これはこれでなんといいますか
立香,王様ってのも似合うね酒呑童子
酒呑童子,ほんまに？おおきに。旦那はん達に褒められると照れるわぁ。けど、そういうんは茨木に言ってやり、きっと喜ぶで
鈴鹿御前,それで、鬼の王様は誰にどんな命令をするし？
酒呑童子,うーん、うちは巻き込まれのお邪魔虫みたいな入り方してもうたしなぁ……せやから。2番と4番がポッキーゲームするでええよ？ええもん、見せてなぁ？
マシュ,ポ、ポッキーゲーム……！？スティック状のお菓子の両端を咥えて同時に食べ進むあのポッキーゲームですか！？
立香,マシュ、詳しいね？
マシュ,初めてこのゲームの存在を知ってから、先輩としてみたい行為第5位にランクインしていますから！……あっ、その、ちが///
立香,そっか……じゃあ今度しようね
マシュ,はい…………え、ええっ！？
酒呑童子,今度やのうて今やればええよ？
立香,私、3番だから
マシュ,わたしは1番です
酒呑童子,あらぁ、旦那はん達にええことしてもらおう思うとったのに、ちょいずつ外れてしもうとる……堪忍なぁ
マシュ,い、いえ大丈夫です！そ、それで、2番と4番は一体どなたが……
鈴鹿御前,はいはーい！2番は私だし！けど相手がマスターじゃないの確定なのはちょっと悲しいかも
マシュ,え、鈴鹿御前さん……まさか
鈴鹿御前,マスターが相手だったら、マシュが喜ぶ唇の動きをマスターに教えられたのに……残念じゃん？
立香,それは私も残念かも
マシュ,先輩！もぉ！鈴鹿御前さんもからかわないで下さい！
鈴鹿御前,あはは！ごめんごめん、それで、私の相手になるのはマジで誰？
スカサハ,私とメイヴ、ダ・ヴィンチが違うことは確認したぞ
鈴鹿御前,てことはー
頼光,……！
酒呑童子,へぇ、またおもろいことになったなぁ……さ、源氏の大将はん？旦那はんが部屋から出るために頑張り
頼光,く、こ……の……！
酒呑童子,そないに睨まれても困るわぁ。王様と4番がポッキーゲーム、なんて言わんかっただけ感謝してな？
頼光,…………いっそあなたとであれば……
酒呑童子,……うん？
頼光,酒呑童子……あなたとであれば……良かったのに
酒呑童子,……頼光？
鈴鹿御前,え、え、え？なになになに！私お邪魔？宿敵同士が実はみたいな！？
ダ・ヴィンチ,おっと、これはなかなかいい光景が生まれるんじゃないか？怪我の功名とかいう奴で！
頼光,この遊びをしたのが蟲とだったなら、それを理由に部屋を出た瞬間、首を落とせにいけたのに……
鈴鹿御前,ガクッ……
ダ・ヴィンチ,ああ、うん、そんなことだろうと思った。知ってたさ、うん、私は天才だからね
