ジャ,ふぁ～あ。もう店番飽きたぜ。俺は母ちゃんの奴隷じゃないっつーの。ふぁ～。退屈だ
ジャイアン,組み分け帽子？。ふんふん、なるほど。勇猛果敢なグリフィンドールか。俺はここだろうな
ハリー,そ、そうだね
ロン,…ぼくの家族はみんなグリフィンドールなんだ…
ジャイアン,そうか！じゃあたぶん一緒だな！
ロン,…うん
ジャイアン,よし、次は俺だな。ハーマイオニーもグリフィンドールか。やったぜすぽっ
帽子,う～ん、難しい…
ジャイアン,え？そうなのか？
帽子,少なくとも、善良なコツコツタイプじゃないから八ッフルパフではないし…、頭脳明晰でもないからレイブンクローも…
ジャイアン,じゃあ、もう決まってるじゃんかよ！
帽子,う～ん。ところでおぬし、大長編と通常版はどっちか好きじゃ？
ジャイアン,なにいってんだよ
帽子,いいからほれ
ジャイアン,よくわかんねぇけど、じゃあ通常で
帽子,スリッザリン！！！！！！
ジャイアン,
ハリー,ふーっ
ロン,意外は意外だね
ハーマイオニー,まあ、残念だわ！
マルフォイ,
ジャイアン,まぁ一番強い魔法使いが多い寮らしいし。仕方ないな
マルフォイ,…
ジャイアン,お、えっと…なんだっけ、なんとかフォイだな。よろしくな！
マルフォイ,なぜこんな穢れた血なんかがスリザリンに…
ジャイアン,俺に向かってその口の聞き方はなんだ！
マルフォイ,ひっ！
ジャイアン,まぁ、仲良くやろうぜ。同じ部屋なんだし。お前の者は俺のもの、俺のものは俺のもの。な
マルフォイ,そんな理不尽があるか！ふん！そのうち思い知らせてやるからな
ジャイアン,ほーおｼﾞﾛﾘ
マルフォイ,ひ、ひぃ
ジャイアン,んごかぁ～すぴ～…
マルフォイ,うるさいぞ…剛田
ジャイアン,ぴくっ
マルフォイ,ひぃっ
ジャイアン,…すぴー、すぴー…
マルフォイ,うう…父上…母上…
ドラえもん,ﾆﾔﾆﾔ
のび太,ﾆﾔﾆﾔ
～後日、スネイプ先生の授業,魔法薬学
ジャイアン,理科は苦手なんだよな
スネイプ,ポッター！○○に××を加えるとなにが出来る？
ハリー,…わかりません
スネイプ,グリフィンドールから5点減点。ではポッター。△△はどうやって手に入れる？
ハリー,…わかりません
スネイプ,ふん。有名なポッター様は実際のことろ何もしらない無能というわけか
ハーマイオニー,先生！ハリーは魔法界のことを知ったばかりです！私が代わりに答えます！
スネイプ,でしゃばりでグリフィンドールからさらに5点減点
マルフォイ,ふ、いい気味だよ
ジャイアン,…
スネイプ,では…教科書の3ページを
ジャイアン,先生！俺もわからないです！
スネイプ,？
ジャイアン,減点はしないんですか？
マルフォイ,お、おい剛田。何を言っている！
ジャイアン,うるせぇ！俺は贔屓が嫌いなんだよ！
マルフォイ,な…！？こいつ、まったくつじつまが合ってないぞ。全部自分のものとかいってたじゃないか…！意味がわからん
スネイプ,…ミスター剛田、スリザリンより5点減点
～フーチ先生の授業,飛行
フーチ,では皆さん。箒の左にたってあがれといいましょう
ハリー,上がれ！ヒュー！パシッ！
ロン,あがれ！ヒュー！コツン！
ハー,あがれ！シーン
マルフォイ,上がれヒュッ！パシッ！
ジャイアン,おー。ハリーとフォイ、やるじゃねぇか。よし俺も、、上がれ！。上がれ！上がれ！。俺の言うことが聞けねぇってのか！！箒のくせに生意気な！バラバラのメタメタにしてやるぞ！！
箒,ﾋﾞｸｯ
ジャイアン,わかりゃいいんだよわかりゃ
フーチ,ではみなさん。ゆっくり飛びましょう
ネビル,ゆっくり…う！うわあああ！！
フーチ,ではそのまま待っていないさい。けして飛んではいけませんよ
フォイ,お、これはロングボトムの思い出し玉じゃないか
ハリー,やめろ！マルフォイ！それを返すんだ！
マルフォイ,取りにきてみろよポッター！怖いのか？
ジャイアン,おいフォイ！何してんだよ！！
マルフォイ,ふん。剛田文句があるのか？いつも君がしていることじゃないか！
クラッブ,…いやマジでそうだよな
ゴイル,…お前のものは俺のもの、だもんな
ロン,…まぁ、普通にマルフォイの言うことあたってるよな
ハリー,たぶんネビルのものもジャイアンのものなんだろうな
ロン,なるほど。だからいやなのか
ジャイアン,なんだとー！コンニャロー！ﾋﾛｲﾋﾛｲ
マルフォイ,ははは！なんだそのスピードは。無駄に大きな体のせいで無様だな。剛田
ジャイアン,あらよ！！
ジャイアンは小石を投げ上げ、杖,バット状
マルフォイ,うわあああ！！。…ふぅ…ふぅ……あ、危なかった…！
ジャイアン,コンニャロー！！避けんじゃねぇ！！
ハリー,よ、よし、僕も！
ハリーも箒で飛び上がり、3人は,飛んじゃだめよ！
ハリー,…ふう
ロン,やったぞハリー！
マルフォイ,…
ゴイル,お、おいピクリともしないぞ…
マルフォイ,
マルフォイは駆けつけたマダム・ポンフリー,保険医
ジャイアン,ようフォイ！
マルフォイ,…なんだ。剛田か
クラッブ,ドラコ！聞いたか。ポッターが…！げぇっ！剛田！
ジャイアン,俺がスリザリンの談話室にいちゃ悪いってのかよ
クラッブ,い、いや…
ジャイアン,で、ハリーがどうしたって？
クラッブ,ちらっ
マルフォイ,いいから話せよ
ジャイアン,クィディッチってなんだ？
マルフォイ,そんなことも知らないのか？
ジャイアン,早く話せよ
マルフォイ,い、いいかクィディッチというのはな…
ジャイアン,面白そうじゃんか！おいマルフォイ！俺たちも選手にしてもらおうぜ！
マルフォイ,いや、一年生は駄目って決まりが
ジャイアン,ばっきゃろう！ハリーがよくて俺たちが駄目なわけあるか！お前飛ぶの上手じゃんかよ！
マルフォイ,…ま、まあな
ゴイル,じゃあ、俺も
ジャイアン,お前らは下手だから駄目だろ
マルフォイ,た、たしかに。プレイはしたいが…
ジャイアン,決まりだな！さっそくスネイプ先生のところに行こうぜ！
マルフォイ,ほ、本当に行くのか？
ジャイアン,ってわけなんだよ！俺たちも選手にしてくれよ！！
スネイプ,…しかし、通常一年生のチーム入りは認めておらん。我輩もそれに習う
ジャイアン,いいじゃんかよー！！な、マルフォイ、お前からもお願いしろよ！！
マルフォイ,わ、わかった。先生。あのポッターは選手いりしたんですよ？一年生から一人だけ選手なんて、またあいつが調子に乗るだけでは？それに僕も…剛田も飛行には自信が
スネイプ,…なるほど、ポッターが自分を特別だと勘違いしてしまう。それは許しがたいな。いいだろう。マルフォイ、剛田。そなたたちをスリザリンのチームのシーカーとビーターに加えよう
マルフォイ,ほ、本当ですか！？。あ、ああ
スネイプ,試合までには自分の箒を用意しておけ
マルフォイ,わかりましたニヤリ
ジャイアン,え
マルフォイ,箒は家のものに送らせよう
ジャイアン,俺よー。入学準備でお金つかっちまったからな…また箒なんて買いたいなんていったら母ちゃんに殺される
マルフォイ,…
ジャイアン,マルフォイ。お前はがんばれよ
マルフォイ,…ええい！仕方のないやつだな。クイーンスイープでよければ僕が前使っていたヤツがある。それも一緒に送ってもらえばいい
ジャイアン,ほ、ホントかよ！！？
マルフォイ,ふん。古い型だが、マグル生まれにはちょうどいいだろう。使いたければ使うがういいさ
ジャイアン,心の友よー！！号泣
マルフォイ,な、馬鹿。やめ、やめろ穢れた血！！
ジャイアン,心の友よー！！
マルフォイ,…わけのわからんヤツだ…。エクスペリアームズ！。くそ！上手く行かない！！。エクスペリアームズ！！。もっと、魔法を覚えれば、剛田なんかには…エクスペリアームズ！。…はぁ…はぁ…。…次こそは…！。エクスペリアームズ！！！！。ﾌﾊﾊﾊ！！剛田、もう今までのようにはいかないからな！
～フリットウィック先生の授業,妖精の呪文
フリットウィック先生,今日は物体浮遊の呪文を学びます。羽は用意しましたか？
ロン,ウィンガーディアムレビオサー
ジャイアン,うぃんがーであむれびおーさー！！
ハーマイオニー,あたたたちは発音が違うのよ。いい？こうよ。ウィンガーディアムレビオーサ♪
ロン,…
ジャイアン,さすがだなー。ハーミーちゃんは
ハーマイオニー,！…ぐすっﾀﾀﾞｯ
ハリー,…聞かれたみたいだね
ロン,構うもんか！おーい！ジャイアン！アニマルプラネットのこと教えてくれよ！ﾀｯﾀｯ
ジャイアン,おうロンか！…あれ、ハーミーちゃんは、どこ走って行くんだ？
ロン,どうでもいいだろあんなヤツ！
ジャイアン,やっぱりここのメシは旨いな！まさかカツ丼まで出してくれるとは！ｶﾞﾂｶﾞﾂ
マルフォイ,ふん、マグル生まれは品がないな。スリザリンの恥だﾑｼｬﾑｼｬ
ハリー,美味しいなぁ。ダーズリーの家とは大違いだ！
ジャイアン,そういえばハーミーちゃんは？
ロン,さあ？トイレで泣いてるんだとさ
クィレル,ト、トロールが、ホグワーツにし、侵入しました！
ダンブルドア校長,落ち着くのじゃ！生徒はすぐに寮に戻るんじゃ！
ハリー,ロン！…ハーマイオニーはこの事を知らない！
ロン,…！
マルフォイ,おいポッター！後ろがつかえてるんだ！早く行け！
ジャイアン,どうした！ハーミーちゃんがどうかしたのか！？
ハリー,ジャイアン、実は…ｶｸｶｸｼｶｼﾞｶ
ロン,ﾏﾙﾏﾙｳｼｳｼ、ってわけなのさ
ジャイアン,なんだと！？行くぞハリー！ロン！マルフォイ！
ハリー,行こう！
ロン,…わかったよ！
マルフォイ,なんで僕まで
ジャイアン,ギッタギタにするぞ！
マルフォイ,相手はトロールだぞ？グレンジャーごときのために死ぬ気か
ハリー,黙れマルフォイ！
ロン,ジャイアン！コイツはほっとこう。臆病者さ！
ジャイアン,行くんだよ！友達は助けるんだよ！バラバラの無茶苦茶にするぞ！ｸﾞｲｯ
マルフォイ,な、何様だお前は！
ジャイアン,俺はジャイアン！ガキ大将だ！
マルフォイ,！…。ふ、ふん！わかった！ついて行けばいいんだろう！お前らがトロールに殺されるのを見物してやる！
ジャイアン,ハーミーちゃん！
ハリー,女子トイレのほうだ！
ロン,い、行こう
モップ,ワシは魔法のモップ。持ち手なしでも宙を舞い。ひとりでに床を磨く。働き続けて300年。夏も冬も、生徒を見守り、学内をピカピカにしてきたのがワシの誇りじゃ。おや、こんな時間に生徒が…。一年生かの？可愛いのう
ジャイアン,ﾊﾟｼｯ
モップ,む？がっしりした子じゃ、東洋人かの？ワシを持って掃除かの…ﾌｫｯﾌｫ…感心感心。ホグワーツはいいこばかりじゃ…
ジャイアン,ﾎﾞｷｯ！！
モップ,
ロン,ジャイアン、どうしてモップを折ったの？
ジャイアン,棒変わりだ！昔、イシュマルさんって人から棒術習ったんだよ！
モップ,
ジャイアン,行くぞ！
ハーマイオニー,きゃー！！…誰か助けてー！！
トロール,ｷﾞｬｵｰｽ！！
ハリー,ハーマイオニー！！大丈夫か！？
ハーマイオニー,…みんな…！
トロール,ｷﾞｬｵｰｽ！！
ロン,でかすぎだろ
ハリー,逃げるんだハーマイオニー！
ハーマイオニー,…だめ…動けないわ…
ジャイアン,ハリー、ちからを貸すぜ！
ジャイアンは棒,モップ
マルフォイ,ば、剛田！なぜ魔法を使わない！？死にたいのか！
ジャイアン,ｺﾝﾆｬﾛｰ！！！ﾍﾞｷッ！！
トロール,！？。ｷﾞｬｵｰｽ！！
ジャイアン,放せ！放せｺﾝﾆｬﾛｰ！！
マルフォイ,…ｶﾞｸﾌﾞﾙ…父上…助けて…
ジャイアン,ﾁｯｸｼｮｰ！！お前ら！ハーミーちゃんを連れて逃げろ！
ハリー,そ、そんな…
ジャイアン,俺様が負けるもんか！
マルフォイ,…あ…あ…
トロール,ｷﾞｬｵｰｽ！！
ハーマイオニー,ジャイアン！！やめてー！！
マルフォイ,ｸﾙｯ
ハリー,やめろー！ﾌﾞﾊｯ！
マルフォイ,…。…僕は、剛田ごときに舐められたままになる、な。…トロールなんかに…。くるっ！。醜いトロール！
トロール,？
マルフォイ,エクスペリィ…！…アァ―――ムズ！！！！
トロール,ｷﾞｬｫｯｼｭ
ジャイアン,おお！！心の友よー！！
マルフォイ,誰がお前なんかのトモダチだ！！
ハリー,ロン、いまだ！！
ロン,ウィンガーディアム、レビオーサ！！浮遊呪文
トロール,オゥフ…
ジャイアン,コンニャロー！！脅かすんじゃないっつーの！！
トロール,
ハーマイオニー,ジャイアン！！ｶﾞﾊﾞｯ。みんな…助けてくれて、ありがとう…ｸﾞｽｯ
ジャイアン,ハーミーちゃん！
ロン,えー！？
トロール,
スネイプ,これは…
マクゴナガル,なんてことでしょう！
クィレル,ひ、ひぃ！トロールが！
マクゴナガル,これはどういうことですか？。グレンジャー、あなたには失望しましたよ。グリフィンドール5点減点
ハーマイオニー,…はい
マクゴナガル,しかし他の4人は見事でした。グリフィンドールとスリザリンに10点ずつ差し上げましょう
ハリー,やった！
ロン,ｲｬｯﾎｰ
マルフォイ,ふん。僕はスリザリンの得点のためにやったんだからな…当然だ！
ジャイアン,マルフォイ！すごい魔法だったぜ！
マルフォイ,そ、そうか…
ジャイアン,おーし！！今日は我がジャイアンズのデビュー戦だな！
マルフォイ,ジャイアンズ？お前は何を言ってるんだ？
キャプテン,今日の対戦はグリフィンドールとだ。負けられないぞ。剛田！マルフォイ！準備はいいな！？
ジャイアン,おう！！ハリーには悪いが勝つぜ！
マルフォイ,そうだな。ポッターなんかには負けたら恥だ
※シーカー…スニッチっていう胡桃くらいのボール,競技場内を飛び回っている
※ビーター…ブラッジャー,競技場内を飛び回って選手を叩き落そうとするボール
ジョーダン,クィディッチの実況の人
ハリー,！？？
マルフォイ,どうしたポッター！箒も満足に操れないのか？
ハリー,…くっ
マルフォイ,みろよ剛田！グリフィンドールのシーカーはあの有様だ！
ジャイアン,うるせぇ！！さっさとスニッチを探せ！！
マルフォイ,わ、わかってるさ
スネイプ,うお！
クィレル,ひぃ！
マクゴナガル,な、なにごとですか！？
マルフォイ,もう諦めたらどうだ！ポッター
ハリー,無視無視…
マルフォイ,な！？おい待てポッター！！
ハリー,ビュン！！
マルフォイ,ひゅーん
ブラッジャー,ﾌﾞｯｺﾛｽﾃﾞ-
マルフォイ,くそ…
ジャイアン,あきらめるんじゃないっつーの！！カキーン！
ハリー,！？ジャイアン…！！。とおっ！！…ふー、危ない危ない
ジャイアン,行け！マルフォイ！スニッチをとったら心の友だ！負けたらギッタギタのメッタメタにしてやる！！
マルフォイ,…ふん、お前の心の友なんて真っ平ごめんだ
ロン,いっけー、ハリー！！
ハーマイオニー,う、うん。そうね…グリフィンドールを応援するべきなのに…どうして？ジャイアンが負けるところをみたくないなんて！わたしったらどうしたのかしら？…ジャイアンをみていると…なんだか胸が…
ジャイアン,マルフォイ！負けたら承知しねぇぞ！！
マルフォイ,誰に言ってる！
パシッ！,ｽﾆｯﾁｷｬｯﾁｰﾉ！
ｼﾞｮｰﾀﾞﾝ,ｽﾆｯﾁを取りました！…接戦を制したのは…。取ったのは…！ハリー・ポッター！！初白星はグリフィンドールです！！
ハリー,やった！
ロン,ざまぁみろスリザリン！
ハーマイオニー,ジャイアン…！
マルフォイ,
ジャイアン,
マルフォイ,くそ、負けてしまったか。。ポッターごときに
ジャイアン,マ～ルフォ～イくん
マルフォイ,ん？なんだ。今日負けたことならお前だけのせいでは…
ジャイアン,負けたらギタギタにするっていったよな？
マルフォイ,
ジャイアン,負けたのはお前がスニッチをエラーしたせいだ！！
マルフォイ,
ジャイアン,１５０点差で負けたから、お前を１５０発殴る！！！
マルフォイ,
ジャイアン,いーち！！
マルフォイ,むくっ。ぐはっ！！…この…エクスペリアームズ！
ジャイアン,くっ…！この野郎！痛いっつーの！何しやがる！
マルフォイ,えっ
ジャイアン,にー！！
マルフォイ,
グラッブ,う、動かなくなったぞ…
ゴイル,ドラコ…？ド、ドラコー！！
ジャイアン,さーん！！
ドラえもん,ﾆﾔﾆﾔ
のび太,ウヒラウヒラ
マルフォイ,あとクィディッチも上手くならないと…試合で負けるたびにあれでは、死んでしまう。くそ、やっぱり剛田なんてトロールに殺させておけばよかったんだ
ジャイアン,お？マルフォイ君じゃないか。一人で練習なんてえらいなぁ
マルフォイ,ご、剛田！なななななんの用だ
ジャイアン,いや。実は俺、料理が趣味なんだ。練習で疲れただろ？シチューをご馳走するよ。寮にもどるんだ(ニタァ
マルフォイ,そ、そうか。ふん、料理など、召し使いがやるものだろう。おやおや下層階級らしいご趣味だな剛田？…ﾊﾗﾊﾗ
ジャイアン,いいからいいから、食べにこいよ。ハリーとロンとグラッブとゴイルも来てるんだ
マルフォイ,…まあいいだろう
ジャイアン,みんなそろったな！よし、じゃあ腕によりをかけてシチューの仕上げだ！！
ロン,ねぇ、ハリー。ぼく、嫌な予感がするよ
ハリー,そう？日本は料理が美味しいらしいよ。ジャイアンが自分からご馳走したいっていうんだから期待してるよ
クラッブ・ゴイル,おなかすいたー
マルフォイ,ろくに食事もとれていないらしいな。ポッターは。魔法界の恥だ
ロン,ぼく、やっぱり帰るよ。あまりお腹すいてないし…
ジャイアン,さあ、出来たぞ！鍋をドン！
ロン,な！？なんだこの色は！？
ハリー,まるで、二股イモリと飛び跳ね毒キノコを混ぜたような…！
ジャイアン,さぁ！じゃんじゃん食え！よそってやるぞ！！
マルフォイ,…剛田、これは何が入っているんだ
ジャイアン,えっとだな…ひき肉と…
一同,ふんふん
ジャイアン,しおからとー
一同,！？
ジャイアン,たくあんとー
一同,なん…だと……
ジャイアン,にぼしと
一同,
ジャイアン,大福で、あとは味噌で味を調えて、ジャムとたくあんと、セミの抜け殻だ！
一同,
マルフォイ,何故だ。何故たくあんを二回…！
ハリー,黙れマルフォイ。問題はそこじゃない
一同,……
ジャイアン,…まさか、俺が腕によりをかけたシチューを食わないとはいわねぇよな！？な！？
ハリー,い、いただきます！！はむっ。～～～～っ～～～！！！！！！！！沼！？…ねぇ、これ沼！？…
ジャイアン,どうだ？ハリー！旨いか！？美味しいか！？
ハリー,……っーーーー……すごいっ…！！！…
ジャイアン,よかった！百味ビーンズ作ってるお菓子会社にレシピを送ろう…っ！！！。よしみんなも食べろ。沢山あるから、どんどんお代わりしろよ！！
マルフォイ,
マクゴナガル先生,おや。ポッターとウィーズリーとクラッブとゴイルはお休みですか
マルフォイ,スネイプ先生、僕に上級生用の、もっと身を守るのに役立つ魔法を教えてください
スネイプ,ミスターマルフォイ。君はまだ一年生だ。そんな必要はないだろう
マルフォイ,命にかかわるんです
スネイプ,ふむ…ポッターとの確執かね
マルフォイ,ポッター？ああ、アイツは別にいいんですよ。お願いします。必要なら父からも依頼文を届けてもらいます。絶対に覚えます
この辺でどこからともなく武田鉄矢さんの歌声が流れ始める！,次々と切り替わる学生生活の楽しげな描写のBGMに！
①なんかホグワーツ内に三つ首のデカイ犬の化け物,フラッフィー
ハーマイオニー,ハリー！急いで！
ハリー,うん。…あ、あれって！？
※ジャイアンには夢遊病のケがあります。,コミックス６巻参照
ジャイアン,…ｽﾔｽﾔ…ｽﾔｽﾔ…
ロン,…どうしようか…？
ハーマイオニー,あら、ジャイアンにも事情を話してきてもらいましょうよ！きっと頼りになるわ！ｷﾗｷﾗ
ハリー,そ、そうだね。たしかに頼りになるよね
ロン,う、うん。そうだね。友達だもんね
ハーマイオニー,ジャイアン、ジャイアン、起きて
ジャイアン,…はっ…あれ？ハーミーちゃん？
ハーマイオニー,ふふ。おはよ。お寝坊なのね、あなたって。寮を抜け出したらダメなのよ！
ジャイアン,そんな、ぼく恥かしいよデレデレ
ロン,えー！？
ハリー,ジャイアン、わけは途中で話すけど、力を貸して欲しいんだ
ジャイアン,む！俺だけが頼りってわけだな！よしきたハリー！力を貸すぜ！
ハリー,イイヤツではあるんだよな…たまに
ジャイアン,ちょっとまっててくれ。マルフォイを起こしてくる！
ハリー,え
ロン,え
ハリー,ってわけなんだよジャイアン
ジャイアン,ハリー…！！！お前ってやつは…大変立ったんだなｵｰｲｵｲｵｲ！
ハリー,あ、いや、まあ、うん。ありがとう
ハーマイオニー,優しいのねジャイアン！
マルフォイ,話はわかったが…なんで僕までポッターなんかにつきあわなきゃならないんだﾌﾟｲｯ
ジャイアン,マルフォイのくせに生意気だぞ！！
マルフォイ,え。この僕にそんなことを
ジャイアン,文句あんのかよ！！ハリーの話聞いただろ！
マルフォイ,…
ジャイアン,ハグリッドさん、で、どうなんですか！？あの犬はどうしたら大人しくなるんですか？。奇麗な…音楽…。…んごかぁ！！！…すぴー…！！！ガー！！
マルフォイ,…うるさいぞ剛田…シレンシオ沈黙呪文
ジャイアン,………シーン
マルフォイ,役に立つな。沈黙呪文
ジャイアン,また糠味噌にシバ漬けかよ、そりゃないよ母ちゃ～ん！！
マルフォイ,ﾋﾞｸｯ！？。…ｸﾞｶﾞ～！！。寝言か、驚かすな…
ジャイアン,グガ～！！スピ～！！
マルフォイ,シレンシオ・マキシモ最大沈黙呪文
ジャイアン,…シーン
マルフォイ,ふん
ロン,そうだね。フラッフィーデカ犬
ハーマイオニー,じゃあ、今日の夜。そうね２０時にいきましょう
ハリー,うん。ジャイアンと…一応マルフォイにも声かけとこうか
ジャイアン,マルフォイ、あれ。マルフォイはどこにいったんだ？ゴイル
ゴイル,え？あー、昼間から姿が見えないけど
ジャイアン,？…アイツ、まさか…！
ギィ,ドア開ける音ね
デカ犬,ばうわう！！！
マルフォイ,！お、思ったより大きいじゃないか。しかし所詮は醜いケダモノ。さあこの竪琴を聞いておとなしくなれ！
デカ犬,……ばうわう！！！！ｱﾊﾞﾚﾏｸﾘｰﾉ
マルフォイ,馬鹿な！話が違うじゃないか！！
デカ犬,…あんまりいい音色じゃないもんね。俺これじゃダメだもんね！
マルフォイ,うわああああ！！。…はぁっ…はぁっ…なんてことだ…！
デカ犬,わおーん！ばうわう！！
マルフォイ,プロテゴ・フォリビリス！！盾の呪文
デカ犬,ハッハッハッ…
マルフォイ,…僕は、ここで、死ぬのか…？。…痛い
ルフォイ,ふっ、なぜあんなヤツラのことを、この僕が
昔のマルフォイなら、きっと彼らの、そう剛田のバカが言うところの,友達
マルフォイ,似合わないことをしてたら、この有り様だ…
デカ犬,ばうわう！！
ジャイアン,マルフォイ！！力を貸すぜ！！
マルフォイ,バカかお前は！！何故きた！死にたいのか！？。…！この、バカ、が
ジャイアン,文句あんのか！？マルフォイのくせに！！
マルフォイ,…文句はある！！あとで言ってやるから、とりあえずなんとかしろ！！
ジャイアン,いくぞ！！ハグリッドさんから聞いたんだ！この化け物は奇麗な音色に弱いって！！
マルフォイ,どうするつもりだ！？
ジャイアン,リサイタルだ！！
マルフォイ,えっ。まさか、こいつ…実は歌が上手いのか…？なんという自信だ…！
ジャイアン,ボエ～♪
マルフォイ,
ロン,！？な、なんだこの不快極まる音は！？禁断の呪文か！？
ハリー,うわぁあああ！！頭が…！！痛い！！ヴォルデモートの影響なのか！？
ロン,マンドレイクを引き抜いたときの叫び声だ！聞いてたら死ぬぞ！！
ハリー,頭を低くして、お腹に力をいれるんだ！！
ハーマイオニー,なんてステキな歌声…！
