モバＰ(以下Ｐ),……ちひろさん、急に何を
Ｐ,かわいいかわいい
みりあ,それじゃあ、なにかあったらみりあに言ってね！みりあ、おにいたまのこと、ダイダイダーイスキだから！
Ｐ,もうやべえわコレありがとうみりあ、でも気持ちだけで十分だよ。……よし、もう楽しむ方向にシフトしよう。どうぞー
？？？,こんにちは、兄上様
Ｐ,加蓮…やはり加蓮が来たかー…
加蓮,フフ、兄上様…何か御不満がありまして？
Ｐ,名前繋がりで来なければここで来てくれるかなとは思った
加蓮,名前繋がり…でしたら、三番目は日野さんではなく宮野さんが…
Ｐ,本人はノリノリでやりそうだけど他事務所だからね？
加蓮,フフ、冗談です
Ｐ,(中身はまんま加蓮だ…)。お、設定通り犬も一緒にいるのか
加蓮,ええ、私の可愛いペットです…さ、入ってきて
Ｐ,(入ってきて…？)
奈緒(気まぐれにゃんこ),わ……ワンワン！///
Ｐ,それネコーー！！。……ハッ！！。…夢じゃ、ないな。あの後加蓮と奈緒の二人がニャンニャンしてた気が……くそ、記憶が朧気なのが悔やまれる
？？？,──さま？
Ｐ,……あ、つまり奈緒は加蓮のペットとして…いや、この件はプロデューサーの私とて深く関わってはならぬ事象
？？？,にいさま？。…にいさま？
Ｐ,その当然の結果を我々が爆死と否定し続ける限り…ちひろのような事務員の存在が生まれる世の中である限り…アンタン死すべしと叫ばれ続けるのだ……
ありす,もう！にいさま！！
Ｐ,わっほいここで変化球！
ありす,もう！もう！さっきから呼んでるのに無視するのはあんまり…ですの！
Ｐ,その語尾いいな、ちょっとそっちの方向性も今後考えてみようか
ありす,え、あ…そ、そんな褒めても料理しか出てきませんの///
Ｐ,はっはっはっ、超可愛い。……ん？料理？
ありす,はいですの！わたs…姫！姫特製のイチゴ料理ですの！
Ｐ,おっと“私”と言いそうになった所“姫”に直したのはポイント高いぞ、後でストロベリーナイトのBlu-rayを買ってあげよう
ありす,まあ！イチゴの話ですの！？
Ｐ,見てないから分からん。…ちなみにありすさん。イチゴ料理と御伺いしましたが、一体どのような物を…？
ありす,それは勿論！わ…姫が腕と愛情を混めた自信作！
Ｐ,イチゴパスタだけは勘弁な。俺はマウンテンでもカルボナーラを頼む人間なんだよ
ありす,んもう！そういう偏見はよくありませんの！
Ｐ,ほぅ？つまりありすが作ったのはイチゴ関連ではないもの…
ありす,イチゴのストロベリージャム炒めですの
Ｐ,いちg…何故炒めたーー！！！。……ファッ！。……口の中がイチゴ臭い。俺、アレを食ったのか…代償に記憶を…アーンしてもらった気が…畜生！味覚と記憶にダイレクトアタックが無ければ…！！。あ、はい、次の方どうぞー
？？？,アーニキッ！
Ｐ,背後の窓から突っ込みグエー！！
晶葉,フッフッフッ、アニキの思考を上回る行動力、それが私なんだから
Ｐ,晶葉か？バカな、確かに扉からノック音が…
晶葉ロボ,………
晶葉,へっへーん！アニキを驚かせようと思って一晩で作り上げた晶葉ロボ！凄いでしょー？
Ｐ,製造スピードを驚けばいいのか奇襲をかけられた事を驚けばいいのか、はたまた晶葉そっくりのロボに驚けばいいのか…。で、晶葉はこのロボで何をするつもりなんだ？そして背中からどいてくれ、俺が起き上がれん
晶葉,勿論、アニキを労ってあげようと…ね
Ｐ,いい予感がしねえ
晶葉,晶葉ロボ！アニキに身体的快楽を！
Ｐ,おい晶葉、それはただのマッサージだよな？
晶葉ロボ,………
Ｐ,おいなんだあの手つき流石に怖いぞおい
晶葉,バカな、性的快楽はまだプログラミングしていないはず…まさか進化しているのか？
Ｐ,晶葉？晶葉さん？
晶葉ロボ,……ガンバル///
Ｐ,晶葉さーん！ちょっと晶葉さーん！！ごめん逃げるからちょっとどいて晶葉さーん！！
晶葉,そんな、私が失敗を…？
Ｐ,あ、晶葉さーーん！！！
晶葉,……科学ノ進歩、発展ニ犠牲ハツキモノデース
Ｐ,俺を置いて逃げるなーーー！！！。…ハッ！！。……最近のロボって、凄いんだな…
？？？,…フフッ、元気そうで何よりだよ……兄くん
Ｐ,…嵌まり役だな飛鳥
飛鳥,はてさて、なんの事かな…兄くん。…フム。いくら兄くんでもボクには隠し通せないよ
Ｐ,な、何が？
飛鳥,疲れきった表情…仕事をするのも大事だけど、まずは自分の体を労ってくれ
Ｐ,お、おう…
飛鳥,気分転換も必要だろう…どうだい？ボクとタロットでもしないかい？
Ｐ,始めながら聞く発言じゃなくない？
飛鳥,やり方は大丈夫、さっき蘭子から聞いてきたから
Ｐ,即席かよ
飛鳥,まずは真ん中のカード、これを引っくり返すから…兄くん、このカードをしっかり見つめてくれ
Ｐ,おう
飛鳥,ここで堕天使を攻撃表示で召喚ッ！！
蘭子(天使な堕天使),我が友ー！！
Ｐ,タロットに堕天使なんてカード無うぼふッ！。……ハッ！！。……あの胸で堕天使を名乗るのは無理があるぞ、蘭子
？？？,育てば魔王になるって事ですよ、兄君様
Ｐ,あー、なるほど。確かに魔王の衣装があったな
のあ,寡黙の女王
Ｐ,ははっ、俺もまだ若いつもりなんだがな…。ブハァッ！！
のあ,……兄君様、謝罪は？
Ｐ,ああ、すまない…
のあ,まったく…
Ｐ,……え？のあ？
のあ,ええ、私です
Ｐ,え？だって、昨日、俺、春歌、紗枝……
のあ(cv.かかず●み),色々事情があってここに来ただけだからお気になさらないでください
Ｐ,無表情でその声はやめて。脳が受け取り拒否してる…
のあ(cv.源しず●),そんな兄君様に朗報よ
Ｐ(cv.大山●ぶ代),なぁんだい？またそう言って僕を困らせる気だろ
紗枝(cv.立花●香),兄君様…私、兄君様のために灸を……ポッ///
Ｐ,。…ハッ！！！。……背中を焼かれ、身体が軽い…もう何も怖くない。なんだよアレ。天国かよアレ。なんでのあがいたのか分からんままだったけど。…窓が割れて手紙が目の前に。展開が凄く忙しい。…そういやあったな、怪盗としての活躍
智絵里,…ッ、兄チャマ！！///か、怪盗から予告状が来たのはホントデスかぁ！？///
Ｐ,頑張ってるなぁ智絵里ぃ！！
智絵里,か、怪盗から守るのが智絵里の勤め…///あ、兄チャマの護衛は名探偵智絵里が…///
Ｐ,頭から湯気が凄ぇ
？？？,ちょっと待った兄チャマー！！
Ｐ,…そうそう探偵って言ったらお前だよな都
都,そこにいるのは兄チャマの妹に扮した全くの偽者…騙されてはいけません！
智絵里,ひ、ひゃい
都,まったく…この名探偵都の目は誤魔化せません！
Ｐ,自己申告制の兄妹システムで偽者を見つけるのは無理があるのでは？
都,さあさあ！さっさとお縄に付くのです！怪盗クローバー！！
智絵里,えっと…えっと…
Ｐ,(都、嵌まり役だからかイキイキしてるな…ところで智絵里は何してるんだ？)
智絵里,……あった！。煙幕ッ！！
都,なんとさすが怪盗ぉわっぷ！
Ｐ,煙幕濃すぎっぷ！。………。…ん！？智絵里はともかく都はどこいった！？。？。……いや、何しに来たんだアイツら！？。…途中から怒涛な展開だったな。楽しかったから良いけど。お、流れからして最後だな。どうぞー
？？？,………じいや？
Ｐ,できれば兄やで頼むわ
こずえ,……兄や？
Ｐ,自分で言っといてアレだが兄やも正直怪しい
こずえ,……？。兄やー…
Ｐ,おうおうどうした
こずえ,…兄やのおひざー……すわるー
Ｐ,…演技か素なのか分からんな
こずえ,…ねー……兄やー…
Ｐ,んー？
こずえ,…だーいすきー…
Ｐ,。……ハッ！！。…短くとも、いい夢を見た気がする…
ちひろ,こんにちはー。いやー、凄かったですねー
Ｐ,こんにちはちひろさん……あれ、そう言えばちひろさんは今までどちらに…
ちひろ,………
Ｐ,………？
監視カメラ,ｺｯﾁｦﾐﾛｫｫ!
Ｐ,…………
ちひろ,部屋中にあるカメラにはアイドル達が様々な妹を演じた映像が盛り沢山！そんな素晴らしいこちらのBlu-rayディスクを期間限定で販売しております！
Ｐ,凄ぇ高いキャバクラに行った気分になっております
ちひろ,お仕事中にアイドル達とキャッキャウフフしていた思い出が見返せるこの商品！こんなお得な商品は滅多にありませんよ！
Ｐ,くそぉ…許せ、シスプリBlu-rayBOX…君達を買うのは先になりそうだ…
ちひろ,こちらの商品！300000モバコインの所を超絶特価！！なんと…
常務,何をしている
Ｐ,じ、常務！？何故こちらに…
常務,なに、働きすぎた君のためにアイドルと事務員が動いていると聞いてな
ちひろ,(バカな！この事を知るのは蘭子ちゃんと智絵里ちゃんを含む１４人だけ…漏洩するなんてありえないはず…！)
常務,疲れた同僚への心意気…大変素晴らしいと私は思う。千川ちひろ事務員、今月の給与査定を楽しみにしたまえ
ちひろ,は、はい。ありがとうございます
常務,ところで、先程のBlu-rayディスクの件だが…販売云々は小粋なジョークと見て良いのだな？
ちひろ,え？
常務,良いのだな？
ちひろ,ア、ハイ…
常務,では諸君、しっかり英気を養って仕事に励んでくれ
Ｐ,…あ、ちひろさん。結局Blu-rayの話は…
のあ,貴方にプレゼントって事よ
ちひろ,あ、私のディスク…
Ｐ,なるほど
ちひろ,………のあさん！？
