草野優衣,うーん……
優衣母,ご苦労様。あとはアダルトな雰囲気で気分が高まった騎士くんの元へ"最高のご馳走"をお届けするだけね
優衣妹,でも、あの人中性的っていうか、可愛い感じの人だよね。肉食系って雰囲気ないし、お姉ちゃんも本番でモジモジしちゃうタイプだから上手くいくかな？
優衣母,大丈夫、二人がめでたく結ばれるように工夫をしておいたから
優衣妹,工夫？
騎士くん,お、この部屋アロマが炊いてあるのか。甘くていい香りがするな。あれ、なんだか香りが強過ぎるというか、なんだかムラムラしてきたような
優衣母,さて、頃合いを見て肝心の優衣を投入して挿入してもらうだけね
優衣妹,それがお姉ちゃん、まだ自分の部屋にいるよ
優衣母,まあ、あの子ったら。せっかく騎士くんの騎士くんがカンスト状態なのに
優衣妹,でも私たちがここまでしてるわけだし、さすがのお姉ちゃんも覚悟が付くんじゃないかな
優衣母,それもそうね。優衣を信じましょうか
春咲ひより,あー、お腹すいたな
士条怜,そういえば、優衣の実家の定食屋さんが近くにあったよな
ひより,よし、ならそこでお昼ご飯を食べようー！
二人,…………
怜,なあひより、私の目がおかしくないのなら、目の前にあるのは多分定食屋ではないよね
ひより,でも、優衣ちゃんの家ってここだよね
怜,いや、おかしいだろ！？どこの世界にこんな城みたいな外観の定食屋がある？
ひより,あははは……、きっとこんな外観でも、中身は立派な定食屋さんなんだよ
怜,とりあえず入ってみるか
二人,…………
怜,どう見えも定食屋に見えないが
ひより,定食屋さん(意味深)なんだよ
吉澤ひとみ,私は吉澤ひとみ。かつては人気アイドルグループに属していたけれど、卒業後に定食屋さんで働いていたらまさか飲酒運転の事故を起こすなんてな……
吉澤,当然定食屋さんはクビ。事故のことはネットでも拡散されるからみんな私のことをボロカス叩く。私と同じく過去に飲酒運転して警察とカーチェイスして電柱ぶっ壊した坂上忍くらいだよ、私に甘いのは……。んで、今は取り調べからこっそり抜け出してきたけど、行く当てもないしな……。そういえば、私が働いていた定食屋さんってこの辺りにあったような……あれ？。こんなところにこんなに大きなラブホテルなんてあったっけ？。……そうだ！ここから金を盗んで逃亡生活の資金にしてやろう。内装もすごく立派だな。こんだけ立派なら相当金がある筈だ
優衣母,きゃっ！？あ、あなたは誰！？
吉澤,ち、従業員に見つかったか！こうなったら、オラァァァーーーっ！
優衣母,キャァァァァーーーーー！！
優衣妹,お母さん！？
優衣母,き、来ちゃだめぇぇぇーーーー！
吉澤,ぐへへっ、お前この女の娘か？母親の命が欲しければ金を持ってこい！
優衣妹,お、お母さんに乱暴しないで！
優衣母,私に構わず逃げて！このままではあなたも殺されてしまうわ！
吉澤,おらおら、母の命がどうなってもいいのか！
優衣妹,うぅぅ……わかりました。お金を用意するから、お母さんには手を出さないで！
吉澤,ふふっ、良いだろう。さあ、早く金を持ってこい
騎士くん,うーん……アロマの香りが強いと思うけど、ベットも大きくて手足を伸ばすには最適だな
優衣,き、騎士くん……
騎士くん,お、草野か。もしかして、ご馳走を持ってきてクレタのかな？
優衣,は、入るよ……。騎士くん……
騎士くん,！？く、草野……
優衣,ご、ご馳走は……わ、私だよぉーー///
騎士くん,く、草野……
優衣,ひゃ、ひゃい！
騎士くん,…………草野！
優衣,きゃっ！？き、騎士くん///
騎士くん,…………草野、好きだ！
優衣,えっ……
吉澤,おい、約束の金は持ってきたんだろうな
優衣妹,お母さんの解放が先よ！
吉澤,ダメだ、金を先に渡せ。出なけりゃこの場で殺す！
優衣母,私は大丈夫だから。吉澤さんのいう通りにして
優衣妹,……このトランクの中に入ってるわ
吉澤,どれどれ。うわっ、なんかすげー煙出てきた！くそ、目がみえねぇ！
優衣妹,お母さん、こっちよ！
優衣母,ありがとう
吉澤,あ、こら、待ちやがれ！ｹﾞﾎｹﾞﾎ、くそ！
怜,とりあえずホテルの奥の方まで進んでみたけれど、どう考えてと定食屋ではないな
ひより,ひょっとして、定食屋さんからラブホテルへ業種転換したのかな？
怜,そんなわけないだろ
二人,！？
ひより,怜さん、なんかすごい叫び声みたいなのが聞こえるよ！
怜,まさかこのホテル、心霊スポットなのか！
ひより,うわ、また聞こえた！？。なんかすごい物騒な言葉が聞こえた！
怜,気味が悪いな。とにかくここから離れよう
ひより,うん！
優衣,ﾊｧﾊｧ……騎士くん///
騎士くん,ﾊｧﾊｧ……その、ごめんな草野。いきなり激しくしちゃって。その、我慢できなかったというか
優衣,ううん、気にしないで。騎士くんとこうして一つになることを、ずっと望んでいたから
騎士くん,その……草野、すごく可愛かったよ
優衣,えっ、うぅぅ……なんだか恥ずかしいよ///
騎士くん,あはは。ちょっと疲れたから、しばらく二人でのんびりしてようか
優衣,……ねぇ、騎士くん。その……名前で呼んでくれないかな
騎士くん,……優衣///
優衣,……騎士くん///
優衣妹,お母さん大丈夫？怪我とかしてない？
優衣母,お母さんは大丈夫よ。それより、あの煙は
優衣妹,倉庫にあったアロマを焚いて煙を集めたの。今のうちに警察を呼ぼう
優衣母,倉庫のアロマですって
優衣妹,え、何かマズかった？
優衣母,実はアロマなんだけど、優衣と騎士くんがエッチな雰囲気になりやすいように媚薬が含まれているものを海外から購入したの。その時購入先のキャンペーンでいろいろな効果のあるアロマをプレゼントされて、置き場所がなかったから倉庫に保管しておいたのよ
優衣妹,そのアロマってどんな効果があるの？
優衣母,確か……アロマの匂いが染み付いた人が食べ物に見えてしまうって効果だったような
優衣妹,えっ
吉澤,ｹﾞﾎｹﾞﾎ……ちくしょう、許さねえぞ。そうだ、なんか武器でも手に入れて襲ってやる
ペコリーヌ,あー、お腹すいたな
吉澤,あんなところに女……おいそこの女、命が惜しけりゃ金をよこせ！
ペコリーヌ,お！こんなところに大きなおにぎりが！？いただきますぅーー！！
吉澤,お、おい！てめぇ何してやがる。ｷﾞｬｱｧｧｧｧｧｧｧｧｧｧｧｧｧ
