このＳＳは、７６５プロＡＳと株式会社セガ・インタラクティブ,セガR&D1
ﾍﾞﾁｭﾁｭﾝ,兵士を倒した音
Ｐ,お、やよいか。おはよう
やよい,プロデューサー、朝一番のあれいっきますよー
Ｐ,ん、おお。良いぞ
やよい,ハイッ！ターッチ！！
Ｐ,ヤッッベェ！？
やよい,はわわ！だ、大丈夫ですか！プロデューサー！
Ｐ,少し、遊び疲れちまっタナ…。まさかのやよいのハイタッチで帰城とは…
小鳥,どんどんいきましょう！次は亜美ちゃん真美ちゃん！
Ｐ,…ときたらアレですかね？
亜美,リトル・アリス
真美,シャドウ・アリス
スタン,行動不能
Ｐ,ですよね！アリス、シャリスのコンビ！
小鳥,スキル名なども亜美ちゃん真美ちゃんにぴったりですよね～
Ｐ,対面にこの二人がいたら大苦戦必至ですね
小鳥,私もそう思います！
亜美,およよ
真美,おろろ
Ｐ,げっ、亜美に真美か
亜美,んっふっふ→
真美,ここで会ったが100日目！
亜美,兄ちゃん！
真美,カクゴー！
Ｐ,う、うわぁぁぁ！！！。か！辛苦いぃぃぃ！！
小鳥,～では次は真ちゃんとかどうですか？
Ｐ,真かぁ…結構何でもあてはめられそうだけど
小鳥,ズバリ！こうですね！
真,闇吉備津
自身中心の範囲内の敵に小ダメージとスタン,行動不能
Ｐ,音無さん。これ、闇吉備津まんまじゃないですか！
小鳥,いやぁ、真ちゃんなら闇吉備津のスキルくらい容易く扱えるんじゃないかと思って
Ｐ,まぁ、否定はしませんけどね
小鳥,しかも、闇吉備津よりも能力は上なのがミソです
Ｐ,闇吉備津をも超えるアイドル。さすが真ですね。いやぁ、楽しかったです
小鳥,そうですね、やっぱり妄想は楽しいですよ
Ｐ,今回は音無さんに賛成ですね。あっと、もうこんな時間か…。そろそろお開きにしましょうか？
小鳥,ほんとだ、残念ですけどそうしましょうか…。
Ｐ,また、ワンダー雑談しましょうね。もちろん時間が有ればゲームセンターでも
小鳥,はい。また、宜しくお願いしますね。最後に…プロデューサーさんのキャスト妄想でもしようかしら…。プロデューサーさん…Ｐ…うん、あのキャストね
Ｐ,ピーター・ザ・キッド
【エアウォーク,靴の商品名
小鳥,んふっ、ジャケットのコアとか…とても良いわ！。きっとこんな感じね…
Ｐ,はぁはぁ…動き回ったから汗だくだ…。すまん、ジャケットここに置かせてくれ。ぃよし…、次はあそこか！いくぞー
春香,
千早,
真美,
春香,んはぁ～、プロデューサーさんのジャケット…。ﾊｧﾊｧ
千早,ちょっと春香、何してるの。
春香,え、千早ちゃんも嗅ぐ？すっごくいいよぉこれ
千早,ええ嗅ぐわ。だから貸して頂戴。ん……っ、はぁ……
春香,とてもテレビに流せない顔しているよ千早ちゃん
千早,ふぅ…とても良いものだったわ。これでまた頑張れる
春香,そうだね。あとひと踏ん張り、ガンバろっか！
千早,ええ、そうね。行きましょう
真美,…。…。…ハァ、兄ちゃんの匂い…
小鳥,…んぶっ、良いわね。これはヤバいわ。
Ｐ,音無さ～ん？会計終わりましたよ～？
小鳥,あ、はいぃ！ありがとうございまひゅ！
Ｐ,？？。そういえば、音無さんって何に当てはまるかな…。深雪乃…、うん。これ以上は考えないほうがよさそうだ。
亜美,手のツボマッサージ
Ｐ,今日の昼飯はうどんだな
