ぷちコレあたりの時間軸です。,イベントとかなんとか
紗南,ほら、レア装備には特別な効果がついてたりするんだよ？
光,えっつまり………麗奈！変身してくれ！(ｷﾗｷﾗ
麗奈,しない！するわけないでしょ！？
紗南,……せっかく見つけたんだけどなぁ……
光,あの時の麗奈すっごいカッコよかったのになぁ……
麗奈,あーもう！。で、光向けに持ってきた服だけど……
紗南,ふふーん、こっちは自信あるよ！Cuアイドルを参考に頑張って選んできたからね！
麗奈,そうね……間違いないわね。少なくともアタシに持ってきたやつよりはいいわ
紗南,でっしょー？ゲームならあたしに任せとけってね！
光,っ……どうかな！似合ってるか！？
紗南,似合ってる！似合ってるよ光ちゃん！
麗奈,そうね、似合ってると思うわ、思うけど…………。美玲の服装参考にしたらダメでしょ！？
光,えっ？
紗南,えっ？
美玲,へくちっ！
輝子,ど、どうした……かわいいくしゃみだな……
美玲,う、うるさい！誰かがウチの噂してるみたいだ……誰だよもう……
輝子,に、人気者だな……
麗奈,あのね、美玲の服装はパンクでしょうが！どこがガーリッシュよ！
紗南,でもCuアイドルだし……光ちゃんにマッチングするかなぁって
光,確かに美玲っぽい……というか眼帯って見づらいな……
麗奈,あぁもうフラフラするな！着替えてきなさい！
光,はーい、おかーさーん！
麗奈,誰がお母さんか！あんた年上でしょうが！。次！光！
光,うん、紗南にはもう渡してあるんだ、着替えてもらってる
麗奈,へぇ……あんたにしては手が早………
紗南,麗奈ちゃんがファッションに気をかけるのは勝手だ……だがそうなった場合……
麗奈,紗南？
紗南,誰がファッションショーに出ることになると思う？
光,南条だ！
麗奈,何そのTシャツ！？
光,いやぁ……見つけたからつい
麗奈,怒られるのわかってたわよね！？
光,大丈夫！予約済みだから着るよ！
麗奈,着るなって言ってんのよ！？
紗南,まぁまぁ、麗奈ちゃん。そんな怒るとハザードレベルがあがるよ？
麗奈,アンタも見てるからって乗らないの！アタシはグリス派だし！
光,まぁ今のは冗談として
麗奈,そんな冗談いらないわよ……、で？
紗南,……これ？光ちゃんが選んだにしては普通……
麗奈,ほんとね？確かに、なんか揃ってるし、違和感ないわ
光,失礼な！あたしだって真面目にやればベストマッチくらい選べるんだ！。全く麗奈も紗南もわかってないなぁ。特撮の女優さんの服を参考にすれば……
麗奈,光
光,ど、どうしたんだよ麗奈？あたしが見てるのはヒーローだけじゃな……
紗南,光ちゃん……？
光,………(汗ﾀﾞﾗﾀﾞﾗ
麗奈,彩華に教えてもらったでしょ！？
光,べ、別に悪いことじゃないだろ！？困ったときは仲間の力を借りるのは！
紗南,悪くないんだけど……なんだろ、チート使われた気分？
光,でも紗南には合ってるし、よくないか？
紗南,それはそうかな！一式買って……うわぁ、据え置き機買えちゃう……
光,えっ！？ってことはえっと……あれ！？
麗奈,大人の金銭感覚の差ってやつ？
紗南,彩華さん未成年だけどね……？ちょっとあたしにはハードモードすぎるかなぁ……
麗奈,で？アタシへの服は？
光,試着室に置いてきたよ！しっかりCuアイドルっぽいやつを！
麗奈,あんたまで美玲っぽいの選んだりは……
光,してないしてない！しっかりカワイイやつだよ！
紗南,へー、ちょっと気になるかも！かわいい系の麗奈ちゃんレアだし！
麗奈,さっきアンタ、コスプレ持ってきてたの忘れたのかしら？
紗南,大丈夫！さっき奈緒さんのところに送ったよ！
麗奈,ちょっ！？アンタ何してんの！？
光,いいからいいから、麗奈。着替えてきなよ？
麗奈,いや、大事なこと……紗南！消すようにメールしてなさいよね！？
紗南,………………
光,………………
麗奈,……………
紗南,……………
光,………………
麗奈,…………………………で？。喧嘩売ってるのよね！？そうよね光！？
光,なんか……ごめん
麗奈,あーやーまーるーなー！
紗南,い、いや、間違いなくCuアイドルの服だって……
麗奈,わーらーうーなー！
紗南,似合ってる！似合ってるんだけど！違和感が……すごい……！
光,すごい、麗奈がお嬢様に見える……
麗奈,何よ、そんな……変、かしら……？。ま、まったく！光の選んだ服は変なのばっかだわ！。さて、真打登場、このレイナサマのターンよ！
紗南,自信満々だね！高得点狙ってくる感じ？
光,悪の幹部コスとか用意してないだろうな？
麗奈,いや、今回はガチ、ガチよ！
紗南,それはそれでつまらないかな！
麗奈,服選びに来たはずなんだけど？ネタに走る必要ないわよね？
光,そんな本気なら……あたしも本気で答えないとな！
麗奈,……本気で答える気あるならあのTシャツは持ってこないわよね……？
紗南,えっと……麗奈ちゃん？
麗奈,どうしたのよ？着れないとか言わないわよね？
紗南,いや、着た。よかった。サイズぴったりだし……
光,うん、すごいよ麗奈！よく見つけたな！着やすいし完璧だ！
麗奈,フフフ……ハーッハッハッハ！そうでしょう！？さすがアタシのコーディネート！
紗南,うん、すごいんだけど……どこで見つけたの？
麗奈,このレイナ様に掛かれば造作もないわ！だって私がイグニッションZEROのリーダーなんだから！
紗南,麗奈ちゃん
麗奈,な、なによ紗南。そんな顔して
紗南,この上着………豪華5点セットとか値札ついてるんだけど……？
光,つまり……これ全部で一点モノってこと？麗奈？さっきアタシのコーディネートって……
麗奈,て、的確なセットを見つけることもリーダーの素質でしょ？
光,なんだよそれー！それじゃ彩華さんに聞いたあたしと変わらないじゃないか！
紗南,組み合わせは自分で見つけた方が達成感あるでしょ麗奈ちゃん！
麗奈,ハッ！アンタ達が論外だった以上！この勝負はこのレイナサマの勝利よね！！
光,ぐぬぬ………言い返せない……
彩華,あ、いたいた……。紗南ちゃんに麗奈ちゃん……光ちゃんはさっきぶりよねぇ？
紗南,彩華さん？
光,聞いてくれ彩華さん！今みんなで服を選んでたんだ！
彩華,そうなのぉ？それならぁ……あやかも混ぜてもらっちゃおうかな？
紗南,ほんと！？あれ？でもさっきお仕事してなかった……？
彩華,それがねぇ……？コーデしてほしい人がドーンときちゃってぇ……
紗南,さ、さすがガールズパワー……雅さん達は？
彩華,雅ちゃんも美紗希ちゃんはね、ステージでお客さんの相手をしてるの
麗奈,じゃあ、なんで彩華はここにいるのよ？
彩華,それはもちろん……。イグニッションZEROの3人を、巻き込んじゃおっかなって？
紗南,えっ！？ステージに！？だ、大丈夫なの！？
彩華,大丈夫よぉ、今回のステージなら問題ないと思うわぁ？
雅,春休み、青春の背伸びコーデが今回のテーマだから！
美紗希,実際、中学生くらいの女の子がいっぱいだから、大丈夫よぉ？
光,そ、そうかな……あたし達って中学生にしてもちっさいような……？
麗奈,間違いなくあそこにいるようなお客さんとは別じゃない？
雅,問題ないない！いつもと違う、新たな一面、発見しちゃおうよぉ？
紗南,うーん……確かに、イメチェンって意味ならこのステージに合ってるのかな？
彩華,そうよぉ？だから、お姉さんたちにどーん！と任せなさぁい？
美紗希,光ちゃんは、今度のファッションショーの練習にもなるし、一石二鳥じゃない？
光,そうかな……そうかも！お願いします！
雅,さーなちゃん！早速だけど……三つ編み解いてもいいかなぁ？
紗南,さ、早速！？い、いいけど……服じゃないの？
雅,ほら、紗南ちゃんっていっつも三つ編みだし、お仕事の時も髪、纏めてるからぁ、解いたらいいなぁって！
紗南,纏めてくれてるのはスタイリストさんだから……あ、あたしは……
雅,ほらぁー！やっぱりぃ！解いてもカワイイ！どう？髪、みやびぃみたいにさせてみない？
紗南,え、えっと……も、元に戻せる？
雅,えーっ！もったいないってぇ！ほら、かわいくしてさぁ？みんなをびっくりさせよ？
紗南,………よっし覚悟決めた！雅さん！好きにやっちゃって！
雅,任されたよぉ、紗南ちゃんを、とびきりキュートな女の子にしてあげるからねぇ？
美紗希,麗奈ちゃん、要望とかあるぅ？
麗奈,この企画、あんたらの選んだ衣装を着るんじゃないの？
美紗希,そうだけどねぇ？嫌がって着られるのも、服が可哀そうだものね？
麗奈,そうね……ほかの二人はどんな風になりそうなの？
美紗希,そうねぇ……みやびぃは間違いなくカワイイ系で仕上げてくるだろうし、あやかぁは……どうかな？
麗奈,なら……二人に負けないようにして頂戴！ユニットのリーダーとして負けられないわ！
美紗希,勝負じゃないんだけどねぇ……でも、言われてみれば……ちょっと燃えるかも！
麗奈,服も、アンタに任せるわ、だから……勝つわよ！
美紗希,じゃあ、大胆にいってみるぅ？ちょっと大人びた感じに……
光,よろしく、彩華さん！
彩華,光ちゃんは、次のイベントに合わせて、よねぇ？
光,あぁ！お淑やかなイメージでお願いします！
彩華,はぁい。……その前に光ちゃん？ちょっと服脱いでくれないかしらぁ？
光,いいけど……どうしたんだ？…………彩華さん？
彩華,………やっぱりぃ。光ちゃん、ブラジャーってしっかりつけてる？
光,えっ！？つ、つけて、るよね？何か変かな？
彩華,前から思ってたんだぁ、光ちゃん、事務所の資料のバストの割にってぇ
光,そうかなぁ？気にしたことなかったから……つけ方がおかしいの？
彩華,そうねぇ……ちょっと見直してみましょうかぁ……。服は決まってるから安心してねぇ？
P,…………で？いや、ガルパの3人から話は聞いてたけど……
紗南,……どう、かな？う、ウェーブ？っていうのをかけてもらったんだけど……
光,どうだろう！お淑やかにできてるかな？
麗奈,見なさい！このレイナ様が一番、でしょう！？
P,……えっと？
雅,Pさんにぃ、一番かわいいのを選んでもらおうかなぁって！
P,え？なんで俺？ステージで……？
彩華,イベントは終わったし、それはそれ、これはこれ、でしょぉ？
P,……………三人とも、いいんじゃないか？
美紗希,だーめぇ！女の子が頑張ったんだからぁ、しっかり選んであげてねぇ？
P,そこは……みんなで一等賞でよくないか？。息ぴったりだなお前ら
雅,まずはぁ、みやびぃのコーディネート、さーなちゃん！
紗南,えっと……その……ね？
P,さっきも言ってたけど、髪、下ろしてるんだな。なんかふわふわしてるし
雅,そう、そうなのー！紗南ちゃんてばこーんなキレイな髪持ってたんだぁ？もったいなくない？
彩華,もったいないー！普段からぁ、かわいくすればいいのにぃ
紗南,み、三つ編みはあたしのト、トレードマークだから！アピールポイント！
雅,春っぽさイメージでまとめてみましたぁ！清楚な紗南ちゃんとか、新鮮でしょぉ？
麗奈,紗南っていっつもパッとした色ばっかだものね、淡い色の服とか初めて見たかも
P,た、確かにいつもの活発系な紗南とは全然違うな……なるほど、こういう路線も……
紗南,し、しないからね！？こ、これっきりだから！
美紗希,あらぁ、それなら写真、撮っておかないとね？大事な、き・ね・ん？
紗南,えっと……じゃあ一枚だけ、お願いしちゃおうかな……？
彩華,はいはぁい紗南ちゃんこっち見てぇ？
雅,ちょっとポーズ決めちゃう？ふわってやっちゃうぅ？
美紗希,やーん、みやびぃいい出来！こういうの、さっすがキュートよねぇ
紗南,待って！？連写！連写してる美紗希さん！？
P,紗南、ちょっと歩いてくれるか？
紗南,ビデオカメラどこから持ってきたのPさん！？
美紗希,紗南ちゃんが逃げちゃったので、次はみさきぃの
麗奈,アタシのターンよっ！見なさいP！麗奈様の華麗なモデルチェンジを！
P,自信満々だな麗奈。確かに、ステージ衣装とは違うけど……なんか映えるな
美紗希,でっしょー？麗奈ちゃんってー、ステージだと小悪魔ってゆうか、ダークな感じだったからぁ
光,麗奈はヒール系アイドルだからな！そしてあたしがヒーローアイドル！
彩華,こぉら！光ちゃん、今は、お淑やかに。でしょう？
光,そうだった！麗奈の服は……ドレス？意外だなぁ
美紗希,えーだってねぇ？麗奈ちゃんだってオシャレしたいときあるもんねぇ？
麗奈,み、美紗希！変なこと言わないでよ！？
美紗希,麗奈ちゃんてば、さっき光ちゃんが選んでくれた服、大事そうに持ってるんだもんねぇーかーわいいぃ！
麗奈,言うなって言ってんでしょうか！
紗南,あ、やっぱり気に入ってたんだ！いやぁ、確かに新鮮、ではあったよね？
麗奈,にやにや笑うんじゃないっ！
美紗希,でーもぉ、ほらぁ？ガルパとして、負けてられないしぃ？ちょーっと大人な感じで仕上げてみましたぁ
雅,素敵素敵ぃ！麗奈ちゃんっておねーさんなところあるもんねぇ！……あれ？紗南ちゃん？光ちゃん？
彩華,二人もいい子だけどねぇ？でも、お姉さんって感じではないかもぉ？
光,そ、そんなっ！？あたし14歳で、麗奈の先輩なのに！
麗奈,ハーッハッハッハ！ざまぁないわね光！アタシとアンタじゃレベルが違うのよ！
紗南,確かにL.M.B.Gで年長者として経験値稼いでるもんねぇ……悪役ってなんだっけ(ﾎﾞｿｯ
麗奈,うっさい紗南！
彩華,最後はぁ……今回の主役よぉ？光ちゃん！
P,胸がある！？。い、いやなんというか……ごめん。そうだよな、あやめと同じだもんな。そりゃあるよな
彩華,まぁ、その辺も直したんだけどねぇ？光ちゃんたらそういうの気にしないんだもの
光,ちゃんとしてみたんだ！お淑やかになってるかな？
雅,かわいいぃー！光ちゃんてばこういう服も似合うー！さっすがあやかぁ！
美紗希,みやびぃテンション高いよぉ。でもちゃーんとお淑やかにできてるわよ？
光,ホント！？よっし、紗南！麗奈！どうかな！
紗南,いつもと違う感じって意味じゃ大正解だよね！………あとちょっとびっくりした
麗奈,ハーッハッハッハ！馬子にも衣装ね！
光,なんか知らないけど、褒められた気がする！ありがとう麗奈！
紗南,いや、光ちゃん、それ褒めてな
麗奈,えっ
紗南,えっ？
P,まぁファッションショーに向けていい感じになったんじゃないか？光
光,そうだろPさん！このままクラリスさんと協力して大成功させるんだ！
雅,それでぇ？Pさんの一番は……だぁれ？
P,うぐ……えっと……だな……
雅,もちろん紗南ちゃんだよねぇ？春らしさを纏めた乙女な姿、イチコロでしょお？
彩華,あらぁ？光ちゃんのお仕事に向けた姿勢と、あの可愛さ、圧勝よねぇ？
美紗希,いやいや、二人と違う大人びたスタイルこそ、イメージチェンジでしょ？麗奈ちゃんよねぇ？
P,な、なんかイグゼロじゃなくてお前らがガチになってないか……？
彩華,やぁねぇ、女の子の背伸びに協力しただけよぉ？
美紗希,そうそう！別に久々にアイドルの子を着飾れて楽しかったとか
雅,3人で別の子だったしちょっと競争心が出てきたとかないよ？
P,やっぱ本気じゃねぇか………。まぁ、それなら。光かな。今回のとこは
光,ほ、ホントかっ！やったぁ彩華さん！お淑やかになってるって！彩華さんのおかげだ！
彩華,おめでとう光ちゃん！ふふん、光ちゃんが頑張ったからよぉ？
紗南,うぅ、はっきり言われると悔しい。負けたー！
麗奈,ちょっとP！このレイナサマのニュースタイルの何が不満だって言うの！？
P,いやまぁ……次の仕事を鑑みてだな。そういう意味じゃ光が一番頑張ったわけだろ？。二人は光の付き添いとはいえ、こんだけ珍しいもの見せてくれたしな。両方2位ってことで
紗南,同着かー、まぁ麗奈ちゃんとあたし、服の方向性違うからいいかな？
麗奈,ま、ヘタレたPにしては1位を選んだだけ褒めてあげるわ
P,手厳しいなぁ。ガルパの3人もそれでいいよな？
雅,ゴホービがほしいなぁ
P,……よっし、帰りになんか買っていくか
美紗希,さっすがぁ！それならぁ、この先のケーキ屋さんがオススメぇ！
光,いっくぞぉ！ひっさぁつ！
千佳,いけー！ヒーロー光ー！
奈緒,いやいやいや！なんでそのカッコでヒーローごっこしようとしてるんだよ！
光,えっ？……あー、そうだよなーお淑やかにしないとなー
千佳,あっそっか！光ちゃんお姉さんしないといけないんだもんね！
奈緒,全く……というかなんでまたあたしが怪人役になってたんだ……？
光,気分かな？
千佳,流れじゃないかな？
奈緒,もういいや。その服、どうしたんだ？
光,紗南と麗奈と一緒に買ったんだ！ガールズパワーの3人にも協力してもらったんだよ！
奈緒,へー、ホント仲いいんだな3人で
光,あぁ、でもだからこそ、負けられないライバルでもあるんだ！
千佳,光ちゃん燃えてるー！
光,あぁ！紗南も麗奈もアタシも頑張ってさ、三人のうちからPさんに選んでもらったんだけど
奈緒,……ん？
光,そしたらPさんってばあたしを選んでくれたんだ！
奈緒,…………は？
千佳,すごーい！光ちゃん！
光,紗南もいつもより大胆にしてたし、麗奈も大人っぽさで攻めてたんだけどさ！
千佳,3人で勝負してたの？
光,あぁ！いつもと違うあたしの頑張る姿がよかったって！
奈緒,……その後は？
光,Pさん凄く褒めてくれてさ、あたしも嬉しくてさ。Pさん疲れてるのに今度はPさんに色々教えてほしいって……奈緒さん？あれ？
千佳,奈緒ちゃんならPさんに用事があるってー
奈緒,この修羅場ロリコン！
P,修羅場ロリコン！？急にどうした奈緒！？
奈緒,あ、あたし達に手を出さないと思ったら……
P,おい、奈緒落ち着け、なんかすごいこと言ってるぞお前
奈緒,イグニッションZEROってそういう意味だったんだなこのロリコン！
P,どういうこと！？
奈緒,中学生に自分の取り合いさせるなんてこの変態！
P,待って！？どういうこと！？待って奈緒！ちょっと麗奈！麗奈！今すぐ来てくれ！
