夏樹,ったく、だりーはいつまで経ってもにわかだなぁ
文香,あっ………。そ、そうですよね………今のは社交辞令ですよね………。すみません………私、勘違いしちゃって………。その気になったりして………ううっ、うえぇ………
Ｐ,いやあのちょ！ま、待って！。そ、そんなことないさ！今のは本心だよ！！
文香,本当ですか！！？？
Ｐ,！？素早く立ち直った！？
文香,プロデューサーさん……本当の本当なんですか？
Ｐ,も、もちろんさ………。きょ、今日から俺は、お前の担当プロデューサーであると同時に――。お、お前の………親友………だよ？
文香,わぁ………♪。う、嬉しい……///私にも等々、親友ができました………。ありがとうございます、プロデューサーさん………こんな私と、親友になってくれて………。ほ、本当に………嬉しくて………言葉で表現できないです………ううっ……。ご、ごめんなさい………な、涙がでてしまいました………ふふっ、嬉し涙というものですね………
Ｐ,あ、あははははは………そ、そうか………。ど、どうしよう………軽い気持ちで言っただけだったのに………。―――ってなことがありまして
ちひろ,なーにやってんですか、貴方は
Ｐ,ま、まぁでもいいじゃないですか！俺はアイドルの恋人になったわけじゃありません！親友になったんです！ベストフレンドになったんです！。だからこれはセーフです！いやむしろ、スキャンダルとは縁のない極めてKENZENな間柄だから、奨励されてもいいぐらいかもです！！
ちひろ,まぁ、そうかもしれませんが。それにしても、文香ちゃんのリアクションが凄いですね。あの子、あんなに面倒くさい性格でしたっけ？
Ｐ,まぁ、それは………あいつにとって初めての親友ができたのですから、そりゃテンション上がるってものでしょう？
ちひろ,う～ん………まぁ、気持ちはわからんでもないですが
Ｐ,ともかく！俺は文香と親友になっただけ！だから何も問題ではございません！！。そもそも、元からプロデューサーとアイドルの関係なんて親友みたいなものじゃありませんか？。いつも一緒にいるし、協力して助け合ったりしますし。だからこれはその関係の延長線に入っただけのこと。何らこれまでと変わりないということですよ
ちひろ,なんかフラグ臭いんだよなぁ
文香,おはようございます
ちひろ,あっ、噂をすればなんとやら
Ｐ,おう、おはよう文香！
文香,あっ♪。おはようございます♪Ｐ－ちゃん♪
Ｐ,！？
ちひろ,Ｐちゃん！？
文香,ちひろさんは知らないかもしれませんが、私達、親友の関係になりました。親友といえばあだ名で呼び合うのが普通です………だから、今日から私はプロデューサーさんをＰちゃんと呼ぼうと思いまして………フフフフッ♪
ちひろ,えぇぇ～………
文香,いいですよね？Ｐちゃん♪
Ｐ,いや、でも文香………Ｐちゃんというのはちょっと………
文香,えっ？
Ｐ,ほ、ほら！みくやきらりとも被っちゃうし………それにポンキッキーズのマスコットキャラにも間違えられそうだし………ねぇ？
文香,。そうですよね………いきなり馴れ馴れしいですよね………。ごめんなさい………私、人づきあいが苦手で………ううっ………
Ｐ,いや、ちょ！
文香,本当にすみませんでした………こんな、空気も読めない私には、貴方の親友である資格だなんて………
Ｐ,そ、そんなことないさ！！Ｐちゃんでいいじゃないか！。Ｐちゃん最高！Ｐちゃんいいぞぉ！！
文香,ほ、本当………？
Ｐ,う、うん………な、なんなりと呼んでしまえ―――ッ！！
文香,わぁ、よかったぁ………♪。これから、こう呼ばせてもらいますね………Ｐ－ちゃん♪
Ｐ,あ、あははははは………
ちひろ,うわぁ………こいつはめんどくせぇ！
Ｐ,さ、さて………それじゃあ今日のスケジュールを消化しなきゃな。まずはレッスンだな。行こう、文香
文香,むぅ
Ｐ,えっ、どうした文香？そんなむくれて………？
文香,文香ではありません………ふみちゃん、でしょう？
Ｐ,ええええぇぇぇぇぇッッッ！！！？？
ちひろ,ふみちゃん！？
文香,私達は親友なのですから、お互いにあだ名で呼び合った方がいいに決まっています。それにＰちゃんの方から言ってくれたことでしょう？ふみちゃんって………
Ｐ,そ、そうだったな………じゃあ、行こうか？。ふ、ふみちゃん………？
文香,はい♪
Ｐ,あ、あははははは………
文香,では、一緒にレッスン場に行きましょう
Ｐ,ちょ、文香――じゃなかったふみちゃん！？何してんの！？
文香,なにって………手を繋いでるだけですけど？
Ｐ,手繋いでるだけっておま―――それでレッスン場まで行く気か！？
文香,私達は親友ですし………特に変なことではないのでは？
Ｐ,十分変だよ！！俺とお前は男と女わけだし！手なんか繋いだら余計な噂が広がっちまうだろ！？
文香,。………そうですね。私達の関係なんて、その程度のものですよね
Ｐ,えっ、いやあの………そういうわけじゃなくてだな
文香,ごめんなさい………私、人との距離の測り方わからなくて………調子に乗ってしまって………
Ｐ,いや、だからあのね！
文香,や、やっぱり………私に親友なんて持つ資格なんて―――
Ｐ,そ、そんなことないよ文香――じゃなかったふみちゃん！。ほら、手を繋ごう！親友同士が一緒に学校へ登校するみたいに、手を繋いでレッスン場まで行こう！
文香,い、いいんですか！
Ｐ,も、もちろんさ………オッケー、オー、ライノス！
文香,あ、ありがとうございます！えへへ……///。では、Ｐちゃん………このまま一緒に歌いながらレッスン場まで行きましょう♪
Ｐ,歌いながら！？
文香,大好きだ～よ♪貴方だーけよ♪ほっぺが真っ赤～♪
Ｐ,しかもエブリイディドリーム！？そこはお前の歌じゃないのかよ！？
ちひろ,マジ、めんどくせぇ………
Ｐ,さて、今日のレッスンは上手くやれててよかったぞ文香―――じゃなくて、ふみちゃん！
文香,フフッ、大親友であるＰちゃんのために、いつもよりも頑張った次第です♪
Ｐ,そ、そうか………あははは………いつの間にか大親友になってる！？。それじゃあ、今日のスケジュールは以上だし。帰るとするか？送ってくよ
文香,はい、お願いしま―――あっ、待ってください
Ｐ,ん？
文香,まだ引っ越しの支度が済んでいませんでした……なので、送ってもらうのはその後ででお願いします
Ｐ,引っ越し？
文香,はい。今日から、私とＰちゃんは一緒に暮らすわけですしね。フフッ♪
Ｐ,はい！？。い、一体何の話だ文香！？
文香,何って………私達は親友同士ですし、一緒に暮らすのが普通なのでは？
Ｐ,いやいやいや！それは関係ないだろ！？
文香,ですが………前読んだ小説には、気心の知れた親友同士は、一緒に暮らしているシチュエーションが多かったですけど……？
Ｐ,それルームシェアじゃね！？。いや、あれやる人達は親友だからとかいう理由じゃなくてだな！。どちらかというと、家賃を共に折半するために一緒に暮らしてることが多いわけで。だから俺達のようなケースがルームシェアする必要なんてないと思うけど………
文香,。そ、そうですか………Ｐちゃんは、私と暮らしたくは、ないのですね………
Ｐ,違う違う！！だからつまり―――
文香,そうですよね………私達、日の浅い関係ですよね。プライベートなんてとても一緒にできませんよね………
Ｐ,いや、だからさ！！
文香,うううっ、やはり私に、親友なんてできる資格は………うっ、うえぇぇ………
Ｐ,ああ、もう………！！。わ、わかったよ………ほら、合鍵だよ！いつでも来てくれ！
文香,い、いいんですか！？
Ｐ,も、もちろん………俺達、気心の知れた親友ですしおすし？
文香,わぁ………♪。あ、ありがとうございます！Ｐちゃん！。急いで家に帰って、引っ越しの準備を終わらせてきますね
Ｐ,そ、そんなに急がなくてもいいけど………
文香,いえ、光速でやっておきます。一時間後に迎えに来てください
Ｐ,い、一時間！？
文香,それではまたあとで………フフッ♪
Ｐ,ああっ………どんどん事態が面倒になっていく………
文香,では、お邪魔します………
Ｐ,ど、どうぞ………お構いなく………。結局一緒に暮らす流れになってしまった………
文香,あっ、これをどうぞ………つまらないものですが
Ｐ,これは引っ越し祝いか？そんな気を遣わなくてもらわなくてもよかったのに。ってか、自分の引っ越しに引っ越し祝いなんておかしくない？
文香,どうぞ、開けてみてください
Ｐ,ああ、うん………何が入ってるのかな？。こ、これは………！？
文香,詩集です………私の手作りの………///
Ｐ,お前の手作り！？。手作りの詩集って………これつまり、同人誌の一種ってことか？
文香,心の友である、Ｐちゃんのために、一語一句厳選したものを載せました………どうか寝る前にでも読んでください///
Ｐ,そ、そうか………あ、ありがとう………。正直、この手の物を渡されても困るんだけどなぁ～………なんか気持ちも重たいし。さ、さて………もう夜も遅いし。荷物の整理等は明日にして、今日はもう風呂入って寝るとしよう
文香,そうですね
Ｐ,それじゃあ、文香――じゃなかった、ふみちゃんが先風呂入っていいよ
文香,えっ、でも………
Ｐ,遠慮しなくていいって。やはり一番風呂は女の子が入るべきでしょ
文香,いえ、そうではなくて。一緒に入るのではないのですか？
Ｐ,！？。な、何言ってんだお前！？
文香,仲のいい者同士は一緒に背中を洗いあったりする。それが、親友同士のルールではないのですか？
Ｐ,そんなルールあるかぁッ！！！
文香,で、でも………裸の付き合いで絆を深めるものだと………
Ｐ,それは同性同士のことやろ！！。親友といえど、男女が一緒に風呂なんて入っちゃいけないに決まってるだろ！！いい加減にしろ！！
文香,
Ｐ,ちょ、ちょっと待って！ガーンしないで！落ち込まないで！！
文香,ふっ、ふえぇぇぇ………
Ｐ,な、泣かないでくれよぉ～～頼むから！！
文香,そうですよね………私達、裸で付き合えるほど、仲が進展なんてしてませんよね………。その気になってた私の姿は………お笑いでしたね………うううぅっ……うえぇぇぇ…
Ｐ,ああもう、結局こうなるのね………。わかった！入ろう文香！バスタオルを用意しよう！！
文香,本当ですかＰちゃん！！
Ｐ,もうヤケだ！！身体も洗ってやるし、背中だって流してやる！もうなんだってしてやらぁ！！
文香,わぁ………♪
Ｐ,俺達は仮面ライダーか何かで？
文香,あっ、石鹸の他にマットとローションも持っていかないと………
Ｐ,おい、ソーププレイでもする気かっ！？やめろぉぉぉぉッッッ！！！？？？
文香,ふぅ………いいお湯でしたね///
Ｐ,ああっ、もう………男として色々とつらい………
文香,二人でお風呂は楽しみタイガーでしたね、Ｐちゃん♪
Ｐ,正直、心臓がバクバクロコダイルだったよ俺は………
文香,でも、Ｐちゃんのタスクくんは、ジュウオウエレファントに本能覚醒して――
Ｐ,その表現はやめろぉッ！！。ハァ……ハァ………もういいや。今日はもう色々あって疲れたし、もう寝るとしよう
文香,そうですね
Ｐ,それじゃあ、文香――じゃなくて、ふみちゃんの分の布団を用意しないとな
文香,えっ、必要ないでしょう？
Ｐ,えっ
文香,だって、一緒の布団で寝るわけですし
Ｐ,！？。ちょ、待って！？なんで一緒の布団で！？。まさかこれも………親友だから云々で！？
文香,もちろん
Ｐ,だから絶対に違うってそれ！！少なくとも親友同士が一緒の布団で寝るなんて聞いたことねぇぞ！！
文香,ですが、前読んだ雑誌に、異性で添い寝するだけの関係………俗に言う、ソフレというものもあるそうですよ？
Ｐ,添い寝フレンドでソフレだって？またまた～～！そんなのあるわけが――。―――って本当にあった！？ネットで検索したらソフレって本当にありやがったよ！！
文香,そういうことです。だから、私達のような絆の力で未来を掴み取る親友同士が添い寝しても、何もおかしいことはないのです
Ｐ,うぐぐぐぐぐ………こ、今回は否定できないかも………！？
文香,ではＰちゃん、一緒に寝ましょうか♪
Ｐ,いやでも、しかし―――。や、やっぱりまずいんじゃないかな～？いくら添い寝だけとはいえ、やらない方がいいと思うんですけど………。ほら、俺達その、親友である前に、アイドルとプロデューサーという関係だからさ……ねぇ？
文香,私達は親友ではない………！？
Ｐ,待て違う！！そうは言ってないぞ俺！！
文香,やはり私には………Ｐちゃんの隣で寝る資格なんて、ないのですね………
Ｐ,だから違うんだってぇ～～！
文香,ううっ……やはり、私達は……親友ではないのですね……うえぇぇ………
Ｐ,………もう何言っても無駄か達観。わかった、わかったよ！添い寝でもなんでも好きにしろ―――ッッ！！！
文香,では、失礼します………
Ｐ,ど、どうぞ
文香,ふふっ、こうして一緒の布団で寝るなんて、傍から見ても、親友以外の何者でもありませんね
Ｐ,親友ってなんだろう………？哲学
文香,………本当にありがとうございます、Ｐちゃん………
Ｐ,えっ？
文香,いつも私のために気を遣ってくれて………貴方は、初めて会った時から色々してくれましたね。貴方のような優しい人が、私の親友になってくれてよかった………。本当にありがとうございます………感謝しきれてもしきれません
Ｐ,いや、そんな、別に俺は………
文香,だから私は、貴方のことが大好きです………Ｐちゃん///
Ｐ,えっ///！！。ふ、文香………そ、そんな俺は………///
文香,んっ………Ｐちゃん……///
Ｐ,ちょ、やめ……急にそんな密接されたらムスコが―――。もう元気になってるし………本当この愚息は……！！
文香,………んっ///
Ｐ,ちょ、本当やめて………俺は立場上、添い寝で我慢しなきゃならないんだから本当にやめて！！
文香,んっ……むにゃ………Ｐちゃん………
Ｐ,ああっ、もう寝てるし………
文香,んっ………すぅ………
Ｐ,………あれ？もしかしてこの生殺しが、これから毎日続くのか？
文香,んっ………Ｐちゃん………好きぃ……///
Ｐ,そ、そんな………。もうダメだぁ………お終いだぁ………
ちひろ,それで、結局どうなったんですか？
Ｐ,どうもこうもありませんよ。俺は文香――じゃないふみちゃんとKENZENに毎日暮らしています
ちひろ,そ、そうですか………
文香,この前の休日も、二人仲良く映画を観に行ったり、食事に行ったり、カラオケ等をしてきました。そして家では一緒にご飯を食べ、一緒にお風呂に入って、そして一緒の布団に入っています
Ｐ,そ、そうだな………あはははは……白目
ちひろ,………………。休日に一緒に遊びに行って、しかも同棲してる………。あの、プロデューサーさんに文香ちゃん？
Ｐ,はい？
文香,なんでしょうか？
ちひろ,貴方達の関係って、親友というよりか――。恋人同士じゃね？
Ｐ,晴、誕生日おめでとう――ッ！
晴,ああ、ありがとよ。へへっ、なんだかんだでお前は毎年必ず祝ってくれるよな
Ｐ,当たり前だ。俺は晴のパートナー当然だからな。誕生日を忘れるわけないだろう？。さて、早速プレゼントを渡そう――と言いたいところだが。今年はいつもと趣向を変えようと思ってな。プレゼント代わりに特別な場所に連れてってやるよ
晴,特別な場所？
Ｐ,そう特別な場所だ………ふっふっ☆
晴,あっ、ここってサッカーバーってやつか！
Ｐ,そうだ。サッカー観戦を楽しめながら食事とかもできるところだ。スポーツカフェとも呼ばれてもいるな
晴,すげぇ……オレこういうとこ行ってみたいと思ってたんだ！。でもいいのか？オレみたいな子供がこんな店入っても………？
Ｐ,今回は誕生日ということで特別だ。店側の人にも許可もいただいている
晴,そうなのか！ありがとよＰ！へへっ、オレにとって最高のプレゼントだよ！
Ｐ,喜んでくれて何よりだ。それじゃあ改めて………誕生日、おめでとう晴！今日は思う存分に楽しんでくれ！
晴,おう♪。いやぁ～………楽しかったぜ♪。料理も美味かったし、他のファンの人達とも交流できたしな
Ｐ,俺は正直、アイドルだとバレるんじゃないかとヒヤヒヤしたよ
晴,今日はありがとうなＰ………本当に楽しかったよ
Ｐ,お前が満足してくれて何よりさ
晴,流石はオレのパートナーだな。来年もこういうプレゼント期待してるぜ？
Ｐ,おう、まかせとけ！。あっ、そうだ唐突。実はもう一個プレゼントがあるんだけど、いかがかな？
晴,えっ、もう一個？。おい、なんだよここは！？どこがプレゼントなんだよ！？
Ｐ,いやまぁ、ここもお前ぐらいの年齢の子じゃ入れないからね
晴,そらそうだろうよ!ってかここって工口いことする場所だろうがッ！！！
Ｐ,そんなことしないさ！うん、絶対にしないしないしない。本当だって！プロデューサー、嘘つかない
晴,くっ………お前、最初からこれが狙いで………！？
Ｐ,だから違うって。ほら、もう夜も遅いし、このフカフカなダブルベッドで休もうじゃないか
晴,なんでダブルベッドなんだよ！？。やっぱりお前オレに工口いことする気満々じゃねーか！！。一瞬でも信じたオレがバカだったぜ！！。………。………でも、今日はこいつに楽しませてもらったしな………。………………。………しかたねーな///。しゃ、シャワー浴びるまで待ってろ………///
Ｐ,計略通り。クククク、どうよこの見事な作戦！！。最初に晴を上機嫌にさせてることにより、見事、同意を取ることができたぞ―――ッッ！！！。我ながら上手いことを考えたものよ。これで晴とは合意でレッスン意味深。さぁ、良い子のみんな、よーく見ておけ！。これから晴を、俺なしでは生きていけないよう、ゆっくりと調教してやる。ふふふふっ………ふぁ～はははははッッッッ！！！。俺の勝ちだぁ―――ッッッ！！！！。わっ、なんだ！？だ、誰だ！？。あれ？そんなの頼んだったけ………まぁいいや。はい、今開けますよー
？？？,ハーイ♪
Ｐ,お、お前は――――！！？？
晴,ふぅ、浴び終わったぜ………ほら、次いいぞＰ。あれ、おいＰ、どこだー？Ｐ―？。あれ？どこ行ったんだあいつ………？
早苗,………フフフッ
