モバP(以下、P),参ったな・・・
未央,サッカー部のキャプテン。う～ん、あるあるですなぁ
P,まぁ、これも良い思い出だよ
未央・卯月・凛,・・・
未央,プロデューサーもっと詰めて！
P,・・・な、なんだなんだ？狭いって！
未央,だって私達も見たいんだもん
凛,だからもっと寄らないとね
卯月,四人で仲良く見ましょう！
P,あ、暑い・・・
未央,そんなプロデューサーも今ではこうやって現役高嶺の花3人に囲まれてるんだね。よっ、この幸せ者
P,それ自分で言うのか
未央,えへへ♪
P,ふぅ。今日はどれを持ち帰るか
みく・李衣菜,おはようございまーす
P,おう、おはよう
みく,Pチャン何してるの？
P,んー？私物品の整理
李衣菜,あ、もしかして例のやつじゃない？
P,例の？
みく,卯月チャン達が言ってたやつ？
李衣菜,そうそう、Pさんの卒業アルバムとかがあるって！
P,あいつら・・・
李衣菜,あ、高校の卒業アルバムだってさ！これ見てもいいですか？
P,・・・もう好きにしてくれ
李衣菜・みく,やったー♪
みく,Pチャンはどこかにゃ～
李衣菜,クラス多くない？
P,マンモス校だったからな。確か15クラスまであったと思うぞ
李衣菜,15も！？
みく,あっ、Pチャンいたにゃ！
李衣菜,え、ホント！？どれどれ？
みく・李衣菜,・・・・・ぷっ！
李衣菜,アハハ！な、何これ！？前髪が目元まで伸びててのれんみたいになってる・・・！
みく,Pチャン昔はストレートだったの？似合ってないにゃ・・・ぷっ
P,うるさい！当時は縮毛が流行ってたんだよ！///
李衣菜,それにしても本当にクラスが多いんだね
みく,こんなに多いと全く面識のない人達もたくさんいそうだにゃ
P,普通にいるぞ。現に俺は同じクラスだったやつと部活仲間以外は全く面識がなかったからな
李衣菜,Pさんは部活何やってたんですか？
P,・・・軽音楽部
みく・李衣菜,け、軽音学！？
P,何だよ、別に良いだろ！？
李衣菜,意外ですね・・・
みく,Pチャンは何の楽器してたの？
P,・・・・・・・・・・・・・・ギター
みく・李衣菜,ぎ、ぎ、ギター！？
みく,Pチャンがギター！？
P,良いだろ俺がギター弾いてたって！
李衣菜,何で言ってくれなかったんですか！？
P,別に言うほどの事じゃなかったからな。特別上手いわけでもないし。多分段ボールの中に当時練習してた楽譜とかもあるんじゃないか？
李衣菜,見たいです！。わっ！？このバンドって10年ぶりに復活してSNSとかでかなり話題になってた人達ですよね！？楽譜がいっぱいある！
P,俺の青春だ
みく,ん～？みくは聞いた事ないバンドだにゃ
P,10年前の話だし、そもそもインディーズの人達だからな。でも俺ら世代の音楽好きなら知らない人はいないくらい有名なバンドだよ
みく,へぇ～！
李衣菜,今度なつきちと三人で練習しましょうよ！
P,えぇ～・・・だから俺そこまで上手いわけじゃないんだって
李衣菜,でも私よりは上手いですよね？
P,李衣菜よりは上手い
李衣菜,なっ・・・！？そ、そこはハッキリと言うんですね～！。じゃあ今度私に教えて下さいよ！
P,えぇ～
みく,本当にギターの本ばかりだにゃ・・・ん？。これも楽譜かにゃ？作りが雑な感じだけど・・・。えっと・・・窓際のキミ・・・・作詞・作曲P！？
李衣菜,え？
P,ちょっ！？ま、待った！それダメなやつだ！。キャァァァァァァァァ！！！///。
李衣菜,Pさん機嫌直して下さいよー
P,・・・もういいから・・・・・・一人にして・・・・・
李衣菜,あちゃー、心のピースがバラバラになっちゃったいたいだね
P,・・・やめろ
みく,ごめんねPチャン。もしかしてみくの事嫌いになっちゃった？
P,・・・・・・・・そんなわけないだろ。好きだよ
みく,Pチャン！
李衣菜,良かったね！
みく,うん！あ、これもある意味―――
李衣菜・みく,ラブ&ピースだね(にゃ)！
P,
李衣菜・みく,ｷｬｰ
P,卒アルは全部持って帰ったぞ！これでもう馬鹿にされることはないな
奈緒・比奈・菜々,おはようございまーす！
P,おはよう
菜々,あれ、それって例のやつですか？
P,もう完全に広まってるんだな
奈緒,Pさんの卒アル見たいな！見せてよ！
P,ふっふっふ、残念！卒アルは全部持ち帰りました！もう俺を笑い物にはさせないからな！
奈緒,い、いや・・・そんなつもりはなかったけど
比奈,どんな事されたんスか
奈緒,でもないのか～・・・見たかったなぁ
菜々,・・・あれ！？Pさん、これってもしかして！
P・比奈・奈緒,？
菜々,魔法少女アニメの変身グッズですよね！Pさんも好きだったんですか！？
P,何だこれ・・・・もしかして妹のやつかもしれないな
比奈,これって確か20年くらい前にやってたアニメっスよね
菜々,！
奈緒,20年ってあたし達が産まれる前のアニメか～、菜々さんそんなのよく知ってたね
比奈,なかなかマニアックな所を突くっスね
菜々,す、好きな声優さんが出てたので借りた事があったんですよ！
奈緒,なんか他にも色々あるな・・・あ、これ見た事ある！
菜々,たまごっち！
比奈,これもそれ系っぽくないっスか？
菜々,ポケットピカチュウ！！
P,うわっ、これ懐かしいな～
菜々,ゲームボーイアドバンスSP！！！！！
奈緒,すごいね菜々さん。結構レトロ系が好きなの？
菜々,はっ！・・・そ、そうなんですよ～
P,レトロて
比奈,あ、面白い物見つけたっスよ～
奈緒,なになに？
比奈,じゃ～ん、ドラえもんの録画DVDっス
奈緒・菜々・P,ドラえもん？
奈緒,なんだ、ドラえもんくらいあたしだって観た事あるよ
比奈,フッフッフ・・・それは今の声優さんの話じゃないっスか？
奈緒,へ？
比奈,ドラえもんは2005年に声優陣が一斉に変更してるんスよ
奈緒,えっ、そうなの！？
菜々,ナナも知ってますよー♪
比奈,日付が2004年になってるので多分前の声優さんのだと思うんスよね
奈緒,え、観たい！
比奈,今観てもいいっスか？
P,まぁ、別に構わないけど
奈緒,どんな声なんだろう。想像つかないな～
比奈,なかなか味のある声っスよ
菜々,懐かしいですね～♪
比奈,再生！
奈緒・菜々・比奈,・・・ん？
P,・・・あっ！？
比奈,ドラマっスかね？
奈緒,Pさん上書きしちゃったんだな～
P,ちょ、ちょっと止めろ！今すぐにっ！！！
奈緒・菜々・比奈,！？
P,ダメダメ！本当にダメだから！！！
奈緒,こ、こ、これって・・・！？///
菜々,あわわわ！///
奈緒,わぁぁぁぁ！！！///停止！停止！。わぁぁぁぁ！？///
菜々,きゃぁぁ！///
比奈,は、早く消して下さい！///
P,おい！？何してるんだ！
奈緒,～～～っ！///
P,何で音を上げるんだよ！早く止めろ！！！
ちひろ,な、な・・・何事ですかっ！？廊下まで丸聞こえですよ！。プロデューサーさん、どういう事なのか説明してください
P,昔知人から貰ったDVDだったので正直自分でも中身を覚えてなくて・・・ドラえもんなんて録画した覚えがないからおかしいなとは思ったんですが。でも事務所で、ましてやアイドル達にこんな物を見せてしまった事は事実なわけで・・・本当に三人には不快な思いをさせてしまって申し訳ない！
奈緒・比奈・菜々,・・・
奈緒,いや、まぁ・・・事故みたいなもんだし？
比奈,Pさんもわざとやったわけじゃないっスからね
菜々,ナナ達は大丈夫ですよ
P,お前達・・・
ちひろ,とにかく！事務所にそんな物があること自体大問題なんですよ！
P,はい、すみません・・・
ちひろ,またこんな事が起きないように残りの荷物を今日中に全部持ち帰る事！
P,えっ、残り全部ですか！？いや、さすがに今日中は・・・
ちひろ,今日中に全部です！いいですね！？
P,は、はい・・・。どうやって持ち帰ろう・・・。仕方ない今日はタクシーで帰るか。はぁ・・・高くつくなぁ
蘭子,。・・・ん？。こ、これは！？。・・・まさか我が魔力に惹きつけられて！？。禁じられし・・・力
P,おはようございまーす
未央,やあ
P,うおっ！？。ビックリした・・・何でそんな物陰にいるんだよ
未央,いや、ちょっと・・・ここに来るまでに太陽の光を浴びてしまって古傷が疼いてしまったのさ
P,は？
加蓮,太陽の光は俺にとって毒のようなものだからな
P,なんだ加蓮まで・・・何かのごっこ遊びか？
未央,だがここは暗くていい。闇は俺に力をくれる
加蓮,この冥界の右腕が暴走しなければいいんだが・・・
P,？。・・・。！？。おい、ちょっと待った！・・・それどこで聞いた？
未央,・・・おいおい、迂闊に触れると俺に纏う冥界の炎でヤケドする事になるぜ？
加蓮,冥界の炎は骨まで燃やし尽くす程の力を持つからな
P,。リークしたのは誰だぁぁ！！！出て来ぉいっ！！！！
飛鳥,ここに描いてある物は何だい？
蘭子,ヘルフレイムファイヤーブレイドとヘルバーニングガントレット！
飛鳥,炎への執着が凄いね
P,懐かしいな～。軽音楽部のアイツら元気してるかな。しかし本当にクラス数多いな。見たことない人ばかりだ。ん？。・・・。同性同名のソックリさんだな。うん
