湊友希那,初秋の風が撫ぜる歩道橋
友希那,ええ。誰もいない街をひとりぼっちで歩く夢を見たのよ。それで、その夢から醒めて、改めて考えてみたの。もしもあの時……みんなとすれ違ってしまった時に、何か１つでも選択を間違えていたら……その夢の通りに私はひとりぼっちになってしまったんじゃないかって。そしてそんな私はそういう未来を歩むんじゃないかって……そう考えると寂しくなって……
リサ,あー、なるほど。それで朝からずーっと元気が無かったんだ
友希那,ごめんなさい、余計な心配をかけさせたわ
リサ,ううん、身体の調子が悪いとかじゃなくて良かったよ。でも……あはっ
友希那,どうしたの？
リサ,いやー、友希那がそこまでみんなを大事に思ってるんだなーって思うと、なんか嬉しくってさ
友希那,まぁ、そうね。今の私があるのはみんなのおかげだもの
リサ,お、今日の友希那は随分と素直だねぇ
友希那,……つまらない意地なんか張ったっていいことはないわ。だから……ねえ、リサ
リサ,はいはい、寂しかったんだよね。練習までまだ時間あるし、みんなが来るまで甘えていいよ
友希那,ありがとう。優しいあなたがいつでも隣にいてくれるから、私は素晴らしい日々を歩むことが出来ているわ。あなたは私にとって……何ものにも代えられない存在よ
リサ,友希那……
友希那,リサ……
白金燐子,…………
