・中身の,な
P,………雪かき…かな
椿,あっ……。Pさん、リンゴとおみかんどっちがいいですか？
P,ん～…リンゴ
椿,はい、お茶も入れますね
P,渋めで～
椿,は～い、あっ……やれやれ、仕方ないですねぇ
P,渋々かよ
椿,ふふっ、バレました♪
P,誰だ…俺の椿にこんなダジャレを教え込んだのは…
椿,楓さん…
P,あぁ…
椿,…の影響を受けた芽衣子さんです
P,よし、今度アイツに恥ずかし固めだ
椿,…
P,なんか実家の婆ちゃんを思い出すな
椿,うふふっ、ホームシックですか？
P,いや、椿がババアになるまでこうして見ていたいなって
椿,……なんですか、それ////
P,おっ、椿が赤くて寒椿
椿,ちょっと！何撮ってるんですか！
P,わっはっはー
椿,怒りますよ？
P,まってねえ包丁置いて
椿,ちょっと机使わせてくださいね…っと
P,お？なんだなんだ
椿,今日はみんな集まりますし、ちょっと写真の整理をしようかと思って
P,へぇ、どれどれ
椿,ほらコレ、プロデューサーさんと会ったばかりの頃ですよ
P,うわっ、懐かしい服…昔の椿はかわいいなあ
椿,今は違うんですか？
P,今は色っぽくなったからな
椿,ふふっ、おかげさまで♪
P,あ、これ、初めてアリーナでライブやった時のだろ？こんなの撮ってたのか
椿,ええ、皆さんの輝きがとっても素敵だったので。ほらコレ、夏美さんの横顔
P,うっわ、やっぱ美人だなぁ…ん？この写真、これ藤本か？なんでお前お姫様だっこされてんの？
椿,ああそれは……私が本番前でガチガチに緊張してるの見た里奈ちゃんが、後ろから急に…
P,あははっ、椿顔真っ赤じゃん
椿,もうっ、やめてください！////
P,お、これはクラブ・ロワイヤルか、懐かしいな
椿,私の周りって賑やかな方達が多いので、里美ちゃんみたいな子と一緒にいると落ち着きます
P,血糖値は上がりそうだけどな
椿,……プロデューサーさん、一時期里美ちゃんを口説こうとしてましたよね
P,は？
椿,胸…大きい子が好きですもんね
P,ｿﾝﾅｺﾄﾅｲﾖ
椿,DVDラックの裏
P,あっ
椿,仕事用フォルダの会議資料２
P,
椿,あ、ほら早苗さんですよ。好きですよね？早苗さん
P,あの…椿さん？
椿,はい？
P,いえ、何でも無いっす…
椿,そうですか
P,い、いやー……椿は沢山アルバム持ってるなー…ハハ…
椿,あっ！？ダメですそれは！！。～～～//////////
P,…………おんや～？これは何ですかねぇ椿ちゃ～ん？
椿,べ、べつに…
P,盗撮は犯罪だよねぇ？んん～？
椿,………////
P,ほれ、ほれ何とか言ってみぃ
椿,………ばか
P,じゃ、そろそろ昼の部行ってくるわ
椿,あ、じゃあ私もいきます
P,いいよ、朝寝坊した分頑張ってくるさ
椿,そうですか…それじゃあ温かいご飯作って待ってますから、気をつけて下さいね
P,はいよ～。さて……やりますか。駐車スペース確保しなきゃなあ…本格的に雪が重たくなる前にやんねぇと…なっ…と。ふぅ…疲れた……ただいま
秋色温泉特訓後椿,お…お帰りなさいませ～！…プロデュー…サー…さん
P,………何やってんの？
椿,ごめんなさい…忘れてください…
P,恥ずかしいならやらなきゃいいのに…
椿,たまには…その…いいかなと思いまして…
P,まぁその…うん、エロいな！！
椿,やめて下さい～！！//////
P,いただきます
椿,いただきます
P,なんだかんだ言っても着たままなのね
椿,いざ着ると脱ぐのが大変で…
P,ふーん……あ、胸元こぼれてるぞ
椿,え？ホントですか？え…どこ…？
P,お、ブラチラ
椿,………
P,ごめんなさい…
椿,……埋めますよ？
P,死ぬよ？
椿,はぁ…この歳で未亡人なんて
P,お、いいねぇ未亡人
椿,…
P,最近まゆに似てきてなぁい…？
椿,そうですかぁ…？
P,さて…と、あとはみんなが来る前にもう一回やりゃいいか
椿,そうですね
P,……
椿,なんですか？
P,いや、その赤いセーター似合うなって
椿,ありがとうございます♪
P,ちょっと髪アップにしてくれる？
椿,こう…ですか？
P,ああ～いいねぇ、若奥様～って感じするわ
椿,もう何ですか、それ
P,はい、チーズ
椿,えっ？え？
P,お、さすがアイドル椿さま、咄嗟のカメラにいい角度見せるね
椿,今はお休み中ですっ
P,ははっ、そうだけどさ…でも、ホント…綺麗になったよ
椿,？
P,いや出会った頃は自分が撮る事に精一杯でさ、撮られるのは苦手だったじゃないか。それがホラ、見てみろよ
椿,…ええ
P,こんなに綺麗だ
椿,………自撮りモードでこっち向けるなんて…いつの間にそんなの覚えたんですか？////
P,大人の男だからな、色々できるさ
椿,えっちなお店とかじゃないですよね？
P,……違うよ
椿,じゃあ……これならどうですか？
P,なっ…！？縦セタ+ポニテ+眼鏡椿ちゃんだと……
椿,えへへ…買っちゃいました
P,変装用？それとも俺のため？
椿,変装用とブルーライト対策に
P,へぇ～…一枚撮らせてよ
椿,ダメです
P,一枚だけ
椿,だーめっ
P,一瞬！一瞬だから！
椿,許可できません
P,……裸は撮らせてくれたのに
椿,それとこれとは話が別ですっ/////
P,ん…？だったら裸に眼鏡ならセーフでは？
椿,余計だめです！！
P,仕方ないな……俺の裸メガネYシャツ写真を撮らせてやるから、ソレと交換は？
椿,いりません！なんでYシャツ足したんですか！
P,全裸の方がいいだなんて、いやしんぼさんめ
椿,…
P,ん？
椿,由里子ちゃん…由里子ちゃんのアドレスは…
P,おい、バカ！？旦那を売るな、旦那を！！
椿,ボーイズラブっていうんですよね、私知ってます
P,大西ァッ！！！
椿,だそうですよ
P,アイツ絶対泣かす。ふわぁ～…ちょっと寝るかな
椿,そうですね、みんなが来るまでまだ時間もありますし
P,よっと……はぁ…
椿,毛布、持ってきますね
P,あ～わりぃ、ありがと
椿,失礼しま～す♪
P,わぷっ、なんだなんだ？
椿,私も今のうち寝ておこうかと思って
P,そっか。ほら、もっとこっち来いよ
椿,はいっ
P,……
椿,……温かいですね
P,ん？ああ、そうだな。ちょっと小さいけどいい毛布だ
椿,ええ、こうして寄り添ってないとはみ出ちゃいます
P,椿…
椿,……はい…
P,！！？
椿,！！？。あら…芽衣子さんからだ。もしもし？。あら…そうですか…。惠さん！お子さんはいいんですか？。はい、お気をつけて～
P,……賑やかそうだな
椿,ふふふっ、まもなくここも賑やかになりますよ♪
P,ああ、お子さんが増えるからな
椿,……？。！！！？？//////////
P,うおっ！？あっつ！！？。さて…っと、こんなもんでいいかな…。一日に何度も雪かきしなきゃならんとは……東京にいた時は知らんかったなぁ…。そろそろみんな来る頃だな。宴会の用意は椿に任せてあるし……いつでも着やがれってんだ。お？もしかしてあの車か…？。いや、違うな…このタイミングで加速するなんて…。え…？こっちに来る！？。うおわあああああ！！！！？？？
芽衣子,やほー！プロデューサー！ごめんね～一回ドリフトやってみたかったんだ♪
惠,ちょっと芽衣子！さすがに怒るわよ！！
夏美,アッハッハッハ！いや～、まさかホントにやるなんてね～☆
藍子,あぅ～…死ぬかと思いました～…
芽衣子,あははっ、ごめんごめん♪ね、ぷろでゅー…
P,ッシャオラアアアア！！！！芽衣子こらああああああ！！！！
芽衣子,きゃー！！？ちょっ、ちょっと待って！いやー！！今日スカートなんだよー！！？いやー！！
P,うるせええええ！！！やんちゃな子には恥ずかし固めじゃあああああ！！！！
惠,さすがに今回は止める気になれないわね…
夏美,まぁ幸い人通りもないし
藍子,あわわわ…ダメですよプロデューサーさん～…
芽衣子,やだやだやだ！見えてるよー！！
P,うるせえ！！タイツ穿いてんだろが！！
芽衣子,やー！！
椿,プロデューサーさん…？あ、みなさん！いらっしゃ…え？なっ、何やってるんですか！！？
芽衣子,椿ちゃーん！へるぷみー！！
椿,……プロデューサーさん？
P,止めるな椿ィー！
椿,そうですか…。この写真…私がどうすると思います？
P,え
椿,手始めにマキノちゃんと早苗さんとちひろさんに…
P,ノー！！リリース！！
芽衣子,ふわぁー…助かったぁ…もう、プロデューサーさんのばか！えっち！
P,アァン！！？
椿,…
P,ごめんなさい…
椿,はい。こほん…いらっしゃいませ、皆さん♪
夏美,それじゃあ…お二人の結婚＆椿ちゃんお誕生日おめでとー！かんぱーい！！
一同,かんぱーい！！！！
椿,皆さん…ありがとう…ありがとうございます…！
芽衣子,も～椿ちゃん畏まらないで♪
惠,そうよ、今日の主役なんだから
P,そうだぞ、俺を見習え
芽衣子,へんたい
P,オォン！！？
藍子,皆さんこっち向いてくださ～い。はい、チーズ♪
P,イェーイ♪
芽衣子,いぇーい♪
夏美,アナタ達、仲良いわね…
藍子,うふふっ、皆さん酔っ払っちゃう前に撮っておかないと
椿,そうですね…惠さんとか酔っちゃうと…
惠,…昔よりは強くなったわよ？
夏美,ホント～？前に酔っ払ってプロデューサーに色仕掛けしてたじゃない～
惠,してません…！それに、今は夫がいるので
芽衣子,パパって呼んでるんだもんね～♪
惠,…プロデューサー、後でさっきの技教えてくれるかしら？
P,任せとけ
芽衣子,えー！？椿ちゃーん、二人がいじめる～
椿,あらあら、よしよし…
夏美,椿ちゃ～ん私もよしよしして～☆
椿,もうっ、最年長二人が何やってるんですか…
P,おれも～
椿,えいっ
P,いてっ！？
芽衣子,あははっ♪
夏美,やーいやーい♪
P,くっそ～…
夏美,エントリーナンバー１番・相馬夏美！NakedRomance歌います！！
芽衣子,いぇーい♪いいぞいいぞー
椿,わ～♪
惠,うふふ…ふふ……うふふふ…
P,め…めぐみさんや…目が据わって来てるよ？
藍子,すぅ……すぅ…
夏美,おら～…私のしゃけが飲めねえのか～
芽衣子,すやすや……う～ん、もう食べられないよ……青春18きっぷぅ…
藍子,……すぅ……すぅ…
P,死…死屍累々…
椿,そうですねぇ…
P,…相変わらず強いね椿は
椿,一人だけ飲むのが遅いんですよ…♪プロデューサーさんも飲みますか？
P,ああ、そこに置いといて。いま惠に寄りかかられてて身動き取れなくてな…
椿,あら…役得ですね
P,そうかもな…
椿,………じゃあ隣、失礼しますね
P,ん、おう
椿,……えいっ♪
P,…お前も寄りかかるのかよ
椿,いいじゃないですか、だって……私の旦那様なんですよ…？
P,……言うね？
椿,はい、何度でも言いますね♪ア・ナ・タ
P,やれやれ、敵わないな…。んむっ！？
椿,…………/////
P,……いきなりキスとは大胆だね
椿,嫌でした…？
P,ぜんぜん。でも…もう一回…
藍子,！
２人,！！！！？？
藍子,……ﾑﾆｬﾑﾆｬ…
P,…………
椿,…………
P,…………ぷっ
椿,…………ふふっ
P,あははははっ
椿,うふふふふっ。お風呂沸きましたから先に入ってくださいね
P,ん？でも…
椿,大丈夫ですよ、皆さんぐっすりですし
P,まぁそれもそっか…じゃあお先
椿,はい、ごゆっくり
P,ふぅ…あ～……沁みるぅ～………冬のお風呂は最高だな…。あー…それにしてもあんな美女達に囲まれて新年会とか…プロデューサー業さまさまだな…。んん？
椿,お邪魔します～♪
P,っ！！？…っ椿！？
椿,なんだか私も冷えてしまって…
P,おう…そ…そうか……？？？？
椿,失礼しま～す
P,お、おうおうおう！？
椿,ふふふっ、どうしたんですか？そんな声出して
P,いやいやいや、さすがに今日はマズイだろ！？みんなもいるのに
椿,はい、ドキドキしますね…♪
P,お前ホント…………変わったなぁ
椿,嫌いになりました？
P,いや、全然だけど…
椿,ありがとうございます。ふふふっ、一緒に入るために大きなお風呂にしたんですから一緒に入らないと
P,そうだな…デカイ風呂にして良かったわ
椿,結局はくっついてるんですけどね
P,そりゃまあ…そっちの方がありがたいかな
椿,そうですね♪
P,……どうして俺の手を握ってるのかな？
椿,そっちの方が好きだからですよ
P,そうか…
椿,……
P,……
椿,…………
P,無言でにぎにぎすんの止めてくれないかな…
椿,ダメ…ですか？
P,その聞き方ずるくない…？
椿,ふふっ、大人ですからこういう事もできるんです♪
P,いやらしいなぁ
椿,爪
P,いでででっ！？ごめんごめん！！
椿,ふふふっ
P,まさか、椿の尻に敷かれる事になるとは…
椿,あら？プロデューサーさん、てっきりお尻が好きかと思っていたんですけど…
P,いやまあお尻は好きだけど…
椿,～♪
P,あー…椿さんや…何でお尻擦り付けてくるのかな？
椿,何ででしょう？♪
P,ぬぅぅ…
椿,…………プロデューサーさん
P,ん？
椿,私達いつまで…こうしていられますかね？
P,……いつまでだろうな
椿,私…夏美さんみたいに綺麗じゃないし…芽衣子さんみたいに明るいわけでもないし…惠さんみたいに胸も大きくないし………藍子ちゃんみたいな小動物っぽさもないですし…
P,んー……
椿,そのうちお肌も垂れてきて、髪だって細くなって艶も無くなっていきますし……こうしていられるのも今のうちかなって…
P,………
椿,……ごめんなさい、変な事言っちゃって
P,いや…別に
椿,…………
P,………………椿、後で写真撮らないか？
椿,……え？
P,そんでさ、二人だけの写真を集めたアルバム作ってさ、まずは10冊、全部埋めるまで撮ろうよ。10冊達成したら次は30、50、70って目標決めてさ
椿,……ふふっ、目標達成のために一緒にいるんですか？
P,でも、その間はずっと一緒だぞ？
椿,…………プロデューサーさんの、そういう女心をいまいち分かって無いところ、私好きですよ♪
P,俺も椿のそういう可愛い顔して人を小馬鹿にする態度好きだぞ
椿,お揃いですね♪
P,…………だな
椿,じゃあ…………さっそく一枚いいですか？
P,……君なんで風呂場にカメラ持って来てんの？
椿,ふふふっ、どうしてでしょう？
P,やれやれ…じゃあ最初の目標、何冊にする？
椿,そうですねぇ……じゃあまず…100冊で♪
P,…飛ばすねぇ
椿,あら、足りないくらいです。ほらっ、顔寄せてください
P,はいよっと
椿,もう一枚いいですか？はい、チー…
P,……君、そういうことする？
椿,………////
P,……もう一枚いい？
椿,はい…。あっ……あの……もう一枚いいですか？
P,何枚でも
椿,んっ…。……このままだと、あっという間に100冊いっちゃいますね
P,そしたら次は300冊作るだけさ
椿,………………あの…プロデューサーさん…
P,………あぁ…椿…
藍子,椿さ～ん一緒にお風呂入りましょ～
P,あ
椿,！？///////
藍子,あら～？プロデューサーさんもご一緒なんですね～…………え？
P,…………
椿,…………
藍子,…………。ごっ、ごめんなさいっ、お部屋間違えました～………
P,…………藍子よ、それは苦しい
椿,っ～～～～！！！！！！//////////////////////
芽衣子,おはよーっ！
椿,あら、おはようございます
夏美,あ～…頭痛い…
惠,途中から記憶が無いわ…
藍子,お、おはようございます……
芽衣子,あれ？プロデューサーは？
椿,まだ寝てますよ
夏美,あららら～、昨夜はお楽しみだった～？☆
惠,やめなさい
藍子,//////
椿,今朝は洋食ですけど、よかったですか？
芽衣子,わ～い♪椿ちゃんの手作りだ～☆
夏美,あら、いつも和食かと思ってたけどそういう日もあるのね
椿,ええ、たまにですけど
惠,椿ちゃん、手伝うわ
椿,あ、いいんです、皆さんはお客様なんですから
藍子,あ、あの……
芽衣子,あ、私も手伝うよ！お皿並べておくね♪
夏美,じゃあ私はコーヒーでもいれようかしら
芽衣子,ブラックで！
惠,無糖のカフェオレで
椿,あの…私、朝はお茶なので…
夏美,めんどくさいわね！？藍子ちゃんは？
藍子,え？あ…私もお茶で…
夏美,オッケー☆
椿,じゃあ、みなさんお気をつけて
P,ふわぁ…結構路面滑るからな～気ぃつけて
惠,大丈夫よ、帰りは私の運転だし
夏美,さすがにドリフトは無いからね
芽衣子,椿ちゃんバイバ～イ
藍子,あの…
椿,は、はい…？
藍子,……////
椿,あの…////
芽衣子,ほら藍子ちゃん、二人のお邪魔しちゃダメだよ☆ばいばーい
藍子,え！？あっ…椿さん！後で写真のデータ送りますね～！！
椿,は、はい…！ありがとうございます～！
P,……あの時の写真じゃないよね？
椿,ちっ、違いますよ！藍子ちゃんあの時、カメラ持って無かったじゃないですか…！
P,まぁ…それもそうか……さぁて、朝飯食うか～
椿,はい、温めなおしますね。あら…？藍子ちゃんからだ…。……////。………また一枚、写真が増えちゃいました…♪。！！！！？？？//////////////
