梶井基次郎,檸檬
モバP,いえ全く。・・・酔ってますよね
ちひろ,そうかもしれませんね。馬鹿ですね私たち
モバP,・・・
ちひろ,お酒に頼らないと少しも腹を割って話せない
モバP,・・・
ちひろ,・・・それが大人、なんですかね
モバP,そんなこともないと思うけど。・・・怒ってます？
ちひろ,随分と野暮な質問ですね
モバP,理由は・・・まあわかるんだけど
ちひろ,わかってなかったら泣いちゃいます
モバP,・・・
ちひろ,爆弾です、爆弾
モバP,・・・
ちひろ,レモンの爆弾
モバP,ああ、そういう
ちひろ,ねえ
モバP,・・・
ちひろ,そろそろ、お互いに感情を絞り出さない？。・・・ぷはあ
モバP,・・・飲みすぎ
ちひろ,ヤケ酒ヤケ酒。好きな相手にいつまでたっても告白の返事をもらえないヤケ酒
モバP,・・・明日に響くよ
ちひろ,また仕事の話
モバP,・・・大人だから
ちひろ,大人は都合のいい時に大人を振りかざすんだ
モバP,それが大人なの
ちひろ,・・・大人の距離感って何だと思う？
モバP,・・・わかんない
ちひろ,・・・だよね
モバP,・・・怖いんだよね
ちひろ,・・・うん
モバP,ただでさえ沢山の女の子扱ってるのにさ、一緒の仕事仲間と結ばれるの。ちひろが好きすぎて怖い
ちひろ,・・・うん
モバP,どうなっちゃうかわかんないんだよ、自分が、自分を取り巻く環境が
ちひろ,・・・素直に告白、拒否してもいいのに
モバP,するわけないでしょ
ちひろ,それを言っちゃうから、こっちも嫌いになれないんだよ
モバP,面倒くさい男でごめん
ちひろ,お互い様だよ、似た者同士
モバP,何でこんなこじらせたかなあ。前はもっと素直に話せたよね
ちひろ,確かに
モバP,いつ頃からかな
ちひろ,・・・ああ、わかっちゃった。貴方のこと好きになってからだ
モバP,・・・嫌になるよ全く
ちひろ,本当
～五杯目,水
ちひろ,・・・気持ち悪い
モバP,飲みすぎ
ちひろ,仕方ないでしょう
モバP,・・・まあ。終電
ちひろ,はい？
モバP,フラフラしてると間に合わないよ
ちひろ,いざとなったらホテルでも行きますか
モバP,行かないよ・・・というかここで行くって言うような男をちひろさんは好きなの？
ちひろ,行こうって言ったら気持ちよく告白を取り消そうと思ったのに
モバP,無駄に奥手だから
ちひろ,その無駄も含めて好き
モバP,・・・あ、奢りますよ
ちひろ,いやいやいやいや
モバP,いやいや
ちひろ,そこ以外で彼氏面してよ
モバP,・・・善処するんで
ちひろ,貴方が唐揚げなら、私はレモンだから
モバP,酔ってるなあ
ちひろ,・・・明日からどんな顔して仕事しようかな
モバP,なんだかんだ一緒にいる時間一番長いからね。・・・まあ、一歩一歩、近づいていきたいです
ちひろ,・・・はい、プロデューサー。・・・プロデューサーって言えるかな、ちゃんと。プロデューサープロデューサープロデューサー
モバP,・・・意識しすぎるとアレだよ多分
ちひろ,じゃあちひろって呼んでくださいよ
モバP,ちひろさんちひろさんちひろさん。・・・これで赤くなってたらやっぱり駄目ですよ
ちひろ,酔ってるんです
モバP,レモン、感情ときて、次に絞り出すのは声ですか
ちひろ,うまいこと言ってるつもりですか
モバP,いえ全く。・・・キスしませんか
ちひろ,え！？
モバP,・・・そんな驚きますか
ちひろ,・・・急だったので
モバP,・・・今キスしたら、まだレモン味ですよ
ちひろ,・・・そういうのは嫌いです
モバP,やっぱり
島村卯月,卯月の１日
