【安価】扶桑,山城！アイドルになるわよ！
時雨,深海側も自由だなぁ！もう！
扶桑,ルールは東風戦、３位と４位が服を一枚脱ぐ、シンプルなルールよ・・・！
ウォー,それにしてもユニークな上部構造物・・・これがjapanのアート・・・！
山城,姉様、相手も怖気づいていてこれは行けそうですよ・・・！
扶桑,ええ、今のうちにやってしまいましょう・・・！。それじゃあ始めるわよ！
ウォー,妙ね。自動で出てこないのかしら？
時雨,深海側は自動卓！
山城,えっとね、こうやって１７枚集めて、それを二列作って・・・
ウォー,Thankyouverymuchindeed.よくわかったわ。
扶桑,それじゃあ、闘牌開始よ！
時雨,まあ、とりあえずは普通に麻雀打てばいいかな・・・
扶桑,配牌は・・・いつも通り８種９牌！
山城,流石です！姉様！
ウォー,えっと・・・役は・・・
時雨,よし、平和テンパイ。とりあえずダマでいいかな。
扶桑,遅々として進まないわね・・・不幸だわ・・・
山城,配牌から何も変わってないわ・・・
ウォー,よし、できたわ。リーチよ。
時雨,早いなぁ、まいっちゃうよ
扶桑,安パイならいくらでもあるもの・・・
山城,流石です姉様！
ウォー,えっと、ツモ？これ、何点かしら？
時雨,満貫だね、２０００・４０００だよ。はい。
扶桑,早速幸運艦の実力が・・・
山城,不幸だわ・・・
扶桑,やるわよ山城！二人で麻雀をし続けて編み出した暗号！
山城,わかりました！。あー、それにしても厚いですね！
ウォー,そうかしら？
時雨,冷房効いてるけどね
扶桑,山城が欲しているのは３ｍ・・・でもないわ！
山城,えー、確かにそうかもね！
ウォー,でもjapanのsummerはとっても暑いわ。
時雨,まあ、深海棲艦もビーチに繰り出すくらいだからね
扶桑,山城は３ｍと４ｓを欲しがってるけど・・・持ってないわ・・・
時雨,どうしたの？扶桑はさっきから全然しゃべらないけど
扶桑,ば、バレてる・・・？
時雨,それに山城は話が変だよ？緊張してるのかな？
山城,あ、あはは、そうかしら・・・。バレてますって姉様！いったん止めましょう！
時雨,あ、それロンだよ。８０００。
山城,不幸だわ・・・
ウォー,この鎮守府は平和そうね。素敵だわ。
時雨,まあ、うちは出撃も少ないし。他の所よりは忙しくないかも。
扶桑,まあ、私たちは出撃があっても出番はないんですけれどね・・・
山城,ウォースパイトさんはたくさん出番がもらえそう・・・
ウォー,戦いが無いことは素晴らしいことだわ。その幸せを享受できるあなたたちもね。
時雨,そうだね、戦いなんてない方が幸せだものね。
扶桑,この幸運艦に挟まれると私たちまで幸せになれそうだわ・・・！
山城,だめです姉様、本来の目的を失っては・・・！
ウォー,あ、これはヤクマン、だったかしら？
時雨,うん、四暗刻だね。
山城,やっぱり不幸だわ・・・
扶桑,ええ、そうね・・・。ま、まあ一枚くらいなんてことはないわ・・・そう、靴下を・・・！。室内だから靴下を脱いでいたことを失念していたわ・・・！。し、仕方ないからTシャツを脱ぐわ・・・暑かったし丁度いいわね・・・！
山城,ああぁっ・・・！なんてこと・・・早速扶桑姉様がTシャツを脱いでキャミソール姿に・・・！。私は靴下を履いていたので靴下から脱ぎますね・・・
扶桑,だめよ山城、姉が上を脱いでいるというのに妹のあなたは靴下から脱ぐというの・・・？
山城,でも、姉様も最初は靴下を脱ごうと・・・！
扶桑,いいから上を脱ぎなさい！ほら！
山城,ああっ、だめです姉様・・・！
時雨,・・・お茶でも飲みますか？ウォースパイトさん。
ウォー,頂こうかしら。japaneseteaが飲んでみたいわ。
時雨,丁度良かった。扶桑たちはお茶しか飲まないから。じゃあ淹れてくるね
扶桑,もう、この・・・はやく・・・
山城,いや・・・だめ・・・
ウォー,艦橋が今にもぶつかりそう・・・！大丈夫かしら・・・！
山城のTシャツ,脱がされてしまったぜ、悪いな。
山城,もうお嫁にいけません・・・
扶桑,さあ、続けるわよ・・・！
時雨,あ、やっと終わったみたいだね。
ウォー,そうみたい。早く始めましょうか。
時雨,あれ？すこし楽しんでる？
ウォー,ええ、あの二人が戦ってる姿、とてもexcitingだもの・・・！
時雨,ふふ、確かにそうかもね。
扶桑,まだ負けたわけじゃないわ・・・次行くわよ！
山城,チャンスが来ましたよ姉様・・・！
扶桑,来たわね・・・この並びが！
扶桑山城,２の２の天和・・・！
扶桑,出撃がない時の暇つぶしで練習し続けてできるようになった必殺技・・・！
山城,止められるものなら止めてみなさい・・・！
扶桑,行けるわ！まかせなさい山城！準備はできてるわ！
扶桑山城,行ける！これでウォースパイトさんを倒せる・・・！
扶桑,どうしたの山城？
山城,これは・・・
時雨,どうしたんだい？早くしなよ？
山城,いやぁ・・・それがねぇ・・・上がってるのよ
時雨ウォー,え？
山城,まいっちゃうわぁ・・・これは天和よっ・・・！
時雨ウォー,や、役満！？
ウォー,すごい・・・！excellent!
時雨,山城が天和なんて・・・100%サマなんだろうけどそれを言うとかわいそうすぎて何も言えない・・・！
山城,やりましたよ姉様！
扶桑,すごいわ山城！成功よ！
時雨,思いっきり成功とか言っちゃってるけどキャミソール姿で喜ぶ二人を見てると指摘できない・・・！
山城,さ、さあ、もう一度しましょう！
扶桑,そ、そうね！一度あることは二度あるわ！
時雨,流石に二度目は咎めないと・・・どうしようかな？
山城,もう一度行きますよ、姉様！
扶桑,ええ、このままいけば勝てるわ！
時雨,・・・
山城,よし、これで完成してる・・・あれ？
扶桑,どうしたの山城・・・？
時雨,・・・
山城,え、ええ、なんでもないです姉様・・・
扶桑,そ、そう・・・
ウォー,・・・？二人とも様子がおかしいけれど大丈夫？
時雨,・・・
山城,え、ええ、大丈夫・・・
時雨,あ、それロンだよ。１３面はダブルかな？
扶桑山城,ええええええええええええ！？
扶桑,時雨はツモ切りだった・・・
山城,つまり、ウォースパイトさんの南を見逃しての和了・・・！
扶桑山城,ばれてる・・・っ！
時雨,ふぅ、流石に二つの山に手を出すのは肝が冷えるな・・・
山城,やばいわ姉様、これ時雨の方が完全に一枚上手です！
時雨,どうしたのかな？
山城,な、なんでもないわ・・・ダブルは採用してないから３２０００ね・・・
扶桑,え、ええ・・・
時雨,まあ、僕も運がいい方だからね、たまたまだよ、たまたま。
扶桑,絶対サマやってる顔よこれ！
山城,こ、これは平で打てという時雨のメッセージ・・・！
扶桑,でも、ひらっこで打ってこの二人に勝てるわけがない・・・！
時雨,ほら、扶桑の番だよ、さあ、続けようか？
ウォー,時雨・・・すごいですね・・・！
時雨,そうでもないさ・・・
扶桑,そ、そうね、つ、続けましょうか・・・。結局普通の麻雀になってるわ・・・！
ウォー,あ、リーチね。やったわ。
時雨,早いなぁ、これ通るかな？
山城,何も勝てる要素が見当たらないわ・・・！
ウォー,あ、それロン。これは何点かしら？
山城,い、12000かしら・・・
時雨,山城？
山城,い、18000です・・・。姉様！無理無理無理無理ですってこれ！絶対に勝てませんよ！
扶桑,あきらめちゃだめよ山城！まだ勝つ方法はあるわ！。そう、私たちは二人で麻雀をしてきたという腕がある、ちょっと麻雀を齧ったくらいで私たちの技術に勝てるわけが・・・！
山城,た、確かに！流石です姉様！私たちはいわばプロ、アマチュアに麻雀で負けるわけにはいかないのです・・・！
ウォー,あれ？これ、先ほどの山城と同じかしら？
扶桑,
山城,
時雨,あ、これダメな奴だ・・・
扶桑,ま、まだよ・・・まだブラが残ってるわ・・・！
山城,もうやめましょう姉様・・・そもそも相手が間違っていたんですよ・・・！
扶桑,扶桑型の誇りを忘れたの山城・・・！こんなとこであきらめてはだめよ・・・！
山城,扶桑型の誇りって何なのですか姉様・・・
時雨,まずいなぁ、ここまで凹まれるとやった僕にも罪悪感が・・・
扶桑,さあ、早く脱ぐのよ山城・・・！
山城,せめて姉様が先に脱いでから脱がしてくださいよ・・・！
扶桑,妹が率先して脱ぐのが常識でしょ・・・！
山城,姉が先ですよ姉様・・・！
時雨,ちょっと提督呼んでくるね？
ウォー,Admiralを？いいの？
時雨,そうでもしないと終わりそうにないからね・・・
山城,むしろ扶桑姉様が脱ぐべきですよ・・・！
扶桑,ああぁっ・・・ついに山城にも反抗期が・・・！
提督,扶桑と山城は麻雀してるのか？麻雀だったら俺も混ぜろよな～
山城,・・・
扶桑,・・・
提督,海軍士官学校ではこれでも鳴らしたもんだぜ・・・あれ？
山城,・・・出てってください！///
扶桑,ああ、なんてこと・・・！///
提督,お、おう！？なんで二人とも上着脱いでんだ？ってすまん！
扶桑山城,不幸だわああぁぁぁぁぁっ！
ウォー,そ、その艦橋、触らせてもらってもいいかしら・・・？
扶桑,え、ええ・・・
山城,ど、どうぞ・・・
ウォー,そ、それじゃあ失礼して・・・
