・一日一ストーリー,全部で九つ
凛,あの後みんなに聞きまわってたらラーメンの方には希ちゃん、穂乃果ちゃん、かよちんだけでさ！。他のみんなはトマトだよ！？なんでみんなトマトなのかな…。希ちゃんはー…。それで穂乃果ちゃんはー…。やっぱりかよちんもそう思うでしょ？
花陽,う、うん！
凛,それに対してみんなは…。とか意味わからないこといってるし！。理由としては普通だけど全然共感できないよ！。そこラーメンしろにゃ！！。論外だよ！！
花陽,あはは……
凛,もう味方はかよちんと穂乃果ちゃんと希ちゃんだけだよ…
花陽,わぁ…苦しいよ凛ちゃん…
凛,えへへごめん…
花陽,そろそろいかないと……。！！。凛ちゃんそろそろいこう？
凛,あ、うん！
花陽,ふぅ…。喧嘩が悪化って凛ちゃんと真姫ちゃんはもう既に喧嘩してる…？
凛,いこっか！
花陽,う、うん！。あ、やっぱりここにいたんだね
真姫,花陽…
花陽,全然教室に来ないからここかなって
真姫,凛がいるもの、居づらいでしょ？
花陽,ま、まぁ…
真姫,でもね花陽は別にいいのよ、敵は凛だから
花陽,て、敵って…
真姫,まぁ凛と私の話だから気にしないで
花陽,う、うん…。あ、あの…真姫ちゃん…
真姫,なに？
花陽,何度も言うけど…両方同じくらいおいしい…じゃダメなのかな？
真姫,ダメよ
花陽,あうぅ…
真姫,それならもうとっくに解決してるわよ
花陽,う、うん…
真姫,授業始まる頃には行くから安心して
花陽,うん…。早く仲直りして欲しいなぁ…。え？。！！！。そ、そんな……。どうしようどうしよう…。仲直りしてほしいけど…真姫ちゃんと仲が悪くなったら…。…ごめん凛ちゃん。じゃあ、待ってるね
真姫,ええ、分かったわ
花陽,………。ごめんね…凛ちゃん…
真姫,ふんっ
凛,………
花陽,うぅ……
凛,かよちん！いこ！
真姫,ちょっと待って！私は花陽に用があるの、一緒に食べようくらいの凛は後にして
凛,はぁ？！なんで！かよちんと凛の間に真姫ちゃんは入ってこないでよ！
真姫,こっちのセリフよ！凛が入ってこないで！
凛,真姫ちゃんはにこちゃんといてよ！
真姫,はぁ？！なんでにこちゃんがそこに入ってくるのよ！！！
花陽,んえ？
凛,ほらっ！いこ！真姫ちゃんの話なんか聞く必要ないよ！
真姫,なんでそうなるのよ！花陽、行きましょう凛の話なんか聞く必要ないわよ
凛,だからなんで入ってくるの！
真姫,なんで凛が決めつけるのよ！
花陽,あ、えっと…二人とも…。ど、どうしよう…。あっ…。え…待って……。どうしようどうしよう…。うぅ…えっと……どうしよう…。…無理だよ、私には決められないよ。どちらとも関係が悪化なんてイヤだよ…。うぁ…。………
希,あ、凛ちゃんちょっといいかな？
凛,あ…う、うん…。ここで待っててよかよちん
真姫,さて、行きましょう
花陽,あ、ちょっ…。そっか…選べなかったから真姫ちゃんになったんだね…
真姫,凛となんか食べる必要ないわ、花陽が無理するだけだわ
花陽,う、うん…。…ねぇやっぱりさ
真姫,なに？
花陽,仲直り…しない？
真姫,……知ってるわよ、こんなくだらないことくらいで喧嘩してるのわ。でもここはプライドってものがあるのよ！
花陽,う、うん…？
真姫,よーし！凛には絶対に負けないわ！。大丈夫よ！絶縁とかそういうことは絶対にしないから
花陽,そ、そう…
真姫,それにしても花陽さっき瞬間移動しなかった？
花陽,え？
真姫,いや花陽を引っ張ってつれていこうとしたらなんか花陽の立ち位置が急に後ろに下がったような気がして
花陽,あっ…。もしかしてよろめいたから…？。んっと…気のせいじゃないかな？
真姫,そう？まぁそうよね、瞬間移動なんてありえないし
花陽,うん…。はぁ……
凛,もう！かよちんまで真姫ちゃんの味方して…！。まぁどうせかよちんは無理やり連れていかれたからいいとして…。真姫ちゃんだよ！どこまで凛を怒らせれば気が済むにゃ！
花陽,はぁ……。散々な一日だったなぁ…。！！？。………。…たまにはラーメンもいいよね。ラーメン食べよっかな。早くお家帰ってラーメン食べよ。ラーメンってこんなおいしかったんだ…。あはは…誰の味方をするとかじゃなくて結局私はラーメン派閥かもね…。それにしてもあの謎の現象…。……私にはピッタリなのかな。優柔不断だし…決めるにも決められないし…。でも、不安だなぁ…。今日みたいな選択肢、ホントにどうすればいいんだろう…。あんなの選べないよ…。やっぱり私ってダメだなぁ…。あ、このスープおいしい♪。あ、はーい！ちょっと待っててー！。どうしたのお母さん。だ、大丈夫？。あっ…。やっちゃった…。はっ…え？。なにそれ…ほとんど同じじゃん…。………。どっちにするべき…？。……どっちにしても同じだよね。分からないよ…。任せる、運命に任せます……。！？！？！！。あ、あれ…？。花瓶が…。…あ、絆創膏もってくるね。………。やっぱり決めなきゃいけないんだ…。自動で選んでくれるなんて甘すぎるもんね…それじゃあ時間の意味がないし…。…三秒で決めないといけないんだ。…あ、早く絆創膏届けないと！。とりあえず様子見だよね…。ふぁー…朝か…。んー…なんか体が重い…。…休もうかな。え？。っ？！。し、死人？！。あ、え…なにそれどういうこと…？。れ、冷静に……。いや…待って…。今日はいこう。はっ……。……誰が死ぬの？。まさか…凛ちゃんとか真姫ちゃんじゃ…。…大丈夫だよね？
凛,おはようかよちん！
花陽,お、おはよう！。………
凛,どうしたの？かよちん
花陽,ん、あ…いやなんでもない！。真姫ちゃんどこかな…
凛,？
真姫,あらおはよう花陽。そして凛
凛,むっ…なにそのオマケみたいな言い方
真姫,さぁ？
凛,相変わらず腹立つにゃ…
花陽,ほっ……
真姫,何安心してんのよ
花陽,気にしないでこっちの話だから
真姫,…？
花陽,まぁいこうか二人とも
凛,うん！
真姫,はいはい
花陽,………。よしっ…
希,そんな難しい顔してどうしたん？
花陽,あ、希ちゃん
希,一人で抱え込む必要は全くないよ？相談できることなら素直に相談してみ？
花陽,………。言うべき…？希ちゃんってオカルトっていうかああいうの詳しそうだし…。！。話すと増える…？！。と、とにかく話さないだよねこれは…！。ううん、なんでもないよ希ちゃん
希,そ、そっか…分かった、でも辛いときはちゃんと相談してな？
花陽,うん！。じゃあ私はもう教室にいくね
希,了解や
花陽,それじゃあ…。はぁ…。希ちゃんに話したら死人が増えるって結局なんなんだろう…。…ダメ、よく分からないや。あ、早くしないと！。………
穂乃果,どうしたの？ずっと上の空だけど
花陽,ねぇ穂乃果ちゃん
穂乃果,ん？なーに？
花陽,未来って変えれると思う？
穂乃果,もちろんだよ！漫画でもよく見るじゃん！決まった未来を変えるシーン！。私だって学校が廃校になる運命を変えたんだからきっと出来るよ！
花陽,う、うん！だよね！
穂乃果,でもどうしたの？急にそんなこと…
花陽,ちょっと考え事をね…でも気にしないでなんでもないから
穂乃果,う、うん
花陽,ありがとう穂乃果ちゃん
穂乃果,よく分からないけどどういたしまして！
海未,さてそろそろ練習いきますよ！
凛,よーし練習いっくにゃー！
真姫,分かったわ
花陽,はーい
凛,かーよちんっ！一緒に帰ろ！
花陽,うん！
真姫,あ、私も途中まで一緒だから同行させてもらうわ
凛,えぇ～…
真姫,えぇ～と言いたいのはこっちよ、なんで凛がいるんだか
凛,そんなに凛が嫌なら一緒に来なくていいにゃ～
真姫,なんでそうなるのよ！
花陽,ふ、二人とも喧嘩はダメだよ…。とりあえずいこ？
真姫,…分かったわ
凛,はーい
花陽,………
真姫,花陽もこの味覚音痴になんか言ってやってよ
凛,味覚音痴はそっちにゃ！
花陽,あはは……。あ、ごめん荷物落ちちゃったから先行ってて
真姫,分かったわ
凛,はーい
花陽,……あ、でもまっ。っ！！？。助けきゃ…！。？！。え…？！ちょっとまってよ！？。どっちかしか助けられない…！？。なにそれ…おかしいよ…。！！。待ってよ…決められないよ……。どうしようどうしようどうしよう…！！。凛ちゃんを助けたら真姫ちゃんが…でも真姫ちゃんを助けたら凛ちゃんが…！。！。！。やめてよ…私を混乱させないでよ…。どっちを選んでも結末がまったく同じだよ…死ぬ人と生きる人が違うだけだよ…。………。私が喧嘩を止めてれば…！。…決めた。行くよ…！。はああああああ！！
凛,かよちん…？
真姫,花陽…？
理事長,短い時間で的確な判断が出来るか、それを判断力といいます。でもどちらかが生きてどちらかが死ぬなんて選択肢で正確な判断が出来る人なんているんでしょうか？いや…そもそもそこに正確な判断なんて存在するのでしょうか？。迷ってたらどちらも死んでしまう、そんな状況で何を頼りに選べばいいんでしょう？。友情でしょうか？愛情でしょうか？人それぞれだと思います。あ、はいもしもし。え？！今日飲み会やるんですの？！。あっ…でも今日はことりとも約束いれてた…。でも飲み会にも…いやでも親としてことりとも……。…ことりにしましょう、欲望よりも愛情を優先します！。今度は誰ですか…。……はぁ。やっぱり愛情より欲望を選ぶのが安定ですよねぇ…。三大欲求の一つ“食欲”。お腹がすいたら何かしらなんでもいいから食べたくなるでしょう。お腹がすいて餓死しそうな時目の前に得体の知れないモノがあったらどうしますか？。食べますか？食べませんか？。私は食べません、ですがこれが自分の知ってる食べ物だったら答えは一つになってしまうでしょう。日常生活において好きなものだけ食べるということは決して悪いことではありません。ですがちゃんと“中身”を確認しましょう、外側だけ知ってるもの…なんてことがあるかもしれません。警戒心をいつまでも持つことが、大切ですよ
穂乃果,もうすぐバレンタインだね！！。えーっと後三日だ！
希,今年はみんなチョコもらえるかな？
海未,チョコなんて太るだけです！そんなもの食べなくて結構です！
にこ,まぁこのにこならチョコ軽く２０個くらいはオーバーね
真姫,そっ…バレンタインなんて興味ないわ
凛,んー凛はチョコがもらえるならなんでもいいや！
花陽,あぁ…チョコはおいしいですけど…今ダイエット…うぅ…
ことり,私もみんなにチョコ作るから楽しみにしてね♪
穂乃果,おお！ことりちゃんのチョコー！！
絵里,ふひひ…えへへ……
希,えりち気持ち悪い笑み浮かべないでや…
絵里,バレンタインよ？！チョコが食べれるって思うとすごく心が幸せになるのよ！。あ、でも私もちゃんとみんなにチョコは作るからね？
穂乃果,絵里ちゃんはモテモテだもんねーもうチョコがもらえるのは決定事項みたいなものだよね
にこ,うらやま…いやなんでもないわ
真姫,ふーん……
凛,えー…凛チョコ作れない…
花陽,大丈夫だよ！凛ちゃん！私が教えるから一緒につくろっ！
凛,うん！ありがとかよちーん！！
絵里,チョコチョコ～♪るんるん♪。……！。この匂いはチョコ…どこかしら…。えっと…こっちかしら……。…ここからね。ってなにここ…やけに狭い路地裏ね…。…ん？夢を叶えるチョコ専門店…？。なにそれ…まぁ入ってみましょう。あの夢を叶えるチョコ専門店って…。叶えたい夢って……。あぁはい…。足が速くなるチョコ…頭がよくなるチョコ…暗記力がよくなるチョコ…。これを食べたらその名前に書いてある効果が出るんですか？。…値段が書いてないんですけど。え？。なるほど…代償はお金じゃなくて自身の能力ってこと。………！！。これ………。すいません、これを買うとしたら私の何の能力と取引できますか？。え…バレエか…他にありませんか？。うーん…。スクールアイドルやってるから流石にスタイルを削っちゃうのはまずいし…。頭悪くしたら成績に響くし…。バレエもダンスに関係してるけどバレエが全てじゃないし…これを…。……決めた！。じゃあすいません、バレエの能力を引き換えにこの。好きな人と恋人になれるチョコをください。分かりました…。………。あ、はい。これを食べたらすぐに効くんですか？。なるほど、ありがとうございます。…もうここで食べていいですか？。……味が全くしないですね。実感も全然ないですね…。じゃあ行ってきますね
希,あ、えりち…っ！？
絵里,ん？どうしたの？私に何かついてる？
希,え…あ、いや…なんでも…ないよ！
絵里,…いつもの口調どうしたの？
希,え…私…ウチそんなこといった？
絵里,…とりあえずあがっていい？
希,だ、ダメ！えりちごめんまた今度！
絵里,あ、ちょっと！。効果本当にあるのかしらこれ…。おーい！希ー！
希,あ、えりち…
絵里,昨日はどうしたの？
希,いや…なんでもないんよ…
絵里,ちょっ…希どうしたのよ
希,授業始まるまで…一緒にいなきゃやだ…
絵里,
希,今日のダンスペア、ウチと組も？
絵里,え、えぇ…分かったわ。あの、希さん？
希,なんやさん付けして
絵里,くっつき過ぎじゃない？。いや嬉しいけどもなんていうか…
希,…嫌だった？
絵里,違う違う！そういうわけじゃないの！。ただ…急にどうしたのかなって…。なんとなく分かるけど…
希,…そんなに言わせたいん？
絵里,え？
希,えりちはいじわるやな…。…ウチはえりちのことが好き！チューしたいくらい大好き！
絵里,
希,…どう？満足した？
絵里,ま、まんぞくしまひた…
希,ほらっ！なら早くいこ！
絵里,は、はひ！
にこ,……なんであんたらそんなべったりしてんの？
絵里,…さぁ？
希,ウチとえりちの関係ならこのくらい普通やん！
にこ,はぁ？！あんたら何したのよ！
絵里,ちょ！声大きいわよ！
希,え？別に何もしてへんよ？
にこ,希と絵里の関係って…
希,ん？まさかにこっちウチとえりちが工ッチなことしてたって考えてたん？？？
にこ,なっ……
希,うわ～にこっちはヘン夕イやなぁえりちとウチがあんなことやそんなこと
にこ,やめえええ！！！
絵里,………
にこ,…なんで当事者であるはずの絵里が顔赤くしてんのよ
絵里,うぇ？！まさかそんなはずないじゃない！
にこ,あんたら本当に何もしてないんでしょうね？あなたの相棒が動揺してますよ？
希,えりちもヘン夕イさんなんやね…
にこ,はぁ…朝っぱらなんて会話してるのよ私たち
希,そういう時期なんやない？
にこ,ぬぁんでよ！
絵里,……はぁ。これがチョコの効果か…。嬉しいけどやっぱり慣れないわ…希があんなに甘えるなんて…。………
にこ,わぁ？！大丈夫？！
希,うはぁトマトみたいに顔赤い…
絵里,……はっごめんなさい、ちょっと正気保てなくなってたわ
にこ,ちょっ…大丈夫なの？
希,なんでウチに聞くん…
にこ,明らかにヤバイじゃないこの絵里
希,大丈夫だよにこっち、こうすれば…。えりち♪
絵里,はぇ？なにかしら？
希,今度ウチとイイコトしよ♪
絵里,………
にこ,なっえ…？！絵里倒れたわよ？！
希,あちゃー…えりちには刺激が強すぎかも
にこ,刺激って何話したのよ…
希,別に大したことじゃないんよ？
絵里,ふは……。希が甘えてくれるのは嬉しいけどやりづらさを感じるのも事実なのよね…
希,えりち！
絵里,あ、そうねペアね
希,えりちの手暖かい…
絵里,う、うん…
希,さてストレッチやろか
絵里,えぇ了解。……？
希,どうしたんえりち
絵里,…いやなんか体に違和感があって
希,大丈夫？
絵里,えぇ大丈夫よ、やりましょう
希,うん！
海未,わん！つー！すりー！ふぉー！
絵里,あれ…
海未,ストップです！絵里、さっきから動きがよろめいてます
絵里,ごめんなさい…
穂乃果,ううん！大丈夫！穂乃果もよくミスしちゃうし気にしないで！
海未,絵里がミスするなんて珍しいですね、何かありました？
絵里,いや…なにもないと思うわ気にしないで
海未,え、ええ…ですが無理はしないように
絵里,分かってるわ
海未,では、再開します。わん！つー！すりー！ふぉー！
絵里,……っ
希,……？
海未,では１５分の休憩に入ります
絵里,………。バレエの能力を失ったからかしら…全然ダンスが出来ない…。バレエで重要なバランスが全然取れない…まさかこんなことになるなんて思ってなかったわ…
にこ,ねぇちょっと大丈夫？
絵里,………。どうしよう…とは言っても一から練習するしかないか…
希,おーいえりちー
絵里,………
穂乃果,絵里ちゃん！！！
絵里,わぁ！
穂乃果,今日の練習は調子悪かったけど気にしないで！誰にでもスランプってやつはあるから！
絵里,…ええ
にこ,何かあった？
絵里,…っいや特にないわ
にこ,………
絵里,………
にこ,あんたなんか隠してるでしょ？
絵里,まさか…そんなわけないでしょう？
にこ,そうはいうけどねぇ…
希,にこっちまたえりちにいやらしいこといってるん？
穂乃果,え？またってにこちゃんそういうの興味あったの？
凛,そういうのってどういうのー？
にこ,なっ…希！変なこというんじゃないわよ！！
凛,ねぇにこちゃんそういうってどういうのー？
穂乃果,さっきの話教えて穂乃果も気になるー！
にこ,だああ！なんでもないわよ！！
希,えりち大丈夫？
絵里,ええなんとか…
希,さっき言ってた違和感のせい？
絵里,…多分
希,病院で診てもらう？
絵里,いやそんなことはしなくていいわ、一人でなんとかする
希,なんとかって…なんとかできるん？
絵里,…それは微妙ね
希,ウチを頼って？ウチとえりちは。恋人やん？
絵里,！！！。………。違う…希と恋人になるためにバレエを捨てたなんて言えるはずないでしょ…。ううん、大丈夫。でももし辛くなったらいうわ、今はまだなんとかなりそうだから大丈夫よ
希,そ、それならいいけど…
絵里,…よし、頑張りましょう。はっ…よっ……。わぁ！？いてて……。…やっぱりバレエを失ったのは大きかったわね。……ホントに大丈夫かしら、私のスクールアイドル人生。…っとにかくもう一回ね！。わぁ！。いったぁ…。くぅ……。ふぅ…怪我いっぱいしちゃったわね…。…まぁ大丈夫でしょう。払ったものは取り戻せないものね…頑張らなくちゃ！。…おはよう
希,うわぁどうしたのえりち！ボロボロやん！
絵里,一日中ダンスの練習に励んでたわ…
希,またそんな無茶して…。ウチの温もりで休んで…？
絵里,…うん。…とっても辛いわ
希,辛いやろうね…どうしちゃったん急に？
絵里,………。…なんでかしらね？
希,はぁ…えりちが苦しんでるの見るとウチまで辛くなるよ…
絵里,ごめんなさい…。ホントにごめんなさい…希の気持ちを弄んで…。あんなチョコなんて食べるべきじゃなかったわよね…
にこ,うぇ？！絵里大丈夫？！
絵里,えぇなんとか…
にこ,その傷…あんた何してきたのよ…
希,一日中ダンスの練習してたんやって
にこ,確かにあの時の絵里は明らかに後れを取ってたけどそんなにボロボロになるまでやってたら元も子もないじゃない…
絵里,返す言葉もないわ…
にこ,はぁ…やれやれね…
希,今日の練習休む？
絵里,いや、出るわちゃんとやらないといけないもの
にこ,いやだからそんな傷じゃ
絵里,いかせて、お願い
にこ,…仕方ないわね、でも無理してるって感じたらやめさせるわよ
絵里,…分かったわ
海未,わん！つー！すりー！ふぉー！
絵里,はっ…よっ……。よしっなんとかついていけてるわ
海未,ストップです！絵里、昨日よりかは良くなってますがやはりまだみんなより遅れています
絵里,っ…ごめんなさい。………
希,！
穂乃果,もう！海未ちゃん！絵里ちゃんだって努力してるんだよ？そんなにきつくしちゃ絵里ちゃんに悪いでしょ！
海未,そ、それはすいません…
絵里,ううん、いいの悪いのは私だから…。なんで…あんなに練習したのに追いつけないの…！
海未,…ここは休憩にしましょう、１０分の小休憩をします
絵里,はぁ……
希,えりち…
絵里,なんでダメなのかしら…
希,苛立ったらダメだよ？それが一番ダメなパターンやから…
絵里,分かってるわよ…！
希,いらついてる…
花陽,すごーい！！！
絵里,！
凛,どう？かよちん！
花陽,すごいすごい！まるで。プロのバレエ選手だよ！！
真姫,っほんとにすごいわね…どこで覚えたのこれ…
凛,なんかチョコを食べたらバレエもダンスもすごく上手くなれた！
花陽,チョコ？
凛,夢を叶えるチョコだったかな？うーんと…確かそれのバレエとダンスが上手くなるチョコだった気がする！それを食べたら上手くなれた！
真姫,なにそれ…そんな魔法みたいな話あるわけがないでしょ
凛,ホントなんだってばー！。かよちんは信じてくれるよね？！
花陽,え…えっとその…ホント…なのかな？
凛,もー！かよちんまで疑ってー…。でもこの上手さは本物でしょー？
真姫,えぇ…ダンスは確かに今までとは比べられないほど上手くなってる…
絵里,……！。もしかして凛もあそこのチョコレート屋さんに寄ったのかしら…。だとしたら凛は何を犠牲のしたのかしら……。…あれ、私が行った時にバレエが上手くなるチョコなんてあった…？
真姫,夢を叶えるチョコレート屋？だっけ
凛,そうだよ！
真姫,夢を叶えるんだったらもっと現実味のないことでも叶えればよかったのに、お金持ちとか
凛,ううん、凛が叶えられる夢は限られてるの、そんな大きな夢叶えられないよ。凛には“取柄”がないから、ダンスが上手くなれば少しは出来るかな！って…。そこでバレエが上手くなれるチョコを食べた！凛でも叶えられた！
絵里,………。いや…ない、そんなの無かった。…！！！！。まさかだと思うけど…あのチョコって……。取引した能力が売られるの…？。…うん、バレエだけじゃない、ダンスまで出来なくなってた。凛は私の能力が入ったチョコを食べた…？。その可能性が高いわよね…。…もしそうだとしたら私が食べた能力も誰かのってこと…。嘘でしょ………
希,えりち…？そんな深刻そうな顔してどうしたん…？
穂乃果,絵里ちゃん…？顔真っ青だよ？大丈夫…？
絵里,店の人に聞くべきよね…。…ごめんなさい、今すぐ行かなきゃいけないところが出来たわ、先帰るわね
希,あ、ちょっとえりち！
穂乃果,絵里ちゃん！
海未,どうかしました？
希,今すぐ行かなきゃならないところがあるっていってどっかに行っちゃって…。！！！
穂乃果,…っ？！絵里ちゃん！！
希,えりち？！
花陽,ど、どうしたの？！
真姫,…！滑り落ちたって感じかしらね…
穂乃果,血が出てるから早く救急車呼んでよ！
ことり,今、呼んでる！
希,嫌や…！えりち死なないで！！！
真姫,揺らさないで！悪化するかもしれないわ！
希,あ……ごめん…
にこ,希…気持ちは分かるわ、でもここは絵里を信じるしかないのよ
希,…っせやけど！
にこ,………
希,っ！！
にこ,…まぁでも近くにいてやりなさいよ、みんなには私が適当に言っておくから
希,え…でも…
にこ,知ってるのよ？絵里と希の関係。あ、別にそういうことではないからね！
希,ばれてたん…
にこ,当然でしょ、逆に隠し通せると思わないことね。しっかりしなさいよね、あんたがしっかりしないと絵里おかしくなるわよ
希,どうしてそんなことわかるん？
にこ,私、未来が見えるから
希,え？
にこ,未来が見えるチョコを食べた
希,え…？ええ？！
にこ,これはオフレコでお願いね
希,み、未来が見えるって…！
にこ,未来が見える私からのヒント、大事にしなさいよね
希,まっ…にこっち！。いってもうた…。ウチがしっかりしないと…か
絵里,ん…ここは……
希,えりち！！
絵里,の、希……
希,そんな体で勝手にどっか行かないでや！ウチどんなに心配したか…！
絵里,ご、ごめんなさい……。っいてて……。…あれ……？。足が…動かない……
希,………
絵里,どうして…？。どうして私の足は動かないの…？
希,階段で滑り落ちた代償やって…。頭から血も出てたし死んでもおかしくなかったんやってえりちは。でもこうやって生きてはいられるけど…。その代償に…
絵里,足が動かなくなった…？
希,………
絵里,そんな……スクールアイドルはどうなるの？！
希,………
絵里,…出てって
希,え……
絵里,今は一人にさせて……
希,う、うん……
絵里,………。…動かない。あんなッ…チョコ食べるんじゃなかった……ッ！！。あんなのがあったせいで…！私の人生は崩れた……。楽して希とくっつこうとしたから…！！。動いてよ……。動いてよ！！。私の足動いて！！！！なんで動かないの！！！？。私だってアイドルしたいのよ！ダンスだってしたいのに！！。凛にまで私の能力を取られて……。私は根本的にダンスが出来なくなって…。このチョコのせいでもう…何もかもがぁ…！！！。イヤだよ…イヤだよぉ……。なんでなのよ…こんな人生…イヤよ……。夢ってそんなに辛いモノだったの…？夢を一つ叶えて代償にバレエを無くしただけなのに…。私の人生まで奪われるの…？？。何が夢だ…！何が叶えるだ…！。もういや……。いやあああああ！！！！
希,えりち！！。落ち着いてやえりち！！
絵里,いやああああ！！！もういやああ！！！
希,えりち！えりちってば！！！
絵里,なんで！なんで？！？！
希,えりち！！！
絵里,っ…！
希,しっかりしてよ！そんなんじゃウチまでおかしくなりそうになるやん！！。ウチの知ってるえりちはもっと前向きでポンコツで可愛くて今ある状況で頑張ろうとするんよ！！。今のえりちはえりちやない！！ずっと狂ったように泣き叫ぶえりちなんて大嫌いや！！！
絵里,っ！！！。……ごめんなさい、希…私がどうかしてたわ
希,うん…やっといつものえりちやね
絵里,そっか、今ある状況で頑張る…か。………なら。……希、あのね私言わなきゃいけないがあるの。まずはけじめをつけるべきよね
希,ん？なに？
絵里,…私が急にダンス出来なくなった理由はね、夢を叶えたからなの…
希,夢…？
絵里,好きな人と恋人になれるチョコを食べた…
希,！！！。にこっちや凛ちゃんがいってたやつや…
絵里,食べて希の近くに行ったらね、希が私にものすごい甘えてくれた。恋人とまでいってくれた。でもやっぱりそれってチョコの魔法で希をただ弄んでるだけなんだって気が付いたの。…だからごめん、私たち…別れましょう？。最低なのは私、それで最低だからこそ希とは一緒にいれないの。希みたいに優しくて思いやりがあって当事者のように思いを実感してくれたり…。そんな女神みたいな人…私には似合わないわ。希は本当の希と向き合うべきなのよ…私が食べたチョコの魔法のせいで狂ったその気持ちにさよならするのよ。…さよなら、希
希,えりち……
絵里,近づかないで！！
希,！！！
絵里,もういいの…！希の気持ちを弄んだ罰なのよ…！この代償は…。希はもっと…もっと素敵な人と恋人になって？
希,いやえり
絵里,だから早く出てって！！！。早く！出てってよ！！！
希,っ……。…うん、いくね
絵里,はぁ、もうどうすればいいか分からないわよ……。私ってホントバカ…何がしたいの…。……死のうかしら。もう何もする気が起きないや…。あんなチョコレート一つでここまで崩壊するなんて…。バタフライ効果なんてよく言えたものね…
にこ,希、ちょっときて
希,……いや
にこ,いいから来なさいって
希,…歩けない
にこ,絵里じゃないんだからそういうのやめなさいよね
希,……なぁにこっち
にこ,なに？
希,未来が見えるならウチがこの後どうするか分かるん？
にこ,まぁ大体は
希,その未来…ウチ死んでない？
にこ,さぁ…知らないわ
希,未来が見えるなら教えてくれてもええやん…
にこ,ねぇ凛や絵里もチョコ食べたことは知ってるでしょ？
希,…もちろん
にこ,何もノーリスクで夢を叶えてるわけじゃないのよ
希,どういうこと…？
にこ,自分の何かを犠牲にして夢を叶えてるってこと、凛も絵里も。そして私もね。更に言えばその夢は自分の何かと見合ったものでしか取引出来ないから恋人を作るっていうのは結構大きかったと思うわよ、犠牲が
希,！
