シャニP,以下、P
甘奈,でも、そっかぁ……それなら、ちょっとでもお腹にたまるのが良いよね。何が良いかなー……
甜花,あっ……なーちゃん、この前ドラマでやってた奴
甘奈,あっ、アレ？確かに、メイドさんが出してる場面あったかも！
P,俺には良く分からないが……そういう事なら、任せても良いか？
甘奈,うん！甘奈、ちょっと作ってくるね☆。おっまたせー☆
甜花,じゃんけん、ぽんっ……あぅ
P,あっちむいて……
甜花,っ……
P,ほいっ！
甜花,あっ！……また負けちゃった
甘奈,……あれ？二人とも何やってるの？
甜花,んと……ご主人様と、あっちむいてほいしてた
P,小難しいのよりルール分かりやすいからな
甜花,でも……ご主人様、強くて
P,甜花が素直だったからな……次向く方が何となく分かったんだ
甜花,それって……甜花が弱いって事？
P,うーん……あっちむいてほいが強くてもそんな得する事ないと思うんだけど。……うん、素直な方が甜花らしくて良いんじゃないかな
甜花,そ、そう……？
P,ああ、俺は素直な甜花の方が好きだ
甜花,にへへ……そっか♪
千雪,……プロデューサーさん、随分と手馴れてるんですね？
P,い、いや……別に慣れてるとかそんな事ないぞ？
千雪,本当でしょうか……
甘奈,甜花ちゃん、良いなー……今度甘奈ともしようね！
P,あ、ああ……勿論だ。……それで、何しに行ってたんだ？
甘奈,えっへへ……じゃーん☆オムライス作ってたんだー！
P,おぉ……こりゃまた美味そうなオムライスだな。それじゃ早速……いただきま――
甘奈,あっ、待って！
P,えっ……お預けなんてずるいじゃないか
甘奈,ふっふーん……甘奈はメイドさんなんだよ？
P,……というと？
甘奈,甜花ちゃん、ケチャップとって！
甜花,うん……はい、なーちゃん
甘奈,ありがとー甜花ちゃん！よーし、それじゃあ……
千雪,わぁ……甘奈ちゃん、上手に書くのね？
甘奈,えっへへ……そうかな？褒められるとちょっと照れちゃうかも。……よし、でーきたっ！ご主人様、どうかな？
P,お、おぉ……ハートか、メイドさんっぽいな
甘奈,でしょー？一度やってみたかったんだ☆
P,……じっくり見ると、なんだか照れるな
甘奈,甘奈のたーっぷりの愛情、込めたつもりだよっ！
甜花,…………
甘奈,甜花ちゃん、どうかしたの？
甜花,……甜花、なんもやってない
千雪,あら……
甘奈,大丈夫だよ甜花ちゃん！最後にとーっておきのおまじないするんだから！
甜花,お、おまじない……？
甘奈,うん！えっとね……
甜花,ふぇっ、でも……恥ずかしい
甘奈,甘奈も一緒にやるから、ね？
甜花,な、なーちゃんも……？
甘奈,うん、最後の仕上げ☆
甜花,わ、分かった……甜花も、頑張る！
P,……俺食べていいか？冷めるとアレだし
甘奈,まーだ！行くよ、甜花ちゃん！
甜花,う、うん！……せーのっ
甘奈,萌え萌え～?
甜花,きゅ、きゅん？。あぅ……や、やっぱり恥ずかしかった
甘奈,そんな事ないよ、甜花ちゃんホント可愛かったー！
P,二人ともウチに来てくれたりしないかな
甘奈,……もしもーし、ご主人様―？
甜花,……ひょっとして、嫌だった？
P,はっ！そ、そんな事ないぞ！？ただ驚いてただけだからな！
甘奈,ホントかな～……？
P,か、顔を近づけるんじゃあない！。ダメだ、なんか緊張する！？
甘奈,あっ、照れてる～……。いつもとちょっと違うプロデューサーさん……ちょっと可愛いかも♪
千雪,甘奈ちゃん、どうかしたの？
甘奈,なんでもないよー♪
P,……よ、よし！それじゃ食べ
甘奈,えっ、ダメだよ？
P,えっ？。……え、なんかゲームに勝たなきゃいけないとかか？
甘奈,まっさか、そんなイジワルしないってー！
P,それじゃ、一体どうして……
甘奈,メイドさんといえば、これでしょ？。はい、あーん♪
P,……は、恥ずかしいからやめとかないか？
甘奈,それじゃ練習にならないでしょ！？そ、それに……
P,？
甘奈,あ、甘奈も恥ずかしいんだから……
P,…………
甘奈,ほら、ご主人様！あーんして！
P,あ、ああ……
甘奈,あー……ん
P,あ、む……
甘奈,……どう、かな？
P,……滅茶苦茶美味いじゃないか！こんな美味いオムライス初めて食べたよ！
甘奈,！そ、そっか……
P,俺が作ったとしてもこんな美味くならないぞ……なにか隠し味とかあるのか？
甘奈,へっ、隠し味？
P,……ないのか？
甘奈,……えっへへ、あるよ！でも、ナイショ！
P,良いじゃないか、教えてくれよ
甘奈,ダーメ、時間かけて考えてみてね☆。いっぱいの愛情、詰まってるもん♪
甜花,…………
甘奈,……甜花ちゃん、どうかしたの？
甜花,て、甜花もあーん、したい……
甘奈,ご、ゴメンね！はい、スプーン
P,甜花、無理しなくても良いんだぞ？
甜花,だ、大丈夫……。……はいっ、あーん
P,あ、あーむ……
甜花,ひゃぅ！
千雪,甜花ちゃん、大丈夫！？
甜花,ちょ、ちょっと驚いちゃっただけ……大丈夫
P,…………
甜花,……ご主人様、どう？
P,……ああ、美味しいよ
甜花,な、なーちゃんのおかげだから……
P,確かに、このオムライスだけでも凄く美味しいけどな……。甜花が食べさせてくれたから更に美味しく食べれたんだぞ？
甜花,そ、そうなの？
P,そう、だから甜花のおかげでもあるんだ
甜花,そ、そっか……にへへ
甘奈,…………
P,……甘奈？なんで膨れてるんだ
甘奈,……甘奈の時はそんな事言ってくれなかったじゃん
P,！？いや、言い損ねただけで思ってない訳じゃ
甘奈,甜花ちゃん、もう一回スプーン貸して！
甜花,う、うんっ
P,ほら、甘奈落ち着いて！な？
甘奈,甘奈が食べさせてくれたから美味しかったって言わせてみせるから。……覚悟してよね、甘奈のご主人様♪
P,ふぅ、食った食った……
甘奈,ペロっといっちゃったねー？
P,まぁ、お腹も空いてたし……それに。可愛いメイドさんが食べさせてくれたしな
甜花,にへへ……♪
千雪,…………
P,この調子なら文化祭も順調じゃ……って、千雪？
千雪,なんですか？
P,……ちょっと怒ってないか？
千雪,別に、怒ってないですよーだ
P,本当か？それなら良いんだが
千雪,本当です！私、お皿洗ってきますね
甘奈,えっ、そんな悪いよ千雪さん
千雪,良いのよ、練習続けて？
甜花,いいの……？
千雪,ええ、頑張ってね
甘奈,千雪さん、ありがとう！。……って言っても、何しよう？
P,他に何かやる事とか決まってないのか？
甜花,ううん……メイド喫茶するって、決まっただけ
P,そうか……
甘奈,うーん……何かメイドさんとしたい事とかないの？
P,したい事？
甘奈,ほら、男の人ってメイドさんとか好きなんでしょ？
P,そりゃ……嫌いじゃないけどさ
甘奈,でしょ？だからメイドさんが居たらやりたい事とかないのかなーって！
P,やりたい事、なぁ……。……でもさ、メイド喫茶って癒される為に行くもんだろ？。そういう事なら……うん、俺としては癒しが欲しいかな
甘奈,癒し……癒しかー
甜花,どういう風に……ご主人様は、癒されたいの？
P,そうだなぁ……耳掃除、とか
甘奈,へっ？
Ｐ,あ、悪い……忘れてくれ。最近してないだけなんだ、気にするな
甘奈,でも、して欲しいんでしょ？
Ｐ,……そりゃ、まぁ
甘奈,ふっふーん……それじゃ、ちょっと待ってて！
Ｐ,…………？
甘奈,えーっと……確か、この辺に。あった☆
Ｐ,なんで今耳かき持ってるんだ！？
甘奈,んー、甜花ちゃんにしてあげたら気持ち良いかなーって思って。でも丁度良かった、そういう事ならしてあげられるよね☆
Ｐ,とはいえ、アイドルに耳掃除なんてお願いするのは……
甘奈,もー、違うでしょ？甘奈はメイドさんなんだよ？
Ｐ,……分かった、お願いするよ
甘奈,はーい☆。ほら、プロデューサーさん！こっち寝っ転がって！
Ｐ,……え？
甘奈,どうかしたの？
Ｐ,……いや、なんでもない。膝枕……嫌じゃないのか？
甘奈,ほーら、早く早く！
Ｐ,……それじゃ、失礼するぞ
甘奈,ひゃっ……
Ｐ,……やっぱりやめとくか？
甘奈,う、ううん！全然大丈夫☆
Ｐ,……膝枕なんて、何年ぶりだろう。……ん？
甜花,…………
Ｐ,……じっと見られてると落ち着かないんだけど
甜花,あぅ……ご、ごめんなさい
P,……でも、そうか。耳掃除の間やる事ないもんな。何かいい案は……ふわぁ
甜花,……ご主人様、眠いの？
P,あ、ああ……仕事の疲れでも出たのかな
甘奈,耳掃除されながら寝ちゃっても良いんだよー？
P,そりゃまた、魅力的な提案だな……
甜花,……よし
P,甜花？
甜花,なーちゃん……後、お願いね
甘奈,甜花ちゃん？どこか行くの？
甜花,うん……甜花にしか出来ない事。……終わったら、呼びに来るね？
P,何しに行ったんだ？
甘奈,甜花ちゃんにしかできない……あっ、そっか☆
P,？甘奈には心当たりがあるのか？
甘奈,まーねー☆
P,……教えてくれたりとか
甘奈,ダーメ！甜花ちゃんが折角用意してくれるんだから楽しみに待ってて！
P,用意？……まぁ、分かったよ
甘奈,ほら、甘奈たちも始めよっか！
P,……ん？それ、さっきの耳かきか？
甘奈,違うよ～、最初は綿棒から
P,綿棒ならいつも使ってるんだが……それとは違うのか？
甘奈,白い奴でしょ？それとはまたちょっと違うんだって
P,へぇ……？
甘奈,動いちゃダメだよ……？
P,……っ！？
甘奈,あっ、もうダメだって言ったでしょ～？
P,ちょ、ちょっと待ってくれ甘奈。その綿棒、なんかベトついてないか！？
甘奈,そだよ～？ちっちゃいのならこれで取れるでしょ☆
P,耳かきも奥深いんだな……
甘奈,……ホントは膝枕じゃない方が取れやすいらしいんだけど
P,え、そうなのか？それなら体勢変えて……
甘奈,い、良いから！このままで！
P,いや、だが……
甘奈,あ、甘奈はこっちの方がやりやすいの！
P,そうか……分かった、続きも頼むな
甘奈,まっかせて☆。本当は、ちょっとだけやりづらいけど……。……膝枕、してあげたかったんだもん
P,どうかしたか？
甘奈,……ううん、なんでもないよ♪。……おー、ご主人様溜まってますねー♪
P,そ、そんなにか……？
甘奈,うん、一本じゃ足りないかも。もっと普段から掃除しないとダメだよ？
P,は、はーい……
甘奈,うん、よろしいっ♪
P,……なんか、メイドさんってか母親みたいだな
甘奈,もう、甘奈そんな年じゃないのにー
Ｐ,悪い、そんなつもりで言ったんじゃないんだ。なんというか……安心感があるっていうか
甘奈,……そっか♪
P,なんで嬉しそうなんだ？
甘奈,えっへへ……なんでだろーねー？
P,？
甘奈,……よし、これでオッケー！。それじゃ、今から耳かき使うねー
P,あ、ああ……
甘奈,……今度は本当に動いちゃダメだよ？
P,わ、分かった……
甘奈,すー、はー……よし
P,耳の中になにか……？
甘奈,……っ
P,……っ
甘奈,あっ、痛かった！？
P,だ、大丈夫だ……続けてくれ
甘奈,痛かったらすぐ言ってね？
P,ああ、分かった
甘奈,……よし
P,さっきより力が強くなった……！
甘奈,力抜いててねー……
P,！
甘奈,ふー、とれたー……プロデューサーさん、もう起きていいよ☆
P,ああ……どうなったんだ？
甘奈,うん、こーんなおっきいの取れちゃった☆
P,げっ、道理で聞こえづらかったわけだ……
甘奈,少しはマシになった？
P,ああ、バッチリだ
甘奈,……良かった♪。それじゃ、反対側やるからこっち向いて寝転がって
P,いや、でもそれだとお腹に顔が
甘奈,大丈夫だから、ね？
P,……分かった、任せるよ
甘奈,わっ……
P,…………。……これ俺も恥ずかしいな！？
甘奈,あ、あんまり匂いとか嗅いじゃダメだからね？
P,嗅がないから！じっとしておく！
甘奈,…………
P,……でも、こうしてるとなんだか
甘奈,プロデューサーさん？
P,………すぅ
甘奈,……おやすみ、プロデューサーさん。……終わったよ、プロデューサーさん♪
P,…………ん
甘奈,気持ちよさそうだったねー？
P,悪いな……重かったか？
甘奈,ううん、ぜーんぜん☆。でも、折角寝てたなら……。……もう少しだけ、このままでも良かったかな
P,……甘奈？
甘奈,ひゃっ！？ど、どうかしたの？
P,甘奈こそどうかしたのか、心ここにあらずって感じだったけど
甘奈,べ、別にそんな事ないから！
P,？そうか……。それにしても、甜花は何処に行ったんだ？呼びに来るって言ってたが……
甘奈,甜花ちゃん、きっと寝ちゃってるんだよ
P,寝て……？
甘奈,うん、こっちこっち☆
甜花,すぅ……すぅ……
P,仮眠用のベッドで寝てるな……布団潜ってないけど
甘奈,きっと用意してる間に寝ちゃったんじゃないかな。あんまり起こしたくないけど……甜花ちゃーん？
甜花,あぅ……あ、なーちゃん
甘奈,おはよう、甜花ちゃん☆
P,甜花、おはよう
甜花,あっ、ご主人様……おはよう、ございます
P,何してたんだ？
甜花,お、お昼寝の用意……してた
P,お昼寝……え、昼寝？
甘奈,甜花ちゃんなりのベッドメイキングだもんねー☆
甜花,う、うん……甜花、気持ちいいお昼寝にできるように用意してたんだけど。て、甜花が寝ちゃってた……ごめんなさい
P,俺の方こそ待たせて悪かったな……別に寝てても良かったんだけど
甜花,でも、なーちゃんも頑張ってるし……甜花も、頑張らないと
P,……そっか、よく頑張ったな
甜花,にへへ……
P,それで、お昼寝の環境は用意できたのか？
甜花,うん……ばっちり
甘奈,甜花ちゃん、さっすがー☆
甜花,……それじゃ、ご主人様も寝てみる？
P,甜花お手製のお昼寝スポットは気持ちよさそうだけど……
甜花,気にしなくていい、から……あふ
甘奈,甜花ちゃん、眠い？
甜花,ん……
甘奈,そっか……
P,そういう事なら、甜花がこのベッドで寝れば――
甘奈,そうだ！そういう事なら――
甜花,にへへ……なーちゃんもプロデューサーさんも一緒。……あっ、呼び方間違えちゃった
甘奈,もう良いんじゃない？甘奈たち、メイドさんっぽい事は十分したもん☆
P,……それで文化祭は大丈夫なのか？
甘奈,大丈夫、何となくだけど分かったから♪
P,……それなら、良いけど
甜花,プロデューサーさんも……甜花たちのお店、見に来てね？
P,ああ、見に行くよ。……俺入れるよな？
甘奈,どうだろ……頼んでみる！
P,不審者扱いされなきゃ良いんだけどな……
甜花,……あのっ、プロデューサーさん
Ｐ,どうした？
甜花,も、もうちょっとだけ……そっち寄っても、良い？
Ｐ,俺は構わないが……
甜花,や、やった……♪。にへへ……あったかい
Ｐ,……リラックスできるなら良かったよ
甘奈,甘奈もやーろっと☆
Ｐ,おいおい……
甘奈,……だ、ダメ？
Ｐ,……良いよ
甘奈,えっへへ、やった♪
Ｐ,……甘奈、最初から聞く気なかったろ
甘奈,プロデューサーさんなら許してくれると思ったんだもーん♪
Ｐ,……まったく、これじゃ落ち着いて眠れないじゃないか
甘奈,プロデューサーさん、ドキドキしてるの？
Ｐ,そりゃ、俺も男だしな。可愛い現役アイドル二人に抱きつかれたらドキドキするに決まってる
甜花,か、可愛い……にへへ
甘奈,……良かったぁ
Ｐ,……良かったってなんだ？
甘奈,なんでもないよー☆
甜花,……♪
Ｐ,甜花はリラックスしてるな……昼寝するつもりなんだから当たり前か
甘奈,…………
Ｐ,……甘奈も寝て良いんだぞ？
甘奈,ふぇっ？
Ｐ,だって、さっきから眠そうじゃないじゃないか。折角ベッドに潜ってるんだ、ゆっくり寝た方が疲れも取れる
甘奈,むぅ……それは、そうなんだけど。……プロデューサーさんとこうする機会なんて、滅多にないんだもん
Ｐ,機会……すまん、良く聞こえない
甘奈,良いの！気にしないで！
Ｐ,そうか？そういう事なら、追求はしないけど
甘奈,そのうち甘奈もちゃんと寝るって、大丈夫だよ☆
Ｐ,……ん、いい子だ
甘奈,えっへへ……♪
Ｐ,……それにしても、懐かしいな
甘奈,懐かしい？
Ｐ,あぁ、親子3人川の字で寝た事を思い出してな。あの時はまだ小さかったんだけどな
甘奈,へぇ……甘奈、プロデューサーさんの子供の頃の話なんて初めて聞いたかも
Ｐ,面白い話じゃないからな、特にする機会がなかっただけだ
甘奈,……甘奈、聞いてみたいなー
Ｐ,……ホントに面白みのない話だぞ、良いのか？
甘奈,それでも、聞いてみたい事ってあるでしょ？
Ｐ,……分かった、また時間が合ったらな
甘奈,……うんっ！
甜花,すぅ……
Ｐ,……娘二人、俺には勿体ないな
甘奈,へっ、娘……？
Ｐ,…………ぐぅ
甘奈,……寝ちゃった。娘、娘かぁ……。……甘奈、お嫁さんが良かったなー
Ｐ,んくっ……
甘奈,ふふっ、変な顔……。……これからもよろしくね、プロデューサーさん
七草はづき,以下、はづき
千雪,いえいえ……このくらいはお安い御用ですよ。私とはづきさんの仲じゃないですか
はづき,そう言って貰えると助かります～。でも、良かったんですか？さっき、何かユニットで打ち合わせをしてたんじゃ……
千雪,大丈夫ですよ、プロデューサーさんがいますから♪
はづき,……それもそうですね～
千雪,それじゃ、私そろそろ戻りますね。甘奈ちゃんも甜花ちゃんも……上手くやれてるかしら。……あら？誰も居ない？。どこ行ったのかしら……。お昼寝でもしてるのかしら。プロデューサーさ――
P,……ぐぅ
甜花,にへへ……♪
甘奈,えっへへー……♪
千雪,…………。……もう、仲良しなんだから
