本田未央,――みんなと、もっとお近づきになる方法？
武内Ｐ,付け加える……？
未央,そう。おはようございます。今日もいい天気ですねとか、お疲れ様です。今日はどうでしたかとか……。ホントにちょっと、何でもないことでもいいからさ。プロデューサーの敬語口調は、確かに真面目でいいと思うけど――捉え方によっては、事務的な感じがしちゃう場合があるからね
武内Ｐ,なるほど……。挨拶だけで終わらせず、もう少し歩み寄る――ということでしょうか
未央,そうそう。そういうのを意識してやってみてよ
武内Ｐ,ありがとうございます、本田さん。とても参考になるお話でした
未央,ホント？えへへ
武内Ｐ,……ちなみに、本田さんでしたら、どのような言葉を付け加えるのでしょうか？
未央,んー、私はねー……、外見を褒めたりとかかなー
武内Ｐ,なるほど
未央,今日もかわいいねーとか、髪型決まってるねーとか。あと、茜ちんはボンバー！とかだね。一緒にやると元気出るよー！
武内Ｐ,なるほど……。ありがとうございます。早速、実践してみようと思います
未央,うん。頑張ってね！
武内Ｐ,では早速、今日から実践していきましょう。本日は、最初に誰がいらっしゃるでしょうか
渋谷凛,おはようございます
武内Ｐ,渋谷さん、ですね。今日は朝から、トライアドプリムスでのレッスンの予定でしたか。では、まずは挨拶を――。おはようございます、渋谷さん
凛,あ、おはよう、プロデューサー
武内Ｐ,続けて、一言を……。しかし――何を言えば良いのか、咄嗟に出てきません……。それに、渋谷さんはクールでどこか大人びていますから、あまり雑談の類は好まないのかもしれませんね……。いえ、しかしアドバイスを下さった本田さんとは仲が良いわけですし、よくお話もされています――。ならば、ここはその本田さんの仰ったことを参考にしましょう。そう、本田さんの教えを参考に――。渋谷さん、今日もとてもお美しい髪ですね
凛,――！！。ゲホッ！ゴホッ……！！
武内Ｐ,し、渋谷さん――！？どうしました！？大丈夫ですか！？
凛,……ゴホッ。いや、大丈夫じゃないし、どうしたのか聞きたいのはこっちだよ……。なに、プロデューサー。ナンパか何かの練習……？
武内Ｐ,い、いえ……。実は――
凛,ふーん。みんなと仲良くなるための未央のアドバイス、ね。まぁ、未央の言ってることは正しいと思うよ。未央らしいって思う。でもそれってさ、参考にしろってことで、丸々真似しろってことじゃないでしょ？。アドバイスを受けたら、それをプロデューサーのものにした上で実践しなきゃじゃない？
武内Ｐ,はい……仰る通りです……
凛,それに――特にプロデューサーの場合、外見を褒めるっていうのは、あんまりおすすめしないな
武内Ｐ,……と、仰いますと？
凛,だって、プロデューサー、髪を褒めるぐらいはまだ良いとしても――例えば、いきなり胸やお尻について言及したら、相手はどう感じると思う？
武内Ｐ,それは、その……。私が言えば、セクハラと思われても仕方ないかと……
凛,だよね。それに人によっては、他人には魅力的に見える所でも、自分ではコンプレックスでマイナスに感じてる――なんて場合もあるんだよ。だから、外見を褒めるっていうのは――特にプロデューサーみたいなのは気を付けないと、むしろ相手との距離が開くことにもなりかねないよ？
武内Ｐ,な、なるほど……。申し訳ありません、配慮が足りませんでした……。では、これからはもっと、当たり障りのないことを――
凛,って言っても――厳しいことを言わせてもらえば、このことに関しちゃ、アンタのセンスじゃ信用ならないかもね
武内Ｐ,う……、すみません……
凛,……だから、一言挨拶の後に付け足すなら、今度からはこう言いなよ
武内Ｐ,……それは？
凛,――愛しています
武内Ｐ,！？。いえ、あの渋谷さん……それは流石に……
凛,何？何か問題ある？
武内Ｐ,はい……。そういった言葉を、アイドルの皆さんにかけるのは……
凛,分かってないね、プロデューサー。プロデューサーだって、自覚してるでしょ？自分とみんなの意識、認識がすれ違う、食い違うことが間々あるって
武内Ｐ,はい、それはその通りですが……
凛,未央も言ってたみたいだけどさ――。プロデューサーの私たちへの態度って、敬語で真面目だけど――場合によっては、私たちとビジネスライクにしか接してないのかな、って受け取られると思うんだよね
武内Ｐ,いえ、そんなことは……。私は皆さんのことを考えて……
凛,でも、それが伝わらなきゃ意味が無いんだよ。みくたちのデビューのことだって、言葉にしなきゃ伝わらなかったでしょ？
武内Ｐ,……それは、確かに
凛,そう。私たちアイドルは考えちゃうんだよ。この人は、自分と仕事上の付き合いしかする気は無いんだって。確かに、両者の繋がりは、アイドル業とプロデュース業――仕事の関係だし、親密になり過ぎて、一線を越えるようなことがあればスキャンダルだよ。ただ――だからって表面を浅くなぞるだけの付き合いじゃ、相手のことなんて分からない。それじゃ、プロデューサーの思い描くような笑顔にはたどり着けないよっ！
武内Ｐ,た、確かに、それは私も同感ですが……
凛,そう――だから、毎日毎回、毎度毎度ちゃんと言葉で伝える必要があるんだよ。愛しているって。私はあなたのことを考えています。私はあなたを愛し、もっと知り、輝かせたいと思っていますって……
武内Ｐ,仰っていることは分かります……
武内P,しかしですね――やはりそのような言葉は、聞く側の方に誤解を与えることも――
凛,プロデューサーは、私たちのこと嫌い？
武内Ｐ,いえ、そのようなことは――
凛,仕事だから仕方なく付き合ってる？
武内P,いえ、そんなことは――
凛,年頃の小生意気な女なんて鬱陶しいって思ってる？
武内Ｐ,そんなことはありません。私は皆さんをプロデュースできることを誇りに思っています
凛,年下の長髪で蒼が似合う花屋の娘なんて、論外だって思ってる？
武内Ｐ,違います！決してそんなことは――
凛,だったら言えるよね？
武内Ｐ,そ、それは……
凛,まぁとりあえず、練習ってことで、まずは私に言ってみなよ
武内Ｐ,いえ、ですが……
凛,言ってみなよ
武内Ｐ,は、はい……
凛,大丈夫。少なくともシンデレラプロジェクト内で、変な意味に捉える子はいないよ
武内Ｐ,で、では渋谷さん……
凛,はい
武内Ｐ,おはようございます……
凛,おはよう。プロデューサー
武内Ｐ,あ、愛しています……
凛,……んっ。……ふぅ……
武内Ｐ,……あの、渋谷さん？
凛,………………はっ！。いけないいけない……。停止ボタン……
武内Ｐ,どうだったでしょうか……？
凛,うん？
武内P,いえ、私の言葉は……
凛,……ああ、うん良いんじゃないかな。よく撮れてると思うよ
武内Ｐ,……？
凛,た、ただ、まだぎこちないからね。次までにもっと練習しときなよ。じゃあ、私は行くから……
武内Ｐ,レッスンまでは、まだ時間がありますが……？
凛,トイレで……いやトイレに行くの。……全く、プロデューサー、デリカシーないよ
武内Ｐ,す、すみません！。最初から躓いてしまいましたが――しかし、渋谷さんのおかげで、改善もできたように思います……。この感じを早く自分のものにしなくては……！
島村卯月,おはようございますっ！
武内Ｐ,次の方は島村さんですね。では、渋谷さんのアドバイスも参考に、挨拶をしてみましょう……。島村さん、おはようございます
卯月,あ、プロデューサーさんっ！おはようございますっ！。今日も頑張り――
武内Ｐ,愛しています
卯月,！！？？。あっ、あ……
武内Ｐ,……？島村さん？
卯月,ひゃ、ひゃいっ！？
武内Ｐ,……大丈夫ですか？
卯月,ひゃい！！頑張りますっ！！。わ、私もプロデューサーさんのこと、あ、愛して……あの……！！//////
武内Ｐ,し、島村さん！？
卯月,……ます……
武内Ｐ,はい？
卯月,ガンバリマスーーー！！！
武内Ｐ,！？。島村さんは、少し顔が赤かったようですが……。もしかしたらお疲れで、無理をしているのかもしれません。後でトレーナーさんに、様子を伺っておきましょう
未央,お。おーはよっ！プロデューサー！
武内Ｐ,おはようございます、本田さん。あいし――
未央,ねぇねぇ、どう？その後、私のアドバイスは役に立った？
武内Ｐ,はい。本田さんのアドバイスは渋谷さんのアドバイスと合わせて
未央,そっかそっか。良かったよー！。あ、それでさっ！お節介かもしれないけど、私なりにもっとプロデューサーがみんなと仲良くなれるアイデアを考えてきたんだっ！聞いてくれる？
武内Ｐ,そ、それは……。ありがとうございます。ぜひ、聞かせて下さい
未央,えへへ、そこまで言われると照れちゃうけどね……。プロデューサー、今度はさ、ちょっとスキンシップいってみようよっ！
武内Ｐ,スキンシップ、ですか……。いえ、しかしそれはどうなのでしょうか……。あまり安易には……皆さんも年頃の女性ですし……
未央,もー、プロデューサー？私たちのことガラス細工か何かと思ってない？。そんな、ちょっと触ったくらいで壊れたりしないってば
武内Ｐ,いえ、しかし場合によっては――
未央,セクハラだーって？そんなこと、プロジェクトのみんなは思わないって。それに、何もベタベタ撫でまわせって言うわけじゃなくてね
武内Ｐ,……と、仰いますと？
未央,ほら、私たち最近はお仕事増えてきたけどさ――やっぱりライブの前とか、まだまだ緊張することも多いんだよ。そんな時に、プロデューサーから軽く背中を押してもらったり、肩を叩いてもらったら、すっごい安心できると思うんだよねー
武内Ｐ,私が、ですか……？
未央,そうそう。プロデューサー、みんなから信頼されてるんだからっ！
武内Ｐ,それは……その、プロデューサー冥利に尽きると言いますか……。とてもありがたいお話です
未央,ふふ……。男冥利に尽きてもいいのよ～？。まぁ、とにかく――そんな風に、プロデューサーがみんなに発破をかけてあげたら、いいんじゃないかなって思って。言葉だけじゃなく、行動でも示していったらいいんじゃないかな
武内Ｐ,なるほど……。それで皆さんの仕事への志気が高まるというのなら……。ありがとうございます、本田さん。こちらも参考にさせていただきます
未央,えへへっ！こっちこそ聞いてくれてありがとねっ！
武内Ｐ,では、昨日に引き続き、今日も実践していきましょう
凛,おはようございます
武内Ｐ,昨日に引き続き、渋谷さんは朝からレッスンでしたね。では、早速――。おはようございます、渋谷さん
凛,おはよう、あな――ゴホッ
武内Ｐ,……？
凛,……おはよう、プロデューサー
武内Ｐ,では、スキンシップを……。いえ、本田さんが仰ったのは、仕事の前に行うと良い、という話でしたか……。ならばここは、一言付け加えて――
凛,……プロデューサー？何、腕挙げて固まってるの？
武内Ｐ,いえ、あの……
凛,……私に触りたいの？
武内Ｐ,いえ、実は――
凛,なるほど。未央から更にアドバイスをもらったんだね
武内Ｐ,はい
凛,まぁ、未央の言うことには私も同意するよ。私も含め、みんなプロデューサーを信頼してるからね。一歩踏み出す手助けをしてくれたら、自信を持って駆けていけると思う。……ただそれでも、一つ言っておきたいこともあるかな
武内Ｐ,それは……？
凛,確かに、プロジェクトのみんなはアンタを信頼してるし、その真面目な性格も分かってる。だから、セクハラなんて言う子はいないと思うよ。でも、当事者間では良くても――第三者から見たらどうかな？
武内Ｐ,それは、どういう……？
凛,第三者――それも悪意を持った第三者だよ。シンデレラプロジェクトも人気が出てきて、みんな今はそれぞれの仕事で忙しい。そして、いろんな人が注目してる訳だけれど――。それは逆に、そんな新進気鋭の、期待の集まるアイドルたちのスキャンダルを掴んでやろう……なんて、考える連中だって出てくるってことでもある。彼らにとって、プロデューサーとアイドルのスキンシップなんて格好の餌――。そこに当人同士の感情なんて関係無い、勘定なんてしない――。ちょっとでも取っ掛かりがあれば、こじつけ、曲解、拡大解釈で以って、あること無いこと記事にしてくるよ？。例えそれが、馬鹿馬鹿しい、根も葉も無いものだったとしても――私たちの活動に、絶対に影響を及ぼさないとは言えないでしょ？
武内Ｐ,確かに、否定はできません……。そういった側面が芸能界にあるのも事実です……。渋谷さんの仰る通りですね……。では、本田さんのアドバイスは、彼女には申し訳無いですが、控えた方がいいでしょうか……
凛,いや、そうでもないよ。未央が一生懸命考えたアイデアだもの――仲間として、それを安易に却下なんてできない。だからやっぱり、今回もプロデューサーが工夫しなくちゃ
武内Ｐ,工夫……ですか
凛,――プロデューサー、こういう時はね、逆に考えるの
武内Ｐ,逆……ですか？
凛,そう、プロデューサー、逆に考えて――。触っちゃってもいいさ、って考えるの
武内Ｐ,……どういうことでしょうか？
凛,プロデューサーのスキンシップは、悪意ある人が見れば、アイドルへのセクハラに見えてしまう――。だったら、セクハラなんて誤解、曲解ができないくらい、はっきりとした行動で以って、アイドルを勇気づけてあげるんだよ！！
武内Ｐ,！！
凛,具体的には、そうだね……両肩をがっしり掴んであげるのなんて良いんじゃないかな
武内Ｐ,両肩を……
凛,そう。それでしっかり目を見て、向き合うの。そうすれば、例えそれが写真に撮られて、どっかのゴシップ誌なんかで取り上げられたとしても――。誰がどう見てもそれは、不安がるアイドルと、それを元気付けるプロデューサーっていう、美しい構図になるはずだよっ！！。むしろ、そんな感動的な場面を下種な邪推で汚すなんて、出版社にクレームの嵐だねっ！！
武内Ｐ,な、なるほど……
凛,じゃあ、練習がてらちょっとやってみようか
武内Ｐ,さ、早速ですか？
凛,うん。昨日教えた、挨拶も交えてね
武内Ｐ,……挨拶まで交える必要は、無いのでは――
凛,疑問を交える必要こそないよ
武内Ｐ,は、はい、すみません！。そ、それでは……、渋谷さん
凛,もう少し、強くてもいいよ
武内Ｐ,で、では……
凛,……んっ
武内Ｐ,渋谷さん、おはようございます
凛,うん
武内Ｐ,今日も、愛しています
凛,あっ――！！！。――！！――――！！！
武内Ｐ,……あの、渋谷さん。だ、大丈夫ですか？すみません、強く掴み過ぎたでしょうか……？
凛,……うん。問題ないよ
武内Ｐ,で、ですが、顔が赤いようですし……膝も震えて……
凛,何も問題は無い
武内Ｐ,いえ、しかし、そんな状態でこの後のレッスンは――
凛,何も、問題は、無い
武内Ｐ,は、はい……
凛,ホントに大丈夫だよ。ちゃんと下着の替えはあるから。じゃあ私、イって……、行ってくるね、レッスン
武内Ｐ,はい……。あの、お気をつけて……
前川みく,それじゃ、まずはみくがステージに出て、バッチリお客さんのハートを掴んでくるにゃ！！
木村夏樹,ああ。期待してるぜ
多田李衣菜,ロックに決めてきてよね！！
安部菜々,あ、あの、みくちゃん！！
みく,うん？どうしたの？
菜々,ナナからの元気の出るエール、受け取ってくださいっ！
みく,ホント？ありがとね！
菜々,みくちゃん……
李衣菜,おお、菜々ちゃんがみくちゃんの両肩を掴んで――
菜々,――ＧｏｏｄＬｕｃｋ
武内Ｐ,渋谷さん……彼女も疲れが溜まっているのかもしれませんね……。今日のレッスンの結果次第では、メニューの変更も提案してみましょう……。ただ、あそこまで明確なアドバイスはとてもありがたいですね。本田さんと渋谷さんのためにも、私ももっと精進しなくては……
卯月,お、おはようございます……
武内Ｐ,島村さんがいらっしゃいましたね。……少し、元気が無いように見えます。何か、悩みがあるのかもしれません。彼女のためになるのかは分かりませんが――先ほどのアドバイスを早速、活用しましょう……！。おはようございます、島村さん
卯月,ひゃ、ひゃい！！おはようございますっ！！///
武内Ｐ,私などでも、島村さんに元気を与えられるのならば――それに越したことはありません……！！。島村さんっ！
卯月,ひゃんっ！？//////
武内Ｐ,――いけない！少し驚かせてしまいました。ここはなるべく、優しく……。――今日も愛しています
卯月,。こ、こく……は……//////
武内Ｐ,し、島村さん……？
卯月,が、ががガガガガッッ！！！
武内Ｐ,！？
卯月,ガンバリマスゥゥゥウウウウウウ！！！！
武内Ｐ,島村さん……レッスンは問題無くこなしたようですが、大丈夫でしょうか……。後で何か、お見舞いの品をお家へ届けた方がいいかもしれませんね……
未央,おはよーう！！プロデューサー
武内Ｐ,おはようございます、本田さん。今日もあいし――
未央,んでんで？その後の進捗はどんなカンジ？
武内Ｐ,はい。本田さんからのアドバイスは渋谷さんのアドバイスと交えて
未央,そっかそっか！！これでプロデューサーもみんなと結構仲良くなれたかな……？
武内Ｐ,正直――まだ、はっきりと実感は出来ません。しかし、着実に前に進んでいる手ごたえは感じています
未央,おぉー。いい感じじゃん！
武内Ｐ,本当にありがとうございます、本田さん。本田さんに相談して良かったと、思っています
未央,え、えぇ……///。もー！やめてよー！照れるじゃんっ！！///。……じゃあ、そんな嬉しいこと言ってくれたプロデューサーに――最後のアドバイス
武内Ｐ,最後の……。はい、聞かせて下さい
未央,プロデューサー、アイドルのみんなと接する時、一番大切なものってなんだか分かる？
武内Ｐ,一番大切なもの……。――そうですね、相手への配慮、気遣い、でしょうか……
未央,プロデューサーらしいね。それも間違いじゃないよ。――でも、私がこの場合言いたいのはね……
武内Ｐ,……はい
未央,笑顔です
武内Ｐ,！！。なるほど……。確かに言われてみれば、アイドルに限らず、対人関係を円滑に進めるには、それが一番ですね……。私としたことが、基本を失念していました……
未央,あははー。なんかプロデューサー、反省ばかりしてるねー
武内Ｐ,……しかし、その……言い訳と取って頂いても構わないのですが……。お恥ずかしい話――私自身、笑顔というものが上手く作れないのです。以前に、促されて笑顔を作ってみたこともありましたが――
武内P,自分で言うのもなんですが、それはとても見れたものではない、笑顔とは程遠いものでした……
未央,うーんとね、プロデューサー。無理に笑顔を作らなきゃって、考えなくていいと思うよ？
武内Ｐ,そう……なのですか……？
未央,うん。確かにプロデューサー、笑顔は作れないかもしれないけど――。でも、笑えないわけじゃないもん。プロデューサー自身が気付いてないだけでさ、プロデューサーはとっても温かい笑顔を持ってるよ。それが出る時って、多分――プロデューサーがみんなのことを心から考えて、想ってくれてる時だって私は思うんだよね。プロデューサーは、きっと嘘がつけないんだよ。だから、取り繕った作り笑いって苦手なんじゃないかな。でも、そんなプロデューサーが笑った時は、それは心からの笑顔ってことだよっ！。だから、自信を持ってっ！！
武内Ｐ,本田さん……。ありがとう、ございます……。あなたをプロデュースできることを、私は誇りに思います
未央,えへへ……。私も、プロデューサーのプロデュースで良かったって思うよっ！
武内Ｐ,頂いたアドバイスで、私ももっと皆さんを輝かせられるように頑張ります
未央,頑張れっ！プロデューサー！私もそれに負けないくらい、頑張るからっ！！
武内Ｐ,はい！。昨日のことがあったからでしょうか。心なしか、体が軽い気がしますね。より強く、今日も頑張ろうという気になります
凛,おはようございます
武内Ｐ,おはようございます、渋谷さん
凛,おはよう、あなた
武内Ｐ,……？
凛,コホン――プロデューサー、おさらいのためにも、昨日教えたことをやってみてよ
武内Ｐ,はい。分かりました。……渋谷さん
凛,……うん
武内Ｐ,――愛しています
凛,――――！！？？？。あ、あぁぁ…………
武内Ｐ,し、渋谷さん……！？。大丈夫ですか……？あの、座り込んでしまって……
凛,あ……あぁ……。……は……はんそく、だよ……それは……。きょ……きょうは、あぶないのに……。もらっちゃった……
武内Ｐ,渋谷さん……腹痛ですか？その、辛ければどなたか呼んで――
凛,…………大丈夫。大丈夫だよ、プロデューサー。私、ちゃんと産むから
武内Ｐ,！？。……あの、それはどういう――
凛,名前、一緒に考えてくれるよね？
武内Ｐ,新曲か何かの話でしょうか？――そのような連絡は受けていませんが
凛,ふふ、無限大の未来のあるこの子のためにも、私頑張ってくるよ
武内Ｐ,いえ、そんな千鳥足でレッスンへ行かせるわけには……
凛,たくさんの笑顔――この子にも、あなたにもあげるから！！
武内Ｐ,し、渋谷さんっ！？。渋谷さんは行ってしまいました……。やはり心身に疲労が残っているのかもしれません……。一度、スケジュールについて相談するべきですね
卯月,…………ｵﾊﾖｳｺﾞｻﾞｲﾏｽ
武内Ｐ,島村さん、今日も元気が無いように見えますが……やはり何か思い悩んでいるのでしょうか……。言葉にしなければ伝わらないこともある……。私の心配も、彼女の悩みも――やはり話し合ってみなければ、通じ合えませんね。島村さん、おはようございます
卯月,は、はいっ！プロデューサーさんっ！おはようございますっ！！
武内Ｐ,……島村さん。単刀直入にお聞きしますが――。何か――悩んでいるのではありませんか？
卯月,えっ、あの……
武内Ｐ,私で相談に乗れることなら、遠慮せず仰って下さい
卯月,そ、そんな……、大丈夫です……。これは私の問題で――。私が頑張って、結論を出さなくちゃいけなくて……
武内Ｐ,……そう、なのですか
卯月,早くしなきゃ、プロデューサーさんにも迷惑だって思うんですけど……。……でも、私こんなこと初めてで……
武内Ｐ,……島村さんがそう仰るなら、無理には聞きません。しかし――どうしても辛くなったら、どなたかに相談してみて下さい。あなたは、一人ではありません。皆さん、島村さんのことを大切に想っています
卯月,プロデューサーさんも……。プロデューサーさんも、そう思ってくれていますかっ！？。私のこと――私なんかのことでも――！！
武内Ｐ,もちろんです。私は、あなたのプロデューサーですし、それに――。あなたを愛していますから
卯月,――――！！
武内Ｐ,――！？あ、あの島村さん……！？
卯月,えっ……？
武内Ｐ,いえ、涙が……
卯月,あっ……。ご、ごめんなさいっ！私っ！！！
武内Ｐ,……良ければ、使って下さい
卯月,は、はい……。ごめんなさい……。こんなとこ見せちゃって……
武内Ｐ,落ち着きましたか？
卯月,は、はい……。あっ、ハンカチ、洗って返しますね！
武内Ｐ,いえ、お気になさらないで下さい
卯月,だ、ダメですよっ！プロデューサーさんに悪いですし！。……は、恥ずかしいですし
武内Ｐ,……？
卯月,とにかく！今度、洗って返しますからっ！
武内Ｐ,そこまで仰るのなら……お願いしますが……
卯月,だから――返す時に……。一緒に、私の答えも――プロデューサーさんへのお返事も、伝えますから……
武内Ｐ,お返事――悩みを打ち明けて下さる、ということですね。分かりました。お待ちしています
卯月,はっ、はい///
凛,ふっ……ふっ……ふっ……
北条加蓮,……凛、なんか気合入ってるね。ダンスのキレがいつもより違うよ
神谷奈緒,いや、違うっていうか――いろいろおかしいけど……
トレーナー,あー……、渋谷。ちょっと休んだらどうだ……？
凛,いえ、まだいけます
トレーナー,いや……。いけると言うなら、そのダンスをだな……
奈緒,上半身のキレのある動きに比べて、あの下半身はなんだ……？
加蓮,腰砕けにでもなったみたいにガクガクしてるけど
凛,私は、立ち止まるわけにはいかないの。プロデューサーと、この子のためにもっ！！
五十嵐響子,おはようございまーす
小日向美穂,あっ、響子ちゃん。おはようございます
響子,おはよう、美穂ちゃん。それに――。卯月ちゃんは、どうしたの……？
卯月,あっ、あの……その……
美穂,実は……
響子,ええっ！プロデューサーさんに愛してますって言われたっ！？
美穂,しかも、両肩を掴まれて微笑みかけるように、だって
響子,そっ、それって……告白なんじゃ……
卯月,や、やっぱり、響子ちゃんもそう思いますか？
響子,う、うん。どう見ても、そうだよ……。と言うか、もはやそれってプロポーズなんじゃ……
美穂,ですよねぇ……
響子,もしかして、最近ちょっと様子が変だったのも、そのせい？
卯月,はい……。私、どうしたらいいんでしょう……。もちろん、プロデューサーさんのことは好きです。でも――私、まだ学生だし……それにアイドルだし……。プロデューサーさんは私のこと、とっても想ってくれているみたいなんです……。でも、私自身は、プロデューサーさんのこと、ホントのところは、愛しているのかなって……。それに、ホントに私にそんな魅力あるのかなって、思っちゃって……。怖いんです……。もし、プロデューサーさんの気持ちに応えても、その気持ちに応え切れなかったら……。答えを出すのが――怖い……。がっかり、されちゃうんじゃないかって……
響子,……卯月ちゃん。卯月ちゃんは、プロデューサーさんに告白された時、どう思いました？
卯月,それは……びっくりして、あたふたして……それで……
響子,……それで？
卯月,――嬉しいって、思いました
美穂,卯月ちゃん……
卯月,とっても嬉しくって――想像した以上に嬉しくって……。温かくって……私も、プロデューサーさんに、その温かさを伝えて、私からも、いっぱいお返ししてあげたいって……。そう、思いました……
響子,だったら、その気持ちに従えばいいと思う。それが一番だよ
卯月,で、でも！私、アイドルだって続けたいんですっ！。美穂ちゃんと響子ちゃんとだって、まだまだ、もっともっと一緒に活動していきたいんです！。なのに、こんなこと……二人の迷惑になっちゃいます……
美穂,――卯月ちゃん。私も、響子ちゃんと同じ意見だよ
卯月,美穂ちゃん……
美穂,私もね――卯月ちゃんと響子ちゃんと、もっと一緒にいろいろやっていきたいって思ってます。だからそのためにも、この問題はしっかり答えを出さなきゃいけないって思うの。卯月ちゃんが、ちゃんと納得できる答えを
卯月,でも、私……
美穂,あのプロデューサーさんは、とても真面目で、実直で優しくて……。卯月ちゃんのこと、すごく考えているって私にも分かるんです。卯月ちゃんへの言葉だって、きっと心の底からのものですよっ！。――大丈夫。例え何があっても、あのプロデューサーさんは卯月ちゃんのために動いてくれる。だから卯月ちゃんは、プロデューサーさんに自分の本心をちゃんと伝えてあげてください。それで卯月ちゃんは、プロデューサーさんに目いっぱい、お返しをしてあげて？。それで大丈夫ですから
卯月,美穂ちゃん……響子ちゃん……。私……私は……。私は――！
武内Ｐ,皆さん、おはようございます。今日は、久しぶりにシンデレラプロジェクトの全員が集まる日ですね
奈緒,しかし、ホントにいいのかな……アタシたちまでここに居ちゃって……
加蓮,もー、いつまで言ってんの？奈緒
凛,そうだよ。変な遠慮とかいらないよ？
新田美波,うん。みんな、同じプロダクションの仲間なんだから。緊張しないで？
アナスタシア,ダー。にぎやかなのは、とってもいいことです
神崎蘭子,幾重にも響き合う音色は、子羊達に新たな祝福を与えんっ！！こうして一緒にお仕事ができる仲間が増えて、私も嬉しいです！！
白坂小梅,ここ、とっても温かくて、あの子も喜んでる、よ……
緒方智絵里,こうして、またみんなで集まると――最初の頃を思い出して……でも新しい仲間も増えて……なんだか不思議な感じだなぁ
三村かな子,そうだね。みんなのためにお菓子、たーくさん作ってきた甲斐があったよー♪
双葉杏,……まぁ、この騒がしさの中でだらけるのも悪くないよねぇ～
赤城みりあ,うわぁ～！これ全部かな子ちゃんが作ってきたのーー！？
城ヶ崎莉嘉,おいしそー！！ねぇ、食べていい？
城ヶ崎美嘉,コラコラ莉嘉ー？がっつかないの
諸星きらり,久しぶりにみ～んなで集まって、かな子ちゃんのお菓子もあって、ダブルでハピハピだにぃ～☆
菜々,うぅ……若々しい活力が、まぶしい……
李衣菜,菜々ちゃんどうしたの？元気が無いなら私一押しの、このロックな曲を聴くといいよっ！
みく,それ、この前夏樹チャンに教えてもらったやつじゃん。りーなチャンは、もう少し自分で勉強するべきにゃ
夏樹,はは。まぁ、あの自信の持ち方もロックには必要だからな
みく,あれ、でもＰチャン、コレまだ全員は来てないよね？
武内Ｐ,はい。本田さんは、高森さん、日野さんとの仕事の打ち合わせで、少し遅れると聞いています
美波,じゃあ、卯月ちゃんは……？
武内Ｐ,島村さんは――
卯月,…………
