矢島治,７５
矢島,ううむ……
記者会見を行う矢島。矢島,経営の低迷を打開すべく……。私は社長を退くことを決めました……
経済新聞,ヤジマ電機、矢島社長の辞任発表
BAR,魔の巣
喪黒,矢島社長……、おっと失礼。あなたは会長に就任したんですよね
矢島,いえいえ……。何しろ急な出来事なので……。私もまだ会長と呼ばれるのは慣れてないですよ
喪黒,このご様子からして……。おそらく、社長辞任も小山さんのアドバイスによるものでしょう
矢島,ええ、そうです……。彼が提案してきた改革案はどれも急進的な内容のものばかりでした……
喪黒,でも、あなたはそれらの案を全て受け入れたのですね
矢島,これも会社を立て直すためだと思うと、やむを得ませんよ……
喪黒,そうです、その意気！！
矢島,店舗の大幅削減や住宅事業の中止は、確かに効果のあるコストカットと言える……
小山,会長、私にいい考えがあります。奥の手を使うのです。禁断中の禁断とも言うべきあの手段を……
矢島,それは一体何だ！？
小山,実は……
矢島,な……、何だと！？粉飾決算をやれというのか！？
小山,背に腹は代えられません
矢島,だがな……、これは犯罪だぞ！！発覚したら私の逮捕もあり得るかもしれんのだぞ！！
小山,バレないようにするためのコツはあります。私の言う通りにやれば、会計処理は乗り切れますよ
矢島,本日、この場で私が話すことは非常に重要です。とうとう……、やったぞ……！極秘の会議を開き、私は役員たちに粉飾決算を命じた……！！
小山,よくやりましたね……、会長……。提案したのは私ですから……、私も責任を取ります……！！
矢島,もう、後戻りはできんな……！！
男性パート,いらっしゃいませ、いらっしゃいませ！！
女性パート,長らくご愛顧いただき、誠にありがとうございました！！
小山,外国人観光客向けの免税サービスは、今以上に規模を拡大する必要があるでしょう
矢島,うむ……、そうだな。外国人観光客による爆買いは、今のヤジマ電機の頼みの綱だからな……。経営の黒字化を達成しつつある今……。そろそろ、新規店舗の進出を再開してもいいかと思うが……
小山,まだ、新規店舗の進出をすべきではありません
矢島,それとだ……。私は会長兼社長として、社長復帰もしようかと思うが……。どうかね！？
小山,社長復帰はダメです。何のために、今の新体制を作ったのですか！？
矢島,小山君！！君は一体何度……、私に口答えをすれば気が済むんだ！！
小山,私はあくまでも、会社の将来を思って意見を述べているまでです！！
矢島,勘違いするな！！ヤジマ電機が黒字化したのは君のおかげじゃない！！私の経営手腕のおかげだ！！
矢島は机を叩き、小山に指を差し叫ぶ。矢島,……君はクビだ！！出て行って貰おう！！
小山が解雇された数日後。全国紙,ヤジマ電機、矢島会長が社長復帰へ
秘書,会長、喪黒福造という方が面会を求めていますが……
矢島,分かった、通してくれ……。彼にはいろいろ恩があるからな……。喪黒さん……。ヤジマ電機はようやく黒字化し始めました。これも、あなたのおかげ……
喪黒,矢島会長……。あなた約束を破りましたね
矢島,なっ！？
喪黒,私はあなたに言ったはずです。小山さんのアドバイスにはしっかり耳を傾けるべきだ……と
矢島,そ、それがどうしたというんだ！！会社は黒字化したんだ！！彼の役目はもう済んだ！！
喪黒,そうですか……。あくまでも、ワンマン経営者として振る舞うおつもりなのですか……。ドーーーーーーーーーーーン！！！
矢島,ギャアアアアアアアアア！！！
テレビ,大手家電量販店グループ・ヤジマ電機で、不適切な会計処理が行われていたことが……
経済新聞,ヤジマ電機、粉飾決算発覚
矢島,粉飾決算は私のせいじゃない……！！あいつだ……！！小山のせいだ……！！
スマホ,お客様のおかけになった電話番号は、現在使われておりません……
小山,そんな……、馬鹿な……！！小山に電話がつながらない……！！
文藝隆盛,粉飾決算は矢島会長の命令で行われたヤジマ電機取締役、本誌に怒りの告発
矢島,も……、もう終わりだ……！！破滅だああああ！！！
記者会見で頭を下げる矢島。全国紙,矢島会長兼社長、辞任を表明
テレビ,速報です！東京地検特捜部は……、ヤジマ電機前会長の矢島治容疑者を、金融商品取引法違反で逮捕しました！
1週間後。ヤジマ電機本社ビルの前にいる喪黒。喪黒が持つ新聞には,ヤジマ電機、民事再生法申請へ
喪黒,企業の寿命は平均30年と言われていますが、生き物に寿命があるように、会社にも寿命があります
