・所々キャラ崩壊があります,主に明石
明石,動画の顔なんですから当然ですよ！じゃあこの後投稿しときますんで！それじゃあ！
ウォースパイト,ふう....疲れた....いつも動画で見てるけどyoutuberも楽じゃないのね.....。でも.....案外楽しかったかも....。あ～演習疲れた～....今日の相手はいつにもまして強敵だったわ....。そういえばもうこんな時間！そろそろティータイムとランチを....
明石,ウォースパイトさん！
ウォースパイト,what's?！.....ああ....貴女ね
明石,昨日初めて動画を投稿したんですけどもう2000再生超えてるんですよ！
ウォースパイト,seriously？マジ？。タイトルは.....猫でも分かる英国淑女のEnglish講座?。ふふっ.....goodなセンスね。それに動画の演出もかなり凝ってる....貴女これ一日でやったの？
明石,まあこういうのは慣れてるんで！コメントも早速来てますよ！
ウォースパイト,ほんと？どれどれ？。.....ふふっ....こういうのも中々悪くないわね
明石,嬉しそう.....。それとこれからランチですよね?ついでに撮影もしちゃいましょうか!
ウォースパイト,えっ!?今日もするの?
明石,勿論ですよ!収益化を目指すなら動画は頻繁に投稿しないと!。それに今の時代、英語講座だけでお高くとまってたら再生数は稼げませんから!
ウォースパイト,youtuberも大変なのね.....
明石,今日のシリーズは題して英国淑女が行く!グルメへの果たし状!です!
ウォースパイト,Hello！私スパ子！今日はグルメリポートをしていこうと思うわ！。なんでも最近モ○バーガーで新しいハンバーガーが発売されたらしいの！。その名も激辛チキン！世界レベルの唐辛子を使ってるみたいだけど味はどうなのかしら？。youtuberとして調べる必要があるわね！。もう撮影のアポは取ってあるから他のお客さんの邪魔にならないように気をつけて撮影していくわ！
店員,お待たせしました、激辛チキンポテトセット二つです
ウォースパイト,ん～♪goodsmell！これは期待できそうね！。じゃあカメラマンさんの分を取り分けて....。いただきま～す。うん！流石モ○！美味し.....。ひいっ！Toospicy!(辛すぎ！)水！水！。ふう....なんとか完食できたけど....正直大したこと無いだろうと思って油断してたわ。まだ唇がヒリヒリする
明石,あぁ^いいっすね^～その潤んだ目に荒い息遣い、これは再生数稼げますよ～
ウォースパイト,.......貴女平気なの？そんな辛いもの平然と食べてるけど....
明石,う～ん、おいしいし辛旨で悪くは無いけど、あと数歩刺激が足りませんかねぇ
ウォースパイト,....というわけでかなり本格的な辛さだったわ！でも味は文句なく美味しかったから気になる人は食べてみてね！。それでは次にまた会う時まで、good-bye♪。せっかく休日でショッピングに行こうと思ったのに大雨じゃない.....。baddayね...仕方ない....部屋で紅茶飲みながらゲームでも....
明石,ウォースパイトさん！
ウォースパイト,oh！アカシ！昨日の動画はどうだった？
明石,はい！もうバッチリです！再生数もグンと上がってますし登録者も増えてます！
ウォースパイト,コメント見せて！え～っと....。ふふっ....なぜかコメントを見てると嬉しくなってるくるわ。みんなから褒められるって気分が良いわね。ところでこのイカぼーいのコメントってよく分からないのだけれど
明石,知らない方がいいですｷｯﾊﾟﾘ
ウォースパイト,ええ、普段他の海外艦たちとマ○オカートをやってるからよく特訓してるの
明石,折角ですしそれも動画にして実況しちゃいません？題して英国淑女がぶっちぎる！情け無用のマ○オカート8DXです！
ウォースパイト,Hello！私スパ子！今日はマ○オカート8DXの実況をしていこうと思うわ！。いつも私はヨッ○ーを使ってるの！かわいいからね！。さてステージはと....うーん微妙ね....おまかせで。エレクト○ドリームね....じゃあさっそく一位狙ってぶっちぎっていくわ～♪。3...2....1....GO!。よし！今回はいい調子！ここで加速使ってショートカット！。そして空中でしっかりジャンプアクション！。完璧ね！これで上位に食い込ry。....F○ckyou！！！何よ今の！人間性どうなってんのほんとに！学校や職場で絶対友達いないでしょあいつ！。同僚のジャガイモビスマルク。くそ～何とか7位ね....もうあの赤甲羅のせいで全部台無しだわ.....。次こそ....次こそ1位よ！。よし！三週目1位でクラクションとバナナ！これは勝った！。これで青甲羅もカバーできry。....ふぅ～ｲﾗｯ。なんでよもぉぉぉぉ！私のこといじめないで！。あー2位に抜かされた！でもアイテム取れた！。よし！赤甲羅！あいつ抜かせる！。まだ助かるまだ助かる！こ↑こ↓！マダガry。いやぁぁぁぁ！甲羅消えた！ワンチャンあったのに！1位取らせてよ！。下位の分際で上位の争いに水差さないでよぉぉぉ！
明石,.......
ウォースパイト,....というわけで今日はここまで！今日は駄目駄目だったけど次は絶対一位取るわ！。それでは次にまた会う時まで、good-bye♪
明石,.....あの....ウォースパイトさん
ウォースパイト,what's？
明石,.....普段やってる時っていつもあんな感じなんですか？
ウォースパイト,ええ、他の海外艦なんかもっとはっちゃけてるわよ？
明石,....タイトルは英国淑女がぶっちぎるじゃなくてブチ切れるの方が良いかも知れませんね.....。ウォースパイトさん！
ウォースパイト,アカシ！昨日の動画はどうだった！？
明石,お陰様で大盛況です！順調に再生数も伸びてます！
ウォースパイト,コメントは！？え～っと.....。....今回はちょっと刺激が強かったみたいね
明石,でもまあ注目を集めるには良いんじゃないですか？
ウォースパイト,でも自分のやった事がみんなの笑いに繋がるならそれはそれでいいわ。これからもどんどん動画作っていくわ！
明石,そうこなくては！私も収益化目指してがんがんうpしていきますよぉ～！
ウォースパイト,Hello！私スパ子！この度皆さんの応援のお陰でチャンネルの収益化をする事が出来ました！。こんなに短期間で達成できたのはみんなのお陰です！Thankyou！。それを記念して今回からこの英語講座ではリクエストの多かった特別講座を実施します！題して....。この講義では英語のスキルを飛躍的にアップさせたい人達のために複雑な文法問題や長文の解説をしていくわ！。英語の基礎知識を一通り身に付けてることが前提の授業だから、そうでない人はいつもの動画でしっかり勉強してね！。じゃあ早速始めるわ！まず文法問題から！これは実際に○○大学で出題された問題なのだけれど......。ふう～疲れたわ
明石,お疲れ様です！今日も見事な講座でした！先生！
ウォースパイト,ありがとう、動画の反応が楽しみね、ふふっ♪
明石,そうだ！これがSuperChatも含めた今月の収益です！受け取って下さい！
ウォースパイト,oh！こんなに沢山！これなら今までのお金と合わせて憧れのキャビネットが買えるわ！。ありがとう！アカシ！
明石,あっ...でも今回でキャビネットを買うっていう目的は達成しちゃったわけですし.....。.....ウォースパイトさんがもうyoutuber続ける理由も無いですよね....
ウォースパイト,アカシ.....。そんなことないわ！私今すごく楽しいもの！。動画を取るのもロケに参加するのもみんなからの反応をもらうのもすごく好き。だからこれからも二人で続けていきましょう？
明石,う....ウォースパイトさん！天使！女神！
男ファン,スパ子さん～！いつも動画見てます！
女ファン,スパ子さんのお陰で大学に合格しました！ありがとうございます！
オタク,ﾃﾞｭﾌ....スパ子様に踏まれたい....
長門,....やってくれたなお前たち.....
ウォースパイト,
明石,
長門,お前たちが以前からyoutubeで活動していたのは知っていた。だが鎮守府のイメージアップにも繋がるならと私は黙認してきたんだ。しかし流石にこれは駄目だ！連日ファンが押し寄せて通常業務にも影響が出ている！
ウォースパイト,....Sorryナガト、まさかここまでの人気になるとは思わなかったの
明石,長門秘書艦....まあまあそう怒らずに
長門,どうせお前がウォースパイトに持ちかけたんだろう？
明石,うっ！？
長門,とにかく！この騒動を収める必要がある！。まずは収益化の停止！そして動画投稿頻度も減らすこと！
明石,えぇっ！？そ....そんなぁ....
長門,それと....お前たち二人には今から反省文を書いてもらう、二度とこのような事態が起きないようにする為にな。わかったか？
ウォースパイト,はい....
明石,ﾁｯ反省してまーす
長門,なるほど明石、お前は反省文10倍がいいんだな？
明石,すいませんでした
ウォースパイト,Hello私スパ子今日はみんなに重大なお知らせがあるの。私の所属する組織の方針でこのチャンネルの収益化の停止と投稿頻度の制限が決まったわ。こんな事態になってしまってごめんなさい、でもこれからも英語講座は続けるし単発ロケや実況もたまに投稿するから。これからも応援よろしくね？。それでは次にまた会う時まで、good-bye。残念だけど仕方ないわね、流石にやりすぎたわ。でもポジティブに考えればこれで堂々と撮影が出来るわね。これからは二人で細々とやっていきましょう？アカシ。......アカシ？聞いてるの？
明石,.....許さねえ....許しませんよ長門秘書艦！。私の収入源を奪いやがってぇ....。復讐してやる....復讐してやりますよぉ.....
陸奥,長門！長門！ちょっと起きて！
長門,ふあぁ～おはよう陸奥、でもまだ起床時間ではないだろう？。なにをそんなに慌ててるんだ
陸奥,他の鎮守府から苦情が殺到してるのよ！
長門,何！？どういうことだ！？
陸奥,各地方の提督宛てにこんな動画が送られてきたみたいで....
長門,い....一体何なんだこれは....
陸奥,長門....あなた普段からこんなことしてるの？
長門,
吹雪,それでこんなことが最近あったんですよ～
大和,あはは！それ面白いですね！吹雪ちゃん！
バアン！！！,ドア大破
大和,！？
長門,明石の馬鹿は何処だ！出て来い！
吹雪,ひいっ！？
大和,ゆ....有給取ってウォースパイトさんと動画撮影しに九州の観光に行きました！
