モパP,以降P
美嘉,おはよう、ありすちゃん★
智絵里,ありすちゃん、おはようございますっ
ありす,あの、プロデューサーさんは……？
ちひろ,あ～……プロデューサーさん、ありすちゃんに伝えるの忘れたのね……もう
ありす,……え？
心,今度のツアーライブあるでしょ？それぞれの会場確認と挨拶回り☆
卯月,一気に複数回るみたいで、２、３日は帰ってこれないみたいですね……
ありす,え？どうして急に……？
凛,ホントは他の人が行く予定だったんだけど、急病で行けなくなったんだって
智絵里,それで、しばらくみんなもレッスンだけだからってプロデューサーさんが……
ありす,……そう、ですか……
ちひろ,ありすちゃん、今日はレッスンだけよね？
ありす,はい。自分のスケジュールはちゃんと把握してますから
ちひろ,さすがありすちゃん。プロデューサーさんがいなくても問題なさそうね
ありす,Pさんが、いなくても……？
凛,まったくもう。プロデューサー、せめて脱ぎたての上着ぐらい置いてってくれればいいのに
美嘉,凛、なにそれ？
凛,プロデューサーのロッカーにあった替えのYシャツ
美嘉,ちょっとー！それは反則でしょ―！アタシだって我慢してるのに―！
凛,これは渡さないよ
美嘉,待てー！アタシにも貸しなさーい！
卯月,凛ちゃん、美嘉ちゃん！待ってー！
菜々,あ、あはは……
ありす,……Pさんがいない……？
ルキトレ,はい！今日はここまで！汗を流して、ゆっくり体を休めてくださいね
アイドル達,ありがとうございました！
ありす,Pさん……
文香,ありすちゃん、お疲れ様。隣、いいですか……？
ありす,あ、文香さん！どうぞ
文香,ありすちゃん、なんだか調子がよくないみたいですね
ありす,そんなことはっ！ない……と、思うんですけど……
文香,何か悩み事なら、相談に乗りますよ……？
ありす,いえ！わざわざ話すようなことではないので……！
文香,だったらいいんですが……ホントに困ったらプロデューサーさんに相談しては？まあ、今はいませんが……
ありす,プロデューサーに……？
文香,私も、自分の方向性に悩んでいた時にプロデューサーさんに相談に乗ってもらいましたから……
ありす,文香さんも……ですか……
文香,プロデューサーさんは普段は飄々としていますが、困ったときは親身になって助けてくれますよ……？
ありす,親身になって……そうだ、Pさんは撮影でガチガチだった私をほぐしてくれて……。轢かれそうになった私を、命がけで助けてくれた……
文香,ありすちゃん……？
ありす,！あ、すみません……あの、アドバイスありがとうございました。私はこれで、失礼します
文香,はい。気を付けてね……
ありす,Pさんに相談……電話すれば……！
文香,ありすちゃん、大丈夫でしょうか……？
ありす,Pさんに電話……番号は知ってたけど、今まで一回もしたことなかったから緊張する……。20時か……これぐらいの時間なら、迷惑にならないかな……？。メールにしようかな……ううん、私は相談がしたいわけじゃない……Pさんの声が聞きたい……。Pさん……。出ない……。！！あのっ……。……やっぱり忙しいのかな……？。はーい
ありす母,ありすー、明日も学校とレッスンでしょう？早く寝るのよ？
ありす,はーい……。明日は出てくれる……よね？
凛,あ゛あ゛あ゛あ゛～
ありす,凛さん……なんて声出してるんですか！
凛,……だって、プロデューサー分が足りなくて……
ありす,まだ２日じゃないですか！
凛,もう２日だよ！……ああ、プロデューサーの匂いが恋しい……
ありす,匂いですか……そういえば、昨日のYシャツはどうしたんですか？
凛,ああアレ？昨日あの後美嘉と卯月と揉みくちゃになって、ただでさえ薄かった匂いが女子の香りに……
美嘉,だーかーらー！ゴメンって言ってるじゃん！アタシだってプロデューサー分補給できないから辛いの―！
卯月,私は平気ですっ！
ちひろ,はあ……今までプロデューサーさんがこんなに留守にしたことって無かったものね
智絵里,プロデューサーさん、もう帰って来なかったり……しないですよね……？
アイドルたち,！？
ちひろ,まさか！そんなことあるわけないですよ。プロデューサーさん、あなたたちのことしか頭にないですから
凛,私たちのことだけ……？
ちひろ,そうですよ～。事務所に戻ってくるなりありすが～、凛が～、美嘉が～ってうるさいんだから！
アイドルたち,！！
凛,もう我慢できない！愛しのプロデューサーのとこに行かなきゃ！ちひろさん、プロデューサーは今何処にいるの！？
ちひろ,えっ！？えっ！？
美嘉,そうだよ！今日はレッスンだけなんだし、プロデューサーに会いに行ってもいいでしょ！？
ちひろ,でっ、でも……！
凛・美嘉,何処！？
ちひろ,あ、あの……北海道です……
凛・美嘉,
智絵里,北海道は……さすがに今からは……
卯月,北海道ですかっ！いいですね～！札幌の美味しいスープカレーとか食べてみたいですっ！
ありす,はあ……
ちひろ,ま、まあ明日の昼頃には帰ってきますから！それまで頑張って！ね？
凛,明日までもつかな～……
美嘉,せめて声ぐらい聞きたいけど、プライベートの番号教えてくれないし……仕事に関係ないメールはそっけないし……
ありす,えっ……？
ちひろ,当たり前です！特に凛ちゃんと美嘉ちゃんに番号を教えたら、プロデューサーさんの仕事に支障が出ますから！
ありす,もしかして、番号を知ってるのは……
ちひろ,スケジュールや仕事の変更は私から連絡しますし、緊急時でも個人個人で直接連絡を取るより、常に事務所にいる私が連絡を受ける方が色々とスムーズですから。仕事用の携帯もありますけど、アイドルからは基本緊急時用で、私用でかけたらダメですからね
凛,……前、仕事用の携帯にかけたらすごく怒られて、もう上着貸さないぞ！って言われたんだよね
美嘉,同じく……何かあったんじゃないかって心配になるからやめてくれ！って……
ありす,Pさん……私だけに教えてくれたんだ……。あっ！そう言えば……！。プロデューサー……
美嘉,お、なになに？ありすちゃんも流石にプロデューサーが恋しいのかなあ～？
ありす,なっ！そ、そんなわけないです！むしろせいせいしますっ！
美嘉,本当かな～？寂しくなったら美嘉お姉ちゃんがいるからねえ～……ふひひ★
ありす,いえ、謹んでお断りします
美嘉,
卯月,わあ！美嘉ちゃんが真っ白です！
凛,当然の報いだね
ありす,……もうっ……。Pさん……会いたいな……寂しい……。……明日帰ってくるって言ってたけど……。やっぱり寂しい……せめて声が聞きたい……。お願い……！出て……！。！！Pさん！あっあのっ私っ……！。い、いえ！そういうわけじゃなくて……あの……。あっあのっ待ってっ！。…………。Pさん……声は聞けたけど……お話、全然できなかった……。Pさん……Pさん……。私……こんなに弱くてワガママな子だったんだ……。Pさん……
凛・美嘉,あ゛あ゛あ゛あ゛～
ありす,……
菜々,あの……凛ちゃんと美嘉ちゃんがアイドルらしからぬ声を……
ちひろ,あ、気にしなくて大丈夫ですよ。プロデューサーさんに会えなくて寂しがってるだけですから
心,会えない日々が乙女心をシゲキ……☆やぁんスウィーティー☆
文香,たかが３日、されど３日ってことでしょうか……？
凛,私からしたら永遠にも思える長さだよ……
美嘉,これ以上はムリ……プロデューサー……早く帰ってきて……
卯月,もうすぐプロデューサーさん帰って来ますから！凛ちゃん美嘉ちゃんしっかりしてくださ～い
智絵里,そういえば、今日は珍しく全員集まってるんですね……？
ちひろ,……はあ。ここ数日の様子も見てるし、プロデューサーさんがいない時に話すのは本当に気が重いけど……
アイドル達,？
ちひろ,部長から早めに伝えておけって釘を刺されちゃったし……よし！。みんな聞いて！もうすぐ新人さんが入社するの！それでね……
凛,え……なんか嫌な予感がする……！
美嘉,ヤダヤダ！聞きたくない聞きたくない！！
智絵里,ま、まさか……！
ありす,……え？
ちひろ,まだ完全に決定したわけじゃないけど、担当プロデューサーが変わるえぇ！？
凛,私は絶対イヤ！担当がプロデューサーじゃないならアイドルやめるから！
美嘉,アタシだって！プロデューサーが変わるなんて耐えられない！
智絵里,プロデューサーさん、私のことを見捨てたんですか……？
心,……まあよくあることだよね☆プロデューサー、結構激務っぽかったし☆
菜々,……新しい人、ですか……
卯月,私は皆と一緒がいいですっ……
ありす,……。プロデューサーが、変わる……？
文香,ありすちゃん……？
ありす,プロデューサーがいなくなる……？私を置いて……？
ちひろ,ちょっみんな落ち着いて！変わるかもってだけで変わるって決まったわけじゃ……！
P,只今戻りましたー！お、みんな勢揃いだな！
アイドルたち,！！プロデューサーさん
ありす,Pさぁんっ！
P,うおっと！あ、ありす！？
ありす,やぁっ！いやぁ！Pさん、私を置いてかないでっ！一緒にっ！一緒にいてください……！。うぅ～っぐすっひっく、うぅ～
アイドルたち,え？
文香,ありすちゃん……
P,これは……どういうことだ？。あ～新人くんの件ですか！それなら、俺のとこの娘たちは俺が全員面倒見ますからってさっき部長に言ってきましたよ
ちひろ,まあそうだろうとは思いましたけど……よかったです……
P,こんな個性的な娘たちを一人でも新人君に任せたら、新人君がかわいそうですからね！
凛,笑い事じゃないよ！ホントにびっくりしたんだから！
美嘉,そーだそーだ！
心,そーだそーだ☆
P,静かに、佐藤
心,～！！
P,痛い！
卯月,私はプロデューサーさんを信じてました！
智絵里,見捨てないでくれるんですね……よかった……
菜々,よかったです……
文香,それにしても……
ありす,……
凛,こっちもビックリだね……
美嘉,だね……
文香,これは嫌っているどころか……
心,もはやラブ☆
凛,そんな素振り全然なかったのに……
美嘉,アタシたちの前ではツンツンしてたからね……
ありす,……
P,よしよし
ちひろ,プロデューサーさん、これってもしかしてあの件で……？
P,たぶんそうだと思います……
凛,あの件って？
美嘉,もしかして、暴走車の話？
智絵里,でも、けが人はいなかったって聞いてましたけど……
P,ありすの初めての撮影の日の帰りだったんだ。確かにけが人はいなかったんだが、ありすの方に車が向かって来てて……
ちひろ,プロデューサーさんが間一髪でありすちゃんを抱きかかえて無事だったの……
菜々,そうだったんですか……
心,プロデューサーやるじゃん☆
P,精神的な後遺症はなかったんだが、二人きりの時だけこの通り甘えるようになってな……
ありす,……
卯月,数日甘えられずに寂しさが募ってたところに、プロデューサーが変わるかもって話で……
心,大爆発っ☆
凛,ってことだね。私も抱きつきたかったけど……
美嘉,インパクトが強すぎてなんか吹っ飛んじゃった……
P,そうだったのか……心配かけてごめんなありす
ありす,イヤです。許しません
P,困ったなあ……どうしたら許してくれる？
ありす,たまにこうやって甘えさせてください……！それと……
P,それと……？
ありす,Pさん、あと４年、待てますか？
P,４年……？どういうことだ？
ありす,いいから待てるか答えてください！
P,ん～？
美嘉,４年……？ってえ！いくらありすちゃんでもそれは見逃せないよ！
凛,ハッ！？４年ってそういうこと！？それはダメ！
P,？どういうことだ？
ありす,はあ……バレたからには仕方ありません。私にはプロデューサーが必要なんです。誰にも渡しません
凛・美嘉,ぐぬぬ……！
P,ちょっ！何だか分からないけど、とりあえず落ち着けって！
凛・美嘉・ありす,プロデューサーPさん
P,
心,思わぬライバル登場☆ってやつ？
菜々,若いって、良いですね～……
卯月,？ナナちゃんは私と同い年ですよね？
菜々,そ、そうですよ～！ナナは永遠の１７歳ですっ！キャハッ
智絵里,？
ちひろ,……はあ、やれやれ……
文香,でも、ありすちゃんがプロデューサーさんを嫌いじゃなくてよかったです……
ちひろ,それはそうなんですけど……まあ、なるようにしかなりませんよね
菜々,……これからもひと波乱ありそうですね……
