初春氏は佐天氏と同じく,とある科学の超電磁砲
初春,このまま無能力者ではない、なんて公の場に露わになったら……それこそ他の人にポジション奪われちゃいますよ
佐天,別にあたしは人気とか欲しい訳じゃ……
初春,佐天さん……私達、友達ですよね？名コンビですよね？
佐天,急にどうしたの？確かに初春は親友だと思ってるよ
初春,はい。ということは……
佐天,ということは？
初春,ーー佐天さんの出番が減ったら私の出番まで減っちゃうじゃないですかッ！
佐天,……は？
初春,佐天さんが困れば私も困る、親友として当然です！
佐天,別にあたしは困ってる訳じゃ
初春,佐天さんが困らなくても私が困るんです！私が困ってるんですよ！！
佐天,お、落ち着いて落ち着いて……
初春,私は落ち着いてます！佐天さん、もう一度考え直してください。本当に無能力者でなくなってもいいんですか？
佐天,うーん……別にいいっていうか思いっきり喜びたいんだけど
初春,……いくらですか？
佐天,へっ？
初春,いくら払えばいいかって聞いてるんです。私はいくらでも払いますよ
佐天,お、お金なんて何円あっても要らないよ！
初春,私を甘く見ないでください。……積みますよ、花飾りの高さまで
佐天,……わかったよ、初春。あたしはーー。ーーという風に、あたしは初春に押される形で提案に乗りました
記者F,それが真実だとすると、初春さんの話はほとんどが嘘ということになりますね？
佐天,はい、その通りです
記者G,確認したいのですが初春さんの話によると、あなたはSSでの佐天さん能力シリーズの衰退を恐れ嘘をついたということでした
佐天,違います
記者G,初春さんの天才的なコンピュータ技術により結果を改ざんするようあなたから要請された、というのは
佐天,違います
記者G,となると、自分の個性が可愛さとスカートをめくるだけになってしまうのを恐れていたというのも
佐天,ち、違います！それにあたしはそこまで可愛い訳でも……
記者H,佐天さんは可愛いと思います。そこは否定しないでください
佐天,あ、あの……その……どうも
記者A,無能力者ではないのに無能力者だと偽っていた、これは間違いありませんね？
佐天,……はい、その通りです
記者A,罪の意識は感じていますか？
佐天,はい、結果的にあたしのせいで多くの方に迷惑をかけてしまったことを深くお詫びしたいです
記者B,自分が無能力者ということを利用し、なにか利益はありましたか？
佐天,特にはありません。あたしはあたしらしくいつも通り生きていたつもりです
記者C,では得をしたのは初春さんだけということですか？
佐天,……わかりません
記者D,結局初春さんからお金はもらったんですか？または他の対価は？
佐天,お金はもらっていませんが……お礼です、と言われクレープを一口貰いました
記者E,クレープの味は？
佐天,ストロベリーチョコです
記者G,今回のことで初春さんとの関係が悪化するとは思いますか？
佐天,……わかりません。あたしはただ初春の言われた通りにしただけです
記者F,初春さんとの名コンビに問題があるとなると今後の超電磁砲の展開にも影響があるのでは？
佐天,それは……そう、かもしれません
記者B,多くのファンが支持するあなたのスカートめくり、それがなくなるとどれだけの経済的損失になるかは把握していますか？
佐天,えっ？そ、そんなこと言われても……
記者H,ちなみに最後に初春さんのスカートをめくったのはいつですか？
佐天,えっと……一週間前、だったと思います
記者H,色は？
佐天,青のストライプでした
記者A,ともかく、あなたは多くの方を騙してしまった。それは認めるんですね？
記者D,無能力者ではないということですが、具体的にその能力について教えていただけますか？
佐天,はい、空力使いエアロハンド
記者C,最後に質問したいのですが、その能力をここで見せていただけますか？
佐天,……わかりました。これを風で倒し、無能力者ではないと証明いたします
記者E,あの……それを、倒すんですか？
佐天,はい。このポッ◯ーの箱をあたしの風で倒します
記者達,…………
佐天,どうかしましたか？
記者H,えっと、ちょっとしょぼ佐天何か？。い、いえ、何でもありません
佐天,それでは、いきます……ふんっ！
記者A,どうしました？もうやっていいですよ？
佐天,は、はい。えっと……集中して、……はいっ！
記者B,あのー……
佐天,あれ？おっかしいなぁ……とおっ！
記者C,何もおきないんですけど
佐天,ど、どうして……。そ、その声はーー。初春！？あんた、どうしてここに……
初春,佐天さんに……真実を伝えに来たんです
記者A,真実？また何か新しい情報が入ったんですか？
初春,佐天さん、能力を測定したのはここ最近で二回。間違いありませんね？
佐天,う、うん。初春に話したのと昨日やった時の二回だけど
初春,皆さん、この映像をご覧ください。……これに真実が映っています
佐天,え？映像って、これ……あたしが測定した時のやつ？
初春,はい。二つのシーンをご覧ください
教師A,えっと、あなたは風力使いってことだけどなかなか目に見えるような能力は使えないと
佐天,はい……
教師A,他の測定値を見ても……なるほどねぇ。一応、実際にやってもらえるかしら？このお菓子の箱を倒してみて
佐天,わかりました。えっと……えいっ！
教師A,本当に何も起きないのね……残念だけどあなたはやっぱり
佐天,ま、待ってください！もう一度……やあっ！
教師A,うーん……何も変化は、あら？
佐天,た、倒れた！先生！今倒れましたよね！？
教師A,え、ええ。確かに倒れたけど……
佐天,これってもう無能力者ではないですよね！やったー！もう無能力者じゃなくなったんだー！
教師A,あの、佐天涙子さん。まだ確定した訳では。ちょ、ちょっと待って……
初春,……これが佐天さんの測定の映像です。間違いありませんね？
佐天,うん。ちゃんと風で倒れてるよね、これ
初春,では、このシーンの別カメラの映像をご覧ください
佐天,えっ……？う、初春……
記者C,こ、これは……まさか！
初春,ええ、箱は佐天さんの力で倒れたのではなく……扇風機の風で倒れたんです
佐天,で、でも！もう一回やっても倒れたんだよ！？
初春,……佐天さん、どうぞ
記者D,これは、二回目の測定の時の映像ですか？
初春,はい、ここでも佐天さんは箱を倒すことに成功しています。しかし、やはり別のカメラを見るとーー
佐天,…………
初春,……佐天さん、もうわかりましたよね？あなたはまだーー無能力者なんです
佐天,あたしの能力は、幻……
記者E,では、今回の発端は佐天さんの早とちりだった、ということでしょうか？
初春,その通りです。佐天さんはいつまでも変わらず無能力者のまま、それだけが真実です！
佐天,そ、そんなぁ……。あたし、ちゃんと確認せずに一人で舞い上がって……バカみたいじゃん
初春,ええ、残念ですが……世間に迷惑をかけたことを改めて謝りましょう
佐天,……はい。皆さん、ダメな無能力者ですいませんでした……。えっ……？
記者A,佐天さんはダメなんかじゃない！ちゃんと今まで頑張ってきたじゃないか！
記者B,そうだ、佐天さんは悪くない
記者H,そして佐天さんは可愛い！
記者達,そうだそうだ！
佐天,みんな……ありがとうございます！
初春,よかったですね、佐天さん……これで私達も何も変わらず明日から
佐天,……でもさ、これってあたしも悪いけど……だいたいは初春のせいだよね？
初春,……はい？
佐天,初春がわけわかんないこと言わなくて、さらに会見とかいうのもしなければ何も起きなかったよね？
初春,……可能性は、あるかもしれませんね
佐天,あるかもしれませんね、じゃないよ！初春……あんたのせいで……！
初春,さ、佐天さん？か、顔が怖いですよ？
佐天,うーいーはーるー……
初春,ま、まさか！？ストップ！ストップ佐天さん！こんなに大勢の前ではさすがに！
記者達,おおー！
初春,きゃーっ！
翌日の新聞の一面は,佐天さん、やっぱりゼロだった
佐天氏は,次は扇風機の無い部屋で測定したい
