～AllIdolRatingAgency,アイドルランク制定機関、通称A.I.R.A.
舞,さっきオーディションに飛び入り参加しようとしたら、Eランクだから出場出来ないとか言われて…まぁ、そのオーディションは勝手に踊ってぶち壊してきたけど？。だから、わざわざこんなところまで来たのよ私は！おかしいでしょう？この日高舞がEランクアイドルだなんて！？
まなみ,そんなこんなで舞さんったら不機嫌で…手に負えないんです…
玲音,なるほどね、事務的に対応してたらそうなるか。どうしよう、Eランクのフェスになるんじゃアタシにも出撃許可が下りないな
まなみ,えーと、じゃあフェスじゃなくてそこら辺で個人的に戦うのはいかがでしょう？それならランクは関係ないですし、なんとか二人の間だけで納めてもらうわけには…
舞,嫌よ。フェスやりたいし、何より目立ちたいもの
玲音,同感だね。観客さえいればどこでもステージにはなるけれど、やはり相応しい舞台というものはあるよ
まなみ,うぅぅ…この人達、似た者同士だ…
玲音,んー…あ！そうだ、アタシが上に頼んで、舞さんのSランクパスを発行しよっか！
まなみ,ええっ！？
舞,そういうのって、できるの？
玲音,もちろん。実力で言えば誰も文句は言わないだろうし、アタシだって早く舞さんと戦いたいからね
黒井,レオンちゃん、それは困る！Sランクパスを発行と聞こえたが…
玲音,ん？
舞,あら、黒ちゃんじゃない
黒井,ゲェ！日高舞！？な、なるほどレオンちゃんがそんなことを言うわけだ…
舞,なによー、黒ちゃんがこのA.I.R.A.とかいうわけのわからないもん作ったわけ？
黒井,わけのわからないもんはないだろうキミィ…
まなみ,すみません、舞さんが失礼なことを…
黒井,ホゥ。キミは…噂の日高舞のマネージャーの岡本まなみさんか。なるほど薄幸そうな顔をしてるな
まなみ,あ、わかります…？
舞,そんなことより黒ちゃん、困るとかどうでもいいからパスちょうだいよ
玲音,アタシからもお願いするよ。舞さんと一度対決してみたいんだ
黒井,ノンノン、駄目駄目。日高舞と言えど、そんな特例許したら後々面倒だろう
玲音,そうかな？舞さんほどのアイドルならSランク発行しても誰も反対しないと思うけど
黒井,ダメだダメだ。A.I.R.A.はアイドルの未来を考えて作ったものだ。これからのことを考えると許すわけにはいかない
舞,へぇ、そっか…
黒井,お、脅しても無駄だぞ？そもそも、私の一存で決めるわけにもいかないのでな
玲音,じゃあ、せめて舞さんとの対決を許可してよ
黒井,それも駄目だ。レオンちゃんはA.I.R.A.の看板。ある程度のことはレオンちゃんで決めていいが、流石にEランク相手にフェス開催は許可できない
舞,私相手でも？
黒井,実態がどうあれ、今のキミはEランクアイドルだ。レオンちゃんがEランクアイドルと全力で戦ったということになればA.I.R.A.の名に傷がつく
玲音,やれやれ。文句を言う奴が一人いたか。黒井は融通利かないなぁ、もう…
黒井,世の中には融通を利かせると徹底的に付け込んでくる連中がいるからな
舞,まったく、これと思い込んだら絶対曲げないんだから黒ちゃんは
黒井,そうでなければ君のような者がいるこの世界で生き残ってなどいけないさ
舞,はいはいよーくわかったわよ。覚えてなさいよ
黒井,うっ、寒気が…
まなみ,よ、よかった…何事もなく引き下がってくれた…
玲音,そうだ。このまま手ぶらで帰すのも何だし、舞さん、岡本、私のステージを見ていってよ
舞,ステージ？
まなみ,岡本…
玲音,ああ。今日はお偉いさん方を招いて、トップアイドルのステージを見てもらおうってことになってるんだ
舞,え、なによそれ。私も出る
まなみ,舞さん
黒井,舞ちゃん
舞,ぶーぶー
玲音,せっかくだし、二人にも観てもらおうと思って。それくらいならいいだろう、黒井？
黒井,まぁ、席の空きはいくらでもあるし、大人しくしているのであればいいが…
舞,大人しくして欲しかったら、せいぜいこの日高舞を退屈させないことね
まなみ,シャレにならないこと言わないでください
黒井,本当にやめてくれよ…お偉いさんが集まる場なのだ…
舞,私より偉いヤツいんの？
黒井,何かあったらキミだろうと即つまみ出すからな…
玲音,開演までには時間があるから、その辺の部屋でくつろいでいてくれ。アタシは準備があるから、案内頼むよ黒井
黒井,この黒井を顎で使うとは、仕方ないなレオンちゃんは…ウィ。では、着いて来るがいい日高舞、岡本さん
舞,はいはーい
まなみ,し、失礼致します
舞,へぇー、思ってたより広いのね
黒井,A.I.R.A.はアイドルの総本山となるべく作られた機関だ。その本部ならば当然これくらいのステージはなくてはならん
舞,ふーん
まなみ,退屈そうですね、玲音ちゃんのステージが観られるのに…
舞,観るだけだしね。ステージ自体ではしゃぐほど感動したことなんてないわよ
まなみ,舞さん…
舞,ま、オーラは充分だし私に挑んでくるような娘だから実力はあるんでしょうけど
黒井,舞ちゃんよ
舞,人妻をちゃん付けで呼ぶのやめてくれない？黒ちゃん
黒井,………彼女は私の理想の究極とも呼べる存在だ。いかにキミがアイドルの頂点でもいつまでもそこにいられると思うな
舞,はぁ。急に何言ってんのかしらこのオッサン
まなみ,そ、そろそろ始まりますよ舞さん
舞,ふーん？。なるほどね。ステージに立つとわかるわ、それなりの風格は…。…！。空間が震えている。ブレスの一回ごとに、身体が宙に浮いて…。シャウトの一回ごとに、全身に電流が走る…。目が離せない…あの子のステージに、心がどんどん引き込まれていく…！！
まなみ,はぁぁぁ…これが玲音ちゃんの生のステージ…
舞,………
まなみ,舞さん、どうでした？
舞,想像以上だったわ
まなみ,へ！？
舞,1秒ごとに会場のボルテージが引き上げられていくのがはっきりわかった。それこそ加速していくみたいに
まなみ,め、珍しいですね。舞さんが素直に褒めるなんて…
舞,私だって褒めるべきものは素直に褒めるわよ？大抵は私から見れば褒めるほどでもないってだけ。私も鈍ったものね。ちょっと前だったらこれほどのアイドル、挑まれるまでもなく自分から向かってたのに。愛が私とやり合えるようになって安心してたのかしら？小物ばっかり相手にしていてこんなヤツがいたことにも気づかなかったなんて。あれが、今のアイドル界のトップなのね
玲音,舞さん、岡本、お疲れ様
まなみ,あ、玲音ちゃん！
舞,………
玲音,楽しんでくれたかい？
まなみ,はい！もう、言葉がないくらいで…
舞,………
まなみ,舞さんも、さっき…
舞,さっきの話、いいかしら？
玲音,へ？
まなみ,ま、舞さん？
舞,挑戦、こっちから挑ませてもらうわ。首を洗って待ってて
まなみ,で、でも舞さんランクが…
玲音,A.I.R.A.の制度だと、アタシの出撃許可が出せるランクには最短でも1ヶ月はかかるな
舞,私を誰だと思ってるの？日高舞よ？1ヶ月後ね。予定、空けておいてちょうだい
玲音,…ああ！もっと実力を磨いておくよ！！
まなみ,ふぅ。今日は色々あったけど、丸く収まったみたいでよかった…。でも、本当に大丈夫なんですか？舞さん、これからランクアップを目指すとなると1ヶ月間休みなしですよ
舞,………
まなみ,舞さん？
舞,曲はALIVEで行くべきかしら…。いえ、あれは愛にあげたものだし使えないわ。それに、バラードのALIVEじゃあのスピード感には合わないわね。もっと正面からのぶつかり合いが出来る曲の方が…そうでないと面白くないわ
まなみ,ま、舞さん…？どうしたんですか、怖いですよ…
舞,っと、柄にもなく険しい顔しちゃった？ごめーん、てへぺろ☆
まなみ,い、いえ…笑ってましたよ。ずっと笑顔で…ちょっと不気味でした
舞,え？笑ってた、私？
まなみ,はい
舞,笑ってた…か。目の上のタンコブって感じなのに、何がそんなに嬉しいのかしら。って、不気味ってどういう意味よまなみん！おしおき！
まなみ,ひゃあああん！！
舞,ただいま
愛,あっ、おかえりママ！！遅かったね、今日はあたしが晩ご飯作ってみたよ！！
舞,へぇ、この料理を…愛が作ってくれるなんて珍しいわね
愛,ママが帰り遅かったから。お料理の本見て…どうかな？
舞,うんうん、よくできてるわね。美味しそうよ
愛,えへへ…ありがと、ママ！！
舞,ふふ…上機嫌ね、愛。何かいいことでもあったの？
愛,実は、新しい曲を作ってもらって
舞,新しい曲…？
愛,うん！ほら、携帯電話に入ってるから聞いて聞いて！！
舞,………
愛,えへへー、いい曲でしょ！！なかなか上のランクに行けてなかったけど、これであたしも…
舞,私によこしなさい、この曲！！
愛,ええっ！？
舞,いいでしょ、愛にはALIVEあげたんだから！こんな曲、何百曲くれたところで十分お釣りが来るわ！！
愛,だったら、ALIVE使えばいいんじゃ…
舞,あれはもう愛の歌じゃない。娘の持ち歌を奪い取るなんて、そんな大人気ないことしないわよ
愛,娘の新曲取るのはいいの！？
舞,うふふ、愛が貰って私が奪った歌…親子の力であの娘をぎゃふんと言わせてやるわ
愛,もー！！ママったらアイドルのことになると勝手なんだからー！！
まなみ,あ、舞さん！今日はランクアップフェスの日なのでお迎えに…って、その格好は…
舞,ああ、会場まで走っていくわ。まなみんは荷物だけ運んでおいて
まなみ,え！？
舞,ちょーっとは運動しといた方がいいと思ってね。それとも、徒歩じゃ間に合わないかしら？
まなみ,い、いえ。でも舞さん、今までこんなこと…
舞,まなみん、私ね。楽しむため以外の努力はしたくないのよ
まなみ,は、はい。そうですね
舞,その私が、楽しむためでもないのに努力をしてる…その意味がわかる？ふふっ
まなみ,…楽しそうじゃないですか、舞さん。それからというもの、舞さんは自主トレやレッスンに励みながら、凄まじい勢いでランクアップフェスを制覇していきました
冬馬,なんなんだよ、ありゃ…
北斗,真に美しいものは、色褪せないものだね…ぐふっ…
翔太,あー、もうだめーむりー…
まなみ,315プロに移籍し、活躍中のジュピターも…
ひかり,わ、私達がこんな簡単に…！？
つばめ,まさか、これほどだなんて…
のぞみ,いやーっ、もうやだーっ！
まなみ,こだまプロの看板トリオ、新幹少女も…
絵理,ひぅ…舞さん、ひどい…
涼,犬に噛まれたとでも思って諦めよう…
まなみ,876の絵理ちゃんも涼さんも…
麗華,あれが伝説のアイドル…日高舞…ッ…
りん,いや、反則でしょあれ
ともみ,…暴風雨みたいな人ですね
まなみ,そしてSランク筆頭、東豪寺プロの魔王エンジェルも、次々と蹴散らして…
舞,ふふーん。どう？んー？
まなみ,玲音ちゃんと戦うために目標としていたAランク…を飛び越して、公式にSランクアイドルの認定を受けてしまいました
舞,あー、もしもし、レオポン？。ええ、これで心置きなく戦り合えるわね
まなみ,いつの間に連絡先を…って言うかレオポンって…
舞,ふふ、楽しみ。…楽しみ？やっぱり、楽しみなのかしら私。こんな感じ、愛がALIVEを持って私に挑んできた時以来ね
まなみ,ああ、ついに来ちゃったフェス当日…
愛,まなみさーん！！
まなみ,あっ、愛ちゃん…わっ
愛,えへへ…お久しぶりです！
まなみ,愛ちゃんも、舞さんのステージ見に来たの？
愛,はい！ママ、すっごく楽しみにしてたみたいだから！。それにしても…凄い人ですよね、溺れちゃいそうです…
まなみ,全国の映画館でライブビューイングもやってるけど、それでも現地で見たいって人が大勢いるのね…
黒井,先月急に出て来た話なのに、ここまで集まるとは。キャパシティの3倍はいるではないか、チケットを持ってない者には来るなと注意しておいたのだがな
まなみ,あ、黒井社長。おはようございます。玲音ちゃんについていなくていいんですか？
黒井,ウィ。彼女に必要なのは万が一の時のためのボディーガードくらいだ。私はただ責任者として…いや、一人のアイドルを愛する者としてこの対決を観に来ただけだよ。と言うか岡本君、キミの方こそ舞ちゃんについていなくて大丈夫なのか…？
まなみ,そうですね…今になって凄く不安になってきました…
愛,黒い…社長さん？
黒井,ん？キミは…
愛,初めまして、日高愛です！！
黒井,961プロの社長、黒井崇男だ。日高…もしかすると、日高舞の娘か？声がでかいな…まぁ周りも騒がしいからいいが…
まなみ,舞さんの娘ってだけじゃないですよ、愛ちゃんは876プロでアイドルやってるんですから
黒井,876？そんな事務所知らんが…。…いや、待て。実ちゃんのところか？
愛,みのりちゃん？
まなみ,石川社長のことですよね。それで合ってますよ
黒井,日高舞の娘で…みのりちゃんの事務所…そうか…。私の電話番号だ。辛いことがあったらいつでも連絡してくれていいからな
愛,え、かわいそうに思われてます、あたし！？
玲音,凄い人だね。会場の熱気がこの控室にまで伝わって来る
舞,私の復活ライブの時もこれくらい来たわね
玲音,そうだったかな？あの時は突発ってこともあってここまでは来てなかったと思うけど
舞,見て来たように言うじゃない
玲音,観て来たからね
舞,…なんであなたみたいな奴放って小物相手にイキってたのかしら。ほんと、つまらなかったわ
玲音,待っていたからね。舞さんがその気になるまで
舞,実際に会ったら待ちきれなかった？
玲音,そういうことだね
舞,…ふーん、そう
スタッフ,そろそろ開始します！舞さんは南ステージ、玲音さんは北ステージへ！
舞,ええ！
玲音,はい！
愛,あ、始まった！。みんな動いてますね…
まなみ,愛ちゃんはフェス初めて？
愛,えーっと、出たことはあるんですけど、こうやって観客として参加したことはなくって…聴いたり観たりだけなら、その辺にあるモニターでも出来るんですね
まなみ,うん。ここからでも…あと全国の映画館のライブビューイングでも投票は出来るから、観客は必ずしも直接ステージまで行く必要はないわ
愛,ステージの方、すっごく人いっぱいいますからね。こっちの方がよく見えるかも…
まなみ,でも、やっぱり直接ステージに来た人の点数が一番大きいから、ステージに立つアイドルはより近くで見たいと思わせて人を集めなきゃダメなの
愛,そうなんですね…
まなみ,ほら、そこの電光掲示板に数字が出てる
愛,あれ、これ…レオンさんの方が人集まってますよ！
まなみ,舞さん…
黒井,あの娘はオーバーランク、A.I.R.A.の看板だ。ユニットとしての力ならば、忌々しいが高木の765プロのアイドル共の生ぬるいやり方も一定の成果を挙げているのは認めてやってもいい。だが、それでは真の強者は生まれん。誰にも頼らず、民衆にただひたすらに感動と羨望を与える孤高の存在…。それが私の目指すアイドル像、そしてそれを体現したのがレオンだ。だから私はA.I.R.A.を設立した時、あの娘を選んだ。個の戦いならばレオンは誰よりも上だ。それは、日高舞よりもだ
舞,負けてる…の？私が…。なるほど。ランクアップの時のフェスでは常に勝ってるから気にしてなかったけど、自分が勝ってるか負けてるかもわかるわけね。玲音の曲、アルティメットアイズ、か…この前とは違う曲だわ。私と戦うために選んだのかしら？ったく、可愛くて可愛くない後輩だこと。あの娘の性質からすると、ここからまた何段階もギアを上げて来るでしょうね。あーあー、観客が好き勝手言ってるわね。誰だろうと否応無く黙らせるのが私のステージだったはずだけど。さて、どうするか…。……？
愛,ママ、頑張れー！！
舞,………
まなみ,あ、愛ちゃん
愛,もがっ
舞,頑張れ？。がんばれ。ガンバレ？。は？あいつ、なんつった？この？日高舞に？頑張れ？
愛,………！
舞,なによその顔は？伝説のアイドルであるこの私を心配出来る立場にいるとでも思ってんの？一度勝ったくらいで…。…ああ。娘に心配されるようなステージやってたのね、私は。せっかくのこの舞台で、何をゴチャゴチャ考えてたんだか。何より…愛に負けた時のこと思い出したわ…。あの時は、娘の成長を喜ぶ気持ちもあったけど…正直…。負けるのって、死ぬほど嫌いなのよね…！！
愛,！
まなみ,舞さん…笑ってる…？
舞,この曲を選んだ理由？戦うためよ。それ以外に何があるって言うの？。過去の人ですって？いつ私が過去になった？そんなの、誰が決めたわけ？。引退だって、誰が決めたと思ってんの？私よ。私が自分で決めたのよ。私は日高舞！私の全部、自分で決めるわ！
玲音,舞さんが本気になったみたいだね…流石だ、ここまでオーラが伝わって来る。子供の時、テレビで見た時…いや、その時以上だ。ああ、この感じ…懐かしいな。心はいつだって挑戦者のつもりだ。だが、アタシの背負うオーバーランクの称号…それは、そんな軽いものじゃない。アタシは玲音！アタシには、今、頂点としての誇りがある！。舞さん…最強のアイドル、日高舞に…
舞,どれくらいぶりかしら、この気持ちは…。過去の人？冗談、たかが10年ちょっと前じゃない。伝説？違う、そんな言葉だけで表されるような女じゃない。私は日高舞！他の何者でもないわ！だからこそ、私が私であるために！。レオポン…あのアイドルの頂点、玲音に…。私は…
玲音,アタシは…
舞,よっし！！。よし…よしよしよしよしよーし！！勝ったわ！！
愛,ママー！おめでとー！！
まなみ,ふふっ、嬉しそうですね舞さん
舞,はっ…。ふ、ふふん。ま、楽勝だったわね！
玲音,舞さん
舞,あら
玲音,完敗だよ。全力で挑んだけれど、アタシの牙はアナタには届かなかった
舞,レオポン、あなたのステージも素晴らしかったわ。ただ、私の方がもっと素晴らしかっただけで
玲音,でも、次は負けない。アタシはもっともっと強くなる。アナタが正真正銘の伝説で最強だとしても、次は勝つよ
舞,へぇ～っそう？いいわよ、何度でもかかってきなさい！何度でも、返り討ちにしてあげるから！
まなみ,はぁ…舞さん、結構僅差だったのに、どこからあんな余裕が来るんだろ…
愛,でも、なんだろ…ママの顔…
舞,え、そんなのあったの？まぁ、ここまで来たらやってあげようかしら
愛,なんだか、嬉しそう
舞,さぁ、アンコールいくわよ！
愛,今日はBランク級のオーディションに出るよー！！。合格枠は1つしかないけど…でも、これに合格すれば一気にランクアップに近付く！頑張ろう、ファイトっ！！
玲音,やぁ、こんにちは日高
愛,ひゃっ！？
玲音,こうして会うのは二回目かな？この前はあまり話せなかったからね
愛,あ、あなたはオーバーランクのレオンさん！？ど、どうしてこんなところに…
玲音,アタシも前より力をつけたし、舞さんともう一回勝負したくてね
愛,え…？ママ…お母さんに用があるなら、あたしじゃなくてそっちに行けばいいんじゃ…
玲音,いやね。行ったら、その舞さんが…。…って言うからさ
愛,じゃ、じゃあ玲音さん、もしかしてこのオーディションに…
玲音,日高が、舞さんのライバル第一号なんだよね？フフッ、二号としては負けられないな
愛,もー！！ママのバカー！！
