・今日,6/6
提督,うんうん、漣さんが一杯がんばってくれたからね、ありがとう
漣,えへっ、えへへへへ、それほどでも
提督,艦隊も段々とメンバーが増えてきたねぇ。そうだね、ではソナーや爆雷の開発もしようか
漣,よし、開発も漣におまかせあれ！
提督,うんうん、それじゃあ頼むよ
漣,ご主人様ー！漣、練度２０達成ですー！
提督,おめでとう、よくがんばったね！早速改装してもらっておいで
漣,はーいご主人様！漣ちょっと、あ、じゃなくて……いーっぱい感謝ね！
提督,一度目の改装を受けた子も増えてきたね
漣,皆ご主人様のためにがんばってますよ
提督,あはは、自分も頑張らないとね
漣,いえいえ、ご主人様が頑張っているから、漣たちも頑張れるんです！
提督,そうかぁ……なんだか照れるね
漣,あああああああああああご主人様のテレ顔いただきましたああああああっ！！。艦隊の練度も充実してきましたね
提督,うん、だからそろそろ２－４の攻略も考えていこうかなって思うんだけどどうだろう？
漣,良いとおもいますよ、３－２まではさっさと開けてしまった方が練度の為になりますし
提督,うう、それでは漣さんに旗艦をお願いして行こうか
漣,えっ、あっ、あの、漣でいいんですか！？
提督,１－１からずっとそうしてきたしね、お願いしてもいいかな？
漣,キ、ｋｔｋｒ！漣の本気、見せてあげますよ！。ご主人様、２－４突破です！
提督,ありがとう漣さん、流石だね！
漣,えへへへへ、夜戦までもつれ込んだおかげで漣も活躍できたんですよ！
提督,うんうん、よくがんばってくれたね！そうだ、間宮さんでお菓子でも奢ってあげようか？
漣,ご主人様っ！２－５で阿武隈さんを発見しましたヨ！
提督,お、新顔だね？軽巡なら遠征に――
漣,パワーレベリングしましょう！漣と一緒に１－５周回＆３－２－１で！
提督,お、おう…？まあ漣さんが言うなら集中的にレベリングしようか、他の子も一緒にね
漣,よしッ！あ、あとそろそろ艦載機の開発も……
提督,そうだね、もう上位艦載機の開発許可も出てるしぼちぼち進めていこうか
漣,はい、できればレア艦攻を多めにほしいですねー
提督,そうだね、まあ副産物で色々出るだろうし地道にやっていこうか
漣,ほいさっさー！あ、そうそう、えとね、ご主人さま
提督,なんだい、漣さん？
漣,あの、えと……また一緒にご飯でも、なーんて……
提督,あぁ、全然構わないよ、いつもお世話になっているからね
漣,ホント！？ありがとうご主人様っ！それじゃあ漣は阿武隈さんろ１－５でバターになってきます！
提督,はい、気をつけていってらっしゃい。まさか阿武隈さんがあんなに化けるとはね……
漣,あはは……結局間に合いませんでしたけど
提督,いやいや、漣さんのアドバイスのおかげで夏の大規模作戦には間に合いそうだよ、本当にありがとうね
漣,えへへ、ありがとうございます
提督,そうそう、漣さんの水着も可愛くて良いね
漣,えっ、そ、そう！？でへ、えへへへへ
提督,でもあんまり日に焼けてしまうのは良くないと思うから対策はするんだよ？
漣,はーい！
提督,漣さん、漣さん
漣,はにゃ？なんですか、ご主人様？
提督,薄手のパーカーを見つけてきたから良ければ、と思って
漣,え、いいの！？
提督,日ごろの感謝を込めてね、もし良ければと思って
漣,やーったぁ！ありがとうご主人様っ！ずっと大切にするね！。えへへへへ……嬉しいっ！
提督,夏の大規模作戦が始まったね、漣さん。うん、みんな良く頑張ってくれたね。本当にありがとう
漣,それはまだ早いですよ、ご主人さま。作戦が終わったら皆でワイワイやりましょう！
提督,そうだね、では焦らず、しっかりと行こうか
漣,はい、ご主人さまっ！。うくく……なかなか敵もやりますなぁ……！
提督,彼らも必死なんだろうね……
漣,負けてられないよ……絶対に勝ってやるんだから！ご主人様に沢山褒めてもらうために！
提督,そうだね、漣さんたちが頑張ってるのに自分が諦めちゃいけない。一緒にがんばろう！
漣,いやー手ごわい相手でしたねー
提督,そうだねぇ……
漣,あそこで妙高さんの雷撃がブッ刺さってなかったら詰んでましたもんね……
提督,その前に漣さんたちや第一艦隊の子達が頑張って随伴を散らしてくれたおかげだね……
漣,いやー、ほんと、ご主人様、私達よくやりましたよホント
提督,どれもこれも漣さんが励ましてくれたおかげだよ……ありがとうね
漣,えへ、えへへえへへへへもーそんな褒めたってなんも出ないですよぉー
提督,……祝勝会が終わったらまた一緒に間宮さんにでも行こうか
漣,うふふふ、ありがとうね、ご主人様っ！
提督,それにしたって漣さん、随分練度が上がりましたねぇ
漣,そりゃーずっと旗艦張ってればそうもなりますよ、もうむっきむきですよ？なーんて
提督,いつもまかせっきりでごめんね、漣さん。……そう？
漣,モチのロンですよご主人様！
提督,ははは、漣さん、いつもありがとうね、本当に
漣,いーんですよっ！。ソレでですね、この間曙のベッドの下を覗いたら出るわ出るわ少女マンガの山が
提督,あんまりいじめてはいけないよ？と言うか聞いてしまった自分もヤバいような気が
漣,だーいじょうぶですって！あ、ちなみに折り目の付いてるシーンがですね……
提督,わっ、止め、止めなさいそれは、不味いですって
漣,ふふふ。あ、後ですね昨晩お風呂の時に潮っぱいを後から――。えへへ、つい熱がはいっちゃいまして。今は９０ですねー、ご主人様に重用していただいてるおかげです
提督,そっか、随分遠いところまで来たような感じがするねぇ
漣,まだ半年と少しくらいですか、でも濃密でしたよ？
提督,うん、漣さんには沢山世話になったし励まして貰ったり……
漣,あ、あれ？なんかちょっと、いい雰囲気じゃない？。……待つか、いや攻めるか！？ら、ライフカードは無いんだけど！？どうする！？
提督,あ、雪降ってきた
漣,あ、ホントだ！積もるかな！？
提督,どうだろうなぁ。積もったほうがいい？
漣,漣的には積もったほうがいいですねー。一面の銀世界、憧れですヨー！
提督,なら積もるようにお祈りしておこうか。雪も振り出したしそろそろ戻ろうか？
漣,ですねー、行きましょうか。ひゃーっ、流石に雪が降るだけあって寒い！
提督,はぁーっ……息が真っ白だ
漣,……ご、ご主人様、漣の手が冷えてしまいそうです！
提督,……うん
漣,そ、その……手を握ってくれたりとか
提督,ん
漣,……
提督,よし、帰ろうか
漣,……えへへ。ご主人様っ！クリスマス、クリスマスですよ！
提督,うんうん、そのサンタ服、漣さんに良く似合ってるよ
漣,えへへ
提督,クリスマスとあらばプレゼントを用意しない訳にはいかないね
漣,ktkr！何々ー！？
提督,はいどうぞ、まぁ大したものではないんだけどね？
漣,ご主人様、開けても良い！？
提督,うん、開けてごらん
漣,……イヤリング！
提督,うん、まぁ気に入ったら付けてもらえれば
漣,気に入らない訳ないっしょ！えへへ、どうです！似合う似合うー！？
提督,うんうん、かわいいですよ
漣,かっ、かわっ、え、えへへ
提督,それと、まぁ……もう一つ話があるんだけど
漣,はいなんでしょー！もう漣、ご機嫌だからなんだって聞きますよー！
提督,ごほん、えーと……春までに練度９９を目指さない？
漣,へっ？
提督,まぁ、その、うん。どう？
漣,……いいの？
提督,漣さんさえ良ければ、どうかなって
漣,…………喜んで、おねがいじます
提督,ほら、そんなに泣かないで
漣,無理っ、でずっうっぅぅっぅうううう
提督,鼻水が、うわ、ほら
漣,うれじいいいよぉぉおお
提督,あはは、自分も嬉しいよ漣さん
漣,うううぅぅううぅ！！
提督,これからも宜しくね？
漣,はいいぃぃぃぃい
提督,指、出して
漣,うんっ
提督,漣さん、練度９９おめでとうございます
漣,はいっ！
提督,これからも、宜しくお願いしますね
漣,愛してますよっ、ご主人様っ！
