市ヶ谷有咲,おーい、香澄ぃー
香澄,ううん、すっごい嬉しいよ！ありがとっ、有咲っ！
有咲,まぁお前が喜んでくれたなら……私も嬉しいけどさ
香澄,えへへ～有咲有咲っ
有咲,なんだよ
香澄,私、このプリンが食べたいな～！
有咲,……食えばいいだろ
香澄,あーでもなー、風邪ひいてて体が重くてだるいな～。あー食べたいのにな～。チラっ
有咲,…………
香澄,こういう時ってやっぱり近くにいる人にー、食べるの手伝って貰いたいな～。チラチラっ
有咲,あーもう分かったよ！食べさせてやるからそうやって可愛くおねだりしてくんな！
香澄,わーいやったー！
有咲,ったく、しょうがねえなぁ
香澄,と言いつつも何だか嬉しそうな有咲だった……
有咲,うるせー！実況すんな！食べさせねーぞ！
香澄,あーごめんごめん有咲ぁ～
有咲,まったく……この焼きプリンでいいか？
香澄,うん、それでお願いっ
有咲,はいよ。それじゃほら……あーん
香澄,あーん♪……うん、おいしー！
有咲,そりゃよかったな
香澄,何だかいつもよりおいしーなー。有咲があーんってしてくれたからかな～？
有咲,それで味が変わる訳ねーだろ
香澄,えぇ？変わるよ～
有咲,変わるか
香澄,じゃあ試してみる？はい、プリン貸して～
有咲,え？
香澄,はい、有咲もあーんして
有咲,…………。いやいや待てよお前常識的に考えろよ今のお前と私の状況考えろよ普通に考えれば分かることだろうよお前それいわゆる間接キスだろヤバいってマズいだろそれ香澄の口の中に入ったものが同じく私の口の中に入るってそれもうアウトだよ完全に
香澄,あーん？
有咲,やめろそうやって首傾げながら言うのは理性もたねーよミイラ取りがミイラだよ完全に香澄の中の風邪のウィルスが私の中に入ってくるけどそれはつまり香澄菌ってことだから私の抗体は無抵抗で受け入れるってことだし明日風邪ひくよ絶対これ罠だよなんで分かんねーんだよそれが
香澄,あーん……
有咲,あ、もう無理だ。香澄がちょっと寂しそうな顔してるわ。無理無理、抗えないって。……あーん
香澄,あーん♪……どう？
有咲,……今までで食べたプリンの中で一番うまいかもな
香澄,でしょ～！
有咲,っつか、なんかお前元気だな……ホントに風邪ひいてんのか？
香澄,朝はちょっと熱があったよ？
有咲,今は？
香澄,んー、喉がちょっとイガイガするけどだいたいいつも通りって感じ！
有咲,ホントかよ……
香澄,ホントだよ～。あ、じゃあこっちも試してみよっか
有咲,はぁ？どうやっ――
香澄,んー、ほら、私のおでこ、そんな熱くないでしょ？
有咲,……っ！！。おでことおでこくっつけて熱計るってなんだよお前それありえねーだろそんなん００年代前半のゲームやアニメでしか見たことねーよバカじゃねーのマジで顔ちけーしここ香澄の部屋だしいつもよりすげー香澄のいい匂いするし若干汗が混じったような匂いだし顔ちけーしああ頭クラクラしてくるし私の顔すっげー熱いし絶対今熱あるの私の方だよこれ。っ、っ……ま、まぁそうだな、むしろ私の方が体温高いっていうまであるかもな
香澄,ねっ！だからさーすっごくヒマだったんだ～。本当に有咲が来てくれて良かった！
有咲,そ、そっか……それならいいんだけどさ
香澄,でも喉が調子悪いとあの時のこと、ちょっと思い出しちゃうな～
有咲,あの時って……ＳＰＡＣＥのオーディションの時か？
香澄,そうそう！いや～大変だったね、あの時は
有咲,まぁ……まさか香澄があそこまで追い込まれるっていうか……悩んでるなんて思わなかったな
香澄,私もあんなにスランプに陥るなんて思わなかったよ～えへへ
有咲,軽いなっ！？
香澄,もう昔の話だもん、いつまでも引きずってられないっ！
有咲,……お前ってホント……なんつーか強いよな
香澄,え～そうかなぁ？
有咲,私から見たらすげー強いわ……。そんなところも好きだけど
香澄,その強さはきっとみんながくれたんだよ！あの公園で、一緒に前へススメ歌ってくれたの、すっごく嬉しかったし！。それに有咲も言ってくれたもんね！私はいっつも周りを見ないで強引だけど、その強引さのおかげで頑張ってみようかなって思えたって！
有咲,……まぁな。元気がない香澄なんて見てられなくてどうにかして助けてあげたくなるしそういう香澄も好きっちゃ好きだけどやっぱり私はいっつもみたいに強引に周りを巻き込んで突き進んでいく香澄が一番好きだしな
香澄,有咲……
有咲,……やべ、口に出てた
香澄,ありがとー有咲っ！
有咲,うわっ、だからいきなり抱き着いてくんなって！
香澄,もー、またまたぁ、嬉しいくせに～
有咲,そ、そりゃ嬉しいけど……
香澄,えへへ～、素直な有咲も大好きーっ！
有咲,は、はぁ！？私はいつでも素直だって！その……好き、だし……香澄のこと
香澄,ふふふー！素直な有咲にはちゃーんとお礼をしなくちゃね！
有咲,……お礼？
香澄,そう、お礼！
有咲,お礼ってなに……をっ！？。え？ベッドに押し倒された……！？
香澄,えっへっへ～
有咲,ちょ、待て香澄、目がなんか怖いぞ……？
香澄,有咲は強引なのが好きなんだよね？
有咲,そ、それは言葉の綾だろ！？意味が違うだろ！？
香澄,またまたぁ～。いいからいいから……
有咲,いや良くねーって！確実に良くねーってこれ！ちょっ、待っ……ちょま、ちょまま……あっ――
香澄,おっはよー！
りみ,あ、おはよう香澄ちゃん
たえ,おはよう、香澄
沙綾,おはよう。もう風邪は治ったの？
香澄,うんっ！有咲がお見舞いに来てくれてね、そのおかげですぐ元気になったんだ！
沙綾,そっかそっか。ならよかった
香澄,まさか午前中に来るとは思わなかったけどね！
りみ,え、午前中って……
香澄,そーだ、有咲にもちゃーんとお礼を言ってこないと！ちょっと有咲のクラスにいってくるねっ！
たえ,行ってらっしゃい
沙綾,……昨日、あのあとすぐにお見舞い行ったんだね、有咲
りみ,みたいだね……
沙綾,香澄のことになると本当に行動力ハンパないね、有咲って
たえ,それだけ香澄のことが好きなんだよ。美しい友情だ
りみ,友情……なのかな……アレ……
沙綾,うーん……
たえ,あ、香澄帰ってきた
香澄,ただいまー……
りみ,どうしたの、香澄ちゃん。元気がないけど……
香澄,うん……有咲、今日風邪でお休みだって
沙綾,え、そうなの？
香澄,クラスにいなくてメッセージ送ったら風邪ひいたって……
たえ,香澄の風邪、うつっちゃったのかな
香澄,やっぱりそうなのかな……うう、ごめんね有咲ぁ……
りみ,昨日風邪がうつるようなことはやらないって有咲ちゃん言ってたけど……まさか……
たえ,りみもちょっと顔赤くなってない？
りみ,えっ！？
沙綾,大丈夫？熱とかない？
りみ,だ、大丈夫だよ、おたえちゃん、沙綾ちゃん……
香澄,よーし、こうなったら今度は私が有咲のお見舞いをする番だねっ！
たえ,授業サボって行くの？
香澄,ううん、私は有咲みたいに成績優秀じゃないから放課後！
沙綾,ま、普通そうだよね
りみ,香澄ちゃん、有咲ちゃんにお大事にって伝えておいてね
香澄,オッケー！待っててね、有咲ー！！
有咲,うう……めっちゃ寒気するし頭が痛ぇ……。やっぱり香澄菌には……勝てなかったよ……ゴホッ、ゴホッ
具体的にはどっちの方が花音と仲良しか小学生みたいに張り合う千聖さんと美咲ちゃん、だけど肝心のかのちゃん先輩の前ではすかした態度を取る二人とかリサ姉に友達付き合いについての相談をしに行ったら具体例に友希那さんとのエピソードばかりを語られて,そっか友達付き合いってそういうものなんだ
