今井リサ,ふぅ、今日のスタジオ練も終わりだね～
リサ,へーきへーき！せっかく友希那が提案してくれたんだし、それを無下には出来ないよ～☆
紗夜,……今井さんがそう言うのであれば……
燐子,じゃ、じゃあ……このまま今井さんの家に向かいますか……？
友希那,そうね、そうしましょうか。それと途中でコンビニに寄って豆と鬼のお面も買っていく必要があるわね
リサ,うわー、なかなか本気だね～友希那
友希那,ロゼリアは何事にも全力よ
あこ,じゃあまずコンビニだね！
リサ,あ、ならアタシがバイトしてるコンビニで買ってく？そこならちょっとは融通効くし
友希那,そうね、そうしましょうか
あこ,よーし、それじゃあ行きましょー！
燐子,あこちゃん……さっきまであんなに疲れてたのに元気いっぱいだね……
リサ,あはは、楽しいことになると別のスイッチが入るのかもね
あこ,みんなー！早く早く～！
リサ,はーい。じゃ、行こっか～。じゃ、ここでやろっか
友希那,ええ。そうしましょう
あこ,よーし、カッコイイ呪文唱えちゃうぞ～！
紗夜,……豆まきなんてやるのはいつぶりかしら
燐子,氷川さんは……あまり家ではこういうことを……しないんですか……？
紗夜,いえ……節分の習わし自体は行います。ですが、毎年日菜が全部豆を食べてしまって、気付くとなくなっているんですよ
リサ,あー、確かにヒナは豆まきをする意味が分かんないって食べちゃいそうだね
紗夜,というより、節分は豆を食べるだけの行事だと思ってる節があるわね、あの子は……
友希那,さて……じゃあ鬼の役なんだけど……
燐子,…………
友希那,そんなに露骨に目をそらさなくても、流石にいきなり燐子にやってもらおうだなんて考えてないわ
紗夜,ですが、鬼の役は誰だってやりたくないのでは？
リサ,あ、誰も鬼役やらないんだったら、アタシがやるよ！
紗夜,いいんですか？場所まで提供してもらって鬼までやってもらうだなんて……
リサ,友希那の頼みだしね～、それくらい全然いいって！
友希那,……そうね。じゃあ悪いけど、リサにお願いしようかしら
リサ,ん、オッケー☆。えーっと……鬼のお面は……これだね。いやー、去年の売れ残りの一番ゴージャスなやつ貰えてよかったね
友希那,……計画通り
リサ,ん？何か言った、友希那？
友希那,いいえ。何でもないわ
リサ,そう？……んしょっと……あー、髪結んだままだと付けづらいなーコレ。まーこんなもんか。よっし、それじゃあばっちこーい！
あこ,ふふふ……冥府より来たりし鬼よ……この聖堕天使あこの闇の力で、えーと……ズババババーっとした豆を喰らうがいい！えいっ！
リサ,よっ、ほっ、と……あはは、あこはいつも通りだね～。そんな豆じゃ当たらないよ～
あこ,むむむ……我の闇の魔法を避けるとは……鬼の力、侮り難し！
紗夜,……豆まきってもっと違うかけ声があるんじゃないかしら
燐子,あこちゃんは……あこちゃんですから……
紗夜,白金さんは投げないんですか？
燐子,わたしは……お豆あたると……痛そうだなって思って……投げられないんです……
紗夜,……まぁ確かに、意外と硬いものね
リサ,あははは！当たらないよ～！
あこ,う～、だってリサ姉動きが速いんだもーん！
友希那,どきなさい、あこ
あこ,え？友希那さん？
友希那,……喰らいなさい、リサ……
リサ,お、次は友希那～？そう簡単には当たらな――
友希那,……はぁ！
燐子,えっ
紗夜,えっ
あこ,えっ
リサ,え、ちょっ……痛っ！？
燐子,……全力……
紗夜,思いっきり振りかぶって全力で投げたわね……
友希那,あこ……やるからにはこれくらいやらないと駄目だわ
あこ,あ、はい
リサ,ちょ、ちょっと友希那！？
友希那,リサ。先に謝らせてもらうわ
リサ,な、何を……！？
友希那,豆まきをしたいと言ったのは口実よ。優しいあなたのことだもの、きっと豆まきを提案して最もらしいことを言えば鬼役まで引き受けてくれると信じていたわ
燐子,最もらしいこと……って……言っちゃっていいのかな……
紗夜,湊さんに共感した私は間違っていたのかしら……
リサ,ほ、褒められてるし信じてくれてるのは嬉しいけど……それとこれとに何の関係があるの！？
友希那,簡単な話よ。今日、目が覚めた時から何かすごくモヤモヤした気持ちだったの。それで……リサに豆を――というか、何かをぶつけたいという衝動に駆られていたわ
リサ,な、なにそれっ！？
友希那,私も不思議に思ったわ……でも、何故か予感があるの。再来週のバレンタインデー前後で、リサの交友関係の誰かしらのせいで恥ずかしい思いをしそうだっていう予感が！
リサ,え、ほ、ホントにワケ分かんないよそれ！
友希那,私にも分からない……でもこうしているととても晴れやかな気分になる。それは確かよ
燐子,八つ当たり……
紗夜,完全に八つ当たりですね……
友希那,悪いわねっ、リサっ……
リサ,悪いと思うなら投げるのやめてよ友希那！？
友希那,それは出来ない相談よ
あこ,あこ……どうすれば……
燐子,あこちゃん……そこにいると危ないから……こっちに……
紗夜,ええ。今井さんと湊さんは二人の世界に入ってしまったようだから、巻き込まれると危険よ
あこ,う、うん
リサ,痛っ、待って待ってホント痛いって！
友希那,ごめんなさい、ごめんなさい、リサ……
リサ,笑ってる！謝ってるのになんでそんな晴れやかな笑顔なの！？
友希那,何か新しい扉を開いたような気がするわ。今すぐにでも頂点に狂い咲けそうな気持ちよ
燐子,それは……開いちゃいけない扉だと……思います……
あこ,新しい扉ってなんですか？
紗夜,……宇田川さんは生涯知らなくていいことよ
友希那,ふふふふ……
リサ,うっ……よく分からないけどこのままだとやられっぱなしのままだ……。……でも、もうすぐ友希那が持つ豆もなくなるし……そこで隙を付けば……
友希那,……あら？もう豆がなくなったわね。一旦補充しないと――
リサ,あっ、子猫
友希那,どこかしら
リサ,今だ。友希那が周りをキョロキョロうかがってる隙に、この鬼のお面を……被せる……っ
友希那,……え？きゃっ！？
リサ,…………
友希那,…………
リサ,……形勢逆転だね、友希那
友希那,……ちょっと待って。争いは良くないことよ
リサ,ダイジョブダイジョブ。これは争いじゃなくてさ、幼馴染のじゃれ合い？みたいなもんだからさ☆
友希那,待って、笑顔で豆を袋ごと持つのはやめて。た、食べ物を粗末にしてはいけないって子供のころから言われてるでしょう？
リサ,ヘーキヘーキ。これさ、やっぱ外でまくからさ、ちゃーんと殻付きの落花生じゃん？
友希那,そ、そうだけど……紗夜、燐子、あこ！あなたたちからも何か――
あこ,節分のおまめっておいしいよね！ついいっぱい食べちゃうんだ～
紗夜,これは関東で本来使う炒った大豆ではないんですけどね
あこ,でもでも、お家に帰ったらいつものおまめがあると思うし、これはこれでおいしーですよ！
燐子,そうだね……でも冬の落花生はカロリーが高いから……あんまり食べ過ぎちゃ駄目だよ、あこちゃん……
紗夜,ちなみに落花生は東北や北陸、北海道などの寒い地域では一般的に豆まきの豆として使われているようね
あこ,へーそうなんですね～！
友希那,私たちそっちのけで豆を食べてる……！？
リサ,友希那が新しく開いたって扉……アタシも興味あるなぁ～
友希那,うっ……。視線を戻すと嗜虐的な笑顔を浮かべたリサが……
リサ,やっぱー、幼馴染として？そういうの、アタシも一緒に経験したいな～☆
友希那,ま、待って、話を……話せば分かるわ！
リサ,うん、そーだね。えーいっ！
友希那,ちょ、待っ――痛っ！痛いわ、リサ！
リサ,あはは☆もっと激しくいくよ～……！
友希那,今まで見たことがないくらいにいい笑顔で豆を投じてくるリサ。……私が発端で悪いのは確かだから……あんまり強くでれない……！。ほ、ホントに痛いって……きゃっ！？
リサ,っ、あ、あはは……友希那の声……やっぱいいね……
友希那,あ、まずいこれリサに変なスイッチ入ったわ……
リサ,あはははは！
あこ,やっぱり友希那さんとリサ姉って仲良しだね、りんりん！
燐子,……うん、そうだね遠い目
紗夜,あまり見てはいけませんよ、宇田川さん
友希那,待って落ち着いて！本当に私が悪かったわ！だからお願い……！
リサ,はぁ、はぁ……友希那の声……もっと聞かせて……？
友希那,あ、これはもうダメな感じね……
