・全編Fateネタバレ＆キャラ、世界観、設定崩壊待ったなし。但し大喜利もＳＳ自体も,あくまで洒落
大河,バーサーカー！一枚持っていきなさい!
セイバー,！？
大河,じゃアーチャーさんお願い。ｗｗｗｗｗｗｗｗいちまいｗあげるｗｗｗ。はい、ライダーさん。ダメだこりゃｗｗｗｗ一枚あげようｗ。はい、キャスターさんいこうかな。落ち武者だよそれじゃｗｗｗ。次は……アーチャーさん。どう見てもバーサーカーです。本当に……。はい、セイバーちゃん。カエサルさんとかは恨みも何も無いでしょｗｗｗ
ライダー,相性は悪そうですが
大河,はい、ギルさん。上手い！……んだけど、なんかヤダ
ギル,ま、寝取ったのはランサーだったが
セイバー,英雄王！ディルムッドを侮辱する気か！ニ槍流は両刀使いとは違います！
ライダー,いやいや、ツッコむところはそこじゃないですよ……
大河,はい次、ランサーさん。危ねーｗ
ギル,おいセイバ―、隣にちょうど不吉な女がいるぞ。実践してみてはどうだ
キャスター,はぁ！？誰が不吉よ！私よりも強引に求婚を迫る男とサッパリ縁を切りたいわよね、セイバ―！
セイバ―,両方とも縁を切りたい……
大河,二問目。Fateのスピンオフと言えば切嗣さんが主役のFate/Zero
ライダー,企画倒れということですか
大河,ざっとそんな感じね。で、私は何が悪かったのって聞くから、ダメになっちゃった原因を具体的に答えてほしいの。はい、トップバッターはランサーさん。横やりが入ったって言うんでしょ
ランサー,。言うなよォ……
大河,絶対誰か入れてくると思ってたけど、しょっぱなから本人が言ってくるとは思わなかったわよ。一枚持ってって。はい、アーチャーさん。ＧＯＯＤ！一枚あげるわ！
ライダー,……。はい
大河,お、じゃあライダーさんいってみよう。ライダーのはんげき
ライダー無名,無銘
大河,うーんなかなか！これも一枚あげちゃおう！
アーチャー,そんな企画は潰れてくれたほうがありがたい
ライダー,セイバー役はどなたが演じるのでしょうね……
弓・金,よせ！？考えたくもない！
セイバー,……
大河,はい、セイバーちゃん
セイバー新妻ものだったのですが、重役からそんなものにニーズま,は
キャスター,
大河,。くっだらない……ｗｗｗ一枚持ってって
キャスター,あるもん……あるもん……
大河,はい、アーチャーさん。あーあれはねぇ、いつか捕まるんじゃないかって私も不安で不安で。一枚あげます
イリヤ,だーってそのほうが早いし楽だし！。っていうか子供扱いしないでよっ！
リズ,でもイリヤ一人でおつかい行ったことない
セラ,当たり前です
大河,はいライダーさん
アーチャー,ランサーが死んだ！？
ランサー,うぉい！？
大河,あったらしいねそんなのｗ。はい、キャスターさん
キャスター,！？
大河,次はセイバーちゃんいってみよう。おおっ！？よし！一枚あげる！。もー、セイバーちゃんもたまには上手いこと言うのよねー
セイバー,たまには……
大河,はい、ランサーさん
ランサー大河のねーちゃんが悪いんだぜ。告知前から,たいがドラマだ！たいがドラマだ！
大河,いーじゃん！間違ってないじゃん！一枚持ってって！
ランサー,なんでだよォ……
大河,えーと、ライダーさんお願い。うーん、教師の立場としてはそっちの肩を持ちたくなるんだけど……。はいギルさん。アウトー！一枚もってって。はい、アーチャーさん
セイバー,私をそのような狭量な者と愚弄するか！アーチャー！
大河,じゃやるの？
ライダー,誰もレッドがネロだとは言っていないのですが……
大河,私は士郎ね
セイバー,はいっ！
大河,おっ、やっぱり最初はセイバーちゃんがきたわね？はいセイバーちゃん！
セイバー,はい
大河,丸一日も稽古してたら、料理なんか作れないし食べられないわよ。一枚持っていきなさい
セイバー,
大河,はい、ライダーさん。ｗｗｗｗｗｗ。三日と持たないよｗｗｗ
セイバー,そうです。そのようにたびたび大事な話をしていては、話題が尽きてしまう
全員,……
大河,はいランサーさん。家でて解決するとは思えないけどねｗ。はいアーチャーさん
アーチャー聞くな,即答
大河,そーだそーだ!イギリスなんか行っちゃヤダーッ!。二枚あげて！
ライダー,……何があったんです？
アーチャー,だから聞くな……
大河,次は……セイバーちゃんお願い。まだ仲直り出来てないんかい……
イリヤ,仲良かったことないけどね
大河,はい、ギルさん
ギルガメッシュ,！？。司会！問題が違うではないかァ！？
大河,そんなこと言ったって、さすがに……ねぇ
セイバー,その通りです大河。シロウをよく理解している
ギルガメッシュ,おのれおのれ……ッ!
イリヤ,師匠！自分もやりたいっす！
大河,おっ！いくか弟子！じゃあやんなさい！
イリヤ,押忍！
大河,遊び方までは聞かないわよ、このあくまっこ！終わったら会場周り十週！
イリヤ,えー
ランサー,おー怖い怖い
アーチャー,……
大河,はい、セイバ―ちゃん
キャスター,あら？。どーいう意味よおぉぉぉぉっ！！。……へーえ……ふーん……
大河,次はアーチャーさんいこうかな。バーサーカー！アイツから全部持っていきなさい！
アーチャー,ムゥ、全部か……
ランサー,ケッ、さっきから聞いてりゃ、それが若人にかける大人の言葉かよ
アーチャー,そう言うからには相応の答えを用意しているのだろうな
ランサー,当たり前だ。いいか、大河の姉ちゃん
大河,じゃご希望通り、ランサーさんいってみよう。……上手いっ！一枚あげる！
ランサー,おっしゃあ！
大河,特撮もの担当になるのは間違いなしだねｗ。はい、キャスターさん
キャスター,……
ライダー,これは……魔力の気配……
アーチャー,奴め、何をする気だ……？
セイバー,？キャスター、いったい何を言っているのです？
ランサー,うわー、ひでえ女がいたもんだ
ライダー,士郎、ご愁傷様です
アーチャー,……
大河,……キャスターさん、その話、後で詳しく。あー、じゃあ今回はこの辺でお開きに――
ギルガメッシュ,おい司会、我が手を上げているのが見えぬのか。無視などしようものなら万死に値するぞ
大河,めんどくさいわねぇ……はいギルさん。ムキーーーッ！ギルガメッシュからみんな持ってっちゃえーっ！
ギルガメッシュ,フハハハハハハ！なんだその反応は！我の英雄王ジョークは気に入らなかったか？ハハハハハハハハ！
大河,というわけで、今回はライダーさんの勝利ーっ！
ライダー,ありがとうございます
ランサー,だが〝産めよ、増やせよ"だったか？何がもらえるんだろうな
アーチャー,字面を見ればマタニティグッズあたりが妥当なところだが
キャスター,ま、まさかそれ以前のイヤラシイものとか！？
セイバー,そこに行きつく発想が卑猥です
大河,さぁ！ライダーさんが集めた座布団6枚分の魔力が笑
ライダー,こ、これは？
キャスター,何かの苗みたいだけれど
大河,これはね、梅の苗木
全員,
ライダー,く、くだらない……
アーチャー,開花するまで数年かかるな
セイバー,梅干しは気長にお待ちしております
大河,じゃ、今日はこの辺でお開き。またいつかのお楽しみ！ありがとうございました～！
セイバー,ハァ……結局、最初よりも座布団が少なくなってしまった……シロウにどんな顔をすれば……
凛,あら、セイバーお疲れ。浮かない顔ね
桜,少し疲れちゃいましたか？
セイバー,あぁ、凛、桜……シロウはどちらに？
凛,衛宮君なら、途中で血相変えて会場から出てったけど
セイバー,なに？
大河,……セイバーちゃん。ちょっと
士郎,た、ただいまっ！。マズイマズイマズイッ！せめて置き場所だけでも変えておかないと！
切嗣,し、士郎か……
士郎,親父！？
切嗣,すまない士郎……僕は、お前を守ってやれなかった……
士郎,そんな……まさかっ
アイリ,あら、お帰り士郎くん。ずいぶん早かったのね
士郎,。白目
セイバー,シロウ……こんな不純なものを隠し持っているとは……っ
士郎,セ、セイバー！？藤ねえも！？
アイリ,あら大河ちゃん、こんばんは。今日も大喜利楽しかったわよ
大河,師匠。そちらの本を貸してください。内容次第では没収します
士郎,ま、待ってくれ藤ねぇ！
アイリ,えー、別に目くじら立てるほどのものじゃなかったけどなぁ
セイバー,いけませんアイリスフィール！このような下劣な物を見過ごせば、シロウの魂が堕落してしまう！。貴女も貞淑な婦人であるならば、平然とそのような物を手に取るべきではない！
アイリ,もぉ、セイバーも大河ちゃんも頭固いんだから……
士郎,とにかくみんな部屋から出てくれぇ！
大河,そーはいくか！オラァ！ネタは割れてんだ！隠してるもん全部出せやァ！
イリヤ,ちょっと離してよォ！
セラ,お嬢様！今は士郎の部屋に入ってはいけません！
イリヤ,何よ！別に興味本位で行こうってんじゃないわ。私は姉としてシロウの味方をするために来たのよ！
士郎,イリヤ……？
イリヤ,そりゃ確かに〇〇〇とか●●●とかでコーフンしてる様子はちょっと引いたけど！
切嗣,
士郎,
イリヤ,私的には少女趣味に尖ってもらわないと困るっていうか！
アイリ,
大河,
セイバー,
セラ,
士郎,な、なんでさぁぁぁぁぁぁっ！！！
リズ,衛宮さんちは、今日もにぎやか。良いこと
バーサーカー,■■■■ーーーー！？
セイバー,士郎、明日は丸一日、私と道場で稽古としましょう
士郎,……なんでさ
セイバー,貴方の心から、くだらぬ劣情を追い払うためです！それに……。あ、あのようなものに頼らずとも、貴方の傍にはいつも……その……。……///
士郎,……///
しかし、ミスって,sage忘れとか、表記の統一とか
