幼馴染,男、お腹すいた
幼,や、野菜食べるよ！
男,別に無理して食べなくてもいいんだぞ
幼,食べるったら食べるのー！！
男,おお、偉いなー。じゃあそんな君には後でケーキをあげよう
幼,へへー、私はやればできる子なのです！。やっとテスト終わったー
男,今週はテスト三昧で疲れたな
幼,毎日たくさん男に勉強教えてもらっちゃったね
男,本当だよ、お前全然勉強してないから、教えるの大変だったよ
幼,へへー、でも男教えるのうまいからテストは全部赤点回避できたぞー
男,たまには一人で勉強しろよな
幼,面倒臭いー
男,はぁ、全く......
幼,あっそうだ！
男,ん？
幼,ねえ、明日どっか遊びに行こうよ
男,えー、明日は家でのんびり過ごそうよ
幼,行こうよー！
男,俺はお前に勉強教えるので体力を使い果たした
幼,うぅー......行こう行こう行こう！
男,遊びに行くって言ってもどこ行くんだよ
幼,んー......遊園地！
男,却下
幼,いいじゃんー
男,一人で行ってこい
幼,......
男,幼？
幼,私、男と遊園地行きたいなー
男,う......
幼,ねえ......だめ？
男,く......
幼,......
男,......ああもうわかったよ
幼,え......！
男,行けばいいんだろ、遊園地
幼,うん！
男,はぁ、全く......
幼,男大好き！
男,はいはい
幼,男、遊園地行こう
男,ん......？ああ、まずは朝ごはん食わない......
幼,？どうしたの
男,......お前、ちょっと俺におでこゴチンやってみろ
幼,いいけど......？
男,......お前、熱あるだろ
幼,え？ないよー
男,いや、絶対ある。ちょっと体温計持ってくるから待ってろ。お、測れたか？
幼,......
男,おい、なに隠してるんだ
幼,い、いや、別に平熱だよ
男,なら見してくれてもいいだろ
幼,あ、いや、観る価値もないかなー......なんて
男,......あっ、UFO
幼,え......！
男,はい、もらいー
幼,え......ああー！ちょっとだましたの！？ひどい！
男,騙される方が悪い。えっと......38度3分
幼,......
男,......
幼,わ、わたし、38度くらいが平熱なんだよねー
男,ばかやろう、んなわけあるか。今日の遊園とは中止だな
幼,えー！
男,えー、じゃねえよ。こんなに熱あったら当たり前だろ
幼,やだやだやだ！遊園地行くー！
男,だーめ、遊園地はまた今度
幼,うぅー、いい子にするからー、勉強も一人でするからー
男,ダメなもんはダメ、今日は家でおとなしくしてなさい
幼,うぅー......やだぁ〜......
男,ほら、氷枕持ってきてやるから俺のベットで横になっとけ、いいな？
幼,遊園地ぃー......
男,幼ー、氷枕持ってきたぞ
幼,......
男,ちょっと顔上げるぞ、よっと
幼,......
男,よし、これであとはゆっくりしとけば明日には治ってるだろ
幼,......
男,氷枕気持ちいいか？
幼,......
男,おーい、幼さん？
幼,......
男,......はぁ、遊園地はまた今度連れて行ってやるからさ
幼,......今日行きたかったんだもん
男,そうは言ってもなー
幼,......
男,幼、おいで
幼,......
男,よしよし
幼,ん......
男,今度は絶対に行こうな
幼,......うん、男が風邪引いても行く
男,まじか、じゃあ風邪引くわけにはいかないな
幼,約束だよ？
男,ああ、約束だ
幼,へへ......
男,もうそろそろ昼だな
幼,あ、本当だ
男,幼はなんか食べたいものある？
幼,カツカレー
男,それは風邪が治ってから
幼,じゃあ......鍋焼きうどん
男,おっけ、ちょっと待ってて
幼,ねえ男
男,ん？どうした？
幼,好きだよ
男,！な、なんだよ急に
幼,男は私のこと好き？
男,え？
幼,私のこと、好き？
男,......ああ、好きだぞ
幼,へへ、そっか
男,ああもうなんだよ、昼ご飯作ってくるぞ
幼,うん、待ってる
男,出来たぞー
幼,うわー、美味しそう
男,ほい、どうぞ召し上がれ
幼,食べさせてくれないの？
男,別に体動かないほどじゃないんだしいいだろ
幼,そうだけど......
男,じゃあいいじゃん
幼,あっいや、ちょっと腕が痛くて上がらない......かも？
男,ふーん......？。......
幼,......？
男,あっ、手の近くにゴキブリが！
幼,え！？
男,なんだ腕上がるじゃん
幼,あ......うぅ〜また騙したぁ！
男,痛い痛い、病人は静かにご飯を食べなさい
幼,じゃあ......ん
男,......はぁ。ほらアーン
幼,あーん
男,美味しいか？
幼,うん！ちょー美味しい！
男,はは、それはよかった
幼,ふへー、お腹いっぱいー
男,まさかほとんど食べるとは......結構量あった気がするんだが
幼,男の料理はいくらでも食べられるのだ！
男,後で食べ過ぎてお腹いたーいとか言うなよ
幼,大丈夫！
男,......だと良いけど
幼,男〜、お腹痛い......
男,やっぱりさっきのは食いすぎだ
幼,うー......だって美味しかったんだもん......
男,はぁ、イッケル持ってきてあげるから待ってて
幼,ま、まって......！
男,どうした？
幼,イッケルは美味しくないからヤダ......
男,そう入ってもお腹痛いならしょうがないだろ
幼,ねえ、抱きしめて......
男,なぜ？
幼,抱きしめてくれればあったまって少しは良くなると思う
男,......
幼,ね......？
男,......はいはい、抱きしめればいいんだろ
幼,へへ......あったかいよ、男
男,......ならよかった。どうだ？もうそろそろ離れていいか？
幼,うーん......もうちょっと
男,そんなこといって、かれこれ20分近く経ってるんだが
幼,だって、男の体あったかくて気持ちいいんだもん
男,俺は、湯たんぽじゃないんだから
幼,男湯たんぽ......へへ、今度から寝るときはそれを使おうかな
男,何言ってんだよ、ほらお腹の調子良くなったなら、もう離れるぞ
幼,えー、もうちょっと〜
男,だーめ、あんまくっつきすぎると風邪がうつっちまうだろ
幼,うぅ......ケチ
男,はいはい、良い子はもう一度寝ましょうね
幼,もう寝るの飽きたー！
男,しょうがないだろ、風邪引いてんだから
幼,もう治ったもん
男,治ってません
幼,うー......。あ！じゃあ男も一緒に寝よう！
男,そんな事したら、風邪がうつるだろ
幼,いいじゃん！
男,よくないです、明日は学校なんだから
幼,じゃあ、寝ない
男,わがまま言うなよ、そんな事言ってると、明日も風邪引いたままになるぞ
幼,別にいいもん、男がいれば
男,もし明日も風邪引いてても、俺は普通に学校行くから俺はいないぞ？
幼,え......？
男,お前一人、お家でお留守番になるぞ。いいのか？
幼,......やだ
男,じゃあ、今日はしっかり寝なきゃだな
幼,......わかった
男,よしよし、偉い偉い
幼,ねえ、私が寝るまででいいから、一緒に寝よ？
男,......まあ、それならいいよ
幼,へへ、ありがとう男
男,いいよ、別に
幼,......
男,......
幼,男、最後にもう一回抱きしめて
男,はいはい
幼,んん......。男
男,ん？
幼,......好きだよ
男,ああ、俺もだ
幼,うん......
男,......
幼,......
