モバP,以下P
乃々,あの、変なんですけど……真っ黒な雲に覆われて、何も見えない夜空です……
凛,そうなんだ。ふーん……確かに雨が降ってることも書いてあるよね
亜季,その暗い夜も突き抜けて、そこまで行こうということでしょうか
凛,地上では雨が降っていて、手を伸ばせば銀河にも届きそうな空に、私達はいるのかな
亜季,空よりももっと上、宇宙空間まで行っているのかもしれません
凛,あ、じゃあ、銀河までの旅の歌とか
乃々,辿り着くのが……ゴールじゃないんです、そこからさよならしてますから……
凛,そっか、確かに
亜季,銀河で二人、旅、別れ、とくると銀河鉄道の夜を連想するでありますな
凛,宮沢賢治の？
亜季,ええ
乃々,もりくぼも、最初それが思い当たって、読んでみたんですけど……
凛,けど？
乃々,……言葉だけ取ると連想はしやすいんですが……ちょっと噛み合わない気がして
亜季,確かに、最後に笑い合えるお話かというと。しんみりとするお話でありますから
乃々,それに……銀河鉄道をモチーフした歌なら、デュエットで歌うんじゃないかと思って……
凛,なるほどね。んー……さよならって切ないとか、しんみりとか、そういう言葉とセットなイメージがあるよね
亜季,この歌だと、最後に笑っているのであります
凛,笑えるような、さよなら？無理して笑って見せてるのかな
乃々,曲の最後の方は……もう一人になってます。その独白で、無理に笑うことは無いかなって……思います……
亜季,おお……
凛,……乃々、すごいね
乃々,え、ええっ……なんですか……
凛,それぐらいよく読みこんでるってことだよ
亜季,説得力あるであります
乃々,あの……すいません、否定ばっかりで……
凛,そんなことないよ。すごく助かる。にしても、なんだろう。切なくない別れ……前向きな別れ？
亜季,前向きな……うーん、私にはそんな経験はないであります
凛,私もそういったことはまだないや
乃々,もりくぼも、です……
凛,最初は泣いているのに、最後は笑って別れられる関係か。なんか、ロマンチックかも
亜季,きっと、いい関係なのでしょう
乃々,そうなんでしょうか……
亜季,互いに大切じゃないと、泣いたり笑ったりできないものでありますから
凛,そうだね
乃々,それは確かに、そうかも……。あの、これ……。……本当に二人なんでしょうか……
亜季,うーん？
凛,でも歌詞には、僕ら、二人って
乃々,そうなんですけど……
凛,君と僕が二人じゃなかったら、か。三人だったら、ユニットで分かりやすかったかもね
乃々,私には……まだ考えがまとまっていません……
亜季,いやいや、私達もまだまだ理解が浅いです
凛,そうだね。悩み過ぎてもなんだし。ゆっくり考えていこうよ
乃々,ごめんなさい……
亜季,何を言いますか。乃々殿のおかげで、解析は大きく進展をしていますよ
乃々,え……
凛,そうだよ。乃々が今日、レッスンの最後に言ってくれてよかった。このままじゃいけないってわかったの、すごい成果だよ
乃々,あぅ……そういう風に褒められるの、慣れてないんですけど……
亜季,私も、もっと理解を深めないといけないでありますな
凛,そうだね……うん、うん
亜季,凛殿？
凛,うん。まずは……いろんなところに相談してみようか
P,それで俺か
亜季,私は凛殿から話を持ちかけられたであります
P,まあ、大筋は分かった
凛,乃々は、私達よりもっと深い場所で悩んでいると思う
亜季,本来であれば、年長の私がいろいろアドバイスするべきなのでしょうが……
凛,ううん、亜季さんにはいろんな意味で支えになってもらっているから
亜季,そう言っていただけると嬉しいであります
P,乃々のこと、どうにかしてあげたいんだな
凛,人事じゃないよ。私達も歌うんだから。乃々ばかりに悩ませられない
亜季,互いにカバーし合ってこその、スリーマンセルであります！
P,ん？まあ、ユニットな、うん。しかしそうか、乃々がなぁ。∀NSWERのときより歌いやすい曲かなと思ったんだが
凛,あれはほら、インディビジュアルズの妙な相性の良さもあるし
P,やけくぼした時の勢いはすごいもんな
凛,でもこの歌は違うでしょ？
P,まあ確かに
亜季,だからと言って、単純に悲しさを表現すればいいわけでもなさそうなのです
P,そうか……うーん、作詞さんに聞くとかもできるけど……無しだろ、今の話を聞くと
凛,そうだね
亜季,そこは、ベテトレ殿の仰るとおりにしようかと
凛,私達がもらった歌詞なら、私達が解釈するのが筋なんじゃないかなって
P,ふーん、いい心がけじゃん
凛,それ私の真似のつもり？
亜季,まぁまぁ
P,とはいえ、俺が教えられることって言ってもな
凛,確かにヒントは欲しいけど、お願いはそれじゃなくて
P,ん？ああ、そういやどこか行きたいんだっけ
凛,うん。見に行きたいんだ
P,見に行くって……
凛,これを
亜季,そのものであります
P,あー。そうきたか。見えるのか？
亜季,肉眼で見られる様であります。ただ、実際は少々暗いものらしく
凛,天文台とか、高い山の上でとかまでは行かなくていいけど
亜季,やっぱり星を見るなら、空気の綺麗なところで見るのがいいと思いまして
P,亜季って免許もってたっけ。いや、どっちにしろ見るなら夜に行かないといけないから、男の付き添いがあった方がいいな
凛,というわけで、プロデューサーが適役なんだ
P,なるほど、納得した
凛,ね、お願い
亜季,お願いします
P,わかった。そこまで言われちゃ断れないよ
亜季,ありがとうございます、P殿！
凛,ありがとう、プロデューサー
P,おう、これも仕事のうちだ。……あれ、結局なんで乃々はここにいないんだ
凛,サプライズにしようかなって
P,えー……未成年連れ回すんだから、親御さんの了解はとってくれよ
凛,わかった、乃々のお母さんに取るね
P,お前もだよ
凛,ふふ、はーい
亜季,私は器具の準備と、場所の選定をしておきましょう
P,助かる。俺は車出すだけだな。出来れば翌日休日に頼む
凛,わかった
P,……で、あの最初のあれはなんだったんだ。あの、耳
凛,ああ、あれ？いい誘い方ってのを教えてもらったんだけど……間違えてたかな
亜季,どうにも私達、まだそういうことには慣れないものでして
P,誰に教えてもらったんだ
凛亜季,奏
P,……よくわかった、人選ミスだ
凛,おつかれ
亜季,お疲れさまであります
乃々,お疲れさまです……
凛,乃々、今日はこれから予定ある？
乃々,え……いえ、ないですけど……ご飯なら、一緒しても……
亜季,ふむふむ。ちなみに明日の予定は？
乃々,一日なにもないですけど……え、なんですか、予定無しくぼを笑いに来たんですかぁ……
凛,そうじゃないそうじゃない。うん、やっぱり決行日は今日だね
亜季,でありますな
乃々,はいぃ？
凛,はいこれ乃々のスマホ。おうち電話して
乃々,はいぃ
亜季,プロデューサーにトラ連送！ご足労願ってくるであります！
乃々,はいぃ。はいぃ
凛,どうも、乃々のお母さん。346プロの同僚の渋谷凛と申します
乃々,はいぃ
凛,かくかくしかじか。もちろん私達だけでなく、プロデューサーも同行しますので
乃々,はいぃ
P,よっしゃー出発するぞー
凛,はーい
亜季,アイサー！
乃々,むーりぃ……。急に説明もなしに……なんですか、いぢめですか……
凛,そんなことしないよ
乃々,むしろこれは拉致では……
P,北海道の大物俳優みたいなこと言いだしたな
凛,よくわかんない
乃々,どこに連れていかれるんですか……
凛,え、乃々のお母さんに説明してたじゃない
乃々,なにか耳に入ってくる精神状態でしたか……？
凛,このメンバーってことは、あの歌のことだよ
乃々,それは、何となく見当は付きますけど……
凛,私達の歌を、確かなものにしたいんだ。乃々もずっと思ってきたよね
乃々,……まぁ、はい……
亜季,発案は凛殿です。P殿も私も、この日のために準備を進めてきました。是非とも、皆で確認しに行きたいと思っていたのであります
乃々,……なにをですか
凛,決まってるじゃない
亜季,実際にこの目で、見に行きましょう
凛亜季,アンドロメダを
亜季,助手席
P,西か。とりあえず中央道乗るか
亜季,候補はこのキャンプ場であります。駐車場も充実しているでありますな！
P,そりゃ助かる。山で街明かりもないし。あ、これでも都内なんだな
乃々,アンドロメダ……
凛,そう。実際に見に行ってみよう。アンドロメダ銀河
乃々,えっと、じゃあこれは……天体観測の
亜季,まあ、小旅行みたいなものでありますな
乃々,先に言ってくれても良かったんじゃ……
凛,こういうのって、勢いが大切なんだよ
乃々,はい……？
凛,事前に行こうって言っても、予定だ何だで伸ばし伸ばしになっちゃう。どこかですぱっと、行く、って連れていった方が乃々は行きやすいかなって
乃々,それは……そうかもしれないです。凛さん、そこまで考えて……？
凛,まあね
乃々,……。ちょっとだけ……見たくなりました。アンドロメダ
凛,うん、見に行こう
P,いや、乃々の混乱顔見たかっただけだろ
亜季,言わぬが花でありますな
凛,私達は明確に答えが出ているわけじゃない
亜季,そうですね。なんとなくこんな感じ、と雰囲気は分かっているつもりでしたが
凛,それじゃダメ。それは、乃々の方が良く分かってるよね
乃々,あぅ……もりくぼは、そんな大層なこと……
凛,これまでも、いろんな歌を貰うたびにたくさん考えてきた
亜季,これも、その延長線であります
凛,それと、ちょっとした気分転換も兼ねて。ね
乃々,はい……答えが出せるように
P,出せるといいな
凛,……プロデューサー、答えは見つかるかな
P,ん？そりゃ、わからないよ
凛,随分、あっさりしてるね
P,君たちが答えを出すものだからな。誰にだってわからない
凛,ん……
P,でも、今回で見つからなくても大丈夫だ
凛,え？
亜季,何故でありますか？
P,答えが出るまで、また何度でも付き合うさ
凛,……そっか。ありがとう
P,でもまぁ、収録日の変更はできないけどな
凛,ちょっと、せっかくいい雰囲気だったのに
乃々,だいなしぃ……
亜季,P殿はもう少し女心に理解があるといいのですが
P,そこまで言う？。んー……まだ夏って言っていい季節だもんな。キャンプしてる人もいるな
亜季,週末でありますから……あ、でもキャンプ場の敷地から少し外れれば、街灯も無くて星が見やすそうであります
凛,じゃあ降りてみようか
P,冷えるってわけじゃないけど、秋の雰囲気になってきてるな
凛,わっ。ここでも結構星見える
亜季,街灯のある駐車場でこれでありますから、暗いところに行くともっと見えるでありましょう
凛乃々,……
凛,ここより暗いところ行くの？
乃々,あの、あっちの方とか、真っ暗で怖いんですけど……
亜季,おおっ、良いでありますな。ではそこに向かっていきましょう！
乃々,怖いって言ってるんですけど！？
P,なにスーツの端つまんでるんだ？
凛,別に？
乃々,暗いのを嫌がるのは本能なんですけど……
亜季,ではこういう時のための！
凛乃々,まぶしっ！
亜季,防水、防塵、米国防省の軍用調達規格クリアのLED懐中電灯であります！
P,おいこら、それ直接向けるな
亜季,はっ！ではローモードで使用します。それでも30分置きに消灯時間を設けさせてください。バッテリー寿命が短くなりますので！
P,使いづらいわ！まあ明るいのは確かだから、その間はこっちの普通のライトでいいか
乃々,なんていうか亜季さんのライトの後だと……
凛,しょぼいね
P,すごく理不尽なこと言われた
乃々,やっぱり行くんですかぁ……
凛,まあ、いてもせいぜい鹿か狸だよ
P,その割にはスーツから手、放さないのな
凛,なにか言ったプロデューサー？
P,声に震えが出ていないあたりプロだよ、凛は
乃々,ぷ、ぷろでゅーさーさぁん……
P,おっと。そっちはライト持っているほうの手だから、逆を。凛、その逆を塞ぐな
凛,ライト私もつよ。気にしないで
P,……じゃあ任せるけど
亜季,ほらほら、早くいきましょう
P,頼もしい
凛,亜季さんがいて本当よかった
P,一番実感こもってるぞ
亜季,おおっ
P,雲一つない、満天の星空だな
凛,すごい……
乃々,……綺麗、です
亜季,ライト消したら、もっと凄そうでありますな
乃々,だめです。消したらもりくぼは帰ります
P,いつになく強い口調だ
亜季,まあ、乃々殿がそう言うのなら
乃々,ひゃっ……なんですか……？
凛,んー、これだけ綺麗でも、スマホじゃ撮れないか
P,シャッタースピード調整と、ISOの設定ができるなら撮れるだろうけど
凛,何の設定？
亜季,いえ、結局手で持っての撮影は難しいであります。地面に直置きなら、あるいは
凛,それはちょっと遠慮したいかな……
亜季,それで、結局どの星でありましょう
凛,銀河だから、しっかり光ってるんじゃなくて、ぼやっと見えるらしいよ
P,そもそもどれがその銀河なんだ
乃々,目に映る星の数が……多すぎます
凛,よし、じゃあこれ。星座アプリ、ダウンロードしてきたんだ。えーとGPSオンにして……あ、すごい。スマホ動かすと星空も動く
P,おー。お目当ての銀河は……
凛,検索すると、矢印が出るね。その方向に合わせて……。んー、ちょっとだけコンパスがずれてるかな。他の星の位置からして……
亜季,あ、あのW字、カシオペアでありますな
P,お、詳しいのか？
亜季,北極星を探すのに使える星でありますから
P,あー、なんか聞いたことはあるような。北斗七星？
亜季,そっちも使えますし、カシオペア座も使えるであります。ですが、まだ六分儀の使い方まではマスターしてないので、緯度経度の割り出しはできないであります
P,いや、必要ないだろ
亜季,何を仰いますか！電子戦時にGPSが使えなくなった時のことも考慮しておかねば！
P,お前さては今日テンション高いな？
凛,カシオペアから、東に寄った、ちょっと低い位置に……アンドロメダ座。黄色っぽい星から、少し左上に……
乃々,あれ、でしょうか
凛,その、なんていうか……もや、みたいなの
亜季,多分あれのことですね……
P,あれなのか？
乃々,あれ……ですか……
凛乃々亜季,……。うーん
凛,なんて言うかこう……動かない雲？
乃々,ちょっと楕円っぽく見えるような……気がしなくもないような……
P,よくわからんな
亜季,ではこの双眼鏡で
凛,うわ、ごつい
亜季,USアーミー採用の代物であります！防水性はもちろん、高度5,000mの低気圧下でも曇りが発生いたしません！
P,日常使用には絶対オーバースペックだろ
亜季,ではいざ！
乃々,……
凛,双眼鏡だと何か変わる？
亜季,……しっかりと……楕円であります
P凛乃々,うーん
P,とてつもなく遠い星の集まりだもんなぁ。双眼鏡でも全体の形が見えるくらいか
凛,何光年だっけ
乃々,230万光年です……
P,良く知ってるな
乃々,……調べました……
凛,これ、天文台の望遠鏡とかじゃないと綺麗には見られないんじゃ
亜季,むむむ
P,まぁ、ロマンはあるよな
凛,ロマン？
P,230万光年だろ。いま見ているアンドロメダの光は、230万年宇宙を駆け抜けてきた光ってわけだ
凛,230万年……
亜季,途方もない時間でありますな。お、アラームが。30分経ったので、一時消灯させていただきます
乃々,うひぃ、とても暗いです……
P,一応懐中電灯あるけど
乃々,その程度の明るさだと、もう心もとないです……
P,うん、まあ、わかる。車戻ってちょっと休憩するか
凛,意外とあっさり見つけられたけど
亜季,それ以上にあっさりと見終わってしまったであります
乃々,ある意味……もりくぼみたいに急に連れてこられた方が、期待が膨らまない分良かったかもしれません……
P,まあ、星見て何か掴めるくらいなら楽なもんだよな。えーと
凛,なにしてるの、プロデューサー？
P,よっと。コンビニもので何だけど、飲み物と軽食だ
凛乃々亜季,……
P,あ、あれ？そこはもっとこう、盛り上がってもいいんじゃ
乃々,いえ、その……
亜季,この時間の配給は、何とも魅力的でありますが
凛,ちょっと気にするよね……
P,君ら、ちゃんとアイドルなんだなぁ
凛,アイドルにしたのプロデューサーだよ
亜季,……
乃々,……
凛,だれ？
亜季,いえ、私では
乃々,あの、はいぃ……お腹鳴りくぼです……
凛,ふふっ。いいね、私もお腹空いた。食べようよ
亜季,食べた分、レッスンで消費すればいいでありますな！
P,そんで。実際に見て、何か分かったか？
乃々,そんな何が分かったとかなんて……
亜季,とても遠い、遠い宇宙の彼方から来た光だということは、知識として分かりますが、実感が追い付かないであります
乃々,……
凛,あっ
P,ん？
凛,ねえプロデューサー。ここで曲、聴けるかな
亜季,確かに！聴きたいであります！
P,ああ、待ってな。確かタブレットにデータが
亜季,では、カーステレオにブルートゥース接続はいかがでしょう
P,それいいな。タブのスピーカーよりいい音出るだろうし。みんな聴き入り始めたな。ぼそぼそと呟いて歌ったり。じっと窓の外を見つめていたり
乃々,……
凛,……
亜季,どうして……どうして……きみは君なんだ
乃々,……
凛,乃々？
亜季,……？
乃々,いつでも……きみは……
凛,……？。え、あっ、ちょっと
亜季,どうしたでありますか
凛,わかんないけど、乃々が外に
P,おいおい、あまり遠くに行くなよ
凛,乃々、どうしたの？
乃々,なにか……分かったような気がして
亜季,なにが、とは……なんでありますか？
乃々,……
凛,……
亜季,……
乃々,あぅ……やっぱり分からないです……。……ごめんなさい、凛さん。こんな天体観測までして……
凛,……
乃々,なんていうか……くやしい、です。何か分かりそうだったのに……
凛,ねえ
乃々,はい……
凛,こんばんは
乃々,はい……？
凛,ねえ。どうしたんだい。ねえ
乃々,どうして、どうしてずっと泣いてるの、ですか？
凛,ふふっ。ここからがいいところなのに
乃々,急に振られても困りくぼですけどぉ……
亜季,ふふ……しかしなんです。天気はこんなに晴れて、満天の星空だというのに。あまりすっきりできないものでありますな
凛,そうだね。ちょっと夢見すぎていたかも。実物を見てすっきり解決、なんて
乃々,夢……
P,……
凛,あ
亜季,カーステの音量、結構大きくできるのでありますな。せっかくです、何か掴めなくても、歌ってみませんか
凛,そうしよう、乃々。私も、歌ってみたい気分
乃々,待って……もらえますか……
凛,え？
乃々,すっきりできない……暗い、曇り空のような……
亜季,乃々殿？
乃々,夢、願い……。……。うまく言えるか分からないけど、聞いてくれますか
凛,うん
亜季,ええ
乃々,私たち……アンドロメダ銀河を見にきました
凛,うん。一応、見れたね
亜季,目標達成とはいきませんでしたが
乃々,いえ……達成、だと思います……
凛,えっと、どういうこと？
亜季,何か答えがでたのでありますね？
乃々,ぼくらが目指すアンドロメダは……。……願いかな、って……
凛,願い？
乃々,夢、でもいいです……。アンドロメダは、夢なんです
亜季,夢……
乃々,正確には、歌詞の中では夢が形になって叶う場所って……
凛,うん
乃々,アンドロメダへ行くのが夢じゃなく、夢が叶う場所がアンドロメダ……。そこを目指す、ぼくらの物語。泣いている、夢にあこがれているだけの僕と……。夢に向かう、笑えない自分にも笑ってくれる、君
亜季,やはり、二人の物語なのでありましょうか
乃々,……この二人……自分自身のことかなって、思いました
凛,どっちも、自分自身？
乃々,太陽も見ずに過ごした自分……。……夢に向かって、僕にも微笑むことができるようになった自分……。不思議だったんです……君と僕と、そして、平仮名のきみもぼくあるの
凛,あっ、確かに……
乃々,夢を叶えられなかったきみ。夢を叶えた君に手を差し出されたぼく。変わっていく僕……
亜季,どれも、自分ということでありますか
凛,じゃあずっと、ここにいる君も僕も、一人だったっていうこと？
乃々,凛さんと亜季さんは……ありませんか？前の自分と、今の自分は違うなって、変わったなって思うこと……
凛,それは……あるよ。うん
亜季,アイドルを始めてからは、良く思うであります
乃々,もりくぼも……少しは、変わったかなって思います……。そんな、前の自分との
亜季,アンドロメダという夢への旅路
乃々,はい……だから。アンドロメダは……ここなんです……
凛,いま、ここが私達の夢
亜季,今日の、みんなであの銀河を見るという夢
凛,それが叶った私たちは
乃々,夢に会えた自分は……。夢に会えていなかった自分にさよならをするんです……
凛,……ああ、そっか……さよならって言っているけど。夢が叶った自分との、出会いの曲でもあるんだ。寂しそうとか、切ないとかそんな感じかと思ったけど、そんなことはなくて
乃々,もしかして、嬉しいのかなって……
亜季,そして夢を願っていた自分を思い出して、微笑むことができる
凛,……
乃々,……
亜季,……
P,いいんじゃないか
乃々,いいんでしょうか……これが正しいのかは、ちょっと分からないです
P,こう言う解釈って、間違ってることはあっても、正しいってことはないからな
凛,正しい答えは無いの？
P,誰もが同じ答えには辿り着かないってこと
亜季,その人それぞれによって夢が違うように、答えが違うということでありますか
P,そんな感じかも。俺なんか、最初は銀河鉄道かと思って
亜季,P殿も宮沢賢治でありましたか
P,いや、999の方。アンドロメダに主人公の夢を叶える場所があるからさ
亜季,あっ、そっちもありました！
P,そのあと少し考え直して、ラブソングかなって思っていた
乃々,えっ、プ、プロデューサーさんがそう思っていたなんて……じゃあ……
P,大丈夫、乃々たちの考えた答えのままでいい。解釈は違ってて大丈夫。すべてが伝わるものじゃない。でも、自分の中に何かの答えを持っていないと、なにも伝えられない。伝わった想いは、受け取った人たちがまた考えていく。その乃々の答えは、そのまま乃々が持っていればいいんだ
亜季,また一つ、願いが叶ったでありますね
凛,え？どんな願い？
亜季,この天体観測の最初の目標でありますよ！歌詞の解釈に、一つの答えを出せたではないですか！
凛,あっ。そうだった
亜季,これで凛殿も、前の自分にさよならするのでありますな
凛,ちょっと、そんな頻繁に別れてなんていけないよ
亜季,ははは
乃々,ふふ……
P凛亜季,……
凛,乃々が、笑った
乃々,ふえぇ……？
凛,私達といるとき、ずっと借りてきたリスみたいだったのに
乃々,猫では……
亜季,私達とも、笑えるようになったのでありますね
乃々,……そうかも、です。インディビジュアルズとは違うけど……ここも、これはこれで……ちょっと居心地いいかも……です……
P,さーて、帰るか
亜季,イエッサー！
乃々,はい
凛,……
乃々,……凛さん？
凛,プロデューサー
P,おっと？
乃々,わわっ、後ろから……
亜季,大胆でありますな……
P,な、なんだ凛？
凛,今日は……ここまで連れてきてくれてありがとう
P,え？あ、ああ
凛,この先も。まだまだこの先も。あの銀河の向こうまで。連れていってほしい
P,凛……
乃々,……
亜季,ふふっ、乃々殿。私達も行きましょう！
乃々,む、むりじゃないですけど……
亜季,私達も、同じ気持ちでありますよ
乃々,いえ……もりくぼは連れていかれたくはないんですけど……
P,お、お前たちな
凛,プロデューサー。まだ答えを聞いてないよ
P,答え？
凛,連れていってくれる？
乃々,この先も
亜季,あの銀河も
凛,夢の、そのまた次の夢の先も
P,……いくらでも。どこまでも連れていってやる！
凛,うん……ありがとう
乃々,ありがとう……ございます
亜季,嬉しいであります……！
P,……。……92
凛,ん？
乃々,……
P,ほ、ほら、もういいだろ！。さあ、帰るぞ。乗った乗った
凛乃々,わかった
亜季,了解であります！
P,……いい曲になるな
亜季,肯定であります
P,作詞さんにも期待しててって言っておくな
亜季,ふふ、それはプレッシャーでありますな
P,あと、レコーディングも絶対行くぞ
亜季,おおっ、P殿自ら参陣とは！
凛,見ててね、プロデューサー。すごくいい曲にするから
乃々,あの……
凛,ん？
乃々,みなさん、今日は……ありがとうございました
凛,どうしたの、改まって
乃々,今日ここに来なければ……私、もっとずっと悩んで……。もしかしたら、歌うのも嫌になっていたかもしれなくて……それを。凛さんが発案してくれて、亜季さんが準備してくれて……プロデューサーさんが連れてきてくれて……。三人がいなかったら……
凛,乃々のためだけじゃないんだよ
乃々,え？
亜季,私もであります。この三人と、そして自分のために。今日ここに来て、よかったと思っています
凛,私も乃々に感謝したい。結局解釈は、乃々にまかせっきりだったし
亜季,いやはや、乃々様様であります
乃々,そんな……私も、二人がいなかったら、自分では辿り着けなかったですから……
凛乃々亜季,……
凛,ふふ
亜季,ふふふっ
乃々,……ふふ……
亜季,P殿
P,ん？
亜季,アイドルは最前線で戦いますが……それは、P殿や作詞家殿、作曲家殿、たくさんのスタッフさん達に兵站を調えられて、初めて戦えるのだと改めて感じました
乃々,美玲ちゃんが……せ、戦友って言ってました……
凛,そして、願いを……夢を届けたいファンたちがいる
亜季,P殿の願いも、私達の歌に乗せさせてください
P,それは……いいのか？大変だぞ？
亜季,お任せください。必ずや、届けてみせるであります
P,プロデューサー冥利に尽きるな。楽しみにしてるよ。ああ、そうそう
亜季,はい
P,この曲、作詞と作曲、別名義だけど同じ人
亜季,マジですか！。それにしても、仕事の後にこんなところまで車を出していただいて……P殿には貧乏くじを引かせてしまったでありますな
P,いや、俺にも十分収穫あったよ
亜季,それは重畳であります。どのような？
P,まあ、ライブでやりたいプランができたな。この曲をやるなら、満天の星空を作りたい。プラネタリウムみたいに
亜季,可能でありますか？
P,それはまぁ……後々考えるけど。普通のハコだと難しいか……ステージにだったら照明で……ああ、でも……。なあ凛、次のドーム公演なら……
亜季,P殿
P,ん？……ああ
亜季,レッスンからの直行は、なかなかの強行軍でありましたから
P,亜季も寝てていいぞ
亜季,そんな、P殿を差し置いて寝るなど。私で良ければ、話し相手になるであります
P,それは有り難い
