喜多見柚,とやっ。と、っとっと
柚,そっか。はじめまして！喜多見柚ですっ
加蓮,お、私が教えた挨拶。しっかりできてるね
柚,へへっ♪笑顔が大切なんだよね！
加蓮,そうそう
Ｐ,こちらこそ初めまして。Ｐです。……ったく、相変わらず加蓮は加蓮だな
柚,えと、Ｐ……サン？もプロデューサーサンなの？
Ｐ,ん？そうだよ、加蓮と同じだ
柚,そうなんだっ。アタシ、プロデューサーサンってみんな加蓮サンみたいな人がやってるのかなって思ってたとこなんだっ
加蓮,私みたいな？
柚,えとー、アタシと同い年くらいの人っ
Ｐ,はは、いやいや。加蓮が特殊なんだよ。普通は大人がやるもんだ
柚,やっぱり？
加蓮,私は代理でーす
柚,プロデューサーサンって難しいんだね。よく分かんなくなってきちゃった
Ｐ,ほら、俺じゃ女子中学生とか女子高生のことがわかりにくいからな。こういうのは現役アドバイザーがいてこそだ
加蓮,Ｐさん鈍感で女心が分かってないもんね
柚,じゃあアタシも教えてあげる！
Ｐ,ありがとう。頼りにしているぞ。にしても聞いていたより元気そうな子だな
加蓮,でしょ？あ、それでＰさん。この辺のオファーなんて柚に合いそうなんだけど契約文面の読み方が分かんなくて……。これそのまま流していいヤツ？
Ｐ,あー、後で見とくからどのメールかだけ教えてくれ
加蓮,はーい。Ｐさんのアドレスに送っとくね。Ｐさんこれから会議？
Ｐ,ああ。上司からイヤミを並び立てられる素晴らしい時間だ
加蓮,そ、そう……頑張ってね……
Ｐ,ま、イヤミを言われるだけで加蓮をプロデューサーにできるならな。必要経費として十分すぎだ
加蓮,…………
柚,どゆこと？
Ｐ,はっはっは。んじゃ行ってくるか
柚,？？？
加蓮,行ってらっしゃい……。さて、私はやれることやらなきゃ
柚,えーっ。バトミントンやろうよバトミントンーっ
加蓮,やらないってば
Ｐ,あ、柚ちゃん。加蓮は体力がガタガタだから、そういうのは少しだけ控えてやってくれ
柚,そなの？
加蓮,ま、ちょっとね
柚,分かった！じゃあ室内で遊べることやろっ。……今は持ってないからまた明日ね！
加蓮,いや、だから私は仕事――
Ｐ,遊んでやったらどうだ？柚ちゃんも退屈なのは嫌だろう
柚,さっすが分かってるっ。柚は退屈なの嫌だぞーっ
加蓮,はいはい……もうっ。Ｐさん、行くならさっさと行ってきてよ
Ｐ,おっとそうだった。じゃな
柚,何がいい？トランプ？ゲーム？そういえばアタシ今はまってるゲームあるんだっ
加蓮,カバンに入れて持ってくるの？先生に見つかっても知らないよ
柚,だいじょーぶ！逃げ足は早い方だからっ
加蓮,逃げてばっかりってことかい。と……そろそろレッスンルームが空く時間だね。柚、行くよ
柚,えーもう？加蓮サン加蓮サン、あんまりツノ生やさないでね？こんな感じに！
加蓮,柚がツノを生やさせるのが悪い
柚,アタシのせい！？う、うう～、だってまだぜんぜん上手くできないもん……
Ｐ,あんまり厳しくしすぎるなよー
加蓮,私には私のやり方があるの。ほら、ぐずぐず言ってないでさっさと行くよ
柚,はぁーい……
加蓮,……終わったらお菓子でも買ってあげるから
柚,ホント！？じゃあじゃあ、チョコスティックがいい！それなら頑張れるかもっ
加蓮,ふふっ。覚えとくね
柚,うんっ
Ｐ,……はは、いい感じじゃないか
柚,ど、どお？アタシの演技っ。って言ってもやったことないからぜんぜんだけどっ
加蓮,ん～～～
柚,やっぱり、だめ……？あのっ、そのっ、えっと…………
加蓮,え？あ、ごめんごめん、ダメとかじゃなくて……いやダメはダメなんだけど……
柚,ダメなんじゃん！？
加蓮,……うーん。分かった。柚、ちょっと台本を貸して
柚,え？うん
加蓮,えーいっ
柚,ええっ！？アタシまだセリフ覚えてないよ！？っていうか覚えろって言われてないし！
加蓮,さて柚。今から私がお題を出します。それに沿って柚が思う演技をしてみて
柚,お、お題？
加蓮,はいお題。欲しかったお菓子をプレゼントしてもらえた
柚,お菓子っ！？えとっ……欲しかったお菓子……
加蓮,なんでもいいよ。チョコスティックだっけ？それでもいいし
柚,……チョコスティック！？やったーっ、アタシこれ食べたかったんだ！
加蓮,よし。お題、目の前でそのお菓子を食べられました
柚,こらーっ、それアタシのお菓子！返せーっ
加蓮,ちょっ揺らすな揺れ揺れ
柚,はっ！ご、ごめんなさい加蓮サンっホントに食べられちゃった気がして！
加蓮,ふー、ふー……ごほんっ。お題お菓子の賞味期限が１ヶ月くらい過ぎてました
柚,…………ううっ
加蓮,…………。ドンマイ。代わりに明日、私がそのお菓子を２つ買ってあげるね
柚,ホント！？やりっ。絶対だよ、絶対にだよ！あっ２つも買ってくれるんだ！じゃあじゃあ、加蓮サンとはんぶんこっ
加蓮,え、私も？
柚,うん。それで一緒に食べるんだ。へへっ♪
加蓮,私はいいよ。どっちも柚が食べなって
柚,遠慮するなんて加蓮サンらしくないぞーっ
加蓮,…………。はい、しゅーりょー
柚,へ？なにが？
加蓮,何がって、これレッスンだよ？ここレッスンルームで今は演技力レッスン中。忘れたの？
柚,あっ
加蓮,うん。柚。今から言うことをよーく覚えて、そして何回も繰り返しなさい
柚,ごくっ……！
加蓮,柚。――いつでもどんな時でも、柚のやりたいようにやりなさい
柚,アタシの、やりたいように……ってそれ前も聞いたよ？
加蓮,大切だから何回も言うの。台本があるならその中でやりたいことを見つけなさい。歌詞があったら歌いたいように歌いなさい。ちょっとくらいならアドリブを入れてもいい。そしてそれを覚えるの。もちろん、最低限の指示は聞かなきゃいけないけど……。ほら、例えばさ、こうやったら面白くなりそうとかああやったら楽しくなりそうとか、そういうの思いついたらどんどんやっていくの。……うん、そんな感じ
柚,うんっ。えと、アタシはアタシのやりたいようにやるっ
加蓮,そうそう
柚,アタシはアイドルがやりたいっ
加蓮,うんうん
柚,じゃあ――ええと、もっとレッスン！加蓮サンっもっとレッスンして！
加蓮,ん
柚,さっきの台本、もっかいやってみたいなっ。アタシもっとやってみたいことがあるんだ。えっと、怒るシーンとかこう、がーっ、って感じでツノを生やして。あれっそれじゃアタシ加蓮サンだ！
加蓮,……ねえ柚。どうして怒るシーンをやったら私になるの？
柚,だって怒った加蓮サンっていっつも鬼みたいでギャー！ごめんなさいその顔やめてっ夢に出る！ってか出た！一昨日に出た！起きてドタドタしてたらお母さんに笑われちゃったんだよ！？だからやめて加蓮サン～～～！
加蓮,ただいま
Ｐ,おう。柚ちゃんは？
加蓮,先に帰るって
Ｐ,そうか。…………どうだ？プロデューサーになった気分は
加蓮,ん……まだよく分かんないよ
Ｐ,ま、最初はそんなもんだ
加蓮,ただ、なんかいいなって思った
Ｐ,おっ
加蓮,柚が……楽しそうにしてるのが、なんかいいなって思ったの。最初に見た時、すごくつまらなさそうにしてたから……思わず声をかけちゃったけど。アイドルやりたい、アイドルが面白いって言ってくれた時、なんかちょっと嬉しかったんだ。声をかけてよかったな、って思えて。プロデューサーって……こういう気分なんだね
Ｐ,…………
加蓮,あ、でも私がプロデューサーやってていいのかな？って今更だよね。ほら、今はまだただの代理っていうか手伝いだし大したことしてないけどさ。これからも続けてたら、Ｐさんに迷惑かけたりしない？。Ｐさんだけじゃなくて、プロダクションにも
Ｐ,そうだなー……加蓮
加蓮,うん
Ｐ,これ。俺からのプレゼントだ
加蓮,……これ……名刺？これならもう持ってるよ？プレゼントって――
Ｐ,肩書のところをよく見てみろよ
加蓮,あ、"代理"がない……
Ｐ,さっきの会議の時にな。加蓮がプロデューサーをやることについて少し話し合ったんだ
加蓮,……え！？あれ私のことだったの！？
Ｐ,ああ。いやー上からすげえあれこれ言われたよ。お前何考えてんの？馬鹿なの？ってずっと言われたぞ。各種契約やら何やらは俺が上司となって通すことにするし、若い子のセルフプロデュースがあるなら若い子のプロデューサーがいてもいいだろうって突っぱね続けてみたんだ
加蓮,確かに、そういう人たまにいるけど……
Ｐ,最後には上の面々も諦めてなー。一部は面白そうだとかきっと話題になるとか言ってるし。ってことで加蓮、晴れて代理は卒業。今日からは俺と同じプロデューサーだ
加蓮,…………
Ｐ,加蓮。俺がサポートするから、やれるところまでやってみろ。大丈夫。加蓮に迷惑をかけられるのなんて昔から慣れっこだからな
加蓮,…………Ｐさん……
Ｐ,それに俺は柚ちゃんを担当するつもりないぞ？
加蓮,え？
Ｐ,そりゃ加蓮の代わりに送迎とかはしてもいいし、加蓮ができないっていうなら引き継ぐけど……。俺の担当は昔も今も１人しかいないんだ。できれば、柚ちゃんは加蓮に担当してほしいって思ってる
加蓮,…………何か言われないの？プロデューサーなのに担当アイドルがいない状態って
Ｐ,え？イヤミ言われまくったけど？いいご身分ですねーとかさぞかし楽してるんでしょうねーとか
加蓮,やっぱり……
Ｐ,ま、そんなの知ったことじゃねえよ。俺は、加蓮がやりたいようにできればそれでいい。だから……おう、そういうことだ。あ、必要なことはどんどん教えていくからな
加蓮,…………うん。やってみる
Ｐ,おーし。さて、俺らも帰りますか。送ってくぞ？
加蓮,うんっ
Ｐ,あ、ごめん、さっきの名刺なんだけどさ。やっぱ改めて作りなおしてから渡すわ
加蓮,どうして？
Ｐ,いやほら、プロデューサーの前に喜多見柚専属担当って書いた方がそれっぽくならね？
加蓮,……あははっ、そうだね！。…………わ、涼し……♪。……ん？。…………。もしもーし？お母さん？はいはい、病院の帰り道。今からプロダクションに行くとこ……用がないなら切るよ？。うん。そう。手伝いっていうか代理っていうか。言っとくけど、やめろって言われてもやめないからね――。……はいはい。分かってるならいーよ。え？……分かってまーす。そっちはやってないし誘われてもやらない。そういう約束だったでしょ？。はいはい。じゃあね。…………はー。にしても…………。どうせ不思議な状態なら、もうちょっと……、……はー。さて、事務所事務所っと。おっと。…………。…………ハァ。こんにちはー……わっ、雛壇がある！
Ｐ,ああ加蓮。どうだ、立派なモンだろう。倉庫の方にしまってあったから発掘してきたんだ
加蓮,へーこんなのあったんだ。すごい……
柚,あっこんにちは加蓮サン！これ、ひなあられ！加蓮サンも一緒に食べよっ
加蓮,柚。こんにちは。ひなあられかー。……え、っていうかどっちも早くない？まだ２月になったばっかりだよ？
Ｐ,おいおい加蓮。時代を先取りするのはプロデューサーの義務だぞ？加蓮もプロデューサーならそこんところはきっちりしようぜ
加蓮,そういう問題？
柚,そういう問題！
加蓮,そうなんだ……
柚,分かんないけどっ。まま、とりあえず。加蓮サン、あーん！
加蓮,あ、うん。…………
柚,加蓮サンもひなあられ食べた！これで加蓮サンもサボり仲間だねっ
加蓮,やっぱサボってたんかいっ
柚,きゃっ。えーだってーＰサンがやるって言うんだもんー。力仕事は任せろー、って言ってくれた！
Ｐ,おう、任せろ！
柚,アタシはひなあられを食べる係！ひなあられうまーっ
加蓮,…………
柚,あ、なくなっちゃった。おかわりあるかな？アタシ探してくるっ
加蓮,…………。…………お疲れ、Ｐさん
Ｐ,なんだ加蓮。手伝ってくれるのか？
加蓮,いやまあ……男の人が１人で雛壇を飾ってるのってさ……。正直、ちょっとイタい
Ｐ,そ、そうか。いや、でもいいんだぞ？俺１人でやるぞ？人形って意外と重たくてな、変にデカイから体力だってけっこう食うし――
加蓮,…………
Ｐ,だよなー。あ、加蓮、その人形はここだ。五人囃子は左から――
加蓮,詳しいんだね……
Ｐ,プロデューサーの義務だからな
加蓮,何が？。あのさ
Ｐ,んー？
加蓮,病院、行ってきた。定期検診
Ｐ,…………。……ん、そうか。どうだった？
加蓮,どうも何もいつも通りだよ。無理な運動はするなってだけ。ご安心ください、極めて健康です
Ｐ,そっか
加蓮,ん
Ｐ,…………
加蓮,…………あと、なんで生きてんのかって言われた。……ごめん間違えた。生きてるのが不思議だって言われた
Ｐ,…………
加蓮,…………ごめんね
Ｐ,何がだよ
加蓮,何って、私のこと――
Ｐ,はは、いいって。何度も聞いたからな。それにほら、今の加蓮はプロデューサーだろ？
加蓮,あ、ちょ、頭撫でるなっ
Ｐ,柚ちゃん、いい子だな。さっきずっと加蓮の話を聞かされっぱなしだったぞ
加蓮,ひなあられを食べながら？
Ｐ,ひなあられを食いながら
加蓮,そっか
Ｐ,ああ。いつもいろいろ考えてて、いろんなこと教えてくれて。アイドルがどんどん楽しくなっていく、ってさ
加蓮,ふうん……
Ｐ,っと、もうちょい首は上向きにしないと暗いな……こっちは左右の置き位置のバランスが……
加蓮,……もしかしてＰさん、飾り付けるのハマっちゃった？
Ｐ,俺もプロデューサーだからな
加蓮,そ、そう……
Ｐ,今日も残業確定だけど、上には雛壇を飾っていたら仕事が遅くなりましたって正直に言うつもりだ
加蓮,……また嫌味とか言われちゃうよ？
Ｐ,ウケ狙いの一点賭け、失敗したら酒の席のネタ行きだ
加蓮,……大人ってすごいんだね
Ｐ,大人はなんでも笑い飛ばせるんだよ。だから加蓮。あんま考えすぎんなよ。笑い飛ばせるところは笑い飛ばそう
加蓮,……ん
Ｐ,おっと、それよりも飾り付けを進めなければ……加蓮もそのうち病みつきになるぞ？ほらほら、一緒に飾ろう！
加蓮,重たいから１人でやるって言ったのにー
柚,ひなあられあったよーっ。加蓮サンも一緒に……あれぇ！？加蓮サンまでそっちいっちゃった。だったらアタシも手伝おっと
加蓮,…………
柚,……？なに？
加蓮,…………
Ｐ,おいおい胴体がちょっと汚れてるじゃないか。こういうのってどう掃除するんだっけか――
加蓮,……邪魔しちゃ悪いから、一緒にひなあられ食べて見てよっか
柚,！そうしよそうしよ！へへっ、これで加蓮サンもサボり仲――じゃないや、ひなあられ仲間！
加蓮,むぐ。…………
柚,あと甘酒もあるよ！あっち行こっ加蓮サン！
加蓮,はーい。Ｐさん、ごめんけどお願いね
Ｐ,こっちは髪の部分が少し湿気て……ん？なんだ加蓮
加蓮,なんでもないでーす。ぅあー。疲れたぁ……。はー…………。まだお昼なのに……歩きまわったからかな……。…………。……なーにやってんだ、私……。はは。ホント、何やってんだろ……。…………はぁ。…………。……もしもーし？Ｐさん？。初っ端からそれ？ホント過保護だよねＰさん……。うっさい。１人で帰るから放っといて。放っといて。…………あ。ごめん……、ちょっとイライラしてた。さっぱり。既存のとこはさすがに話を聞いてくれたけど任せられる仕事がないんだってさ。新規は……論外。上司と一緒に来いって言われたり学生が勉強しに来るところじゃないって言われたり。……一箇所だけ、面白そうだから聞いてくれたって場所があったんだけどさ。…………。……とにかく総空振りです。無駄に疲れただけでした。一応ね。渡して、駄目って言われたとこもあったけど。うん。……あーもうあのヘラヘラした顔思い出したらまたムカついてきた！……もうっ。笑うなぁ。…………ふふっ。べっつにー。叫んだらちょっとスッキリしちゃったかも。あ、ひどーい。女の子に向かってそういう扱いはよくないぞー？。私が怒る。はー。……ホント、何やってんだろー私って感じ。いや、あのさ……クタクタになってイライラさせられて、何やってんだろうねーって……。……あはは、ごめん。ちょっと疲れちゃってるかも……あ、身体がじゃないよ？Ｐさんだって愚痴を言いたくなる時くらい……。…………ごめん。…………。…………。うん……ううん、今はいい。もうちょっと頑張ってみる。やなこと思い出させないでよ。そーだね……よしっと。今から帰るね。何かお菓子とかいる？。？。あ……あははっ、まったく柚は……。あ、グレープ味のプリンがあったらとっといてね。それ柚が私に買ってきたのなんだからっ。違うっ！ちょ、食べてたらホント許さないからねＰさん！。…………。…………。…………。はー……ホント、何やってんだろ、私……。ただいまー……
柚,お帰り加蓮サンっ
加蓮,柚
柚,そしてアタシもお疲れ！
加蓮,どゆこと？
柚,さっきレッスン終わったばっかりなんだ
加蓮,そっか。じゃあ、柚も私もお疲れ様
柚,おそろいだ！
加蓮,そだね、お揃い。どう？トレーナーさんとのレッスンも慣れてきた？
柚,うんっ。優しく教えてくれたから大丈夫だった！それにアタシ、ダンスに光る物があるって褒められたよ。加蓮サンが教えてくれたお陰だねっ
加蓮,そっか
