※ジード18話,夢を継ぐ者
ほたる,はっ、はっ、はっ…………。どうして……。嫌ああああああああああああああああああっっっ！！！！！！！。――――ハッ！！。はぁっ、はぁっ、はぁっ…………。あれは……夢じゃ、ない……。会場に、行ったら……。それから……ここに、戻ってくる……。……うぅぅぅ～～～～～～っ！！！。う、うぅぅっ、ひぅぅっ。はぁ、はぁ、はぁっ……。警察に行って話を聞いてもらう？いや、きっと誰も信じてくれない。こんな私の言うことなんか、誰も……。このまま、家でじっとしていたら……？。………………
プロデューサーさんからメッセージが届いていました。,どうした？トラブルでもあったか？
ほたる,プロデューサーさんに、打ち明ければ……。ほんとうに、どうしたら……。……ごめんなさい、プロデューサーさん。あの……風邪を、ひいたみたいで……それで、寝込んでいて……。えっと……三十九度――。……ごめんなさい……。――！？。どうして……。どうして……！！
Ｐ,ほたる！！。大丈夫だったか！？早く逃げよう！。危ないっ！！
ほたる,どうして……どうしてぇぇえええええっっ！！！。――っ！！。うぅぅぅ……ぁああああああああああああ！！！！。ぁあッ、ああっ！！あああああああああっっ！！！。うぅぅぅうう～～～～～～っっ！！！あぁぁあああ……！！！。ああぁぁああううううう……っっ、うっ、ひぐっ。…………いや。ひとつだけ……ひとつだけ、手がある
私はスマホを手に取り、アドレス帳から,鷹富士茄子
ほたる,茄子さん、今日の私のライブ、見に来ますか？。あ、あのっ、私やっぱり不安で……だから、リハの前にも一度茄子さんに会っておきたくて。お願いします、あの……一生のお願いです。だから……。……！十一時です。なので、十時半くらいにお会いできたら。は、はい……！ありがとうございます！
Ｐ,どうしたほたる？まだ時間はあるぞ？
ほたる,は、はい。そうなんですけど……。か、茄子さん……！
でも、何も頭に入りませんでした。,外の空気を吸ってきます
これは,不運
？？,何であんなところにいたんだ、危ないだろ！早く逃げなきゃ
ほたる,どうして――……
？？,え？
ほたる,どうして、助けたんですか――……
リク,――異次元人ギギ？。侵略計画……！。移住って言ったって、どうやって？。作ろうとしているってことは……まだ完成してないってことですか？。リトルスター……！。なんてことを……
ペガ,そのギギって奴らは強いの？
リク,レギオノイド……。ギギが現れる場所、リトルスターの保有者の居場所はわかるんですか。そうか……。もちろん。レム、高い数値の反応が出たらすぐに報告して。僕が寝てても起こしてよ。レム！。逆？。危ないっ！！。何であんなところにいたんだ、危ないだろ！早く逃げなきゃ
少女,どうして――……
リク,え？
少女,どうして、助けたんですか――……
リク,…………。ライハ！。ジーッとしてても、ドーにもならねぇ！
一本目は光の戦士、,ウルトラマン
二本目は闇の戦士、,ウルトラマンベリアル
ジード,――シュアッ！！。ハァァッ、シュアッ！
ﾚｷﾞｵﾉｲﾄﾞ,ギ、ギ、ギ
ジード,テヤッ！。グッ……
ﾚｷﾞｵﾉｲﾄﾞ,ガ、ギ、ギ。ギュ、ガ、ギ、ギ、ギ
ジード,ジァッ……！
ﾚｷﾞｵﾉｲﾄﾞ,ギュ、ガ、ガ、ギ、ギ
ジード,テアァ……ッ！！
ﾚｷﾞｵﾉｲﾄﾞ,ギ、ギ、ギ、ギ
ジード,ハァァァ……ッ、ハッ！。デヤァッ！！
ﾚｷﾞｵﾉｲﾄﾞ,ギュ、ギ、ガ、ギ、ギ。ギ、ギ、ギ、ギ、ギ――――。ギュ、ガ、ギ、ギ、ギ
ジード,ハァァァァァ――――テヤアアッ！！。……シュアッ！
リク,時間を逆行させる能力……！
ライハ,早いところAIBの保護施設に匿ってもらった方がよさそうね
少女,…………
リク,僕は朝倉リク。ねえ、君の名前は――
ライハ,モア？
モア,ほ……ほ、ほ、ほた、ほた……
ペガ,ほた？
モア,白菊ほたるちゃんーーーーーーっ！！？！？！？？！？！？
するとモアは目を見開いた。,何で知らないの
モア,白菊ほたるちゃん！346プロダクションのアイドルで、ミス・フォーチュンの！知らないの！？
ライハ,あ、うん……有名人だったの？
モア,リッくんも知らないの！？テレビ好きなのに！
ペガ,とは言え見るのはニュースとドンシャインくらいだもんねえ
リク,あ、あはは……
モア,んもーーっ、信じられない！。この、まさに薄幸の美少女って感じの、儚げで、それでいて芯の強さが感じられる白菊ほたるちゃんを知らないなんて……！。あ、そうだ！今日だよ今日！今日がほたるちゃんのソロデビューライブの日！仕事がなかったら行けてたのになあ～～！！
ほたる,……無理でしたよ。私のせいで、全部めちゃくちゃになっちゃったんですから
リク,ほたるちゃん、君のせいじゃない。悪いのはその力を狙ったギギっていう異次元人で
ほたる,狙われたのも私がこんな力を持っていたからです。私が悪いんです……
モア,ほたるちゃん、安心して。幸い、死者は出なかったから
ほたる,よかった……
モア,うん。人間、命さえ助かってれば後は何とでもなるから！。というわけでほたるちゃん。あなたの安全のため、これから私たちの組織の施設に来てもらいたいんだけど、大丈夫かな？
リク,ほたるちゃん
モア,お腹空いたでしょ？ご飯持ってきたからぁぁあああああっ！？！？！
リク,あーもう、何もないところで転ばないでよ……
ほたる,……ごめんなさい
モア,え、えっ？何でほたるちゃんが謝るの？
ライハ,そうだよ、悪いのはモアだから
モア,ちょ、ちょ、ちょっと！言い方ってもんがあるでしょー！？傷つきますよ私もー！
ほたる,私も、手伝います……
モア,えっ、いや、いいのいいの！本当に悪いのは私だから！ほたるちゃんはリラックスしてて！
ほたる,は、はい……
リク,…………
ほたる,…………
リク,…………。ちゃんと自己紹介してなかったよね。僕は朝倉リク。よろしく
ほたる,は……はい。白菊ほたるです。よろしくお願いします……
リク,うん
ほたる,…………
リク,…………
またも会話が途切れてしまう,とはいえ、相手が初対面の男なのだから当然だろう
リク,ねえ、ほたるちゃん
ほたる,はい……
リク,あの時……どうして自分から怪獣に近づいていったの？。どうしても言いたくないことだったら言わなくてもいいけど、僕が聞きたいんだ。君は自分のせいで怪獣に狙われたって言ってたけど、リトルスター絡みの事件は僕も要因のひとつとしてあるから……
ほたる,自分が死ねば、全部解決すると思ったんです。私は昔から不幸体質で……これまで所属してきた三つの事務所も全部倒産してるんです。こんな、周りに不幸を撒き散らすだけの存在なんていなくなってしまえばいい……そう思って
リク,…………。僕は、伏井出ケイとベリアルの掌の上でヒーローごっこをさせられていただけ。僕の存在そのものが計画の歯車のひとつになって、人々の不幸を生んでいた……。――だけど。だから僕も。僕が伏井出ケイの計画の一部として生み出されたのは事実だ。だから僕は、それに抗うためにも、この事件に責任を取らなきゃいけない。ほたるちゃんは、どうしてアイドルになったの？
ほたる,昔……ライブを見に行ったんです。アイドルのライブを。不幸に打ちひしがれていた私を……その人は明るく照らしてくれて、元気づけてくれました。そのとき思ったんです……私もこんな人になりたい。人のことを幸せにできるアイドルになりたい……って
リク,それで、ひとりで東京に？
ほたる,親は反対しましたけど……でも私は諦めたくありませんでした。内緒で履歴書を送ったらそれが一次審査を通ったので、親に頼み込んで二次審査の面接を受けに行って。それも通ったから……親も折れて、ひとり暮らしを始めさせてくれたんです
リク,ほたるちゃんにとってアイドルは、大切な夢なんだね
ほたる,……はい。そうでした。でも――
リク,……事務所が倒産しても、君は次の事務所のオーディションを受けたんだろ？。それは君が、どんな不幸に遭っても夢を諦められなかったからだ。違う？。今回も、乗り越えられる。大丈夫、みんながついてる。僕も力になる。運命は自分の意志で変えられる。そうして運命を超えたとき、初めて見える景色がきっとあるはずだ
ほたる,…………
リク,僕は、そう思う
ほたる,……はい
Ｐ,…………。ほたる……本当に大丈夫だろうか……。ん……？。うわああああああっ！？！？
ギギ,ギ、ギ、ギ。ギ、ギ、ギ、ギ、ギ。ギ、ギ、ギギ、ギ。ギ、ギ
職員,ぐあぁぁああっ！！
ギギ,ギ、ギ、ギ……
ライハ,てやぁあっ！！
ギギ,ギッ！？。ギ、ギ、ギ……
モア,舐めてるのはアンタたちじゃないの！？大人しく投降しなさい！
ギギ,ギ、ギ、ギッ！
ライハ,モア、プロデューサーさんを連れて逃げて！
ギギABC,ギ、ギ、ギ
ギギ,ギ、ギ、ギ、ギ、ギ……！！
リク,っ！！
ほたる,リクさん……！やっぱり、私は！
リク,今は逃げることだけ考えろ！モアも言ってただろ、生きてれば何とかなるって！
ほたる,だけど、逃げれば逃げるだけ被害が広がる！私が不幸を振り撒いてるせいで！。う、ぅ……
リク,大丈夫か！？
ほたる,やっぱりダメです、運命は変えられない……！
リク,ほたるちゃん、君は言ったよな。人のことを幸せにできるアイドルになりたいって。君が人に幸せをあげるように、僕も、君に勇気を与えてみせる。君の夢は僕が守る。だから絶対に諦めるな！
ほたる,…………
リク,――融合！アイ、ゴー！。ヒアウィーゴー！。守るぜ、希望！はぁああ……っ、はっ！。――ジーーーーード！！！
ギギ,ギ、ギ、ギ……！
ジード,……ジュワァッ！！
ギギ,ギ、ギ、ギ、ギ、ギ……！
ジード,ハァァアア……ッ！！
ギギ,ギ、ギ……！
ジード,――ジュワァッ！！
ギギ,ギ、ギ、ギィィ……！
ジード,ハァァアッ！！。デアアァッ！！
ギギ,ギ、ギ、ギッ！
ジード,ドゥアアッ！！
ギギ,ギ、ギ、ギィィッ！！
ジード,グッ――！！。グ、ア、デアァァ……ッ！！
ギギABC,ギ、ギ、ギ、ギ、ギ……！
ほたる,リクさん……！。私が、私がいたせいでリクさんまで……。どうすれば……！。……！。私の、意志で……！。止まって……！。ジードーーーーー！！！！
ジード,ジュワッ？！
ほたる,あいつは、三体に分身して、手足を拘束する光線を持っています！！！気を付けてーー！！！
ジード,――ジュワッ！
ギギ,ギ、ギ、ギィィッ！！
ギギABC,ギ、ギ、ギィィッ！？！？
ほたる,やった……！！
ギギB,ギ、ギ、ギ、ギ――！
ジード,ゼァッ！。ハッ！
ギギB,ギギィィィイイイイ！！！
ギギC,ギ、ギ、ギ……！
ナックルに装填した,ウルトラマンベリアル
ギギC,ギ、ギ、ギッッ！！
ジード,ハアァッ！！
ギギC,ギギギィィィィ！！
ジード,…………
ほたる,…………
Ｐ,ほたる、準備はいいか？
ほたる,……はいっ
Ｐ,いい顔してる。思い切って歌ってこい！
ほたる,……！。皆さんの心に、幸せを届けられますように。聴いてください。――谷の底で咲く花は
二宮飛鳥,アイドルは闇の巨人
三船美優,遥かな旋律、琥珀の夢
佐城雪美,ハーモニカのお兄さん
島村卯月,Takeme☆Takeyou
神谷奈緒,トライアド・ラプソディー
浅利七海,海の底の星
椎名法子,ドーナツの神様
今井加奈,温泉街とエイリアン
