生徒達,おはようございます
(´・ω・`),で、でも……ッ！
男の娘,それに、優しい君を巻き込みたくない！
(´・ω・`),……！
男の娘,……これ、昨日の服。それじゃあ、また！
(´・ω・`),え、ちょ……待って……。……。あの子は……きっと明日は学校に行くだろう。……そんな予感がした。
男の娘,ッ……はぁ……はぁ……
いじめっ子Ａ,何か反応薄くね？
いじめっ子Ｂ,つまんねぇなぁコイツ、オラ立てよ
男の娘,……痛っ……
いじめっ子Ｃ,なーんか良い案無いっすかねぇ？主犯格さん
主犯格,あんまり乱暴に扱うんじゃねぇよ、おめぇら。コイツにはこれから良い仕事をやって貰うんだからよぉ
男の娘,……？
主犯格,じゃーん！なーんだ、この写真！
男の娘,……！それは！その写真は！
主犯格,負け組原住民君と気色悪い女装野郎のツーショット！昨日二人で仲良く話しているのを撮っちゃいました！
いじめっ子達,マジで？！アイツら付き合ってんの！？ｗｗｗ
主犯格,原住民君の家、俺達知ってるんだよねぇ、飽きたからもうあいつの事忘れてたけどさぁ
男の娘,お願い、彼にだけは手を出さないで……何でもするから、僕は何をされても良いから……
主犯格,涙もろいなぁお前、良いよ、アイツには俺達は手を出さない
男の娘,ほ、本当？
主犯格,ああ、その代わり………
中年男,へぇ、君が男の娘ちゃんかぁ。凄く可愛いね。こういうのは初めて？
男の娘,……はい。
中年男,そっかぁ、じゃあおじちゃんが優しくリードしてあげるね！
男の娘,……んっ！
中年男,……んぅむぅっ！っぷはぁ！ひょっとしてファーストキスだった？
男の娘,……ファーストキス。……何でだろう、あの人は唯の良い人、良い人……なのに
中年男,じゃあ、挿れるよ……
男の娘,……なんでこんなに悲しくて、胸が痛いんだろう。僕はあの良い人を巻き込みたくなかったから、だから身体を売って、その金をアイツらに渡すだなんて条件を飲んで……
中年男,ふぅっ！！
男の娘,あ、。あぁ、
中年男,ごめんね？痛かった？暫くこのままで居ようね
男の娘,ちがっ、違うっ。あの時と、あの人が抱き締めてくれた時と全然違うっ
中年男,……ッ！ふんっ！
男の娘,ッッ……！ごめんなさいっ。ごめんなさいっ
中年男,何も謝らなくて良いのになぁ……。ふぅ……良かったよ、男の娘ちゃん
男の娘,……
中年男,はい、お金此処に置いておくからね。はぁー！もう朝か。仕事仕事。あ、これ電話番号ね。また連絡するからその時はよろしくね。
男の娘,……。あの人、あの人が居る所に……。あの人が……
いじめっ子Ａ,おっす、男の娘ちゃん
いじめっ子Ｂ＆Ｃ,
男の娘,……！
主犯格,お前さぁ
男の娘,嫌っ……も、もう……やめて
主犯格,男の癖して何でそんなにエ○いんだよ？ん？
いじめっ子Ａ,お前が相手したおじさんに頼んでカメラでこっそり撮影してて貰ったんだよね
男の娘,……！そ、そんな……
いじめっ子B,お前のせいでちょっとさ……ちょっとそこの公園のトイレに来いよお前
男の娘,い、嫌だ……助けて……誰か……
主犯格,
男の娘,がっ……
主犯格,一番乗りは俺だからなお前ら。うっ
男の娘,……
主犯格,っはぁ……
いじめっ子Ａ,大丈夫か？ここ
いじめっ子B,朝っつっても誰も来ないっしょ……それより主犯格さんまだっすかぁ？
主犯格,うるせぇ、少しそこで待ってな
男の娘,……。……もう、どうにでもなれ。きっと、きっと僕は彼の事が好きだったんだ。こんな僕でも好きな人を守れたんだ。だから、だから―――これで――
いじめっ子Ａ,
いじめっ子Ｂ,あ？。ッ！？
男の娘,……！何で、何で君が……
いじめっ子Ｃ,お、お前は……原住民……
いじめっ子Ａ,ってぇなぁ……不意打ちだったわオラァッ！！
(´・ω;,うぅっ！
いじめっ子A,おらぁっ！死ねっ！てめぇよくもやってくれたなぁ！
いじめっ子B,何しに来たんだよこの野郎！
主犯格,おいコラ
(´;ω;,うげぇっ……
主犯格,どのツラ下げて来たんだよ？ん？
(´;ω;,その、その……
主犯格,あ？
(｀;ω;,その子に手を出すなああああああああああああああ！！！！
主犯格,……。……あーあ、醒めたわ、おい、こいつ殺して良いぞ
男の娘,……もう、やめ、て……。……ねぇ、ねぇ……。……ねぇ、起きて、起きてよっ……。……っ……。……！意識が戻った……！。すっかり、暗くなっちゃった……けど、今は夜の十一時……。……公園の近くの茂みの中。……それより……。……ごめん、本当にごめんなさい……僕が、僕が君を巻き込んじゃった……。……何で……何でそんなに優しいの……君は……何で僕にそんなに優しくしてくれるの……。……！。……何でっ、君は何も悪くないのに謝るの……。……僕も、君の事が、好き……ひぐっ……うぐっ……。……さっきは、助けに来てくれてありがとう……。……すごく、カッコ良かったよ……。……怪我、大丈夫……じゃないよね。……ごめん、君を家まで運びたかったけど、ここまで運ぶのがやっと……。……朝までこうしていよっか。―――随分遠い所まで来たね。
(´・ω・`),……そうだね。お父さんとお母さん達には心配かけちゃうなぁ。
男の娘,……うん。でも、君と一緒なら何処に行ってもきっと幸せに暮らせると思う。
(´・ω・`),……うん、ボクもそう思うよ。君と出会えて本当に良かった。大好きだよ、男の娘。
男の娘,僕も、君の事が大好き。
