シャニP,以下、P
果穂,このくらい、お安いごよーです！。それにそれに！なんだか今のヒーローっぽかったですよね！
P,おう、助けに来るところなんてまさにヒーローって感じだった！
果穂,……よーっし！やるぞーっ！
P,……果穂、リロードは忘れないようにな！
樹里,あいつら、なんか兄妹みたいだなー
智代子,二人とも、スッゴク楽しそうだね！
樹里,ああ、これなら心配いらないかもな……
夏葉,あら樹里、よそ見してる場合？
樹里,あん？これだけリードしてるんだからどうとでも……。って！夏葉、今甲羅ぶつけやがったな！？
夏葉,悔しかったら追いついてみなさーい！
樹里,くっそぉ……お？
夏葉,……！？
樹里,へへっ、ショートカットみーっけ！
夏葉,ちょっと、樹里！卑怯よ！？
樹里,先に仕掛けてきたのはそっちだろー？
夏葉,くぅ……負けないわよ！
樹里,望むところだぜ！
智代子,二人とも早いなぁ……って、凛世ちゃん！？
凛世,どうか……いたしましたか？
智代子,曲がり過ぎ曲がり過ぎ！曲がり過ぎて逆走してるってば！
凛世,左様でしたか……おや
樹里,うわっ！雷！？
夏葉,小さくなっちゃったわ……
樹里,……でも、負けてられ
夏葉,…………？
樹里,なぁ……！？
夏葉,吹き飛ばされたわよ！？
樹里,ったく、今度は誰が……！
智代子,はい、私っ！
夏葉,智代子！？
智代子,やったー！私いっちばーん！
樹里,ちょ、チョコに負けた……！
凛世,おめでとう、ございます……智代子さん
智代子,えへへ、ありがと凛世ちゃん！
夏葉,……もう一回よ
智代子,へっ？
樹里,だな、負けて終われないぜ……！
智代子,な、夏葉ちゃん？樹里ちゃん？
樹里・夏葉,もう一度だ！
P,ふぅ……何回もやっちゃったな
果穂,プロデューサーさん、スッゴク上手かったです！
P,いや……この前教えてもらっただけだよ
果穂,誰かと一緒に行ったんですか？
P,ん、甜花と一緒にな。そうだ果穂、今度誘ってみたらどうだ？
果穂,だ、大丈夫でしょうか……
P,一緒にゲームするくらいなら、喜んで一緒に来てくれると思うぞ？
果穂,分かりました！今度誘ってみますね！
Ｐ,……さて、プリクラの前まで来たんだが。種類、多いんだなぁ……あんまり考えた事なかったよ
果穂,あっ、この前みんなで撮ったのこれです！
Ｐ,おっ、それならそれにしてみるか！
果穂,はい！お邪魔しまーっす！
Ｐ,よし、とりあえず入れて……
P,けど俺、あんまり操作分からないんだよなー
果穂,そうなんですか？
P,ああ、あんまりプリクラ撮る機会がなくてな
果穂,だったら、あたしに任せて下さい！
P,おっ、自信ありそうだな？
果穂,えへへ、チョコ先輩からたっくさん教わりましたから！。プロデューサーさんの事も、いっぱいキラキラさせられます！
P,お、お手柔らかにな……
果穂,任されました！それじゃ……えーと、確か。……はい！これで大丈夫だと思います！。ほら、プロデューサーさん撮りましょう！
P,！？
果穂,？
P,……なんで抱きついたの？
果穂,だって、近づかないと映らないじゃないですか！
P,……なるほど
果穂,ほら、プロデューサーさんもくっついてください！
P,……ええい、やけだ！
果穂,！えへへ……♪。それじゃ、撮りまーす！はい、チーズ！
P,……上手く撮れたか？
果穂,はい、バッチリです！。それじゃあ……！
P,俺の顔に何描いてるんだ？
果穂,サングラスです！
P,ほぉ……
果穂,渋くてカッコよくありませんか！？
P,自分の顔見てカッコイイって言える程の自信はないかな……
果穂,似合うと思いますけど……
P,……それじゃ、俺はこんなのでも描こうかな
果穂,わぁ……！なんだかあたし、お姫様みたいです！
P,まぁ、たまにはこういうのもな
果穂,よーっし……それじゃ、あたしも！。できましたー！
P,最近のは写真写りが良いんだなぁ……さ、果穂の分
果穂,ありがとうございます！何処に貼ろうかなー
P,……あんま人には見えない場所にしておくんだぞ？
樹里,すっかり楽しんじまったなー！
夏葉,まったく、樹里ったら本気で遊び過ぎなのよ
樹里,そういう夏葉だって騒いでたろー？
夏葉,なっ！……まぁ、そうね
智代子,また行けたら良いね！
凛世,……二人とも、今度はどちらに向かわれるのでしょう？
夏葉,あれは……ファミレス、かしら？
樹里,ファミレス？なんかデートっぽくねえよな？
智代子,デートというか……家族連れ？
凛世,家族…………
樹里,止まってろよな凛世
夏葉,果穂の食べられそうなものが沢山あるから、じゃないかしら？
樹里,……ま、イタリアンとか行くより満足できそうだしな
凛世,お優しいですね……
智代子,……あれ？でも、ここカップル御用達のお店じゃない？
樹里,……は？
夏葉,どういう事、智代子？
智代子,う、うん……ここ、カップルジュースが有名なお店なんだ！
凛世,かっぷるじゅーす……？
智代子,一つのコップに入ったジュースをね、ストローを使って二人で飲むんだよ！
凛世,一つの物を……二人で
樹里,ざっくりしてんなぁ……
夏葉,ねぇ智代子、貴女どうしてそんな事を知っているの？
智代子,へっ？
夏葉,だって、カップルジュースなら相手がいないと……
智代子,……そ、そんな事どうだっていいじゃん！？
樹里,でもよ、あんなの一人で頼んだら……
智代子,つ、ツイスタ映えするもん！
夏葉,……食べ物粗末にしたらダメよ？
智代子,わ、分かってるよぅ……
樹里,ま、良いじゃねーか！早く行こうぜ！
P,それじゃ、果穂は何が食べたい？
果穂,オムライス！オムライスが食べたいです！
P,オムライスか……
果穂,はい！この前お母さんが作ってくれたオムライスが美味しかったんです！
P,あー、懐かしいなぁ……
果穂,プロデューサーさん、オムライス久しぶりなんですか？
P,そんな事はないが……昔を思い出す味っていうかさ。ただ……うん、今日はチーズハンバーグにしようかな
果穂,ち、チーズハンバーグ……！
P,食べたいのか？
果穂,食べたいです！あ、でも……
P,ん、どうした？
果穂,いっぱい食べたら、お腹いっぱいで残しちゃうかもしれません……
P,なるほどな……それじゃ、俺と分けっこするか？
果穂,あっ、それなら食べられますね！。プロデューサーさんも、欲しかったら遠慮なく言ってくださいね！
P,はは、分かったよ
店員,はい、ご注文は？
P,オムライスとチーズハンバーグ、お願いします
店員,畏まりました……他に御座いますか？
P,……そういや、ドリンクを決めてなかったな。果穂、何か飲みたいのとか……
果穂,…………
P,果穂？
果穂,あ、あのっ！一つ聞いても良いですか！？
店員,はい、どうかしましたか？
果穂,このカップルジュースってなんですか！？
店員,ああ……一つのカップにストローを差して、お二人で飲んでいただくメニューになっております
果穂,二人で……！
P,……あの、果穂？
果穂,プロデューサーさん！あたし、これ飲んでみたいです！。ダメ、ですか？
P,……店員さん
店員,はい、なんでしょうか？
P,これってカップル限定ですか？
店員,！？と、特には……
P,それじゃ、これも一つください
果穂,やったー！楽しみです！
店員,…………
P,あっ、変質者を見る目だ
店員,……お待たせしました、カップルジュースになります
P,ありがとうございます
果穂,わぁ……！あたし、初めて見ました！。プロデューサーさん、早速飲みましょう！
P,ああ、俺は良いよ
果穂,ふぇっ？。でも、これ二人で飲むものじゃないんですか？
P,……それは、まぁそうなんだけどさ
果穂,…………
P,……分かった、飲もう
果穂,！はいっ！。それじゃ……
P,……よし
果穂,…………
P,あ、目が合った
果穂,…………！
P,………ん
果穂,ぷはぁ……美味しいですね！
P,……甘いな、こりゃ
果穂,プロデューサーさん、美味しくなかったんですか？
P,いや、美味しかったよ
果穂,こんな美味しいのに、どうして皆頼まないんでしょうか……？
P,恥ずかしいからじゃないか？
果穂,なるほど！流石プロデューサーさん、頭良いです！
P,果穂は恥ずかしくなかったのか？
果穂,あ、あたしも恥ずかしかったですけど……。でもそれ以上に、プロデューサーさんの顔が近くにあって嬉しかったです！
P,……そうか
果穂,えへへっ……もう一回飲みましょう！
P,ああ、分かった。ジュースも美味しいし、果穂も可愛いんだが……
店員,…………
樹里,…………
夏葉,…………
P,……針の筵に座ってる気分だ。ふぅ……食った食った
果穂,お腹いっぱいです……
P,美味しかったか？
果穂,はい！頬っぺたが落ちちゃいそうでした！
P,はは、それは何よりだ
果穂,プロデューサーさん、分けてくれてありがとうございました！
P,良いよ、御礼なんてさ
果穂,あたしのオムライス、食べなくて良かったんですか……？
P,……美味しそうに食べる果穂が見たかったからな。食べさせる方ならまだしも、食べさせられる方は流石にな……
果穂,……ん
P,果穂、眠いのか？
果穂,あっ……だ、大丈夫、です
P,無理しなくて良い、お腹いっぱいになったら眠くなるもんだしな
果穂,プロデューサーさん……
P,さて、どこかに休めるところは……。おっ、公園の中にベンチがあるじゃないか。……よし、これで座れるな
果穂,ごめんなさい、折角のデートなのに……
P,良いよ、果穂が本調子じゃないなら楽しめないしな。皆で遊ぶときとかでもそうだったろ？
果穂,そう、でした……
P,だろ、だから今はお休み
果穂,……ぅ。すぅ……すぅ……
P,いつもと違う事ばっかりだったしな……。もう少し、気を付けるべきだったか
果穂,…………♪
P,別に、俺にもたれて寝なくても良いのになぁ
智代子,果穂、寝ちゃったね……
夏葉,そうね……果穂ったら、あんなにゆったりしちゃって
樹里,良い事言ってるみたいに見えるけど、とりあえずオペラグラスは下ろそうな？
凛世,…………
智代子,凛世ちゃん、羨ましいとか思わないの？
凛世,それは……果穂さんも……お疲れのようですし。プロデューサー様は、お優しいですから
智代子,……そっか
凛世,また今度、してもらう事に致します
樹里,……結局、羨ましいとは思ってるんだな
果穂,んん……あれぇ？
P,果穂、起きたか
果穂,ぷろでゅーさーさん……？。っ！すみません、寝ちゃってました！
P,良いんだよ、よく眠れたか？
果穂,はいっ、気持ち良かったです！。……あれ？あたし、プロデューサーさんにもたれてたんですか？
P,ああ、肩に頭乗っけてな
果穂,ご、ごめんなさい……重かったですよね
P,そんな事ないさ、寝顔も可愛かったしな
果穂,……な、なんか照れちゃいます。また、お願いしても良いですか……？
P,機会があればな
果穂,本当ですか！やったー！
P,……おっと、もう日が暮れてきたな
果穂,あっ、もうそんな時間なんですね！
P,今日のデートはここまでだな
果穂,デート……
P,果穂、そろそろ帰ろう
果穂,……はい
P,…………？。…………
果穂,…………
P,……果穂、どうかしたのか？
果穂,ふぇっ？どうしてですか？
P,なんだかさ、さっき妙に落ち込んでた気がしたから。何か悩みでもあるのか？
果穂,いえ、そういう訳じゃないんですけど。……あたし、今日ちゃんとデートできたのかなぁって
P,もしかして、寝ちゃったこと気にしてるのか？
果穂,は、はい……。遊んでるだけでも、デートって言って良いんでしょうか……？
P,ふむ、そうだなぁ……。それじゃ、一つ聞いても良いか？
果穂,はい、なんですか？
P,今日、楽しかったか？
果穂,勿論です！プロデューサーさんといっぱい遊べたし、ご飯も食べましたし！
Ｐ,そうか、それなら良かった。……デートってのはさ、お互いが仲良く楽しくやれればそれで良いんだよ
P,果穂だって、仲良くなる為にデートするって言ったじゃないか
果穂,それは、そうかもしれないですけど……
Ｐ,まぁ、確かに色々形はあるだろうけどな。でも、お互いが仲良くなれないデートなんて寂しいだけだろ？
果穂,…………
Ｐ,今日、俺と果穂は一緒に楽しく遊んで仲良くなった！今日のデートはそれで十分なんだ
果穂,……です
Ｐ,？
果穂,やっぱり！プロデューサーさんはスゴイです！。そっかぁ……仲良くなれたらデート、なんですね！
P,うん、そういう事だ。……良かった、納得してくれたみたいだ
果穂,……それじゃ、プロデューサーさん。一つお願いがあるんですけど
P,ん、どうかしたか？
果穂,また今度、あたしとデートしてくれますか！？
P,……ああ、今度はもっと色んなところに行こうな
果穂,……あれ？
P,どうした、果穂？
果穂,あ、アレを見てください！
P,ん、アレ……？。…………
果穂,す、すっごいお城です……！
P,……そうだな、大きなお城だな
果穂,いつの間に……まさか、隠された基地とか！
P,……よし、果穂。そろそろかえろ
果穂,入ってみましょう、プロデューサーさん！
P,えっ？
果穂,こんなに大きなお城、きっと何かあるに違いありません……！
P,そ、そりゃあるにはあるだろうけど……。……ダメだ、帰ろう
果穂,えぇ、なんでですか……？
P,それは、その……。言えない、逮捕されるかもしれないなんて言えない！。……その、だな
果穂,…………
P,……ほら、あの城は悪の大幹部の城なんだ！
果穂,悪の、大幹部……ッ！？
P,でもな、果穂のレベルじゃまだ追い返されちゃうんだ。なにしろ、大幹部だからな！
果穂,そっか……あたし、まだアイドルとしてまだまだですもんね
P,その通りだ、だからまだここに来るのは早い！
果穂,……それじゃ、仕方ないですよね
P,そうだ、これは仕方のない事なんだ
果穂,じゃあ、あたしがトップアイドルになったら連れて行ってくれますか！？
P,えっ
果穂,じー…………！
P,……お、おう！勿論だ！
果穂,よーっし！プロデューサーさんと一緒にあそこに行けるように頑張ります！
P,……が、頑張ろうな。……ん？
樹里,……流石に、それはやべーんじゃねーの？
智代子,…………
凛世,凛世なら、いつでも……
夏葉,…………
P,…………
夏葉,…………
P,やめて！！
