デレステのストーリーコミュ55話,白菊ほたる
ほたる,カフェオレってそんなに作って運ぶのが難しいんですか……？
店員,性格が悪いのか自覚が無いだけなのか判断しかねるわね……
智絵里,あっ、先輩さんっ
店員,別にあんたの先輩ではないけど
智絵里,わたし、ほたるちゃんの弱みが握りたいんですけど、何かありますか……？
店員,せめて本人いない場所でしない？
智絵里,何でもいいので……
店員,ってかほたるが強いことくらい、一緒にいればわかるでしょ
智絵里,昔からなんですか……？
店員,私は今でもトラックに撥ね飛ばされたほたるが普通に歩いて戻ってきたのがトラウマよ
ほたる,後半は轢かれても見向きもしていただけませんでしたね……
店員,まあ、そこまで長く一緒にいたわけだから知らないけど、その体質でまだアイドル続けてるならメンタルも強いんじゃないの？レッスン室追い出しても廊下で練習して、廊下追い出しても外で練習して……
智絵里,ほたるちゃん……
店員,私にもその強さがあれば……
ほたる,へ？
店員,……何でもないわ
智絵里,”私にもその強さがあれば”だって
店員,空気読めや。と、とにかく、私は仕事に戻るから
智絵里,で、でも先輩っ！
店員,あんたの先輩じゃないって言ってるでしょ！ってか緒方智絵里を”あんた”呼ばわりって普通に炎上しそうね……
智絵里,へ？わ、わたしのこと、ご存じなんですか……？
店員,あっ……ま、まあ、よく見るわよ。あんた売れっ子だし
ほたる,あ、最後に……これ……私の、私たちのCDとか、雑誌とか、これ、特集記事を組んでいただいて……よかったら
店員,……いらないわ
ほたる,……そうですか
店員,……持ってるし
ほたる,へ？
智絵里,”持ってるし”だって
店員,緒方ァ……。いらっしゃいま……
ほたる,こんにちは……
智絵里,こんにちはっ
店員,メンタルどうなってるの？
智絵里,いつものでっ
店員,通るか！！！。ってか何しに来てるの？また半チャーハンでも頼むつもり？
智絵里,えっ、このカフェ、チャーハンあるんですかっ！？
店員,あんたが言ったんでしょ！！！
ほたる,いえ、先輩に、紹介したい方がいまして……
店員,はぁ？
藤居朋,このカフェで合ってるわよね……？
ほたる,あ、朋さん
朋,あっ、ほたるちゃんと智絵里ちゃん！ごめんごめん！お仕事長引いちゃって～
智絵里,いえ、今来たところですからっ
店員,まあ、そう来るわよね……
朋,あれ、こちらの店員さんが……
ほたる,はい……私の友達です
店員,よく今までの流れで”友達”って紹介できるわね！？
ほたる,間違えました……先輩です
朋,あっ、そうなんだ！いきなり”紹介したい人がいる”なんて、娘が彼氏を連れて来るお父さんの気分よ～！初めまして！あたしは
店員,ああ、どうも……藤居朋さん……ですよね
朋,え？あたしのこと知ってるの！？
店員,……まあ
朋,ありがとうございます！いやー、嬉しいわね……！
店員,……手
ほたる,……
智絵里,……
店員,睨まれてるのおかしくない？
ほたる,こちら、私がお笑い事務所に在籍してた時の先輩で……
店員,いたことないわよ
智絵里,チャーハン作るのが上手で……
店員,振る舞ったことないわよ
ほたる,気は優しくて力持ちで……
店員,それドカベンの紹介文じゃない？
智絵里,最初は柔道をやってたんですよねっ
店員,それもドカベンでしょ？？？
朋,お、お疲れ様です……！！！
店員,なんでちょっと同情されてるの？。というか、藤居さんは毎日これなんでしょ？そっちの方が尊敬するわよ
ほたる,あの……先輩……もしかして
店員,……はぁ
ほたる,……
店員,ええ、アイドル辞めても、仲間がどうなってるのかくらいは気にしてたわ
ほたる,そう……だったんですね
智絵里,だから、わたしや朋さんのことも知っていたんですね
店員,ま、でもほとんど辞めちゃったわ。本当に、残ってるのはほたるくらい。……続けるって、才能なのね
ほたる,先輩……
店員,一昨日は、キツく当たっちゃって悪かったわね……一昨日……いや一昨日て。急展開すぎると思うけど
朋,混乱してる……
店員,……頑張ってね。応援……素直にできるかはわからないけど、新曲も、まあ気に入ったら買わせてもらうわ
ほたる,ありがとう……ございます……！
朋,よかったわね、ほたるちゃん
ほたる,……はいっ！
店員,ま、私が見てなくても、もうお姉さん役もしっかりいるみたいだし
ほたる,では、カフェオレを……
智絵里,わたしも同じものでっ
店員,はいはい……藤居さんはどうしますか？
朋,じゃあ、あたしも同じやつ……ハッ！？
ほたる,？
朋,こ、この”特製レインボーパフェ”っていうのは……
店員,ああ……店長がインスタ映えとかなんとか言って開発したやつですね……あまり出ないですけど……
朋,……
ほたる,……朋さん
朋,……ダメ？
智絵里,この前もそう言って、虹色のパンケーキの食べ切れてなかったですよねっ……？
朋,で、でも……
ほたる,ダメです。ただでさえパフェなんてカロリーの塊を……
朋,こ、こんなに運気が上がりそうなのに……！？
智絵里,一点張りですね……
朋,そんなぁ……
店員,しっかり……しっかり……？
朋,あたしもカフェオレで～
ほたる,もう……
店員,かしこまりました……
朋,あ、でも！
店員,？
朋,ほたるちゃんのことなら、心配しないでいいですよ！あたしが責任を持って幸せにしますから！
店員,……そう……ですか
朋,はい！
ほたる,こっこここ告白では
智絵里,調子に乗っちゃダメだよっ！！！
店員,それなら、安心ですね
朋,もちろん！
ほたる,ふ、ふつつかものですが……
朋,？
智絵里,ほ、ほたるちゃん……！
朋,でも、最近はほたるちゃんの不幸体質？も減ってきたみたいだし！あたしは最初からないと思ってるけど！
店員,まあ、気の持ちよう……という側面もあるのかもしれませんね
朋,そうそう！だから、安心して……
強盗,おらぁぁぁぁぁ！！！強盗だ！！！！！金を出せ！！！！！
朋,もー！！！！！！！
店員,ご、強盗……！？ど、どうすれば……
ほたる,落ち着いてください、先輩
店員,え？
朋,まったく……単独犯かしら？
智絵里,そのようですね
ほたる,武器は拳銃ですか……
朋,内側に刃物を隠してる可能性は？
ほたる,捨てきれませんね……
智絵里,天井低いから、植木鉢は……
ほたる,はい。確実ではないですね……
店員,なぜそんな落ち着きを！？
智絵里,よくあるので……
店員,よくあるので！？
智絵里,じゃあ、いつも通り、ほたるちゃんは気を引いてね？
ほたる,はい。智絵里さんはその隙に……
朋,き、気をつけてね
店員,な、何を……
ほたる,先輩。私、あれからいっぱいレッスンして、いっぱいお仕事もさせてもらって……大きな声も、出せるようになったんですよ
店員,……え？
ほたる,……すぅ。きゃぁぁぁぁぁぁ！！！！！強盗！！！！！
強盗,！？
店員,！？
強盗,なっ！？て、テメエ！黙れ！この銃が見えねえのか！！！
ほたる,きゃっ！！！こ、こわいです！！！
強盗,う、うるせえ！！黙れ！！！
ほたる,きゃああ！！！
強盗,う、撃つぞ！！！いいのか！！！
ほたる,ひぃぃぃぃ！！！！！
強盗,だ、黙りやがれって言ってんだろうが！！！。……ああ！？
智絵里,ちえりん……スタンガン！！！
強盗,あばばばばばばば！！！！！
店員,アイドルっぽさゼロ！！！
朋,決まった！！！
店員,”決まった！”ではなくて！！！
警察,ご協力、ありがとうございました！
店員,いえ……私は別に……
ほたる,あまり目立つわけにもいかないので……！
店員,まあ……よかったです
智絵里,スタンガンは、お店の備品ってことにしておきましょうっ
店員,アイコンタクトの情報量多いわね……。というわけで、この騒ぎでお客さんいなくなってしまったので、貸し切りで使ってていいわよ
朋,わーい！
ほたる,ラッキーですね……！
店員,ラッキーではないけど
朋,そ、そのままレインボーパフェがタダになったり……！
智絵里,朋さん
朋,じ、冗談！冗談だから！
店員,カフェオレ、入れなおしてきます
朋,お願いします！
智絵里,わたしは少し、お手洗いに……
朋,あっ、あたしも行く！
ほたる,では、少し待っていますね
智絵里,窓の外を歩く人の座右の銘を当てるゲームでもしててねっ
朋,答えを知りようがなくない？
智絵里,……ふぅ
朋,あ、智絵里ちゃん出てきた
智絵里,お待たせしましたっ
朋,じゃ、戻ろっか
智絵里,あっ
朋,？
智絵里,見てください。ほたるちゃんが外を見ながら黄昏てます……
朋,あら、本当ね。って、あれ？
ほたる,……
朋,……お疲れなのかしら
智絵里,みたいですね
朋,戻って起こしてあげましょ……ん？
智絵里,あっ、あの外の車、なんだかふらふらして……
朋,……この店に、向かってきてない？
智絵里,……来てますね
朋,窓際の席には……
智絵里,ちょうど……
朋・店員,ほたるちゃん
なんだか悪いので、みんなでよく使うようにしたら、,アイドルがよく来るカフェ
白菊ほたる,植木鉢に
橘ありす,友人代表フレデリカ？
は！もしかして残りの新人枠の一人かも！？,まってちがう
