城ヶ崎美嘉,お疲れさまでーす！
美嘉,んふふふっ
P,……
美嘉,あっ、ちょっと！わざと早歩きとか、もー！。あ
P,ん？
美嘉,プロデューサーはっけーん★
P,外で会うのは珍しいな
美嘉,どしたの、サボり？
P,事務所に戻る途中にさっと寄っただけだよ。ちひろさんには黙っておいて下さい
美嘉,あはは、おっけ。どうして本屋に？
P,芸能雑誌のパラ見
美嘉,ふーん。でも、アイドル誌とかなら事務所にも置いてあるじゃん
P,うちのアイドルが載っている本ならな。この業界、狭いようで広いから、店頭に並んだ本を見るだけでもいつの間にか、知らないアイドルがデビューしてる。アンテナは常に張っておいた方がいいだろ
美嘉,市場調査ってやつだ
P,そういうこと。例えば……このユニットはCDデビューしたから、単独ライブも遠からず発表があるし、ファン層と規模からするとハコが絞りこめてくる
美嘉,そういうのも分かるの？
P,うちだってCD出すならライブも織り込んでるだろ
美嘉,そういえばそうだね
P,事務所ごとに特色はあるけど、売り出し方はそんな大きくは変わらないよ
美嘉,へー……あ。この表紙、うちの事務所の子だよね
P,あー、速水さんか。そうだな
美嘉,事務所で見かけた気がしたんだ。……わ、オフと印象変わらないってすごいなー
P,確か同い年じゃなかったか
美嘉,えっ、マジ？フツーに年上だと思った
P,わかる
美嘉,えー……17？えー
P,今度話してみたらどうだ。何か共通の話題でもみつかるかもよ
美嘉,考えとく
P,もしかしたら、ユニット組むなんてこともあるかもな
美嘉,どうだろうねー
P,お。……へぇ
美嘉,なに？
P,身長体重、美嘉と同じだ
美嘉,もっ……もーっ、何見てんの！
P,悪い悪い、仕事の癖で
美嘉,プロフ見るのはともかく、アタシにそれ言う？フツー
P,悪かったって
美嘉,……っていうか、数字覚えてるの
P,ん、まぁ。なんなら本当の数字も把握してる
美嘉,えー、やらしくなーい？
P,仕事だから仕方ないだろう
美嘉,だよね★まあでも、ちゃんと知っててくれているのは悪くないかも
P,……そんじゃぁ、そろそろ事務所戻るか
美嘉,はーい、アタシもご一緒するよー
P,あ、じゃあちひろさんへの言い訳立ったな
美嘉,おっと、アタシをダシにする気？
P,んー……タダじゃなんだよな。じゃあ、途中にあるスタバでなんか頼め
美嘉,やった★んー……バニラクリームフラペチーノをモカシロップにして……チョコレートソース、チョコレートチップ、エクストラパウダー！
P,よく分かんないけど、カロリー凄そうなのは分かる
美嘉,にひひっ。一口あげてもいーよ？
P,うーん、遠慮しておく
美嘉,あ、プロデューサー！お疲れ、いま帰るとこ？
P,ああ、そっちもあがりか
美嘉,うん。ラジオ終わって帰ってきたトコ
P,直帰しなかったのか
美嘉,えっ
P,え、って
美嘉,あそっか、あははは★そうね、うん、直帰ね
P,お疲れさん。じゃあ
美嘉,えーっ、送ってってくれないの？せめて駅までとかさ
P,まあ、構わないけど
美嘉,やった
P,飯でもたかる気か？
美嘉,んー……それもいいけど、今日はお母さんがご飯作ってるし
P,そりゃあ帰った方がいい
美嘉,プロデューサーもまた、うちに来てよ。莉嘉も喜ぶし
P,まあ、いずれな
美嘉,それじゃあ……
P,駅まで行くか
美嘉,うん。さっきまで夕暮れだったのに
P,日が短くなったよな
美嘉,毎年同じように秋になっていってるのに、なんでいつもしみじみ思うんだろね
P,だな。俺の歳でも思うよ
美嘉,プロデューサーの歳でも変わらないんだ
P,まぁ……っていうほど離れてねーって
美嘉,あっははは
P,……
美嘉,……
P,どうした？
美嘉,あ……ううん。プロデューサー
P,ん
美嘉,すぅ、はぁ……手、繋いでほしいなー、なんて
P,深呼吸が気にはなったが……どうした
美嘉,えーと、その、暗いから？
P,……
美嘉,……
P,なんていうか、雑
美嘉,ひどっ
P,いくら変装してるとはいえなぁ
美嘉,まあ、確かにプロデューサーはそう言うかもね
P,分かってるんじゃないか
美嘉,でもさ。莉嘉なら？
P,うん？
美嘉,プロデューサー、莉嘉に言われたら、OKしてると思うんだよね
P,……つまり？
美嘉,莉嘉はOKで、アタシがダメな理由があるんだなーって
P,んー……いや、年頃なわけだろ
美嘉,莉嘉は、そういう対象外なんだ
P,……
美嘉,アタシは、そういう対象ってコトでいーのかな？
P,あーもう、わかったよ。駅前の、明るいところまでな
美嘉,う、うんっ。♪
P,いくぞ
美嘉,うん
P,……。トークショーはまぁ、いつもの感じでいいか。放っといても延々喋れるだろ君ら
セクギャル,そーだね
P,長めに時間とっているけど、あんまり脱線するようなら修正利かせてな。まぁ……美嘉がやることになるだろうが
大槻唯,美嘉ちゃんよろしくね～
藤本里奈,頼りにしてるぽよ☆
美嘉,はいはい……まぁ、任せておきなさいって
唯,よっ、日本一！
P,なんのだよ。時間が来たらそのままサイン・握手会。まぁ、こっちもそんな緊張することもないだろ
美嘉,はーい
P,終了したらそれで解散でいいぞ
唯,えー、Pちゃん、ごはんたべにいこーよー
P,終わっても15時だよ、まだ仕事あんだから
唯,ちぇー
P,じゃあ、あとは時間まで待機。トークで新曲の告知は抑えといて
里奈,りょーかーい
P,俺は打合せと挨拶回りいってくる。それじゃあ
里奈,プロデューサー、マジ忙しそうだよねー
唯,ねー。まぁ、唯たちのためにやってくれてるんだし
美嘉,そうそう、仕事取ってくるのもつなげていくのも大変だもん
唯,けどさー、Pちゃんって唯たちにそっけないよねー
美嘉,あーうん、ちょっとわかる
里奈,アタシらせくちーよ？セクシーギャルズよ？もっとなんか、こー、ねぇ？
唯,変な視線感じないよねー
美嘉里奈,あはははっ
里奈,やだー、変な目で見られてもマジヤバじゃーん？
美嘉,ま、大事にしてくれてるのは分かるけど
唯,……
里奈,……
唯里奈,ふーん
美嘉,えっ、な、なにさ
里奈,唯っち唯っち、これはミカちゃん、なにがあったっぽー？
唯,いやいや、あれは彼女ポジションの主張っぽいしょ～
美嘉,なっ、にゃっ……！
里奈,わぉ、美嘉ちゃん顔真っ赤っかー♪
唯,Pちゃんも、これくらい分かりやすいといいのにねー
里奈,やっぱー、分かりやすい方がイイカンジ？
唯,何考えてるか分かんないよりマシぢゃん？
美嘉,……まぁ、唯はそういう方がいいのかもしんないけどさ
唯,あ、ナンパ男とかは、ちょっちどーかなーって思うよ
里奈,でもプロデューサー、ナンパはできそーじゃん？スカウトみたっちゃん？
美嘉,えー……できるかなぁ
唯,そんなんしなくても、美嘉ちゃんめろめろっしょ
美嘉,むぐぐっ
里奈,寄ってくるんならぁ、ナンパとかしそーににゃーね。よかったね☆
美嘉,ちょっと、あんたたちね……
唯,でも、Pちゃんだいぶお堅いから、逆に大変かも
里奈,知ってーの？
唯,まえに抱きついたら引き剥がされた
美嘉,抱きっ！？
唯,唯には、ふつーじゃん？なんかその時はライブ後で楽しかったから抱きついたんだけどー
里奈,どー？
唯,ふつーにお説教されちゃった
里奈,あーねー
美嘉,……
唯里奈,ほっとしてるー
美嘉,うっ、うるさいうるさい！
唯,必要以上には接触してこないよね
里奈,レッスンはよく見ててくれるけど
美嘉,……どこまでの仕事できるか見てるんだよ
唯,あくまでアイドルとプロデューサーかー
セクギャル,はーい
スタッフ,そろそろ出番でーす。よろしくお願いしまーす
セクギャル,はーい！
美嘉,……やばっ、宣伝内容チェックしてないっ
唯,美嘉ちゃんの恋バナ付き合ってたから忘れちゃってたね
里奈,しゃーないぽよ～
美嘉,アタシのせいじゃないっ！えーと……。繋げて振るから、唯がこっち、里奈がこっち読み上げ！
唯里奈,はーい
唯,セクシーギャルズ～
美嘉里奈,トークショー！いぇーい☆
唯,みんなー、この前のライブ、観てくれたかなー？
美嘉,やっぱりアタシ達の目玉は、新曲初披露！だったね！。……あー。やっぱりなぁ。他の子達も扱いは同じか。特別扱いはされていない。だからって別に。別に……
P,お疲れ。難なく終わったな
美嘉,お疲れさま……結構必死だったよ
P,ん、そうか？
唯,直前までわたわたしてたもんねー
里奈,話が別の方向に盛り上がっちゃーしー
美嘉,ちょ、ちょちょちょっとぉ！
唯,Pちゃん、唯たちがぁ、何の話してたかキョーミない？
美嘉,あっ、待って、唯っ！
P,いや特に
里奈,えー。おもしろくないぽよー
P,君らに面白がられるためのプロデューサーじゃないだろ……そんじゃぁ、解散。お疲れさんでした
セクギャル,お疲れさまでしたー
P,気を付けて帰れよ
美嘉,あ……うん
唯里奈,……
里奈,プロデューサー、事務所戻るーん？
P,ん？ああ
里奈,お仕事だからごはんとかはむりむりだけどぉ
唯,代わりに美嘉ちゃんも事務所に連れてってねー
美嘉,へっ
P,なんか用あるのか
美嘉,ぇあー、っとー……
唯,次のライブ資料、持ってきてもらおうかなって
里奈,このあとで打ち上げするしー、ちょーどいいぽよ？
P,まだだいぶ先だけど……なんだ、取りに来るか
美嘉,へっ、あ……う、うん
P,ふたりは？
唯,先にお店抑えてるね♪
里奈,そーそー♪
P,じゃあ、あまりゆっくりはしてないからさっさと準備してくれよ。外にいるから
美嘉,わかった。……
唯里奈,ふぁいとー♪
美嘉,……ぁりがと。……
P,……
美嘉,……そのタブレットって、仕事用？
P,ああ。ノートPCだけど、折り返すとタブみたいになる
美嘉,立ちながらキーボードはちょっと無理だよね
P,まあな。……
美嘉,何か確認してるの？
P,タスクを登録しているだけ……戻ってからの仕事の順番付けな
美嘉,ふぅん
P,……
美嘉,……。今日のトークさ、危なげなかったって言うけど、実は直前までヤバかったんだよね
P,そうなのか？
美嘉,里奈と唯が話脱線させていくからさー、スタッフさんから声かかるまで告知確認ギリだったよ
P,それにしちゃ、つつがなく進行してたな
美嘉,そりゃ、アタシが引っ張ったし？★
P,頼もしいな。また、よろしく頼むよ
美嘉,任せといてよ
P,……
美嘉,……えーと、あとね！
P,わかった、話付き合うから、声のトーンは少し抑えてな
美嘉,あっ、うん。……へへ。それでね……。……。ちょっとずつ。ちょっとずつ、近づいているよね。それで……どこまで近づいたら、どうする？。いける、って思ったら言えばいい？。言うの？告るの？プロデューサーに伝えるの？。……。そりゃぁ……いつかはそれっきゃないっしょ。なんか、いい雰囲気になった時に……。い、いますぐなんて、それはムリだけど。でも、いつかは
北条加蓮,それダメなヤツだよね
美嘉,は？
加蓮,だってそーでしょ。いつかって、いつ来るのさ
美嘉,それは……
加蓮,コクって落としにかかった方が早いって
美嘉,……人事だと思ってぇ
加蓮,人事だけどさ……あ、ちょっと指先動かさないで
美嘉,うー……じゃあ加蓮は好きって思ったらすぐ言うワケ？
加蓮,さぁ。アタシ初恋らしい初恋もしてないしなー
美嘉,それってアタシに何か言えるほどの経験ある？
加蓮,そりゃ無いけどね、でもいつかは～なんてやってたらダメだってことくらいわかるよ
美嘉,…………やっぱそーだよねぇ
加蓮,……ねぇ、やっぱり恋っていいもん？
美嘉,えっ。……いいとかそういうのは考えてなかったけど。気づいたら、とか。いつの間にか、とか……そういう感じだったし
加蓮,幸せになる？
美嘉,ん？ん……その人のこと考えていると、ほわって身体が温かくなるし。会えたら嬉しい。声かけてくれたら嬉しい。……近づきすぎるとちょっとテンパるけど
加蓮,やっぱ幸せなんだろうね
美嘉,うん……うん、たぶん
加蓮,ちょっとネイルはみ出させよ
美嘉,あっ、ちょっと！
加蓮,冗談、やらないよ。……恋はいいものって言うのは見ていてわかる気はするな
美嘉,えへへ、そう？
加蓮,でも、それ成就しなかったら失恋になっちゃうじゃん
美嘉,そーかもしんないけどぉ……
加蓮,はい、左手
美嘉,ん
加蓮,……歳の差もあるけど、立場がきついよね
美嘉,障害多い……
加蓮,だから攻めないと勝ち目がないって。あのプロデューサーさん、環境いいでしょ
美嘉,環境？
加蓮,女の子はいっぱいだし、アイドルならまず可愛いし、歳の近いアイドルまで……なんなら障害のない同僚とかも
美嘉,ぐむ
加蓮,美嘉のプロデューサーさんが美嘉にぞっこんなら心配しなくてもいいかもしれないけど、その塩対応じゃねぇ。やっぱり攻めるしか無くない？
美嘉,うん…………どうアピールしたもんかなぁ
加蓮,そういった話となると、アタシじゃ経験不足かなー
美嘉,そこをさ、なんかヒントになりそうなことでもいいから
加蓮,んー……話を聞く限り、拒否られてないから脈なしってことは無いと思うけど
美嘉,うんうん
加蓮,やっぱり一緒にいる時間が長いって有利だと思うんだ。できるだけ一緒に帰るとか
美嘉,割とやってるんだけどなぁ
加蓮,もっとだよ。攻めて攻めて、美嘉がいないときに寂しさを覚えさせるような感じでさー
美嘉,んん、それは悪くないかも……
加蓮,まぁ、手始めに。このネイル見せに行ったら？
美嘉,ん……ありがと。プロデューサー？
P,……
美嘉,あ、いるじゃん。ねぇ
P,ええ、イメージは伝えた通りで
美嘉,あ、電話中だ。メンゴ
P,じゃあ作詞さんとのミーティングで会議室取っておきます。ええ、自分も顔出しますんで。はい、ではお願いします。すまんな、ちょっと立て込んでた
美嘉,ううん、話しかけちゃってごめん
P,で、なんか用か？
美嘉,あ、あー……
P,美嘉？
美嘉,う、ううん、特に大事な用があるわけじゃなくってさ。暇だったらいいなーくらいでしかなくて
P,はぁ。さすがに遊んではいられないけど、話くらいなら
美嘉,いや、うん……たいしたことじゃないよ。ちょっと見てほしかっただけ……どーお？
P,ん？ネイルか？
美嘉,へへ、そう。加蓮にやってもらったんだ
P,トラプリの？へぇ、ぱっと見じゃ分かんないけど、上手いのか
美嘉,自分でも塗れるけど、加蓮は塗りムラが無くてキレイなんだよね
P,ふぅん……
美嘉,どお？
P,ああ、いいと思う
美嘉,ほんとっ？
P,ああ。北条さんか……トラプリのプロデューサーとはそんなに話さないが、なんか新しい組み合わせができそうだな
美嘉,……
P,上手いこと商品企画に乗せられないかな。そういうCMが来たら声かけてみて……
美嘉,……
P,どうした？
美嘉,……ううん。なんでもない。さ、ネイルも褒めてもらったし、レッスン行きますか
P,なんだ、自慢しに来ただけか
美嘉,男の人に自慢もないっしょ。またね
P,ああ。レッスン頑張れよ
美嘉,もち★。……。……はぁー。今日は、新しいピアス……。ネイル見せるよりもきちんと気づかせるには……目の前で髪でもかきあげちゃおうかな。……よしっ
城ヶ崎莉嘉,えー、それほんとーっ！？
美嘉,ん……莉嘉？と、プロデューサー……
P,ああ。まだ全部は言えない段階だけど、大きな仕事控えているからな
莉嘉,大きな仕事？それってライブ！？
P,それもある
莉嘉,わーい、やった！誰とかな、セクシーパンサーズとかでやるのもいいなぁ
P,具体的に誰かという話は後々だけど、確定していることなら
莉嘉,ん？
P,美嘉にも同じ話していいぞ
莉嘉,おっ、えっ、お姉ちゃんと！？
P,やっぱりファミリアツインは人気あるからな。推せるところは推していきたいし
莉嘉,わーい、ありがとPくん！
P,おっと。おいこら急にはやめろっての危ない
莉嘉,はーい☆
美嘉,……莉嘉ぁ……ハグから頭グリグリとかアタシでもやったことないんだけど……！？。できるかって言ったらできないケド！。……。はぁ、なにやってんだろアタシ。……すぅ、はぁ。おっす、お疲れー★
P,ん？ああ、お疲れ
莉嘉,お姉ちゃん！お疲れさまー！
美嘉,わっ、ちょっともーなによ
莉嘉,あのねあのね、またお姉ちゃんとお仕事だって！
美嘉,ほんと？前のライブからまた引き続きかー、ま、気楽でいいけどね
莉嘉,えー、アタシは嬉しいよ！
美嘉,わかってる、アタシもだよ。ね、プロデューサー、今度のってどんなの？
P,んー、もうちょっと待っててな。企画段階だからまだ全部は無理だけど、いい仕事もってくるから
美嘉,おっけー
莉嘉,ライブもあるんだって！
美嘉,お、いいじゃん
莉嘉,楽しみだよね！
美嘉,でも莉嘉、もうカブトムシはライブに連れてこないでよ
莉嘉,えぇー
P,美嘉が逃げ出してからのお姉ちゃん歌詞わすれないでは傑作だったなぁ
美嘉,もーっ、プロデューサーまで。必死だったんだからさ
P,いいんだよそれで
美嘉,いいの？
P,ライブの度に完成度あがってるだろ。だからそんなコミカルなシーンでも、ファンは安心してついてきた
莉嘉,……ふぅん？
美嘉,ん、なんかわかる気するな
P,自信もってやっていってくれ。この先もまだまだ仕事が待っている
莉嘉,えへへー、もちろん！
美嘉,任せといてよ。決まった……！
P,ああ
莉嘉,おー……。あっ、お姉ちゃんそのピアス、765℃の新作！？
美嘉,え、あ、うん
莉嘉,カッコいい～！ね、Pくんもみてよ、すごいでしょ！
P,ん、あー、すごいかは分からないが、いいな
美嘉,ふふ、そお？
P,ああ、ジュエリー系の仕事は競争もあるけど需要も高い。美嘉とのターゲット層を考えるならハイブランドとはいかないが
美嘉,あ……
莉嘉,いいな～、アタシもそろそろピアスあけたい～
美嘉,……莉嘉にはまだちょっと早いかなー。成長期だからすぐふさがっちゃうよ
莉嘉,えー
美嘉,ね、プロデューサー
P,まぁそうだな。あと、莉嘉の年代だからこその魅力もある。もうちょっと待ってくれた方がありがたいな
莉嘉,うー……
美嘉,そのままでも可愛いんだから。もうちょっとしてからの方がいいよ
莉嘉,……うん。Pくんとお姉ちゃんが言うなら
美嘉,よろしい★さてと……それじゃあ莉嘉、そろそろレッスン行こうか
莉嘉,うん！Pくん、行ってくるね！
P,おお、しっかりしごいてもらえ
莉嘉,お仕事楽しみにしてるねー！
美嘉,ほらいくよー。……
P,……ん？
美嘉,ううん
P,……
美嘉,……。気づいてしまった。どんなオシャレをしてもそれは、プロデューサーの為だと思ってくれない。プロデューサーはアタシ達にそっけないんじゃない。この人にとって……アタシにアイドル以上の価値が、ないんだ。大切にしてくれている？商品だから、当然なんだって。気づいてしまった
里奈,美嘉ちゃん、それでそれで、あっちの方はどうなってるぽよ？
美嘉,あっち？
里奈,ぷろでゅうさぁ♪
美嘉,あ、あぁ、うん。うん……
唯,うーん？
里奈,なんかあった？
美嘉,あったっていうか……なんもないっていうか
唯,なんもないの？
美嘉,あはは、ちょっとしたアピールじゃ、特に気づかれないみたい
唯,直帰しないでわざわざ事務所に戻ったりしてるんだよね？
里奈,ひゃー！なにそれ乙女ー！アタシ、ネイル見せたりしたって聞いたよぉ？
美嘉,うん、そういうのもやった……
唯,えっ、まさか気づかれなかったとか
美嘉,ううん。しっかり見せたから、そんなことは無かったけど
里奈,あー。じゃあ、希望通りの答えが出てこなかったんだ
美嘉,……そうっなのよ。やっぱ分かるー？
里奈,うんうん。男の人って素直にほめにゃーよねー
唯,フツーに、似合ってるよ可愛いよ、で満足なのにね
美嘉,ほんと、そうだよねー……
唯,よーっし、ぐちってけぐちってけ
里奈,いくらでもきーちゃうぽよ
美嘉,愚痴ってわけじゃないけどさぁ……。やっぱり、見られてないのはヘコむなーって
唯,見られてない？
美嘉,ネイル見せに行ったら、企画にあげられないかどうかってことばかり
里奈,それサガるわー、オトメゴコロなんだと思ってーのさー
唯,これ、美嘉ちゃんの気持ちにも気づいてないのあるよ
美嘉,んー……どーなんだろ
唯,えー？
里奈,気づいてて、スルーしてっとかとか？
唯,それマジありえなくない？そっちの方が酷いよぉ
里奈,……あー……プロデューサーにワケあるってんなら、アタシほんのちょーっぴりわかる気するぽよ
唯,え？
里奈,いちおーはアタシらアイドル、恋愛はNGっしょ
唯,ん、まぁ、そうだけど……
里奈,だから、わざと気づかないフリするってのはぁ、プロデューサーならやるかもって
唯,むむむ……
美嘉,……そうかもね
唯,美嘉ちゃん……？
美嘉,アハハ、アタシって自分のことばかりだね。……プロデューサーにだって立場あるんだから
唯,でも
美嘉,仕方ないよ、唯。仕方ない……
唯,……美嘉ちゃん、どうしたい？
里奈,アタシらは、美嘉ちゃんの味方ぽよ
唯,いくらだってサポートする！
里奈,伝えるならセッティングだって根回しだって
唯,Pちゃんに意識させるよう仕向けるし
美嘉,……
里奈,でも、動くのは美嘉ちゃんから
美嘉,あ……
唯,そだね。勝手に唯たちが動いて立場悪くしちゃいけないし
里奈,なにより、自分の言葉でしっかり伝えにゃーとね☆
美嘉,……うん……。どうしたいのかは、わかんない。反応薄いのは悔しいけど、でも、期待には応えたいし。仕事はきちんとこなさないとさ。プロデューサーのことで集中できないなんて、シャレにもなんないし……。アタシを見てほしいって思う……でも、プロデューサーって立場を考えると、簡単にはいかないよね……。それでも、やっぱり……。顔を見ただけで胸いっぱいになって……声が聞けただけで嬉しくて。プロデューサーのことを考えるだけでドキドキが止まらない。……。アタシは、このままで十分
唯,……このままで？
美嘉,…………うん
里奈,ん……
唯,そっか……。大丈夫かな、美嘉ちゃん……
里奈,大丈夫、じゃないってー。辛いよ、つらたんだよ
唯,……このままでいいなんて言ってたけど
里奈,ホンネなんかじゃないよね
唯,うん…………里奈ちゃん
里奈,ん？
唯,つらいだけの気持ちって、恋なのかな
里奈,……ん……美嘉ちゃんがしてるのは、ぜったい恋だよね
唯,うん、ホントの恋だと思う
里奈,でも、近づくほど辛いのもホントのこと
唯,それじゃあ美嘉ちゃんかわいそーじゃん……
里奈,しゃーわせじゃないよね
唯,幸せかぁ
里奈,……い～っぱい応援したげよ！
唯,うんうん。それで、ふたりがくっついたら、めいっぱいPちゃんからかおう！
里奈,アハ、イイねそれ☆たのちみ～、このグチぜーんぶ聞かせちゃお
唯,あははは、それ美嘉ちゃんもいっしょにまっかになるやつ～☆
美嘉,えーっ、マジ！？
P,マジもマジ。前々から企画は進めていたんだ。共有できる段階になったから立ち消えもないぞ
美嘉,そっか……本当に……
P,ああ。おめでとう、ソロ２曲目だ
美嘉,やった！ありがとう、プロデューサー！
P,おっと、ちょいちょい、落ち着けっての
美嘉,むぇ。……あはは、テンションアガっちゃったよ
P,まったく、唯といい莉嘉といい、パッションは感情がすぐに行動に出るなぁ
美嘉,う……落ち着きないって？
P,場合による。感情を素直に表現できるのは、アイドルには長所だよ
美嘉,んー、褒められたと思っておく
P,そうしてくれ。これから忙しくなるからな、頼むよ
美嘉,OK、任せてよ
P,ほい、音源と歌詞カード。トレーナーさんにも渡してあるから、しばらくレッスンはボイトレ多くなると思って
美嘉,わかった。……ベテトレさん？
P,3回に2回マストレさん
美嘉,わぁ…………ふー、やってやろーじゃん
P,その意気だ。歌詞はそれでほぼ最終稿だけど、なんか希望があったら教えてくれ
美嘉,わかった。ちょっと聴いちゃうね
P,ここでか？まあいいけど。ほら、ヘッドホン
美嘉,ありがと。……曲を貰ったときって、この瞬間が一番わくわくするんだ
P,そうかもな
美嘉,どんな曲が私に託されて、どんな風に歌い上げるんだろうってね。フンフーン……。素直にキス……。ハダカのマイハート。全部あげたいの
P,……
美嘉,……。こんな言葉が言えたら……どんなに楽かなぁ
P,どうだ？
美嘉,ひぁっ！？
P,えっ、どうした
美嘉,な、なんでも！アハハ★うんっ、いい曲、カッコよくて、それで歌詞がステキ
P,だよな。発注以上のものができて、俺も嬉しいよ
