モバＰ,ほら、こっちにこいって
Ｐ,前準備かな。意識しないと耳なんて風呂入った時に拭くくらいだろ？こういう時くらいしっかり綺麗にしないとな。んじゃあ、柔らかいブラシで泡立てた石鹸を耳に塗るからな。熱かったり痛かったりしたらすぐ止めるから言ってくれ
凛,んっ…。なんか…変な感じ。くすぐったいような…
Ｐ,熱くないか？
凛,ん…大丈夫だよ…
Ｐ,耳の裏側も…ここってよく洗うのが疎かになったりするからな。……よし、塗り終わった石鹸を綿棒を使ってこするからな
凛,ひゃっ
Ｐ,ん…痛いか？
凛,う、ううん。びっくりした…だけ
Ｐ,いきなり過ぎたな、すまん
凛,だ、大丈夫…
Ｐ,耳の周りから、なぞるように…
凛,んん…っ
Ｐ,くぼみもしっかりとな
凛,あっ！？
Ｐ,うぉっ、すまん。耳の入り口も少しこするぞ
凛,さ、先に、言って…！。変な声出ちゃった…
Ｐ,すまんすまん。じゃあ、蒸しタオルで石鹸を拭いてくからな
凛,な…なんだろう。なんか、ふわふわした感じが…
Ｐ,よーし、綺麗になった。入口に残った石鹸は新しい綿棒でくるくるっと
凛,ふぁ…。よ、よだれが…
Ｐ,うし。じゃあ、こっから耳かき棒の出番だな
凛,や…やっと始まるの…？
Ｐ,じゃあよくほぐれた耳の周りから
凛,えっ…？
Ｐ,耳も凝ると同時に、いっぱいツボがあるんだな。それを耳かき棒の丸い背の部分でなぞったり押したりするんだ
凛,んっ…。むず痒い…。ん…はぁ。なんか、力が…抜けて…
Ｐ,よーし、じゃあまずは耳の浅い所から。軽く引っ掻く感じでな
凛,ぅん…。プロデューサーの声もぼんやりした感じが…。ぁ…
Ｐ,お、よく見れば案外あるねぇ
凛,なんか…楽しそ…ぅ…？。んっ。んぁっ
Ｐ,おし、取れた。この調子だな
凛,…。こえ…でない…。なんか…きゅうに…くらく…
Ｐ,やっ…奥に…るな。いた…ら言っ…よ？
凛,こえが…ちゃんと…きこえない…。ぷろ…でゅ…さ…
神谷奈緒,あれ、加蓮じゃん。事務所行ったんじゃないの？
加蓮,いや…行くには行ったんだけど
奈緒,ん？
加蓮,プロデューサーが本気で耳かき始めちゃって。凛の
奈緒,マジか…
加蓮,あれ？奈緒はやってもらったことあるの？
奈緒,ちょっと前に…な。起きたらあんなことになってるなんて…。凛もそうなるのか…
加蓮,だから終わるまで外にいよっかなーって
奈緒,アタシも見られなくなかったしな。仕方ないな…
加蓮,でも、いつ終わるかわからないから凛に終わったかどうか電話で聞いてみようかなぁ♪
奈緒,…意地の悪いヤツだなぁ
凛,けいたい…なってる…。すかーとのぽけっと…。おとこのひとのこえ…おとうさん？。このまくら…しめってる…。あ、かれんだ…きょうれっすんだっけ。もしもし。いま…おきたけど…なに？。いま…いまは…。…………。！！！
Ｐ,おはよう
凛,あ…ああ…。いやあああああああああああああああああああああ！！！！！！！！！！！
Ｐ,もしもし？。携帯ほっぽって顔真っ赤にしてどこかへ駆けてったよ。意地の悪いやっちゃな。あとでフォローしていてな。あ、はい。なんですか？
千川ちひろ,あ、プロデューサーさん。凛ちゃんが全力疾走してどこかへ行っちゃったんですけど…この部屋見たら納得しました
Ｐ,ちひろさんもします？
ちひろ,時間のある時でお願いします…。プロデューサーさんにされると…その…寝ちゃうので
Ｐ,はーい、いつでもウェルカムですよ
凛,あ、プロデューサー…その…
Ｐ,ん？どうした、凛
凛,あの…あのね…。耳かき…して欲しいかなって…。２週間くらい掃除してないの。だから、きっと、いっぱい溜まってるから…
Ｐ,そうか。わかった。…たくさん、気持ちよくしてやろう
凛,うん…
佐久間まゆ,おはようございます
加蓮,おはよー
奈緒,おう、おはよう
まゆ,…
奈緒,…あー、Ｐさんならいま和室だよ
まゆ,ありがとうございますぅ♪
奈緒,あっ、いま行かない方が…行っちゃったよ
加蓮,まぁ、いーんじゃない？面白ものが見れそうだし
奈緒,お前なぁ…
加蓮,そういう奈緒も強く止めなかったじゃん
奈緒,…たまにはさ、凛がやられる役になってもいいと思うんだ
加蓮,顔真っ赤な凛は珍しいし可愛いかったもんねー♪
まゆ,和室ってことは…Ｐさん、仮眠中でしょうかぁ。えっ。なに…いまの声…。Ｐさんと…凛ちゃんの…声…。ドアそっと開けて…こんな覗きみたいなこと…よく見えない…
凛,うぅん…
まゆ,凛ちゃん…！Ｐさんのこっ…こかっ…んんっ、お股の間に顔埋めていったい何を…！
凛,はぁっ…！
まゆ,凛ちゃん…そんな声出して…なに…なにをしてるの…そんな…
Ｐ,凛…そろそろ
凛,ん…
まゆ,そろそろって…！なにがそろそろ…！？いや…そんな…！！
Ｐ,逆向いて
凛,うん
まゆ,だめぇ！！！
Ｐ,ん？
凛,えっ？
まゆ,…あれ？
加蓮,ぷっ…！くくく…っ
奈緒,お…おい、加蓮…笑うなよ…っ
加蓮,だ、だって…案の定っていうか…！まゆ、ばっちり勘違いしてるし…！
奈緒,どんな勘違いしたんだろうなぁ…ははは！
ちひろ,…ちなみにお２人はどんな勘違いを？
加蓮,…
奈緒,…
ちひろ,…
加蓮,スタバいこー
奈緒,アタシもー
ちひろ,２人ともお年頃ですねぇ
まゆ,耳かきですかぁ？
凛,うん
Ｐ,俺の耳かき欲をな、発散させてもらってるんだ
凛,耳かき欲て…
Ｐ,もう二度と外耳炎は御免だ。…ホレ、綺麗になったぞ。仕上げに梵天だな
凛,んぁっ
まゆ,ちょっ
凛,どうしたの、まゆ
まゆ,そんなはしたない声出さないで下さいよぉ
凛,…出ちゃんだからしょうがないじゃん。初めは信じてなかったけど、Ｐさんの耳かき、これ仁奈が１分で寝るのも理解できるよ
Ｐ,最近は美優さんの膝枕より寝つきがいいとかで、美優さんに嫉妬されたな
まゆ,あ…あのっ
Ｐ,ん？
まゆ,あの…まゆも…その…耳かき、して…欲しいです…！
Ｐ,やだ
まゆ,えっ…なんで…
Ｐ,なんでって…まゆ、いつも耳綺麗にしてるじゃん。それ以上やったら俺みたいに外耳炎になるぞ？
まゆ,でもっ！
Ｐ,だーめーだ。まゆも大切なアイドルなんだ。俺の手で傷つけてどうする
まゆ,…
凛,…
Ｐ,おい、凛。梵天で寝ちゃってないか？
凛,んがっ。お、起きてるよ、大丈夫
Ｐ,まったく。ホレ、終わりだ
凛,…んんっ
Ｐ,まったく、よく２週間もためたもんだ
凛,プロデューサーがするの好きだって言うからね。たくさん出来た方がいいと思って
Ｐ,アイドルなんだから少しは気にしてくれ。気持ちは嬉しいが、次は耳を拭く程度はしといてくれな？中の掃除は俺がやるけど
凛,うん、わかった。それと…ありがと
Ｐ,おう。…まゆ？
まゆ,Ｐさん…まゆ、耳かき、我慢します…！
Ｐ,は？
まゆ,Ｐさぁん♪
Ｐ,まゆか。どうした？
まゆ,あのぉ…約束通り、耳かき我慢しましたぁ。だから…
Ｐ,え？この前のあれか？まさか、あれからずっと？
まゆ,はい♪凛ちゃんが２週間と言っていたので、まゆは３週間頑張ってみました
Ｐ,おいおい…
まゆ,あ、もちろん見える所は綺麗にしてますよぉ。でも中は手つかずです。Ｐさん。まゆにも耳かきしてくれますかぁ？
Ｐ,…覚悟しておけよ？
まゆ,…？えぇ、Ｐさんにされるならなんだって平気です♪
Ｐ,さて、準備もしたし早速耳かきしてしまおう
まゆ,はい♪。Ｐさんの…膝枕…！
Ｐ,ほいじゃあ、俺に背を向けて座って。うん、そう。じゃあ、抑えてるからそのまま後ろに倒れてくれ
まゆ,はぁい
Ｐ,ん。よし。頭、痛くないか？
まゆ,大丈夫です。Ｐさんの顔が近いです…♪
Ｐ,んじゃ、まずは耳の周りから綺麗にしようか。自分でやったみたいだけど、一応、な
まゆ,お願いしまぁす
Ｐ,レンチンしたタオルで耳の周りを拭くから、熱かったら言ってくれな？
まゆ,はい、大丈夫です
Ｐ,もうちょっと右向いて
まゆ,はい
Ｐ,んー、確かにこれはたまりっぱなしだなぁ。左向いてー。こりゃあ楽しみだ
まゆ,…
Ｐ,まゆ？
まゆ,…はっ！はい、起きてますよぉ
Ｐ,いや、寝ててもいいんだけどね？
まゆ,なんでしょう…この心地よさは…！
Ｐ,じゃあ、まずはこの象牙のツボ押し棒で…
まゆ,耳掃除じゃ、ないんですか？
Ｐ,まぁ、いいじゃないか。少しオプションがついても
まゆ,んっ
Ｐ,耳ってのはなぁ、たくさんツボがあってな。耳を見れば体のどこが悪いのかわかるって人もいるんだってな
まゆ,んぅ
Ｐ,俺はそこまではわからんけど、ちょっとしたマッサージなら出来るから、この時間くらいはリラックスしてくれ。ここは親指と人差し指で挟んで、ぐりぐりっと
まゆ,ん…
Ｐ,ここは温めるような感じで、押して揉むっと。それから耳のラインに沿ってツボ押し棒で…
まゆ,あ、あの
Ｐ,ん？どうした？
まゆ,耳の中が…か、痒いです
Ｐ,あぁー、ほぐれてきたんだな。じんわりと耳の中で汗をかいて、耳垢が少しずつ剥がれてるんだ。もうちょい我慢だな
まゆ,は…はいぃ。この刺激が…もどかしいです…
Ｐ,まゆが悩ましげな声を出しながら、太腿を擦り合わせてる。靴下越しだけど、足の指も盛んに動いてる。いやぁ、もどかしいの我慢してるんだなぁ。もうちょっと意地悪してやろ。えぇと、次は…っと
まゆ,痒いです…痒いです！Ｐさんが見てないうちに、ちょっとだけ…。あっ！？
Ｐ,まゆ、なんだ、この手は？
まゆ,あの…えと…
Ｐ,ん？
まゆ,その…
Ｐ,あぁ、そうか。我慢できなかったのか。俺がやるって言ってるにも関わらず、自分で耳の痒さを解消しようとしたな？
まゆ,うぅ…
Ｐ,そうかぁ。じゃあここで終わりにして、あとは自分でやるか？
まゆ,そ、それは…！
Ｐ,嫌か？
まゆ,う…はい…
Ｐ,じゃあ、どうすればいいんだ？
まゆ,ま、まゆ、は…
Ｐ,まゆは？
まゆ,まゆ、は…Ｐさんに耳掃除して、欲しいです…！
Ｐ,うん
まゆ,声…！顔が近い…！。ひぃ！？
Ｐ,ごめん、びっくりしたか？
まゆ,だ、大丈夫…です…
Ｐ,そうか。それじゃあ、そろそろ始めようか。ん～。３週間って言ってた割には、そこまでだな。入口の方からな～
まゆ,んぅ…。あっ！
Ｐ,おい、動くなよ。危ない
まゆ,す、すいません…。～ッ！
Ｐ,おぉ～、大物が取れたな
まゆ,ふぅ…はぁ…
Ｐ,まだとるぞー
まゆ,ひぅ…！。ふぁ…。目を…開けてられません…。やだ…よだれが…
Ｐ,んんん。細かいの、残っちゃったな。綿棒ーっと
まゆ,ふぅ…ぅん。声が…出ちゃう…！
Ｐ,…。ちなみに。声を我慢したいのか、まゆはいま甘く指を食んでいる。漏れる声。少し胸元の緩い服を着ているので、そこから覗く肌色。工口い！。いかん、これではｑがσになってｂになってしまう…！。しゅ、集中…！。よ、よーし、それじゃあ片耳の仕上げに梵天入れるからなー
まゆ,ん…。…はぁ
Ｐ,ふ～っ
まゆ,んぁっ！
Ｐ,ごめんごめん、驚いたか？
まゆ,も…もぅ…Ｐさんたら…。終わり、ですか？
Ｐ,うん
まゆ,あ…ありがとうございます。思ってた以上に気持ちよかったです…これ以上は、だめ…。心地よさから微睡んで、思考が口から漏れちゃう…
Ｐ,まゆ
まゆ,はぁい？
Ｐ,まだ左耳が残ってるぞ
まゆ,…。…あの、凛ちゃん
凛,ん？どうしたの、まゆ
まゆ,…あの時は、はしたない声を出してとか言ってしまってごめんなさい
凛,いや、気にしてないけど…どうしたの？
まゆ,あっ…
凛,あ？
まゆ,あんなの…っ！無理です！まゆ、おかしくなっちゃうかと思いました…！
凛,あぁ、やっぱり。私もさ、初めてはそんな感じだったから、大丈夫だよ
まゆ,でも…！
凛,そんなこと言って、いま耳かき我慢してるでしょ？
まゆ,あんなことされたら、自分でする気が起きません…
凛,私も、かな。プロデューサーの膝、次いつ開いてるかな？
Ｐ,…のあさん
高峯のあ,何？
Ｐ,いや、何？、じゃなくて終わったのでどいてくださいよ
のあ,Ｐ、今この時間はあなたの膝は私だけのものよ。もう少し我慢しなさい
Ｐ,いや、みくそこで待ってますからね？むっちゃ見てますからね？
前川みく,そうにゃ！Ｐチャンの時間だって限られてるんだから終わったならさっさとどくにゃ！
のあ,にゃん・にゃん・にゃんのリーダーは常に下に優先権を譲るものよ。そう、今みたいにね
みく,都合のいい時だけそんなこと言わにゃいの！あれだけ悶えてたの見られて恥ずかしがってるの、わかってるんだからね！
のあ,…
みく,…
のあ,気のせいよ
みく,んにゃー！さっさどＰチャンの膝を明け渡すにゃー！！
Ｐ,どうでもいいからどいてくれないかなぁ…
みく,どーくーにゃー！！！
Ｐ,耳かき予約券とか作ろうかなぁ…
終凛,ちょっと待って
奈緒,ん？どした？
凛,一つ、腑に落ちない事がある
まゆ,なんですかぁ？
凛,私はさ、膝枕は逆さまに覗き込まれる形でやったんだけど、奈緒とまゆは？
奈緒,ん、アタシもそうだな
まゆ,まゆもです
凛,聞いてみた感じ、他のみんなも耳かきやるときはわざわざ和室でやるみたいなんだ
奈緒,そういえばそうだな。それがどうかしたのか？
凛,ソファでしてた
まゆ,？
奈緒,？
凛,加蓮は、ソファで、思いっきりプロデューサーのお腹に顔を埋めてた
奈緒,なっ
まゆ,本当ですかぁ？
凛,これは…なにかある…！
Ｐ,ただいまー。ん？なんだ、来てたのか。うわー、まじか。今度お礼しなきゃなぁ…。つっても最近毎日ご馳走になってるし、食費くらいは…。だよなぁ…共働きで親が夜遅くまでいないかった俺の世話を焼いてくれた人だもんなぁ。ん？。…。あ、いや、なんか照れるな。…そうだな。じゃあ、着替えたらおいしくいただくかな。お、サンキュー。ご馳走様。ん？。おう、いいぞ。…最近は予約制にしたからな、言えば事務所でもできるぞ？。そうか？。俺の腹のどこがいいんだか…まぁ、妹代わりの幼馴染のお願いだからな。なーに言ってんだ…。よし、準備も出来たし…と。ほら。加蓮、おいで
＞Ｐ,いかん、これではｑがσになってｂになってしまう…！
