鬼瓦慎吾……呉羽ＦＣ,ファンクラブ
山田,ふう……。お、やっと来たかお前ら
鮫島,なんだ、見ないと思ったらサウナにいたのか。すごい汗だな
山田,ああ、ちょっとやることがあってな。おお暑い……
不動,サウナで何してたんだよ……
山田,その内分かる。それよりもどうだ？ここの露天風呂は良い眺めだろう？
鬼瓦,ああ、海と山とをいっぺんに見渡せるここの立地は大したものだな。それに泉質も文句なしの一級品だ
鮫島,岩の置き方一つをとってもこだわりを感じさせる。男湯と女湯を隔てている竹垣も風情が出ていて良い
不動,こんなことを言うのもあれだが、ここ、かなり高いんじゃないのか？あとで金が足りませんでしたって言われても、俺たちには払えないぞ？
山田,大丈夫だ、心配するな。ここの支払いは既に済ませてあるし、もし追加で料金が発生したとしても、現金は十分に持ってきている。お前たちは何も気にせずにただ楽しめばいい
不動,……。何で俺たちにここまでしてくれるんだ？正直言って、かなり怪しいぞ
山田,お前たち呉羽ＦＣには、俺が呉羽夕子を発明品の被検体にする度に心配をかけているからな。せめてもの罪滅ぼしくらいに思ってくれ
鬼瓦,罪滅ぼしなら呉羽さんに直接しろよ。今月だけで何回死にかけたんだ、呉羽さんは……
山田,もちろん俺もそのつもりだった。しかしせっかくヨーロッパ旅行に誘ってやっても、今度は何企んでやがる！と言って相手にしてくれんのだ
鮫島,そりゃそうなるわな……
山田,それから俺としては、今までシビアな関係にあったお前らとも、クラスメートとして良好な関係を結びたいと思っているんだ
不動,山田……
山田,なにぶん俺は一般人から見たらかなりヤバめのサイコパス野郎らしいからな。金で友情を買うことしかできない俺を笑ってくれ
鬼瓦,……笑えねえな。歩み寄りの一歩を踏み出したお前の勇気を笑うことなんて、俺たちには到底できねえ
鮫島,そうとも。今お前は僕の中で蛆虫から友達へと生まれ変わった
不動,今後、また呉羽さんに何かしやがったら、そのときはぶち殺すけどな
鬼瓦,ふう……さっぱりした……
山田,フロントの話だと、夕食は１８時だったな。まだかなり時間はあるが、どうする？
鬼瓦,部屋でトランプかウノでもしようぜ。俺、他にも人生ゲームとかモノポリーとか持ってきたし
不動,俺もトランプとウノと人生ゲームとモノポリーを持ってきた
鮫島,僕もだ……。皆考えることは同じだな……
はるか,うっわー！なんて立派な旅館！///
りつこ,さっき下足箱の１００円玉貸したったんやから、うちの宿泊代はあんたが出すんやで？
鬼瓦,！
鮫島,！
不動,！
はるか,あれ、山田くん達じゃん。すっごい偶然！
りつこ,自分らが仲良く温泉旅行かいな？めっずらしーこともあるもんやなー
山田,そうだな。偶然だな。まさかこんなところでお前たちに会うとは思いもよらなかったぞ
はるか,なんでそんな棒読みなの？
鬼瓦,に、西島に……
鮫島,木下さん……
不動,……と、いうことは……
夕子,ひいひい……荷物じゃんけんで最初から最後まで運ばせるって流石にあんまりだって……。って、なんでアンタがここに？
山田,偶然だな。こんなことがあるんだな。非常にめずらしい
夕子,なんでそんなに棒読みなんだ？
鬼瓦,く
鮫島,く……く……
不動,くくくくく……
鬼瓦・鮫島・不動,呉羽さん！///
鬼瓦,……
鮫島,……
不動,……
山田,なあ、あいつらが風呂から上がるまでまだ時間があるんだから、先に俺たちだけでババ抜きでもしないか？女はたいてい長風呂だぞ？
鬼瓦,うるせえ！今小粋なジョーク集を読んでんだ！静かにしろい！
鮫島,ババ抜きで思い出した。先に抜いとかなきゃいけないものがあったよ……
不動,どういう風に座るかも重要だぞ……。このちゃぶ台に女子が隣り合わないように座る場合、４－１
山田,７２通りだな
不動,よっしゃ、２分の１！
山田,実生活で円順列の確率計算をする奴なんか初めて見たぞ……。お前いつも数学赤点のくせに……
はるか,おまたせー！
りつこ,うわ、なんやねんこの部屋！うちらの部屋と全然グレードがちゃうやんけ！
山田,なんせ鳳凰の間だからな
夕子,あんたつい最近、投資で大失敗したって言ってたばっかなのに……
鬼瓦,いらっしゃい呉羽さん！///
鮫島,お待ちしておりました呉羽さん！///
不動,座席のくじを引いてください呉羽さん！///
夕子,ど、どうも……
りつこ,おどれら、うちら二人のことはガン無視かい……！
はるか,ま、まあまあ……
山田,ババ抜きなんていつ以来だろうな。昔１０連敗したお前がキレて暴れたのが最後か？
夕子,う、うるさいな！昔のことなんだからもう忘れろ！///。お、やりい！はい、鬼瓦くん
鬼瓦,へへへへ……どれだろうなあ///
りつこ,はよ選ばんかい。下心が見え見えやで自分
鬼瓦,これだ！やった！……ほら木下、さっさと引け
りつこ,なんやねんこの態度の差は！
鮫島,まあまあ木下さん、皆で仲良く楽しみましょうよ///
りつこ,鮫島君はええ奴やなぁ。ほら、美少女の手札からババ引け
鮫島,そんなこと言ったらババ持ってんのバレバレですよ。これだっ！あーババか……///
りつこ,自分も言うてもーてるやん！
はるか,よーし、今度はあたしが引くぞー
鮫島,はい、西島さんどうぞ！///
はるか,これかな？あちゃー！はい、不動君！
不動,これババでしょ？///
はるか,ぎぎぎぎギクううううう！
不動,やっぱりな！ってこっちがババかよ！///
はるか,あはは！引っかかった！
不動,くそー！……。ほら……引けよ山田……。そしてこのゲームが終わったらもう一度座席くじだ……
山田,な、何で歯ぎしりして血の涙を流してんだお前……
りつこ,なあなあ、次からドベには罰ゲームありにしよや！
はるか,えー？罰ゲーム？
りつこ,そや。１人１枚ずつ紙に罰ゲームを書いて、くじにすんねん。負けた奴が引くんやで
夕子,ちょ、ちょっと待って！今のとこ、あたしババ抜き全敗じゃん！他のゲームにしよっ！
鬼瓦,……いや、ダメだ呉羽さん。ここでゲームを変えるのは明らかにまずい
鮫島,逆に考えるんだ。この運だけのゲームで呉羽さんは負け続けた……。つまりこれまで運を貯め込んできたということなんだ
不動,ここからはその運を使うんだ。きっと最下位にだけはならない
夕子,そ、そういうもんかな……？
はるか,……なんか夕子に罰ゲーム受けさせたい一心で言ってない？
りつこ,まあええやんか。それはそれでおもろいし。うっしゃ、うちはメチャンコきっついの考えたるさかい、自分らも頼むで
鬼瓦,脱衣……！
鮫島,脱衣……！
不動,脱衣だ……！
夕子,あっぶねー！あがり！
山田,くそう、また俺の負けだ。どれどれ……。なんだ、また脱衣か。もう脱ぐものなんてないぞ？
りつこ,いや、山田君の負けやからまだええけど、罰ゲームに脱衣ってなんやねん……
はるか,よくもないんだけど……。隣に全裸のクラスメートが座ってる状況ってなんなの……？///
夕子,しかも３枚も入ってたし……
鬼瓦,おおお、俺じゃないっすよ！///
鮫島,ぼぼ僕も違います！///
不動,ここで犯人捜ししちゃうとせっかくの匿名性が失われますよ！///
りつこ,いや、自分らしかおらんやん。うちのはケツ穴爆竹やし。でもまさかあんなに平然とこなしてまうとは……。ホンマ驚いたで山田君
山田,慣れてるからな。たった一個の爆竹なんか屁でもない。ケツ穴だけにな
はるか,でもギャグ１００連発はスベりまくってたね……
鬼瓦,くそ……何故あんなに弱い呉羽さんが１度も最下位にならないんだ……！
鮫島,まさか山田の奴が呉羽さんを庇ってわざと全敗したとか……？
不動,しかしそんな漢気あふれるような人間ではないはずだ……！
りつこ,うっわー！すごいでホンマ！こんな豪勢な刺身の船盛、見た事ない！///
はるか,そっちは山田様御一行って書いてあるでしょ。あたしたちはあっち
りつこ,……しょっぼ！
夕子,あんたが一番安いプランでいいって言ったんでしょーが
はるか,それにこっちも十分美味しそうじゃない。ほら見てよこの寒ブリ
りつこ,ううう……あれ見てもうたら、まったく美味そうやないわい……。どんだけ金持っとんねん男子どもぉ……
鬼瓦,泣かないでください、呉羽さん。俺の船盛食ってください///
鮫島,あなたに涙は似合わないですよ、呉羽さん///
不動,俺の船盛もどうぞ、呉羽さん///
夕子,ど、どうも……。でも泣いてるのはりつこなんだけど……
りつこ,おどりゃ、さっきから差別しすぎやで！鮫島くんも夕子の隣に座った瞬間、うちに対してつっけんどんになるし！
鮫島,知ったことか！僕らは呉羽ＦＣなんだ！
りつこ,だいたいクラスメートのおっかけクラブなんか作って恥ずかしないんか！そんなに食うてほしけりゃ食うたるわい！
鬼瓦,やめろ！この船盛は呉羽さんのために……！
山田,木下、俺のをやるから落ち着け。西島と半分ずつ食べるといい
りつこ,……へ？///
山田,元々俺が見栄を張って最高級プランにしたために、こんな状況を作ってしまったんだ。それに俺は小食だからこんなに入らん
はるか,きょ、今日の山田君どうしちゃったの……？好感度うなぎのぼりなんだけど……///
夕子,おかしい……。いつも蛆虫に見えてたあんたが、今日はやたらイケメンに見える……
鬼瓦,そ、そんな……！呉羽さんが山田をイケメンだとか言いだしたぞ……！
鮫島,この世の終わりだ……
不動,あれだけ色鮮やかだった船盛がすべて灰色に見える……。ははは……死のう……
りつこ,……あかん、これで全裸やなかったら惚れてまうとこや///
山田,惚れられても困る。なにせ俺はケモナーなもんでな……
はるか,おまけにストイック……///
夕子,いや、露出癖もったケモナーって全然ストイックじゃないから。っていうかあんたはいい加減服着ろ
りつこ,あー食った食った……
はるか,部屋でちょっと休憩してからもっかいお風呂行こっか
夕子,いいね！パンフによると夜もまた露天風呂の照明が綺麗なんだってさ///
鬼瓦,！
鮫島,！
不動,！
山田,それは良いことを聞いた。では俺たちも少し休憩してから入るとするか。どうだお前ら？
鬼瓦,当然だ///
鮫島,行くに決まってる///
不動,俺は大の風呂好きでな///
りつこ,夕子、こいつら山田君以外は絶対あんたの裸覗くで？時間ずらそ
夕子,え、ええ……？
鬼瓦,なんてこと言うんだ！そんなことするわけないだろう！///
鮫島,覗きなんて最低な行為だ！///
不動,俺たちはそこまで堕ちちゃいない！///
山田,……いや、わざわざ同じ時間に入る必要もないな。では疑いを晴らすためにも俺たちは２時間経ってから入るとする
鬼瓦,そ、そんな！
りつこ,何がそんな！やねん。やっぱ覗く気やったろ……
山田,もしもこいつらが、お前たちの入浴に合わせて風呂に行く素振りを見せた場合、あとできちんと報告する。だから安心してゆっくり浸かるといい
鬼瓦,……
鮫島,……
不動,……
山田,どうした？やけに不機嫌だな。どの時間に入ろうが、そんなに変わらんだろう。もしかして本当に覗く気だったのか？
鬼瓦,そうじゃねえよ！すぐ隣で呉羽さんが風呂に入ってるのを想像する、これがいいんだろうが！
鮫島,ううう……せっかく巡ってきたまたとないチャンスが……
不動,山田が余計なことを言ったばっかりに……
山田,それは悪いことをしたな。だが既に約束してしまったものは仕方ないだろう
鬼瓦,ふん……いつもサイコパスのお前が今日だけ善人ぶりやがって……
山田,……うっ！
鮫島,ん？どうした山田？
不動,腹でも痛いのか？
山田,あ、ああ……どうやらそのようだ……。俺は今からトイレに入る。俺は１度トイレに入ったら長いんだ。この感じだと２時間は出てこれないだろう……
鬼瓦,な、なにっ？！２時間も出てこないだと？！
山田,ああ……。だが俺が戻ってくるまで絶対に風呂に行くんじゃないぞ。俺があいつらに怒られるからな……
鮫島,分かった。絶対に風呂にはいかない
山田,絶対だぞ……？
不動,俺たち友達だろ？信じろ！そしてお前はゆっくりウンコしてこい
鬼瓦,そうだ。風呂を汚さないためにも、時間をかけて肛門を拭いてから戻ってくるんだ。３時間かかってもいい。俺たちはいつまでもお前を待っている
山田,それを聞いて安心した……
はるか,こらあー！いくら貸し切り状態でも、風呂場で走るなあー！
りつこ,ええやんか！誰にも迷惑はかからんで！
夕子,おっらああああああああああああ！
はるか,飛び込むなあー！あんたらどんな教育受けてきてんのよ！
りつこ,こんだけ床がツルツルなら、スケートができるな！
はるか,ちょ、ちょっと！ボディーソープ床にまいて何する気？！
夕子,！
はるか,そこ！湯船でバタフライ禁止！
りつこ,ひゅー！滑る滑る！
はるか,子どもかあんたら！女子高生が素っ裸でなにやってんのよ！それに男湯には他のお客さんいるかもしれないでしょーが！
りつこ,男湯に誰かおりますかー？。……ほら誰もおらん。うちらは治外法権を手に入れたも同然や！
夕子,それに男子も賢太郎が見張ってくれてるし、気にするものなど何もない！
はるか,あーもう……！
鬼瓦,……///
鮫島,……///
不動,……///
鬼瓦,いかん、鼻血がとまらん……///
鮫島,呉羽さんがこんなアグレッシブだったとは……///
不動,木下が俺たちを牽制したのは、ただ単に遊びたかったからかもな……///
鬼瓦,俺たちは一切法に触れることなく、一生分のおかずを手に入れたのだ……///
鮫島,僕の海馬よ、今このすべての状況を鮮明に記憶するんだ……！///
不動,一時は俺たちの未来を閉ざした山田の発言が、今は逆に呉羽さんのガードを解くという大役を果たしている……///
鬼瓦,こういうのをケガの功名って言うんだろうな……。ああ、この瞬間よ、永遠なれ……///
山田,やはりここにいたか……
鬼瓦,ひっ？！
夕子,ん？なんか今悲鳴が聞こえたような……
りつこ,気のせいやろ！ほら、尻相撲in露天風呂の２回戦するで！
はるか,いい加減やめんか！///
鬼瓦,お願いだ……呉羽さんにはこのことは言わないでくれ……！
鮫島,なんでもする……だからどうか……！
不動,と、友達だろ……？
山田,安心しろ。別にお前らは覗きをしているわけじゃない。それに俺も腹痛を理由に職務を放棄してしまったのだからな……
鬼瓦,あ、ありがとう……
鮫島,この恩は一生忘れない……
不動,お前結構良い奴だな……
山田,ではお前らはのんびりと風呂を楽しむがいい。俺は今から覗きをする
鬼瓦,？！
鮫島,？！
不動,？！
鬼瓦,の、覗きってお前……！犯罪だぞ……！
鮫島,馬鹿な真似はやめろ……！お前むしろ覗きを止める側だっただろうが？
不動,それにもしバレたら俺たちまで嫌われるだろ……！
山田,ふ……俺がわざと時間をずらすと言ったのは、あいつらのガードを解くための布石。現にあいつらはあられもない姿で遊び回っている……
鬼瓦,な、なんだと……？
山田,それにこの俺を誰だと思ってる？史上最大の天才発明家だぞ……？バレずに覗くなど、造作もない……。……
鬼瓦,な、何だそれは……？
山田,完全ステルスのドローンだ。反重力システムを搭載しており、飛行の際に一切音がしない。その上ステルス迷彩を施しているため、敵に気づかれることは決してない
鮫島,す、すごい……！
山田,ドローンの撮影した映像はこのコントローラーのモニターに転送される。……よし、ステルスモードオン……発進
ドローン,
山田,……ほう///
不動,ど、どうだ山田……。見えるのか……？///
山田,たいしたもんだ。実にすばらしい……///
鬼瓦,俺たちにも見せてくれ……///
山田,ダメだ
鮫島,え……？
山田,これは俺が多額の資金と時間を費やして作った代物だ。なぜお前らにタダで見せてやらなきゃならん？
鬼瓦,け、ケチケチすんな……！別に見たって減るもんじゃねえだろ……？///
山田,お前らは何か勘違いしているな。俺はこれをビジネス目的で作っている。この露天風呂という戦場で、お前は武器商人にタダで武器をくれと言うのか？
鮫島,わ、分かった分かった……！じゃあレンタルで頼む。いくらで貸してくれるんだ……？
山田,３０秒で１０万円だ
不動,は？！
夕子,？やっぱり声がしたような……
りつこ,気にしすぎやって！ほら、石鹸ホッケーの続きしよや！
はるか,もうあたしは知らんぞ……
鬼瓦,ぼ、ぼったくりだ……！そもそもそんな金……
山田,このタブレットにサインをするだけでいい。金は後日きっちり頂く。先に言っておくが、サインした以上は契約成立とみなし、どんな場合でも契約の破棄は認めない
鮫島,さ、流石にドローン１機が３０秒で１０万は高すぎるだろ……！
山田,あのドローンに兵器を搭載すれば、９９％成功する暗殺マシーンになるんだぞ？その筋の人間なら何億出すだろうな……？
不動,……。山田、お前は分かってねーな……。こっちは３人いるんだぜ……？力づくで奪えば済む話だろうが……！
山田,分かってないのはお前だ、馬鹿。俺はお前らが手を出した瞬間に、お前らが覗き行為を働いたと告発する
鬼瓦,覗きやってんのはてめえだろーが……！
山田,そうだな。だがあいつらはどちらの証言を信じると思う？明らかに夕子が負けると分かっているババ抜きの罰ゲームに脱衣を選んだお前らと、わざと全敗して全ての罰ゲームを引き受けたこの俺のどちらをな
鮫島,ま、まさか木下さんに船盛をあげたのも、信頼度を上げるために……？！
山田,まったくお前らは想像力が足らんな。最高級のプランにしてあの状況を作り出したのは俺だと言っただろう。すでに１泊予約した段階で、こうなることは予想がついていた
不動,つ、つまり何か……？この旅行の目的は罪滅ぼしや俺たちとのパイプ作りではなく……
山田,そうだ。夕子の裸をどうしても見たいお前らから大金を巻き上げることが目的だ
鬼瓦,何でだよ……！ヤバい業界に発明品売って、金は余分にあるんだろ……！
山田,夕子が言っていただろう。俺が最近投資で大失敗したってな。実は大金を手に入れた後、顧客がヘマをしてな。警察に目をつけられてしまい、しばらくその筋には発明品を売れなくなってしまった
鮫島,なんだか壮大な話になってきたぞ……
山田,大きな収入源を断たれた俺は、今後の研究資金確保のため、有り金全てを株式に投資したのだ。しかし、やっぱり株は難しいな。結果は惨敗だった……
不動,だ、だから呉羽さんの温泉旅行に合わせて俺たちをこの旅行に誘ったと言うのか……？俺たちから金を巻き上げ、研究資金に充てるために……！
山田,段々分かってきたな。その通りだ。ちなみに俺はすでに嘘の証言でお前らから金をゆすることも出来るが、流石にそういったことはしない。あくまでもレンタルするかどうかはお前らが決めろ
鬼瓦,……なら、レンタルはしない。俺たちは想像だけで楽しむ。全てがお前の思い通りになると思ったら大間違いだぞ……！
山田,そうか。それならそれで別にいい。ただし、こんなチャンスは今後決して訪れんだろうな……。ほう……そんなとこはこんな風になっているのか……///
鬼瓦,……///
山田,見かけによらず、意外と毛深いんだなコイツ……///
鮫島,……///
山田,匂い転送モードオン……///
不動,そ、そんなモードまで？！///
山田,どうした？想像で楽しむんじゃなかったのか？
鬼瓦,……色はどんな感じだ？///
山田,さあな、想像してみろ
鮫島,せ、せめてヒントだけでも……///
山田,そうだな……お前らの想像を超えているとしか……
不動,……///
山田,盗み見をした瞬間、呉羽からのお前らに対する評価は地に落ちると思え……
不動,！
山田,ふふふ……絶景かな絶景かな……///
鬼瓦,……。……３０秒、１０万円だったな？
鮫島,お、おい……！まさか払う気じゃ……！
鬼瓦,……割り勘でどうだ？あのモニターなら、３人で仲良く見ることができる。３万３３３３円で３０秒間も呉羽さんの裸体を拝めるなら安いもんだ。割り切れない１円分は俺が出そう……
不動,お、鬼瓦……！
山田,別にそれでも構わんが、サインは全員に書いてもらうぞ？
鮫島,……。分かった。僕はそれでいい
不動,お、俺もだ……！
山田,話はまとまったようだな。サインをしてもらう前に、もう２点確認しておこう。レンタルはコントローラーを受け取った瞬間にスタートする。それからもしドローンを破損するようなことがあれば、１００万円を支払ってもらう。このことに異論はないな？
鬼瓦,ああ……！ほら、俺のサインだ……
鮫島,ぼ、僕も書いたぞ！
不動,これで文句ないだろ……！さっさとコントローラーを貸せ！
山田,よし、では受け取れ
鬼瓦,やった……！や、やっと……！やっと呉羽さんの裸が……！///
鮫島,ホントだ……すごく毛深い……！まるで狸のような……！///
不動,……。いや、これほんとに狸じゃないのか……？
山田,そうだ、狸だ
鬼瓦,は？
鮫島,な、なんで露天風呂にいるドローンが狸なんか……
山田,誰もドローンが現在露天風呂上空を飛行しているとは言ってないだろう？さっきまで俺は狸の交尾を見ていたからな。ＧＰＳによると、ここから北西に２キロ離れた山中を飛行しているようだな
不動,ふ、ふざけんな！こんなんで１０万とる気だと？！このペテン師！
鬼瓦,だいたいなんで狸の交尾なんか見てんだ！頭おかしいのか？！
山田,なんせ俺は生粋のケモナーだからな。それよりいいのか？そのドローンは秒速５０メートルで飛行できるぞ？つまり４０秒あればここまで戻って来れる
鮫島,い、今何秒たったんだ？！
山田,ちょうど３０秒だな。今返せば延長料金は取らないでいてやろう。どうする？延長するか？
鬼瓦,するに決まってんだろ！裸を見なきゃ、今契約した分が無駄になる！
鮫島,い、急ぐんだ！戻ってくるまでに延長２回分は必須！戻って来ても見られるのはたったの２０秒間だ！
不動,頼む！間に合ってくれ！
鬼瓦,うおおおおおおおおおおお！
山田,だがその速度で操縦するのは滅茶苦茶に難しいから気をつけるんだぞ
鬼瓦,あ
ドローン,！
夕子,何？爆発……？
りつこ,山の方から聞こえたで？
はるか,なんか向こうで燃えてるような……
山田,延長一回に罰金を加算して、計１２０万円だな。良かったな。仲良く３人で割り切れるぞ
鬼瓦,
鮫島,
不動,ひ、1人あたり４０万円だと……？
夕子,次は何して遊ぶ？
はるか,温泉は遊び場じゃない！
りつこ,サウナで我慢大会なんてどや？
夕子,いいね！
はるか,ま、まあそれくらいならいいけどさ……
山田,……。さてドローンも壊れたことだし、俺もサウナに入って夕方に仕掛けた隠しカメラの映像でも見るとするか……
鬼瓦,！
鮫島,！
不動,！
山田,ん？どうした？お前らもサウナに入るのか？
鬼瓦,お、お前夕方サウナの中でやっていた作業ってまさか……！
山田,そうだ、隠しカメラを仕掛けていた
鮫島,た、頼む！僕らにもその映像を見せてくれ！
不動,４０万円も払うのに何も見れませんでしたじゃ、あんまりだろ……！
山田,……そこまで言うならいいだろう。１人につき１００万円で見せてやる
鬼瓦,ひゃ、１００万だと？！
鮫島,さっきの超高性能ドローンは仕方ないとして、隠しカメラに１００万円はおかしいだろ！
山田,よく考えてみろ。俺は先ほど、ただ狸の交尾を眺めていただけだ。しかし今回の隠しカメラの設置は紛れもない犯罪行為。その証拠映像を見せてやるというのだから、１００万円は妥当だと思わんか？
不動,く、くそ……！金の亡者め……！
山田,どうだ？サインするのかしないのか？ちなみにカメラは直径１０分の１ミリのサイズでありながら８Ｋ画質で撮影可能だ。このタブレットで操作し、拡大して細部をじっくりと眺めることだってできる
鬼瓦,……。今度は本当にサウナの中を見ることができるんだな……？
山田,間違いなく見ることができる。だがせっかくの高画質も、サウナの中に人がいなくなってしまっては意味がないからな。サインするかどうかは早めに決めた方がいいぞ
鬼瓦,……。……分かった
鮫島,お、おい！正気か？！
不動,どうかしてるぜ！１００万だぞ？！
鬼瓦,確かに今は大金に見えるな……。だが世の中にはたかが腕時計に平気で何百万とつぎ込むやつだっているんだ。腕時計と呉羽さんの裸、どちらの方がより価値があるかは分かるだろう
鮫島,そ、それは一部の金持ちの話だろう……！
不動,……いや、鬼瓦の言う通りだ。働いている奴らからすれば、きっと１００万なんか大金じゃない。寧ろこの瞬間を逃せば、１億積んでも呉羽さんの裸は手に入らないんだぜ……
鮫島,……そこまで言うなら仕方ない。僕だけが見ないってわけにはいかないもんな……
山田,３人ともサインは済んだな。ではこのタブレットをやろう。気の済むまで眺めるといい
鬼瓦,おお……ついに……。このほとんど膨らみのない胸……！間違いなく呉羽さんだ……！///
鮫島,意外とガッシリした体格をしてるんだな……。このギャップもまた良い……///
不動,そ、そして……股間にはあんなものが生えて……！すごいギャップだ……///
鬼瓦,……
鮫島,……
不動,……
鬼瓦,……これ、普通に男じゃね？
鮫島,……というか僕らなんじゃないか？
不動,なんで女湯のサウナに仕掛けた隠しカメラに俺たちが……？
山田,このサウナに仕掛けた隠しカメラだからな
鬼瓦,は？
鮫島,は？
不動,は？
山田,夕方、俺が隠しカメラを仕掛けていたのは男湯だったろう。だから俺たちが映るのは当然だと言っているんだ
鬼瓦,……。だってお前、さっき確実に見ることができるって……
山田,俺達の裸は確実に見えただろ？
鮫島,ふ、ふざけるな！詐欺じゃないか！
不動,誰が自分の裸見るために１００万なんか払うかっての！俺は払わないからな！
山田,払わないなら呉羽に報告するまでだ。これからの高校生活を、覗き魔のスケベ野郎として後ろ指差されながら送るんだな
鬼瓦,……いや、俺たちは払わない。何故ならお前はすでに犯罪を犯しちまったんだからな！お前が呉羽さんに言うなら、俺たちはお前を警察に突き出す
山田,そら、証拠隠滅
カメラ,
タブレット,
鬼瓦,
鮫島,
不動,
山田,……そんなに悲しそうな顔をするな。もっと金を払えばちゃんと呉羽の裸を見せてやる。とりあえずサウナを出よう
鬼瓦,もうテメエの言葉なんか信用しねえよ！
鮫島,これから何を出されようが、僕らは絶対に契約しないからな！
山田,実はこれまでに見せたものは、全部お前たちの金銭感覚を狂わせるためのデモンストレーションでしかない。さっきのドローンなんか、１機あたりの制作に５００万かかるから、今のところは俺の赤字なんだ
不動,金銭感覚を狂わせるって……。俺たちから更にふんだくる気なんだろうが！
山田,その通り。だが今から見せてやるものは、わざわざ温泉でなくても他人の裸を見放題の優れものだ。おまけに満足できない場合、１週間以内なら返品を受け付けよう
鬼瓦,……なんだと？
山田,ついてこい。今回の目玉発明品を見せてやる。これを見ろ
