※ショートショート集です。主要キャラは第六駆逐隊,特に電ちゃん
雷,むしろ阿武隈さんだから、響の破天荒な行動に慣れてても、律儀に驚いてくれたんじゃないかしら……
阿武隈,ふぇ？どういうこと？
響,まあ、説明するよ。司令官と阿武隈さんは椅子にでも座って、落ち着いてくれ
提督,……？わかった
阿武隈,こう？
響,うん、それでいい
阿武隈,……えっと、響ちゃん？
響,はらしょー
阿武隈,あの～、どうしてあたしの膝の上に座るの？
響,さて、説明しようか
電,阿武隈さんの膝に座った意味はなんなのです！？
暁,この子ただ単に阿武隈さんにじゃれてるだけじゃ……
響,つまりかくかくしがじが
雷,まるまるうまうま
暁,なのです
電,なのです！
阿武隈,……うん、そっか……うん？
響,このまま、この部屋に来た人達の反応を見たいだけさ。あのクールで知的な響ちゃんがまさかこんなことをするなんて……！という反応をしてくれれば、検証は成功だ
暁,絶対ないから
雷,ありえないから
響,姉と妹に信頼されてない……こんなに悲しいことはない
電,ひ、響ちゃん落ち込まないで欲しいのです！
阿武隈,そうだよ響ちゃん。元気出して、ねっ？
響,電と阿武隈さんは優しいな……спасибоありがとう
提督,まあ、あんまり邪魔にならなければいいぞ。どうせ今は忙しくないしな
響,了解した
阿武隈,……あれ？響ちゃんここに載ったまま？
響,ダメかな？
阿武隈,ううん、別にいいよ。響ちゃん、その衣装かわいいなぁ
響,ちょっとサイズが大きすぎるかな
暁,もう、響ったら……
天龍,おーす。ん？響、また妙な真似してんなあ……あんまり阿武隈や暁に迷惑かけんなよ？
蒼龍,おはようございます。あれ？響ちゃん、また面白そうなことしてるね。ふふっ、今度はなにしてるの？
朝霜,ちっーす！ん？響、またけったいな真似してんなぁ。ま、あたいはどうでもいいけど
五十鈴,おはよう……ふう。阿武隈、あんまり響を甘やかしちゃだめよ？響も変なことばかりしないようにね
ビスマルク,おはよう……ふふっ、相変わらず仲良いわね。少し貴方達が羨ましいわ
潮,あ、響ちゃん……ふふ、いつも響ちゃんは面白いことしてますね。阿武隈さんの周りは、いつも賑やかです
島風,おはようございまーす！あー！響ちゃんずっるーい！島風も混ぜてー！
文月,おはよ～。文月も混ぜて混ぜて～
子日,子日もー！
山雲,そんなこともあるわよねー。響ちゃんはいつものことだから、不思議でもなんでもないわよねー
白露,今の響がいっちばーん！ヘンテコに決まってるじゃない！
時雨,ヘンテコは失礼だよ姉さん。可愛らしいじゃないか。それにいつものことだし、特別変じゃないさ
響,おかしい……こんな世界は間違っている
暁,間違いなく正常だと思うわ
文月,えへへ～
子日,ふわー、癒されるな～
島風,ねーねー、阿武隈さん。島風、今日もかけっこしたーい！
阿武隈,ふえええええぇ！？みんなしてあたしの膝に載らないでーっ！？重いーっ！
響,ごめん阿武隈さん……何も考えずに眠りたい気分なんだ
阿武隈,ちょ、響ちゃん！？せめて膝から降りてーっ！？
時雨,響ちゃんとか？うん、積みたいかな
響,そうかい？それは嬉しいな……Добройночиおやすみ
阿武隈,時雨ちゃんなにやってるの！？
電,はわわ……阿武隈さんに迷惑かけちゃダメなのですー！
雷,頼られるのも大変ね。でも、雷ももっと阿武隈さんみたいに頼られるよう、頑張らなくちゃ！
提督,頼られているのか、あれは？。電、今日も一日よろしく頼むぞ
電,任せてください、なのです！
提督,さて、今日は他の鎮守府の演習が――
蒼龍,お疲れ様です、提督、電ちゃん
電,蒼龍さん、お疲れ様なのです
蒼龍,うんうん、今日も電ちゃんは頑張ってるね。凄いなあ
電,えっと……そんな大したことはないのです
蒼龍,そんな謙遜けんそん
電,ありがとう、なのです
蒼龍,ありがとうな、蒼龍。最近の調子はどうだ？。ふふっ、おかげさまでバッチリですよ。そう言えば――。電ちゃーん、どうしたの？疲れた顔して
電,意見書読んでたのです
蒼龍,……お疲れ様
電,いつものことなのです
蒼龍,そうね、いつものことだよねえ。あはは
鬼怒,来た来たっ！鬼怒、もといかくれんぼの鬼！到着しましたよ！
蒼龍,うわ！？
鬼怒,まずそこ、菊月ちゃん！
菊月,ち……ミッションは失敗か
鬼怒,次、長月ちゃん！
長月,なんだと……？私を凌駕するものが、まさか出てくるとは……私も焼きが回ったか
鬼怒,まだまだぁ！磯波ちゃんはそこ！
磯波,あ……見つかってしまいましたか
鬼怒,最後に谷風ちゃんはそこだね！
谷風,うえ……見つかっちゃたよ
鬼怒,提督、お邪魔してごめんね！それじゃ！
菊月,さらばだ……また会うこともあるだろう
長月,今度会う時は、更に成長した私を見せてやろう
磯波,わ、私ももっと頑張りますね
谷風,谷風もお邪魔したね！じゃあね提督！
提督,あんまりはしゃぎ過ぎて迷惑かけないようになー
電,……さて、仕事再開するのです
蒼龍,そうだね
電,こういう事態に慣れている自分が怖いのです
蒼龍,気にしない、気にしない
弥生,……行っちゃった
電,弥生ちゃんは見つからなかったのですね
弥生,……いいはずなのに、ちょっと寂しい
加賀,……
蒼龍,うわぁ加賀さんっ！？
加賀,やりました
提督,さて、装備の開発をしよう
電,結構あったはずなのに、いつの間にか色々と少なくなってしまったのです
提督,改修工廠の闇は深い
電,貴重な装備があっという間に消えていくのです……
提督,まずは三式ソナーと爆雷を開発しようか。電、任せてもいいか？
電,頑張るのです
提督,で、15.2cm連装砲は……阿武隈、お願いできるか？
阿武隈,分かりましたっ、任せて任せて
提督,零式艦戦５２型爆戦
蒼龍,提督……これ、使うの？
提督,必要になってから開発するのも骨が折れるだろう
蒼龍,んー、まあそれなら。彗星とかもいきなり必要になったりするしね
提督,で……九一式徹甲弾が本当に不足しているな
榛名,ええ、提督。榛名に任せてください
提督,お願いするよ。じゃあ――
ビスマルク,その開発待った！
神通,私達も入れてください！
榛名,ビスマルクさんに、神通さん！？
ビスマルク,徹甲弾の開発、このビスマルクにも手伝わせてもらうわ！良いでしょう？
榛名,ビスマルクさん、どうしたのですか？
ビスマルク,もちろん、榛名。貴方と勝負するためよ！
榛名,……分かりました。榛名、負けません！
提督,まあ、二人のやる気が出るなら別にいいよ
蒼龍,あれ……開発ってやる気影響しましたっけ？
神通,えっと……私も一緒に開発したいのですが、いいですか？
阿武隈,うん、もちろん！えへへ、一緒にやりましょう
電,もちろんなのです。司令官、いいですか？
提督,もちろんだ。神通、頼んだぞ
神通,はい、頑張りますね
蒼龍,さーて、頑張りましょ！
電,問題……ないですか？
神通,だ、大丈夫……？
阿武隈,あたし的には、とってもＯＫです！
ビスマルク,Danke.
榛名,榛名、感激です！
ビスマルク,……くっ、榛名さすがね
榛名,まだ五回ほど回したくらいですよ。ビスマルクさん、貴方の力はもっとすごいはずです！
ビスマルク,言ってくれるわね……いいわ、このビスマルクの力、見せてあげる！
蒼龍,燃えてますねー。さてさて、私もっと。……なんだろう、この運を無駄に使った感じは
阿武隈,ま、まあ凄いじゃないですか。貴重な装備ですよ
神通,そ、そうです……また烈風を必要とする機種転換任務があるかもしれません
蒼龍,あはは、あんまり考えたくないなあ
ビスマルク,ふっ、どう榛名！こっちも46cm三連装砲を開発できたわよ！
榛名,さすがですビスマルクさん！でも、榛名ももう一本できました！
ビスマルク,二連続！？榛名、やはり貴方は凄いわね……けど、だからこそ貴方を越えることに意味がある！
榛名,ビスマルクさん、なんて凄い気迫……榛名、負けません！
電,お二人が凄い盛り上がっているのです
阿武隈,仲良いですね。ふふっ、楽しそう
神通,少し、羨ましいです
蒼龍,そうね。さて、私達ももう少し続けましょうか
電,なのです。はわわ……ペンギンさんになってしまったのです
蒼龍,気にしない気にしない、こんなの良くあることだし……って私も言ってる傍から
阿武隈,7.7mm機銃……ま、まあこんなこともありますよね
神通,ドラム缶……輸送任務には使えますが
阿武隈,ドラム缶なら腐るほどあります
電,いざとなったら廃棄して鋼材にもなるのです
提督,整理しとかないと、すぐにスペースが一杯になるからな
阿武隈,後で整理しておきますね
電,阿武隈さん、一緒にやるのです
阿武隈,ありがとうね、電ちゃん
蒼龍,ふう。せめて一機は爆戦を作らないと
提督,あまり気を張らなくてもいいぞ。出なければ後でも構わない
電,……ペンギンさんも、できれば助けたいのです
神通,……電さん、それもらってもいいですか？
電,神通さん、いいのですか？
神通,はい。できれば欲しいです
電,貰ってくれるなら、ありがたいのです。電の部屋は結構ペンギンさんで一杯なのです
神通,ありがとうございます……かわいいです
阿武隈,ふふ、神通もペンギンさん好きなんだね
神通,あ、阿武隈。あまりからかわないでください
阿武隈,あはは、ごめんごめん
神通,もう……ふふっ
ビスマルク,どう、提督！？
榛名,ビスマルクさんと榛名で、46cm三連装砲を五本、41cm連装砲を三本作りましたよ！
ビスマルク,この回数でこの成果、さすがよね！もっと褒めてもいいのよ！
榛名,46cm三連装砲は、ちょっと改修に使うのも大変ですが、41cm連装砲は38cm連装砲改の改修にも使えます！凄いです！
阿武隈,二人とも、凄い……
蒼龍,……で、徹甲弾は？
ビスマルク,……え？
榛名,あ
神通,……もしかして
ビスマルク,……０ね
榛名,０です……
阿武隈,ま、まあ開発は完全に運ですし、こんなこともありますって！ええ！
提督,そうだ、こんな時もある。気にする必要はないさ
ビスマルク,これ以上は資材が……
榛名,申し訳ないです……
ビスマルク,かくなる上は……私達が遠征で資材を稼いでくるしか
榛名,そうですね！
提督,おいこら待て戦艦二人
大和,46cm三連装砲の改修……大和も今よりもっと活躍できそう
電,そう言えば改修資材も少ないのです
提督,しばらくは小さな改修しかできないな
大和,がーん！？
阿武隈,あ、あの……大和さん、あまり気を落とさないでくださいね
大和,うう……仕方ありませんね
時雨,どうしたんだい、姉さん。いっちばーんになるのが姉さんの望み、そのはずでしょ？
白露,そんな……
時雨,それとも、姉さんのいっちばーんに対する想いはその程度だったの？
白露,そんなことない！だけど……だからって、これは間違ってるよ時雨！
時雨,なにも間違っていないよ。いっちばーんになるっていることは、他のみんながいっちばーんになれないってことさ
白露,そんな……そんなのってないよ！
時雨,現実は、大抵厳しい。姉さんはいっちばーんになるために、他の皆を乗り越えていかないといけない。当然、この僕も乗り越えて行かないといっちばーんになれないんだよ。いっちばーんになるっていうのは、そういうことなんだ
白露,そんなこと……時雨を倒すなんて、あたしにはできないよ！
時雨,それが姉さんの答えかい……？失望したよ。そんな甘さじゃ、姉さんはいっちばーんにはなれない。ならばいっそ、ここで引導を渡すのが姉さんのためかもしれないね
白露,時雨……あなた、泣いているの？
時雨,泣いてなんてない……これは雨さ
白露,……ごめんね、時雨。あたしが弱いばっかりに、時雨に辛い役目を背負わせようとしていた
時雨,……じゃあ、僕を越えて行くのかい？
白露,あたしは、時雨を倒さない。時雨に、手を汚させない……。もちろん、いっちばーん！も諦めない
時雨,……姉さん？何言っているの？
白露,いっちばーん！が一人しかなれないなんて、だれが決めたの？。一人だけじゃなくて、いろんな人がいっちばーん！になれば、それでいいじゃない。そんなことがあったっていい。ううん、そうして見せるよ！
時雨,それが姉さんの望みかい？。甘いね……甘すぎるよ姉さん。けど、嫌いじゃない。だけども。その言葉が薄っぺらいものじゃないかどうか。今ここで試させてもらうよ。姉さんのいっちばーん！ためにもね
白露,時雨……！いいわ、やってやろうじゃないの！
春雨,姉さん達、おやつの時間ですよ
由良,ほらほら、いっちばーん劇場はそこまでにして、手を洗って早く来なさい。ドーナッツ作ってあげたから
時雨,はーい
白露,わーい！
阿武隈,早く来ないと夕立ちゃんが食べ始めちゃうかもしれないから、急いでね
時雨,あはは、それは容易に想像できるね
白露,うえ！？こうしちゃいられない、早く早くー！
提督,慌ててぶつかったり、こけたりするなよー
白露,分かってるってー！
阿武隈,うう～、皆さんが指示に従ってくれません……
神通,どうすればもっと駆逐の子達との距離を縮められるのでしょうか……？
阿武隈,神通は凄いよね……きちんと統率できて
神通,阿武隈こそ、駆逐の子達と仲良しで羨ましいです
阿武隈,……隣の芝生は青いって奴かな
神通,……そうかもしれませんね。でも、おかげでこうして阿武隈といろいろ相談できて良かったかもしれません
阿武隈,あはは、そう言ってもらえると嬉しいな。でも、前にも言ったけど、神通がちゃんと統率できているってことは、ちゃんと信頼してくれているからだよ。皆、神通を頼って神通についていけば大丈夫って思ってくれてる。だから、あんなにうまく統率できているんだと、あたしは思うよ
神通,阿武隈こそ普段はともかく、いざという時はきちんと統率できてるじゃない。普段は阿武隈に甘えてるだけだと、私も思います
阿武隈,綾波ちゃんや電ちゃんにもそう言われたっけ。そうだと良いんだけど
神通,阿武隈は普段ちょっと優し過ぎじゃないかな？ほら、例えば響さんとか島風さんとか。電さんも阿武隈に結構べったりじゃない
島風,もー、そんなにべったりなんかしてないってばー
神通,……島風さんが阿武隈の背中におぶさってるー！？
阿武隈,ふええええぇ！？島風ちゃんいつの間に！？
島風,気づかなかった？当然よね、だって速いもん！
神通,そういう問題じゃない気がします……
天龍,なにやってんだおまえら……？
阿武隈,あ、天龍さん。こんにちは
島風,天龍さんこんにちはー！
天龍,よ、阿武隈に神通！苦労してるみたいだな。ま、水雷戦隊や主力護衛艦隊の指揮も悪くはないけど、大変だよなあ
阿武隈,なかなか、以前の天龍さんのようには行かないですよ
天龍,はっ。そういう指揮とか統率とか、面倒な細かいことはお前らに任せて、オレは前線でバリバリ戦うのが性に合ってるぜ
神通,あまり無理はしないでくださいね……私が言うのも差し出がましいかもしれませんが
天龍,そいつは聞けないな。戦場に出ると血が騒ぐからなぁ。硝煙の匂いがすると、もう戦闘本能が抑えられなくなっちまうぜ……
島風,天龍さん。連携もせずにあんまり突出とっしゅつ
天龍,お？言うじゃねえか島風？阿武隈にさんざん言われたからなー？。フフ。べったりじゃないとか言いながら、思いっきり甘えてるじゃねえか
島風,こ、これは連装砲ちゃんのための練習なの！今度私が連装砲ちゃんをおんぶしてあげるんだから！
天龍,はっ、そーいうことにしといてやるよ
島風,むー
天龍,阿武隈もまだまだ訓練が足りないぜ？島風にこうされるまで気づかなかっただろ？
響,そいつはどうかな
阿武隈,今度は響ちゃんが天龍さんの背中におぶさってるーっ！？
天龍,なにいいいいいいいぃー！？
島風,阿武隈もまだまだ訓練が足りないぜ？
響,島風にこうされるまで気づかなかっただろ？
天龍,うがあああああああぁっ！？てめえらーっ！？
神通,て、天龍さん落ち着いてください
天龍,ぜーはー、お、オレとしたことがこんなことに取り乱しちまったな……悪い
響,阿武隈さんほどじゃないけど、いい乗り心地だ。悪くない
天龍,どうでもいいはずなのに、なんか負けた気分だ！？
阿武隈,勝ったはずなのに、なんか釈然としません……
島風,そう、どんな感じ？
天龍,どんな感じもないだろ、背中におぶさってるだけで――
響,そうだね。阿武隈さんが春の爽やかさと生命の息吹、暖かさを感じるものだとして。天龍さんは、夏山の生命力に満ち溢れた木々と雄大さを感じるものかな
天龍,何言ってんだおまえ！？はっきり言って理解不能だぞ！？
島風,ふーん
天龍,納得するのか！？おまえも大概だな！？
阿武隈,まあまあ落ち着いてください
天龍,良いのか阿武隈！？背中を春に例えられたんだぞ！？
神通,いいなあ……阿武隈も天龍さんも
天龍,羨ましいのか神通！？本気で！？
陽炎,あ、神通さん。おはようございます！
神通,陽炎さん、おはようございます。今日も元気が良いですね
陽炎,そうですか？ありがとうございます
神通,ところで陽炎さん……あの
陽炎,……どうしたんですか？
神通,その……ちょっと言いにくいことなのですが
陽炎,……？良いですよ、普段お世話になっているんですから、なんでも言ってください
神通,そうですか？。じゃあ……背中におぶさってくれませんか？
陽炎,……ぱーどぅん？
神通,陽炎さんが私の背中をどのように例えてくれるのか……とても気になります
陽炎,一体何を求められているの私！？
響,今日も元気だごはんがうまい
暁,ほら、ダメじゃないの電。もっと食べないと立派なレディーになれないわよ
電,そ、そうかな？これでも結構食べていると思うんだけど
響,私は電よりも、暁がピーマンを食べれないことの方が気になるね
雷,ダメじゃない、暁。好き嫌いなんてレディーとして相応しくないわよ
暁,う……わ、分かったわよ食べるわよ！はむ……うー、苦いよお……
電,はい。お水なのです
暁,ありがと……ごきゅごきゅ……ど、どう？暁にかかればピーマンなんて大したことないんだから！
雷,ピーマン一つで水に頼っている様子じゃ、説得力ないわね
暁,むー……
響,いいさ、苦手は誰にでもある。問題はそれを克服する強さだ。苦手なピーマンに果敢に挑む暁は、立派なレディさ
電,なのです！電も……素敵な大人の女性になるのです！。そのために牛乳は欠かせないのです
響,立派な女性か……電は誰か理想ともいうべき人はいるのかい？
電,ふえ？
響,立派な女性を目指すのなら、目標を明確に持った方が張り合いがあるのかなと思ってね
電,うーん……憧れの人……電はやっぱり阿武隈さんなのです。優しくて気配り上手なのです、電達のことをいつも親切に指導してくれたり、気遣ってくれるのです
響,うん、確かに阿武隈さんは素敵だな。優しいだけじゃなくていざという時とても頼りになる
雷,普段は結構あたふたしているのにね。たしかにいざという時はあの人がいると頼もしいわ
響,それにあのふわふわの髪もいい。思う存分、満足するまでなで回したくなる
暁,迷惑だからやめなさい。私は熊野さんも素敵だと思うわ。あの人こそ、立派なレディーだもの
雷,たしかに雰囲気も優雅で素敵よね！
暁,雷はどうなの？
雷,そうね、長門さんや天龍さん、赤城さんも素晴らしいわよね。雷もあんな頼りがいがあって、しっかりとした大人になりたいもの
暁,そういう響は誰に憧れ――
響,フレンチクルーラーと輪っかが再現できない……電、どうにかできないかな？
電,はわわ、急に言われても困るのです
響,暁、なんだい？
暁,あ、訊かなくてもいいわ、うん
筑摩,そうですね。私の憧れはやっぱり利根姉さんですね
利根,ふ、筑摩よ。吾輩をそう褒めるでないぞ
電,あ、筑摩さん、利根さん。こんにちはなのです
響,いきなり私の横に……？筑摩さん、やるね
暁,アンタはどこに関心してるのよ。後神出鬼没さなら響も大概だと思うわ
響,ふ、暁よ。吾輩をそう褒めるでないぞ
雷,利根さんの真似しなくていいから
響,こんな私でもやればできる！ね、暁ちゃん。本当にありがとう！
暁,はいはい
電,たしかに利根さんはかっこいいのです
暁,そうよね！高い索敵能力は艦隊の目って感じで、すごく頼もしいわ
利根,す、少し照れるのう
雷,けど、普段はちょっと筑摩さんに甘えてるところなんか、かわいいわよね
利根,なんじゃと！？
暁,そういえば、前に秋刀魚の骨が刺さって、筑摩さんに助けてもらってたことがあったわね
利根,うぐ……わ、吾輩の威厳が……雷達がいじめるのじゃ、ちく――
響,ちく……なんだい？
利根,……ちくわ大明神
響,誰だ今の
筑摩,ふふ、大丈夫ですよ姉さん。姉さんはどんな姉さんだって私の憧れなんですから
利根,だ、ダメなのじゃ！吾輩はちゃんとした形で、筑摩の憧れのお姉さんでありたいのじゃ！
暁,じゃあ、暁を見習ってよね！こう見えて響達のお姉さんなんだから！
利根,む？確かに暁は立派なお姉さんをしているのう。偉いぞ！
暁,え？と、当然よ！
利根,だが、さすがに吾輩が暁を見習うのはのう。ほら、年上としての威厳があるじゃろ？。もう少し、吾輩より大人の女性というか……見習うのならそういう人物にせんとな
響,……利根さんより大人の、お姉さんらしい女性か。適任がいるよ
利根,ほう？
響,優しくて料理上手だよ。末っ子だけど私達、一水戦駆逐のお姉さんだよ
阿武隈,ふえ？響ちゃん、どうしたの？
響,背中に負ぶさるととっても居心地がいいよ。私のお気に入りの場所なんだ
阿武隈,場所扱いしないで！？
響,訓練を頑張るとたまに手作りお菓子をくれるよ。とってもおいしい
電,その情報は必要なのです？
筑摩,あらあら
利根,……響よ。先ほどの吾輩の発言を聞いてなかったのか？吾輩より年上の女性をだな
響,どうしてだい？阿武隈さんの方がお姉さんだよ？利根さんは1937年生まれで阿武隈さんは1923――
阿武隈,響ちゃんストップ！
利根,それ以上はやめるのじゃ！
響,どうしてだい？
利根,どうしてもじゃ
響,……そうか、そこまで言うなら仕方ないね
暁,ナチュラルに爆弾発言するのやめなさい
響,どうせ私はフリーダム響だよ
雷,まだ根に持ってたの？もう、いい加減機嫌直しなさいよ
利根,うむ……まあたしかに響達の信頼も高いようじゃし、阿武隈もお姉さんらしいと言えばそうかもしれんが。さっき響自身が言ったように、かっこいいところもあるが、それ以上に優しい駆逐のお姉さんというイメージの方が強くてのう。悪いが、ちと吾輩の理想とは違うかの。吾輩の理想はもっとハードボイルドなのじゃ
響,そうか、残念だ
利根,時間を取らせてすまなかったな、阿武隈よ
筑摩,それでは、失礼致しますね
電,阿武隈さん、また後でなのです
響,……
阿武隈,あ、はい……響ちゃん、あたしの背中狙うのやめて
響,信頼の名は伊達じゃない。出るよ
暁,出なくていいわよ！
響,ちょ、暁やめ、痛いっ
阿武隈,あーもうほら、ケンカしないの
利根,なにやっとるんじゃおぬしら
響,というわけで、次だ
神通,あの……私になにか、御用でしょうか
利根,……響よ
響,神通さんも阿武隈さんと同じ年――
利根,だからそのネタはやめるのじゃ！
電,けど、神通さんも優しくて凛々しくてかっこいいのです
雷,たしかにそうよね。陽炎とか朝潮とか、神通さんをとっても尊敬してるもの
筑摩,ふふっ。阿武隈さんも神通さんも、駆逐の子達に頼りにされているのですね。素晴らしいです
利根,ほう？なるほどのう
神通,……そんなに見つめられると、私混乱しちゃいます
電,あ、ごめんなさいなのです
神通,い、いえ。こちらこそすみません
響,これでも戦闘では頼もしい切り込み隊長だよ
神通,ひ、響ちゃん……あんまり言わないで。あの、これは一体なにをしているのでしょうか？
暁,利根さんが一人前のレディーを目指すために、目標となる人を捜しているのよ！
神通,一人前のレディーですか？
響,ようするに師匠捜しだよ
雷,あ、バカっ
神通,師匠ですか！この神通に任せてください！
響,あ
利根,なんじゃいきなり！？
神通,利根さんの師匠として精一杯がんばりますね！そしてゆくゆくは駆逐の子達みんなに師匠って……私、嬉しいです！
利根,お、落ち着け神通よ！まだお主を参考にすると決めたわけでは――
神通,そ、そうですよね……ごめんなさい
利根,わ、分かってくれればいいのじゃ
神通,まずは私が、師匠に相応しいかどうか見せなければいけませんね！
利根,分かってくれてなかったのじゃ！？
筑摩,利根姉さん！一旦引きましょう！
利根,了解なのじゃ！
神通,あ、待ってください！せめて私に利根さんの師匠に相応しいかどうか披露する機会を！十分、いえ五分でいいんです！
暁,あれは絶対に五分じゃすまないわ！一時間コースよ！
雷,捕まったら神通さんが健気に師匠アピールし続けるわよ！もう、響のバカー！
響,うん、今回は本当にごめん
電,て、撤退なのですーっ！
利根,な、なんとか逃げ切れたのじゃ
暁,あの迅速で隙のない動き……さすが華の二水戦旗艦ね
雷,もう響ってば、さっきからダメダメじゃない！
響,……ならば仕方ない。本気を出すとするよ
利根,最初っから出してほしいのじゃ
妙高,あの……私になにか御用でしょうか？
響,妙高さんだよ。この人なら文句なしじゃないかな
暁,……響にしてはまともな人選ね
響,暁は私をなんだと思っているんだい？というか、阿武隈さんと神通さんはまともだと思うけど
雷,そのまともな相手の交渉を、九割方響がひっかきまわしてご破算にしたんじゃないの
響,自分のミスは自分で挽回する
雷,ぶっ飛ばすわよ
利根,だが、たしかに妙高は毅然きぜん
妙高,え？そ、そのありがとうございます……？
筑摩,突然すみません、妙高さん
電,実は――
利根,というわけなのじゃ
妙高,そんな……私のようなものでいいのでしょうか？
利根,うむ！妙高さえ良ければの
妙高,ちなみに、利根さんが抱く立派な大人の女性のイメージとは、どんな人なのですか？
利根,む？そうじゃのう……たしかにそこを固めんといかんな。むう……よし、まずは気配りのできる、優しさと強さを持っていることじゃな
筑摩,まさに利根姉さんですね
利根,そう褒めるな、筑摩よ。こほん。それから、仕事ができる女性。これも必要な条件じゃ
筑摩,まさに利根姉さんですね
利根,だが、仕事だけではダメじゃ。私生活もしっかりしており、かつ充実していることも重要じゃな
筑摩,まさに利根姉さんですね
利根,そして、吾輩達は艦娘であることを忘れてはならぬ。戦闘でもしっかり活躍できるようにしなければな
筑摩,まさに利根姉さんですね
利根,航空巡洋艦として、艦隊の目となり、未然に危機を防ぐ。いやもちろん航空巡洋艦であらればならぬとは言わぬが、それでも優れた索敵能力は必要じゃな
