周りの大人からは、,君はとても頭が良い、天才だ
上条,………………。…………お前は気付いてないかもしれないけどさ。お前は、不幸のどん底に居た俺を救ってくれた恩人なんだ。お前の笑顔に一体どれだけ救われたか……。そのお前が俺の友達を能力で支配しているところを見て、どうしても納得がいかなかったし、失望した。でもそれは、俺の勝手な独りよがりだったんだ。それまで食蜂操祈って人間の本質を見てなかった。だから8年間ずっと探してたんだ。もう一度、お前と話すために
食蜂,私……あなたに褒めてほしくて……ただ、それだけで……。とうまさんを喜ばせようって……それで……研究所で教わった通りに……あなたの友達を……。ごめん…なさい……とうまさん…………
上条,よし、許す！。俺ともっと話をしよう。上辺だけじゃない、本当のお前を知りたいんだ。あの時、お前をもっとちゃんと分かっていりゃこんなことにはならなかった。だから、もうすれ違わないように、きちんと話そう。今まで出来なかった分も含めて、な
食蜂,私も……。私も、とうまさんと…………ずっと、話したかった……！！
上条,あの……腕、痛いんですけど……
食蜂,……
上条,お前、力強くなったのな……ま、当たり前だよな。あの頃とは全然違うに決まってるもんなぁ。昔はあんなに小さかったのに、今ではこんなに大きくなっちまって……
食蜂,……小さい方が、とうまさんは好き？
上条,ん？いや、俺は身長とかあんまり気にしないけど
食蜂,え？なぁんだ！身長の話だったのぉ？
上条,何だと思ってたんだ……？。うーん……それにしても、今頃ビリビリのヤツすっげえ怒ってんだろうなぁ……。後始末も全部アイツ任せだし、悪いことしたな……
食蜂,とうまさん、さっきから言ってたけど、ビリビリってだぁれ？
上条,んーと、みさきは多分知ってると思うけど。御坂美琴って名前だ
食蜂,はぁ？御坂美琴ですってぇ？
上条,何だよ、そんな怖い顔して……
食蜂,私のせいでとうまさんが御坂さんに弱みを握られてしまうなんて……。でも……この状況は、あの人のおかげでもあるのよねぇ……むぅ……。御坂さん一人じゃ大変だろうしぃ……私も手伝ってあげようかしらねぇ
上条,おお！ありがとなみさき。俺にもできることあれば言ってくれよ
食蜂,いいのよぉとうまさんは
上条,そういうわけにはいかないんだよ
食蜂,おせっかいなのは相変わらずなのねぇ……安心したわぁ
上条,さて、そろそろ着くぞ
食蜂,…………ねぇ、とうまさん
上条,ん？何だよ
食蜂,私達は……私は、またあの頃みたいに笑えるかしら……。私は……もうあの頃のような純粋無垢な子供じゃないわぁ。色々と世の中の汚いところも知っているし、汚いこともやってきた。それでも、また、あの頃のように笑えるかしらぁ……
上条,歳を取りゃそんなの当たり前だろ。笑えるはずだ。あの頃よりも、もっと
食蜂,……そうよねぇ。とうまさんが笑わせてくれるものねぇ
上条,はは、お手柔らかに……。お、着いたな
食蜂,さて、後始末しなきゃねぇ。私の改竄力の見せ所かしらぁ。あっ……とうまさんの前で、まずかったかしらぁ……
上条,あんまりやりすぎんなよ？
食蜂,！。…………怒らないのぉ？
上条,怒らねえよ。お前が頑張って身に付けた立派な能力を、俺なんかが批判していいわけねえんだ。あの頃はそれすら考えられなかったけどさ
食蜂,とうまさん……！！わ、私、張り切って後始末してくるわぁ！！
上条,あまり相手に害が無いようにしてくれよ？
食蜂,うんっ！。もう終わったわよぉとうまさん
上条,お疲れ様。ごめんな、迷惑かけて
食蜂,いいのよぉ、これくらい。大した手間じゃないしぃ
上条,そういえばビリビリは？
食蜂,知らないわよぉ？
上条,あれ？おっかしいなー……探さないと
食蜂,…………
上条,さて、今日はもうこんな時間だし、ビリビリも探さなきゃだし、また今度改めて話をしような。お前と話したいことがまだまだたくさんあるんだ
食蜂,ええ。私もいっぱいあるのよぉ。ずっとずっと話したかったことが、いっぱいあるんだから
上条,…………みさき
食蜂,なあにとうまさん
上条,今更だけどさ。俺と出会ってくれてありがとう。俺は……お前と出会えたことが、何よりの幸せだよ。8年ぶりに会えた今だからこそ、伝えたかったんだ。本当にありがとう
食蜂,…………なによぉ……それぇ…。と、とうまさんのばかぁ……！！私を……私を嬉し泣きさせて、どうしようって言うのよぉ……！！
上条,えっ、いや、そんなつもりじゃ……
食蜂,うえええん……わあああん……
