参考:ミカ,未来が知りたいなら自分の目で確かめればいいんじゃないかな？
沙織,だったらわたしを養ってよ
優花里,武部殿、冷泉殿と結婚する流れになってますよ？
麻子,気づかれたか
沙織,もう、麻子ったら！
優花里,でも、冷泉殿は出会いとかはないんですか？
アリサ,一流企業ならよりどりみどりでしょ？
麻子,いや、そうでもない。皆エリート意識ばかり高くてわたしの求める条件に合わない
沙織,条件？
麻子,家事ができて、おばあとわたしを大切にしてくれて、かつ、家に帰ったらちゃんといてくれるやつがいい
アリサ,それって主夫がいいってこと？
麻子,そうだな。だから沙織ならぴったりだ
沙織,わたしは旦那様が欲しいの！
優花里,まぁでも確かに一流企業だといなさそうですよね、そう言う男の人
アリサ,逆にその辺の男だとヒモになりそうな感じよね
沙織,理想が高すぎて結婚できない、みたいな？
アリサ,理想が高いのか低いのかもよくわからないわね
麻子,わたしは早くに両親を亡くしているだろう？だから、できれば暖かい家庭を築きたい
沙織,そっか、そうだよね
麻子,一番は働きながらわたしの世話をしてくれる男だが、まぁ、今の仕事も嫌いじゃないから主夫でいいな
アリサ,アンタもいろいろあるのね
麻子,まぁ、しかし、時間がない。と言うのも事実だな
優花里,どうしてです？
麻子,おばあももういい歳だからな。いつまで元気か
沙織,おばあ歳の割にまだ元気って言うか、10年前から変わってなくない？
アリサ,何それ怖い
麻子,そうは言っても病院に通うことも多くなったし最近も入院したからな
沙織,えっ！？うそっ！
麻子,ギックリ腰だそうだ
優花里,あぁ、それは大変そうですが....
沙織,よかったぁ、病気かと思った
麻子,わたしも職場で知らせを聞いた時はそう思った
アリサ,ま、元気そうで何よりじゃない
麻子,元気すぎても困るぞ。とにかく、そう言うわけだからわたしも少し結婚を焦っている
沙織,一応言っとくけど、わたしは結婚を焦ってるわけじゃないからね
アリサ,そう言って行き遅れるのよねぇ
沙織,あさりんも一緒じゃん！早く一緒に彼氏作ろうよ！
アリサ,ハイハイ、今度合コンのセッティングするから
麻子,そうか、頑張ってくれ
沙織,え？麻子こないの？
アリサ,あんた込みで3対3のつもりだったんだけど
麻子,言っただろ、わたしは結婚を焦っている。だから今度お見合いをすることにした
沙織アリ,えぇっ！！？
沙織,周りはどんどん結婚しちゃうし麻子もお見合いかぁ
アリサ,本当、気づけばって感じよねぇ。ウチのチームの男はオッドボールに取られちゃうし
沙織,そう！そういえば、この前のゆかりんとみぽりんの試合凄かった！
アリサ,でしょう？なんてったてジャイアントキリングだもの。これでもう弱小チームだなんて言わせないわ！
優花里,いやぁ、あの試合はチームの存続がかかってましたからね
麻子,あの頃を思い出すな
優花里,メンバーも大洗出身の選手が多いですからね。澤殿やエルヴィン殿、あと選手ではありませんがカメさんチーム
沙織,監督だっけ？角谷先輩
優花里,えぇ、プロチーム発足の際にまだ大学生にもかかわらずプロチームを発足。卒業後はチーム運営会社の社長として小山殿河島殿と切り盛りしていたのですが
アリサ,プロチームなのによくぞここまでってくらい練度の低いのが集まってたわよね
優花里,有力選手は他のチームに軒並み取られてしまいましたからね。でなければわたしが隊長なんて人事あり得ませんよ
沙織,その話もビックリだけど
麻子,西住さんのチームに勝てなければチーム解散と聞いた時はもっと驚いたな
優花里,あまりにも結果を出せませんでしたからね。スポンサーが降りることになってしまって
アリサ,でもあの時は社長を見直したわ。干し芋食べてる姿しか見たことなかったから
優花里,本気を出せば優秀なんですけどね。まぁ、普段の角谷殿の方がウチらしくていいと思いますけどね
アリサ,それは大洗の、しかも選手時代を知ってる人間だけよ。でもまぁ、よく戦車道連盟説き伏せた上に新スポンサーまで見つけてきたわ
麻子,ウチの会社だな
沙織,へぇ、そんなことになってたんだ。勝てなきゃチーム解散くらいしか聞いてなかったから
麻子,おかげでプロリーグの試合に助っ人でいきなり参戦するはめになって大変だった
優花里,このまま残ってくださいよ
麻子,断る。流石に仕事をしながらプロリーグは無理だ。会社には好きにしていいと言われているがな
沙織,それならあたしも.....って、流石にプロチームに参戦は無理か
麻子,いや、沙織が、あとは五十鈴さんもだな、二人が来てくれればもっと楽だった
アリサ,何よ？わたしが通信手じゃ不満だったわけ？
麻子,優秀な車長が一人増えてただろう
優花里,いやぁ、あの時はアリサ殿を監視下に置いておきたかったので
アリサ,どう言う意味よ！
優花里,だって、我々が止めなければ打ち上げてたでしょ、アレ
麻子,一度同じ手を使って負けてるのにな
アリサ,うるさいわね！他に方法が浮かばなかったのよ！！
麻子,そうそう、試合前の秋山さん、かっこよかったぞ
アリサ,その時の映像がこちら
優花里,ちょ、ちょっと！どうしてそんなものが！
アリサ,最後だと思ってたから記念にビデオ回してたのよ
沙織,わぁ！見せて見せて！
アリサ,はい。再生するわよ。と、この名演説の後試合開始。こっからはテレビで見てたんでしょう？訓令戦術を主軸に市街地戦で各部隊奮闘。最後は一騎打ちにもつれ込んで、ほぼ相討ちの判定勝利よ
優花里,訓令戦術も狙ったわけじゃなくて、結果的にそうなっただけなんですけどね
麻子,あの秋山さんの演説がそうさせたんだろう。西住さんは試合の後、昔の大洗と戦ってる気分だったと言っていたな
沙織,あ、みぽりんに会ったんだ。って、当たり前か
麻子,今度あんこうのみんなで飲みに行こうというはなしになったな
沙織,うーん、でもみぽりんも華もスケジュール合うかなぁ？
優花里,プロリーグは一応オフシーズンがありますが.....西住殿は取材や撮影で忙しいですからね。でも、休みは取れると思いますよ！
沙織,あとは華かぁ。華どうしてるのかなぁ
新三郎,お嬢、お疲れ様でした。次の予定ですが
華,えぇ、次は汐留でしたね
新三郎,はい。個展の方も盛況なようで、奥様もお喜びになられてましたよ
華,そうですか、それはよかったです
新三郎,あ、こちらですが、戦車道の西様と西住様より祝電と差し入れが
華,まぁ、絹代さんとみほさんから？
新三郎,はい、お嬢。五十鈴流皆伝のお祝いにと。......っと、いけねぇ、癖で。若奥様
華,お嬢、でも構いませんよ。お母様はうるさくおっしゃるでしょうけど
新三郎,そういうわけにもいきません。若いのに示しもつきませんし
華,みほさんからは、お菓子、ですね？
新三郎,はい。熊本の.....デコポン？って変わった名前のマカロンですね
華,移動中一緒にいただきましょう。新三郎、荷物をお願い
新三郎,へい！。っと、お嬢、じゃねえや、若奥様も立派になられて。感激です
華,新三郎は昔からそればかり。ところで、一番近いお休みはいつだったかしら？
新三郎,あー、ここ一月は埋まってますね。......お疲れですか？
華,いえ、私はまだまだ元気です。ただ、沙織さん達からお食事のお誘いが
新三郎,それは.....すいませんお嬢。俺が上手くスケジュールを組めないばかりに
華,いいえ。新三郎はよくやってくれています。ですが、そうですか。まだしばらくは無理そうですね
新三郎,お盆を過ぎれば数日は取れますが.....ですが、よろしいかったんですか
華,残念ですが、お仕事です。やるからには全力で
新三郎,いや、それもなんですがね。今日この後のスケジュール。食べ歩き、グルメレポ、その後さらに食事関係の仕事が続きますぜ
華,あら、足りるかしら？
新三郎,そういえば、おじょ、若奥様。また縁談をお断りになったと聞きましたが.....
華,えぇ。私はまだそういうお話は
新三郎,そうですか。しかし奥様も心配されていますよ。そろそろ身を固めた方が......
華,新三郎はどうなのかしら？
新三郎,俺ですか？俺は.....そうですね。奥様と同じ意見です。家族ってのはいいもんですよ？
華,.....
新三郎,今度二人目が生まれるんですがね、いやぁ、女の子だそうで、お嬢みたいに育って欲しいんですが。女房も俺には勿体無いくらいですからね。いい子に育ちますよ
華,......
新三郎,お嬢？
華,若奥様です
新三郎,し、失礼しました。......なんか怒ってません？
華,怒ってません
新三郎,そ、そうですか
華,......はぁ。......今度縁談があれば前向きに考えます
新三郎,本当ですか！そりゃめでたい。奥様も喜びますよ！
華,.....っ！
新三郎,お、お嬢？
華,若奥様です！新三郎なんて知りません！
新三郎,す、すいません！
エリカ,洗濯物に洗い物......よし。あとはお昼前にお嬢様を連れてお寺に向かえば間に合うわね。未来は自分の手で掴みなさいか。それにしても早いわね、奥様が去年の大会で優勝して西住流を継いでもう一年.....。きょ、今日の予定.....お昼からお寺でドイツから帰ってくる奥様、大奥様、大旦那様とお食事で......
むほ,えりかーっ！こっちきてーっ！。せみーっ！
蝉,ミーンミンミンミンミ"ー
エリカ,きゃぁああああああああ
むほ,あ、えりかころんだ。.......。せんりゃくてきてったい！
エリカ,イタタ.....あ、お嬢様お外は今日はダメです！。........あ、今日あの日だ。お嬢様ー？。あ、あーっ！！！
通行人,
エリカ,そうか、そう言う意味だったのね....って、今更気付くなんて。それじゃあ、わたしが西住家の家政婦になった意味って、去年の大会で出場を必死に止めた意味って.....。はぁ.....人の話は最後まで聞きなさいだったかしら？よく言えたわね、未来のわたし。.....まぁ、今からわたしが言うんだけど。確かこの公園よね？。......いた。お嬢様ぁ！
むほ,あ、えりか
逸見,え？
エリカ,お嬢様、やはりこちらでしたか......
むほ,おねえちゃん！ふけてるほうのえりか！。いたい......
エリカ,人にセミを投げてはいけません！
逸見,......あの
エリカ,......お嬢様、少しあちらで遊んでいてください
むほ,えりか？
エリカ,どうしました？お嬢様？
むほ,おかあさまむほーのこと覚えてるかな？。おかあさまむほーがわるいこだからきらいになってわすれてない？
エリカ,大丈夫ですよ。昨日も電話でお話ししたじゃありませんか？
むほ,うん、でもね、おあいするのはひさしぶりだから
エリカ,そうですね
むほ,だからむほーがわるいこなのおかあさまにいわないで
エリカ,良い子にしてたら言いませんよ
むほ,ほんと？
エリカ,本当です
むほ,じゃあね、今日はいい子いい子してもらうの
エリカ,......今日だけじゃありませんよ。明日も明後日もずっとです。奥様は留学を終えて帰ってくるんですから。ですから、奥様に会ったらなんて言うか分かりますか？
むほ,ここであったがひゃくえんねん？
エリカ,どこで覚えたんですか？その言葉.....いい子にするんでしょ？
むほ,うん
エリカ,いい子はなんて言うのかしら？
むほ,あのね。おかえりなさい！
まほ,ただいま
