依田芳乃,はいー、何やら悪しき気がぶおーと集まっているのでしてー
愛海,ねばっこ～～～い！！
凛,さわらないでください……近寄らないで……
P,え？何て？聞こえないわ
愛海,あっ、凛ちゃんの耳元に――
P,……火ィつけたのお前だかんな
凛,～～～～っ！！
愛海,クリーンヒットぉおおお！！！でもクッッッッッッサ！！！！！！。クッッッッサ！！！！こっちとしては鼻が曲がりそうなんだけど凛ちゃん顔真っ赤！！
凛,～～～っ
愛海,いや――違う。凛ちゃんにはこっちなんだ……！。あたしも前から凛ちゃんは押せば存外ヤレるんじゃないか、イケるんじゃないかって思ってたけど
凛,フザけないで……いい加減にしてって言ってるでしょ！
P,っと、ごめんな、もう言わないから。でもさ……俺マジなんだよ
凛,何でいきなり真剣な顔になって……
愛海,煙に巻き、虚勢を絡め取る……所詮は十五の小娘、背伸びはできても上から押さえつければ……！
芳乃,それもまたー
愛海,見事よ！！
P,………
凛,～～～。ズルいよ、それ……そんな目で見つめないでよ……
P,ね
凛,なに……何かあるなら手短にして……
愛海,凛ちゃん自身、目の前のプロデューサーにチャラ男が乗り移って見えてる……引きずり込まれてる！
P,んで、店員さんでいいんだっけ？
凛,近い……
P,嫌だった？ガム噛んでたからクサくないはずなんだけどな
凛,そうじゃなくてっ……
P,じゃあ嫌？
凛,嫌……とか、そういう問題じゃ、なくて……
愛海,………
P,やっべ、俺バカだったわ。エプロン着てんじゃんキミ
凛,……
P,見惚れすぎて気づいてなかったわ。やっぱ店員さんだ
凛,だったら、何なんですか……
P,名前教えてよ
凛,あなたには関係ないっ……
P,えーと店の名前は……渋谷生花店か。じゃあ渋谷さん？
凛,……
P,下の名前は？ね、いいじゃん、減るもんじゃないし
凛,……それは
P,教えてくんなかったらキスしちゃうよ
凛,なっ……にを言ってるの！？
P,だってサミシイからさ。こっちはこんなに求めてんのに
凛,何でそんな話に！非常識です！いきなりやってきて……もう警察呼ぶから！！
愛海,ここが正念場、凛ちゃん凌げるか！？
P,ウ、ソ
凛,え……
P,ンなことするわけないじゃん、オレら会ったばっかなのに
凛,……
P,それともしてほしかった？
凛,何で、そんな話に……
P,だってガッカリした顔してるから
凛,安心しただけです……
P,さっきからさ、そっちに何かあんの？
凛,え？
P,照れて赤くなると斜め下の方見るから
愛海,あっ……
凛,―――っ
P,もしかして癖？
凛,見てない……から
P,でも警察呼ぶはヒドいなぁ。オレそんな変人に見える？渋谷さんのタイプじゃない？
凛,タイプも何も……
P,……ん？
凛,そういうの、段階踏まないと……わからないでしょ……
P,じゃあ段階踏めばいいんだ
凛,……
P,またそっち見る
凛,……
P,何もないの、わかってんだけどな
愛海,………
凛,ある……あるよ……防犯ブザーが
P,ふうん。それは危ないな。ちゃんと阻止しないと
凛,っあ……
P,……
凛,……。……どうせ
P,……
凛,私だけじゃなくて……他のいろんな子にも声かけて、名前聞いて……。そんな人に、私は……
P,違うよ。オレ、何度も言ってるじゃん。真剣だって
凛,……
P,これでも勇気出して声かけたんだけどな
凛,……
P,聞こえない？俺の心臓の音
凛,……
P,……。渋谷さん、身体冷えてるね
凛,……
P,大変なんだ、花屋の仕事って
凛,……り……ん
P,え？
凛,だか、ら……。……しぶや……りん……
愛海,ガバガバやん。え、アカンやん、ガバガバやん。ヤバない？プロデューサーの繰り広げる世界ヤバない？。まぁあたしとしては……うひひ……
P,凛……渋谷凛か。あれ？
凛,……
P,その可愛さで、渋谷……どっかで見たことあるかな
凛,……別人、だよ
P,そうだな、きっと別人だ。俺もそう思うことにするよ
凛,……
P,じゃあ、どっか行く？
凛,え……？
P,だってもう店終わりでしょ？
凛,……でも。あなたはお客さんで、私は店員だから。あなたが帰るまで……仕事は終わらないから……
P,強情だね……凛ちゃんらしい。でも、俺は客じゃない
凛,……っ
P,客は店員にこんなことしないし。……店員も、客に向けてそんな顔しないから
凛,……ぁ
P,……ほら、エプロン取れちゃった。外行こうよ。もどかしいような、切ない顔してる。俺がその顔、晴らしてやるから
凛,……お店
P,もう終わり、だろ？。一時間くらいでいいから。まずはお試しってことでさ
凛,……
P,な？
凛,……何かあったら、すぐ帰るから
P,はは、そんな。何もないって。でもそうだな……もし何かあったら。防犯ブザーでも、探す？
凛,……ばか
愛海,しゅーーーーーりょーーーーーーー
凛,………ハッ！？
愛海,はーい終了でーすハイ終了、おわり、オ・ワ・リでぇーーす
凛,ちょ、ちょっと待って！！違うのっ、今のは違う！。私っ、ねえもう一度だけ……というか愛海がその合図出すんだ！？
芳乃,ほら貝を吹いたのはわたくしでしてー
凛,芳乃！身体は平気なんだよね……というか割と最初の方から平気だったよね！？。あぁもうっ、いろいろ言いたいことはあるけど、何よりプロデューサー！？
P,え？
凛,どういうことなの！プロデューサー変だったよ！もう別人ってくらいだったじゃん！！
P,いや、俺は……。悪い気を祓うためには……全力でやらなきゃと思って……
凛,全力すぎるよ！！。何なの！全力でもオカシイよ！
愛海,まぁまぁ。凛ちゃんまぁまぁ
P,……
凛,私……。……まだやれたから
愛海,えっ
凛,いや、だって……終わりって言われなければ、まだ全然……戦えたと思うし……
P,……
凛,なんか……悪い気に、負けちゃったみたいになってるから……
芳乃,……
愛海,いや負けてるからね
凛,！？
愛海,これ以上ないくらいのガン負けっぷりだったよ、うん
凛,そ、そんなことない！全然！
愛海,いや、もうアレってあの先はしっぽり……
凛,し、知らないっ！ていうかそもそも違うから！しっぽりとかじゃない！
愛海,だって凛ちゃん完全にプロデューサーチャラ男
凛,何言ってっ……
愛海,完全にメスの顔してたよ、彼に何か言われたら多分普通に従ってたよ。一時間くらいとか言ってたけど理由つけて延ばされて凛ちゃんも何だかんだ付き合って。楽しさに酔って気づいたらホテルにいてそのままシャッキリポン☆メイクラヴだったろうね
凛,言葉ってものを選んでよ！！
芳乃,……
愛海,！……
凛,……？
愛海,はっ。何か
芳乃,……
愛海,ふむ……ふむ……
凛,………
芳乃,……
愛海,……なるほど、わかりました
凛,え、どうしたの……？
愛海,幸せそうだったのでしてーだそうです
凛,二人は何なの！？。どういう関係で何が狙いなの！何で芳乃にそんなこと言われなくちゃ……うぅ、違うのにっ。ねえっ、プロデューサーも何か言ってやってよっ……
P,芳乃、愛海、俺が知りたいのは一つだけだ。今ので無事に悪い気は祓えたのか？。ほら、凛がちょっと……その……
凛,もう……いっそとどめ刺して……
芳乃,……
愛海,はっ
芳乃,……
愛海,もーまんたいでしてーだそうです
凛,おかしいでしょ！！。どの辺りが功を奏したの！？私にはわからないよ……！
愛海,とてもどきどき、のちにきゅんとしましたのでーだそうです
芳乃,はふー
凛,もう全部おかしいっ……始まりから終わりまで全部っ、何だったの今までやってきたこと……
P,り、凛、とりあえずお前が無事ならそれで
凛,……
P,うっ
凛,……見られた
P,え……？
凛,プロデューサーに恥ずかしいところ全部みられた……
P,あ
凛,すっごいクサい台詞いっぱい聞かされて耳元で囁かれて真剣な目で見つめられて
愛海,クサいって認識あったんだ……
凛,でも、それで……強がってた私がフニャフニャになっちゃうとこたくさん見られたっ……。もうやだ……どうして……。プロデューサーのせいだ……。プロデューサーのせいだプロデューサーのせいだプロデューサーのせいだぁ……
愛海,泣いちゃった！！
P,……凛
愛海,ほらプロデューサー、何か言ってあげないと！
P,ああ、その。でも……可愛かったぞ？
愛海,フォローになってるのそれ！？
凛,……ばか
愛海,なってた！！！！
凛,すんっ、ごめんねプロデューサー……プロデューサーは私のこと考えてくれてたんだもんね
P,いや俺のほうこそ
凛,ううん……まあ別に、悪くはなかったし……。勘違いしないでね……私は相手がプロデューサーだから……
P,凛……
芳乃,おー、なんと良きかなー。幸せと笑顔をもたらす、心の交わりに祝福をー
愛海,ブラーボ！！フゥーッ！あたしたちの幸せ運びの旅はまだまだ続くネ！
芳乃,ねーねーそなたー
P,ん？
芳乃,これで一歩近づきましてー、みなの幸福にー。ならばこそ、そなたもー
P,……？
凛,ねえ……ちょっと待ってくれない？
愛海,
凛,どうもさっきから話がおかしいんだよね。私、悪い気とやらのことも信じてないし。そもそも愛海が絡んでるのも不自然だし
愛海,……
凛,これってさ……最初から茶番だったりしない？
愛海,や、やー……
凛,聞かせてほしいんだけど。愛海が仕組んでたりしない？
愛海,まっさかぁ……あははー……
P,待ってくれ、それについては俺も考えてたんだ
凛,プロデューサー？
P,そもそも発想が逆なんじゃないか？つまり。……悪い気に取り憑かれていたのは、俺の方なんじゃないか……？
凛,………
芳乃,………
愛海,………。ごめん、全然違う……
P,！！？！？
凛,すごい本気トーンだったのに……ちょっとキュンってきたのに
愛海,えぇとっ、ただプロデューサーにすごい力が眠ってるっていうのは本当だよ！。普段はアイドルの子たちに無意識に使ってるのかもしれないけど。その力を完全に引き出すことが今回の目的だからね！
凛,………
芳乃,………
愛海,………。あ、やっべ
凛,へえ……アイドルに憑いた悪い気を祓うためじゃないんだ……？
愛海,う、うっひひひい、もちろんそれも目的でゲスよー？
凛,愛海がそうするように芳乃を仕向けたんでしょ！
愛海,うわーーん！！やめてよ悪かったよー！
凛,第一それって何が得なの！？ねえ愛海！
愛海,どうせ凛ちゃんにはわかりっこないよっ、彼女は……芳乃ちゃんはあたしの神様なんだよ！！！
凛,なんか怖い……！
芳乃,……すべては、みなの幸福のためー
凛,芳乃……？
芳乃,まずは謝らねばなりませんねー、ごめんなさい……
凛,いや……
芳乃,けれどそれも、致し方なかったことゆえー
凛,え……
芳乃,あのお方のお力を高めー、愛の喜びをふりまくことこそー。酒池肉……みなの幸福のためー
凛,ねえ誰！？芳乃をこんな風にしたの！！愛海の影響だけじゃないでしょ！
P,そういえば聞いたことがある……
凛,プロデューサー！？
P,最近、比奈と由里子が何かを芳乃に見せていると
凛,じゃあそれだよもう！！
P,なら愛海は
愛海,あたしは……あたしがアイドルになったのは、かわいい女の子と仲良くなって、ふれあうためだったんだけど。でもなんか最近さ……女の子たちがプロデューサーとイチャイチャしてるの見ると、悔しくて胸が痛んで。めっちゃ興奮するんだよね……
凛,何この事務所……
芳乃,そなたー、あまねく女人を手ごめにすることは、殿方の誉れですのねー？
P,え゛っ！？いやそれは
愛海,さすがのあたしも困惑したよっ、だから相談した！そしたら、そんな性癖のあたしを赦してくれたんだよ彼女！
凛,あぁそう……
愛海,一生ついていくって決めたんだ……だからあたしはこうして芳乃さまに協力してる。ついでにめっちゃ興奮してる……
凛,何でわざわざ言うの……？
愛海,あぁんもー！！プロデューサーにはもっといろんな女の子とイチャコラしてもらわなきゃ困るんだよー！あたしも芳乃さまもー！！
凛,な、まだやる気なの！？
愛海,ぐひひ、そんなこと言ってぇ、凛ちゃんだって幸せそうだったじゃんかー？
芳乃,……
凛,く……。否定は、しない……よ？でも……
P,俺は……やってみてもいい気がする
凛,プロデューサー！？。まさか本当にそういう願望があるの……？
P,そうじゃない。それに、俺のすることが皆の幸福になるのかもまだわからない
愛海,なるよガチでなるよ。だってさっきなんか凛ちゃんトロ目でモガぐウゥッ！？
凛,……続けて
P,ただ芳乃の問題設定だけを見れば絶妙だった。危機管理を痛烈に意識できたよ。俺も、きっと凛も
凛,それは……その
P,だますようなのは心苦しいが……少し方法を変えて、抜き打ちテストと思えば……邪道だが、こういう緊張感は必要な事でもあるし……
凛,うん……
P,あとさっきの予想が外れてヤケになってるっていうのもある……
凛,しょうもないよ！！！！
P,すまん、凛の涙は忘れない……でももう引き返せない、俺は今日、鬼になる……！
凛,恥ずかしいから開き直ってるだけじゃんそれ！
愛海,なんだかんだ理由つけてるけど自分に隠された危険な一面を目の当たりにしたショックで捨て鉢になってるんだね、可哀想なプロデューサー……
凛,そこまでわかってるなら止めようよ！
芳乃,わたくしは、そなたを赦しましょうー
P,え……？
芳乃,いえ、そもそも赦すなどとー。そなたのそれは業にあらずー、かがやく個性ですー
P,芳乃……
芳乃,ですが、そなた自身が己を認めることも必要なればー。救いの道は、自分を肯定することー。内なる声に耳をー、心のむくままにー。そうして頑張るそなたの姿を、わたくしは尊びましょうー
P,～～っ
芳乃,大好きですよー、そなたー
P,ううぅっ……芳乃っ……芳乃ぉっ……！
芳乃,……よしよしでしてー
凛,ねえ、これ愛海の時の手口でしょ！？
愛海,フッ……プロデューサーも入ったか……
凛,やめてよ怖いよ……なんで自慢げなの……？
P,芳乃ぉ、俺っ……
芳乃,はいー、ここにおりますよー
凛,……
愛海,アレ？にひひ、嫌いになった？嫌いになっちゃった？
凛,……こんなことで。……嫌いになんてなれないから……ムシャクシャするんじゃん……
P,よし……俺はやる、やるぞ……頑張って救うんだ、アイドルたちも、ついでに俺自身も……！
愛海,ヨッシャあああああ！！！ノってきたねプロデューサーそれでこそ漢だよー！！
芳乃,ともに笑顔のあふれる未来を作りませー
凛,ああ、どうしてこんなことに……。芳乃はプロデューサーと愛海を。愛海は芳乃とプロデューサーを。そして……プロデューサーは芳乃と愛海を。それぞれがそれぞれを利用し合う謎の状況の中……
向井拓海,おーっす
凛,次なる犠牲者が。どうしよう……拓海さんまで、ダーク芳乃とNTR愛海とタラシプロデューサーの餌食に。悪い気の方が逃げていくレベルだよもう
拓海,お、何だよ、珍しい組み合わせじゃねえか。何かおっぱじめんのか
P,ん？ああ
愛海,うひひ、大したことじゃないよー、うひひひひ
拓海,お、おぉ、そうかよ……
凛,本当は、というか絶対止めた方がいいし止めるべきなんだけど。ただプロデューサーがさっき――。とはいえ……
拓海,危機意識のテストだァ！？
P,ああ。アイドルは華やかだが、危険と隣り合わせだ。どこから魔の手が寄ってくるかわからない
愛海,……スキャンダル、ハラスメント、蹴落とし合い、癒着……
P,心構えが必要だ。そのための簡単な試験だよ
凛,やっぱり詐欺集団を見てる感が否めない……！
拓海,……ヘッ、ンなことでアタシはビビんねえぞ？
P,やってくれるか
拓海,おう、上等だッ、受けて立つぜ！ヌルい危機だったらハネ返してやるからな！！
凛,なのにどうして……私はここで釘づけになってるの……！？
拓海,他の奴はどうか知らねえが、アタシはそれなりに修羅場もくぐってきてんだぜ。それによ……売られたケンカは買わねェわけにいかねェもんな？
P,はは……喧嘩ってほどじゃ
愛海,うひひ、でもタイマンバトルみたいなものかもね～、うひひひひ
凛,何かあったら止める……危なくなったら……。それまでは物陰に……私も大概シュミ悪いけど……
拓海,んで、具体的に何すんだよ
P,ああ、まずは拓海の悪い気を芳乃に読み取ってもらう
凛,雲行きが！
拓海,あ？悪い気？
P,あっ
凛,あっじゃないよ！
P,う、占いみたいなものだ！芳乃にシチュエーションを決めてもらうんだ！ただの儀式というか
拓海,おお……ずいぶん本格的なんだな……？
凛,もう少し穏当に運ぶつもりだったんじゃ
拓海,悪い気……占いって、当たるのか？
P,いやもう全く！！
凛,日和っちゃった！
拓海,お、オイ、アタシ平気なのかよ……逆にすげえ怪しいぞ……
愛海,なんかナチュラルに煽ってるよプロデューサー……！
芳乃,むー……むー…ぶおおぉー
凛,芳乃……この子も意外と悪戯っ子っていうか遊び好きっていうか
芳乃,げっつー、あんどー、たーん……。あんどー、りばーすー……
凛,ここの昔の芸人さんパートどうにかならないの！
P,そういえば聞いたことがある……
凛,プロデューサー！？ひとりでに！
P,最近、鈴帆と笑美がDVDを芳乃に見せていると
凛,じゃあそれだよ！
拓海,………
凛,でも、拓海さんなら平気かな、修羅場くぐってるって言ってたし。そうか、私、私の仇を……弔い合戦をしてほしいんだ……死んでないけど
拓海,……っ
凛,？
拓海,……やべぇ……やべえよ……
凛,効いてる！！！！
拓海,なんだよこれ、マジじゃねえか……占いって……意外と当たるしよ……
凛,拓海さん純心すぎる……ダンディ○野さんなんだよこれ……
愛海,プロデューサーの前振りと雰囲気が合わさってイイ感じにー！
拓海,ビ、ビビってねェからな！？
P,拓海っ、落ち着……うわっ！！
芳乃,ぶおおおぉーーー
拓海,ひゃっ！
凛,もうひゃっって言ってる！
拓海,やっ、なッ、どうなってんだよオイ！何が起こっ、だいじょっ、大丈夫なのかよぉ……！？
P,平気だ、あとは芳乃が！
芳乃,ヒモー……
P・愛海・凛,！！？
拓海,へ……？
芳乃,寄生されー……活動に……影響をー
P,……
芳乃,共倒れー……
愛海,……
芳乃,……まる
凛,……この部分って芳乃の発想なの？
拓海,な、なんだよ……今の……。まさか悪い気って……アタシがこうなるってことかよ！？
P,待て！確かに今拓海がヒモに寄生されたのちアイドル活動にも影響が出て共倒れするように聞こえたが！
愛海,ガン煽りィイーー！
拓海,ねェよ！！ねえからな！ンなことあるわけっ
P,いやっ、あくまでそうなったことを想定してってだけで……クソぉ、俺の話術！！！
拓海,どうすれば……これからどうすんだよ！？
P,俺と拓海でシミュレーションだ！そして意識を高める！！
愛海,ついでにプロデューサーの力もね！！
拓海,二人でって……うぅ、やるしかねえのか……
P,大丈夫だ！拓海ならどうってことないから！
凛,多分これも前振りなんだろうな……
拓海,ったく、マジでなんなんだよ……毎度毎度ヘンなことにアタシを巻き込みやがってよぉ……。アイツがあそこまでマジだってことは、何か意味があるんだろうけどな
凛,ごめんね拓海さん……そんなにないと思う
愛海,うっひひょ、今度はどんなのが見れるんだろぉ……！
拓海,フゥ、まあ受けたからには、ガチで気合入れねえとな。危機だろうが何だろうが、ジャマすんならツブすだけだ。つっても……。アタシ……何すりゃいいんだ？。シュミレーション？つーかヒモってなんだよ……ナメられてんのかアタシ？。芳乃には悪ィが、なんか冷静に考えるとアホらしくなってきたぞ……。なぁオイ、これって
愛海,………
芳乃,………
拓海,なんで黙ったままなんだよ！！すげえコッチ見て……怖ェよ！！。ハッ――いや怖くねぇ怖くねぇ、さっきは微妙にハズいとこ見せちまったような気もするし。スパッと決めてサッサと終わらせる！。ん？そういやPの奴はどこ行って……
P,ヒモ
拓海,……は？
P,今日も仕事お疲れ様～。いやー、やっぱ拓海がいないと寂しいよ～～、寂しくて死んじゃうよ俺～
拓海,お、おう、ただい、ま……？
愛海,さっきのチャラ男と比べると緩やかな滑り出しだね、でも
凛,なんだろうこの不穏さは……
P,俺さ、あらためて拓海の大切さを思い知ったよ、今日ずっと考えててさ。拓海あっての俺なんだなーって。拓海のあったかさがいつも俺を癒してくれて、俺は俺でいられるんだ。拓海がいなきゃホントダメだ俺。こんな弱い俺でも拓海のあったかい世界の中にいられてることに感謝しなきゃな……。どうしたの拓海？何かあった？
拓海,いやアンタがどうしたんだよ！！
凛,この意味不明のアドリブ力は変わらず……！
拓海,さッ、さっきからクセぇことばっか言いやがって！何なんだよイキナリ！何だその変わり身！？
P,拓海？アイドルの仕事で何かあったの？
拓海,なんもねぇ！ちょっ、なんかキモチワリィぞ、こっち来んな！
P,お帰りのハグは？
拓海,しねぇよ！！
P,……拓海は相変わらず素直じゃないな
拓海,っ
P,俺の前では意地張らなくていいって言ってるでしょ？
拓海,な……
P,大変だよな、仕事も家のことも。俺も拓海の荷物になんてなりたくない。だから、俺の前でだけは素直でいてよ。ありのままの……可愛い拓海でいてほしい
拓海,な、ななッ
P,辛いことあったら俺にぶつけてよ。俺は羽ばたいていく拓海の巣でいたい。拓海の周りが全部敵でも、俺だけは味方でいる。俺だけは拓海のことわかってあげたいから。それが役割だよ、俺の
拓海,～～～っっ
愛海,おっっっほ！！！
拓海,かゆい、かゆいぞ……何だこれ、でも……。なんでアタシ、こんなに安心して……
凛,もうランプが赤い！。でも私もこんな感じだったのかな……先を見るのが怖くなってきた……
愛海,攻めてきたね、でもまだ本領じゃない
拓海,――ってマズいマズい何してんだアタシ、これはタイマン勝負だろ！。こんな奴に押されっぱなしでたまるか……つーか仕事？それじゃあ。なぁP、アタシはアイドルで……アンタは？
P,……
拓海,アンタ……仕事は……？
P,……
拓海,……
P,……
拓海,……
P,……腰痛い
凛,うわぁ……
拓海,へ？腰イタいのか？
P,あ、拓海、お昼ご飯ありがとな。拓海の作るカレー最高だよ、また食べたい、ていうかずっと食べたい
拓海,お、おう……ずっとってお前、へへ……じゃなくてだなァ！！
P,どうしたの、落ち着きなって
拓海,アンタ仕事ねぇのか！？それで女のアタシがアイドルやってて、アンタずっと家にいて……ハァア！？
凛,拓海さん、それがヒモ！！
P,腰に響くから大声出さないで
拓海,フザけんな！もしかしてアンタっ、いやアタシたち毎日こんな感じなのかよ！
P,そうだけど？
拓海,ちったぁ恥ずかしがれよ！？
