二宮飛鳥,やぁ、おはよう文香さん
フレデリカ,え～でもカナデちゃんシューコちゃんは休憩室でお茶してたし、シキちゃんはミカちゃんをﾊｽﾊｽしてるよ？
美嘉,え？っひゃあああああああっっ！？////////
一ノ瀬志希,ｸﾝｶｸﾝｶ…
美嘉,ちょっ、志希ちゃん！？急に脅かさないでよ！！
志希,急にじゃないよ？レッスン室からずっと嗅いでたよ？
美嘉,へっ？…珍しく一番に飛び出してったと思ったらそういうこと！？
志希,イグザクトリィ♪ドアの裏でタイミング窺ってたんだー
飛鳥,ボクの言葉を取らないでくれないか、志希
志希,ふふーん聞っこえないにゃ〜♪
飛鳥,反応があるだけマシとさえ思えるようになってきた自分が恐ろしいよ…
志希,でもでも美嘉ちゃん、残りのフタリはちゃあーんと気づいてたよ？これって同罪になりませんこと？
美嘉,あの子たちはほんとにもう…！
志希,奏ちゃん苦笑してたけど、周子ちゃんは口パクで八ツ橋食べる？って。二人の分ももらってきたんだー、ほい
フレデリカ,めるし〜♪
美嘉,周子ちゃん、いつもあの量の和菓子をどこから…
志希,飛鳥ちゃんたちも食べるかーい
文香,ん、ボクらの分もかありがたいね
志希,はい、文香ちゃんの分！
文香,ありがとう、ございます…
志希,飛鳥ちゃんのぶ・ん・は〜…っと
飛鳥,？何故袋を開け…
志希,ふぇい、ふぁもーんっ！
飛鳥,はっ？
文香,あれは…生八ツ橋ゲーム…！
フレデリカ,知っているのか文香ちゃん！
文香,ポッキーゲーム･･･両端を二人のプレイヤーが咥え、合図とともに食べ進める･･･その過程で口を離した方が負け、という一種のチキンレースをポッキーゲーム等と呼んでアベックが人前でイチャつくための口実にした事が起源とされています
美嘉,スゴい熱がこもってるけどイヤな思い出でもあったの･･･？
文香,学校の同級生に、連れて行かれた集まりで少し･･･。ｺﾎﾝ一般に知られるポッキーゲームは、その硬度故かフレキシブルなプレイングは望めない･･･その点がいつも有識者の憂慮だったのです･･･
美嘉,ぷ、プレイって･･･
文香,しかしながら、生八ツ橋の参入で業界のパワーバランスは一変しました
美嘉,業界･･･業界！？ポッキーゲーム業界ってこと！？
文香,歯で支えるとたちまち千切れてしまう儚さ、餡のみならず全てを包み込むような柔らかさ、そのふたつの拳の間に生じる真空状態の圧倒的破壊空間はまさに歯車的砂嵐の小宇宙･･･
美嘉,今までもそうだったけど途中から輪をかけて意味不明
文香,という背景を今しがた思いついたのですが、如何だったでしょうか･･･？
美嘉,真面目にツッコんでたアタシが馬鹿みたいじゃんっ！？
フレデリカ,そんなことより二人とも、向こうはクライマックスみたいだよ～♪
志希,ふぉあふぉあ～？
飛鳥,ちょ、やめ･･･うわッ！？
フレデリカ,おぉっと！後方確認を怠ったニノミヤ選手、ソファに躓き一気に勝負が傾いた！
美嘉,急に実況始めちゃうし･･･
フレデリカ,この試合、趨勢はほぼ決したように見えますが解説のサギサワさんいかがでしょう！？
文香,はい･･･一ノ瀬選手がこのままトライを決める事が出来れば1本、ゲームセットです
美嘉,なんかイロイロ混ざってるような
文香,二宮選手は何とかこのターンを凌いで次に繋げたいところですね･･･
美嘉,ターン制なのに1本勝ちってルール緩すぎない！？
志希,ふぇんふほほふぁめふぉひはよ(年貢の納め時だよ)！
飛鳥,この状況でボクが悪役とは一体どういう了見---。･･･膝に何か
志希,やべ
飛鳥,ングッ
フレデリカ,生八ツ橋が二宮選手の口に吸い込まれたーっ！ジャッジサギサワ、判定は～？
美嘉,文香ちゃんの負担大きくない？
文香,トライ前に口から離れた為･･･明後日、再試合を行います
美嘉,これ日跨ぐの！？
志希,あ～･･･大丈夫かな･･･？
飛鳥,っん、はぁ･･･志希、今のは
志希,･･･あ、良かった～無事だった～♪
文香,香水の･･･小瓶、ですか？
志希,そーそー今朝出来たばっかりの新作。ちょ～っとだけヤバいモノとかも含まれてるから焦った焦った☆
飛鳥,･･･お前というヤツは、何度バイオテロを引き起こせば気が済むんだ
志希,志希ちゃん両手の指より多くは数えられないからにゃー
美嘉,3,4回くらいじゃなかったっけ？
志希,あれー？そうだったっけ？。･･･全部が全部アタシってワケでもないんだけどね
飛鳥,何か言ったかい？
志希,んーん、なんでもー。第一、もうプロダクション内では実験してないんだからとやかく言われたくないでーす
飛鳥,晶葉に頼んで作らせた地下研究所がありながら、わざわざ社内に持ちこんでおいて酷い言い草だね
志希,カバンから出すの忘れてました！
飛鳥,生憎と中学生レベルの弁明に貸す耳は持ち合わせていないんだ。大体、キミはいつも手ぶらで出社するだろうに
志希,ヤだなーいくら奔放でセクスィ～♪な志希ちゃんでも服ぐらい着ますわよ？
飛鳥,そっちじゃない･･･
文香,あの･･･美嘉さん
美嘉,ん、何？
文香,そっちの意味の手ぶらとは･･･一体、どういった意味なのでしょうか･･･？
美嘉,えぇっここでアタシに訊くの！？
フレデリカ,テキトーにぶらデリカ～♪･･･の略じゃないかな？
文香,なるほど･･･
美嘉,(フレちゃんナイスフォロ～！)
フレデリカ,(ザッハトルテ9皿でいいよ)
文香,謙虚なアイドルは格が違いました･･･
美嘉,文香ちゃん耳良いね！？
フレデリカ,それほどでもない
美嘉,会話の流れどうなってんの？
志希,ん～～～～～～～～･･･よっし！
飛鳥,なんだい急に立ち上がって
志希,この部屋の良～い匂い沢山嗅いで活動的になった志希ちゃんです！
フレデリカ,お、ぴちぴちシキちゃんだ～♪
志希,ぴちぴち！ぴちぴち！
美嘉,･･･行っちゃった
飛鳥,全く、嵐のようなヤツだよ
文香,向こうは男性アイドルですが
飛鳥,業界の大先輩になんて事を･･･それにしても
文香,難しい顔をされて･･･どうかしましたか？飛鳥さん
飛鳥,文香さんとの今後の付き合い方について、少しね･･･
文香,･･･まずはお友達から、という事で如何でしょうか？
飛鳥,全く動じないなキミは。･･･少し気になることがある美嘉さん？
美嘉,ん、なぁに？
飛鳥,ユニットを組んでから、志希に何か変化は無かったかな
美嘉,ユニットってLiPPSのこと？うーん、皆の奇行についてくので精一杯だからなー･･･
飛鳥,そうか、なら
フレデリカ,アタシには訊いてくれないの！？フレちゃんショックで世界恐慌だよ～･･･およよよ
飛鳥,気持ちの浮き沈みひとつに世界経済を巻き込まないでくれないか･･･フレデリカは何かあるかい？
フレデリカ,んー･･･分かんない♪
飛鳥,そんな事だろうと思ったよ。なら、ファッションに絞ればどうかな二人とも一家言あるだろう？
美嘉,ファッションかぁ･･･あ、7月頃からパンツルック増えたかも
飛鳥,ほう
美嘉,それだけならまぁ夏だし分かるんだけど･･･暑い日にショーパンで黒いパンスト履いてたり、似合ってるから深く考えなかっただけで今思うと不思議だったなー
フレデリカ,･･･流行を先取りデリカしてたんじゃないかな？これからドンドン寒くなるし！
美嘉,先取りデリカーって、服はシーズンで着るモノじゃん？
フレデリカ,んーそうかなーフレちゃんはオールシーズンこのニット着てる気もするよ？
飛鳥,オーケー、ありがとう二人ともあとフレデリカはその辺にしておけ
フレデリカ,はーい♪
美嘉,ん、なんか分かんないけど･･･どういたしまして★。ファッションといえば、さっき持ってったエクステ･･･アレ何だったの？
フレデリカ,聞いて嘶け見て駆けろ！フレちゃん探偵七つ道具がひとつ、アスカちゃんエクステだよ♪
美嘉,なんでリアクションが馬限定なのかは置いといて･･･飛鳥、アンタも苦労してんだね
飛鳥,あぁ･･･ボクらは似ているのかも知れないな、美嘉さん･･･
美嘉,えぇ･･･？
飛鳥,･･･そこまで露骨に心外って顔をされるとさしものボクも傷つくよ？
美嘉,じょ、冗談だって★
飛鳥,はぁ･･･それより、ボクと同じ型のエクステなんてどうしたんだい？通販なんてしていなかったハズだが
フレデリカ,ありすちゃんに調べてもらっちゃったタブレットで、ササッと！
飛鳥,へぇ、ありすが
フレデリカ,そう！ついでに一緒にお買い物にも行ったんだよ～原宿デート♪
文香,この、泥棒猫･･･っ！
美嘉,その襖どっから出したの？
フレデリカ,フミカちゃん演技派だもんね～大丈夫、取ったりしないよー？
文香,･･･そう、ですねすいません、取り乱してしまいました
フレデリカ,んーん、アタシもちょっと意地悪に聞こえちゃったかも。･･･あ、そうだ！今度3人でお出かけしようよ～！それでチャラデリカって事でどうどう？？
文香,それは･･･とても、魅力的な提案ですね･･･！
フレデリカ,よーし決まり！フレちゃんと～？
文香,私と･･･！
フレふみ,飛鳥さん(ちゃん)の3人で！
飛鳥,待ておい
美嘉,やっぱり周子ちゃんとこのお菓子美味しい･･･って、あーっ！
フレデリカ,如何なされたフロイライン
飛鳥,キミはいつの間にドイツとのハーフになったんだ
フレデリカ,うっかりうっかり♪
美嘉,じゃなくって、もうレッスン始まる時間なの！
フレデリカ,そんな話もあったね～
美嘉,いつのならともかく今日だけはダメ、さぁ戻るよっ★
フレデリカ,まだお餅食べてないのにー
文香,当初の目的はどこに行ったんだい？
美嘉,･･･周子ちゃんが餅入りのどら焼きあるって
フレデリカ,れっつらごー！二人とも、らびゅー♪
文香,Aurevoir
飛鳥,イヤに流暢だね
美嘉,今週のお姉ちゃん同盟の会合、どこ行こっかな～♪
飛鳥,そういうことか･･･大丈夫だと思うけど、手だけは出すんじゃないよ？
美嘉,分かってるって★じゃあね～
文香,はい･･･美嘉さん、折を見てまた･･･宴の席を設けましょう
美嘉,オッケー連絡するね
飛鳥,･･･文香さん、宴というのは？
文香,気になりますか
飛鳥,まぁ･･･うん
文香,そうですね･･･。美嘉さん、あいさんや肇さんを主要メンバーに･･･不定期に行われる
飛鳥,もういい理解った文香さんステイ
文香,雌犬扱いとは、私のツボを的確に押さえてきますね･･･！
飛鳥,そんなところまで演技派なのか･･･？
後編二宮飛鳥,CultsoftheGhouls？
