ナレーションここは,BAR天真
ガヴリール,あっ、はい。見た目はあれだが、中は意外と普通なんだな…この客。
七番目の客マスター,喫茶店の
マスター,ふぅー
ガヴリール,はい、どうぞ
マスター,あっ、すみません。……………。っ！……美味しい！！これ、美味しいですね
ガヴリール,まっ、一応客の好みに合わせて作ってますので
マスター,そ、そうですか。あれ、一応ってなに？。そうですか。前のマスターの引き継ぎで新しいBARのマスターに？
ガヴリール,あぁ。同業者？
マスター,あ、私近所で喫茶店を営んでまして、そこでマスターを…
ガヴリール,そうっすか
マスター,えっ？そうっすか？？。と、とにかく一度来て下さい。ぜひ、コーヒーをご馳走ｎ
ガヴリール,仕事忙しんで、無理ですね
マスター,えええぇぇーーーーーっ、即答！！？
ガヴリール,今回の客はなんだか物腰柔らかくて優しそうだな、何だか…。
マルティエル,お嬢様……
ガヴリール,なんか、この客さっきからブツブツお嬢様。はい、おまちどお
マルティエル,あっ、これはすみません。………。これは、美味しいですね…。マスター…
ガヴリール,なんですか？
マルティエル,こちらの作り方、ぜひお教え願いませんでしょうか？
ガヴリール,えっ？
マルティエル,このお味、このお味であればきっとお嬢様もお喜びになられるでしょう！
ガヴリール,あ、いや、それは困るんだよあまり変なもん混ぜて作ったって言ったら100％ヤバいからな
マルティエル,お願いします。どうか、この作り方をぜひ！！。でないと、お嬢様の関心を引けなかったり、お嬢様がお店ばかりをはしごして家に帰らなくなります！
ガヴリール,っ！？。マジかよ…三番目の客が高級な店をはしごばっかしてるって言ってたけど、まさかお嬢様ってあいつなのか！？
マルティエル,？どうなさいましたか？
ガヴリール,という事はこいつはメイド、いや執事か？大変なんだな…。
ゼルエル,……………
ガヴリール,な、なんだ！？まるで他人とは思えない程のこの威圧感は！？
ゼルエル,マスター
ガヴリール,は、はい！？
ゼルエル,～をよろしく頼む
ガヴリール,はい！！。おまたせしました！！
ゼルエル,うむ。すまないな。うん……マスター
ガヴリール,は、はい…
ゼルエル,美味しいよ
ガヴリール,っ！？なに、今までの威圧感とは裏腹なこの笑顔は！！？
ゼルエル,味と良い、香りと良い、実に私の口に合う！。この味、出すのには随分と練習をしたんじゃないのかな？
ガヴリール,え、えぇ。まぁ、そうですが。
ゼルエル,努力してこの味を完成させた。うん、実に良い腕を持っているようだねぇ、マスター
ガヴリール,あ、ありがとうございます
ゼルエル,美味しいのをありがとう。では、これで失礼するよ
ガヴリール,ありがとうございました。こんなに褒めちぎられたのはいつぶりだろうか…。さて、店じまいの時間だ。ふわぁ～、眠いや。明日も準備があるし、帰ったらもう寝ようと…。
