北条加蓮,豆の数は、藍子が１６個で
藍子,まあまあっ。菜々さんは、ちょっぴり厳しい時だってありますけれど、いつも私たちを温かく見守ってくれる素敵な人ですっ。今日だって、事務所のみんなのために、食べやすいサイズの恵方巻きをいっぱい作ってくれたんですよね。菜々さんだってお疲れなのに、朝早くに起きて……。そんなみんなのお母さんみたいな菜々さんのために……福は内、ですっ。菜々さんにも、福がいっぱい訪れますように
菜々,藍子ちゃん……。藍子ぢゃ～～～～～ん！
藍子,ひゃ
加蓮,あーあーまた泣いてる。もうっ……ふふっ
菜々,ふっふっふ……
藍子,？
加蓮,急にどしたの
菜々,加蓮ちゃん、藍子ちゃん。ナナ、知ってるんですよ。ナウなトレンドのこと――！
加蓮,う、うん
藍子,トレンド、ですか？
菜々,そう……今は、恵方巻きではなく恵方ロール！お米もいいけど生クリームもね♪。ということで実はそれも作って来てみたんです。じゃん♪
加蓮,おー、ガチなヤツじゃん
藍子,みてみて加蓮ちゃん。これ、食べるところに菜々さんのウサミミマークが！キャラ恵方巻きになってますっ
加蓮,うわホントにガチなヤツだ！美味しそうっ
菜々,どうぞ存分に召し上がってくださいな！っと、ですがその前に。加蓮ちゃん、帰ってきた時にちゃんと手洗いうがいはしましたか？また面倒がってテキトーに済ませたりしてません？。今はとんでもなくインフルエンザが流行ってますからね。さ、ナナと一緒に手を洗いましょうね～
加蓮,ちゃんと帰ってきた時に洗ったわよ！わーこら引きずるなー……
藍子,あはは、お母さんだ……
菜々,藍子ちゃんもですよ！ちゃんとお散歩帰りには手洗いうがい、してますかっ？
藍子,あ、はい！大丈夫ですっ。恵方巻きですから、恵方を向いて食べましょうっ
加蓮,今年は……東北東なんだって。どっち？
藍子,北が、こっちだから……この辺り、かな？
加蓮,そういえばスマホのアプリで調べれるのあるって言ってたっけ。ちょっと探してみよーっと
菜々,……なんだか意外ですねぇ。藍子ちゃんはともかく加蓮ちゃんがこういうお話に乗るなんて。最近の若い子も、こういうことに興味を持ってくれるんですね！
藍子,若い子……？
菜々,ハッ！ご、ごほん。それより２人とも、恵方ってどうやって決まっているか、というかそもそもどういうものなのか知ってますか？
加蓮,んー……。言われてみれば。藍子、知ってる？
藍子,さあ……
菜々,せっかくですので説明しちゃいましょうか！恵方っていうのはですね――
加蓮,あ、ちょっとタンマ菜々ちゃん。ちょっとそこで待ってて。藍子ー
菜々,ミンっ？
藍子,ビデオカメラ、セットしましたよ～
加蓮,簡単だけど照明もオッケーっと
菜々,え、あの？何が始まるんです？
加蓮,まーせっかくだからねー
藍子,ふふっ。せっかくですもんね
加蓮,藍子、いける？
藍子,はいっ。では、録画ボタンを……押しました！
加蓮,オッケー。じゃあ――“おしえて！ナナちゃん☆ミ”
藍子,この放送では、菜々さんが色んなことを教えてくれますっ
菜々,！？
加蓮,今日のテーマは“節分の恵方について”だよ。みんな気になってるよね？
藍子,恵方って、方角のことですよね。でも、あれって何なのでしょうか？実は、私たちも知らないんです。菜々さん、教えてくださいっ
菜々,えっちょっ何コレ！？ビデオっ、撮影！？っていうかそのタイトルこの前酔っ払った時に勢いで言ったヤツ！なんで知ってっ――
加蓮,まあまあ。菜々ちゃんが詳しい日本酒のことは、別の番組ってことで
菜々,ハッ！いやその詳しい訳ではなくてこれはそうオトナな皆さんから聞いた、じゃなくて！。ちょっとまって今ナナほぼすっぴんっメイクさん！メイクさんはどこですかー！？
加蓮,インフルエンザでお休みです
菜々,だから手洗いうがいをするようにとあれほど！
加蓮,テイクツー行くよ。“おしえて！ナナちゃん☆ミ"
菜々,みんなの心にウサミンハート！ナナで～すっ♪地球には面白い文化がいっぱいありますよね。それを、ナナが解説しちゃいますよぉ！キャハッ☆
加蓮,プロだ……
藍子,ああっ、私のセリフパートが～
加蓮,……き、今日のテーマは“節分の恵方”だよー
藍子,恵方って、そもそも何なのでしょうか？菜々さん、教えてくださいっ
菜々,がってんしょうち！恵方っていうのはですね、歳徳神という神様……そうですね～。ウサミン星で言えば、キラキラウサミン！キラキラウサミンがいる方角なんです！
加蓮,キラキラウサミン……？
藍子,このウサミンのことですよね♪
加蓮,いるの！？
菜々,はいっ！キラキラウサミンにお祈りをすると、みんな元気になったり、欲しい物が手に入ってキラキラになるんです！。でも、その時に騒がしくしちゃったら、ぷいっ、って嫌われちゃうかもしれませんね。なのでみんな、恵方巻きを食べる時は、静かに食べるようにしましょう！
藍子,は～いっ♪
菜々,……あ、そうだ。恵方巻きを食べる時に心の中で“ミミミンミミミンウーサミンっ”と唱えるともっといいことが
加蓮,こらっ。地球の文化を捏造しないの
菜々,で、毎年の恵方は……。えーっと……何って言ったっけアレ。４つの方角と何かを足して……確か中国辺りの……。……め、メルヘンでウサミンな電波で決まった方角を向いて食べるんです。ハイ
加蓮,あはは……。そこは後で調べて撮り直そっか
菜々,うぅ、メンボクナイ
藍子,ウサミン星では何って言うのかも、みんなで決めましょうね
菜々,優しさが身に沁みます～。でもっ、藍子ちゃん。“決める”んじゃなくて“思い出す”ですからね！
藍子,ふふ、そうでしたっ。では、恵方のお話は、今はここまでにして……。早速、恵方ロールを頂きましょう！お皿と飲み物、コップも持ってきましたよ～。あっ、一応フォークも持ってきました！
加蓮,……藍子もお腹すいてたの？
藍子,だってさっきからおいしそうな恵方ロールがちらちら見えるから……
菜々,どうせなら食べるシーンも撮っちゃいます？
加蓮,いいねそれ。カメラを三脚で置いてみんなで……あ、でもさ。恵方巻き……これ恵方ロールだけど、これって静かに食べないといけないんでしょ？
藍子,それだと、映像としては静かすぎるかもしれませんね……
菜々,……！。ナナ閃きました！誰か１人が食べて、後の２人でトークを繋ぐというのはどうです？
加蓮,ナイスアイディアっ
藍子,では、食べる役は誰にしましょう
菜々,え？いやいやそんなの決まってるじゃないですか
加蓮,……ま、そうだよね。でも私も後で食べるからね絶対
藍子,？。あ～ん……。もぐもぐ……
菜々,じぃ～
加蓮,じー……
藍子,……あ、あの～？そんなにじいっと見られると、食べにく――
菜々,ああっダメですよ藍子ちゃん！恵方は静かに食べなきゃ！
加蓮,そうだよ藍子。子供達のお手本にならなきゃね
藍子,うぅ～……。分かりました。あんまり、じっくりと見ないでくださいね？あ～ん……。もぐもぐ……。……♪。もぐもぐ……。……♪。もぐもぐ……
菜々,……加蓮ちゃん。トークトーク
加蓮,あっ。つい見入っちゃってた……
菜々,気持ちは分かりますケド。藍子ちゃん、美味しそうに食べますからね～
加蓮,一口ごとに幸せそうな顔するよね
藍子,もぐもぐ……。……♪
加蓮,……
菜々,？どうしました加蓮ちゃん。トイレです？
加蓮,違うわよ。いやこう、恵方を両手で握って静かに食べてる藍子を見てるとさ――
菜々,見ていると？
加蓮,イタズラしたくならない？
菜々,コラっ。さっき見入ってたとか、ずっと見てたいとか言ってたじゃないですか
加蓮,そこまでは言ってないし。だってほら、恵方巻きを食べてる間は両手が使えないし、喋ってもダメなんでしょ？これはイタズラするしかないよね
菜々,ダメです。食べてる間くらい大人しくしてなさい！
加蓮,もう食べ始めて結構経つでしょ。私、我慢できないっ
菜々,ダメなものはダメです！ほら、藍子ちゃんがナナ達の会話を聞いて冷や汗を流してるじゃないですか。ほっぺたのところ！
加蓮,でもこっちを見る訳にはいかないからどうしよう、って顔してるね。あっ、ちょっと食べるの早くなった？
菜々,大丈夫ですからね藍子ちゃん！ゆっくり食べてて大丈夫です！
加蓮,何しよっかなー。とりあえず自撮り棒を限界まで伸ばして、どこつついたらいい反応するかなー？
菜々,ウサミンぱんち！
加蓮,はぶっ
菜々,大丈夫ですよー藍子ちゃん。悪い子はウサミンが追い払いましたからねー。ほら、ナナの後ろに隠れてないで出てきても平気ですよー
藍子,…………
加蓮,何もしないってば……
藍子,……む～。いたずらするなら、せめてカメラが回ってないところでしてください
加蓮,あはは、ごめんごめん
菜々,もっとビシって言ってもいいと思いますけどねぇ藍子ちゃんは
藍子,もうっ。……あっ、菜々さん、恵方ロールごちそうさまでした！
菜々,お粗末さまでした。あんなに美味しそうに食べてもらって、ナナも大感激です！
加蓮,そういえばさ、恵方ロールって流行りだしたの何年か前だけど、なんだか最近あまり見なくなったよね
藍子,そうですね……。今年は、恵方巻きそのものがあまり置いていないような？
菜々,え゛っ、これ流行ったの数年前……？
加蓮,あ
藍子,い、今も流行ってますからセーフですっ
菜々,まあ、最近は色々と問題がありますからね……。ほら、恵方巻きの大量廃棄とか。加蓮ちゃんも藍子ちゃんも、テレビで見てません？
加蓮,あー……
藍子,たくさん捨てられている映像が、何度も流れていましたよね
菜々,恵方巻き商戦は加熱する一方ですからね。逆に、節分の日にみんなで恵方巻きを、という家庭は減りつつありますし。たくさん作って、余りに余ってしまうんですよ
加蓮,お客さんのことを考えないで押し付けても、いいことなんてないのに
藍子,ヒートアップしすぎて、大切なことが見えなくなっちゃっているんでしょうか……
菜々,で、最近は企業もその問題に気付いたんでしょう。今年はちょっと縮小気味なんですよね
加蓮,そういえばSNSとかで見たことある。そもそも恵方巻きを作りすぎとか、恵方巻きそのものをやめてしまえって意見とか、みんな言ってたよ
藍子,じゃあ、ひょっとしたらこのまま、恵方巻きを食べるっていう文化もなくなってしまうかも……？
加蓮,流行も時代もどんどん新しくなっていくけどさ、こういうのがなくなるのはなんだか寂しいね
菜々,そんな今だからこそ！
加蓮,菜々ちゃん？
菜々,ナナ達で広めていきましょう。幸せを祈って、みんなで美味しいものを食べる。とても素晴らしい文化じゃないですか！。もちろん、作りすぎて捨ててしまうのはいけません。だからといって、そのものを否定することはないんです！。解決すべきことは解決しつつ、次の世代へ広めていきましょう。ナナ達は、こんな面白くて素晴らしいことをやっていたんだって！
藍子,……そうですよね。みんなで伝えれば、きっと何かが変わるはずです
加蓮,うんうん。このキャラ恵方ロールだって、みんなが作るようになればもっと広まるよ。作ってみたいって子もいっぱいいると思う
菜々,キャハッ☆ナナ達ウサミン星人は、地球の文化を遠い星の彼方まで伝わるよう頑張っちゃいますね！
藍子,がんばりましょうっ。お～っ♪
加蓮,……いやそれは待って。菜々ちゃん“達”って。私ウサミン星人じゃないんだけど？おーい？
菜々,では、番組の最後はいつものようにウサミンコールで締めましょう♪ミミミンミミミン、ウーサミンっ！
藍子,みみみんみみみん、うーさみんっ♪
加蓮,……、……この恵方ロール美味しー♪あっ、こっちはビターチョコが入ってるんだ
菜々,何やってるんですか。加蓮ちゃんも！
加蓮,あー残念だなー。ホントはウサミンコールやりたいけどこれ食べてる時は静かにしなきゃいけないもんねー。残念だなー。うまうまー♪
菜々,まーたそういう屁理屈を！。お疲れ様でした！
加蓮,お疲れ様でした
藍子,お疲れ様でしたっ
菜々,結局ガチの撮影になっちゃいましたね……。これ、どこかで配信するんです？
加蓮,最近プロデューサーさんが作ってくれた事務所のサイトかな。大丈夫、編集はちゃんとするから
菜々,ナナも絶対立ち会いますからねそれ。……ところで、ナナさっきから何かを忘れている気がするんですよね……
藍子,そういえば、ちゃんと豆まきをやっていないような……
加蓮,たくさん残ってるよね。せっかくだし……やっちゃう？
菜々,先手必勝！鬼は外ォ！うおりゃー！
加蓮,菜々ちゃんずるい！私も撒く！鬼はー外ー！
菜々,鬼は外ォ！
加蓮,鬼は外ー！
藍子,加蓮ちゃんも菜々さんもっ、豆まきは思いっきり豆を投げる遊びじゃないですっ。え、ええと……。福は～内～っ
菜々,鬼は外ォ！
加蓮,鬼は外ー！
藍子,福は～内～♪
菜々,……豆をまいてるうちは楽しいですケド、片付けは大変ですね～……
加蓮,やっぱり文化を広めるのやめていい……？
藍子,まあまあっ。これも含めて、豆まきですっ
