藤居朋,～♪
朋,楽しみね～
智絵里,お疲れ様です……
朋,あ、ウワサをすれば智絵里ちゃん！あの後ホタルちゃんは元気？
智絵里,あ……それが……
ほたる,？
朋,どうかしたの？
智絵里,昨日、お散歩してた時に、いきなりおばあさんに話しかけられて……
ほたる,もしかして……
智絵里,うん、ホタルちゃんの、本当の飼い主さんだったの……
朋,あ……そうだったの……
ほたる,飼い犬だったんですね……
智絵里,うん……
ほたる,本当の名前は何だったんですか？
智絵里,ゴルバチョフ
朋,えっぐいセンスね
智絵里,で、でもっ、ホタルちゃんも飼い主さんの家に戻れて……幸せなんじゃ……ないかなって……
ほたる,……
朋,……智絵里ちゃん
智絵里,え？
朋,……
智絵里,！
朋,辛いなら泣きなさい……ね？
智絵里,……。ふえぇぇぇ……
朋,よしよし。例え短い間でも、智絵里ちゃんと過ごしたことを、あの子はきっと忘れないわ
智絵里,ありがとう……ございます
ほたる,またいつか、会えますよ
美城常務,失礼する
朋,うわっ！？
ほたる,常務……？
常務,君たちに仕事が入っている。偶然通ったものでな。頭出しだけでもしておこうと思ったのだが
朋,お！いいじゃないの！どんなお仕事なの？
常務,そう急かすな。概要は……夢の競演！？世界一丈夫なアイドルと世界一丈夫なワンちゃん！らしい。白菊がメインの企画になるな
朋,……
智絵里,……
ほたる,……
常務,？
3人,ホタルちゃん！！！！！！！
