このスレッドは,とある魔術の禁書目録
上条,じゃあ俺は急いでるからこの辺で
フレンダ,ふぇ？あーちょっと待てって...行っちゃったか...。......。やばいなースイッチ入っちゃった訳よ///。(あの時から私の恋は始まった)。(相手は別に知り合いでもなんでもない地味な男で、年は高校生辺りかな？特徴をあげるとしたらツンツンした髪型)。(確か自分で上条さんと言ってたから名前は上条と言う人ね)。(よし。今度会ったらデートにでも誘っちゃおうかな？)
フレメア,(お姉ちゃんがニヤニヤしててキモい...)
フレンダ,フレメア、そろそろ学校に行かないとやばいんじゃないの？
フレメア,にゃあ。大体、準備は出来てるからすぐに出発できるぞ
フレンダ,忘れ物はないよね？
フレメア,私はお姉ちゃんと違ってしっかり者だから忘れ物などする訳ないのだっ！
フレンダ,前に宿題をやり忘れてたのはどこの誰だったかな？
フレメア,......
フレンダ,......
フレメア,いってきまーす
フレンダ,コラ！逃げるんじゃない！
フレメア,にゃあ。言い忘れたけど、学校終わったら打ち止めの家に遊びに行ってくる
フレンダ,夕食までには帰って来なさいよ。了解。お姉ちゃんはまだのんびりしてていいの？麦野達と会う約束があるんでしょ？。それは午後だから大丈夫な訳よ
フレメア,くれぐれも浜面に迷惑をかけちゃ駄目だぞ
フレンダ,はいはい
フレメア,では行ってくるだっ！
フレンダ,気を付けなさいよ。......。さてと、午後までやる事ないしコタツに入ってぬくぬくと過ごす訳よ
禁書,とうま、私の今日のお昼ご飯は何？
上条,あっ！冷蔵庫の中はほとんどなかったけな
禁書,ちょっと！？それは私にお昼ご飯はないって事なの？それだったら許さないんだよ
上条,悪りぃ、サバ缶しかないからそれで我慢してくれ。帰りに食材調達して来るからさ
禁書,またサバ缶......せめてカニ缶が良かったんだよ
上条,贅沢言うんじゃありませんよインデックスさん。カニ缶でも結構値がはるんだぞ
禁書,ムー
上条,悪いけど昼飯はサバ缶で我慢してくれよ。夕食は腹いっぱいに食っていいからさ
禁書,約束破ったら噛みつきの刑一時間だからね
上条,んな事したら天国に旅立ってしまうわっ！んじゃあ留守番頼むな
禁書,早く帰って来てね
上条,まったく、あの食欲をどうにかならんのかね。まぁでも、新年になってやっと向こう(イギリス清教)からインデックスの生活費を入れてくれるようになったから少しは余裕が出来たからいいけど。これで上条さんの不幸も少しは引くとなお嬉しいんですがね。はぁ、彼女が欲しい...。そういえばこの前のスーパーでサバ缶あげたあの金髪の子は可愛いかったな。綺麗な脚をしてたし。上条さん、寮の管理人がタイプだったはずなんだが、最近は金髪も良いなと思ってきたなー。だから。また会えるといいな。あの金髪脚線美の子
フレンダ,やっはろー皆
麦野,遅えよフレンダ。時間通りに来れねぇのかテメェは
フレンダ,たった五分遅れただけじゃん。別に仕事に来た訳じゃないんだし
絹旗,それでも遅刻した事に超変わりませんよ。最近のフレンダは超だらしがないですね
滝壺,南南西から電波が出てる
浜面,やっと来たか
フレンダ,いやー今日はかなり寒い訳よ。こういう時はホットドリンクが飲みたくなるわね。なので浜面、ココアのホットよろー
浜面,へいへい
麦野,ったく、次遅刻したらテメェの体を半分にすっからな
フレンダ,ちょ！？麦野が言うと洒落にならない訳よ！
絹旗,麦野の能力なら超簡単ですものね。こうスパッと
フレンダ,やめて！てかファミレスでグ口い話しないでよね！
滝壺,大丈夫。私はふれ/んだになっても応援するから
フレンダ,滝壺、死んでるから...死んで応援は意味ないから慰めはいい訳よ...
浜面,フレンダだからな
フレンダ,うっ......浜面のくせに生意気よ
麦野,うーんこのシャケ弁はイマイチね。塩が効きすぎ
フレンダ,おっ！このサバ缶はベリーベリーGOODな訳よ
浜面,(よく出入り禁止にならねーよな俺らって)
滝壺,スピー
絹旗,うむ、この作品はC級臭が超漂いますね。今度観に行くとしましょう
フレンダ,そういやさ
麦野,うん？
フレンダ,新年になった事だし、何かやりたい事ってある？
麦野,別になんもねぇが...まぁ、しいて言うんだったら浜面に借りを返す
浜面,何故に！？
麦野,テメェには三連敗してるからな！超能力者の私が無能力者如きにやられるだなんて孫の世代まで屈辱なんだよっ！
浜面,いや、あの時は麦野がフレンダを殺そうとしたから止めたからであって
麦野,この馬鹿が第二位に私らの居場所を吐いたのが悪いじゃねぇかよ！
浜面,だからと言って殺そうとすんなよな。相手は麦野より格上なんだし、フレンダだって命は惜しかったんだぜ？
フレンダ,あの時はマジ感謝してる訳よ。浜面
麦野,しまいには片目と片腕を奪いやがって！お嫁に行けなくなったらどうすんだよこの野郎！
絹旗,おや？麦野にも結婚願望があったのですね。これは超意外
麦野,きーぬはたぁ？それはどういう意味なのかにゃーん？
滝壺,結婚......私もいずれは浜面と
浜面,滝壺...
麦野,フレンダ、マジでこのバカップルを爆発させろ
フレンダ,了解。えっと...
浜面,おいっ！
絹旗,はいはい。ここはファミレスだから別の場所で超やって下さい。てかそういうフレンダは何かやりたい事が超あるんですか？
フレンダ,私？そうね......私は...。彼氏を作る事かな
麦野,ん？
絹旗,え？
浜面,おっ？
滝壺,ふれんだ、それ本当？
フレンダ,だって私達って学生じゃん？結局、青春真っ只中の年頃なのに青春の一つも送れてない私にとってはとてもつまらない訳よ。だから青春を送りたくて恋がしたい。今年の私は恋人を作る訳よっ！
絹旗,恋ですか......まぁ目標があるのは超良い事ですけど、フレンダみたいな子と付き合ってくれそうな男が果たして超居るのでしょうかね？
フレンダ,ちょっと絹旗！それどう言う事よ！？。...麦野だってモデルのような容姿とグラマーなスタイルをしてる割には性格が最悪すぎじゃん。特に口が
麦野,ああん？何か言ったか？
フレンダ,いえ、なんでもないって訳よ
滝壺,じゃあ質問、恋がしたいふれんだは今好きな人居るの？
フレンダ,好きな人......。い、いいいいいい居るわけがないじゃない！！！やだな滝壺、何言っちゃてる訳よ///
麦野,居るな
浜面,ああ、これは居るな
絹旗,超居ますね
滝壺,うん、居る
フレンダ,話聞いてた！？今居ないって言ったわよね？///
麦野,誰なんだい？言ってみろよ
フレンダ,だから居ないって！///
浜面,そう恥ずしがるなって
フレンダ,浜面うるさいっ！下っ端の分際で上司を弄るんじゃないの！
絹旗,あー外にフレンダの想い人がー
フレンダ,え！？どこどこ！？何処に居るの！？ハッ！？
麦野,
絹旗,
滝壺,
浜面,
絹旗,はいはい超ツンデレ乙です
滝壺,ふれんだ可愛い
フレンダ,いい加減にしてよ！///。(うーツンツン頭の人が居たと思ったじゃない！)。(まぁうまい具合に出会えるわけないものね...)。(あーあ会いたいなー。会えないかしらね？こう、もう一度外を見たら居ました的な展開がある訳がな......いってあれ？。(ホントに居たぁぁぁぁああああ！！なんで？私が会いたいって言ったから願いが叶った訳！？てか早く行かないとっ！
麦野,さぁーフレンダちゃん。とっととテメェの想い人吐きやが...あれ？?フレンダが消えた！？
絹旗,何時の間に超いなくなってますね
浜面,逃げたのか？
滝壺,三人共外を見て
麦絹浜,ん？
上条,はぁ、補習帰りは疲れますな。さっさと買い物して帰らないと白いシスターさんが激おこプンプン丸ですな
フレンダ,ちょっと待って！！
上条,うん？
フレンダ,や、やっと会えたって訳よ
上条,あれ？君は前のスーパーで...
フレンダ,私の事覚えてるの？
上条,そりゃあ勿覚えてるさ。こんな可愛い金髪の外人さんを忘れる訳がありませんよ
フレンダ,か、可愛いって///
上条,(いやーまた会えるとは思わなかったな。上条さん的には半年に一度あるかないかの嬉しいフラグだぜ)
フレンダ,あのーあの時はありがとね。見ず知らずの私にサバ缶譲ってくれてさ
上条,どういたしまして。にしてもサバ缶がないだけであんなに困る子って初めて見たな。そんなにサバ缶好きなのか？
フレンダ,ええ。毎日最低でも一缶食さないと気が済まないぐらい夢中な訳よ
上条,そうなのか。(サバ缶が好物な外人さんは珍しいもんだな)
麦野,なんだアイツ？急に居なくなったと思ったら外で逆ナンかよ
絹旗,男の方は別に超イケメンではなく至って地味メンですね。てかバフンウニみたいな頭してますね
滝壺,(あれ？あのツンツン頭の子から電波が反応しない...)
浜面,た、大将！？
麦野,なんだ浜面、あの男を知ってるのか？
浜面,まぁ知ってるというか...
フレンダ,ねぇねぇ、あの時のお礼がしたいからそこのファミレスでお茶して行かない？
上条,別に上条さんはお礼なんてもんはいりませんからいいよ
フレンダ,まぁそう言わずにちょっとだけでいいからさ？行こうよ
上条,けどな...
フレンダ,ダメな訳？
上条,(うっ...可愛い...)。分かった。ちょっとだけならいいぞ
フレンダ,(よっしゃあ！！)。そうと決まればさっさと行く訳よ
上条,お、おい！？急に道路に飛び出たら危ないって
絹旗,どうやら超成功したようですね
滝壺,ふれんだ、嬉しそうな顔してる
麦野,チッ、つまんねーな。これで失敗したら傑作もんだけどな。逆においしいし
滝壺,ちなみに私は失敗に賭けてた
絹旗,私も滝壺さんと同じく超失敗でした
浜面,お前らな...少しは成功を信じてやれよな
麦野,だってフレンダだし
絹旗,超フレンダですから
滝壺,うん。ふれんだだから仕方がない
浜面,(フレンダ...同情するぜ...)
麦野,まぁでも、フレンダはメンバーの中で一番女子力がある方だからさ、大抵の男はホイホイとオトセるだろうね
絹旗,うん？あのツンツン頭もこっちに超来ません？
フレンダ,皆、急に外に行っちゃってごめんって訳よ
上条,あれ？浜面じゃんか
浜面,よう大将。久しぶりだな
麦野,なんで急に逆ナンし出したんだよ？
フレンダ,はぁ！？ち、違うって！この人は前にスーパーでね、サバ缶が売り切れて困ってた私に譲ってくれたのよ！逆ナンじゃないって訳！///
浜面,そういう事だったのか。なんと言うか上条らしいわ
フレンダ,だからそのお礼でお茶をご馳走してあげるって訳。なのでこの人を相席していい？
麦野,それは構わないけどさ、一つ聞いていい？
フレンダ,何？
麦野,いつまで手を繋いでいるのかにゃーん？
フレンダ,繋い......ッ！！///。ごごごごごごめん！繋ぎぱっなしだと事にうっかり忘れてた訳よ///
上条,いえ、別に謝る事じゃないから大丈夫だぞ
麦野,うん。間違ねぇ。このウニ頭の男がフレンダの好きな人のようだな
絹旗,うむ。超間違いないでしょうね
滝壺,うん。ふれんだのテンションが明らかに恋する乙女だもの
浜面,(相手が上条だもん、それしか有り得ないわな。それにしてもフレンダさえもフラグ立ててしまうとはさすが師匠！痺れるぜ！)
フレンダ,何ヒソヒソと話してる訳？
麦野,べぇーつに。それよりもさっさと座ったら？
フレンダ,そうだった。んじゃあ君は私の隣が空いてるからコッチに来て
上条,ああ
フレンダ,(うっひょお！近い近い！近いって訳よ！///)
浜面,(めっちゃ嬉しそうな顔してるな)
麦野,とりあえず、浜面とフレンダ以外はアンタと初対面だから自己紹介しないとね。私は麦野沈利、宜しく
絹旗,絹旗最愛、超宜しくです
滝壺,たきつぼりこ(滝壺理后)、宜しくね
浜面,とっくに知ってはいるが、一応言っとくか。俺は浜面仕上
フレンダ,私はフレンダ・セイヴェルン。宜しくって訳よ
上条,えっと、上条当麻です。宜しくお願いします
麦野,上条？......もしかしてアンタが噂の幻想殺しって奴か！？
絹旗,え？幻想殺しってどんな能力も打ち消してしまう都市伝説で超噂になってるアレですか？
上条,ええ、幻想殺しとは上条さんで間違いないですよ
フレンダ,マジで！？上条が幻想殺しだったの！？凄い訳よ！
上条,いやーそんなに凄い事じゃないよ。能力を打ち消すだけだし、その効力を発揮するのはこの右手だし、しかもこんな能力があるにも関わらずレベル0なんですよ
麦野,それでも能力者からして見ればかなりの痛手だもんだわ
滝壺,どおりでかみじょうからのAIM拡散力場が発生しない訳だ
浜面,思えば上条の能力のおかけでフレメアを救う事が出来たんだよな
フレンダ,え？浜面それどう言う事よ！？ウチの妹を救ったって...えー！？
浜面,落ち着けフレンダ。前に新入生がフレメアを襲った件があったろ？
フレンダ,ええ、でもそれは浜面と第一位が阻止したんじゃあ...
浜面,確かに俺と一方通行で黒夜を倒したつもりだったよ
フレンダ,つもり？
浜面,黒夜はまだ気力が残ってたばかりか、最後に渾身の窒素爆槍を放ちやがったんだ。あれは俺も一方通行も止める事が出来なった。何故ならあん時、最後の選択で、徹底さが甘かったせいでな。もうフレメアは助からないという絶望感と俺が脇役だからヒーローみたいな真似を完遂する事が出来ない自分自身の怒りがあった。バッドエンドに終わるかと思ったその時、上条が現れ、その右手でフレメアは死なずに済んだのさ
フレンダ,そうだったんだ...
浜面,つまり、あの時の一番の恩人は俺でも一方通行でもなくこの上条なんだよ
上条,いやいや、俺は最後の最後で黒夜の一撃を止めただけだ。それ以外は浜面が守りぬいたじゃないか
浜面,でも、最大のピンチを救ったのは大将なんだからお前がヒーローだよ
フレンダ,上条......素敵///
麦野,(さらに惚れ直したな、フレンダの奴)
絹旗,......超気になる事があるんですけど、上条の幻想殺しの効果はレベル5にも超効くんですか？
上条,ああ。レベルの低い高い関係なく打ち消してくれるみたいだ
麦野,じゃあレベル5の私の能力も効かないのね？
上条,え？
フレンダ,麦野は学園都市で七人しかいないレベル5の第四位の原子崩し(メルトダウナー)って訳なのよ
上条,へー麦野さんが第四位でしたか
麦野,あんま驚かないのね
上条,まぁなんというか...麦野さんには申し訳ないけど、上条さんは過去に麦野さんより上のレベル5と対峙した経験があるもので...
麦野,はい？
絹旗,えーー！！麦野より超上のレベル5といったら超電磁砲と未元物質と一方通行だけですよ？上条はそれと戦った事があると！？
滝壺,かみじょう、スゲェ
上条,未元物質はないけど、ビリビリと一方通行なら戦った事がありますよ
フレンダ,ビリビリ？
上条,御坂、超電磁砲の事だよ。いつもビリビリしてくっからいつもビリビリって呼んでんだよ
麦野,いつもビリビリって呼んでるって...なんかその内容だと第三位と友達かなんかなの？
上条,まぁ友達っちゃ友達かな？
フレンダ,超電磁砲と友達ってのも驚きだけど、それ以上に気になるのは第一位と戦ったのは何故よ？
上条,えっと......これだけはちょっと他人に話せないのでありまして...悪いけど答えらない
絹旗,えーどうしてですか？超気になる所なのにー
滝壺,何か事情でもあるの？
上条,それは......その...
麦野,......あー分かった。なんとなく謎は解けたわ
上条,え？
麦野,絶対能力者進化計画(レベル6シフト)に噛んでるから言いづらいんでしょ？
上条,ッ！？
絹旗,麦野、それって...
麦野,確かその計画はどっかのレベル0が第一位を倒した事で凍結したって話は聞いてるよね？
滝壺,うん。知ってるよ
フレンダ,え？と言う事はだよ...その第一位を倒したレベル0はまさか...
麦野,アンタなんでしょう？幻想殺し、上条当麻君
上条,......はい
絹旗,えーー！！あの超最強の一方通行を倒したなんて凄え！超凄いですよ上条！！
滝壺,うん。はまづらよりカッコいいよかみじょう
浜面,......大将よりカッコ良くなくてごめん。滝壺
フレンダ,(やっべー！私ってとんでもない人間に惚れちゃったって訳！？)
上条,バレてしまってはしょうがないけど、出来ればこの件はあんまり話したくはないんですね
麦野,まぁこれ以上の事は聞かないから安心しろ。その件は殆んどの人間には知られてはならないしな
上条,ありがとうございます
麦野,じゃあ、この話は終わりにしましょ。上条、何か頼む？
上条,いえ、俺は水だけで充分なのでいいですよ
フレンダ,私がご馳走してあげるんだから遠慮しないでいいのよ
滝壺,かみじょう、人のご好意は受け取った方がいいよ
浜面,そうだぞ大将
上条,......ではドリンクバーとポテトフライで
麦野,それだけでいいの？フレンダが出してくれるんだからステーキでも頼んじゃえよ
上条,いいえ、これだけで良いですよ。晩飯もありますし...
フレンダ,OK、今店員呼ぶね。上条、何飲む？私が取ってくるわよ
上条,いいよ。女の子に行かせるの悪いし、自分で行くから
フレンダ,いいからいいから。私はそういうの気にしないし、これは私なりのおもてなしな訳よ。お・も・て・な・し
麦野,(安いおもてなしだな)
絹旗,(超攻めますねフレンダ)
上条,じゃあ......烏龍茶をお願いするわ
フレンダ,りょーかい
上条,いやー元気な子だよな。フレンダは
麦野,元気過ぎる所がウザいがな
絹旗,そこの部分は麦野と超同意です。まぁ、このメンバーの中ではムードメーカーな存在ですから超退屈はしませんよ
滝壺,お馬鹿な所がふれんだの良い所だよ
上条,それは褒めてるっと言っていいのかな？
フレンダ,HEY！上条、烏龍茶おっ待たせ！
上条,おう、サンキューな
フレンダ,///。(キャー！サンキューなだって。私感謝されちゃった訳よ///)
麦野,(お礼言われただけであんなに照れるとは...チョロ過ぎじゃねぇか？フレンダよ)
フレンダ,お代わりが欲しくなったらいつでも私に言ってね。何回でも取りに行ってあげる訳よ☆
上条,あーさすがに二回目以降は自分で行くから
浜面,だったら俺のを浜面は自分で行け！
滝壺,大丈夫。私はあっさり断られたはまづらを応援してる...よ？
浜面,なんで疑問形なんだよ？
上条,そう言えば浜面は彼女居るんだったよな。その彼女ってこのメンバーの中に居るのか？
滝壺,はーい、私がはまづらの彼女。現在超ラブラブでーす
上条,よし、殴っていいか？浜面
浜面,なんでさ！？ここは祝福する所でしょうが！
上条,黙らっしゃい！俺と同じレベル0の癖にいっちょまえに彼女なんか作りやがって！殴らせろ
浜面,能力は関係ねーだろ！
麦野,おう殴っちゃえ殴っちゃえ。私が許可するわ
浜面,なんでお前が許可するんだ！？
麦野,だって私リーダーだし、それに私の身体をキズモノにした敵を取るには丁度いい機会だし
上条,なっ！？テメェは彼女が居ながら麦野さんにまで手をかけるなんて......最低な野郎だな！
浜面,いやいやいや！キズモノって言っても上条が思ってるのとは意味合いが違うからね！
絹旗,上条上条、ついでに私の敵も超取って下さい。この男は前にスカートピラーンしろと超脅されてパンツを超浜面に晒されて
上条,ほっほう
浜面,違えーよ！！それは絹旗が勝手にやったんだろうが！！
上条,言い訳無用！歯を食いしばりなこの最低鬼畜ハーレム野郎！
浜面,話聞けよ！
滝壺,待って、はまづらはこれでも私の大事な人だから駄目
上条,......
浜面,た、滝壺ぉー
上条,......フッ、これじゃあ俺が悪役だな。いいよ、彼女に免じて見逃してやろう
浜面,ありがとう滝壺。さすがは俺の天使！愛してるぜマイハニー
上麦絹フ,(キメェ)
滝壺,ただ
浜面,え？
滝壺,お婿に行けなくなる手前までならお仕置きしていいよ
上条,よし来た
浜面,えーー！！？
滝壺,頑張れはまづら。応援してるから
浜面,いやいや！応援しないで助けて下さいよ！滝壺さん
上条,覚悟しろ！浜面！
浜面,いやーー！！
上条,あっ！もうこんな時間か...それじゃあ俺はこの辺で帰りますね
フレンダ,えー、もうちょっとゆっくりして行きなよ
上条,もうすぐ完全下校時間が迫ってるんでこれ以上はちょっと無理ですよ
フレンダ,うーん、なら仕方がないか...じゃあさ、帰る前に電話番号とアド交換しよ？
上条,ああいいぞ
フレンダ,ほいっと......送信完了っと。これでいつでも上条と連絡取れる訳よ
上条,ではまた
滝壺,ばいばい、かみじょう
麦野,この辺はスキルアウトの溜まり場が多いから気をつけなよ
浜面,もし絡まれてしまったらすぐに俺に連絡しろよ。シメといてやるから
絹旗,その時は私も超シメときますよ
上条,それは頼もしいわ
フレンダ,上条、近い内にまた遊ぼう？
上条,ああ。フレンダ、今日はご馳走してくれてありがとな
フレンダ,///
絹旗,いやー噂の幻想殺しさんに超会えるとは
麦野,あんな男が第一位を倒したなんてね...見た目からは全然強そうとは思えないけど
滝壺,かみじょう、マジパネェ
麦野,それはそうとフレンダ
フレンダ,何？
麦野,いつ上条に告白するのかにゃーん？
フレンダ,な！？なななななななな何を言ってる訳よ！！？麦野///
絹旗,何ってそりゃあ上条の事が超好きなフレンダにとっては超大事な所じゃないですか
フレンダ,は、はぁ！？いやいやいや！！私が上条の事が好き？そんなことない訳よ！冗談もほどほどにしてよーまったく...///
滝壺,違うの？
フレンダ,そうだって。確かに上条は浜面より何倍良い男なのは分かる訳だけどさ...
浜面,俺を基準にすんなよ...
フレンダ,だからって上条の事がす、すすすすす好きだなんでないって！うん、ない訳よ
麦野,そっかそっか、だったら私が狙っちゃおうかにゃーん
フレンダ,え？
麦野,いやさ、上条を一目見た時から良いなって思ったのよ。浜面より全然印象良いし
フレンダ,ち、ちょ！？麦野？
浜面,だから俺を基準にしないで？?泣いちゃうよ？
フレンダ,どうしろって訳！？自慢の脚線美以外は勝負にならないし、このままでは上条は絶対に麦野に靡いてしまう訳よ。取られてしまう訳よ......私の初恋が儚く散る訳よ......あっ！？
麦野,
絹旗,
滝壺,
浜面,
フレンダ,い、今のは...そ...その///
麦野,ギャハハハハハ！今のは嘘に決まってるんじゃん！それぐらい分かれよ。あー今日のフレンダは面白いわ
フレンダ,......騙したわね、麦野
麦野,やっぱ好きなんじゃねぇかよ
フレンダ,うっ...
麦野,好きなんでしょ？上条の事が
フレンダ,///
絹旗,超認めましたね
滝壺,そんなツンデレなふれんだも応援するよ。ツンデレなふれんだでつんでれんだ。良い響き
浜面,今日のフレンダはよくイジられるな
麦野,そんじゃあ上条に恋するフレンダにいろいろと質問しちゃおうぜ
フレンダ,あー私用事があるんでここら辺で
麦野,おっと逃がさねぇぞ
フレンダ,ちょ！？離してよ！
麦野,よーし！テメェら、今からフレンダの恋バナでとことん弄って行こうぜ
絹滝浜,オー！
フレンダ,助けてー上条。あー仕事もしてないのになんか疲れたって訳よ。これもあのビームおばさん達のせいだ。絹旗も滝壺も容赦しないし、浜面も最近調子乗り過ぎな訳よ。滝壺とフレメアはあんな男のどこが良いのやら...。でもな、滝壺と浜面を見てると衝動的に彼氏が欲しくなる訳ねー。はぁ......上条は今何してるんだろう？
フレメア,ただいまなのだっ！
フレンダ,ん？帰って来ましたか。我が妹様が
フレメア,にゃあ！お姉ちゃん、大体お腹空いた
フレンダ,はいはい。今夕食作るから待ってなさい
上条,夕食出来たぞ
禁書,やっと食事にありつけるんだよ
上条,さーてサバ缶♪サバ缶♪
禁書,ってまたサバ缶！？そんなにサバ缶が好きなの？とうま
上条,ああ。何時の間にかこれにハマってしまってな、今は上条さんの中では密かなブームなんだぜ
禁書,ふーん。まぁ私もサバ缶好きだからいいけどね
上条,(そういやサバ缶と言えば今日あの金髪の子と会えて良かった)。(フレンダかぁ...メッチャ元気な子だったな。あんな子と付き合えたら毎日が楽しそうだ)。(連絡先も交換したし、もしかしたら俺に脈があるのではっ！？)。(......いや、それはあり得ないか...俺みたいな非モテ代表じゃあ興味なんかある訳ないし)。(大体、上条さんみたいな落ちこぼれに金髪外人と釣り合う訳がねーな)。(あー彼女欲しい......誰か上条さんと付き合ってくれる女の子は居ませんかね？)
フレンダ,
フレメア,にゃあ。にゃあ。大体、面白い番組がやってない！
フレンダ,(このスカート可愛い。これはすぐに注文って訳よ)
フレメア,お姉ちゃん、何見てるの？
フレンダ,ネット通販を見てるのよ
フレメア,ふーん。いいのあったの？
フレンダ,まぁね
フレメア,私も頼んでもいい？
フレンダ,いいわよ。何が欲しいの？
フレメア,下着なのだっ！
フレンダ,はぁ？下着！？
フレメア,大体、浜面を誘惑出来るような下着が欲しいのだっ！出来れば麦野が履いてるようなスケスケなのがいい
フレンダ,小学生の癖に何言ってる訳よ？スケスケなんてフレメアには10年早いのよ。せめて万乗パンツにしときなさい。知らないわよそんなの。(浜面を誘惑って...仮にも成功したとしても、小学生に手を出した口リ面は刑務所入りコース真っしぐらな訳よ。てか私がぶちこんでやる！)。(にしても下着ねぇ...)。(上条はどんな下着が好みな訳かな......って何考えてるの私は！！？馬鹿でしょ！上条が好きそうな下着って、これでは見せる前提じゃない！！ビッチじゃない！！///)
フレメア,お姉ちゃん？
フレンダ,な、なんでもない訳よ！と、とりあえず下着は注文してあげるから///。透けは絶対駄目だけど、可愛い系のだったらOKだから私が選んどくわ
フレメア,分かった。なるべく誘惑出来そうなのにしてね？
フレンダ,はいはい。(......はぁ、上条に会って以来、なんか調子が狂う訳よ)
上条,
土御門,カミやん、いつまでもボケっとしてると吹寄からのオデコDXを喰らうぜよ
上条,あっ？土御門か...
土御門,何か悩み事でも抱えてるのかにゃー？
上条,それは違うよ。あったとしてもインデックスの食欲をなんとかしたいもんだよ。それはそうだけどさ...
土御門,ステイルに感謝しとけよ。アイツが必死に最大主教に頭下げて説得したんだからにゃー
上条,今度会ったら礼を言っとくよ
土御門,余裕があるんだったら今度新しいメイド喫茶がオープンするから奢って欲しいにゃー
上条,せめてファミレスにしてくれ。あんなボッタクリな所は二度行きたくねぇ
土御門,おいコラ！メイド喫茶を冒涜するのはな、例え神が許しても俺と舞夏が許さん！
上条,だってさ、オムライスだけで1500円もするってどうよ？高級食材でも入ってるなら納得はするが、あんなふつーなオムライスにあそこまで値段がつくなんて上条さんにはとても理解出来ませんな
土御門,カミやん、貴様の発言は全国！いや、世界のメイドファンを敵に回した。歯を食いしばりやがれ！
上条,ふざけんな！
吹寄,やめんか貴様達！！これ以上騒ぐとあたしの頭突きで黙らしてやるぞ？
上土,すいませんでしたぁー！
吹寄,ったく......朝から変な話するんじゃないわよ
姫神,(メイドよりも。巫女こそが最強の萌え。それを分かって欲しい)
土御門,ふぅ、吹寄のデコはもうコリゴリなんだにゃー
上条,それに関しては同感だ。所でよ土御門
土御門,ん？
上条,金髪って良いよな
土御門,はい？
上条,だから金髪は良いよなーと上条さんは最近思うんだよ。うん
土御門,カミやん......お前...
上条,うん？俺なんか変な事言ったけ？
土御門,金髪...それって俺を狙ってるのか！！？やめてぇ！カミやんに犯されるー！
上条,んな訳ねーだろうが！！何馬鹿な事言ってやがる！？つか尻抑えるなっ！！
青髪,おはよう、皆元気って...あれ？ツッチーどうしたん？ブルブル震えて
土御門,か、カミやんが俺を口説こうとしてるにゃー！
青髪,カミやん......
上条,違うわ！土御門が勘違いしてるだけだからな！俺はノンケだからな！
青髪,あっちこっちでフラグ立てといて全然回収せへんかったのはソッチの趣味があったからやのか...。なんや、寮の管理人がタイプなカミやんが最近金髪の女の子に目覚めたと
