ﾏﾘｵ,あわわわわわわ、わぁ～
加持,行けぇ！！ぶっ飛ばせぇ！！！。俺の作品を返しやがれぇ！！
アスカ,返しなさいよ！私たちの20時間を！！
レイ,返して！世界制覇の夢を！！
リツコ・マヤ,返せ！！最高難易度での、全クリの達成感を！！
ゲンドウ,返せるものなら、返してみろ！ひと時の休息を！！
冬月,勇者が世界を守る夢！返せと言っているのだ！！
シンジ,返せよ！僕達の楽しい時間を！！
加持,行けー！エヴァンゲリオン！！世界中のゲーマーの怒りを込めて！！
三機,ウオオオオオ！！！
使徒,
世界中のゲーマー,止めだぁ！！！
レイ,う……ううう……
アスカ,うわあああん！！
加持,かける言葉が見つからない……
シンジ,まさか……あの停電で二人のPCが壊れるなんて
ゲンドウ,悪夢だな……
冬月,何とかしてやれんものか……
マヤ,酷い……
リツコ,PCとゲーム機の違いはあっても、同じゲーマーとして……心が痛いわ
ミサト,え？何、この空気。使徒倒してるのに
加持,司令……都合つけれるお金って、どれくらいあります？
冬月,碇。まさか、何もせんと言うわけではなかろうな？
シンジ,父さん。お願いだよ
ゲンドウ,分かっている
マヤ,先輩、可能なら私もカンパしようと思ってます
リツコ,大丈夫よ、今帳簿を見て穴を探してるから
ミサト,ねぇ、シンちゃん。あなたとお父さんって、そんなに仲良かったっけ？
ゲンドウ,と言うわけだ
リツコ,個人が持つものじゃないわね、これは
加持,現状考えられる、最高のスペックを持っている
シンジ,３Dバリバリのゲームでも、楽にやれるよ！二人とも！！
レイ,うう……ありがとう、皆
アスカ,私たち、頑張って……もう一回、世界制覇を目指すわ
マヤ,それが終わったらで良いですから、FPSとかもやってくださいね
リツコ,スペックを宝の持ち腐れにしないで頂戴ね
ゲンドウ,二人は同じゲーマーだ。つまりは、我々の仲間だ
二人,はい！ありがとうございます！！
シンジ,良かったね！二人とも！
ミサト,。ネルフにも私の居場所がない。elonaで終末起こしまくってやるわ
