第１話,本当の魔法少女になってよ
さやか,まどかぁ！ほむらぁ！。声ぇ？夢に続いて声って……
ほむら,確かに、私も聞いたわ
さやか,ほむらまで……ちょっと。とにかく、一旦ここを離れ……
ほむら,遅かった……！？
まどか,え……な、何これ
さやか,な、何なんだよ、コレ！？
まどか,さ、さやかちゃん、ほむらちゃん……
ほむら,二人とも、下がって……そして、絶対に私から離れないで
まどか,………っ！？
さやか,こ、コスプレの早替え！？
ほむら,これで全部……！
まどか,…………
さやか,…………
ほむら,驚かせてごめんなさい……本当は、あまり巻き込みたくなかったのだけれど
まどか,魔女……使い魔……魔法、少女……
さやか,ちょ、ちょっと冗談だよね！？
ほむら,着いて来て……
さやか,ちょ、って見た目より軽っ！？
まどか,ほむら、ちゃん………う、うん、分かったよ
ほむら,ええ……ありがとう、信じてくれて
まどか,あ、アレが魔女……
さやか,うわ、気持ち悪……
まどか,ほむらちゃん、あの人も、魔法少女なの？
ほむら,ええ、私の仲間よ
さやか,魔法少女って、銃で戦うモノなんだ……
マミ,さぁ、コレで止めよ！。ティロッ……！。フィナーレッ！！
さやか,凄いなぁ、ほむらもマミさんも、あんな怖いのといつも戦ってたなんて
ほむら,さっきの念話は何だったの、キュゥべえ？
Ｑべえ,いや、ちょっと使い魔に捕まりそうになってしまって……
まどか,そっか……私も、魔法少女になれちゃうんだ……
Ｑべえ,そ、それはダメだよ！
マミ,う～ん、そうねぇ……
ほむら,魔法少女は………
？？,へえ、魔女の気配が消えたと思ったら、面白そうな事話してんじゃん
ゆま,………
杏子,聞かせてもらおうじゃん、魔法少女の真実ってヤツをさ
第５話,いい加減にして
マミ,ッ……はぁぁ……
ほむら,大丈夫ですか……巴さん？
マミ,え、ええ……大丈夫よ。本当……情けない先輩で……困っちゃうわよね
ほむら,使って下さい、巴さん
マミ,ごめんなさい、使わせてもらうわ……
ほむら,早く、立ち直って貰わないと……
マミ,…………
ほむら,………
まどか,ほむらちゃん……マミさん……
さやか,また、その……魔女が出たの？
Ｑべえ,ほむら、マミ……大丈夫だったかい？
マミ,ええ……大丈夫よ。暁美さんのお陰で何とか倒せたわ。さあ、あがって
ほむら,お邪魔します
まどか,お、お邪魔、します
さやか,お邪魔します……
マミ,昨夜、久しぶりに焼いてみたんだけど、お口に合うかしら
さやか,本当！すぐにでもお店開けちゃいますよ！
マミ,…………お世辞でも嬉しいわ
キュゥべえ,………
杏子,邪魔するよ。へえ、美味そうなケーキ食ってんじゃん
さやか,ちょっとアンタ！
杏子,………なんだよ、やんのかよ？人間様
さやか,アンタ……
ゆま,………もうヤダぁぁっ！
杏子,チッ………どうしたんだよ、ゆま。ッ……！……………、クソッ……
マミ,………いい加減にして……。何よこれ……。……なんなのよ……。………本当に………。もう……もう、いい加減にして！
ほむら,ええぇぇ……
杏子,…………何だよ……人を出汁に使ってストレス解消かよ……いいご身分だな、おい
Ｑべえ,え？う、うわ！？
杏子,ほれ……来いよ、ゆま……その、悪かったよ……
ゆま,キョーコ……キョーコぉ！
まどか,………
さやか,………。私も……アハハ、マミさんの本気のケーキ、いつか食べさせて下さいよ
キュゥべえ,マミ……
マミ,………いらっしゃい、キュゥべえ
ほむら,と、巴……しゃん……
さやか,ブッ……！？
まどか,さ、さやかちゃん、わ、笑っちゃダメだよ！
ゆま,キョーコ……怒ってたけど、強くて、かっこよかったよ
ほむら,いつも言っているのとは、随分と違うわね
Ｑべえ,ほむら、無理に話題をすげ替えるのはさすがにボクも感心しないよ
ほむら,そう、本当に全部退治したのね？
ゆま,うん、街のはしっこからはしっこまで！
ほむら,そう、凄かったのね
ゆま,ありがとう、おねーちゃん！
さやか,何か、前にほむらに聞いたアイツのイメージと、随分違うんだけど
ゆま,あ、う………うん
まどか,そうなんだ……佐倉さん……杏子ちゃんは、本当は優しい子なんだ
杏子,～～～！
ほむら,いいと思うわ……あなたらしくて
杏子,～～～！勝手にしやがれ！。………………協力してやるよ……
マミ,ええ、大歓迎よ
ほむら,今のあなたなら、ここを任せても良いわ
杏子,だ、だから違うって言ってんだろー！！
ゆま,うぅ～、キョーコいじめちゃだめー！
ほむら,はい、約束のグリーフシード
杏子,って、一個かよ、シケてんなぁ……
マミ,あら……嬉しい事を言ってくれるのね
Ｑべえ,どうでもいいけど、そろそろボクを助けてよぉ～、ほむら～
ゆま,スゥ……スゥ………
ほむら,男の子が情けない声を上げるのはいただけないわよ
まどか,キュゥべえ、本当にぬいぐるみみたい
Ｑべえ,まどかまで、ひどいよぉ～
ほむら,じゃあ、お言葉に甘えます
マミ,あらあら、じゃあご家族に連絡を取ってからね
まどか,う、うん……じゃあ、私もいいですか、マミさん？
マミ,ええ、ご家族の許可が出たらね
さやかに,ほむえも～ん
まどか,ほむらちゃん……起きてる？
ほむら,………眠れないの？
まどか,先輩の家って、初めてで、何だか目が冴えちゃった……
ほむら,そう……
まどか,あ、笑わないでよ～……。………良かった……ほむらちゃん、あったかい……あった、かい
ほむら,まどか……？
杏子,なんだ先客かよ
さやか,悪いね、プライベート空間提供できなくって。う～ん………なんかさ、あの日から毎晩、考えるんだよ。ああ……それもあるんだけどね………。だと思ってたんだけどね………。………笑ったらぶっ飛ばすわよ？
杏子,さあな……全員起きるほど大爆笑して、大声でバラすかも。恋の悩みねぇ…………………分かんねぇから笑えないね
さやか,じゃあ、何が原因だっての……？
杏子,…………………失恋とか？
さやか,うわ……リアル過ぎ……
杏子,なんだ、そんな事か………当ったり前じゃん、そんなの
さやか,杏子……
マミ,治せるわ！
ほむら,………ハァ……大声出さないで。深夜なんだから、迷惑よ
杏子,で、治すってどうすんだよ？
ほむら,確かに、やってやれない事はないわね
さやか,じゃあ、本当に………
まどか,良かったね、さやかちゃん！上条君の手、治せるって！
さやか,う、うん、うん！良かった……良かったよぉぉ……
杏子,それに、気付かれるワケにもいかないだろ？どうすんだ？
さやか,みんな……ありがとう……
第６話,魔法少女にしてよ
堂々,？
ほむら,一度、時間停止を解除するわ
恭介,……………
ほむら,絶対に離してはダメよ、杏子
杏子,ああ、分かってる……離したら時間が止まるんだろ
マミ,いいわ、暁美さん、時間停止を
ほむら,はい……始めます
マミ,………思ったより難しいわね……表面的な傷とか骨折は楽なんだけど……
恭介,……ッ……ん、ぅ……
ほむら,杏子……！
杏子,分かってる……
ほむら,想像以上に、辛い作業ね……
恭介,……………
杏子,……っ、はぁ、ふぅぅぅ……
マミ,指一本、全部繋がったわ……、次……
杏子,いっその事、腕切り落としてから生やした方がいいじゃないか？。………ああ、それは勘弁な
マミ,静かにして、集中できないわ……。………終わった……！
ほむら,………っ、ふぅ
マミ,随分、濁ったわね……
杏子,ったく……思ったよりも使うな……
ゆま,ん～、キョ～コ～
杏子,ハハハ……待たせたな、ゆま
さやか,ほむら、マミさん！
まどか,良かった……良かったね、さやかちゃん
マミ,三分の一ずつではダメなのかしら？
ほむら,そうね、均等に回復する方が利口だわ
杏子,うっせ、ストックの半分がアタシの取り分なんだから契約通りだろ。ほれよ
ＱＢ,やれやれ、人間の魂だったものを放り投げるのは感心しないね
ほむら,インキュベーター！？
さやか,こ、コイツがインキュベーター……！？
まどか,キュゥべえにそっくりだけど……けど、何だか……
ゆま,………ゆま、この子、きらい……
杏子,人間の命を散々玩んでるテメェらが言えた義理かよ！
ほむら,キュゥべえ……！
Ｑべえ,う、うん！
ＱＢ２,悪いけど、このグリーフシードは僕達で回収させてもらうよ
ＱＢ３,ちょっとした実験材料に使わせてもらいたいからね
ＱＢ４,追って来たければ、来ても構わないよ
Ｑべえ,ああ！？しまった！？
ほむら,ど、どうしたの？
Ｑべえ,アレじゃあ、誰が持っているか分からないよ！
マミ,キュゥべえなら分からない？
ほむら,盲点過ぎたわ……言われてみれば、確かにその通りだわ
杏子,チッ、見失う前にとっつかまえてやる！。待てよ、このぉっ！
さやか,ちょ、ちょっと、みんな早いよ～！
ゆま,わ～、サヤカおねーちゃん、キョーコみたい
まどか,さ、さやかちゃん、早すぎるよぉ～！？
Ｑべえ,ほむら、急がないと！
ほむら,さやか、この子もお願い！
Ｑべえ,きゅっぴゃ！？
さやか,うわっと！
ほむら,そ、そんな……
ＱＢ,さあ、実験開始だ
ほむら,みんな、見ないで！
杏子,あ、アイツら……何をしたんだ……じ、自殺、か？
ほむら,い、インキュベェタァァッ！！
ＱＢ,呼んだかい？
ほむら,オクタヴィア……フォン……ゼッケン、ドルフ。さやか……！
まどか,な、何……これ……酷い……
杏子,クソッ……厄日かよ、こんな時に……こんな魔女って
マミ,さ、佐倉さん、そのソウルジェム……！？
杏子,………あんまり使いたくなかったんだよ、幻覚魔法はさ……
マミ,………愚痴や後悔を言っていられる状況ではないようね
ほむら,迂闊だった……もっとちゃんと確認していれば……。巴さん、杏子！援護射撃とまどか達の直衛は私が！
マミ,お言葉に甘えて直接攻撃と行きたいけど、こちらも手一杯よ！？
杏子,クッ……ソォッ！
ほむら,せめてあと一人……全快状態の仲間がいれば……
杏子,チッ……早速、ツケを払う時が来ちまったのかね……
マミ,こんな……所、で
ほむら,押し切られる！？。時間停止で爆弾を……ダメだ
まどか,ほむらちゃん！？マミさん！？杏子ちゃん！？
ゆま,キョーコぉぉ！！おねえちゃん達……やあぁぁっ！？
さやか,あ、ああ………みんなぁっ！？
キュゥべえ,そんな……そんな……うぅ
ほむら,さやか！？
さやか,ほむら……ゴメン
ほむら,さ、さやか……ダメ！
マミ,美樹さん……いけないわ
杏子,………
Ｑべえ,だ、ダメだよ！これ以上、魔法少女を……ボク達の犠牲者を増やすなんて……！？
さやか,犠牲なんかじゃないっ！！
まどか,さ、さやかちゃん……
Ｑべえ,う、うぅ……
ほむら,こんな状況じゃ、さやかを説得なんて……！？
さやか,このままじゃ、みんな死んじゃうじゃないか！
ほむら,さやか、ダメぇぇっ！
Ｑべえ,それが……君の願い、なんだね……。君の願いは……今、エントロピーを…………凌駕した！。うぅ……ああぁぁ……うわぁぁぁぁ………！
さやか,ごめん……キュゥべえ、みんな……！
まどか,さやかちゃん……さやかちゃん……
さやか,行くよ……！。みんな、行くよ！。はあぁぁっ！
杏子,魔力が……戻った！？
マミ,なんで……ソウルジェムはまだ濁っているのに……
ほむら,……まさか、残った魔力を強化しているの！？
マミ,暁美さん、佐倉さん、援護をお願い！
ほむら,はい！
杏子,任せときな！
マミ,一発だけ、全力で行くわよ！
さやか,マミさん、コレも！
マミ,ティロッ……フィナーレッ！！
ほむら,……！？
さやか,アンタさ……。何で、そんなに哀しい声あげるのさ……？。………誰かに、嫌われた？もしかして、大切な人に酷い事でも言った？。これで………トドメだぁぁっ！！。……………………ばいばい……あたし………。……………
ほむら,………さやか！
マミ,………
さやか,マミさん……
マミ,ごめんなさい……助けて、くれたのに……。ごめんなさい……こんな情けない、先輩で……
さやか,マミ……さん……。みんな、あんなにしてくれたのに……ごめん、なさい……
第７話,これからの話をしましょう
まどか,いいの、さやかちゃん？
さやか,ん、ああ……うん。ん……ああ、うん
ほむら,……数学と国語、それに英語の課題、今日までよ
さやか,ああ……うん
まどか,さやか、ちゃん？
さやか,仁美、ちょっといいかな？
仁美,？私、ですか？
まどか,さやかちゃん……思い詰めちゃう所があるから、私も心配だよ
さやか,何から話そうかなぁ……
仁美,………私も、実はさやかさんにお話があります
さやか,恭介の事？
仁美,気付いて……いらしたんですか？
さやか,え？あ、ん、まぁ……いや、何となく、だけど
仁美,私も、上条恭介君の事を、ずっとお慕いしていました
さやか,うん………。いいよ。仁美が告白しなって。……関係者以外に話すのって、有りかどうか悩んだけど、仁美は口固いし、大丈夫か
ほむら,……分かったわ……
Ｑべえ,………うん
マミ,美樹さん……
さやか,実は私、人間じゃなくなっちゃったんだわ……
仁美,さやかさんが、何を仰っているのか……よく分かりませんわ
さやか,………こう言う事
仁美,さやか、さん………。さやかさん………こんな、こんなのって……。はい……
マミ,行きましょう……
ほむら,………
マミ,今日は、ケーキを焼こうかしら……今度こそ、うんと美味しいのをご馳走しなくちゃ、ね
さやか,っ、はぁぁぁ……疲れた。ああ、さんきゅ………はぁ～、生き返る～
ほむら,……それじゃあお年寄りみたいよ、さやか
マミ,どう？美樹さんの能力は把握できた？
ほむら,ええ、何とか。強化魔法は五種類、さやか自身には効果がないみたいです
杏子,えっと、青が魔力の強化、赤が攻撃力の強化、緑がスピードの強化で……
ほむら,黄色が防御強化、紫が治癒能力強化、この五つですね
さやか,うぅ、優しいのはまどかだけだ………あたしンちに嫁に来て
まどか,それは……ちょっと
さやか,うぅ、キュゥべえ～、ゆま～
マミ,どうしたの、何か困った事でも？
ほむら,この便利過ぎる能力と引き換えに……本人が、ちょっと
マミ,ここは人気も少ないし、今すぐ特訓ね
ほむら,特訓ですね
杏子,新人いびりだな
まどか,頑張って、さやかちゃん
ゆま,サヤカおねーちゃん、がんばれー！
Ｑべえ,頑張って、さやか。ボクもいっぱいいっぱい、応援するよ
ほむら,大丈夫よ
マミ,あれだけ早いんですもの
杏子,全部避けりゃいいって、手加減してやるからさ
さやか,ちょ、た、タンマタンマタン………………。うぅぅ………殺されるかと思った……
まどか,大げさだよ、さやかちゃん
Ｑべえ,えっと……コレだね
ほむら,ありがとう。爆弾よ。お手製の
さやか,うえっ、マジ！？てっきり、爆弾もどっかからくすねて来てるモンだとばかり。しーふぉー？紙のサイズみたいな名前の爆弾だね……強いの？
ほむら,そうね………私の手持ちで、さっきの工場地帯全域を跡形もなく吹き飛ばせるレベルね
まどか,さやかちゃん、ほむらちゃんに悪いよ
さやか,そんな強い魔女なんだ……うわぁ、ホントに倒せんの、それ？
まどか,じゃあ……今回は？
さやか,じゃあ今回は勝てる！？
Ｑべえ,………………
さやか,ちょ、ちょっとキュゥべえ……黙んないでよ
ほむら,………………
さやか,ほ、ほむらまで……そんな顔しないでよ
ほむら,今回の戦いの鍵になるのはあなたよ、さやか
さやか,あ、あたし！？
まどか,さやかちゃんが、勝利の切り札って事、なのかな？
さやか,うぅ……役に立ってるのか役に立ってないのか、よく分かんないなぁ
まどか,さやかちゃんは役に立ってるよ。絶対
さやか,ねぇねぇ、杏子みたいに、他の街からも魔法少女に来てもらおうよ～
ほむら,ん？。さやか、さっき何て……！
さやか,へ！？あ、いや……他の街からも魔法少女に来てもらおう……って
ほむら,…………脱線しかけたわ。さやか、名案よ
マミ,ネットで魔法少女に呼びかける、ですって？
ほむら,発案者はさやかです。本当に盲点でした
さやか,いや～、舞い上がっちゃってますね、あたし
杏子,うぜっ
さやか,ふふんっ、今のさやかちゃんにはその罵りさえ褒め言葉に聞こえるよ！
まどか,さやかちゃん、話が進まなくなるから落ち着こうよ～
さやか,ちぇ～っ、まどかまで怒んなくたっていいじゃ～ん
ほむら,有り体に言えばそうです
マミ,キュゥべえが映ってるわね。それは、また……ちょっと乱暴ね。つまり……他の魔法少女の子達の怒りに賭ける、って事かしら？
