派遣魔術師,言峰氏ー！
宗介,…。ただものではないな
クリス,君も、とても頼もしい目をしているな
凛,な…なにはともあれ！これからバーサーカーを―
クリス,却下だ
凛,―は！？
クリス,俺たちの敵はバイオテロだ。戦争をしに来たんじゃない
凛,いや、何いってんの！？
宗介,バイオテロだと…！？
凛,食いついてどーする！？
クリス,新型のウイルスだ
凛,違うわ！！
クリス,このままだとバイオハザードが起きてしまう。ラクーンの再来だ…！
凛,起きねーっての！あんたの頭がバイオハザードじゃないのよ！
宗介,―なんてことだ…
凛,お願いだからシリアスな方向に盛り上がらないで！
クリス,行くぞ！！
宗介,了解…！
凛,おいィィ！！どこに行くだぁーー！？
ボーボボ,うおおおおお聖杯はどこだああああ！！
通行人A,わあああ鼻毛があああ！？
ボーボボ,頼むよ！俺んちが火事なんだよ！聖杯がないとみんな死んじまうんだよぉ！
通行人A,え、ええ～…！？
イリヤ,ちょ、バーサーカー！
ボーボボ,おっせーよ、ボケが！
イリヤ,あんたが勝手に暴れてんでしょ！？
ボーボボ,それよりマスター、聖杯なんてどこにもないぞ。掘れども掘れども消しゴムしかでてこねえ
イリヤ,何をしてたの、この三日間！？。いい！？聖杯っていうのは、あなた以外のサーヴァントをみんな倒さなきゃでてこないの！
ボーボボ,オシリスの天空竜を召喚するぜ！
イリヤ,真面目に聞いてるの！？
ボーボボ,要は、全員皆殺しにしろってことっすね
イリヤ,怖いよ！いや、あながち間違っちゃいないけど…
士郎,―おい、あれか！？
銀時,おー…あれじゃね？
イリヤ,言峰神父…！
言峰,バーサーカー、暴れすぎだ。本部の判断により君を始末する
ボーボボ,マスターと交わした爪切りの約束のためにも、負けられねえ…！
イリヤ,してない！！変な印象植え付けるのやめてよ！！
銀時,あの餓鬼、なんてはた迷惑なやろうだ…！
イリヤ,私のイメージがどんどん変な方向にーーー！！
銀時,行くぜぇ！！
ボーボボ,こいやぁ！！
士郎,鼻毛と剣のぶつかりあいだ…！！
銀時,やるじゃねぇか…あんちゃん、ジャンプの主人公でも張れるんじゃねーか？
ボーボボ,俺のことはいい。それよりもお前、毛が泣いてるぜ
銀時,あん！？おめーに天パの何がわかんだよ！
ボーボボ,マヨネーズ気分じゃーーい！！
士郎,セイバーがピンチだ…！言峰！ランサーを―
言峰,ああ、無理。なんかあいつ、バイトだって
士郎,大学生！？
イリヤ,え…？また誰か来た…！
凛,ほら、さっさと歩く！！
クリス,いやしかし…
宗介,バイオテロが
凛,やかましい！あれ、バーサーカー！ついでにセイバーも片づけてきなさい！
宗介,仕方がない…！クリス、突撃しながら援護してくれ
クリス,任せろ…！
宗介,来い、アル！
レーバテイン,アル
宗介,目標を蹴散らせ！
アル,了解
銀時,うおお…！
士郎,うわああ銃火器のオンパレード！？
ボーボボ,大丈夫か、マスター！
イリヤ,バーサーカー！
ボーボボ,ふええ～んマズダァ゛～！今ので僕のツイッターも炎上しちゃった～！
イリヤ,なんで！？ってかこの非常時にSNS！？何さま！？
言峰,マスターフルボッコなう
士郎,お前も！？
ボーボボ,上等だあああ俺もアームスレイブを召喚するぜ！
イリヤ,うそ！？
宗介,なんだと…！？
ボーボボ,鼻毛真拳奥義ィ！！超特大アームスレイブ召喚！！
サービスマン,大
クリス,なんだ、こいつは…！？
サービスマン,―超特大サービスッ！
凛,うそォん！？アルが撃破された！
イリヤ,いやあああ！
ボーボボ,女の子に下品なものを見せつけるなあああ！！
イリヤ,アンタが呼んだんでしょ！？
言峰,戦況五分五分なう
士郎,つぶやきをやめろ！！
間桐桜,―皆さん、そこまでです
凛,桜…！？
士郎,な…
桜,セイバーさん本家。姉さんを排除して！私が先輩の正妻になります！
言峰,急展開なう
ボーボボ,ちょっとォ！どういうことよ！幼馴染のあたしをさしおいて！
士郎,気持ち悪いわ！
ボーボボ,セルフイメージは武井咲です
士郎,大うそつきーー！！
銀時,俺は大泉洋な
士郎,しらねえよ！！
桜,皆弱ってる…！チャンスよ、ライダー！
？？？,―いいのか？
桜,GOGOGO!!!
阿部高和,それじゃあ、とことんよろこばせてやるからな
宗介,させるか！！クリス！！
クリス,ありったけぶちこむ！！
阿部,おっと！
宗介,なっ…！？
クリス,腰で全ての攻撃をはじき返した…！？
阿部,ところで、俺のキソタマを見てくれ。こいつをどう思う？。まず二人
銀時,ふざけんな！！俺にそっちのけはねーぞ！！
阿部,やらないか
ボーボボ,殺ってやらああああ！！
銀時,おおおおお！！
阿部,サーヴァントプレイ、悪くなかったぜ
士郎,ば、化物…！
阿部,ウホッ！いい男…
士郎,ガクガクブルブル
言峰,―御苦労、もうけっこうだ
阿部,！？体が…
言峰,では、種明かしと行こうか。ランサーを始末したのは私だ。そして、キャスターやアサシンで君たちの消耗戦を行わせた後―。この拘束魔術を使う。さらにこの聖杯の魔翌力を所有者に向けさせるこの道具で―。私は易々聖杯を手にするわけだ
凛,綺礼…アンタ…
言峰,さあ聖杯よ！愉悦により私を満たせるだけの世界を与えよ！
神龍,さあ…願いをいえ…
イリヤ,限りなく聖杯に近いようでそうでないのが降臨したぁーーーーーー！！
言峰,せいは―
神龍,やだ
言峰,え？
神龍,いや、３０００年ぶりの復活よ。遊ばせろ。じゃあね～♪バイバイキ～ン♪
言峰,…やはり聖杯は、人類の手に余るものだったということか
桜,阿部さん、お願い
言峰,待って！！落ち着けってばよ！！。本当はもっと、真面目なやつを書くつもりだったんだ！それがこんな…
阿部,それじゃあ、とことんよろこばせてやるからな
言峰,アッーーーーーーーー！！
