まあいっか、大丈夫です！,多分
青葉,しょうがないです、青葉も酔ってたんです！。うーん、質問を変えましょうか。司令官司令官。最近この娘がこーんなことしてきて可愛かったってのはありませんか！？
金剛,oh,,,これは良い質問デース！
榛名,抜けがけ者を洗い出せます！
電,はわわ、はわわわわ
提督,うーん、可愛かった････可愛かったねえ･･･あ～、電ちゃん！
電,はわわわわ！？
榛名,･･････
青葉,電ちゃんですか、いいですねえ！
提督,だろぉ、可愛かったんだよ～～～！
青葉,一体何があったんです！？
提督,それはね～～～～
映像の中,宴会場、艦娘のエピソード
試写会場の台詞は,
長門,ふむ、こんな感じなら良いんじゃないか？
榛名,思ったよりも平和にすみそうです！
陽炎,あれ、なんでこの人徹甲弾持ってるの？
加賀,まあ、そうそう露骨にアピールする娘は･･･
神通,そんなの恥ずかしいです･･･///
衣笠,はい、じゃあ次進めまーす
瑞鶴,誰かしら･･･
長門,う～む。トップバッターがあんな感じだったしな
暁,そんなに酷いことにはならないんじゃないかしら
一同,ダウト！！！
金剛,what’s?みんなどうしたデース？
榛名,お姉さま、こればっかりは榛名･･･擁護できません･･･
響,一番露骨そうだな･･･
金剛,そんなことないデース、普通デース。とにかく見てみるネ！
青葉,それじゃ行きます！
瑞鶴,衣笠いったん止めて。ちょっと、開始３秒でバレる嘘付いてんじゃないわよ！
長門,これは･･･
加賀,しばらく金剛さんは執務室立ち入り禁止にしましょう
金剛,なぜデース！？これくらい挨拶みたいなものなのに！
衣笠,はぁ･･･。これじゃ進まないからもう一々止めないでいくわよ？
提督,懐いてるだけかと思ったけれど･･･これはワンチャンあるのでは･･･？。ぶっちゃけ滅茶苦茶可愛いしな･･･たまには俺からアタックしてみよう。丁度俺に背中向けてるし･･･後ろから抱きしめる
金剛,ビックリして拒否しちゃったヨ･･･ああ、私のバカバカデース･･･
青葉,昔何かあったんでしょうか･･･
瑞鶴,ヘタレね
金剛,
赤城,普段あそこまでしてあれでは･･･提督がかわいそうです
金剛,。うぅ･･･だっていきなりでビックリしたんだヨ･･･
翔鶴,でもあそこで金剛さんが慌てなかったら、ある意味試合終了ですし･･･
瑞鶴,提督も惚れかけてたって言ってたもんね
青葉,そういう意味ではこの方がおもしｒ･･･良かったのかもしれませんね！
衣笠,じゃあ次、行くわよー。あ、あと一々コメントしてたら長くなるから
加賀,ええ、要所以外は映像に口を挟まない様にしましょう
衣笠,オッケー、じゃあ行きます
愛宕,3,2,1せーのっ！
提督年上,っぽい人
提督,指！指を俺の唇にぴとって！えええ！？。それにしても･･･。胸揺れすぎぃ！。･･･お姉さんってのも、良いかもな･･･
加賀,愛宕さん、あなたがいてくれて良かった、本当に良かった･･･
陸奥,うふふ、私の魅力が伝わらないなんて許せないものね
筑摩,あなたは重巡の誇りよ
那智,貴様に一杯おごってやらねばならんな
愛宕,良く分からないけれど、私感謝されてるー？
利根,お姉さん属性･･･もう吾輩の勝利しか見えぬな。のう筑摩よ！
筑摩,あらあら･･･姉さん可愛い
瑞鶴,利根さんはどう見ても口リ属性でしょうに･･･
翔鶴,私はお姉さん属性なのかしら･･･？
衣笠,さて、次行くわよ、次！
大和,早めに執務室に行って準備する⇒提督を出迎える。提督大和は気が効くなあ！。優しく起こす⇒大和は優しいなあ！お嫁さんに欲しいくらいだよ！
大和これです！もはやケッコン待ったなしです！,来たばっかだけど
大和,じゃあ起こしますよ･･･うぅ、近くで見ると結構恥ずかしいです///。うわぁ、寝顔が･･･寝顔が･･･///。･･･よし、行きますよ･･･えぃ！
青葉,言いはしませんよ？言いは。でも流石に徹甲弾の下りはマズいですね･･･。後で編集しておきましょう、カットですカット！
瑞鶴,うっわ･･･どうすんのこれ///
翔鶴,///
加賀,つ、次に行きましょうか･･･
大和,うわああああ、もういっそ殺してぇ！矢矧！私を沈めてぇ！
矢矧,ちょっと大和っ！落ち着いて！
陽炎,うわぁ･･･
利根,これは恥ずかしいだろうのう･･･///
長門,い、今はそっとしておいてやろう･･･
陸奥,そうね･･･
榛名,なる程、朝方の奇襲が有効ですか･･･榛名学びました
陽炎,もう私榛名さんの隣の席嫌なんだけど
不知火,嫌です陽炎こっちを見ないでください代わりませんよ
瑞鶴,っていうか青葉！ちゃんと編集しておきなさいよ！
青葉,いやー、すみません。青葉も酔っていて覚えてなかったです！
川内,ちょっとー、この先大丈夫なの？
青葉,はい！この先は多分
衣笠,あ、これ大丈夫じゃない奴だ。でもま、いっか。私は恥ずかしい話ないし黙ってよ
加賀,駆逐艦の子達が我に帰って騒ぐ前に･･･
赤城,ええ、次に行ったほうが良いですね
衣笠,！。はいはい、じゃあ次ねー！
青葉,大樹腐りかけてるんですけど･･･
利根,そんな･･･吾輩が良いなどといきなり･･･破廉恥な///。わ、吾輩の頭を･･･な、撫でー！？。うぅ･･･褒め殺しとはこのことじゃ･･･。恥ずかしくてまともに前を向けん///。･･･というか///。こ、これでは罰にならんではないか///。ふん、提督よ･･･ありがとう。吾輩は、お主のために･･･
青葉,それが全てなんですけれど･･･。そこじゃないです、撫でられた所を知られたくないんですよ司令官！
利根,ぬわああああああああ！
陸奥,あ～ら利根ちゃん。ナデナデしてあげましょ～か？
利根,子供扱いするでないわ！
夕張,ふふ、撫でられるのが恥ずかしいんだもんね～？
利根,う、うるさい！。大体、陸奥に撫でられたところで･･･あっ
陸奥,あら、あらあらあら
長門,ほう？
陸奥,私だと平気なのね？じゃあ誰なら平気じゃないのかしら？
利根,う･･･うが～～～～///。ち、筑摩っ！筑摩はどこじゃ～～～！？
陽炎,筑摩さん、利根さんが呼んでますよ～～って･･･
筑摩,はぁ･･･背、縮まらないかしら･･･
陽炎,聞いてないし･･･。私損な役ばっか･･･
提督おお、すごいじゃないかあ！,こいつ本当に駆逐か？
時雨,･･･夕立の方がたくさん撫でられてる･･･。ボクも･･･
