OVAの,10年後の異邦人
哀,……吉田さんや、彼女。毛利蘭さん。彼女達があなたに好意を持っていたのは当然分かっているでしょう？。彼女達への想いも……。私の中で清算すべき想いを抱えたまま、私はあの町を離れてしまった。あなたの移籍もあったし、それは仕方ないと思ってる。だけど、そういう想いから目を逸らして来たから……。それが今噴き出してきたのかも
新一,哀……
哀,哀。そう哀と呼ばせるのも、きっと怖いから。灰原哀でいた時に得た幸せは、元の宮野志保に戻ったら消えてしまうんじゃないか。そんな幼児的な怖さが頭を離れないから。怖い、本当に怖いの。過去が襲ってきてあなたを失うのが怖い！怖くてたまらないの！そんな事は無いと思ってる。ずっと一緒にいてくれると言ってくれたあなたを信じてる。でも、幸せになればなる程怖いの……。自分の命より大事なあなたがいなくなってしまう事が
新一,……
哀,あなたは私にとって全て。他に替えのきかない……。怖い、怖い、怖い、怖い、怖い！いっちゃんがいなくなるのはイヤ、イヤよ！。ごめんなさい、こんな、私、私……
新一,……
哀,いっちゃん……？
新一,ごめんな、哀。分かってたのにさ。哀が抱え込みやすい性格なのも、人より辛い思いをしてきたのもさ。でも、気付かずに苦しい思いをさせてしまったんだな。こんな事も分からないようじゃダメだよな。情けねぇ......。幸せにするって、約束したのにな
哀,いっちゃん......
新一,実はさ、俺も聞いて欲しい事があるんだ。聞いてくれるか？
哀,......ええ
新一,......今日、服部から電話が無かったか？
哀,ええ。来てたわ
新一,やっぱりな。大事な話で、哀に聞かせたく無い話があるって言われてよ。家では話せないし、俺はアイツの家には行けないから、飲みにかこつけて誘い出すつもりだったらしいんだ。アイツの家は俺に良い感情、持ってないからな。アイツらしく無く内緒にしたきゃケータイにかけりゃ良いものを、多少取り乱してたみたいで先に家にかけちまったみたいでさ。その後俺に連絡来たんだ。哀といたかったから会うのは断ったが、用件は聞き出せた
哀,何だったの？
新一,......蘭が結婚するらしいんだ
哀,......！そうなの、お相手は？
新一,新出先生らしい。つい最近連絡が来たってさ
哀,そう、なの......
新一,ああ。ま、アイツから俺達に連絡が来るハズも無いが、一応伝えとこうと思ったんだってよ。変に気を遣いやがってさ
哀,......その話と、いっちゃんの話に関係が？
新一,ああ。今の哀の話を聞いて、俺も自分の中のモヤモヤに気付いたんだ
哀,......
新一,......誤解すんなよ、アイツに未練があるとか、そう言う事じゃない。今俺の心にいるのは、哀だけだ
哀,......いっちゃん
新一,ただ、アイツに重荷を背負わせてしまったんじゃないかと、気付いたんだ。いや、分かっていたけど見ないようにしていたモノが、今の話でハッキリ浮かんできた
哀,見ないように？
新一,......哀への想いに気付き、アイツに別れを告げた時。俺は電話で伝えただけだった。元の身体に戻っても会う事無く今日まで生きてきた。一切の関わりを絶ち、俺の事を忘れさせる事がアイツの為だと言い聞かせてな。だけど、本当は逃げちまっただけなんだ。電話口で、アイツは笑ってサヨナラと言ってくれた。だけど、本当は面と向かって言いたいこともあったハズなんだ。怒鳴りたかったかも知れない、殴りたかったかも知れない。でもそれすらさせてやらなかった。出来なかった。もし会ってアイツが泣いたりして傷付いてる姿を見たくなかった。その姿を見て自分が傷付くのが怖かった。俺はただの卑怯者さ......。それに、もう１つ怖かった事がある
哀,......何？
新一,哀を失う事だ。哀がもし、俺と蘭の事を気に掛けて自分を責めてしまったら。そのせいでいなくなってしまったら。それが怖かった。だから、過去に触れるのも怖くなっちまった。昔、哀に運命から逃げるなと言ったのに。俺は逃げたんだ。最低だよな......
哀,......そんな事、無いわ
新一,なあ、哀。行ってみようか。米花町へ
哀,え......？
新一,今、ずっと考えていた。これからどうするか。考えても考えても悩んじまうから、違う事を考えた。俺は今、何がしたいのかってな。そしたらすぐ答えが出たよ
哀,......何？あなたのしたい事って
新一,俺の望みはサッカー選手としての栄光でも金でも名声でも無い。ただ目の前の哀の笑顔が見たい。それだけなんだ
哀,！
新一,俺のしたい事はただそれだけ。ならそれを実現するには方法は１つ。悩みの元凶に。過去にケリをつけるしかねぇ。過去が哀から笑顔を奪うなら、苦しませるなら、それを取り除くしかない。ほったらかしには出来ないんだ。なら、その原因のある米花町へ行くしかねぇ。行っても解決出来るか分からない。もしかしたらお互い更に傷付くだけかも知れない。あるいは自分がスッキリしたいだけかも知れない。でも......。俺には哀と生きる以外の選択肢は無い。だから、この先を2人で生きるために過去と闘うしかない。そう思うんだ
哀,いっちゃん......。私も同じよ。あなたと一緒に生きていきたい。だから、行きましょう。あの町へ
新一,......ああ！
哀,もうすぐね......
新一,ああ
哀,何だか不思議ね。まるで昨日までいた所に行くみたいな気分だわ
新一,分かる。でも、それでいて100年も離れていた様な。変な気分だぜ
哀,そうね......
新一,......っし、着いたな
哀,ええ。意外にあっと言う間ね
阿笠,おお！哀君に新一！待っておったぞ！
新一,ひっさしぶりだなー！博士！元気だったか？てか変わんねーな、昔と！
阿笠,ハハハ、若々しいと言ってくれ！
哀,博士？ちょっと太ったんじゃない？
阿笠,ｷﾞｸｯ。ハハ、そんな事無いじゃろ。なあ、新一？
新一,......ノーコメント
阿笠,ま、まあそれよりじゃ！良く来てくれたのう！2人が来ると聞いて、楽しみにしておったんじゃよ。息災な様で何よりじゃ
哀,まあ、博士も元気に太ってる様で何よりね......
阿笠,おい新一、この調子じゃ哀君の尻に敷かれとるんじゃないのか？
新一,ほっといてくれよ......
阿笠,さ、とにかく駅のホームに長居しても迷惑じゃ。家に向かうとしようじゃないか
哀,そうね。早く見たいものね。博士の生活ぶりを
阿笠,ハハ、ホントに変わらんなあ......
哀,思ったよりは、片付いているわね。時間があればいっちゃんの家も片付けたいわね
新一,ああ。ホコリだらけだろうしなあ。ところで、相変わらず変な発明してんのかよ？
阿笠,変な発明とは何じゃ！ワシの発明に散々世話になっておいて！
新一,それは感謝してるけどさ、当たり外れがでかいだろ？博士の発明は
阿笠,ならば、コレを見るが良い！
新一,何だコレ？
阿笠,3分かかるカップラーメンを30秒で作る機械じゃ！スゴいじゃろ？！
新一,スゴいけど、しょーもねぇ......
阿笠,ナンじゃと？商品化して、独身男性にバカ売れなんじゃぞ？
哀,へぇ。だから台所にカップ麺のゴミばかりあるのね。道理で太る訳ね
阿笠,ｷﾞｸｯ
哀,あれほど健康管理には気を遣ってと言ったのに......
阿笠,す、すまん哀君！1人じゃとつい面倒で
哀,だからって、コレは無いでしょう？
新一,まあまあ。気持ちは分かるが、本題に入ろうぜ？
哀,......そうね。ごめんなさい
新一,で、博士。積もる話はあんだけどさ。とりあえず行きたい所があんだよ。ワリーけど、車貸してくれねーか？
阿笠,あ、ああ。構わんよ。コレが鍵じゃ
新一,ありがとう。そんなにはかからねーからさ
哀,ごめんなさい、来たばかりなのに
阿笠,何、構わんよ。気を付けての
哀,ええ。ありがとう
新一,あ、博士！
阿笠,ん？
新一,今の内に、見られちゃマズイもん隠しとけよ
阿笠,恩に切るぞ、新一
哀,......何してるの？
新一,あ、ワリー。行こうぜ。しっかし、新車も結局同じビートル買い直すとは。好きだねぇ、博士も
哀,博士にとっても思い入れがあるのよ。きっと
新一,っし、久々運転だからゆっくり行くぜ
哀,ええ。ごめんなさい。運転させちゃって
新一,気にすんなよ、ちょっと怖いけどな。事故んの
哀,それは勘弁ね。......ごめんなさい。ワガママ言って
新一,ワガママ？
哀,だって、これから行く所はあなたにも辛い思い出の場所なのよ？。お姉ちゃんが亡くなった、あの場所......。行きたくないと言われても仕方無い場所なのに。あなたを......
新一,気にすんなよ。俺も、1度行っておきたかったんだ。俺がコナンになったあの場所に
哀,え？
新一,薬を飲んで、身体が縮んだのはあの遊園地だった。だけど、あの時点では俺は新一のつもりだった。ガキの身体なんて冗談じゃねー。早く戻りてー。それだけだった。だけど......。あそこで哀のお姉さんを、宮野明美さんを助けられなかった時。俺は誓った。こんな不幸をばら撒いている組織ってヤツを叩き潰してやるって。ガキの身体が恥ずかしかろうが、いくら時間がかかろうが必ずヤツらをぶっ潰してあの人の無念を晴らそうってな。こう言う言い方をしたら哀には非常に失礼な言い方かも知れないけど、あの時。あの人が命と引き換えに俺をコナンにしてくれた。組織を潰す精神力を与えてくれたんだよ。だから......。俺もあの場所であの人にお別れを言いたいんだ。お礼も言いたいんだ。そして、コナンだった自分にも。別れを言いたいんだ
哀,いっちゃん......
新一,さっき哀はごめんなさいと言ったが、謝るのは俺の方だ。俺はあの時、あの人を救えたはずなのに。俺の無力さから、あの人を死なせてしまった。謝っても済む話じゃないが、本当に......。本当に済まない。許してくれ、哀
哀,いいえ。あなたのせいじゃない。謝る事なんて無いわ。勿論、悲しかったわ。お姉ちゃんが亡くなったのは。でも、それであなたを恨む事なんて無い。陳腐な言い方だけど、運命だったのよ
新一,哀......
哀,......あなたは、私を守り組織を倒してくれた。それだけで十分よ。きっとお姉ちゃんもそう思ってる
新一,......ありがとう。よし。着いたな
哀,お疲れさま。ありがとう
新一,良いって。それより、大丈夫か？
哀,うん。大丈夫......
新一,無理すんなよ？キツかったら引き返すからな？
哀,大丈夫よ。あなたがいるから
新一,......分かった。じゃ、行こう。手を
哀,ええ
新一,......あの辺りだ
哀,あそこが......
新一,......この辺りで彼女は、俺に組織の僅かな手掛かりを遺して逝ったよ。ホンの僅か早ければ、助けられたかも知れないのにな
哀,いっちゃん......。......私からお別れを言って良い？
新一,勿論だ
哀,お姉ちゃん、聞こえる？私もすっかり大人になっちゃったよ。今もし会えたら、私だって分からないかもね。あれから、色々あったけどなんとか生きてこれたわ。隣にいる人、誰だか分かる？工藤新一って言うの。お姉ちゃんを最後に助けてくれた人だよ。今は私の旦那さんなの。びっくりするでしょ？
新一,哀……
哀,……知ってるよね。お墓参りでは挨拶してるから。でも、どうしてもこの場所で伝えたい事があったの。彼が、お姉ちゃんの望みを叶えてくれた。私を組織から開放してくれた。組織を倒してくれた。そして、私を幸せにしてくれた。お姉ちゃんが心配してた事、全部彼が解決してくれたの。本当に彼には感謝してる。だから、もうお姉ちゃんは心配しないで大丈夫だよ。彼とだったら、何があっても生きていけると思う。……ずっと、お姉ちゃんを想って来たよ。だけど、いつからかそれを弱さに転嫁してしまった気がする。だから、ここで思い出とはサヨナラする。お姉ちゃんの事は忘れない。でも、悲しい思い出はここに置いていこうと思う。ありがとう、お姉ちゃん。大好き……。だよ。今でも……。ありがとう……
新一,……大丈夫か？
哀,うん……。うん……
新一,落ち着いたか……？
哀,ええ。ありがとう
新一,良かった。俺からも……。挨拶していいか？
哀,ええ、勿論
新一,お久し振りです。あの時とは姿が違うから、分からないかも知れませんが......。......あの時、あなたを救えなかった事を。俺は1度も忘れた事はありません。今も、高校生探偵と呼ばれて遊び半分で事件に首を突っ込んでいた自分の未熟さを悔やんでます。組織には、確かにケリを着けた。だけど、あなたを救えなかった事がそれでチャラに出来るとはとても思えない。でも、そんなダメな俺ですけど。その俺の傍には今あなたの妹さんがいる。まだまだ未熟な俺だけど、必ず彼女を幸せにする様に頑張ります。それが、俺があなたに出来る唯一の事だと思うから。心配は尽きないと思うけど、どうか見守っていて下さい。お願いします。あの時の事は忘れません。でも、俺も悲しい気持ちはここに置いて行こうと思います。本当に、ありがとうございました。あなたがくれた闘志は、一生大切にしていきます。どうか、安らかに......。お休み下さい
哀,......ありがとう
新一,え？
哀,きっと喜んでるわ。お姉ちゃん
新一,そうかな
哀,きっと、そうよ。......ありがとう、行きましょうか
新一,ああ。そうだな。少しは、気持ち楽になれたか？
哀,ええ。あなたは？
新一,まあ、少しは、な
哀,きっと......。今は無理でも、納得出来る日が来るわ。その時まで、頑張りましょう。一緒に
新一,ああ、そうだな......。良し、行くか！
哀,ええ。......！！
新一,どうした？
哀,......いえ、何でもないわ。......またね
阿笠,おお、2人共戻ったか
哀,ええ。車ありがとう
阿笠,何。気にせんで良い。それより、用事は済んだかの？
新一,とりあえず、1つはな
阿笠,ふむ。で、今後の予定は？
哀,ええ。事前に連絡した通り、会いたい人がいるの
新一,俺は蘭に
哀,私は吉田さんに。会いたいの。どうしても
阿笠,うむ。本当に良いのじゃな？
哀,ええ。覚悟はしているわ
阿笠,うむ......。分かった。その顔を見る限り、決意は固い様じゃな
新一,ああ
阿笠,分かった。しかし、複雑ではある。君達も、蘭君も、探偵団の子達も、実の子がいないワシにとっては子供同然。その子供達が傷付くかも知れんとなると、な
哀,ごめんなさい、博士......
阿笠,誤解せんでくれ。君達の選択を責めている訳では無いんじゃ。皆それぞれに選択がある。ワシはそれについては何も言わん。ただ、みんなにはどれ程矛盾を孕むとしても幸せになって貰いたい。そう思っておる事は、忘れんでくれ
哀,ええ......。分かったわ
阿笠,そう暗い顔をするでない。ワシは信じとるよ。君達は必ず望んだ道へ進めるとな
新一,ありがとよ、博士
阿笠,んん。話が逸れてしまったの。事前に話は聞いてあったから、歩美君達の動向は調べておいたわい
哀,本当？
阿笠,うむ。探偵団の子達とはまだ交流があるしな。尤も、知っての通り歩美君は芸能活動をしておるし、学校もバラバラじゃから3人で来る事は無いがの
新一,そうなのか。ちなみに、光彦と元太は何してんだ？
阿笠,ああ、元太君はあれから体格がますます良くなってな。今は柔道部のエースじゃよ
新一,成る程。これ以上無い位にピッタリかもな
哀,円谷君は？
阿笠,彼は進学校に通っててな。将来は官僚を目指すそうじゃ
哀,こちらもまた、らしい進路ね
阿笠,まあ、2人共に元気でやっているわい。彼女が出来たと2人とも喜んでおったしな
新一,歩美の事は、諦めたんだな
哀,あの子達にもあの子達の選択があるのよ。仕方無いわ
阿笠,まあ、男子諸君はワシを気遣って来てくれる訳なんじゃが。歩美君の場合は、やはり君達の事が良く話に出るわい。連絡は無いか、良く聞きに来とった
哀,そう......
阿笠,で、その歩美君じゃが。明日はオフらしいんじゃ。住所も変わっとらんし、オフの日はほぼ家にいると言っておったからの。明日なら恐らく会えるハズじゃ
新一,そっか。歩美から聞いたのか？明日は休みだって
阿笠,いや、事務所のパソコンをハッキングしてな
哀,わ、分かったわ。明日ならチャンスがあるのね
阿笠,うむ。ちなみに蘭君は今出張で帰りはもう少しかかる。行くなら、歩美君からがベストじゃろうな
新一,出張って、それもハッキングして調べたのかよ？
阿笠,いや、先日たまたま毛利ご夫妻に会ってな。その時に聞いたんじゃ
哀,毛利......。ご夫妻？
阿笠,おお、そうか。知らなかったんじゃな。ホレ、新一がいなくなったので眠りの小五郎が出来なくなったじゃろ？
新一,まあ、眠らせるコナンが消えたんだから当然だわな
阿笠,で、それから依頼は激減。彼は酷く落ち込んだそうじゃ。それを奥さんが見かねて励ましておる内に、夫婦仲も回復してな。今は一緒に暮らしておるよ。蘭君も含めて3人で仲良くな
新一,そうか。原因が俺にあるだけに、喜んで良いのか複雑だよ
阿笠,まあ、人生万事塞翁が馬。どう転ぶか分からんもんじゃよ。毛利ご夫妻は今は幸せにしとるし、気に病むでない
新一,ああ......。分かった
阿笠,で、話によれば蘭君の帰りは明後日だそうじゃ。そこに狙いをつけると良かろう
新一,分かった。じゃあ明日は歩美の所だな。あ、もうこんな時間かよ？とりあえず飯にしようぜ
阿笠,そうじゃな。久々の再会を祝して、出前でもパーッと豪勢にやるかの！
哀,ダメよ。私が作るわ。ここにいる間は博士のカロリー、徹底的に管理するわ。したがって、今日の食事もダイエット食よ
阿笠,トホホ、そりゃ無いじゃろ。哀君......
新一,いーじゃねーかよ、今日位は。こんだけ協力して貰ってんだし
哀,それはそれ、これはこれよ
阿笠,10年経っても、キツいのは変わらんなあ。哀君......
哀,きちんと私がいなくても節制してればこんな事はしないわよ。とりあえず今日はサラダうどんで我慢なさい
阿笠,はぁ、わかりました......
新一,そー言えば、10年って言やあ。博士、フサエさんとはどうなってんだよ？
阿笠,ドキッ
哀,そう言えば、イチョウの下で会って10年位になるわね。気になるわ
阿笠,ワ、ワシの事は良いじゃろう
新一,隠す事はねーだろ？
哀,私も興味深いわ
阿笠,い、いやあその......。実は、10年待たずしてまた会えてな。それ以来ちょくちょく会う様になったんじゃよ。ま、清いお付き合いとでも言おうかのう
新一,何だよ、良かったじゃねーか！
哀,ええ。素晴らしい事よ
阿笠,て、照れ臭いのう
哀,良いわ。仕方無い。その件に免じて、好きな物食べて良いわ
阿笠,ホントか哀君！
新一,話が分かるじゃねーか
哀,おめでたい事だもの。私達もお祝いしないとね。おはよう、いっちゃん。準備出来てる？
新一,ああ、OKだ
阿笠,2人とも、歩美君の住所は覚えとるかの？
哀,ええ。あそこは目立つから、多少町並みが変わっても分かるわ
阿笠,うむ、一応これを持っていきなさい
新一,追跡メガネじゃねーか。懐かしいな
