あと、オリキャラ注意報ですよー,◯・▽・◯
ジュリア,中坊だよ。まだガキかも知れねぇけど、ギターはオーナーに仕込まれたからなかなかのもんだと思うぜ
ギタリスト,あぁ、あのオーナーの推薦なら間違いはなさそうだ。期待してるよ
ジュリア,まぁ、たくさん言葉を並べるよりも聞いて貰った方が早いと思う。とりあえず、1曲弾いてみようか？
ギタリスト,そうだね。適当に何か弾いてみてよ。僕たちもそれに合わせるからさ。ジュリアちゃん？誰かときちんとセッションしたことある？
ジュリア,まともなセッションはしたことない。今のが初めてさ
ギタリスト,ジュリアちゃんのギターの腕は確かにスゴイよ。でも、少しエゴが強すぎる。俺たちはバンドなんだから、きちんと俺らの音を聞いて合わせて欲しい
ジュリア,わかった。合わせてみるから、もう一回やってくれ。...もう一回！もう一回だ！
ギタリスト,ジュリアちゃん、ゴメンね。俺たち、メジャーデビュー手前まで来てるんだ。だから、。ジュリアちゃんの腕なら他のバンドでも引く手数多だと思うよ。だから、
ジュリア,...わかったよ。あんたらの練習時間を無駄にして悪かった...
ギタリスト,こちらこそ頑張ってくれたのに申し訳ない。オーナーによろしく伝えてくれ
オーナー,あのさ、早くどいてくれねぇか？入れねーんだけど？
ジュリア,おわああああああああああああ！！！！！
オーナー,そんなにビックリすんなよ、こっちまでビビんだろ？ほら、とっとと入れ入れ。んで、ダメだったか？
ジュリア,あぁ、優しく丁寧に追い返されたよ。腕は確かだが、バンドでやるには足りないものが多すぎるみたいだ
オーナー,まぁ、バンドメンバーなんてもんは巡り合わせさ。1人1人くるくるまわりまわって、グニャグニャ形を変えながら続いてくもんさ。俺もここまでたくさんのバンドを組んだよ。長く続いたものもあれば、1日で解散しちまったバンドもある。いろんな奴がいろんな思いで音楽やってんだ。それにキョロキョロ振り回されたら、何もできなくなっちまう。お前はお前の信じることをやればいい。とりあえずは1人でやってみな。2、3曲いいのができたらステージにあげてやるからよ
ジュリア,よぉ、どうしたオーナー？機材の入れ替えでもしてんのか？
オーナー,よっ...よぉ、どした？
ジュリア,どうしたじゃねぇよ。曲ができたんだ！機材の入れ替えが終わったら聞いてくれよ
オーナー,お...おう...丁度いいから、今から聞いてやるよ。入りな
ジュリア,へへっ、どうだ？。なぁ、一体どうしたんだ？今日のあんた変だぜ。魂がすーっと抜けちまったようだ...で、あたしの曲どうだった？
オーナー,あぁ、いい曲だ。でも、そんな曲作るんじゃねぇ
ジュリア,おいおいオーナー、意味がわからないよ。もう少しわかりやすく説明してもらっていいか？
オーナー,おまえの歌はいい歌だ。おまえの叫びがズシンと俺の心に響いて来たよ。でもダメなんだ、それじゃダメなんだよ。おまえの叫びたいことをただ叫んでただけじゃ、この小さなライブハウスでしか通じねぇ。もっともっと上に行くには、それじゃダメなんだ。音楽ってのは商品なんだ。おまえの自分勝手な叫びは、100万人の心には響かねぇんだよ...
ジュリア,オーナー？ホントにどうしちまったんだ？あんたはそんなこと言う奴じゃないだろ？叫びこそが音楽だロックだって、あんたずっと言ってたじゃないか？
オーナー,もうやめてくれ、俺はもうここのオーナーじゃねぇ。ここのオーナーは他の奴に譲ったよ。俺は綺麗さっぱり音楽から足を洗って、田舎に帰ることにしたんだ。限界は前から感じてたんだよ。俺より下手な奴が、世の中のニーズって奴に合わせた曲を作ってドンドンドンドンこのライブハウスを出て行っちまう。自分勝手に叫びたいだけ叫ぶ歌はもう広い世界には響かない。世界は変わっちまったんだ。俺はそれに気がつきながらも、やっぱり自分勝手に叫ぶしかできなかった。悔しいよ！腹わたが煮えくり返って、頭がパンクしそうだ！でも、俺は生きて行かなきゃいけないんだ！自分勝手に届かない夢を追い続けるには、俺はたくさんのものを背負っちまった。だからよ...おまえは俺みたいになるな！上に行くために何をすればいいかキチンと考えて、自分を変えろ！俺の言ったことは全部忘れて、世界に耳を傾けろ！
ジュリア,なぁ、あたしはこれからどうすればいいと思う？。エゴで歌うな。100万人のために歌え...か...
？？？,あーすみません、少しお時間よろしいですか？。君は歌手になりたいんだよね？じゃあ、うちの事務所はどう？
ジュリア,いや、いきなり言われてもワカンねぇから、またの機会にしてくれ
？？？,オーケー分かったよ。近いうちにまた来るからじゃあね
ジュリア,あーあのさ、熱心にあたしの歌を聞いてくれてたようだったけど、あたしの歌を気に入ってくれたのか？
？？？,えぇ、あなたの歌。私はいいと思いました
ジュリア,いや、あんたは本当はあたしの歌はいいとは思っていないだろ？言いたいことがあるなら言ってくれ、それはあたしのためになるかもしれないから
？？？,そうね。飛び方は知っていてきちんと翼もあるのに、空を恐れて枝にしがみついている鳥。あなたの歌はそんなイメージだった
ジュリア,...聞いていいか？あんた何者だ...？
千早,私は如月千早。歌を歌っています
ジュリア,聞いて欲しいことがあるんだ！そこのファミレスまで来てくれないか？。そんな感じであたしはぐちゃぐちゃになっちまってさ、それをあんたに見透かされたってわけだ。前に進むしかないって分かってるし、壁があるならぶち壊せばいいって分かってる。でもさ、前ってどっちだか分かんなくなっちった、って感じだ
千早,ごめんなさい。私には、あなたの気持ちも、そのパンクロッカーの気持ちもわからない。私は100万人のために歌わない。自分1人のために歌う。それでもきっと最高の歌を歌いさえすれば、自ずと100万人は耳を傾けるはず
ジュリア,あんたサイコーだ！そうだな！そうだよな！。ところで聞いていいか？あんたはどこの事務所で歌ってるんだ？
千早,私は765プロに所属しているわ
ジュリア,サンキュー。これからよろしくな、チハ
千早,気づかれたようね。プロデューサーにあなたの歌を聞いてくるよう言われたの。ごめんなさい、騙すつもりはなかったのだけれど...
ジュリア,いや。謝る必要ないよ。ありがとな、あたしはまた突っ走れそうだ
千早,ところで、チハとは私のことかしら？
ジュリア,あぁ、これから長い付き合いになりそうだからな。ニックネームだよニックネーム
千早,なんだか犬のような名前ね。まぁ、なんでも、いいですけれど
ジュリア,おはようございまーす。すみませーん
？？？,はーい。少々お待ちください
事務員さん,はじめまして、えーっと、あなたは牛乳配達屋さん？うち、牛乳はとってなかった気がするんですけど...
ジュリア,いや、違うよ。あたしはこの事務所の人に誘われてここを訪ねたんだ
事務員さん,あぁ！プロデューサーさんが言ってた、新しいアイドル候補ってあなたのことね。待ってたわ、手続きをするから奥のソファーに座って
ジュリア,なぁ事務員さん、もう一回聞いていいかい？あたしは何の候補だって？
事務員さん,あたしは765プロの事務員の音無小鳥です。あのー、もしかして、プロデューサーさんからあんまりこの事務所については聞いてなかったりしちゃう？
ジュリア,あたしのことはジュリアって呼んでくれ。この事務所については...残念ながら何も聞いてない
小鳥,コンプライアンスの問題もあるから、あれほどスカウトの時はきちんと説明をしてくださいって言ったのに...。プロデューサーさんには私から、もう一度しっかり言っておくわ。ここはアイドル事務所で、あなたはアイドル候補生になります
ジュリア,アアアアアアアイドルって、あたしが？あたしがか？
小鳥,そういうことになっちゃうわね。どうする？今から契約の手続きをする必要があるんだけど、もう少し考える時間が欲しい？
ジュリア,いや、なんだ、取り乱してすまなかった。いいよ、やってやるよ。この事務所でお世話になります
小鳥,ありがとう！あなたみたいなカッコよくてカワイイアイドルがうちに来てくれて嬉しいわ...ピヨピヨピヨグフフフフ
ミリP,ただいま帰りましたー。ふー、疲れた疲れた
小鳥,お疲れ様ですプロデューサーさん。ジュリアちゃんが来てくれました。今、一通りの契約が終わりましたよ。うちのアイドル候補生になること、快諾してもらえました
ミリP,おー、早かったですね。やる気満々みたいで嬉しいです
小鳥,嬉しいですじゃないですよ！プロデューサーさん！あれほどスカウトのときにはきちんと説明をしてくださいって言ったのにピヨピヨピヨピヨ
ミリP,まぁまぁ、快諾してくれたなら結果オーライということで、ね？
小鳥,ね？じゃないですよ、まったくもう！この件、律子さんにも報告しておきますからね
ミリP,ごめんなさいごめんなさい本気で反省しますからそれだけは許してどうかご勘弁を。改めて、うちに来てくれてありがとう！俺は765プロシアタープロジェクト担当のプロデューサーだ
ジュリア,あたしはジュリア。まぁ、あたしとしては手違いでここに来るみたいなことになっちまったが、やると決めたらきちんとやるのがあたしのやり方だ。よろしくな
ミリP,手違いか...言い得て妙だな。まぁ、来てもらったからには、絶対に後悔はさせないから任せて欲しい。そうだな。まずは歓迎のしるしと説明不足だったお詫びとして、来て欲しいところがある。時間はある？
ジュリア,あぁ、構わないよ。どこに連れてってくれるんだ
ミリP,オッケー。早速出ようか。今から出れば、少し余裕を持って着くはずだ
ジュリア,今日、チハがライブすんのか？
ミリP,いや、正確には千早のライブじゃない。千早は前座だ。歌うのも2曲くらいだよ
ジュリア,チハ、そこにいるのか？
千早,...その声と呼び方は、ジュリア？
ジュリア,悪いな、準備の邪魔しちまって。あー、早速765プロでお世話になることにしたんだよ。今日はプロデューサーがチハの歌を聴かせいたいって連れて来てくれた
千早,そう。私のライブではないからこういう言い方はおかしいけれど、楽しんで行ってね
ミリP,悪い悪い、いやーライブハウスのオーナーがテンション高い人でさ。ずっと熱いロック談義を聞かされてたよ
ジュリア,あれ？チハはどうした？
ミリP,あぁ、千早は電車で直帰するってよ。で、どうだった？千早の歌は
ジュリア,スゲェと思ったよ。圧倒的に上手かったし、チハの時だけライブハウスが別世界みたいだった。だが、ワクワクしなかった。指が相棒のギターを探さなかった。別世界に連れてってもらったというより、連れて行かれてしまったみたいな感じかな
ミリP,ジュリア！今日からお前は千早とユニットを組んでもらう！。孤高の歌姫に孤高のパンクロッカー。アイドルと言うには少しベクトルの違うユニットだけど、その反作用がどう働くか見てみたいんだ！。俺のゴーストが囁くんだ。おまえらは絶対に良いユニットになるって。だからどうだ？騙されたと思ってやってみないか？
ジュリア,わかったよ。そこまで言うならやってやる。もう一度、騙されてやろうじゃねぇか
千早,今更自己紹介は不要だと思う。そうね、ユニットはあなたの演奏をベースに、私とあなたの歌を重ねる形になると思う。だから、まずあなたの歌を私に染み込ませたい。一曲演奏してもらってもいいかしら？。ありがとう。私、あなたの歌すごく好きなんだと思う。あなたの心の叫びが伝わってくるようで
ジュリア,どうだ？一昨日と比べて何か変わってるか？
千早,そうね。随分変わったと思う。飛び立つ空が見つかって翼を広げたよう。目指すべき地が明確に決まれば、もっと高く美しく飛べると思う
ジュリア,オーケー。それは嬉しい言葉だ。じゃあ、今の曲を二人でやってみよう。チハ？どうだった？あたしとのセッションは？
千早,そうね。うまく言葉にできないけれど、きっと今の私たちの相性は最悪ね
ジュリア,ならよかった。チハ、ユニットは解散だ
千早,えぇ、解散ね
ミリP,なに？解散したって？。ここじゃアレだな...屋上に来てくれるか？。で？何があった？
ジュリア,二人でセッションして、いろいろぶつけ合って、お互いに相性が最悪だと納得して笑顔で解散した
ミリP,セッションをしてみて、お互いを理解した...か。で、おまえは千早とやってみて、何を感じた？
ジュリア,例えるなら、鳥籠に放り込まれて、そこから必死に飛び立とうとしてガンガン檻にぶち当たり続ける鳥
ミリP,鳥籠の中の鳥か。そりゃあいい。で、おまえはユニットを解散してどうするつもりだ？
ジュリア,チハと喧嘩するために、一人で歌うよ。あたしはさ、燻っちまってたとき、チハの言葉にガソリンぶっかけられて炎がメラメラと燃えたんだ。そん時はすげぇやつだと思ったけど、分かったんだよ。さっき。あいつも同じだったんだって。ただ決定的に違ったのは、あたしは光を探して立ち止まったけれど、あいつは血が流れても歩き続けている。だからよ、今度はあたしの番だ。あたしがチハの心にガソリンぶっかけて、檻から引きずり出してやる。そう決めたんだ
ミリP,どうしてそこまで千早に肩入れする？
ジュリア,会って2日目だけどよ。多分あたしはチハのファンになった。だからムカつくんだ。檻から飛び出して自由になった本当のチハの歌が聴きたいって
ミリP,やっぱりお前らは最高のユニットだな
ジュリア,はぁ？意味わからねぇ。だからユニットは解散したって言ったろ？
ミリP,俺はさ、千早はずっと眠ってると思うんだ。遠すぎる夢を見続けて、現実から目をそらして、きちんと起きて生きているフリをする眠り姫。俺らにとって、夢ってそうじゃないだろ？目を見開いて、きちんと足元を見て、そしてしっかりと歩くための道標だ。おまえはきちんと目を開いている。時々曇った日も諦めて眠ることなく、きちんと足元を探して道標を探すことのできる奴だ。だからこそ、千早の眠りを覚まさせることができるのはジュリアしかいないと思った。おまえのその叫びで、千早を叩き起こしてやってくれ
女の子1,ねーねーおねーちゃんもアイドルでしょー？かわいいポーズしてー
女の子2,えーでもおねーちゃんかっこいいよー。カッコイイポーズのほうがいいよー
翼,わー、わたしもジュリアーノのかわいいポーズみたいみたい！
瑞希,私はカッコイイポーズが見て見たいです...ワクワク
ジュリア,だーかーらー。カワイイポーズもカッコイイポーズもやらねぇって！あたしはそういうの苦手なんだよ！
翼,キャー、ジュリーアーノが怒った逃げろー
女の子1、2,逃げろー
瑞希,逃げろー...シュタタタ
ジュリア,逃げても無駄だぜ！捕まえてやる
つばみずこども,キャー！！！！
男の子1,あー、オニだ！オニがおっかけてるぞ！
男の子2,かみもあかいしゼッタイおにだ！たいじしてやる！
ジュリア,ははははははあたしはロックの鬼だ！おまえらも蝋人形にしてやろうか？
男の子1、2,おわああああああ食べられるー逃げろー
ミリP,ジュリア、ステージの仕事があるんだけど受けてくれないか？。だが、ギターは禁止な。場所はデパートの屋上。3人組のユニットで、子供相手に楽しく盛り上げて、んで１曲歌を歌ってほしい。社長の懇意にしている方のオファーでな。ウチのペーペーの新人たちは多くがこの仕事をさせてもらっている。竜宮小町も昔やったことがあるんだ
ジュリア,オーケー、喜んでそのステージやるよ。で、あたしと組む2人は誰だ？
瑞希,初めてのユニットのレッスン、頑張るぞ...おーっ
ジュリア,おぅ、がんばろうな！
翼,おっはよーございまーす！
瑞希,おはようございます翼さん
ジュリア,おい翼。挨拶だけじゃなくて言うことがあるだろ？
翼,遅れてごめんなさい。でもねでもね、偶然見かけた喫茶店のパフェが美味しそうでね、どうしても食べたくなって。今度みんなで行こう！ね！だから、ね？
瑞希,では改めて、頑張るぞ...おー
つばじゅり,おー！！
ジュリア,もう一回、もう一回やらせてくれ
瑞希,ジュリアさん、頑張り過ぎは体に良くないです。まずは休みましょう...ふぅ
翼,ジュリアーノは頑張り屋さんだね。わたしは疲れたよー、うへー
ジュリア,2人は休んでてていいから、あたしのダンスをみて、気づいたことを言ってくれ。遠慮なく頼むよ
瑞希,ジュリアさん、大丈夫ですよ。可愛いです...
翼,ねぇねぇ、わたしは？わたしは？
瑞希,はい。めちゃめちゃ可愛いです...ブイ
翼,だよねだよねーえへへ
ジュリア,瑞希！おまえもチョー可愛いよ。衣装似合ってる
瑞希,ジュリアさんに言われると、なぜだか恥ずかしいです...テレテレ
翼,あー瑞希ちゃんだけずるいー！ジュリア―ノわたしにも可愛いって言って！ねぇ言って！
本番直前なのになんだろうこの緊張感のなさ。まぁ、でもこれがあたしたちらしいのかな。翼に,あーあ可愛い可愛いよ
ジュリア,うし！そろそろ本番だ！円陣でも組もうか！
とその瞬間、翼が飛び出した。フリにはないアドリブだ。あたしたちはそのアドリブに合わせて、翼が浮かないように後ろで支える。後方から見る翼のダンスは練習の時とまったく輝きが違っていた。体全体で,わたしを見て
翼,あー！やばい！楽しかった！すごい！
瑞希,わたしもすごく楽しかったです...イェイ
社長,やぁ、ジュリアくんか！いやーいい音が聞こえると思って来てみたら、君だったんだね
ジュリア,おはようございます。社長
社長,いやー構わないよ。ギター続けてくれたまえ。よければ聞かせてもらいたいのだが、いいかね？。いい曲だね。実にいい曲だ。若者らしい、まっすぐ夢をみるような
ジュリア,ありがとうございます
社長,私も負けていられないねハハハ
ジュリア,社長？聞いてもいいですか？
社長,私に答えれるものであれば、喜んで
ジュリア,ずっと見続けた夢が叶わないことがわかったら、人はどうするべきなんでしょうか？
社長,新しい夢をみればいい。新しくワクワクする方向に向かえばいい。夢見ることは生きることだと私は思っている。だから、生きている限り夢を見続けられるさ。おっと、そろそろ行かねばならん時間だ。ありがとう。話ができて、元気をもらえたよ
ジュリア,フェスの予選？
ミリP,あぁ、今度行われる大型フェスだ。あらゆるジャンルのアーティストを集めて、競争させようという試みだ。そこで新人賞が設けられているんだが、事前に決まっている出場アーティストだけで新人賞を決めてもおもしろくないということで、1組だけ予選通過者がフェスに参加できるようにしてるんだとよ。予選には各事務所から2組出せる。1組は千早に出てもらおうと思っている。とすれば、もう1組はジュリアに出てもらうしかないなと
ジュリア,あぁ、サイコーの話じゃないか。喧嘩の場所をどうしようかと考えてたところだ。喧嘩の勝者がでかいフェスに出られるなんて、願ってもない場所だ
ミリP,忘れてないか？他のアーティストもいるんだぞ。まぁ、自信があるのはいいことだが。まぁ、いいや。それじゃエントリーしとくな。予選は2週間後だ。それまで仕事は全部レッスンにしておくから、無理しすぎない程度に頑張ってくれ
千早,おはようございます
入ってきたのはユニットの元相方だった。あたしは,負けねぇぞ
ジュリア,おう！おはようございます！
千早,フェスの予選。あなたも参加すると聞いたわ
ジュリア,おう、負けねぇからな
千早,えぇ、私も負けるつもりはまったくないわ。お互い、ベストを尽くしましょう
ギタリスト,あれ？キミは？
ジュリア,あぁ、久しぶり
ギタリスト,君がここにいるってことは、フェスの予選に出るのか？
ジュリア,あぁ、ソロでエントリーしてるよ
ギタリスト,僕らは本戦に出ることが決まってるんだ。今日は予選の様子を見にきた。ジュリアちゃんの演奏を聴くのも楽しみだ
そうこうしてるとギタリストを呼ぶ声があり、,頑張ってね
ジュリア,よし！頑張るか！。どうやらこの予選はあたしたちの一騎打ちになりそうだな
千早,えぇ、どうやらそのようね
ジュリア,どっちが勝っても恨みっこなしだからな
千早,もちろん。互いに全力を出しあいましょう。凄かったわ、ジュリア。そして、楽しかった。私の負けよ
ジュリア,ありがとう。今回はあたしが勝ったけど、もうチハとは戦いたくないよ。次はどうなるかわからない
ミリP,予選通過おめでとう。やったな。社長も小鳥さんも喜んでたよ
ジュリア,あぁ、チハとの喧嘩に勝ったよ。チハが目を覚まして歩き出せるかどうかは、これからわかるか
プロデューサーは,そうだな、楽しみだ
ミリP,これが本戦の概要だ。ハコは3万人でTV中継もある。そうだな、軽く数百万の人がお前の歌を聞くぞ
ジュリア,うーん。数がデカすぎてわからないや。まぁ、あたしのやることはひとつ。叫びたいことを叫ぶだけさ
ミリP,確かにそりゃそうか。あ、曲はどうする？流星群でいくか？
ジュリア,いや、フェスまでは時間がある。新曲作って行こうと思う。ん？こんなに小さかったっけ？このライブハウス
ミリP,昨日はよく眠れたか？緊張で一睡もできなかったんじゃないか？
ジュリア,いや、寝つきは確かに悪かったな。緊張じゃなくて、ワクワクして、だけどな
ミリP,おまえ、あそこで歌ってたんだよな。それが3万人の前で歌うんだ。信じられないな
ジュリア,なんつーか、ありがとな。あんたとチハにこんな場所まで連れて来てもらった気がするよ
ミリP,いや、まだまだ通過点だ。おまえの目指す場所はもっと先だろ？
プロデューサー,んじゃ受付済ませとくから、関係者入口から一旦控え室に入っておいてくれ。そこからは地獄の挨拶回りだ
ミリP,ギター1本持とうか？重いだろ？
ジュリア,いや、大丈夫さ。こいつらはあたしが持っておきたいんだ
ギタリスト,おはよう！いや、予選すごかったね。如月さんもすごかったけど、ジュリアちゃんもホントすごかった
ジュリア,おはよう。で、ありがとう。今日はよろしくな
ギタリスト,ジュリアちゃんの演奏には驚いたよ。上手くなってたし、なにより曲が素敵だった。油断してたらやばいって、練習量を増やしたくらいだよ
ジュリア,そりゃ嬉しい言葉だ。あたしも仕上げて来たからよ、そのつもりでよろしくな
ミリP,ジュリア、おまえステージで使うギターはそれだけなんだろ？じゃあなんでもう1本ギター持ってくんだ？
スタッフ,あのー、お客さんとかお茶の間の集中が散るので、良ければ置いていってもらえれば
ジュリア,お願いだ。こいつと一緒に上がらせてくれ。大丈夫、あたしが歌い出せば聞いてる奴らの目はあたししか映らなくなるから
ミリP,おまえ以前千早がクレイジーだって言ってたな、安心しろ、おまえも同類だよ
ジュリア,は？あれ？ここは？
ミリP,は？何言ってんだおまえ？フェスは終わって、今車の中だ
ジュリア,新人賞！！！
ミリP,おまぇなぁ！いきなり叫ぶなよ！事故ったらどうすんだ！。おまえ、手元見てみろ手元。新人賞おめでとう！すげぇな快挙だぞこれ！。帰ったらパーティーだ。みんなお前の帰りを待ってるぞ。きっとお前の叫びは、100万人に届いたよ。そのトロフィーが、何よりの照明だ。さぁ、これからどうする？一つの目標を果たしたから、燃え尽きてもらってもこちらは困るぜ
ジュリア,新しい夢ならたくさんある。そこに向かって、同じように突っ走るだけさ。まぁまずは、事務所に帰ってご飯をお腹いっぱい食べたいかな
終わりだよ～,〇・▽・〇
