第１話,賢いあなたは大好きよ
小巻,し、仕方ないわね・・・！最近頑張ってるようだし今日は私が奢ってあげる！
織莉子,ありがとう。さて、本題に入ってもいいかしら
小巻,本題・・・？。連絡が付かなくなったって・・・
織莉子,暗殺された
小巻,あ、暗殺・・・！？
織莉子,グリーフシードの独占を狙った犯行、魔法少女に恨みを持つ者の私怨。動機ならいくらでも考えられるわ
小巻,冗談でしょ！？いくら相手が魔法少女だからって人殺しだなんて・・・！！
織莉子,あくまで私の推理を述べただけよ、詳しいことは何もわかってないの
小巻,そ、それを私に話すってことは・・・
織莉子,ええ、少数精鋭が望ましいの。ちょうど春休みだし協力してくれたら嬉しいわ
小巻,・・・。美国さん・・・、あなたって本当に腹立たしいわね！
織莉子,・・・やっぱり少し卑怯な言い方だったかしら？。・・・
小巻,だから素直に助けてください、お願いしますって言うなら、私はそれを信じてあげる
織莉子,・・・
小巻,いいわよ、頼まれてやるわ
ミチルはずっと蹲って、うわ言のように,ごめんなさい、ごめんなさい
ニコ,本当に一人でいくの？
他の魔法少女が介抱に来る度にぎこちない笑顔で,迷惑かけちゃって、ごめんね
ニコ,・・・わかった、じゃせめてこれ持っていって
カオル,これは？。おう、ありがとう！じゃー行ってくるよ！
そんな救いようのない魔法,マギカ
マツリ,・・・スズネちゃん、どうしたの？すごく悲しそうな顔してるよ
スズネ,夢を見たの
マツリ,夢・・・？
スズネ,私がツバキを殺しちゃう夢
マツリ,！！。それは・・・辛い夢だね
スズネ,ねぇ、マツリ・・・。もしそれが夢じゃなかったらどうする・・・？
そう時間が経たないうちに、スズネは,ツバキのような魔法少女になりたい
マツリ,大丈夫、もしスズネちゃんがツバキを殺したんだとしても。マツリはスズネちゃんに味方するよ
スズネ,どう、し、て・・・？。・・・。そっか。ありがとう、マツリ・・・！
マツリ,どういたしまして。落ち着いた？
スズネ,うん、ありがとう。情けない姿を見せちゃったね。・・・っ。受け取ってくれないかな
マツリ,スズネちゃん、これ・・・。ツバキの形見のお守りじゃ・・・！
スズネ,いいの、私にはもう必要がないから
マツリ,でも・・・
スズネ,マツリも要らないなら捨てちゃうけど？
マツリ,いやダメだよ！それはダメだよ！！
スズネ,あはは
マツリは,それを捨てるなんてとんでもない！
マツリ,もー・・・。わかったよ、マツリが使うよ
スズネ,それがいい、きっとマツリの方がよく似合うよ。ほらね、マツリの方が似合っている
マツリ,さっきまでのスズネちゃんと同じ髪型かー
スズネ,嫌？
マツリ,ううん、嬉しいよ。帰ろっか
スズネ,うん、またね
第３話,そんな世界の方がどうかしてるけどね
まどか,うへー、また勝っちゃった。ほむらちゃんすっごく強いね・・・
ほむら,ふっ、まどかのサポートがあってこその勝利よ
まどか,ほむらちゃんの対戦レートの数字が凄いことになってるんだけど・・・
ほむら,あら、私なんてまだまだ序の口よ？むしろ廃への道はここから先が厳しいのよね
まどか,成績落ちちゃうよ・・・？
ほむら,うぐっ・・・
まどか,ごめん・・・。見滝原は進んでるなぁ・・・
ほむら,まぁ、特別な例っていうのは悪い気はしないわね
まどか,えへへ・・・
ほむら,ゲームごときで偉ぶっているのがそんなに滑稽だったかしら？
まどか,うーうん、そうじゃなくてね。私、ほむらちゃんに会えて本当によかったって思えるんだ
ほむら,！
まどか,でも・・・転校してきた日に、ほむらちゃんが声を掛けてくれたんだ。最初はちょっと変な子だなぁって、思ったけど。私と友達になってくれて、ありがとう
ほむら,・・・。ふふふ・・・
まどか,？
ほむら,ありがとうは、私の方こそ・・・
潤んだ瞳を見たまどかが、,こんなことで泣いちゃうなんて、かわいい子だなぁ
まどか,そんなこと・・・。ほむらちゃん・・・。・・・
ほむら,！
まどか,えへへ、転校してきた日の仕返し
ほむら,まど、か・・・
まどか,じゃあ、これからいっぱい楽しい思い出を作ろう
ほむら,ええ、ええ・・・。ありがとう。私の最高の友達・・・！
終わりはお互いに、,もういいよね？
まどか,もう日暮れだし、帰ってもいいかな？
ほむら,そうね、引き止めてごめんなさい
まどか,えへへ、いいよ。せっかくの春休みなんだから。じゃあ、またね
ほむら,ええ、またね。さて、いつからそこにいたの？シイラ。そうやって天井からぶら下がるのはやめたら？
シイラ,うん？何か不都合でも？
ほむら,首が疲れるわ
シイラ,おっと、それは失礼。私は上から目線で人を見下すのが大好きなものでついね
ほむら,それで？オフの日に報告に来たってことは何かあるんでしょうね
シイラ,そりゃあるよ、私だって暇じゃないし
ほむら,そう、めんどうなものね。前の世界では魔法少女が4人消えたくらいじゃ、誰も騒ぎはしなかったのに。みんな・・・、自分のことで手一杯だったからかしらね。シイラ・・・あなたはどうしたいの？
シイラ,実はさぁ、もう完成してるんだよね、私のトバリ
ほむら,・・・
シイラ,頃合といえば頃合だ。私はそろそろ開戦したいかな？
ほむら,・・・、許可するわ
シイラ,わーい
カンナ,・・・わかった
華々莉,？。で、さぁ。カンナさん。ほむらさん何か他に言ってなかった？
カンナ,・・・。華々莉の妹も来ているけれど、まだ手は出すな、だとさ。いや・・・、それでも
華々莉,カンナさぁーん、どうしたの？あんまり冷たいとチューしちゃうよ？
カンナ,・・・
華々莉,痛ぁーい！なんてことするのよー！
カガリ,７分で支度しろ、今日中に見滝原に潜む全ての魔法少女を炙り出す
華々莉,はぁい♪
カンナ,じゃあ、いざ行こうか。全ての魔法少女を滅ぼす為に
第４話,全ての生きた証が、この世界を構成しているのです
シイラ,ダイジョーブですよー、アップルパイ好きですからねー
佐倉神父,ええ、是非にでも。平凡な子なので雅さんには退屈かもしれませんが
シイラ,ところで佐倉神父、魔法って信じますか？
佐倉神父,魔法・・・ですか？。・・・
シイラ,へー。なるほど、大人な考え方ですね
佐倉神父,ええ、大人ですから
シイラ,では一人一人の心に訴えかけ、世界を構成する全ての人間の心を変えてしまうことは・・・やっぱり理不尽なんですかね？
佐倉神父,それは・・・、魔法を使って人々の心を変えるということですか？
シイラ,それはやっぱり、今まで生きてきた方々の人生を否定するってことなのでしょうか？。あっはっはっはっ、そりゃそうですよね
佐倉神父,いえ、お疲れ様です。やはり雅さんのような方はお忙しいんですね。いえいえ、お力になれたようで何よりです
シイラ,さようなら、あなた自身とその愛する人に神のご加護を
佐倉神父,ええ、私もあなたの未来が幸多からんことを願っています
織莉子,さて、状況を整理しましょう
小巻,何がどうなっているのかしら・・・
カオル,カンナを追ってここに来たのに・・・。ここに敵はいったい何人いるんだ？
織莉子,１つずつ、説明していきます。えっと・・・牧さん？
カオル,カオルでいいよ、織莉子先輩
織莉子,カオルさん、少し不用心ではないかしら・・・？。もし・・・、その友達を人質に取られたらあなたはどうするのかしら？
カオル,裏切るよ、迷わず。その時は遠慮なく倒してくれて構わない
織莉子,わかりました
カオル,わかった。じゃあ私は、見滝原にいる間は可能な限り織莉子先輩の指示に従って動く・・・これでいいよな？
織莉子,はい、大変結構です。よろしくお願いします
小巻は,やれやれ
織莉子,さて・・・、日向さん。あなたの意見はまだ聞いていませんでした。あなたはどうしますか？
マツリ,あの、その・・・えっと、マツリは・・・
カオル,ていっ
織莉子,ひゃん！？
マツリ,！？。な、なっ・・・！？
織莉子,何するんですか！？。場を和ませるにしても・・・、他にも方法はなかったのかしら？
カオル,あー、ごめんごめん。あんまりいい身体なもんでつい、ね。えーっと、名前なんだっけ？
マツリ,あ・・・、えっと。日向茉莉ですっ！。は、はい・・・っ！
カオル,これでいいよね、織莉子先輩？
織莉子,そうですね・・・、もうそれでいいです
カガリ,私は日向華々莉、マツリのお姉ちゃんだよー
織莉子,え・・・？
カオル,な・・・！
小巻,！？
カガリ,仲良くしてね？
カオル,こいついつの間に・・・！というかマツリのお姉ちゃんってどういうことだ！？
マツリ,カガリ・・・っ！
小巻,いや、待って・・・。こいつ、いつからここにいたの！？
織莉子,・・・
マツリ,カガリ、どうして・・・！？
カガリ,そのどうして？は、何に対してのどうして？なのかな？
マツリ,・・・。どうして、何も言わずに出て行っちゃったの。お父さん、すごく心配してたよ・・・。・・・
カガリ,いいよ、意地悪しないで答えてあげる。私がここに来たのは復讐のためだよ、全ての魔法少女への
マツリ,復讐・・・！？
カガリ,そんなの簡単だよ、小巻ちゃん。自分の存在を大切にしなかった。これほどわかりやすい業はないでしょ？
織莉子,それでは、不十分ですか？
カガリ,うん！ぜーんぜん足りないっ！。だって大好きな人が死んじゃうことより大きな悲劇なんて、あるはずないでしょ
織莉子,不味い。彼女の心は・・・闇が深いどころじゃない
カガリ,ねー、みんな。この世界のこと、好き？魔法少女になったこと後悔してない？。答えてよ。ねー。ねー。ねぇー！！
カオル,そんなに魔法少女の悪いところばっかり言うなよ！！
小巻,道が１つしか残されてないなら！そこをとことん突っ走るしかないでしょう！！
織莉子,果たしてそれは責められるべきことなのかしら。自分のために生きて、自分のために死ぬ。人間らしくて、大変結構じゃないですか
マツリ,ねぇ、カガリ。こんなことやめて、一緒に家に帰ろうよ
カガリ,そっかぁー。じゃあ・・・
織莉子,！？
小巻,なっ・・・！？
織莉子,そんな馬鹿な！空間そのものを転移、いや・・・書き換えた！？
カオル,テレポーテーションとか幻覚とかじゃない！クソッ、これはいったい何なんだ！？
？？？,ぎゃはははははははははっ！
織莉子,あなたは・・・
小巻,優木・・・っ！！
沙々,可愛がってくれたお礼に魔獣の餌にしてあげますよー☆
マツリ,・・・っ！？。皆さん気を付けてください！ここは魔獣に包囲されてます！ものすごい数です！！
・魔法少女おりこ☆マギカ,別編。新約。新約
織莉子と同じ学校に通う中学３年生,来年度からは高校生
唯一,力尽きる日まで精一杯生きる
第５話,青い目のインキュベーター
さやか,あんたこそ、お菓子か何かで買収されないでよ
マミ,・・・
さやか,あー、実はそれに関してはアテがありまして・・・。ここは１つ、困ったときの神頼みでもしてみようかと
杏子,ふざけてんの？
さやか,言葉の綾だよ！ちょっとは汲み取ってよ！。カモン！キュゥべえ！！
？？？,僕のことをキュゥべえと呼ぶのはやめた方がいいよ、認識の混乱を招くからね
マミ,青い目の・・・インキュベーター・・・？
？？？,はじめまして、ぼくはインキュベーターにしてキュゥべえには非ず
カミ,カミオカンデ、神様がくれた名前だ。ぼくのことはこの名前で呼んでくれると嬉しいな。とりあえず場所を移そうか。ここだと、神様との謁見の場所としては少し狭い
杏子,よーするに、アンタは円環の理に干渉するために作られたインキュベーターだと
マミ,あなた達、あれで懲りてなかったのね・・・。そうね、きっとその通りよ
カミ,ありがとう、マミ。心があるというのは、インキュベーターにとっては皮肉でしかないけれどね
杏子,あんたにはソウルジェムと似たものが入っているって言ったよな、つまり・・・
カミ,着いたよ、ここからは君たち自身の言葉で語り合うといい
織莉子,マツリさん、あなたは探知系の魔法が使えますか！？
マツリ,え、えっと・・・！はい！！
織莉子,大体でいい、大きい魔獣の数を今すぐ教えてください！
マツリ,・・・15です！
織莉子,超大型の魔獣も一体確認できる、私たちの力が平均的な魔法少女だとするならば・・・。彼我の戦力差、およそ５：１といったところかしらね。優木沙々。彼女の得意とする魔法は支配だから、おそらくこの魔獣の群れを操っているのは彼女・・・。最も勝算の高い作戦は、真っ先に優木さんを倒し、魔獣の群れの指揮を崩すこと。全く勝ち目がない戦い、というわけではないようね
小巻,了解！
カオル,オッケー！
マツリ,は、はいっ！
織莉子,絶対にこの列からは逸れないでください、一人でも脱落すれば私たちの負けです
小巻,言われるまでもないわよ！
マツリ,はいっ！
カオル,私には何かないのか？織莉子先輩
織莉子,あなたの重要性は低いです。なので私たちの誰かが負けそうになったら遠慮なく飛び出してください
カオル,わかりやすくて素敵だね
織莉子,では突撃！！
椿,そうですか・・・。華々莉、茉莉。あなた達も魔法少女の素質を持っているのですね
茉莉,椿、私も魔法少女になれるかな！？
椿,茉莉、キュゥべえの話を聞いていなかったのですか・・・？
茉莉,聞いてたよ！みんなを苦しめる魔獣と戦うんだよね！
椿,そうですね。そして、戦うのをやめた魔法少女は消滅してしまいます
茉莉,・・・。でも・・・
椿,大丈夫ですよ、華々莉。私にはこの子がいますから。約束してね。華々莉、茉莉。私のことを好きでいてくれるなら、魔法少女にはならないで
華々莉,悔しいな、私じゃ駄目だったんだ・・・。じゃあ・・・、私たちが魔法少女にならなくても、椿は私たちの友達でいてくれるよね？
椿,もちろんです
カガリ,楽しみだな、マツリはどんな顔で死ぬんだろう
カンナ,Damnふざけやがって
コネクト,観察魔法
ほむら,ああカンナ、いらっしゃい。今はちょっと手が離せないから楽にしていていいわ
カンナ,・・・神になった気分はどうだ？ミセス・ルシファー
ほむら,思ったより大したことないわね、なんだ、こんなものかって感じよ。・・・
カンナ,結構、調子に乗っているみたいだな
ほむら,あらお優しい。そういう気遣いができるから、あなたは悪魔の中で一番好きよ
第６話,箱庭利権の宙ぶらりん
カンナ,日本生まれの日本育ちなんだがね、まぁコーラでいいが
ほむら,・・・
カンナ,ハリーハリー・・・。早く本題に入れよ、お前と長く話していると頭がおかしくなりそうだ
ほむら,やれやれ容赦がないわ、少しカッコつけるとすぐこれだもの。現在、見滝原には3種類の魔法少女がいる。１つは私たち、悪魔に変異した魔法少女。2つ目は、この世界に生まれ、この世界でインキュベーターと契約を交わした普通の魔法少女。そして３つ目は・・・。円環の落とし子よ
カンナ,円環の落とし子？。Waitちょっと待て
ほむら,彼女たちの場合は、混乱に乗じて円環の理から脱獄したと言った方が適切でしょうね
カンナ,なるほど、まさに予測不能のイレギュラーだな
ほむら,さて、本題よ。カンナ、あなたには円環の落とし子の方を探し出して、狩ってもらいたい。引き受けてくれるかしら？
カンナ,・・・。OK、引き受けよう
ほむら,あらまぁ、いい子ね。もっと色々要求されるのかと思っていたのに。ありがとう、それともう１つ。ルシファーはやめてもらえないかしら？しっくり来すぎて縁起が悪いわ
カンナ,ぐっ・・・！完全に気づかれた！！
？？？,あっはぁーーーー！！みぃーーーつけたっ！！
カンナ,ガッデム・・・！なんてことしやがる、人間だったら即死だったぞ！！
？？？,？
仮面の魔法少女は,何を言っているのかわからない
？？？,当たり前じゃん、殺す気でやったんだもん
カンナ,せめて確認ぐらいしろよ！戦争でもしている気か！？
？？？,・・・。あぁ！そっか！ごめんごめん。戦争してないんだね、この時代は！
カンナ,ジーザスッ！どいつもこいつも・・・！！
猫の仮面,ああ、よかった。まだ終わっていないみたいですね。大丈夫ですよ。その時はこのミヌゥが、宇宙の終焉まで戦いに付き合って差し上げますので
カンナ,なんなんだよ、こいつら。どいつもこいつもキャラ濃すぎるだろ・・・っ！！
兎の仮面,長女・ラピヌ！
鴉の仮面,次女・コルボー！
猫の仮面,末妹・ミヌゥ！
コルボー,3人合わせて、トロア・ソルシエール！
ミヌゥ,生まれは15世紀、所属はイングランド軍ですわ
ラピヌ,よろしくねー、未来人さん！
カンナ,そうですか、すごいですね。私は聖カンナ、現代っ子の悪魔法少女だ！。よろしくだよ、ソルシエールのヒッピー共！。トバリ、ヒアデス星雲！！
コルボー,てんで期待外れだな。悪魔ってこんなもんなのか？
カンナ,３対１で嬲っておきながら何を偉そうに・・・！！
コルボー,首ごとな！！
カンナ,Fuckyou・・・、呪われろクズども。バカ、な・・・。なぜ、なぜお前がここにいるんだ・・・。かずみ・・・！！
コルボー,魔女の力・・・、なるほどお仲間か。だけどこれは何のマネだ？
かずみ,黙れっ！友だちを助けるのに、敵も味方もあるもんか！。ぐぅ・・・！。っ！？。・・・
コルボー,！。ぐっ！ふざけた魔法を・・・！
カンナ,かずみ、お前・・・どうして・・・？
かずみ,チャオ！カンナ、久しぶり！。だから寄って集って私の友だちを虐めた、性格が悪そうなアンタ達を今からやっつける！。OK？
聖女,ラ・ピュセル
ラピヌ,しょーがないなー。じゃー大将首のほむらってやつは私のねー♪
コルボー,ヒーーーッハハハハハハハッ！！愛してるぜお姉さま方ァ！！
かずみ,私の名前はかずみ！プレイアデス聖団の一番星っ！！
コルボー,かずみ・・・、一かず。権謀術数渦巻く15世紀のヨーロッパは・・・、間違いなく魔女の黄金世代だぜ？
さやか,えーっと、あー・・・。色々言いたいことあるけど・・・
円環の理,大丈夫だよ、私はさやかちゃんを責めないから
さやか,・・・。さすが女神さまだ、お優しいね・・・。・・・。あたしは最初から・・・、期待なんてされてなかったの？。あんな奴があたしたちと同じ魔法少女だっての！？
円環の理,そうだよ、違いなんてどこにもない
さやか,・・・。敵わないなぁ、もう・・・
マミ,選ばなかった部分？
円環の理,うん。ほむらちゃんは魔法少女になる前の鹿目まどかの人格だけを選んで引き裂いたの
マミ,まるでSFみたいな話ね、記憶の欠片を繋ぎ合わせて心を作るだなんて・・・
円環の理,ごめんなさい。私は受け入れることしかできないの
杏子,そっか。当てが外れたな。女神様なら悪魔なんて、指先一つで消し飛ばしてくれるのかと思ってたけど
さやか,あああああああああっ！もうっ！！
杏子,なにしてんだ！？
マミ,美樹さん！？
さやか,絶望だけじゃなくて、希望まで押し付けようとしてたのか！あたしは！！。戦わなきゃ！どうにかしてあの悪魔を倒さなきゃ！！
杏子,無茶言うなよ、ただの人間になったあたし等でどう戦えって言うんだよ・・・
マミ,美樹さん、勇気と無謀は違うのよ
円環の理,流石にそれは第三者として止めざるを得ないよ
カミ,非合理的だ、君一人でやってくれ
さやか,なんなんだよ、みんなしてぇーーーっ！！。ああん！？お前もかっ、お前もあたしを馬鹿にするのかァーーー！！。・・・えっ？。お、お前・・・っ！
ほむら,私よ
沙々,さーっすが織莉子さん、集団戦というものをよくわかってますねー。くふっ、くふふふふっ！
第７話,魔法少女向いてないんじゃないですか？
小巻,優木ぃ！！。っ！。こ、のっ！！
沙々,ほうら、お優しい。小巻さん、アンタ魔法少女向いてないんじゃないですか？
織莉子,捕らえました！
沙々,はい、ドブン。捕まったのはテメーらの方だよ！
マツリ,あっ・・・！！
カオル,全員、伏せろ！！。パラ・ディ・キャノーネ！。イエスッ、ナイッシュ！。うっぷ・・・、よしっ。やっと超大型の魔獣を倒したぞ・・・！
マツリ,でも魔獣の数はほとんど減っていません！早く織莉子さんのところに行かなきゃ・・・！
カオル,いや、待って。どうやら向こうも勝負がついているみたいだ
小巻,優木のやつ・・・、こんなに強かったの！？
沙々,う、ぐ、ぐ・・・！
織莉子,終わりです、優木さん
沙々,なんでだよぉ・・・なんでっ！。なんで私が素直になると、みんな寄って集って袋叩きにするんだよ！！。私だけが間違っているのか！私だけが発言権がないのか！私だけ魔法を使っちゃいけないのか！。私だけ何も支配する権利がないんですかぁ！？
小巻,・・・
カオル,織莉子先輩、これ
織莉子,これは・・・
カオル,多分あいつのソウルジェムだよ、一番強い魔獣の体内に隠してあった
織莉子,酷い濁り方、ですね・・・
カオル,どーすんの？魔獣はたくさん倒したから、グリーフキューブは十分にあるけど
織莉子,・・・。助ける理由は、ありませんね
カオル,・・・見殺しにすんの？
織莉子,介錯です。あの様子ではどの道、優木さんはもう・・・
小巻,こいつ・・・！
沙々,どーします！こんなクズは円環の理に導かれる前にソウルジェムを砕いちゃいますか！？
織莉子,・・・
沙々,お優しい！だが、甘ぇよ！！
織莉子,がっ・・・！？
マツリ,あ、あれ・・・？
沙々,くふっ、くふふふふ！くははははははははははっ！！。これで終わりだ、何もかも！！
織莉子,まずい！
小巻,私の防壁魔法で防ぎきれるのか・・・！この数っ！！
沙々,無理無理無理のカタツムリィ！みんな死ねぇっ！！。え？あ、あれっ・・・？
カオル,何が起こった！？クソッ、動けない！！
織莉子,こ、これは・・・！なんて不吉な予兆なの！？
マツリ,ひっ！！
？？？,そう生き急ぐもんじゃないよ、沙々ちゃん
マツリ,な、なに・・・！沙々さんともカガリとも違う！！。あの人の心、怖いっ！！
シイラ,命は投げ捨てるものじゃないぜ
コルボー,ちっ・・・！。ぐっ・・・！。クソッ！速すぎるし、力が強すぎる！！。だがな、それならそれで幾らでもやりようがあるんだよ！
かずみ,じゃあ、なんでわざわざ手袋を外したの？
コルボー,・・・。気づいているのか。オツムが足りなさそうな顔なのに、頭の方もよく回るもんだ
かずみ,あ・・・、気が付いた？。ごめんね、カンナ。あんなにカッコよく登場したのに、もう勝ち目ないっぽい。でも、安心して。どうにかカンナが逃げ出せる隙ぐらいは作って見せるから
カンナ,なんで・・・。なんでだ、なんでだ、どうしてだ！？。無理だよやめろよ！何やってるんだよ、かずみ！
まるで,続けろ
カンナ,呼んだ・・・？何を言っているんだ、私がいつ助けてくれと頼んだ？
かずみ,でもね。精一杯ずっと生き続けて、最期に円環の理に導かれて、やっと答えが見つかった。私は今度こそ友達を守って見せる！
カンナ,なんで・・・。なんで・・・
かずみ,待たせてごめんね、コルボー
コルボー,構わないさ、こういうの大好きだからな
かずみ,じゃ、やろうか。たぶん、次で最後！
コルボー,Mortemautemheros
かずみ,届け！スカーラ・ア・パラディーゾ！！
第８話,多分、それでいいんじゃないかな
かずみ,チャオチャオ、15秒後にまた会いましょう
コルボー,なんだ、上へ・・・？。まさか、逃げられたのか！？。・・・。まさか！！。ククク、ヒヒヒ・・・ハハハッ！
かずみ,！？
コルボー,Salveご愁傷
かずみ,・・・っ！
コルボー,Vale,amorinpopulum！さようなら、愛しい人よ！
かずみ,・・・っ！！
カンナ,かずみ！かずみぃ！！
ミヌゥ,勝負あり、ですわね。ああなったらもう魔法少女でも助かりません
カンナ,お前っ、お前っ！！この人殺しがああああああ！！
コルボー,ああ、そうさ！かずみは死ぬ、私が殺した！！。まぁ、それでも死ぬのは時間の問題か。むしろ苦しみが長続きするなんて酷い皮肉だなぁ、オイ？。お陰で私は、少しだけ長く勝利の余韻に浸れそうだな
かずみ,・・・
コルボー,あ？なんだって？
かずみ,まだ、勝ったと思うなよ・・・っ！
ミヌゥ,コルボー！後ろっ！！
コルボー,！？。なっ・・・、！？。お、お前・・・、エニシか！？これはいったい何の真似だ！？。まさか・・・！
ラピヌ,ちょ、ちょっとー！エニシが来るなんて聞いてないよぉー！
ミヌゥ,・・・
エニシ,変身を解いてください。ですが。これは誰がどう見てもやりすぎですよね？。ここは止めないわけにはいきません
コルボー,こんな非常時に面子や体裁を守ろうってのか！？
エニシ,こんな時だからこそ、ですよ。こんな時にこそ本質が浮き彫りになるんです。守るべき世界を焼け野原にしてまで勝利することは、コトワリ様の望むところではありません
コルボー,・・・っ！
エニシ,ですから。これは命令ではなくお願いです
ミヌゥ,当面の敵は暁美ほむらではなかったのですか？
エニシ,お願いです、かずみさんとカンナさんを見逃してください。ダメですか・・・？
ミヌゥ,潮時、ですかね・・・
コルボー,この屈辱は・・・、またの機会に晴らしてやる
ミヌゥ,わかりました、ここは退きます
エニシ,ありがとうございます
ラピヌ,あーんっ！ミヌゥがぶったーーーーっ！！
エニシが,積もる話は後に
かずみ,ははは・・・。ありがとう、手間かけさせちゃってごめんね
カンナ,誰なんだよ・・・！お前、一体何なんだよ！。答えになってない・・・！
かずみ,大丈夫だよ、カンナ。エニシは味方じゃないけど敵でもないから。これからいったい何が起こるのかな？
エニシ,ごめんなさい、言えません。一応、かずみさんは裏切り者ということになっていますので
かずみ,そっか
エニシ,だいぶ良くなったようですね。では、これにて失礼させていただきます
かずみ,チャオ、ありがとう。あーよかった、本当に死ぬかと思ったよ
カンナ,・・・。なんだったんだろうな、私は。ははは・・・。なんて様だろう、またあいつらが来たらどうするつもりなんだ。そういえば、ほむらが狩れと言っていた円環の落とし子には、かずみも含まれているんだったな。かずみ、かずみ
かずみ,んお？
カンナ,答えが見つかったって言ってただろう
かずみ,答え？
カンナ,ツクリモノの命である自分が生きる意味が見つかったって
かずみ,うん、言ってた
カンナ,教えてくれよ。その答えって、いったい何なんだ？
かずみ,ああ、あれはね。そこまで大した理屈じゃないよ。望まれなくても、失敗作でも、代替品でも。私たちはきっと生きているから生きている。多分、それでいいんじゃないかな
カンナ,なんだそりゃ・・・。でも、そうなのかもな・・・。難しく考えて悩んでいるより、それくらいわかりやすい方がよほどいい
