サン,はあ！？
ア,カヤ！
カ,……
サ,(こっちを見た？)
カ,……兄様、私があげた玉の小刀……。彼女にあげたんですね
ア,え、あ、ああ……。それは……
カ,……いいんですよ、それよりほらはやく兄様
ア,？
カ,ナデナデ、していいんですよ？
サ,(こっ、こいつ……私を見てる……？)。(わざと見せびらかす気か……！)
ア,あ、ああ……
サ,(アシタカ……)
カ,んっ……
ア,……。……
カ,兄様？
ア,あっ、ああ、いや……ありがとうカヤ
カ,ふふ……補充できました？
ア,ああ……
サ,(アシタカ……)
カ,(こんなどこの馬の骨ともわからない女に、兄様を渡すもんですか)
ア,……だが……
サ,え？
カ,！？
ア,確かに妹力は補充できた……。だが……何か足りない。何か違うんだ
カ,そんな……何が違うっていうの、兄様！
ゴ,諦めるんだな、嬢ちゃん
カ,！？
ゴ,今の奴に足りないのは妹力じゃなかったんだよ
エ,どういう意味だ？
ト,……わかる気がするよ
ヒ,そう、今アシタカに必要なのは……
ゴ･ト･ヒ,愛力だ
カ,ま……愛力……！？。そんな……
サ,ア、アシタカ……
ア,サン、さっきはすまなかった。だから、頼む。ナデナデ……させてくれ
サ,……。…………仕方ないな……
ア,本当か、サン！。ナデナデされて、お兄ちゃんと呼んでくれるか！
サ,うっ……わ、わかった！。ナデナデもお兄ちゃんも言ってやる！ただし……
ア,ただし……？
サ,……もうこれからは私以外の人間をナデナデするんじゃないぞ！
ア,サン……。……ありがとう
サ,うっ、うるさい！バカ……
カ,くっ！私の妹力が負けるなんて……！
ゴ,愛力の前ではなにも敵わんさ
モ,ふっ……あの小僧……
ア,なら、さっそく……
サ,んっ……。……お兄ちゃん
ア,どうした、サン？
サ,……好き
ア,……ああ、私もだ
