※このSSは原作ゲームの,永遠に
解説,というか、普通に喋ればいいだろ…
言葉,だったら…私はこれからどうすればいいのですか…？
主審,…！
言葉,動け、ってことですか…？
主審,…。
言葉,えっ…？
実況,おっと、ここで主審からスニーカーを差し出されましたが…これは素足でのプレーが危険だからという解釈で良いのでしょうか？
解説,ええ、素足では思い切りのいい走りが出来ませんからね。
言葉,…。
第4審判,……。
言葉,とりあえず、一旦家に戻ったほうが良いのかな…？
実況,うーん、どうやら当の本人はまだ困惑した様子を隠せませんね？
解説,まあ当然でしょう。ここは諦めず前向きに過ごしてほしいですね。
言葉,ただいま…
審判団,……。
実況,さて、桂選手が自宅まで戻ってきましたが…どうもここまで足取りが重い感じが否めませんね？
解説,桂選手にとってこの与えられた時間は逆に酷なのかもしれませんね。
主審,…。
副審1,…。
副審2,…。
第4審判,…。
言葉,あの…貴方達も家までついてくるのですか…？
主審,……。
心,お帰り、お姉ちゃん！お父さんとお母さんは帰り結構遅くなるって聞いてるよ？
言葉,うん、わかったわ…私、先に風呂入ってくるね…
主審,…。
副審1,…。
副審2,…。
第4審判,…。
実況,さて、桂選手がバスルームにいる間、審判団は外で待機しております。
解説,流石に審判団も中に入ることは出来ないですね。
副審1,…！
主審,！。
副審1,！？
実況,おっと、立ち上がろうとした副審1にイエローカード！
解説,審判同士で何やってんだよ…
言葉,………
第4審判,…。
実況,さて、かれこれ1時間経過していますが、未だにバスルームから出てくる気配が無いですね？
解説,でもまだ時間に余裕はあると思いますよ？
言葉,……。
実況,おっと、桂選手が出てきた！
主審,！
言葉,？
実況,あー…これは最初の制服から着替えてしまってますね？
解説,最後ぐらい身を清めようという事でしょうか？
実況,ただ、試合中の着替えは禁止されています！ここは主審から注意を受けます！
言葉,えっ…着替えちゃ駄目なんですか…？
主審,
言葉,で、でも、家の中ぐらいは…
主審,！。
言葉,！？
実況,ここで桂選手に1枚目のイエローカード！これは勿体ない！
言葉,あの…そう言われても私は困るんですけど…
主審,…。
心,お姉ちゃん、さっきからどうしたの？
審判団,…？
言葉,…心？いつの間に居たの？
心,うん、お姉ちゃんずっと独り言言ってたから気になって…
言葉,えっ…！？。もしかして…心にはこの審判みたいな人達、見えていないの…？。ごめん、何でもないの…とりあえず私は部屋に戻るね…。………。
心,お姉ちゃん…？
言葉,…………。
主審,…。
副審1,…。
副審2,…。
第4審判,…。
実況,桂選手、先程より部屋に籠ったまま、1時間以上動きがありません！
解説,ここから何か劇的な展開を期待したいですけどね…
主審,…！
言葉,ごめんなさい…今は何もする気が起きないんです…
副審2,…！
言葉,…？。悩み…ですか…？
副審2,
実況,おっと副審、何とかして桂選手に心を開かせようとしてますね？
解説,だから普通に喋ればいいのに…
実況,因みにこの副審、本業は心理カウンセラーだそうですよ？
言葉,本当に…話しても大丈夫ですか…？
主審,…。
言葉,貴方達が聞いてくれるのなら…出来るだけのことを話しますね…
審判団,……。
言葉,私、この春から学園に通ってたけど、他の女子からいじめを受け続けてました…
主審,……！？
言葉,でもそんな中で、私は西園寺さんの仲介で、以前からずっと気になっていた誠君と付き合う事になったんです…
副審1,……。
言葉,でも、私が気が付かないうちに、誠君が西園寺さんとも付き合っていることを知ってしまって…
副審2,……。
言葉,私が最初に飛び降りようとしたのも、簡単に言うと、あの2人に復讐する為だったんです…
主審,……。
言葉,その方が、ずっと2人の心の中に居続けられると思って…
第4審判,…。
実況,なるほど、そういう事でしたか……
解説,…別の言い方をすれば、いまロスタイムで時間を止められている2人にトラウマを与えたかったのでしょう。
実況,しかしこれはかなりつらいものがありますね…
言葉,ごめんなさい…重たい話になってしまいましたね…
主審,……。
言葉,でも私、本当は誠君のことがやっぱり諦められなくて…。誠君がいないと…私、生きていられなくて…！
副審1,…？
言葉,…？
実況,おっと副審、部屋の外に気配を感じた様子！
言葉,もしかして…
心,お姉ちゃん…
言葉,話聞いてたの…？
心,ごめんなさい…
言葉,……。
心,でもお姉ちゃん、今日何か様子がおかしいよ？…さっき飛び降りようとしたって言ってたけど何…？
言葉,それは……
心,悩みがあるなら、私も聞いてあげるから……。そういう事だったんだね…
言葉,ごめんね…こんな話聞かせちゃって…
心,でも誠君が…まさかそういう事をする人だったなんて…
言葉,……えっ？
心,だって考えてみてよ？誠君がやってることは、お姉ちゃんに対する完全な“裏切り”だよ？。それに、誠君の相手が最初にお姉ちゃんを仲介したはずの西園寺さんなのも、何かおかしいと思う…
言葉,でも、私…
心,……。
言葉,……。
心,…ほら、お姉ちゃん元気出して！今日はお姉ちゃんのためにも一生懸命カレーライス作ったんだから！
言葉,…心が一人で作ったの？
心,うん、今日はお父さんもお母さんも遅くなるから頑張ったの…ほら、食べてみて！
言葉,う、うん…いただきます…！。美味しい…！
心,でしょ！？ねえ、もっと食べて！
主審,…。
副審1,…。
副審2,…。
第4審判,…。
実況,一方、その間に審判団も台所の外で軽く食事を摂っています！
解説,焼きそばパンとコロッケパンのようですね。
言葉,ごちそうさまでした…！
心,お姉ちゃん、カレー美味しかった？
言葉,うん、美味しすぎてついおかわりしちゃった…。心もいつの間に料理が上手くなってのね…！
心,そういうお姉ちゃんも、苦手な料理頑張らないとね！
言葉,ねえ、心…
心,お姉ちゃん？
言葉,…私、間違ってたのかな…？
心,えっ…？
言葉,私、誠君の事ばかりを想いすぎて…周りが見えて無かったのかな…？
心,……。……そんなことは無いと思うよ？
言葉,えっ…？
心,自分はまだそういう世代じゃないから、分からないかもしれないけど…人を好きになる気持ちは誰だって一緒だと思うの。でも、今回はたまたま運が無かったと言ったほうが良いのかな…
言葉,でも、私…
心,もし私がお姉ちゃんと同じ立場だったら、誠君の事は見切りをつけると思う…。それに、今回は運が無かったかもしれないけど、お姉ちゃんのこと分かってくれる人、いつかきっと見つかると信じてるから…！
言葉,心…
心,それと、いじめの件は私からもお母さんに相談してみるね…！
言葉,心…ありがとう…
心,じゃあ私、そろそろお湯が冷めちゃう前に風呂入ってくるね…！
言葉,………。
主審,…。
言葉,えっ…？
主審,…。
第4審判,……。
言葉,待って…もう行かなきゃいけないんですか…？
主審,…。
言葉,あの…やっぱり私……！
主審,…。
副審1,…！
副審2,…！
言葉,！？
副審1・副審2,…！
言葉,離して…私…やっぱり死にたくない…！
主審,…。
言葉,戻ってきましたね…最初の場所に…
第4審判,…。
言葉,あの…少しだけ、待ってくださいね…
主審,…？
誠,――――――
言葉,誠君…
審判団,……！？
言葉,サヨナラ…！
誠,――――――
主審,…。
言葉,清々しました…これで私は潔く誠君を諦められます…
主審,…。
言葉,でも私…やっぱり死にたくないです……
副審1,……。
言葉,最初にあんな形での復讐、すべきじゃなかったって……
副審2,……。
言葉,…今更何を言っても遅いですよね……
主審,…。
言葉,……。
第4審判,…。
ボールボーイ,黒子
言葉,それでは、私は行きますね…ありがとうございました…
主審,…。
言葉,……。――――
誠,……おい、言葉！？…言葉！？
世界,…桂さん、返事して！？
言葉,―――……。
世界,…桂さん…！？
言葉,……え？
実況,…延長戦です！桂言葉はロスタイムでは終わりませんでした！
解説,いやー、あの高さから全く無傷なのは奇跡ですね…！
誠,良かった…意識があって…！
世界,何馬鹿なことしてるのよ……本気で心配したわよ……！
言葉,……？
実況,運命の気まぐれか、はたまたロスタイムが起こした奇跡か！？緊迫したこの試合は4時間44分のロスタイムを経て、延長戦に突入しました！
解説,やっぱりね、どんな試合でも諦めちゃいけないんですよ。本当に良かったですね。
