今井リサ,相談？
紗夜,……幼いころ、自身の中に生まれた恋心というものを早々と自覚した今井さんは、その相手である湊さんの傍にずっと寄り添っていました。そして時間が経つにつれて、自身の恋心と、そういったことへの知識や興味がどんどん大きくなっていきます。当の湊さんは幼いころから歌に一生懸命で、そういったことには人一倍疎く、無垢なままで育っていきました。そんなある日、今井さんの中に、ある邪な気持ちが芽生えます。“何も知らない友希那に何かしてみたい”。幼いなりの正義感や自制心がそんな後ろ暗い情動を押さえてくれていましたが、悶々と持て余し続けたそれは湊さんのふとした発言でブレーキが利かなくなってしまいます。“ねぇリサ。なんだか最近、クラスの○○君の事を考えると、胸がキュッとするんだけど”。それを聞いて今井さんは思いました。“いけない、このままじゃ友希那が悪い道に行っちゃう。正しい道にアタシが誘導してあげなきゃ”。それは自身の内に抱え続けた黒い情動からの考えでした。ですが、まだ幼い今井さんはこれを正義感だと捉え、“これからすることは友希那のためだから”という免罪符を心の中に作り出します。そして自分の部屋に湊さんを連れ込んだ今井さんは、最愛の幼馴染をベッドに押し倒しました。“これは友希那のためだから”。自分の猛る青い劣情をその免罪符で隠した今井さんは、少しの恐怖に顔を歪めた湊さんを見て、とうとうその理性の鎖を断ち切り――
リサ,ちょ、ちょっと待って！！
紗夜,どうかしましたか、今井さん
リサ,それはアタシのセリフだよ！？何考えてんの！？
紗夜,これはこの前つぐみさんが話してくれたある幼馴染たちのお話です。あ、大丈夫ですよ。実話にフィクションを付け足した作り話と言ってましたから
リサ,それつぐみが原案なの！？
紗夜,はい。この前嬉しそうに私に話してくれました
リサ,う、嬉しそうにって……
紗夜,つぐみさんが嬉しそうで私も嬉しかったです
リサ,えぇ……。なんかつぐみに対する見方が変わりそう……。ていうか幼馴染って……まさかモカが蘭に……いや、考えるのは止めとこ……
紗夜,では、今井さんは湊さんとは一切そういう関係ではないんですね？
リサ,そ、そうだよ。友希那とそんな爛れた関係なんて持ってないよ。手を繋いで一緒に帰るとかお弁当作ってあげるくらいの普通の関係だよ……
紗夜,そうでしたか。憶測でモノを言ってしまってすみません
リサ,あ、意外とあっさり引いてくれるんだね……
紗夜,張本人の今井さんがそう言うのであれば信じざるを得ませんからね。私は親友の言うことを疑うほど狭量な人間ではありませんよ
リサ,……色々言いたいことはあるけど、紗夜ってなんていうか、最近すごく丸くなったよね
紗夜,そうでしょうか？
リサ,うん。まっすぐ自分の気持ちを口にするようになったと思うよ
紗夜,まぁ……そうですね。人間、素直が一番だと思うようになりました。幼い強がりなんてかなぐり捨てて、素直になる。この前のいざこざもありますし、そうしないと大切なものを失ってしまうような気がしたんですよ。たらればの話ですが、強がって意地を張ってばかりいては、きっと今も日菜とすれ違ったままだったと思います。……私はもう知りました。相手を認め、自分を認めること。それだけで、世界はずっと素晴らしいものになるんだと。だから、今では大切な居場所になっているロゼリアにも、こんな私を認めてくれた人たちにも、素直な気持ちでいるのが一番大事なんだ、と。そう思うようになったんです。でないと、全部を失くしてからあの時ああしていたら、こうしていればと、後悔ばかりを重ねそうですからね。それに……私の大切な人たちが、数十年後に最期を迎えた時。そのエンドロールには友人や親友、あるいはかえがえのない人という肩書で“氷川紗夜”という名前があってほしい。その人たちにとって、私という存在が良い意味で消えずに残っていたら、この上なく幸せなことだ……と。そう強く思いますから
リサ,紗夜……
紗夜,という訳で、つぐみさんとキスがしたいのですがどうすればいいと思いますか？
リサ,ここでその話に戻るの！？。薄々分かってたけど相手の名前出しちゃってるし！
紗夜,……？最初からこの話だったと思いますけど
リサ,あー、あー……そうだったね、相談があるって話だったね……
紗夜,はい。それで経験豊富な今井さんにアドバイスを頂ければ、と思っていましたが私の早とちりでした。誤解をしていてすみませんでした
リサ,う、ううん。誤解が解けたならいい……のかなぁ……？。ていうか、それならアタシが相談相手じゃなくてもよくない？
紗夜,いえ、経験がないというのは少し思い違いでしたが、それでも今井さんが頼りになるというのに間違いはありません。きっと今井さんであれば素晴らしいアイデアを出してくれると信じています
リサ,いや……その期待には応えられないと思うなー……
紗夜,大丈夫です。私はあなたを信頼していますから
リサ,その無垢な信頼がプレッシャーだって……。そこまで頼りにしてくれるなら報いたい……けど、内容がつぐみとキスがしたいじゃね……。えーっとさ、紗夜は何か考えがあるの？その、つぐみと……キ、キスする考えが
紗夜,あるにはありますけど……
リサ,じゃあそれ、まずは聞かせてよ
紗夜,分かりました。まず、火曜日に閉店間際の羽沢珈琲店へ向かいます
リサ,うん
紗夜,毎週火曜日はつぐみさんが閉店までいる日で、その時間帯は他の従業員もいません。ただ、第二、第四火曜日は大学生のアルバイトの方、もしくはお義母さまがいらっしゃるのでこの日は避けます
リサ,うん……？
紗夜,夜の帳が降りる商店街。お客さんのいない喫茶店につぐみさんが１人。普段とは違うシンとした空気にちょっと寂しいなぁと思うつぐみさん。そこへ私が入店します。きっとつぐみさんはパッと輝いた笑顔で出迎えてくれるでしょう。少し他愛のない話をしてから、さりげなく今日は１人なんですか？と尋ねます。まぁ１人だと事前調査のおかげで知っているんですけどね。ともあれ、つぐみさんは少し照れたように笑いながら、はい。だからちょっと寂しくて……と言うでしょう。もう辛抱が出来ないのでその場でキスします
リサ,…………
紗夜,…………
リサ,……え、終わり？
紗夜,これ以上なにか言うことがありますか？
リサ,あー、いや……うーんと……
紗夜,ああ、その後のことですか？そればっかりはつぐみさん次第としか言いようがないので……まぁお泊りくらいまで持っていければと
リサ,そーいうことじゃないんだけどなぁ……
紗夜,あっ、なるほど
リサ,ん？分かってくれた？
紗夜,すみません、今井さん。流石につぐみさんのそういうシーンは私だけのものなので……キスの時のつぐみさんの息遣いやそのあとの詳細は話せません
リサ,……うん、それは紗夜の胸の中にずっと隠し持っておいて欲しいかな。友達からそんな詳細聞かされたら夜眠れなくなるってば
紗夜,今井さんの目から見て、何かこの作戦に不備がありますか？
リサ,紗夜の頭かなぁ。――って言いたいけど我慢しなきゃ。え、えーっと、いい……と思うよ？
紗夜,本当ですか？
リサ,う、うん……大丈夫、きっとイケルイケル……
紗夜,今井さんが太鼓判を押してくれるなら心強いですね
リサ,あーでもさ、ほら、流石にお店でそういうことをするのは迷惑になるんじゃないかな？。いくら閉店間際って言ってもさ、お客さんが来る可能性がない訳じゃないじゃん？例えばそこにアフターグロウの子とか、ヒナが来たら……
紗夜,なるほど……
リサ,ね？やっぱり気まず――
紗夜,つぐみさんと私の仲の良さを見せつけられますね
リサ,……紗夜、大丈夫？熱中症になってたりしない？頭ヘーキ？
紗夜,至っていつも通りですが
リサ,それが本当に紗夜のいつも通りならアタシはロゼリアでの身の振り方考えなきゃいけないかもだけど……
紗夜,大丈夫です。今井さんは今井さんです。技術は足りなくても、あなたはロゼリアにとって大切な、かけがえのないベーシストです
リサ,うん、それはこの前聞いたね？紗夜はどうしたのかな？頭のネジ、どこかに落としてきちゃった？
紗夜,あなたはいつも周りのことを心配してくれますね。そんなあなただからこそ、私は……
リサ,待って、タイムタイム。ごめん、なんかホントごめん。アタシが悪かったからさ、その、なんか、異様な熱が込められた目はやめよ？。まっすぐ見つめてくれるのは嬉しいけどさ、色々と身の危険感じるからさ。その目で迫ってくるのはホントやめて欲しいかな、アタシは
紗夜,あ、すみません……。少し気持ちが昂りました。素直になろうと決心してからというもの、尊敬や敬愛、感謝の気持ちをつい行動に移したくなってしまうんですよ
リサ,それは危ないから治した方がいいと思うなー……
紗夜,今井さんもこういうことは湊さん以外にされたくありませんよね
リサ,そうだね、友希那なら嬉し――いやいやいや！
紗夜,……やはり湊さんと今井さんは付き合っているのでは
リサ,だから違うってば！そ、それよりほら、今は紗夜の相談でしょ！？
紗夜,そうでしたね。ですが、もう今井さんから太鼓判を押していただきましたから、先ほどの作戦を早速今夜決行しようと思います
リサ,ちょ、ちょっと待って、今日は日曜日だよ！？火曜じゃないとつぐみは１人じゃないんじゃないっけ！？
紗夜,今井さんから頂いた天啓がありますから。むしろ見せつける勢いでやってきます
リサ,だ、ダメだよそれは！！
紗夜,何故ですか？
リサ,そ、それはほら、やっぱり……その、ファ、ファーストキス、だよね？
紗夜,つぐみさんは分かりませんけど、私はそうですね
リサ,そ、それなら、こう、ね？雰囲気とかさ、やっぱ大事にしたい……じゃん？。友達相手に何言ってんだろアタシ……すごく恥ずかしい……
紗夜,……言われてみれば
リサ,ね？だからほら、やっぱり２人っきりの時がいいと思うな、アタシは
紗夜,確かにその通りでした。やはり今井さんは頼りになりますね。いつも私に大切なことを気付かせてくれます
リサ,あ、アハハ……紗夜の役に立てたなら何より……だよ。……はぁ。どうにか思いとどまってくれた……でもこれ、絶対時間の問題だよね……
紗夜,つきましては、今井さん
リサ,……うん？
紗夜,今井さんが望むファーストキスのシチュエーションを教えてください。参考にしたいので
リサ,え！？い、いや、ちょっとそれは……
紗夜,大丈夫です。相手が湊さんだということは分かってますから
リサ,いやいやいやっ、それ本当に誤解だからね！？
紗夜,そうなんですか？では私と実際にキスしてみますか？
リサ,なんでそうなるの！？
紗夜,今井さんとなら私は嫌ではありませんし……練習、と言うと少し嫌なものに聞こえるかもしれませんが、何事も経験だと思いますので
リサ,いやその考えはおかしい！ちょっと、本当に今日の紗夜は変だってば！
紗夜,私はいつもと変わりありませんよ？
リサ,なら尚のことヤバいって！ちょ、なんで無言で近づいてくるの！？ちょ、ちょっと、待っ――……
上原ひまり,…………
宇田川巴,…………
ひまり,……ロゼリアって、なんていうか……アレだね
巴,だな……あこが悪い影響受けてないか心配だよ、アタシ……
ひまり,あこちゃんはヘーキだよ、多分……真面目な燐子さんがいるし……
巴,だといいけどなぁ……
ひまり,でも……ウチもアレだよね……
巴,まぁ、な……蘭とモカが……アレだな……
ひまり,…………
巴,…………
ひまり,あれかな……つぐに紗夜さんのこと、伝えた方がいいかな……？
巴,……伝えなくていいだろ。つぐ、絶対あれ、紗夜さんのこと待ち構えてるし……
ひまり,やっぱそうだよね……いっつも何か期待する目で紗夜さんのこと見てるよね……
巴,ああ……つぐも結構、アレだしな……
ひまり,どうしてこう……私たちの周りってアレな人ばっかりなんだろーね……
巴,アタシが知りたいよ……ホント……
ひまり,彩さんと花音さんも大概アレだし……
巴,……この前、お客さんから見えないレジカウンターの死角で手ぇ繋いでたな……
ひまり,繋いでたね……
巴,仲……良いんだな……
ひまり,……ね。今日は２人で水族館だっけ……
巴,ああ……２人とも楽しそうに話してたな……
ひまり,…………
巴,…………
ひまり,はぁ～……私もどこかにいい人いないかなぁ……
巴,この場でそれ言うのはやめとけって……半分アタシに言ってるようなもんだぞ……
ひまり,だよねぇ……
巴,まぁ……あれだ、帰り、ラーメンでも食って帰るか……
ひまり,そうだね……こうなったらやけ食いだよ……
巴,…………
ひまり,今、太るぞひまりって思ったでしょ？
巴,聞くなって、言わぬが華だぞ……
ひまり,ふーんだ、いいもーん……私は太ったって見せる相手もいないしー……。どーせ今年もみーんな一緒に海行ってくれないもーん……
巴,んな悲しいこと言うなよ……そしたらアタシが一緒に行ってやるから……
ひまり,…………
巴,…………
ひまり,あーあ……ホント巴が男の子だったらなぁ……
巴,だからそういうことこの場で言うなって……
