奥沢美咲,どしたの、急に？
有咲,まぁ、そこまでは無理だけど、もうちょっとくらい素直になれればなぁ……。ホント、いっつも意地張って香澄に迷惑ばっかりかけてんな、私。つかポピパのみんなに迷惑かけてるよ……。はぁ～……本当はすぐにでも謝りたいんだけどなぁ……。香澄……ヘコんでなきゃいいけど……でも今さら私から折れるのもなぁ……
美咲,うーん……よし、それじゃああたし相手に練習してみよう
有咲,練習？
美咲,そう、練習。あたしを戸山さんだと思ってさ、正直に気持ちを吐き出してみたらどうかな
有咲,えぇ？
美咲,出来ない？
有咲,いや、そりゃ香澄相手に言うよりは気が楽だけどさ
美咲,じゃーはい、ささっと言ってみよう
有咲,なんでそんな急かすんだよ……
美咲,あーほら、それはアレだよ。この前はあたしが話聞いてもらったし？。市ヶ谷さんはなんだかんだこうして気軽に話が出来る仲だしね。あそうだ、あたしの顔が気になるならミッシェルのお面でも被ろうか？
有咲,持ち歩いてんのかよ！？あ、いや、お面はいいって……逆に気になるから
美咲,ん、了解。じゃーほら、自分の気持ちを言ってみよう
有咲,……分かったよ。えーっと……素直な気持ち、素直な気持ち……
美咲,うん
有咲,あーその、なんだ。すまん、香澄。私が悪かった。その、な？私なりに一生懸命作ってたんだよ、弁当。だからな、その、沙綾の方が美味しいって言われてちょっとムッとしたっていうか……まぁそういうのなんだよ。弁当作らないって言ったのは嘘だ。明日も作ってくから、だから、アレだよ。おはようとおやすみの電話、して欲しいなって……うん、その、アレなんだよ。つまり……まぁ、うん。ごめん。言い過ぎたし、ホント悪かった。……だから、その、き、嫌いにならないでくれると嬉し――
香澄,ならないよ！！
有咲,うおぉっ！？
香澄,ならないよ！私もごめんっ！有咲の気持ち、全然考えてなかった！本当にごめん！
有咲,えっ！？な、え、え！？
香澄,有咲ぁ～！！
有咲,ちょ、抱き着くなって！！え、ていうかなんでお前ここにいんの！？
香澄,美咲ちゃんに聞いたの！たまたま近くにいたからね、走ってきちゃった！
有咲,え
美咲,…………
有咲,奥沢さん、まさか……
美咲,あー、ごめん。こころにメッセージ返したと思ったら戸山さんに返してた。今、市ヶ谷さんと商店街のファーストフード店にいるよって。声は出さないでねって。それと偶然、戸山さんと電話繋がってたみたい。ハンズフリー通話で
有咲,お、おまっ！？偶然とかそういうのじゃねーだろそれ！？
美咲,いやいや、偶然だよ偶然
香澄,有咲の気持ち、ちゃんと聞いたから！おはようとおやすみの電話もしっかりするよ！私もしないと寂しいもん！
有咲,あ、ああ、うん……その、ホント、なんていうか、昼休みはごめん
香澄,私の方こそごめんね？許してほしいな……
有咲,いや、許すも許さないもねーって。本当に、私がちょっと意地張ってただけっていうか……
香澄,じゃあお互い様ってことで！
有咲,……そうだな。そうしとこう
香澄,えへへ、よかった！有咲～有咲～！
有咲,ちょ、おま、流石に近いって……！
香澄,ねぇねぇ、今日、有咲の家に泊まっていい？
有咲,え！？
香澄,仲直りのお泊り会！
有咲,い、いや、そんな急に言われてもな……
香澄,……ダメ？
有咲,ダメじゃない
美咲,即答した。本当に戸山さんの前だと別人だなぁ市ヶ谷さんて
香澄,ありがとーっ！有咲大好きっ！
有咲,う、うるせー、そういうのは人のいないとこで言ってくれよ……
美咲,仲直り出来て良かったね
香澄,うん！ありがとね、美咲ちゃん！
有咲,えーっと……あ、ありがとな
美咲,いやいや。借りがあるからね、市ヶ谷さんには。さ、もう行きなって。あんまり店内で騒ぐと花音さんにも迷惑だろうし
有咲,ああ。その、悪いな、私から誘っといて
美咲,いいっていいって。この前のお返しだよ
有咲,ん……分かった。それじゃ、また
香澄,バイバイ、美咲ちゃん！
美咲,はーい。……ふぅ。やれやれ……市ヶ谷さんも世話が焼けるなぁ。それにほとんどノロケ話聞かされただけだったし、目の前でノロケられたし。……まぁ、いつものことか。市ヶ谷さんと寄り道すると大抵ああなるし。あたしもこころの家に泊まろっかなぁ。電話してみよ。スマホぽちっと……。…………。……あ、こころ？今大丈夫？うん、ちょっと急な話なんだけどさ――……
丸山彩,…………
松原花音,…………
彩,……今日は有咲ちゃんと香澄ちゃんがアレだったね
花音,うん……美咲ちゃんは珍しくまとも、だったね
彩,あの美咲ちゃんが……ハロハピだと日曜日に話してた風になっちゃうんだ
花音,ハロハピ、っていうか……こころちゃんがいると……ちょっと、ね……
彩,……そっかぁ
花音,……うん
彩,花音ちゃん……いつも本当にお疲れ様です
花音,ううん……もう慣れてるから……。ハロハピ会議の時とか、こころちゃんの部屋で色々する美咲ちゃんに……
彩,色々、かぁ……
花音,色々、だね……
彩,…………
花音,…………
彩,また一緒に遊びに行こっか、花音ちゃん
花音,……水族館に行きたいな
彩,いいよね水族館。癒されるよね
花音,うん
彩,一日中、ずっと一緒にクラゲ見てよっか
花音,彩ちゃん……ありがとう
彩,ううん、気にしないで。私、花音ちゃんといるの楽しいから。それじゃあ、また日曜日にでも
花音,うん、楽しみにしてるね。……えへへ
今日は,二重の虹ダブルレインボウ
