高森藍子,う～ん……
加蓮,アンタの分だけメロンソーダ濃度１０倍くらいにするよう頼んどくね
藍子,ああっ、ごめんなさい～！
加蓮,藍子がそういうつもりなら私もそういう話にシフトするけど？私にだって、藍子ちゃんの弱みくらい１０個や２０個はあるんだからねー？。例えばほら、藍子ちゃんがアイドルのことに悩んでた時期のこととか……
藍子,……。…………このお話は、なかったことにしましょう
加蓮,それでよろしい
藍子,あ、でも……。メロンソーダの、濃度１０倍ってどんな感じになるんでしょうか？
加蓮,それはー……
藍子,見たことも、聞いたこともなくて……。そういう飲み物があるんですか？
加蓮,いやテキトーに言っただけだし。濃度１０倍っていうのは、こう……。……超すっぱくなる
藍子,あ～
加蓮,もうコップに入ってる時点ですっごいしゅわしゅわしてるの。口に入ったら、花火みたいにバチバチってなる感じのヤツ
藍子,なんだか、パーティーグッズとかでありそうですね。……ううっ、想像するだけで、口の中がぱちぱち言い始めちゃう
加蓮,飲んだらもっとすごいよ多分。喉から火が出るよ。グリーンファイアーだよ
藍子,グリーンファイアー
加蓮,……ごめん、これはセンス無いからナシ。まあ罰ゲームだよね。今度作ってみよっかなー♪
藍子,それは、誰が飲むんですか……？
加蓮,？飲みたいの？
藍子,違います違いますっ
加蓮,誰か飲むでしょ。誰も飲めなかったら新人ちゃんズにこれもアイドルの試練だってテキトーに騙して飲ませるからオッケー
藍子,やめてあげてください……
加蓮,話してたら物足りなくなっちゃった。もうちょっと何か頼む？
藍子,じゃあ……すみませ～ん。サンドイッチと、ストレートティーのおかわりで、お願いしますっ
加蓮,お願いしまーす。いただきます
藍子,いただきますっ
加蓮,あむ……
藍子,もぐもぐ……
加蓮,うん、美味し。……カフェにストレートティーにサンドイッチって、何回目か分かんないけどホントお嬢様だよね
藍子,お嬢様ですね～
加蓮,……でもなんか藍子がやると子供っぽい
藍子,え～っ
加蓮,ほら、最近オモチャの役とかやったでしょ？あれもイメージ強いし
藍子,夢いっぱいの世界、いっぱい積み上げてきましたっ♪
加蓮,おつかれー。見たけどなかなかだったね。やるね、藍子も
藍子,ありがとうございます。スタッフさんや皆さんからも、褒めていただけて……。でも
加蓮,でも？
藍子,優しそうに見えるのに、迫力がある、なんて言われてしまいました。私、子どもを怖がらせてないですよね……？
加蓮,んー……。分からなくもないけどさすがに無いと思うよ？
藍子,それなら、よかった
加蓮,藍子ってさ、ああいう風に裏で何か企てるっていうか、実はこうでしたーみたいなの、結構似合うよね
藍子,そうですか？
加蓮,似合う。でも、あんまりガチの悪役にならないっていうか……うーん、何て言うんだろ。企んでるんだけど、それって相手を貶める為じゃないというか……。あ、ガチで主人公を潰しに行くのも藍子には似合うと思うけどね
藍子,似合いませんよ～。それは、加蓮ちゃんにお譲りします
加蓮,つまり私なら似合うと？
藍子,似合わないんですか？
加蓮,……アンタも言うようになったねー。ま、でも７５点
藍子,やっぱり厳しいっ。って、それは何の点数なんですか？
加蓮,今のリアクション。今のはね、できないんですか？って挑発するところだよ
藍子,しませんよ……。それこそ加蓮ちゃんにお譲りします
加蓮,ふふっ。ま、とにかく、藍子の隠し事って基本"何か企んでるけど大したことじゃなくて、気になるけど安心できる"みたいな感じ？
藍子,ヒミツにしているのに、安心してくれるんですね。じゃあ、何か隠し事、してみよっかな……？
加蓮,全身くすぐってでも吐かせるけど？
藍子,やめて！？
加蓮,隠し事ってさ。あ、コイツ何か隠してるな？って思った時、藍子はどう思う？
藍子,う～ん……。相手によるでしょうか？
加蓮,でしょ？例えば私だったら
藍子,加蓮ちゃんだったら、お話してくれるのを待つかな……？ううんっ、頑張って、聞き出してみます！
加蓮,おー、なかなか強気だね
藍子,私１人では、加蓮ちゃんに丸め込まれちゃいそうだから――
加蓮,……いやさり気なく私を何だと？
藍子,誰かに協力してもらおうかな……。モバＰ以下Ｐ
加蓮,…………アンタ絶妙に怖いことするねー。それでもいじめっぽくならない辺りが藍子なんだろうけど
藍子,あと、歌鈴ちゃんもっ
加蓮,あのドジ巫女くらいなら返り討ちにできるから、どうぞお好きに
藍子,あはは……。歌鈴ちゃんには、ライバル意識が強いんですね
加蓮,まーね。類友だからこそ絶対負けたくないし。隠し事ってさ、確かに気になるっていうか引っかかるっていうか、不安になることもあるかもね。でも、藍子の隠し事ってこう、"気になる"のが強くてさ。あんまり不安にならないの。私はね
藍子,へ～……
加蓮,……もちろん深刻な悩み事とかならさっさと吐きなさいよ？またそれで弱気になられても困るし
藍子,は～いっ
加蓮,積み木かー。昔のオモチャ、ね……
藍子,ちいさい頃、遊んでいたけれど、今はもう手に取らなくなったおもちゃが、今回のキーワードで――って、あっ……
加蓮,おっ、聞きたい？加蓮ちゃんの暗黒地雷話、聞きたい？
藍子,聞きたくないから今続けるのをやめたんですっ。それに暗黒地雷話って……
加蓮,……なんか今日はセンスないなぁ、私。開き直ってダサいコーデでも目指してみよっかな
藍子,それ、加蓮ちゃんのファンが見たら、がっかりしちゃうかもしれませんよ？
加蓮,じゃやめる。藍子って結構物持ちとか良さそうだけど、あるの？使わなくなった物とか
藍子,私にだってありますよ。おもちゃのパズルとか、ちいさなぬいぐるみとか……。でも、今回の公演をやってみて、部屋にあった、あまり手に取らなくなったおもちゃを探してみて……。少しだけ、ちいさい頃に戻った気持ちになっちゃいましたっ
加蓮,そっか。そういうの、うらやましいなー
藍子,っ
加蓮,……やっぱりこういうこと言われると困る？
藍子,……さすがに、少し
加蓮,じゃ言わないようにするね。ごめんね？大丈夫、別に妬んでる訳じゃなくて、ただ素直にさ。なんかそういうのいいな、って思っただけ
藍子,それを……笑えて言えるのなら、よかったです。それに……。ふふっ
加蓮,む。何がおかしいの
藍子,"困るから言わないようにする"、なんて。もう、普段からそうしてくださいよ～
加蓮,ではここで加蓮ちゃんとっておきの暗黒地雷話を
藍子,センスがないのでやめましょ？
加蓮,だよねー
藍子,そうそう。今度、押入れを掃除してみようかなって思っているんです
加蓮,思い出の発掘だね
藍子,ええと……。そうですね。探してみたら、面白いものがいっぱい見つかるかもしれません
加蓮,覚えてなかったヤツが見つかったりするかも？
藍子,あ、あはは……。え～っと……。探しているうちに、気がついたら時間が経っちゃうことって、結構ありますよね
加蓮,掃除してたらマンガを読み始めてたり、雑誌をめくってたり、ファッションショーやっちゃったり？
藍子,ファッションショー？
加蓮,あははっ、つい？
藍子,なるほど～
加蓮,……
藍子,……、
加蓮,……えーっとさ。ちょっと聞いてみたいんだけど……それ、私を誘ってる？
藍子,……いちおう
加蓮,加蓮ちゃんに、"面白そうだから私も混ぜてよ"って言わせようとしてる？
藍子,そ、そうで――あっ。そんなことは、あ、ありませんよ～？
加蓮,……………………
藍子,……………………あはは……
加蓮,……アンタ、また次の公演に出る前に１回私のところに来なさい。演技力、叩き込んであげるから
藍子,その時はお願いしますね……
加蓮,ったく。撮影の時は堂々とやってるし、ファンレターもいっぱいもらえてるのに。なんでこういう時はこうなのよ
藍子,だって～……。相手が加蓮ちゃんだからですよ
加蓮,は？私？
藍子,……相手が加蓮ちゃんだからですっ
加蓮,そ……。分かんないけど、分かってあげる
藍子,ありがとうございます……
加蓮,あ、お茶もサンドイッチもなくなっちゃった……
藍子,おかわり、しますか？
加蓮,さすがにそこまではいいよ。ごちそうさまでした
藍子,私は、もうちょっとゆっくり飲んでいますね
加蓮,どーぞー。……なんかそれなら私もおかわりほしくなっちゃったなぁ
藍子,つられちゃいますか？
加蓮,なんとなく。まぁ３杯は重いしいいや。……っと、ねえ藍子。アレは結局何だったの？
藍子,？あれって？
加蓮,さっき。ほら、私がトイレから戻った時に。なんかスマフォ見て悩んでなかった？
藍子,ああ、そのお話ですね。昨日、アルバムと……パソコンの中に保存している写真と、あとスマートフォンの。写真を見返して、思ったことがあるんです。ほら、今回の公演の後にも、みんなで写真を撮って、容量がまたいっぱいになっちゃったからっ。パソコンに移した時、ついでに昔の写真も見たくなっちゃって……
加蓮,量が多いと大変だねー
藍子,大変ですよ～。でも、写真が溜まっていくのって、見ていて心が暖かくなっちゃいますっ
加蓮,藍子だね。それでそれで？なんか面白い写真でもあったの？載せたら炎上しそうなヤツとか
藍子,それはありませんよ……。ただ、加蓮ちゃんを撮った写真はいっぱいあるのに、加蓮ちゃんと撮った写真はあんまりないなぁ、って
加蓮,……ん？んっと……。うん？それは何が違うの？
藍子,はい。私が、加蓮ちゃんを撮った写真はいっぱいあるんです
加蓮,うん
藍子,でも、加蓮ちゃんと一緒に撮った写真って、あんまりないなって……
加蓮,ツーショットってこと？そうだっけ……。って、それは藍子がカメラを構えてばっかりだからじゃないの？
藍子,だって、つい
加蓮,って言いながら写真を撮ろうとしないの
藍子,いたいっ。どうして気付いちゃうんですか～
加蓮,目の前で急にスマフォを取り出されたら誰でも分かるわよ……。それに、さっきまでサンドイッチ食べてたでしょ？ちゃんと手を拭かないと、スマフォ汚れるよ？
藍子,は～い。気をつけますね、加蓮お姉ちゃんっ♪
加蓮,……
藍子,いたいです！蹴らないでっ。それに、スマートフォンを触る前に、ちゃんと手は拭きましたから
加蓮,いつの間に……。写真と食べることになると早いんだから、藍子
藍子,それより、写真のお話です。今日は絶好の写真日和ですっ
加蓮,いい天気だよねー。あったかいし
藍子,ストレートティーが霞んでしまうくらいに？
加蓮,大人な雰囲気になりきれないくらいに
藍子,ぽかぽかすぎるのも、困り物ですね♪
加蓮,ホント。天国すぎるっていうのも困っちゃうよねー
藍子,……、
加蓮,……、
藍子,って写真の話っ。一緒に撮りましょ？加蓮ちゃん
加蓮,いいけど……。改めて言われると照れるね
藍子,そっちに行きますね。そうだ。せっかくテラス席にいるんですから、そんな感じの写真が撮りたいな……
加蓮,じゃあ、お店を背景に入れてみる？それかテーブル席って分かるようにしてみるとか
藍子,こっちがいいかな？加蓮ちゃん、そのまま座っていてくださいね。椅子を、加蓮ちゃんの隣に動かして……。そこに、私が座って、っと♪これで撮りましょうっ
加蓮,はいはい。いつでもいいわよ――
藍子,せっかくだから、もうちょっとだけ加蓮ちゃんに近づいて……
加蓮,……ちょっと？藍子？さすがに近すぎない？ほっぺた当たりそうなんだけど、
藍子,はい、チーズっ♪
加蓮,ちょっ――まだ言い終わってないっ。もう！
藍子,ちゃんと撮れたかな？……あはっ。加蓮ちゃん、不思議な笑顔になっちゃってます♪
加蓮,……アンタのせいでしょ
藍子,あ、左目だけ私の方を見てて、右目がカメラに……。すごく器用な顔になっていますよ
加蓮,ホントだー。なんでこんな顔作れてんの私？
藍子,加蓮ちゃんに分からないなら、私にも分かりませんよ～。ね、もう１枚、撮ってもいい？
加蓮,いいよ。って、いいけどさすがに店員に許可もらっときなさい。藍子だから大丈夫だと思うけど
藍子,は～いっ、って、あっ、店員さん。お皿を回収しに来てくれていたんですね
加蓮,オッケーだってさ。今度は私が撮るからね。ほら、藍子……ってだからアンタ近すぎでしょ。結局３杯目ー
藍子,ごくごく……
加蓮,疲れた時は、やっぱり甘い飲み物だよねっ
藍子,疲れちゃったんですか？
加蓮,誰かさんが何枚も撮ろうとするから
藍子,…………
加蓮,はい目ぇ逸らさない。なんか宣材写真とか雑誌の写真の時並みに消耗した気がする……。４杯目まで行こっかなぁ
藍子,４杯目……。次は、何を飲んでみますか？
加蓮,考えてない。気が向いたらね
藍子,ふふっ
加蓮,ごくごく……。ふうっ
藍子,ごくごく……。うんっ。やっぱり、同じオレンジジュースでもぜんぜん違うんですね
加蓮,ジュースソムリエの藍子さん、どう違うか教えてください
藍子,分かりました♪ごほんっ。撮影中に振る舞っていただけるオレンジジュースは、飲みやすく、すうっとした感じが特徴的です。ここのオレンジジュースは、濃厚で、口に入れた時に……すぐ飲みたくないっていう気持ちになります！。今日は、すごくいい天気で、あたたかくて……。いつも忙しくなっちゃうからこそ、こういう時くらいはのんびりと、。――って、何やらせるんですかっ。ジュースソムリエって何ですかっ
加蓮,随分スラスラと出てきたね。でも確かに、このジュースはだいぶ濃い味だよねー
藍子,美味しいオレンジを、いっぱい使っていそう……
加蓮,さすがカフェ。ジュースって言えば……。メロンソーダも最近ぜんぜん飲んでないけど、それどころかハンバーガーのシェイクすら見てないよ。最近
藍子,！？……か、加蓮ちゃん！健康が大切なのはもちろんですけど無理しなくていいんですよ！？
加蓮,……とりあえずさ、私がそのジャンクフードキャラみたいな感じなのやめない？
藍子,えへへ。つい
加蓮,ったくもー。変なところでノリがいいんだから。最近は……。最近ね？食べてるポテトが、いつの間にか野菜スティックにすり替えられてたり
藍子,はい
加蓮,シェイクを飲む代わりに、色がドロドロの野菜ジュースを差し入れられたりしてさ
藍子,はい
加蓮,ロケに行くって言うとどこからともなく差し入れが来るようになって
藍子,はい……
加蓮,……なんで私、健康アイドル代表みたいになりつつあるの？
藍子,それは……どうしてでしょうね？
加蓮,だいたいアンタと響子と、変に言いふらしたせいで乗って来る茜と未央のせいなんだけどね……
藍子,……わ、私から言いふらした訳ではありませんよ？ただ響子ちゃんが興味しんしんって感じで聞いてきたから、いつもの加蓮ちゃんの食生活のことをお話したら――
加蓮,すんなっ。言いふらしてるじゃん。っていうかなんで私の食生活を藍子が知ってんの
藍子,私は、加蓮ちゃんのお母さんから聞きました
加蓮,はあ？
藍子,ちょっと前から、ときどき相談されるんですよ。加蓮ちゃんが美味しく食べられるような、健康メニューはないかって。ほら、スマートフォンに、料理のレシピが載っているアプリがあるじゃないですか。最近、あれを見るのにハマってしまって♪。そうそう。この前、手作りのお弁当を私も載せてみたんです。たくさんの人に見てもらうのはなかなか難しいですね……。そんなに大目立ちしたい訳ではありません。でも、せっかくですから、もう少しいろんな人に見てもらいたくて――。どうすればいいでしょうか、加蓮ちゃんっ
加蓮,待って、ちょっと待って、情報量……！なんか私の知らないところで色々どうなってんの！？
藍子,ええと……。どうって。私が、お弁当を作って、それをアプリに載せてみたところです
加蓮,……アンタ一体何を目指してるのよ
藍子,う～ん。……加蓮ちゃんのお弁当係？
加蓮,もうちょっと目指すものあるでしょ……
藍子,加蓮ちゃんのお世話係？
加蓮,もう一声
藍子,加蓮ちゃんのメイドさんっ
加蓮,クビ
藍子,どうしてですか！私何もしてません！
加蓮,ふうん……。本当に何もしてないの？心当たり、ないの？
藍子,うっ……
加蓮,心当たり、あるでしょ？
藍子,……加蓮ちゃんの枕とお布団を取り替えて、ぐっすり眠らせたことですか？
加蓮,違う
藍子,じゃあ……。加蓮ちゃんのクローゼットに、こっそりゆるふわ系のドレスワンピースを入れたこと？
加蓮,それも違う。……そっか。自分のやったことが分かってないんだね、藍子
藍子,加蓮ちゃん……！
加蓮,……
藍子,……
加蓮,……
藍子,……私はいったい何をやったんですか？
加蓮,うーん……。いざってなるとピンと来ないんだよね……。とりあえず演技力は合格点だから、クビにはしないであげる
藍子,ほっ
加蓮,狙いすぎるとダメなのかもね。藍子の場合
藍子,自然体でいるのが、一番ってことですね♪
加蓮,ナチュラルナチュラル。でも理由思いつかないなぁ……。テキトーに皿でも割っといてよ。そしたらクビにできるし
藍子,そこまでしてクビにしたかったんですか……
加蓮,枕とお布団は知らないけど、クローゼットのワンピース、あれアンタが置いてるだけのヤツでしょ
藍子,そうですよ。加蓮ちゃん、あれいつ着てくれるんですか～。私、楽しみにしているのに
加蓮,やだよ。私のキャラじゃないもん
藍子,じゃあ、もし加蓮ちゃんがあれを着てくれたら、私は、加蓮ちゃんが着てほしい服を１着――
加蓮,オッケー。何でもいいんだね？
藍子,えっ
加蓮,何でもいいんでしょ？
藍子,……き、着ようと思いましたけれどやめておきます
加蓮,何よそれー。じゃあ私も着てあげない
藍子,むぅ。絶対に、いつか着てもらいますからねっ
加蓮,絶対やだ！。メイドはともかく。お母さんが藍子に相談してるのとか知らなかったよ。そんなことしてたんだ……
藍子,ふふ。たまに、加蓮ちゃんのことも教えてもらったり――あっ、これは加蓮ちゃんのお母さんから、内緒にするように言われていたんでした！。今のは、聞かなかったことにっ
加蓮,……………………
藍子,……？加蓮ちゃん？
加蓮,確かに藍子みたいな子って好かれるだろうけどさ……。なんでこう、家族ぐるみのー、みたいになってるの。ああいうのマンガだけの世界じゃないの……？
藍子,加蓮ちゃんだって、好かれる子ですっ。私のお母さん、加蓮ちゃんにまた会いたがっていましたよ
加蓮,そういえば最近は藍子がこっちに来てばっかりだっけ。そんなに面白い？私の家
藍子,加蓮ちゃんの家が、というより、加蓮ちゃんが？
加蓮,誰が面白芸人アイドルよ！
藍子,誰もそんなこと言っていません
加蓮,あ、でもポテトのきぐるみやってみたいかも
藍子,ぽ、ポテトのきぐるみ……？それはどんなお仕事なんですか？
加蓮,こう、ポテトの袋のところから顔を出して……
藍子,ふんふん
加蓮,ポテト美味しいよー的な
藍子,ふむふむ
加蓮,健康アイドルよりこっちの方が楽しそうだしー
藍子,あはは……
加蓮,そうだ。それこそ相方にシェイクが欲しいね。藍子、どう――って
藍子,…………
加蓮,はい無言で目ぇ逸らさない。そして近い。迫ってこないの
藍子,あっ……。ごめんなさい。ヒートアップしちゃって
加蓮,そうだ。お弁当撮ってアップしてるって言ったよね。今ある？
藍子,はい、ありますよ
加蓮,どんな感じなの？見せてー
藍子,ええと……はい、加蓮ちゃん。これですよ
加蓮,これは――。……普通のお弁当じゃん
藍子,ふ、普通のお弁当でいいじゃないですか。大切なのは、味と、美味しく食べてもらいたいって想いです♪
加蓮,……、
藍子,？
加蓮,いや……あの、。そ、そこまで言うならよっぽど美味しいんでしょうね！？今度食べさせなさいよ！
藍子,これでも、練習しているんですよ？それに、もともと加蓮ちゃんに食べてもらうためのお弁当ですから……。今度、作っていきますね。感想、お待ちしてますっ
加蓮,言っとくけど加蓮ちゃんは辛辣だからねー？３０点満点で６０点しかつけられないような子とは違うんだから
藍子,……お手柔らかにお願いしますね？
加蓮,……
藍子,～♪
加蓮,……、
藍子,ふうっ
加蓮,……っていうか
藍子,？
加蓮,いつまで隣に座ってんのよ。元の場所に戻りなさい？
藍子,……
加蓮,戻りなさい
藍子,……
加蓮,……
藍子,……
加蓮,……
藍子,……
加蓮,……まぁいいけどさ。いたいだけいれば？
藍子,じゃあ、そうしますねっ
加蓮,ったくもう
