宗像里奈,２９
喪黒,間違いなく……。あなたは、様々な意味で今の生活に限界を感じているはずですよ
里奈,そりゃあ、もう……。ですが……、他に生活手段がありませんから……！！仕方ないですよ！！
喪黒,あなたは、どうしても正社員になりたいんですよね！？
里奈,それに尽きます……！！
喪黒,その心意気、気に入りました……！何事も、諦めないことが肝心ですからねぇ
里奈,これは……！？
喪黒,お守りですよ。名前はクリスタルヴィーナスです
里奈,美しい人形ですね……。室内の電気の光を受けて、七色に輝いていますよ
喪黒,造形美だけではありません。この人形には、特殊な効果があるのです
里奈,まさか……
喪黒,この人形は、持った人の運気を好転させる効果があります
里奈,その話が本当なら、いいですけどね……
喪黒,本当ですよ。祈ったことも、クリスタルヴィーナスはかなえてくれますよ
里奈,じゃあ、正社員になりたいという願いも……
喪黒,もちろん、かなえてくれますよ
里奈,面白そうですね……。じゃあ、騙されたと思って……
喪黒,そうです、その意気！！これは私からあなたへのプレゼントですよ！！
大学のキャンパスの入り口には,英語検定試験会場
室内で、英検の試験が行われる。部屋にある黒板には、,英検1級一次試験
試験を受ける里奈。里奈,この問題は……！！思った以上にスラスラ解ける……！！
里奈,もしかしたら、一次試験に合格できるかもしれない……！！
男性,君は英検1級を受験していたのか……。頭がいいんだな、君……
男性は中年だが、顔立ちが整っていてスタイルがいい。男性,私はこういう者だ
男性が取りだした名刺には,株式会社アフロディーテ社長成海龍太郎
里奈,株式会社アフロディーテ……。化粧品や健康食品の販売で有名な……、あの会社ですか！！
成海,そうだよ
里奈,た、確か成海社長は……。立志伝中の人として有名な経営者……！！
成海,なかなか詳しいな。経歴的には君の言う通りだよ
里奈,ところで成海社長が、なぜ私に声をかけてくださったのですか……！？
成海,2回も君と出会ったもんだからな
里奈,そういえば、あの試食販売の時……
成海,思い出したかね？で、今回、英検1級の試験会場でも私は君を見かけた。そういうわけさ。こういう場所で食事をするのは初めてだろう？
里奈,は、はい……
成海,実はねぇ、私は頭がよさそうな人間に興味があるんだよ
里奈,い、いえ……。私はそんな……
成海,謙遜するなよ。宗像さんは頭がよくて、真面目そうで、学歴も比較的いい
里奈,……ということは？
成海,私は、宗像さんをアフロディーテに正社員として採用しようと思っているんだ
里奈,ほ、本気ですか！？社長……！！
成海,私は本気だよ。それどころか、私は君を第二秘書にしてもいいかと思っている
里奈,こんなことが本当に……！！夢のようだ……！！
BAR,魔の巣
喪黒,どうです？クリスタルヴィーナスの効果は抜群でしょう？
里奈,はい！おかげで今の私は、一流上場企業の社長秘書になれました！！
喪黒,よかったですなぁ、宗像さん
里奈,何もかも喪黒さんのおかげです……！！喪黒さんには本当に感謝していますよ
喪黒,宗像さんのお役に立てて、実に何よりです……
里奈,は、はあ……
喪黒,クリスタルヴィーナスは持った人の願いをかなえてくれます。ですから、使用法にはくれぐれも気をつけてください
里奈,はい……
喪黒,悪いことをするためや、相手を呪うために使っても効果を発揮しますが……
里奈,そうですか……。気をつけます……
喪黒,約束です。悪いことをするためや、相手を呪うためにクリスタルヴィーナスを使用してはいけませんよ
里奈,わ、分かりました。喪黒さん……
テロップ,アフロディーテ社長第一秘書町田静香
社員たち,おい、見ろよ
里奈,いつもいつも……！！私への悪口と嫌がらせばかり……！！何かにつけて私のことを……！！。社長の愛人であることを鼻にかけて、あの女は……！！
喪黒,宗像里奈さん……。あなた、約束を破りましたね……！
里奈,も、喪黒さん……！！
喪黒,私は忠告したはずです。悪いことをするためや、相手を呪うためにクリスタルヴィーナスを使用してはいけない……と
里奈,わ、私は何も……！！
喪黒,とぼけても無駄です！宗像さんは、第一秘書の町田静香さんから連日のように嫌がらせを受けていました……
里奈,ゆ、許してください！！喪黒さん！！
喪黒,もう手遅れです！あなたはクリスタルヴィーナスを持つ資格がなくなりました……！！。約束を破った宗像さんには……、ペナルティーを受けて貰いましょう！！
里奈,キャアアアアアアアアアアアア！！！
成海,大変なことが起きたぞ……。今朝、第一秘書の町田静香さんが交通事故に遭った……
里奈,えっ！？
成海,彼女のけがは深刻だ……。それに脳も損傷している。まさに、生きるか死ぬかの状態だよ
里奈,そ、そんな……
成海,今日から君が第一秘書だ。責任は重いだろうが、しっかり頑張りたまえ
里奈,あ、ありがとうございます……
成海,気がついたか！？ここは俺が保有するマンションの……、ヤリ部屋だよ……。フフフ……
里奈,まさか……！！そんな……！！アフロディーテがフロント企業だったなんて……！！
成海,ああ、そうだよ！！アフロディーテはその筋の会社だよ！！なぜなら、俺は住之江会の最高幹部の隠し子……
里奈,……だとすると、町田静香さんの交通事故も……
成海,俺が組の人間を使ってやらせたのさ！！俺名義で、彼女に多額の生命保険をかけてなぁ……！！
里奈,だ、誰か……！！助けてええええ！！！
喪黒,一億総中流の時代が終わり、深刻な格差社会となった今、正社員になることさえも狭き門の時代が訪れました
